SA2_MAINCODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
201021011,57,111,165,447,552,998,0,0,0,25,29,53,0,0,0,765,836,1606,4,7,7,52,34,82,9,12,19,0,0,0,11,22,33,0,0,3,9,11,21,7,9,17,91,107,194,6,3,13,9,5,9,156,181,334,50,52,99,0,5,5,1629,1857,3490,14,14,29,13,5,22,10,3,17,0,0,3,3,9,13,33,37,76,40,50,88,1964,2000,3967,19,17,32,8,25,37,1989,2050,4037,542,571,1107,4299,4657,8956
201021012,12,19,31,317,362,687,0,0,0,26,23,55,0,0,0,895,822,1716,6,15,21,17,6,17,0,0,3,3,0,3,9,15,21,0,0,0,9,5,15,14,11,22,77,65,138,0,4,5,9,13,25,94,129,224,51,55,106,3,3,10,1532,1538,3069,0,0,3,4,5,9,3,0,3,0,0,0,3,0,3,11,8,17,15,8,16,951,886,1841,6,6,8,3,5,10,961,900,1864,340,326,666,2861,2795,5656
201031013,10,14,25,308,334,641,0,0,3,15,14,31,0,0,0,243,264,504,5,4,15,5,3,14,0,3,6,0,0,4,4,9,14,0,0,0,14,7,16,7,9,15,55,53,109,5,17,24,3,5,5,131,165,293,22,23,47,4,8,13,834,908,1739,3,0,3,0,0,0,0,3,6,0,0,0,0,0,0,9,8,20,9,8,20,585,505,1091,8,10,17,0,4,4,593,512,1102,207,195,398,1658,1642,3302
201031014,3,18,22,321,330,651,0,0,0,3,4,6,0,0,3,403,447,850,5,12,20,10,0,7,0,0,0,0,3,3,7,4,12,0,4,3,3,3,5,13,14,29,107,86,199,6,4,6,7,0,7,155,174,327,29,26,51,3,0,3,1070,1123,2190,0,0,3,3,6,9,0,0,3,0,0,0,0,0,0,3,14,18,3,14,18,712,630,1337,4,7,10,0,0,0,713,632,1353,612,191,804,2411,1984,4395
201031015,13,17,26,259,287,549,0,0,0,10,28,34,0,0,0,458,460,916,13,5,23,18,12,26,13,18,27,0,0,0,11,10,19,0,0,0,6,10,14,13,12,25,90,79,169,4,8,6,7,3,12,111,115,220,28,41,74,0,0,5,1038,1088,2124,3,3,6,5,0,5,0,3,3,0,0,0,0,0,0,8,14,23,8,14,23,965,845,1809,5,7,13,3,3,4,971,856,1828,245,218,466,2290,2197,4483
201031016,15,15,33,661,862,1522,0,0,0,28,30,60,0,0,0,705,801,1505,25,38,62,18,21,35,16,29,41,0,3,3,8,16,25,0,0,0,8,17,27,20,29,47,135,155,287,31,52,86,6,11,16,255,355,604,33,50,81,0,0,0,1961,2449,4411,10,8,24,3,3,10,3,0,3,3,0,3,9,8,11,11,18,32,19,25,49,1414,1246,2656,9,4,12,3,7,12,1426,1259,2682,344,373,716,3786,4129,7921
201031017,13,16,30,478,473,950,0,0,0,19,22,37,0,0,0,445,451,903,13,11,20,10,3,12,14,16,30,3,4,5,11,12,24,0,0,0,3,6,8,35,27,66,112,91,210,8,10,19,0,0,3,210,238,441,41,37,75,0,0,0,1405,1396,2799,4,0,4,9,7,9,0,0,3,0,3,3,0,0,0,15,17,29,17,21,34,1006,852,1855,4,5,8,6,8,14,1015,863,1874,284,226,510,2741,2528,5268
202011018,95,128,225,746,934,1681,0,0,0,122,136,257,13,10,15,1362,1616,2974,9,6,15,30,27,53,19,24,37,7,16,23,21,31,48,6,0,15,10,17,23,45,51,93,121,162,280,8,16,25,22,32,58,325,446,774,155,166,326,0,4,3,3024,3683,6708,52,54,103,31,28,62,6,4,9,0,0,0,19,15,31,17,42,55,33,58,84,2861,2608,5467,26,21,47,12,23,31,2901,2647,5550,881,828,1707,7025,7433,14460
202011019,43,77,121,724,903,1625,0,0,0,95,99,193,0,0,0,1051,1171,2220,3,9,12,14,16,26,19,26,43,15,17,39,20,22,40,0,0,0,13,9,15,54,66,122,118,148,267,20,31,47,5,11,17,307,427,736,100,121,221,0,0,3,2551,3075,5621,10,4,11,19,11,26,0,4,6,0,0,0,10,10,26,15,24,38,23,39,65,2440,2266,4704,13,16,23,10,9,19,2461,2290,4747,677,684,1361,5785,6180,11965
202011020,54,74,127,760,1027,1788,0,0,0,125,153,280,18,19,36,1571,1825,3400,14,20,32,16,16,35,7,8,9,0,12,8,31,28,56,10,18,25,12,15,34,78,94,169,163,186,350,11,17,28,7,13,21,467,669,1140,136,157,300,0,0,0,3431,4281,7709,43,42,78,61,36,101,0,0,0,0,3,6,19,17,36,17,26,44,39,45,80,2222,2025,4251,14,17,32,5,16,14,2239,2063,4301,553,552,1105,6419,7090,13507
202011021,58,71,128,483,609,1100,0,0,0,82,89,169,0,0,0,834,1045,1880,0,4,7,13,14,21,6,4,14,11,14,28,6,18,24,6,5,10,6,7,14,36,67,107,65,101,170,3,6,6,7,10,12,231,338,567,91,136,233,9,8,15,1902,2478,4383,58,43,99,28,28,48,3,3,7,0,0,0,10,5,18,17,20,30,23,27,52,1814,1822,3635,28,29,55,3,10,19,1848,1860,3702,452,421,872,4362,4932,9295
202011022,99,100,201,1188,1530,2720,0,0,0,203,263,464,26,20,47,1717,2125,3843,15,29,49,42,43,80,51,53,101,17,28,49,27,26,54,7,5,9,23,15,35,78,117,197,210,237,446,23,28,53,14,21,38,573,787,1360,197,232,432,3,3,5,4414,5570,9990,39,36,77,59,61,119,7,7,11,8,0,9,36,20,58,16,32,41,53,50,107,3638,3407,7039,25,28,52,8,11,24,3673,3443,7117,999,1071,2075,9336,10351,19687
202011023,6,9,13,358,377,727,0,0,0,59,61,119,14,12,24,552,577,1125,5,5,12,11,8,23,0,3,7,0,0,0,7,15,25,0,0,0,6,3,10,21,21,39,51,51,104,5,6,8,0,0,0,209,214,419,54,69,122,0,0,0,1353,1424,2778,5,5,8,6,5,5,0,3,3,0,0,0,0,0,0,7,4,17,9,4,18,969,890,1851,12,3,16,0,0,3,976,894,1874,208,176,389,2565,2524,5084
202011024,24,30,59,501,556,1057,0,0,0,114,99,213,3,0,3,1207,1293,2502,7,9,16,20,9,25,11,12,25,8,8,9,22,19,43,4,7,6,3,3,6,73,64,143,58,80,137,7,7,18,10,7,17,301,375,674,104,117,223,0,0,0,2460,2664,5121,6,13,22,11,15,28,0,0,0,0,0,0,0,4,5,4,6,8,5,8,13,1460,1332,2790,18,11,30,4,0,5,1484,1347,2828,299,260,558,4293,4334,8630
202011025,45,45,91,642,791,1434,0,0,0,117,138,257,3,3,6,1360,1501,2863,3,13,14,9,13,23,7,16,17,9,6,15,18,15,32,8,11,13,10,6,16,35,60,97,104,125,227,14,27,37,13,18,33,337,415,748,117,111,230,0,0,0,2808,3256,6063,36,32,68,23,35,52,6,0,3,0,0,0,10,7,20,12,22,34,26,29,55,2217,2126,4344,16,11,24,0,13,10,2234,2153,4384,518,519,1035,5682,6067,11747
202021026,19,17,37,400,429,828,0,0,0,103,88,191,0,0,0,711,737,1455,6,6,9,18,7,25,7,5,9,0,3,5,9,21,33,0,0,0,8,5,19,22,35,55,87,95,188,4,3,10,3,3,7,280,322,601,91,102,191,3,0,5,1755,1869,3625,0,12,13,3,3,8,0,3,3,0,0,0,0,0,0,3,12,16,6,12,15,1455,1298,2760,5,6,7,3,3,12,1466,1311,2777,360,343,707,3610,3569,7184
202021027,49,79,126,448,652,1103,0,0,0,43,52,91,41,35,78,520,579,1097,35,34,68,19,17,29,3,11,15,3,0,3,14,18,34,0,0,0,4,4,9,22,39,64,83,116,197,16,18,33,0,3,4,220,361,582,81,101,184,4,13,13,1558,2044,3606,10,18,34,3,4,7,7,11,14,0,4,4,7,7,17,27,37,72,40,49,90,2306,2391,4698,25,21,45,16,23,39,2349,2434,4778,1264,658,1925,5280,5296,10583
202021028,47,52,102,470,543,1014,0,0,0,49,66,121,3,0,8,572,601,1173,18,21,40,34,28,59,0,3,3,0,3,0,20,14,34,0,0,0,8,6,14,15,16,27,115,109,222,12,12,21,0,0,3,228,249,474,89,86,177,8,3,6,1636,1767,3405,3,3,11,3,4,11,4,6,5,0,0,0,0,0,0,16,30,43,16,30,43,2020,1831,3852,22,14,36,17,26,44,2059,1870,3931,496,478,969,4257,4212,8474
202021029,12,22,34,331,374,706,0,0,0,33,31,68,0,0,0,548,513,1063,3,3,3,16,21,30,5,3,6,0,0,0,11,18,36,3,3,4,10,13,23,15,9,24,69,79,143,3,3,8,0,0,0,106,138,241,47,38,84,0,0,0,1200,1253,2456,3,0,3,3,0,0,0,0,0,0,0,0,0,0,3,5,10,15,7,11,19,772,686,1456,12,4,19,0,9,9,786,698,1480,250,271,518,2258,2250,4513
202021030,35,39,79,516,655,1165,0,0,0,103,86,189,57,55,114,1106,1150,2255,3,13,17,36,32,68,10,9,18,8,7,10,11,23,37,0,0,0,13,18,32,14,10,25,108,125,234,3,3,6,3,4,8,181,291,475,75,86,159,0,3,7,2247,2575,4820,16,8,28,13,7,17,8,6,12,0,0,0,5,9,15,9,25,32,16,29,44,1832,1783,3611,20,18,35,14,13,19,1862,1809,3669,491,488,980,4682,4968,9648
202021031,19,20,39,389,455,848,0,0,0,24,41,62,0,0,0,727,783,1509,9,7,16,19,18,32,0,5,6,0,4,4,8,13,17,0,0,0,8,3,13,7,11,21,64,79,137,3,9,10,0,3,3,82,143,224,46,60,101,3,0,4,1392,1631,3019,11,6,13,3,3,3,0,4,10,0,0,0,0,0,0,15,21,29,15,22,35,1498,1425,2925,11,12,31,9,4,12,1522,1447,2967,358,456,811,3313,3590,6899
202031032,21,11,30,372,397,769,0,0,0,20,26,45,0,0,0,547,512,1061,0,0,0,6,3,11,0,0,0,0,0,0,9,6,12,0,0,0,3,3,4,10,15,26,64,77,149,3,11,12,0,3,3,144,160,305,40,51,93,0,0,0,1229,1264,2495,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,7,10,0,7,7,762,635,1393,3,3,12,0,0,0,762,642,1401,218,210,423,2225,2137,4363
202031033,23,26,50,568,667,1229,0,0,0,88,100,188,0,0,0,588,567,1163,20,25,43,13,14,23,0,0,4,7,10,12,9,13,26,0,0,0,4,14,18,20,23,41,152,155,303,9,10,17,7,5,14,342,341,688,65,80,143,11,7,14,1900,2020,3923,7,9,13,0,4,4,0,0,0,3,0,5,0,0,0,11,18,32,15,22,35,1109,906,2017,6,3,10,3,3,3,1121,915,2036,527,464,994,3603,3457,7057
203011034,8,10,22,336,407,743,0,0,0,58,73,137,0,0,0,788,863,1652,11,9,17,26,28,54,0,4,4,0,0,3,52,44,95,0,0,0,6,5,12,39,29,70,135,156,292,3,8,9,5,11,18,142,148,295,108,104,215,0,0,3,1718,1889,3610,5,4,4,16,14,36,0,0,0,0,0,0,3,0,3,6,8,9,9,10,17,1200,1021,2225,3,7,8,3,0,3,1203,1030,2233,266,238,501,3228,3189,6420
203011035,21,20,44,409,451,866,0,0,0,52,62,111,0,0,0,701,685,1382,10,5,14,30,18,46,6,6,14,3,3,4,21,27,49,0,0,0,3,0,3,13,22,35,153,168,321,7,9,20,18,14,27,201,226,424,99,89,182,0,0,0,1734,1777,3511,5,0,5,3,0,4,0,0,0,0,0,0,3,0,3,14,13,28,17,18,31,1353,1255,2608,12,12,21,3,10,18,1363,1283,2647,338,284,619,3476,3377,6855
203011036,7,10,16,391,475,868,0,0,0,34,36,78,0,0,0,503,529,1028,6,9,8,12,9,25,3,3,4,0,0,0,18,26,49,0,0,0,0,3,3,14,13,24,105,92,196,3,3,5,6,14,20,225,261,479,51,57,104,0,0,0,1373,1525,2896,9,3,10,0,0,0,0,0,3,0,0,0,0,0,0,10,13,21,10,16,24,1203,1020,2228,7,5,11,0,3,3,1217,1026,2244,300,254,547,2907,2839,5745
203021037,71,102,174,610,856,1464,0,0,0,118,139,257,0,0,0,1393,1643,3034,7,14,25,55,81,139,7,13,17,0,0,0,55,64,122,15,11,24,27,25,46,40,50,89,204,221,419,17,23,39,3,0,4,368,589,953,145,178,322,10,3,14,3064,3902,6966,120,66,189,80,56,135,0,6,8,3,0,3,32,27,61,17,29,46,52,56,107,2632,2444,5077,34,25,65,26,22,48,2695,2494,5187,620,628,1251,6714,7310,14021
203021038,194,225,423,1099,1373,2476,0,0,0,324,377,707,30,26,57,2808,3172,5980,20,24,39,330,336,666,44,65,107,30,38,63,82,101,176,12,10,19,38,41,76,56,56,110,355,439,787,43,55,104,28,38,65,275,346,626,355,420,773,4,15,21,5926,6932,12860,60,53,110,571,513,1082,9,7,17,3,0,5,56,51,103,43,60,103,99,110,209,4514,4196,8710,41,28,64,16,19,35,4567,4242,8810,1436,1403,2835,12860,13484,26348
203021039,66,82,153,514,667,1178,0,0,0,69,71,140,0,0,0,1482,1834,3312,12,12,28,122,121,236,18,18,32,8,5,7,27,48,71,3,6,16,9,21,29,33,46,79,154,181,336,13,10,26,7,6,11,206,295,507,121,149,269,9,8,10,2803,3501,6295,125,74,199,61,48,109,3,3,9,0,0,0,33,27,61,22,11,27,54,36,88,2267,2158,4420,22,19,42,10,10,21,2300,2191,4487,689,663,1349,6092,6598,12694
203021040,61,87,147,710,907,1614,0,0,0,128,135,265,10,5,16,2674,3149,5824,13,12,28,222,247,464,25,24,50,11,15,29,70,101,171,4,6,5,11,18,29,48,51,96,251,349,602,13,23,32,7,12,17,397,500,893,246,280,525,3,9,12,4825,5848,10676,112,88,197,128,87,206,5,6,13,0,0,0,32,38,72,21,34,54,58,69,122,3175,3110,6284,47,32,78,20,14,34,3246,3161,6403,811,886,1693,9240,10226,19468
203021041,114,133,245,1099,1469,2568,0,0,0,285,325,610,0,0,0,2371,2869,5235,26,28,61,77,84,163,34,42,78,3,0,3,127,169,295,7,0,7,25,43,65,122,139,260,319,391,702,40,49,92,14,18,35,613,881,1493,302,357,654,7,13,21,5472,6871,12350,136,73,213,97,74,166,3,0,3,0,0,0,46,51,93,35,36,70,80,80,164,4211,3822,8032,35,34,68,11,19,36,4259,3878,8135,985,1015,1998,11152,12122,23275
203021042,107,111,218,1105,1377,2487,0,0,0,254,275,531,36,36,77,2670,2908,5582,10,24,36,126,120,245,8,9,23,8,15,24,96,121,216,12,12,19,18,32,48,86,85,174,270,290,560,13,17,33,5,10,17,641,886,1530,255,345,596,7,6,16,5631,6572,12200,158,95,257,195,114,310,7,8,10,0,0,0,59,44,106,34,30,63,96,75,169,3700,3387,7084,37,29,62,13,20,34,3754,3432,7186,885,857,1744,10831,11268,22098
203021043,56,102,163,886,1100,1984,0,0,0,151,176,324,0,0,0,2250,2372,4623,4,11,15,127,123,250,22,33,59,21,31,53,62,80,144,0,0,0,22,31,45,47,46,93,217,242,462,14,17,25,10,16,23,357,434,792,188,239,429,12,5,12,4390,4950,9333,41,42,79,52,45,97,4,0,6,0,0,0,21,18,32,12,15,28,33,33,66,3047,2819,5870,35,14,48,8,14,22,3092,2852,5941,1707,700,2405,9377,8718,18088
203021044,26,55,86,739,920,1658,0,0,0,139,167,303,0,0,0,1495,1691,3187,7,10,16,48,59,102,27,27,46,4,7,5,44,44,80,0,0,0,10,14,24,68,76,138,162,192,353,30,36,63,8,5,15,326,475,797,142,168,308,3,3,7,3240,3879,7122,35,29,63,14,14,26,0,0,0,0,0,0,13,9,25,3,16,24,15,30,44,2269,2055,4324,24,10,37,8,17,24,2294,2084,4376,564,536,1103,6195,6623,12814
203021045,53,88,144,712,977,1689,0,0,0,97,130,224,0,0,3,1633,1877,3511,9,18,24,68,62,130,29,37,68,20,23,45,44,60,111,0,0,0,21,25,53,35,46,81,241,293,531,12,36,49,10,5,16,349,485,830,157,188,342,4,6,11,3446,4271,7715,56,39,91,28,26,54,3,5,4,0,0,0,22,14,43,13,24,42,38,44,83,2603,2432,5040,25,17,39,16,16,29,2644,2463,5104,681,715,1394,6948,7651,14593
203021046,32,54,90,511,651,1162,0,0,0,45,49,90,0,0,0,1446,1680,3125,3,11,11,71,73,144,7,5,12,0,0,0,36,42,83,0,0,0,13,16,26,16,21,41,110,135,241,3,5,3,0,4,4,237,345,585,79,94,170,4,3,5,2574,3126,5702,48,37,90,39,26,61,3,4,8,0,0,0,12,7,20,11,13,22,24,25,46,1644,1518,3159,26,12,42,10,12,13,1676,1535,3216,478,466,949,4879,5275,10155
203021047,66,106,177,431,497,929,0,0,0,82,99,179,4,4,9,2410,2773,5183,16,19,28,363,359,723,16,27,48,8,5,19,51,74,121,0,0,0,20,26,49,26,37,67,206,222,424,7,8,8,10,17,26,152,221,378,263,308,569,13,17,29,4075,4726,8801,69,54,123,130,96,233,0,0,0,0,0,0,51,40,87,20,23,45,70,61,126,1936,1761,3703,24,16,41,13,21,30,1975,1797,3766,647,744,1399,7042,7587,14631
203031048,33,53,89,798,1046,1845,0,0,0,129,168,296,0,0,0,1485,1656,3137,8,5,19,58,55,117,17,23,33,3,8,8,38,42,76,0,0,0,12,13,30,30,47,76,175,207,381,15,20,39,8,6,14,375,522,896,177,210,388,3,5,12,3330,4033,7366,7,6,14,11,3,13,3,3,7,0,0,0,0,0,0,18,21,34,18,21,34,2407,2260,4667,26,11,35,5,11,24,2445,2276,4722,543,568,1107,6384,6961,13349
203031049,13,22,35,247,304,554,0,0,0,38,50,89,0,0,0,384,437,823,0,3,5,26,13,33,8,6,9,0,0,0,11,10,24,0,0,0,4,7,8,0,3,3,64,75,146,3,4,3,0,0,0,126,197,320,19,35,59,0,0,0,943,1146,2083,8,7,18,0,5,6,0,4,3,0,0,0,3,3,9,8,9,18,11,16,29,1222,1043,2265,5,3,13,0,11,8,1222,1055,2278,308,286,597,2516,2538,5051
