SA2_MAINCODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
202011021,0,6,15,0,0,7,31,0,3,0,3,0,0,7,28,41,13,4,0,0,85,108,23,34,9,0,0,174,78,7,32,7,3,0,134,290,7,64,5,0,0,370,337,4,53,4,0,0,399,121,0,21,0,3,0,138,7,0,5,0,0,0,17,0,0,4,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,3,13,0,6,3,0,0,24,991,90,257,37,13,9,1395
202011022,3,20,28,0,0,17,69,0,11,3,3,0,0,20,23,163,39,4,14,5,246,71,84,45,28,10,7,244,86,50,73,30,7,0,242,469,11,122,16,12,0,639,529,3,125,3,13,0,670,110,0,23,3,0,0,136,5,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,22,18,12,6,4,6,72,1327,362,475,92,72,39,2362
202011023,0,0,9,0,0,3,6,0,0,0,0,0,0,0,0,0,4,0,0,0,5,3,0,3,0,0,0,8,0,0,3,0,0,0,4,8,0,4,0,0,0,17,24,0,11,0,3,0,39,35,0,9,0,0,0,49,3,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,76,0,45,0,10,3,133
202011024,0,0,8,0,3,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,3,3,7,0,0,0,9,8,0,10,0,0,0,23,61,0,13,0,0,0,79,106,0,21,0,3,0,132,10,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,5,198,3,61,3,7,7,281
202011025,0,4,10,0,0,13,25,0,0,0,0,0,0,4,14,35,14,0,3,0,65,16,22,24,3,0,0,70,17,6,17,11,0,0,51,118,15,49,8,3,0,186,377,3,56,3,3,3,445,119,3,17,0,3,0,137,6,0,3,0,0,0,11,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,4,16,678,95,193,25,10,19,1018
202021026,0,0,12,0,3,7,21,0,0,0,0,0,0,0,0,0,10,0,3,0,15,3,0,11,0,4,0,18,6,0,3,0,0,0,14,9,0,15,0,0,0,21,26,0,17,0,3,0,52,25,0,6,0,0,0,30,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,8,85,0,79,0,21,14,197
202021027,0,11,22,0,4,11,47,0,4,0,0,0,0,6,10,66,19,3,0,0,94,19,16,44,10,3,0,90,26,9,34,4,0,0,80,97,3,41,3,6,5,153,227,3,60,0,4,0,290,78,0,25,0,0,0,103,8,0,3,0,0,0,12,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,3,0,0,26,477,122,254,20,15,17,910
202021028,0,4,20,0,8,23,47,0,0,0,0,0,0,3,4,10,27,5,0,0,47,6,0,28,4,0,0,40,15,0,23,0,7,0,36,41,0,38,0,0,0,77,57,0,28,0,0,0,87,9,0,5,0,0,0,17,3,0,3,0,0,0,5,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,0,6,0,20,137,15,179,9,24,25,389
202021029,0,0,19,0,5,6,33,3,0,0,3,3,0,9,3,3,11,0,9,0,25,19,0,32,0,0,0,51,9,0,14,0,0,0,27,33,0,12,0,0,0,51,25,0,9,0,0,0,41,14,0,0,0,0,0,9,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,0,3,0,16,115,4,108,3,22,13,258
202021030,3,4,20,3,3,7,40,0,4,3,8,0,0,15,4,22,9,0,7,0,46,12,12,18,6,0,0,41,24,4,16,0,3,0,49,35,13,33,0,5,0,87,128,3,33,0,4,0,168,127,4,20,0,0,0,158,14,0,4,0,0,0,17,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,8,5,0,3,0,29,363,77,163,18,23,9,659
202021031,0,0,18,0,0,10,25,0,0,0,0,0,0,6,0,16,3,3,0,0,19,3,9,4,3,0,0,22,0,3,4,11,0,0,22,12,3,15,3,0,0,37,60,7,20,0,0,3,86,72,0,19,0,0,0,97,27,0,8,0,0,0,36,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,0,0,0,19,195,38,90,22,7,12,368
202031032,0,0,15,3,3,16,32,0,0,0,0,0,0,4,3,5,19,0,0,0,25,15,0,21,0,0,0,38,4,0,19,0,0,0,27,10,0,10,0,0,0,22,8,0,9,0,0,0,25,7,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,8,52,6,94,3,12,23,192
202031033,0,0,40,0,26,40,111,3,23,14,7,3,0,51,14,5,50,0,14,0,89,29,0,68,4,7,0,106,10,0,27,0,4,0,39,8,0,5,0,3,0,19,0,0,10,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,8,0,24,75,32,230,8,69,43,458
203011034,0,0,5,0,6,9,15,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,7,0,0,0,10,0,0,8,0,0,0,5,12,0,7,0,0,0,25,58,0,23,0,0,0,83,60,0,13,0,0,0,82,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,142,0,70,0,12,8,235
203011035,0,0,15,0,8,17,36,0,0,0,0,0,0,3,3,0,10,0,3,0,19,3,0,10,9,0,0,20,6,0,13,0,0,0,24,13,0,14,0,0,0,33,15,0,9,0,0,0,32,12,0,4,0,0,0,16,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,3,16,59,0,94,8,18,15,197
203011036,0,0,15,0,8,13,33,0,0,0,0,0,0,0,3,13,6,0,3,0,22,3,3,20,0,3,0,29,6,0,23,0,3,0,35,24,3,32,0,4,0,56,33,0,26,0,4,0,62,11,0,9,0,3,0,25,5,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,3,0,13,84,26,141,0,27,18,296
203021037,5,4,21,4,3,18,57,3,5,0,0,0,0,7,16,46,26,14,11,3,113,63,25,40,11,17,0,162,58,8,31,6,20,0,130,185,10,68,7,18,0,284,558,14,104,6,9,0,698,299,4,35,5,5,0,343,25,0,0,0,0,0,22,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,7,16,7,8,0,55,1242,121,347,66,93,30,1892
203021038,11,70,29,8,21,44,180,0,45,3,5,3,3,62,22,516,32,22,3,10,598,127,189,75,27,9,7,427,258,111,81,31,3,0,491,902,150,189,21,21,7,1289,491,46,96,10,11,0,640,64,12,12,0,0,3,90,3,5,6,0,0,0,12,3,0,3,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,38,68,23,4,26,4,169,1915,1208,550,114,105,75,3971
203021039,0,15,20,0,3,15,59,0,14,3,3,0,0,20,16,124,18,4,3,4,171,55,38,60,19,4,0,168,60,10,42,10,3,0,131,201,15,45,0,4,0,267,507,4,102,3,4,0,626,312,0,41,0,6,0,361,92,0,15,0,0,0,116,23,0,5,0,0,0,28,3,0,3,0,0,0,7,3,0,0,0,0,0,3,4,0,0,0,0,0,4,4,0,0,0,0,0,4,23,16,12,0,3,3,59,1304,246,377,36,36,26,2031
203021040,6,13,37,3,3,12,69,6,12,8,0,0,0,24,40,80,39,15,3,3,171,227,23,64,14,5,0,338,159,12,38,12,6,0,234,319,5,81,6,9,0,418,651,9,111,0,8,0,788,431,6,60,0,0,0,498,93,0,13,0,0,0,112,18,0,3,0,0,0,19,4,0,0,0,0,0,4,3,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,6,28,3,16,3,5,6,61,1987,172,469,49,41,25,2737
203021041,0,7,30,0,5,13,56,0,11,7,8,0,0,21,7,80,23,3,0,0,116,11,26,42,11,3,0,89,9,14,30,21,0,0,81,65,7,62,8,3,0,148,427,20,98,20,3,3,567,539,3,112,6,12,3,677,55,0,11,0,0,0,68,8,0,3,0,0,0,8,4,0,3,0,0,0,3,4,0,3,0,0,0,8,3,0,4,0,0,0,5,3,0,0,0,0,0,3,23,13,14,21,6,4,81,1158,181,446,101,28,27,1946
203021042,0,3,24,0,3,8,42,3,0,7,0,0,0,7,7,13,26,15,0,0,65,46,15,69,23,0,3,155,36,3,20,3,0,0,66,129,0,39,0,4,0,175,330,3,68,0,7,0,406,299,0,61,0,3,0,361,124,0,26,0,3,0,150,34,0,9,0,0,0,44,10,0,8,0,0,0,16,0,0,7,0,0,0,4,0,0,4,0,0,0,4,8,0,15,0,0,0,26,13,4,17,0,0,4,34,1042,52,382,37,22,19,1554
