SA2_MAINCODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
201021012,2360,2299,4655,35,37,73,0,3,0,159,164,323,3,0,3,4,3,3,3,0,5,0,0,0,5,5,7,0,0,0,0,0,0,175,175,342,7,3,8,0,3,3,213,218,426,263,257,521,2833,2776,5612
201031013,1349,1326,2669,44,43,85,0,7,7,79,86,172,0,8,7,0,4,8,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,94,110,198,3,5,5,0,0,0,139,158,298,168,154,322,1651,1635,3289
201031014,1637,1591,3224,38,59,99,10,8,25,115,110,221,4,3,9,0,0,0,3,3,3,0,0,0,0,0,4,0,0,0,0,0,0,131,127,266,0,7,7,0,4,6,180,202,375,574,178,757,2389,1968,4358
201031015,1873,1789,3663,29,25,52,3,6,11,182,167,349,3,3,5,6,3,12,8,3,6,0,0,0,0,0,0,0,0,0,0,0,0,198,181,381,0,8,6,5,0,4,234,213,448,158,166,330,2268,2172,4437
201031016,2954,3220,6174,203,237,444,15,13,27,234,263,493,3,4,7,8,7,13,5,3,9,0,0,0,3,6,11,0,0,0,0,0,0,263,288,558,7,11,13,7,3,9,479,540,1022,304,350,649,3737,4107,7845
201031017,2254,2087,4343,59,39,104,11,11,18,156,150,300,8,8,22,3,0,3,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,180,178,353,3,3,9,3,0,4,250,226,470,221,206,426,2726,2510,5234
202011018,5024,5274,10301,217,200,420,46,36,81,732,883,1610,26,20,44,8,15,31,6,3,11,10,14,27,4,9,17,3,0,5,0,0,0,842,980,1818,59,73,124,12,13,30,1125,1273,2396,801,806,1606,6946,7347,14301
202011019,4368,4592,8966,156,215,376,22,13,32,489,548,1038,21,17,45,8,10,14,10,8,13,6,4,11,4,10,16,0,0,0,0,0,0,558,612,1170,21,25,43,15,7,25,746,863,1615,596,645,1243,5714,6105,11821
202011020,4864,5303,10162,167,206,373,35,35,76,679,777,1461,25,16,45,12,18,30,16,9,28,6,7,13,0,4,9,5,0,8,0,0,0,778,880,1661,35,56,83,5,4,9,990,1143,2135,507,583,1092,6359,7031,13389
202011021,3162,3511,6677,134,182,314,27,37,68,554,657,1211,9,16,20,9,8,14,9,10,14,3,5,10,3,4,3,3,3,6,0,0,0,618,735,1355,37,48,84,16,9,25,797,980,1776,360,393,752,4319,4882,9203
202011022,7116,7840,14951,388,406,801,36,45,80,706,845,1546,26,27,56,8,7,21,12,23,30,3,5,8,3,3,6,0,0,0,0,0,0,800,948,1750,49,71,122,15,12,31,1263,1438,2696,847,937,1780,9222,10212,19430
202011023,2138,2125,4265,26,32,59,0,3,8,156,154,314,5,6,13,5,3,8,3,0,3,0,0,0,3,0,4,0,0,0,0,0,0,172,175,348,3,4,13,3,0,3,202,216,424,178,153,334,2520,2495,5015
202011024,3509,3554,7064,108,110,218,17,12,23,333,348,683,17,16,29,7,5,18,10,8,11,0,6,6,0,0,0,4,3,3,0,0,0,386,396,776,15,14,27,4,0,8,506,517,1026,228,210,437,4243,4282,8525
202011025,4311,4527,8840,178,230,406,17,17,32,605,657,1259,12,15,32,11,8,23,0,4,8,0,3,3,7,6,12,3,0,5,0,0,0,657,719,1377,30,30,63,12,10,19,875,985,1864,407,440,840,5593,5947,11544
202021026,2959,2917,5874,32,28,61,17,11,26,282,308,587,3,3,5,0,0,0,3,5,7,0,0,0,0,0,0,0,0,0,0,0,0,301,328,627,8,9,13,7,5,18,353,371,720,262,240,501,3573,3526,7099
202021027,3529,4076,7607,211,230,439,13,13,25,264,326,589,7,7,22,11,9,26,9,3,16,3,3,7,8,4,16,0,0,0,0,0,0,322,367,689,31,32,56,5,5,11,565,638,1198,1152,529,1680,5246,5239,10480
202021028,3526,3406,6931,73,75,153,5,13,17,225,265,490,4,8,17,0,3,4,7,7,12,3,3,3,0,3,10,0,3,3,0,0,0,249,301,547,11,11,22,10,6,13,349,387,739,356,385,742,4231,4188,8414
202021029,1769,1716,3490,56,77,137,7,3,9,138,149,283,8,3,13,10,5,17,4,5,5,3,0,5,3,9,12,0,0,0,0,0,0,163,178,338,4,3,6,3,3,8,228,255,483,241,265,511,2242,2239,4484
202021030,3662,3880,7543,244,258,503,19,24,40,250,292,538,9,4,11,3,6,9,0,6,6,4,3,8,3,0,3,0,0,0,0,0,0,282,337,618,28,19,43,7,16,25,564,622,1183,407,414,821,4633,4916,9545
202021031,2656,2805,5463,83,78,159,11,7,16,222,249,466,3,3,7,4,0,3,4,6,14,4,4,6,0,0,5,0,0,0,0,0,0,245,274,527,14,15,28,3,4,4,346,371,721,281,363,640,3285,3538,6828
202031032,1857,1776,3633,19,27,49,0,3,3,144,146,291,3,3,3,0,0,0,0,4,0,0,0,4,0,0,5,0,0,0,0,0,0,151,158,308,3,3,5,0,0,0,179,186,357,178,160,343,2213,2123,4334
202031033,2908,2770,5678,82,88,172,7,8,20,117,123,243,4,3,13,3,0,3,7,6,16,0,0,0,3,0,6,0,0,0,0,0,0,145,145,293,8,9,15,9,8,17,253,248,503,416,404,823,3575,3424,7001
203011034,2589,2541,5134,99,114,213,11,5,15,254,229,486,5,7,11,0,3,4,0,3,3,0,0,0,3,3,3,0,0,0,0,0,0,276,254,525,7,6,13,14,7,19,394,375,770,206,213,412,3187,3128,6318
203011035,2915,2808,5715,56,51,106,4,3,7,221,245,467,5,5,10,0,0,0,0,3,4,0,0,3,4,0,6,0,0,0,0,0,0,238,265,501,8,5,16,8,5,16,311,327,635,221,214,433,3438,3342,6784
203011036,2390,2332,4718,73,79,146,4,7,9,167,173,343,3,3,3,0,3,6,3,8,8,3,0,3,3,4,7,0,0,0,0,0,0,185,193,383,5,3,8,3,3,6,265,280,541,224,205,428,2873,2816,5688
203021037,5059,5563,10625,183,163,344,13,35,45,700,781,1482,18,32,49,6,7,12,11,9,19,5,14,19,6,6,14,7,4,10,0,0,0,766,885,1648,89,62,149,4,5,10,1046,1117,2162,531,555,1084,6635,7241,13873
203021038,9791,10250,20037,621,681,1301,31,37,72,783,826,1606,40,32,67,18,17,35,12,12,18,0,5,10,3,3,9,3,0,3,0,0,0,888,931,1823,156,171,323,34,25,64,1695,1806,3500,1232,1289,2519,12715,13340,26051
203021039,4457,4696,9150,146,169,315,27,29,53,631,765,1399,24,19,45,8,16,26,12,18,33,0,6,10,8,3,4,7,12,19,0,0,0,725,868,1587,101,129,226,22,8,30,986,1170,2156,587,648,1240,6033,6514,12553
203021040,7022,7735,14756,298,348,651,27,28,49,880,1020,1909,32,24,59,17,12,25,12,9,25,7,5,18,4,13,18,3,3,5,0,0,0,988,1124,2110,114,118,228,19,10,27,1425,1597,3019,663,757,1421,9105,10095,19198
203021041,8179,8969,17146,443,478,920,38,32,70,1302,1366,2668,32,47,76,12,10,30,15,9,27,4,9,13,9,15,24,3,3,5,0,0,0,1413,1492,2902,143,76,219,21,30,45,2015,2073,4088,808,944,1758,11002,11990,22994
203021042,8291,8646,16934,357,397,761,42,53,89,1047,1108,2147,40,34,78,8,17,26,23,22,39,5,9,18,9,4,13,3,13,17,0,0,0,1175,1254,2427,172,135,302,11,7,16,1718,1786,3508,713,714,1428,10718,11145,21864
203021043,6682,6860,13542,374,419,797,17,10,32,526,581,1107,23,19,44,3,5,10,10,11,24,3,0,5,6,3,9,0,0,0,0,0,0,587,639,1226,50,63,113,15,21,33,1028,1145,2169,1557,618,2170,9263,8622,17879
203021044,4924,5245,10170,224,252,478,14,18,35,408,488,899,20,20,39,4,8,9,11,3,8,5,3,9,0,0,0,0,0,0,0,0,0,465,534,1003,20,30,54,10,15,28,725,831,1555,443,471,911,6090,6548,12641
203021045,5482,6066,11550,196,216,411,16,12,34,508,601,1109,13,13,26,3,0,5,10,7,16,3,0,6,3,3,8,5,5,8,0,0,0,562,646,1203,39,30,74,14,14,31,814,906,1715,579,609,1189,6877,7583,14458
203021046,3654,3917,7575,163,189,352,22,20,47,464,529,995,13,13,21,10,6,16,10,12,17,0,0,3,0,0,0,8,3,12,0,0,0,521,595,1112,69,69,135,9,10,18,757,865,1617,424,429,849,4832,5211,10044
203021047,5451,5826,11273,170,193,363,18,16,31,592,627,1220,14,13,31,12,13,18,8,11,21,0,0,0,6,3,11,3,3,4,0,0,0,650,689,1346,74,70,146,14,29,42,909,987,1900,605,700,1307,6966,7506,14477
203031048,5014,5395,10407,310,340,653,8,9,23,464,544,1011,25,17,40,3,0,5,15,12,26,4,3,8,3,6,12,4,4,6,0,0,0,526,610,1129,19,19,41,11,8,20,866,973,1845,442,537,984,6322,6900,13227
203031049,1915,1939,3851,112,115,226,6,9,17,178,171,346,9,12,15,8,0,4,0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,201,197,398,21,20,41,3,8,9,338,339,677,236,241,477,2488,2517,5005
203031050,8651,9045,17695,621,682,1311,36,38,68,936,1041,1977,35,36,69,6,5,7,18,19,43,5,9,15,6,3,13,3,8,12,0,0,0,1044,1157,2201,61,83,147,13,15,33,1744,1942,3689,859,863,1722,11253,11860,23113
203031051,2748,2900,5648,134,157,289,6,12,17,323,328,647,9,8,11,3,6,11,7,4,9,0,0,0,4,3,5,0,4,3,0,0,0,346,356,698,5,3,11,9,8,11,488,521,1011,348,346,698,3584,3772,7354
203031052,1495,1736,3228,69,83,143,3,5,9,125,141,264,7,8,15,3,3,5,3,4,13,0,0,0,3,6,7,0,0,0,0,0,0,147,165,317,10,14,23,0,3,0,225,267,490,194,208,400,1910,2208,4118
203031053,6779,7080,13859,631,660,1289,22,20,44,685,672,1353,24,18,43,7,10,16,15,16,32,6,4,10,12,14,25,5,5,15,0,0,0,779,756,1536,74,78,150,14,11,21,1498,1508,3004,632,636,1270,8905,9224,18131
204011054,2488,2474,4960,167,160,327,8,11,22,136,152,282,9,8,13,3,0,6,3,7,8,0,0,0,0,7,9,0,0,0,0,0,0,164,177,342,25,17,42,3,4,8,355,361,715,312,301,610,3157,3130,6288
204011055,2478,2556,5032,132,141,272,12,23,36,134,154,289,7,20,33,0,0,0,4,5,9,0,0,0,3,0,3,0,0,0,0,0,0,166,202,377,8,12,18,8,8,15,312,363,675,261,269,531,3051,3180,6235
204011056,5375,5441,10812,294,335,625,19,26,49,462,519,984,38,25,59,8,9,14,10,11,15,0,3,4,9,7,12,0,0,3,0,0,0,546,597,1140,34,57,91,9,8,22,885,1003,1880,484,550,1037,6745,6990,13735
204011057,3306,3268,6569,250,267,513,24,35,59,269,302,576,19,18,34,5,9,19,13,12,26,5,8,9,9,6,10,0,0,0,0,0,0,343,391,728,37,39,74,7,9,17,639,700,1337,441,426,863,4377,4391,8774
204011058,1551,1534,3076,84,83,166,6,9,12,112,131,241,9,9,14,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,134,143,276,7,21,25,4,7,5,226,252,481,205,207,411,1982,1986,3970
204011059,2264,2387,4653,168,161,336,8,5,21,126,158,281,21,19,38,5,5,10,4,3,5,3,5,6,0,0,3,3,6,9,0,0,0,171,197,367,73,14,86,4,5,7,418,377,795,408,420,833,3099,3182,6285
204011060,1652,1450,3100,24,19,46,61,31,88,161,114,279,155,77,238,16,12,31,11,5,12,6,0,6,34,23,56,17,6,18,0,0,0,463,275,740,11,7,23,8,4,8,508,303,813,238,217,455,2403,1971,4371
204011061,61,64,130,0,0,3,0,0,0,11,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,17,0,0,0,0,0,0,6,10,19,14,17,31,89,95,183
204011062,1447,1387,2830,67,60,124,0,4,6,92,101,200,0,0,0,0,4,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,98,109,208,3,8,13,4,3,3,172,178,355,184,164,346,1802,1724,3529
204021063,3796,4145,7937,355,398,756,31,37,67,214,249,464,12,14,30,3,0,7,7,5,10,0,3,6,3,10,13,0,0,0,0,0,0,274,324,597,10,15,24,5,8,17,640,742,1391,425,493,916,4865,5381,10244
204021064,1463,1409,2868,17,15,37,9,9,19,100,109,209,7,9,12,0,0,0,0,0,4,3,3,3,0,0,0,0,0,0,0,0,0,117,128,247,6,8,7,3,0,3,141,157,299,216,176,393,1821,1740,3561
204021065,1530,1566,3092,75,72,143,60,74,133,67,69,137,10,3,16,0,0,0,0,0,0,0,0,0,0,3,4,5,3,5,0,0,0,137,155,297,5,11,17,6,4,14,226,242,466,129,137,267,1886,1945,3827
204021066,6798,7611,14410,639,715,1355,46,53,103,365,446,808,26,30,56,4,0,6,10,11,21,0,0,3,9,8,16,0,3,4,0,0,0,464,554,1019,35,46,78,17,15,35,1155,1334,2487,732,881,1612,8687,9824,18514
204021067,4052,3960,8012,84,78,156,20,24,45,214,199,412,13,20,28,7,4,9,6,10,16,0,0,0,0,0,0,0,0,3,0,0,0,261,252,516,5,12,17,5,8,14,361,349,704,402,396,790,4815,4695,9509
204031068,1641,1838,3476,99,115,216,15,22,40,100,111,206,4,10,11,4,3,3,3,0,3,0,4,4,3,3,7,3,4,5,0,0,0,131,151,281,0,10,10,3,3,7,237,275,514,368,184,555,2247,2294,4547
204031069,3110,3114,6229,188,219,405,49,55,107,157,155,316,23,36,58,11,9,13,7,17,26,3,3,5,0,3,3,3,0,3,0,0,0,261,270,530,22,46,66,3,3,4,471,532,1003,424,434,857,4007,4086,8089
204031070,1252,1283,2535,28,25,49,37,39,72,64,64,130,5,9,17,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,115,113,226,0,0,0,0,0,0,138,141,281,124,126,247,1517,1551,3068
204031071,1822,1868,3688,113,106,225,14,12,29,94,106,201,4,4,9,0,0,0,3,4,10,6,7,13,3,3,10,0,0,0,0,0,0,125,138,265,8,13,20,4,3,9,250,262,517,187,206,396,2258,2342,4596
204031072,2435,2330,4765,121,123,240,63,62,125,111,86,190,6,5,15,0,3,5,0,3,4,0,0,3,3,3,10,3,3,4,0,0,0,186,162,349,3,3,10,4,3,9,320,292,612,266,250,521,3025,2876,5893
204031073,5561,5845,11409,234,266,497,156,187,342,506,571,1069,72,63,135,12,19,32,10,15,23,3,4,10,3,3,9,5,14,18,0,0,0,766,873,1635,29,40,64,15,16,27,1041,1187,2231,531,581,1114,7129,7618,14749
204031074,8615,8978,17592,683,713,1393,385,372,751,782,763,1546,158,111,270,30,29,57,46,46,83,21,18,45,18,15,28,32,18,43,0,0,0,1470,1364,2829,69,85,152,22,19,40,2239,2175,4416,1036,1027,2063,11884,12180,24069
204031075,1852,1908,3762,55,73,128,36,36,79,88,115,199,9,9,13,0,0,0,8,11,21,0,0,0,0,0,3,0,0,0,0,0,0,148,173,317,3,10,10,0,0,0,203,252,453,119,117,236,2181,2278,4453
205011076,5864,6175,12034,369,417,789,16,17,31,703,817,1523,31,40,69,8,6,13,12,18,24,4,6,16,4,3,9,0,3,3,0,0,0,781,914,1691,22,16,37,22,13,31,1187,1359,2551,686,713,1400,7735,8252,15985
205011077,2508,2419,4927,59,45,101,3,9,13,193,199,388,4,8,16,0,3,3,0,3,3,0,3,3,0,5,5,0,0,0,0,0,0,206,223,429,3,10,14,5,5,10,272,282,556,258,243,496,3038,2938,5972
205011078,3017,3062,6073,137,158,292,3,3,9,195,276,471,4,12,20,4,0,4,3,0,8,0,0,0,3,3,9,0,0,0,0,0,0,220,292,515,9,13,16,0,0,7,363,466,823,311,342,653,3688,3862,7557
205011079,6873,7460,14335,456,512,966,26,35,58,662,725,1388,30,25,52,8,9,20,16,13,24,0,4,7,0,0,0,6,8,8,0,0,0,741,818,1562,43,51,89,20,22,39,1257,1395,2658,727,833,1555,8857,9683,18545
205021080,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
205021081,5102,5716,10818,439,539,979,38,55,94,373,400,773,31,44,79,14,12,26,9,13,24,0,0,0,7,5,10,3,5,10,0,0,0,475,533,1007,18,16,38,21,18,32,956,1105,2060,751,915,1664,6812,7736,14548
205021082,3257,3064,6325,81,83,163,11,11,19,219,212,435,7,10,15,0,0,0,10,10,16,0,0,4,4,3,7,3,0,8,0,0,0,249,249,502,14,16,22,3,12,12,344,359,701,346,298,652,3954,3721,7672
205021083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021084,3689,3795,7484,287,319,606,31,30,57,253,265,512,24,25,50,8,13,21,14,9,24,7,3,13,10,3,10,3,6,4,0,0,0,344,348,695,4,24,24,6,8,21,645,695,1341,491,507,1000,4830,4995,9830
205021085,2642,2552,5194,148,141,283,33,29,66,88,88,171,6,12,26,3,4,9,7,9,9,0,0,0,0,3,4,0,0,0,0,0,0,140,141,282,9,6,14,10,4,12,303,292,595,317,294,614,3257,3140,6401
205021086,2435,2463,4895,139,142,285,19,15,32,207,227,434,16,22,36,7,0,11,3,3,8,0,0,0,4,4,7,0,0,0,0,0,0,258,274,529,3,9,12,8,7,12,404,428,834,267,260,526,3105,3154,6260
205031087,3361,3394,6750,183,197,383,8,3,13,224,245,472,7,6,16,4,4,9,0,0,3,0,0,0,3,3,7,0,0,0,0,0,0,253,267,519,18,17,31,8,11,15,462,497,958,481,451,938,4308,4339,8643
205031088,48,40,88,0,0,0,0,0,0,3,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,12,0,0,0,0,0,0,5,9,13,6,6,14,61,54,119
205031089,3597,3698,7299,177,213,389,11,8,24,253,311,565,17,16,33,0,0,0,4,5,5,0,0,3,3,0,5,0,0,0,0,0,0,287,343,632,3,12,18,5,3,7,481,570,1049,331,365,696,4413,4625,9036
205031090,4235,4469,8702,264,294,562,8,3,13,293,319,612,16,13,27,0,3,3,8,7,16,3,3,7,0,0,4,0,0,0,0,0,0,328,352,678,14,17,36,10,12,16,611,677,1292,454,501,951,5299,5644,10945
205031091,3771,4070,7839,295,350,647,16,12,26,375,387,765,21,21,44,6,6,15,12,11,23,3,4,5,7,8,15,3,0,3,0,0,0,438,447,888,31,26,58,13,10,26,777,846,1623,397,417,815,4950,5330,10281
205031092,4,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,13
205031093,8139,8573,16711,734,809,1544,27,48,75,670,754,1426,38,33,68,6,4,11,8,17,28,7,3,12,12,7,17,0,0,0,0,0,0,762,875,1635,44,39,79,28,22,48,1563,1746,3306,983,1022,2007,10686,11338,22026
205041094,4519,4562,9082,161,201,365,22,14,34,289,314,605,19,11,31,0,7,6,9,8,14,3,3,5,3,9,9,0,0,0,0,0,0,336,368,706,30,24,52,3,3,10,534,605,1137,535,538,1072,5589,5705,11289
205041095,6299,6656,12950,453,541,990,5,14,21,346,382,729,17,26,45,0,0,0,12,5,18,0,3,7,8,4,12,3,0,4,0,0,0,399,444,843,18,31,43,12,10,22,881,1026,1904,747,758,1509,7926,8433,16367
205041096,5068,5172,10236,351,389,737,14,15,31,370,450,823,16,19,39,7,7,14,19,12,24,3,3,6,0,0,0,0,0,0,0,0,0,431,505,939,26,28,48,17,17,40,822,946,1765,827,829,1653,6712,6950,13657
205041097,9818,10488,20305,832,974,1808,36,35,71,601,655,1261,55,38,94,13,10,21,12,22,28,12,6,13,8,5,16,0,0,4,0,0,0,733,775,1509,56,70,125,32,22,51,1656,1841,3493,1249,1400,2649,12725,13727,26451
205041098,1925,1838,3761,46,39,82,0,0,3,152,142,289,6,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,148,308,4,0,4,5,4,10,211,194,405,164,167,333,2299,2202,4498
205051099,12,5,22,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,16,6,25
205051100,1679,1597,3273,42,28,68,19,5,24,177,142,315,12,7,20,6,0,5,6,3,8,3,3,4,3,3,5,13,5,15,0,0,0,240,168,407,10,9,19,5,3,3,291,208,494,268,231,498,2233,2036,4272
