SA2_MAINCODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
201021011,65,59,31,28,28,16,0,22,0,245,46,50,26,80,29,10,3,13,6,263,127,23,258,102,52,41,49,89,12,757,9,3,4,8,9,9,0,8,0,45,10,9,9,24,13,4,10,11,3,89,6,4,3,0,3,3,4,5,0,30,13,18,13,9,12,5,5,22,9,111,483,763,394,368,246,120,81,213,48,2715
201021012,32,32,14,24,22,7,0,5,0,139,23,30,21,43,33,7,5,7,5,168,113,27,255,70,65,34,78,67,12,726,4,3,0,3,5,0,0,5,0,23,3,5,5,11,8,5,4,7,0,51,0,0,0,0,0,0,3,0,0,5,14,5,18,5,3,11,4,8,3,72,292,408,331,191,190,78,101,113,31,1738
201031013,14,10,0,4,3,4,3,3,0,54,15,14,3,19,11,6,3,0,0,75,74,8,76,45,20,7,29,35,3,297,4,0,0,3,0,0,3,9,0,18,6,0,7,7,8,0,4,6,0,39,3,0,0,0,5,3,0,0,0,16,9,3,4,5,0,0,3,7,4,48,176,124,98,91,62,21,46,71,12,706
201031014,12,12,5,20,11,3,0,3,0,77,19,14,9,33,22,9,5,9,4,118,84,10,127,52,31,20,39,47,7,411,4,0,4,7,3,0,3,3,0,19,8,6,3,12,3,4,3,3,0,36,0,0,0,0,0,0,0,3,0,5,12,3,5,8,8,0,5,7,3,47,208,177,153,140,95,39,55,78,14,960
201031015,11,25,5,14,13,3,0,3,0,70,25,19,21,41,28,5,3,6,3,151,74,31,215,45,52,29,54,56,9,568,3,0,6,0,7,3,3,5,0,30,4,0,6,7,4,6,3,8,0,33,0,0,3,0,0,0,0,0,0,8,19,5,5,4,11,8,8,6,4,71,180,280,267,152,144,55,72,93,20,1252
201031016,12,23,8,14,5,5,4,3,0,84,19,18,13,46,19,10,0,8,3,135,81,23,282,125,54,52,49,95,13,768,7,0,4,9,7,8,4,9,0,51,10,3,3,17,5,3,5,4,0,55,0,0,4,0,0,3,3,0,0,16,10,9,14,12,3,18,3,23,10,106,168,285,333,256,124,102,72,166,25,1527
201031017,13,18,10,13,6,6,0,0,0,72,13,19,9,31,14,3,3,7,0,97,84,17,180,59,37,26,42,75,6,529,0,0,4,3,0,5,3,4,0,24,5,6,0,10,11,5,0,3,0,39,3,0,0,0,0,0,0,0,0,9,14,3,6,3,9,5,6,16,0,71,175,182,226,148,86,59,54,109,20,1057
202011018,19,71,27,40,32,10,3,12,3,218,45,68,40,98,50,29,5,22,7,367,124,62,522,224,140,91,73,169,18,1409,9,5,13,12,9,18,5,23,0,99,11,5,9,27,17,11,12,21,4,123,0,15,0,12,3,5,0,9,0,41,13,16,12,10,11,12,14,23,16,132,405,1376,669,529,384,224,126,321,63,4107
202011019,13,32,13,44,23,7,0,0,3,141,25,32,27,92,42,22,3,18,3,269,102,50,497,209,122,101,109,184,13,1384,9,3,6,16,14,12,10,12,0,86,14,8,9,27,14,10,10,21,0,114,0,3,0,0,3,3,0,3,0,11,8,8,16,23,11,5,10,26,10,119,235,543,598,464,287,181,151,277,41,2775
202011020,36,80,30,54,40,8,0,7,0,255,58,73,41,98,49,22,7,22,6,367,131,47,406,195,112,94,78,74,21,1170,0,3,4,16,13,17,8,16,0,85,10,10,9,27,27,21,9,19,0,132,3,9,5,5,11,0,3,3,0,46,8,8,9,22,9,22,10,17,9,114,497,1367,545,524,388,249,117,191,41,3932
202011021,21,47,13,30,29,7,0,15,0,161,29,59,27,87,58,19,6,7,4,291,92,51,289,155,90,82,48,80,6,896,8,4,6,4,13,11,0,7,0,48,0,3,5,7,14,10,5,8,0,53,7,3,3,3,0,3,3,5,0,23,8,6,3,14,7,14,3,7,7,70,325,1076,373,408,325,182,70,161,29,2946
202011022,44,64,21,52,47,10,3,17,7,272,57,77,52,160,80,40,11,44,9,524,201,91,785,349,192,153,165,269,24,2225,7,7,9,13,17,29,9,39,3,129,8,9,9,36,27,22,11,32,7,154,9,10,3,3,8,3,7,11,3,53,18,22,26,15,9,15,11,28,16,170,498,1228,965,749,517,332,226,487,69,5065
202011023,12,22,12,22,19,3,4,3,0,99,27,36,18,35,31,10,4,6,0,161,97,30,311,71,85,32,41,54,7,734,4,3,0,0,7,6,3,4,0,29,6,3,8,12,12,5,3,8,0,53,0,3,3,0,3,4,0,0,0,14,9,3,16,13,6,6,5,3,0,62,229,423,378,186,211,80,73,83,12,1672
202011024,31,69,16,38,29,9,4,3,0,209,52,48,18,68,51,12,5,6,3,268,114,52,339,125,112,50,63,68,4,938,5,3,5,3,11,8,7,4,3,42,7,3,9,10,18,7,5,7,0,64,0,9,0,3,5,0,0,0,0,23,12,16,11,4,6,10,3,7,5,69,415,1054,429,317,352,130,89,112,23,2911
202011025,33,41,19,36,22,13,8,6,0,187,49,62,40,101,48,20,10,14,3,356,140,64,636,218,184,102,113,137,20,1606,7,3,3,9,15,14,4,12,0,68,17,9,17,38,12,19,14,17,0,135,4,4,7,8,3,3,3,0,0,32,16,14,12,25,23,13,3,23,10,140,371,902,777,529,419,211,164,226,47,3646
202021026,27,56,16,34,26,13,3,3,0,182,35,38,20,50,35,8,4,11,0,201,129,46,353,92,92,52,95,77,14,950,4,0,3,5,9,3,3,7,0,44,12,0,9,17,11,3,5,10,0,67,0,8,4,4,0,0,0,0,3,24,17,5,13,11,5,14,3,11,5,93,370,673,437,257,247,112,122,137,30,2387
202021027,17,81,14,32,22,16,0,15,0,198,26,47,28,55,35,14,9,17,0,232,83,35,271,124,54,40,43,93,10,752,3,0,3,13,3,7,3,3,0,36,4,9,10,18,4,9,7,11,0,71,4,9,0,3,0,0,3,0,4,30,14,13,5,20,15,6,8,19,6,106,346,995,399,380,232,130,81,204,31,2795
202021028,28,57,16,27,29,10,3,6,4,187,41,40,31,40,28,10,7,14,0,218,117,30,310,100,50,47,61,97,18,836,7,4,0,12,7,5,4,5,0,42,17,6,10,18,11,7,3,5,0,72,3,3,4,0,0,0,0,8,0,20,24,16,6,13,10,3,14,12,3,107,438,713,425,288,213,105,103,188,37,2502
202021029,16,22,11,5,12,4,0,3,0,65,17,17,10,17,12,6,0,8,0,88,65,18,162,54,38,30,58,52,3,481,0,0,0,4,0,3,0,3,0,24,9,0,3,3,8,0,3,3,0,30,0,3,0,0,0,3,0,0,0,6,11,3,9,3,3,3,5,14,6,48,158,198,204,110,92,62,80,82,16,996
202021030,38,49,24,39,33,18,3,12,0,214,36,38,25,66,50,20,8,14,5,265,130,35,374,130,60,56,72,102,15,974,11,5,3,7,17,3,6,17,0,59,16,6,8,24,19,7,6,17,0,103,3,12,3,0,3,0,0,10,0,42,12,14,18,22,8,5,5,31,11,127,460,794,506,370,278,134,112,232,41,2922
202021031,34,48,24,35,17,13,3,0,3,174,35,42,19,40,22,12,3,11,4,181,61,38,241,72,38,40,23,39,7,557,3,3,0,9,6,8,0,0,0,25,4,7,5,16,4,6,4,11,0,56,5,4,0,4,0,0,0,0,0,25,0,12,3,14,9,5,3,8,4,64,394,838,333,277,202,119,44,87,36,2321
202031032,22,19,3,12,15,7,3,5,0,77,22,14,16,14,19,7,0,7,0,97,101,22,201,52,53,26,50,55,15,571,3,3,0,0,9,12,3,8,0,40,14,0,5,7,12,0,3,7,0,50,3,6,0,0,0,0,0,3,0,11,9,3,3,6,6,3,3,12,3,59,214,249,240,104,149,63,76,100,25,1225
202031033,52,28,8,16,11,3,4,4,3,123,49,16,4,33,20,4,0,7,3,142,223,23,128,65,45,25,64,102,4,679,7,4,4,3,3,3,0,8,0,45,20,6,3,11,4,3,4,8,0,59,3,0,0,0,3,0,0,0,0,11,24,7,8,14,7,8,5,18,14,100,513,253,164,162,119,58,87,166,26,1535
203011034,30,28,26,16,21,15,9,11,0,158,31,32,25,59,27,20,10,9,4,216,94,23,375,113,108,58,55,88,14,933,0,0,3,4,14,8,3,5,0,35,7,3,6,15,18,7,8,6,0,72,3,5,0,0,0,3,3,3,0,14,10,5,6,15,14,7,0,11,9,72,261,449,466,261,247,129,93,141,30,2073
203011035,39,27,19,27,28,5,4,6,0,158,43,36,21,59,38,7,4,14,3,220,134,31,362,102,69,30,93,115,16,963,10,0,3,5,3,9,8,9,0,41,16,3,11,13,5,4,12,5,0,70,3,0,3,0,0,0,0,0,0,14,27,12,18,11,8,3,5,15,6,96,379,464,464,264,214,82,134,185,39,2222
203011036,31,37,17,16,19,8,7,7,3,146,42,25,17,43,25,12,3,14,3,185,123,22,271,76,54,44,66,64,3,725,4,0,3,6,10,6,0,3,0,37,5,3,9,9,6,9,4,7,0,54,9,3,3,3,0,0,0,3,0,17,18,5,10,5,6,9,5,7,8,74,394,452,359,192,166,111,86,121,24,1909
203021037,40,64,25,44,45,32,12,8,6,276,62,71,61,98,73,39,11,18,5,447,113,55,519,204,154,104,92,118,20,1383,8,3,12,12,10,15,3,8,0,79,11,8,12,21,23,8,3,8,0,99,4,8,4,0,9,0,7,3,0,33,11,17,18,24,14,10,6,10,13,127,472,1432,732,588,517,302,162,256,65,4535
203021038,32,46,37,52,37,17,9,28,3,263,44,57,61,164,56,55,35,40,3,517,142,71,679,443,187,156,240,314,39,2266,9,0,23,31,23,23,18,50,0,173,9,11,17,66,19,19,24,36,0,202,0,6,6,8,5,9,9,10,0,50,13,16,44,38,27,26,47,74,46,326,325,646,910,901,458,364,422,596,106,4725
203021039,52,99,37,47,49,20,8,12,3,333,57,70,56,90,85,25,16,9,8,414,116,66,433,177,114,87,67,119,14,1193,3,3,10,8,9,13,3,10,0,59,15,7,14,27,13,20,6,9,0,108,7,13,6,4,5,0,0,3,0,41,6,16,16,8,10,9,7,24,18,116,585,1626,643,531,479,235,139,234,67,4543
203021040,69,136,71,75,60,24,17,12,7,484,95,120,77,152,129,54,18,29,3,687,171,95,823,302,194,123,120,197,21,2044,7,10,8,21,10,25,7,16,0,96,17,18,10,43,27,14,16,14,0,166,3,17,13,4,4,3,3,3,0,56,13,23,23,23,20,18,13,34,12,177,789,2270,1144,869,763,388,222,369,71,6893
203021041,74,145,56,85,77,38,11,25,7,521,94,160,115,204,138,63,33,42,10,858,231,110,1119,423,259,209,163,240,41,2783,11,9,7,27,25,17,8,23,3,142,17,16,13,31,39,19,25,30,0,191,7,12,6,8,10,4,4,6,0,59,7,27,24,35,20,20,11,24,12,166,732,2080,1442,1059,807,478,280,451,87,7424
203021042,104,170,58,90,91,32,8,17,4,574,128,118,85,121,121,70,12,42,8,701,210,91,702,264,201,162,94,130,14,1864,6,6,3,16,24,18,3,17,0,95,16,17,14,24,37,22,8,10,5,160,15,23,3,8,11,3,0,0,0,69,8,34,15,23,16,20,4,15,8,143,1073,2775,993,812,806,500,159,306,71,7493
203021043,55,89,52,77,46,22,14,17,10,378,87,113,77,163,107,44,22,23,15,643,202,111,779,288,217,141,195,227,44,2211,3,0,11,20,18,9,8,12,0,90,9,14,20,42,25,14,16,24,3,166,7,17,5,9,7,4,0,3,3,58,10,25,24,28,25,17,19,12,18,179,586,1229,1050,760,590,297,311,342,108,5265
203021044,39,62,30,48,48,23,11,16,9,274,69,67,52,129,110,26,3,20,5,484,153,64,630,275,172,103,130,176,23,1729,3,3,3,17,19,7,0,17,0,70,10,5,8,40,30,21,8,8,0,128,0,6,3,0,3,3,0,0,0,23,6,17,15,30,10,17,13,13,4,116,416,849,784,621,469,243,178,276,45,3891
203021045,25,59,28,42,24,14,10,15,0,220,33,47,43,111,69,32,5,30,4,369,114,56,642,311,149,125,118,211,30,1764,6,4,5,27,3,16,6,17,0,85,0,8,12,28,26,13,6,18,3,113,3,5,5,3,3,0,0,10,0,28,12,19,26,19,8,14,20,32,10,166,252,595,812,643,352,264,192,354,51,3529
203021046,67,110,24,43,26,26,3,6,0,306,44,58,34,60,52,13,8,10,0,275,106,40,241,102,81,68,28,36,7,700,0,4,4,9,6,3,0,0,0,38,18,4,3,13,8,16,4,6,3,70,8,12,0,0,4,0,0,0,0,27,13,9,5,9,9,3,0,3,10,62,632,1529,359,376,367,196,57,84,49,3647
203021047,47,60,38,43,50,11,13,15,3,277,51,81,58,102,84,34,10,26,6,448,113,52,555,197,148,67,120,158,24,1446,5,11,4,14,15,15,9,15,0,89,14,14,16,22,32,12,19,8,0,138,8,12,3,4,3,3,4,3,0,45,9,16,9,16,6,9,21,30,21,147,424,979,730,516,449,215,220,291,85,3912
203031048,44,80,32,49,38,17,5,7,5,280,48,60,46,103,81,38,10,23,4,412,114,65,639,259,128,85,103,165,28,1580,5,6,11,14,19,15,5,4,0,76,12,8,11,38,23,9,8,18,0,120,4,5,8,4,0,0,3,0,0,33,16,12,19,23,13,16,13,20,9,133,404,889,793,575,401,223,151,260,60,3764
203031049,32,33,11,18,16,10,0,10,3,133,27,31,16,18,15,19,0,4,7,143,70,14,209,41,33,24,20,40,0,445,5,0,0,3,7,3,0,3,0,25,10,6,3,7,9,5,0,4,0,38,0,8,0,0,0,0,0,0,0,14,11,11,11,9,7,10,0,3,3,59,303,509,305,167,139,99,28,88,30,1673
203031050,92,174,75,101,79,38,10,16,8,600,123,145,111,189,125,61,18,26,11,805,285,109,1066,330,213,172,86,172,35,2478,5,8,11,18,14,17,7,0,0,87,27,10,12,42,25,20,6,16,3,164,4,30,10,11,4,0,0,3,0,72,24,31,31,40,21,12,7,18,17,191,1089,2729,1436,991,789,428,155,301,120,8040
203031051,24,42,16,20,20,6,4,5,0,132,16,33,13,36,26,13,7,3,8,155,66,24,213,81,63,40,46,56,4,594,5,3,3,5,8,7,3,7,0,34,7,7,9,9,14,4,3,0,3,61,4,7,3,3,3,3,3,7,0,33,10,10,7,12,10,11,6,5,7,78,199,392,296,205,186,105,72,99,23,1580
203031052,18,34,10,12,16,4,3,3,5,104,15,18,12,13,14,5,0,3,0,92,36,11,95,21,21,10,5,21,9,227,0,0,0,7,3,0,3,3,3,16,3,5,0,3,0,5,0,6,0,27,0,6,0,0,0,3,0,0,0,10,6,3,0,0,3,3,4,0,6,29,195,424,140,92,119,54,18,46,28,1111
203031053,84,153,48,91,77,44,9,17,5,534,101,138,75,129,98,48,11,22,8,624,240,97,748,186,134,124,70,126,20,1742,6,8,4,11,21,10,3,6,0,77,10,9,14,27,26,28,0,11,3,136,3,14,5,6,12,7,0,0,0,47,17,40,14,23,17,10,10,14,19,169,1031,2339,1003,707,654,387,113,264,97,6593
204011054,28,21,12,16,19,4,0,4,0,106,41,23,10,42,24,14,3,14,4,171,101,25,246,87,54,37,53,81,9,694,7,0,4,10,8,9,0,0,0,36,9,3,9,10,12,0,3,10,0,60,0,3,3,0,0,3,0,0,0,14,21,6,12,9,10,7,4,19,13,90,294,309,313,248,173,83,73,144,31,1667
204011055,55,40,14,17,13,5,0,5,0,146,26,34,22,29,22,4,3,16,0,158,110,21,187,89,50,36,51,85,10,637,7,0,10,0,4,3,3,3,0,29,12,3,5,19,4,3,0,3,3,60,4,3,6,0,3,0,0,4,0,22,19,10,11,4,7,3,10,20,8,84,341,379,267,195,126,71,66,153,27,1622
204011056,46,52,24,38,47,18,11,13,3,249,65,67,54,139,73,28,7,24,4,459,171,61,670,183,167,108,202,181,33,1753,8,4,8,10,14,17,3,30,0,96,11,9,11,28,18,17,12,19,3,139,0,6,7,6,3,3,3,3,0,27,20,18,33,21,20,15,14,21,10,178,465,731,832,512,431,233,262,307,58,3822
204011057,50,48,9,32,27,14,4,12,5,202,51,39,24,61,36,10,5,19,3,252,172,26,408,110,78,66,76,123,9,1075,4,0,10,8,4,8,7,12,3,61,11,10,15,23,12,16,5,14,3,104,8,0,0,3,10,0,0,0,3,24,13,6,17,12,13,22,4,21,14,118,453,548,511,324,240,156,108,244,42,2622
204011058,27,19,12,19,9,3,0,5,0,104,30,18,11,30,11,0,0,12,0,123,88,14,158,39,50,13,38,64,7,463,4,0,0,3,3,4,0,10,0,27,4,5,6,3,7,5,0,15,0,37,0,0,0,0,3,0,0,0,0,7,15,9,5,5,0,4,0,18,14,69,236,204,199,129,107,42,49,136,18,1110
204011059,14,22,7,17,7,6,0,5,3,83,24,22,17,59,32,7,4,10,0,184,50,26,239,86,52,35,55,78,7,633,3,0,5,10,5,3,8,9,0,49,3,0,3,17,9,4,3,14,0,47,3,0,3,0,3,0,8,6,0,14,4,4,14,7,9,8,9,15,5,78,148,247,304,212,145,77,95,159,15,1397
204011060,41,18,7,18,11,8,0,4,0,96,40,21,13,42,30,3,7,10,3,153,82,25,160,110,49,15,48,54,5,550,4,4,3,8,3,4,3,8,0,41,9,0,8,13,13,3,7,3,0,58,3,3,3,3,0,0,0,0,0,22,8,3,6,9,4,5,6,16,6,62,270,247,203,229,137,44,67,106,22,1325
204011061,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,11,0,0,15,0,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,11,9,6,4,0,3,0,44
204011062,25,21,5,16,9,3,0,4,0,83,15,23,6,19,12,8,0,12,0,87,48,18,145,30,24,13,30,50,4,372,5,0,0,0,4,0,0,7,0,23,5,3,7,0,5,3,6,6,0,30,3,3,5,3,0,0,0,0,0,12,19,0,5,7,3,3,10,11,9,68,179,195,187,99,78,44,46,87,19,946
204021063,33,50,17,38,17,12,4,9,3,175,49,43,29,77,42,13,3,21,4,269,126,39,384,157,96,74,85,99,19,1085,3,3,8,8,15,14,3,16,0,62,9,5,13,18,9,12,12,6,0,90,0,4,3,6,3,3,3,0,0,25,15,14,23,17,16,10,21,25,5,143,330,581,485,369,238,150,131,184,35,2503
204021064,34,16,6,10,6,6,0,10,3,96,28,22,13,16,12,0,4,11,0,110,102,14,168,35,46,17,28,43,4,455,7,0,7,3,3,7,0,8,0,38,3,0,5,4,9,0,4,3,0,43,0,0,0,0,3,4,0,0,0,12,14,5,3,5,0,4,4,6,4,48,276,221,207,103,113,41,44,85,20,1125
204021065,11,20,9,12,4,4,0,7,0,71,22,19,6,22,21,9,3,4,0,102,64,19,171,47,42,34,37,82,12,484,3,0,0,0,3,3,0,5,0,11,0,0,0,3,10,0,3,8,0,30,0,0,0,3,0,0,0,0,0,7,12,3,8,4,8,0,7,16,7,68,180,219,198,107,114,58,53,129,17,1077
204021066,56,79,33,69,41,19,6,14,0,310,72,105,34,174,98,46,20,22,5,576,208,76,704,314,204,179,148,195,18,2053,9,0,11,18,27,23,10,23,0,112,23,10,15,49,30,25,14,23,3,188,9,19,4,3,10,4,0,4,0,48,9,18,22,22,7,22,27,28,16,172,552,1358,859,771,531,355,223,338,54,5040
204021067,64,69,18,44,34,7,4,10,3,255,76,59,42,84,52,29,13,15,4,370,238,34,422,131,99,42,105,120,18,1209,14,4,5,10,14,7,4,8,0,62,17,9,9,21,11,10,13,12,0,94,12,5,5,4,3,0,0,10,0,42,28,16,13,16,10,6,9,21,7,126,666,748,553,379,286,115,151,214,43,3152
204031068,27,50,7,20,25,5,0,3,0,138,26,32,14,43,24,5,0,4,0,143,58,24,158,64,21,32,37,47,7,433,4,0,0,3,3,3,0,3,0,21,4,6,0,3,4,3,0,4,0,32,0,3,0,3,0,0,0,3,0,16,5,17,10,9,0,3,4,7,4,58,255,502,207,206,115,76,47,88,20,1509
