SA2_MAINCODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
211011251,133,64,258,2406,2510,1058,855,2425,758,10019
211011254,72,25,150,3093,3269,1422,1140,2706,654,12281
211011255,10,6,32,1393,1394,649,446,1094,321,5301
211011256,83,27,200,3236,3270,1460,1060,2960,603,12591
211011257,38,10,102,1593,1749,769,562,1437,230,6346
211011258,45,9,82,2233,2249,1056,683,1989,382,8590
211011259,243,34,427,2813,3176,1354,1026,2655,590,11605
211011260,428,93,712,3749,3811,1766,1285,3907,673,15194
211011446,261,131,552,4407,4955,2085,1606,3932,1354,18343
211011447,148,83,356,2778,3090,1343,1021,2515,744,11493
211011448,121,16,201,2951,3271,1508,1052,2563,586,11928
211011449,11,7,33,875,974,475,315,563,200,3396
211021261,293,41,499,3275,3343,1699,1300,2793,665,13071
211021262,85,48,175,2070,2205,1122,794,1518,490,8206
211031263,104,129,267,2426,2534,1083,830,1968,746,9580
211031265,134,48,252,3897,4173,1896,1231,2621,669,14485
211031266,300,77,558,3550,3860,1517,1139,3198,822,14076
211031267,230,65,476,4206,4659,2022,1403,3232,905,16423
211031268,91,29,174,1979,2151,1059,745,1397,362,7692
211031450,120,80,336,3001,3521,1408,1004,2506,981,12427
211031451,276,69,525,2700,3038,1269,1025,2246,679,10962
211031452,21,5,48,939,1072,510,357,721,184,3773
211041269,205,32,381,2069,2248,1066,773,2180,470,8814
211041270,99,51,299,3354,3891,1660,1144,2403,694,13140
211041271,152,126,451,2381,2602,1149,771,2079,722,9711
211041272,92,23,191,2021,2361,1102,779,1626,359,8256
211041273,205,68,367,2434,2564,1365,904,2251,396,9902
211051274,11,10,65,1975,2485,1139,782,1107,530,8026
211051275,63,27,159,2049,2177,968,814,1646,474,8127
211051276,152,39,283,2337,3074,1502,1160,1996,1084,11151
211051277,232,51,389,1769,2070,850,657,1656,539,7539
211051278,171,61,372,3763,4076,1850,1409,3137,986,15209
211051279,45,21,113,1037,1263,674,497,784,286,4545
211051280,153,40,248,1330,1557,693,489,1120,330,5527
211051281,102,87,299,4538,4861,2131,1559,3584,1023,17696
211051282,43,11,111,1773,2462,1274,850,1022,554,7922
211051283,38,16,95,1931,2151,1031,800,1368,478,7752
211051284,19,14,72,1987,2506,1100,658,1142,398,7793
211051285,27,17,87,1448,1666,837,635,1089,395,6073
211051286,119,39,259,2750,3431,1736,1546,2385,1236,13090
212011287,23,13,56,2638,2908,1205,907,1928,546,10130
212011288,56,24,137,1544,1774,907,775,1261,660,6928
212011289,95,30,216,3171,4172,2049,1470,2279,1162,14304
212011290,66,34,148,1254,1453,763,599,1222,659,5957
212011291,110,37,223,3323,3735,1496,1327,3016,1059,13957
212011292,219,80,401,4855,5447,2392,2088,4863,1614,21258
212021293,353,117,726,4633,5024,2357,1646,4075,1125,18860
212021294,46,13,93,4708,5099,2140,1870,4160,891,18860
212021295,94,51,204,1634,1607,693,691,3427,1062,9112
212021297,159,13,216,1744,1821,813,679,3005,591,8651
212021299,129,11,172,1572,1561,739,584,1514,396,6368
212021453,121,15,183,2162,2269,1024,858,2777,599,9687
212021454,46,22,126,2440,2591,1159,978,3078,711,10955
212021455,38,18,98,2645,2725,1151,903,2671,574,10672
212021456,142,24,227,2427,2613,1134,1017,3281,746,11218
212031300,90,65,239,3360,3533,1544,1393,4368,1589,15787
212031301,162,35,298,4273,4862,1989,1713,4516,1242,18604
