SA2_MAINCODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
201021011,65,0,0,0,0,70,43,0,0,3,0,44,54,0,0,0,0,53,76,0,0,3,0,74,92,0,0,0,0,98,225,0,0,0,5,233,201,0,0,0,0,202,187,0,0,3,0,185,71,0,0,0,0,74,40,0,0,0,0,44,39,0,0,0,0,39,82,0,0,0,0,83,1181,0,0,15,8,1205
201021012,56,0,0,0,0,52,29,0,0,0,0,29,27,0,0,0,0,27,49,0,0,0,0,49,79,0,0,0,0,79,158,0,0,0,3,160,179,0,0,0,0,179,164,0,0,0,0,164,71,0,0,0,0,71,36,0,0,0,0,36,12,0,0,0,0,12,45,0,0,0,0,50,901,0,0,0,3,908
201031013,27,0,0,0,0,27,29,0,0,0,0,29,26,0,0,0,0,26,52,0,0,0,0,55,59,0,0,0,0,59,77,0,0,0,0,77,50,0,0,0,0,47,19,0,0,0,0,19,12,0,0,0,0,12,3,0,0,0,0,3,0,0,0,0,0,0,23,0,0,0,0,25,375,0,0,0,3,380
201031014,38,0,0,0,0,38,21,0,0,0,0,21,19,0,0,0,0,19,51,0,0,0,0,49,56,0,0,0,0,56,134,0,0,0,0,135,76,0,0,0,0,80,40,0,0,0,0,40,15,0,0,0,0,15,13,0,0,0,0,13,11,0,0,0,0,11,36,0,0,0,0,39,503,0,0,0,3,502
201031015,45,0,0,0,0,46,34,0,0,0,0,34,20,0,0,0,0,20,59,0,0,0,0,59,70,0,0,0,0,70,203,0,0,0,0,201,166,0,0,0,0,163,98,0,0,0,0,103,36,0,0,0,0,36,16,0,0,0,0,16,5,0,0,0,0,9,39,0,0,0,0,39,781,0,0,8,3,789
201031016,45,0,0,0,0,49,64,0,0,0,0,64,54,5,0,0,0,56,88,0,0,0,0,93,151,0,0,0,0,151,212,6,0,0,0,220,103,0,0,0,0,103,50,0,0,0,0,50,6,0,0,0,0,6,9,0,0,0,0,9,10,0,0,0,0,10,41,3,0,0,0,46,836,17,3,3,5,857
201031017,57,0,0,0,0,63,58,0,0,3,0,62,46,0,0,0,0,46,83,0,0,0,0,87,98,0,0,3,0,102,144,0,0,3,0,140,82,0,0,0,0,82,58,0,0,0,0,58,15,0,0,0,0,15,3,0,0,0,0,3,7,0,0,0,0,7,34,0,0,3,0,37,693,0,0,16,3,709
202011018,100,0,3,0,3,103,60,4,0,0,0,70,58,5,0,0,0,61,106,3,0,0,0,108,148,6,0,0,0,156,399,15,4,0,0,417,260,8,6,0,0,272,142,9,3,0,0,152,37,3,0,0,0,41,41,5,0,0,0,41,22,3,0,0,0,27,65,3,0,0,0,65,1429,60,12,4,7,1517
202011019,79,0,0,0,0,80,68,3,0,0,0,71,51,0,0,0,0,51,112,0,0,0,0,113,151,3,0,0,0,153,432,3,3,0,0,441,300,3,3,0,3,307,149,0,0,0,0,149,36,0,0,0,0,36,24,0,0,0,0,22,13,0,0,0,0,13,80,0,0,0,0,80,1480,10,4,0,5,1507
202011020,67,7,0,0,0,72,52,0,0,0,0,55,34,3,0,0,0,36,66,9,0,0,0,77,84,10,0,3,0,96,281,22,3,0,0,304,247,18,5,0,0,270,201,16,3,0,0,224,73,0,0,0,0,73,44,3,0,0,0,47,32,0,0,0,0,34,47,3,0,0,0,49,1231,97,18,3,3,1346
202011021,39,4,0,0,0,47,28,0,0,0,0,34,26,5,0,0,0,25,61,3,0,0,0,59,79,6,0,0,0,86,217,20,0,0,0,237,221,10,0,0,0,233,162,3,0,0,0,171,51,0,0,0,0,51,31,0,0,0,0,31,22,0,0,0,0,22,30,0,0,0,0,30,975,46,0,0,0,1022
202011022,101,5,3,0,0,102,76,0,0,0,0,80,73,4,0,0,0,82,143,7,0,0,0,149,222,8,3,0,0,236,713,26,4,0,6,750,573,5,3,0,0,583,312,3,0,0,0,316,64,0,0,0,0,63,37,0,0,0,0,37,22,0,0,0,0,25,99,0,0,0,0,101,2441,61,20,0,6,2529
202011023,31,0,0,0,0,31,16,0,0,0,0,16,21,0,0,0,0,21,43,0,0,0,0,43,47,0,0,0,0,50,144,0,0,0,0,144,197,0,0,0,0,199,233,0,0,0,3,235,59,0,0,0,0,59,45,0,0,0,0,45,13,0,0,0,0,13,30,0,0,0,0,30,878,0,0,0,3,882
202011024,66,0,0,0,0,64,31,0,0,0,0,28,28,0,0,0,0,28,48,0,0,0,0,48,82,0,0,0,0,82,213,0,0,0,0,214,286,0,0,0,0,286,351,0,0,0,0,351,138,0,0,0,0,138,82,0,0,0,0,82,40,0,0,0,0,40,51,0,0,0,0,51,1408,0,3,0,3,1416
202011025,62,0,0,0,0,62,41,0,0,0,0,41,40,0,0,0,0,40,83,0,0,0,0,83,112,0,0,0,0,112,390,6,0,0,0,395,605,0,0,0,0,607,355,0,0,0,0,352,58,0,0,0,3,66,43,0,0,0,0,46,18,0,0,0,0,18,65,0,0,0,0,72,1891,3,0,3,4,1903
202021026,69,0,0,0,0,67,28,0,0,0,0,27,22,0,0,0,0,25,56,0,0,0,0,56,83,0,0,0,0,83,197,0,0,0,3,204,265,0,0,0,5,269,255,0,0,0,6,266,79,0,0,0,0,84,58,0,0,0,0,58,35,0,0,0,0,34,71,0,0,0,0,70,1212,0,3,4,21,1236
202021027,99,3,0,0,3,104,60,0,0,0,0,62,43,0,0,0,0,47,91,0,0,0,0,91,112,3,0,0,0,120,303,3,0,0,3,311,233,0,0,0,0,240,176,0,0,0,0,178,43,0,0,0,0,45,32,0,0,0,3,34,16,0,0,0,0,11,42,3,0,0,0,44,1248,13,6,0,9,1280
202021028,75,0,0,0,3,85,48,0,0,0,3,54,51,0,0,0,0,51,97,0,0,0,0,103,114,0,0,0,3,116,273,0,0,0,4,277,220,0,0,4,0,223,176,0,0,0,0,174,61,0,0,0,0,61,38,0,0,0,0,38,17,0,0,0,0,17,72,0,0,0,0,72,1248,0,0,7,17,1271
202021029,27,0,0,0,0,34,37,0,0,0,0,37,35,0,0,0,0,32,42,0,0,0,0,45,59,0,0,4,0,58,155,0,0,0,0,159,98,0,0,0,0,98,77,0,0,0,0,77,24,0,0,0,0,24,24,0,0,0,0,27,12,0,0,0,0,12,27,0,0,0,0,29,621,0,4,3,5,638
202021030,61,0,0,0,0,63,37,0,0,0,0,37,32,0,0,0,0,32,41,0,0,0,0,44,85,0,0,0,0,85,258,6,3,0,0,270,289,0,0,0,0,287,270,3,0,4,0,273,87,0,0,0,0,89,85,0,0,0,0,82,44,0,0,0,0,46,68,0,0,3,0,64,1350,10,10,14,0,1383
202021031,59,0,0,0,0,58,25,0,0,0,0,25,29,0,0,0,0,29,40,0,0,0,0,40,52,0,0,0,0,52,146,3,3,0,0,152,149,0,0,0,0,149,208,3,0,0,3,217,134,0,0,0,0,134,82,0,0,0,0,82,50,0,0,0,0,50,42,0,0,0,0,42,1026,3,3,0,0,1034
202031032,34,0,0,0,0,33,35,0,0,0,0,35,27,0,0,0,0,28,46,0,0,0,0,45,62,0,0,0,0,64,147,0,0,3,0,149,103,0,0,0,0,103,95,0,0,0,0,95,39,0,0,0,0,40,14,0,0,0,0,14,9,0,0,0,0,9,45,0,0,0,0,45,666,0,0,11,3,675
202031033,98,0,0,0,0,98,78,0,0,3,4,82,48,0,0,0,0,50,96,0,0,3,0,98,87,0,0,0,0,87,118,0,0,0,0,123,46,0,0,0,0,50,28,0,0,0,0,28,17,0,0,3,0,19,15,0,0,3,0,18,8,0,0,0,0,8,47,0,0,0,0,55,691,0,0,14,8,712
203011034,27,0,0,0,0,27,15,0,0,0,0,15,15,0,0,0,0,15,19,0,0,0,0,19,48,0,0,0,0,48,169,0,0,0,0,172,237,0,0,0,0,237,319,0,0,0,0,319,108,0,0,0,0,108,63,0,0,0,0,63,34,0,0,0,0,34,55,0,0,0,0,54,1120,0,0,0,0,1126
203011035,54,0,0,0,0,54,45,0,0,0,0,45,25,0,0,0,0,30,62,0,0,0,0,62,83,0,0,0,0,88,223,0,0,5,0,233,222,0,0,0,0,220,260,3,0,0,0,264,98,0,0,0,0,98,47,0,0,0,0,49,22,0,0,0,0,22,78,0,0,0,0,84,1232,3,8,3,0,1246
203011036,45,0,0,0,0,45,22,0,0,0,0,24,18,0,0,0,0,18,32,0,0,0,0,32,48,0,0,0,0,52,141,0,0,0,0,136,125,0,0,0,0,125,145,0,0,0,0,146,65,0,0,0,0,64,64,0,0,0,0,63,41,0,0,0,0,41,39,0,0,0,0,39,792,0,0,3,3,802
203021037,75,10,0,0,0,86,50,3,0,0,0,52,44,9,0,0,0,51,67,19,0,0,0,83,106,18,3,0,0,125,283,37,3,0,0,328,406,31,0,0,0,436,312,19,0,3,3,336,91,4,0,0,0,99,52,7,0,0,0,57,27,0,0,0,0,27,49,8,0,0,0,62,1560,159,9,8,3,1744
203021038,154,3,0,0,0,154,111,3,0,0,0,112,80,4,0,0,0,86,210,7,0,0,0,221,280,16,5,0,0,301,735,28,14,0,3,782,449,8,0,0,0,461,206,6,0,0,0,212,52,0,0,0,0,58,40,0,0,0,0,40,26,0,0,0,0,26,148,0,0,0,0,151,2500,77,24,0,4,2607
203021039,74,15,0,0,0,85,37,3,0,0,0,42,36,3,0,0,0,37,62,3,0,0,0,68,71,15,4,0,0,92,220,32,12,0,0,265,217,24,12,0,0,252,238,31,10,3,0,285,108,11,5,0,0,117,88,7,6,0,0,98,36,10,0,0,0,51,32,7,3,0,0,46,1210,165,55,4,0,1437
203021040,107,3,3,0,0,118,62,6,9,0,0,73,71,4,7,0,0,78,103,16,6,0,0,127,151,14,18,0,0,181,381,41,36,0,0,460,459,28,12,0,0,502,478,15,9,0,3,504,177,3,3,0,0,185,97,3,3,0,0,106,60,3,0,0,0,62,102,8,5,0,0,120,2249,141,108,3,6,2510
203021041,122,3,0,0,0,124,76,0,0,0,0,78,62,3,0,0,0,67,132,5,0,3,0,143,189,12,0,3,0,202,569,38,0,8,0,614,778,54,0,12,0,843,757,27,0,14,0,800,164,7,0,6,0,174,93,4,0,3,0,101,43,0,0,0,0,40,109,4,0,3,0,114,3087,168,3,45,3,3309
203021042,136,3,0,0,0,144,60,3,0,0,0,64,50,3,0,0,0,60,106,12,0,0,0,114,104,5,0,0,0,114,371,25,0,0,0,398,489,26,0,0,0,517,648,22,0,0,0,674,341,0,0,0,3,346,244,4,0,0,0,248,97,3,0,0,0,102,105,3,0,0,0,110,2756,117,3,0,5,2883
203021043,101,10,0,0,0,111,51,3,0,0,0,54,51,4,0,0,0,52,79,3,0,0,0,87,139,12,0,0,0,152,392,29,0,0,0,418,542,31,0,0,0,578,605,16,0,0,0,624,228,4,0,0,0,232,136,5,0,0,0,143,53,0,0,0,0,56,126,8,3,0,0,132,2512,128,3,3,3,2646
203021044,91,0,0,0,0,90,48,3,0,0,0,49,27,0,0,0,0,27,99,3,0,0,0,101,124,5,0,0,0,134,362,8,0,3,0,369,485,8,0,0,0,495,483,6,0,0,0,486,105,0,0,0,0,105,66,0,0,0,0,67,29,0,0,0,0,29,84,0,0,0,0,90,1999,44,0,4,0,2042
203021045,105,7,0,0,0,109,53,7,0,0,0,61,52,7,0,0,0,60,96,7,0,0,0,101,165,16,0,0,0,179,464,34,0,0,0,501,364,17,0,0,5,378,238,3,0,0,0,241,56,5,0,0,0,59,32,3,0,0,0,34,12,0,0,0,0,12,84,7,0,0,0,85,1714,100,3,7,6,1835
203021046,69,6,0,0,0,75,22,7,0,0,0,28,24,4,0,0,0,31,31,3,0,0,0,32,42,6,3,0,0,56,121,24,4,0,0,152,129,27,3,0,0,158,237,29,0,0,0,263,95,16,0,0,0,104,142,9,0,0,0,146,105,4,0,0,0,108,59,6,0,0,0,68,1073,128,15,0,3,1216
203021047,63,3,0,0,0,67,43,5,0,0,0,50,31,4,0,0,0,34,90,4,4,0,0,100,105,6,3,0,0,117,325,24,15,0,0,368,300,23,14,0,0,331,239,19,9,0,0,264,89,10,0,0,0,95,51,3,0,0,0,54,43,0,0,0,0,43,62,3,0,0,0,63,1433,108,44,3,4,1589
203031048,77,3,0,0,0,83,57,0,0,0,0,61,58,3,0,0,0,60,104,4,0,0,0,100,114,3,0,0,0,118,352,12,0,0,0,365,438,3,0,0,0,441,356,4,0,0,4,357,100,0,0,0,0,101,62,0,0,0,0,66,44,0,0,0,0,46,73,4,0,0,0,75,1830,29,0,3,6,1870
203031049,32,4,0,0,0,32,15,0,0,0,0,12,9,0,0,0,0,9,12,0,0,0,0,12,31,0,0,0,0,38,68,0,0,0,0,72,67,0,0,0,0,70,101,0,4,0,0,103,54,0,0,0,0,56,34,0,0,0,0,42,14,0,0,0,0,17,21,0,0,0,0,26,459,3,6,0,4,483
203031050,140,3,0,0,0,143,62,3,0,0,0,65,60,4,0,0,0,63,92,8,0,0,0,106,135,12,0,0,0,141,417,20,4,0,0,441,577,25,0,0,0,606,824,30,4,0,0,858,311,9,0,0,0,320,247,7,0,0,0,252,116,6,0,0,0,121,131,4,0,0,0,138,3105,129,14,0,5,3249
203031051,36,0,3,0,0,43,14,0,0,0,0,13,20,0,0,0,0,20,35,4,0,0,0,38,36,0,0,0,0,40,113,4,0,0,0,118,127,0,3,0,0,132,117,0,0,0,0,122,46,0,0,0,0,46,32,0,0,0,0,37,19,0,0,0,0,19,39,0,0,0,0,35,625,13,7,0,0,658
203031052,13,0,0,0,0,14,11,0,0,0,0,11,3,0,0,0,0,3,15,6,0,0,0,19,19,0,0,0,0,22,57,4,0,0,0,59,39,0,0,0,0,43,58,0,0,0,0,63,24,0,0,0,0,24,33,0,0,0,0,36,24,0,0,0,0,22,19,0,0,0,0,17,319,12,4,0,0,337
203031053,106,5,0,0,0,114,51,3,0,0,0,55,45,4,0,0,0,46,58,3,0,0,0,59,98,3,0,0,0,108,294,14,0,0,0,310,332,12,0,0,0,347,561,15,0,0,0,581,318,11,0,0,0,334,265,6,3,0,0,275,141,3,0,0,0,144,113,0,0,0,0,112,2387,96,10,0,0,2485
204011054,39,0,0,0,0,38,26,0,0,0,0,26,33,0,0,0,0,35,46,0,0,0,0,48,70,0,0,0,0,75,180,0,0,0,0,184,122,0,0,0,0,119,90,0,0,6,3,94,31,0,0,0,0,26,21,0,0,0,4,27,14,0,0,0,0,14,37,0,0,0,0,40,709,3,0,9,11,735
204011055,57,0,0,0,0,57,34,0,0,0,0,37,43,0,0,0,0,40,79,0,3,0,0,80,83,0,0,0,0,82,175,0,0,0,0,177,94,0,0,0,0,97,66,0,0,0,0,66,21,0,0,0,0,21,17,0,0,0,0,17,11,0,0,0,0,13,42,0,0,0,0,42,722,3,3,0,0,734
204011056,84,4,0,0,0,88,46,0,0,0,0,46,49,0,3,0,0,58,91,3,0,0,0,97,126,4,3,0,0,136,421,4,6,0,0,431,472,9,3,0,0,480,370,0,0,0,0,370,127,0,0,0,0,131,89,0,0,0,0,95,48,0,0,0,0,48,119,0,0,0,0,120,2058,21,11,0,6,2096
204011057,49,0,0,0,0,50,35,0,0,0,0,35,37,0,0,0,0,37,47,0,0,0,0,47,92,0,0,0,0,100,203,0,0,0,0,211,186,3,0,0,0,188,152,0,0,0,0,149,55,0,0,0,0,55,38,0,0,0,0,41,17,0,0,0,0,21,63,0,0,3,0,63,973,3,4,7,3,995
204011058,24,0,0,0,0,24,24,0,0,0,0,25,18,0,0,0,0,18,30,0,0,0,0,32,47,0,0,0,0,46,102,0,0,0,0,102,84,0,0,0,0,86,57,0,0,0,0,57,18,0,0,0,0,21,11,0,0,0,0,11,12,0,0,0,0,12,29,0,0,0,0,32,458,0,3,4,0,462
204011059,38,0,0,0,0,43,24,0,3,0,0,31,20,0,0,0,0,20,52,0,0,0,0,52,87,0,4,0,0,92,186,0,0,0,0,189,122,0,0,0,0,120,61,0,0,0,0,65,21,0,0,0,0,21,7,0,0,0,0,7,12,0,0,0,0,12,32,0,0,0,0,32,662,3,8,0,0,680
204011060,36,0,0,0,0,36,16,0,0,0,0,16,10,0,0,0,0,10,26,0,0,0,0,22,29,0,0,0,0,32,92,0,0,0,0,96,79,0,0,0,0,82,92,0,0,0,0,90,39,0,0,0,0,39,28,0,0,0,0,28,10,0,0,0,0,11,32,0,0,0,0,32,496,0,0,3,3,506
204011061,3,0,0,0,0,3,4,0,0,0,0,4,3,0,0,0,0,3,9,0,0,0,0,9,3,0,0,0,0,3,12,0,0,0,0,12,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,45,0,0,0,0,45
204011062,23,0,0,0,0,23,13,0,0,0,0,13,15,0,0,0,0,15,22,0,0,0,0,22,32,0,0,0,0,32,97,0,0,0,3,103,85,0,0,0,0,85,67,0,0,0,0,64,18,0,0,0,0,18,13,0,0,0,0,13,11,0,0,0,0,11,26,3,0,0,3,24,418,3,0,0,3,429
204021063,52,0,0,0,0,53,50,0,0,0,0,50,34,0,8,0,0,38,111,0,3,0,0,112,134,0,3,3,0,139,317,0,5,0,4,326,173,0,3,0,0,174,135,0,0,0,0,137,42,0,0,0,0,45,22,0,0,0,0,22,19,0,0,0,3,16,60,0,0,0,0,63,1144,3,22,4,10,1183
204021064,32,0,0,0,0,32,23,0,0,0,0,23,18,0,0,0,0,18,36,0,0,0,0,36,53,0,0,0,0,53,95,0,0,0,0,95,85,0,0,0,0,87,57,0,0,0,0,64,22,0,0,0,0,22,10,0,0,0,0,13,9,0,0,0,0,9,38,0,0,0,0,38,488,0,0,3,0,490
204021065,30,0,0,0,0,30,9,0,0,0,0,9,16,0,3,0,0,24,28,0,0,0,0,32,48,0,4,0,0,53,144,0,3,0,0,147,101,0,0,0,0,103,59,0,0,3,0,58,27,0,0,0,0,24,11,0,0,0,0,11,3,0,0,0,0,3,26,0,0,0,0,29,517,3,10,3,0,537
204021066,102,3,0,0,0,107,81,0,0,0,0,79,64,0,0,0,0,64,130,13,0,0,0,143,239,16,0,0,0,254,620,25,3,0,0,640,457,8,0,0,0,467,290,0,0,0,0,294,78,0,0,0,0,78,45,3,0,0,0,50,17,0,0,0,0,22,84,3,0,0,0,92,2206,74,7,3,4,2286
204021067,58,0,0,0,0,59,48,0,0,0,0,51,41,0,0,0,0,41,83,0,3,0,0,88,102,0,0,0,0,105,272,0,0,0,0,278,224,0,0,0,3,229,194,0,0,0,0,200,84,0,0,0,0,86,60,0,0,0,0,62,31,0,0,0,0,31,71,0,0,0,0,73,1270,0,5,9,8,1289
204031068,25,0,0,0,0,25,13,0,0,0,0,13,18,0,0,0,0,18,32,0,0,0,0,33,44,0,0,0,0,44,101,0,0,0,0,107,125,3,0,0,0,126,79,0,0,0,3,83,30,0,0,0,0,28,11,0,0,0,4,18,9,0,0,0,0,9,21,0,0,0,0,22,503,8,4,0,11,526
204031069,56,0,3,0,0,58,33,0,3,0,0,38,35,0,3,0,0,39,57,3,0,0,0,62,84,5,3,0,5,92,170,3,3,4,5,187,167,0,4,0,0,171,93,3,0,0,8,104,45,0,0,0,0,44,29,0,0,0,0,36,18,0,0,0,0,21,39,0,0,0,0,46,828,16,21,3,19,894
204031070,19,0,0,0,0,19,18,0,0,0,0,18,18,0,0,0,0,23,35,0,0,0,0,35,40,0,0,0,0,39,131,0,0,0,0,130,85,0,0,0,3,88,72,0,0,0,0,71,21,0,0,0,0,21,26,0,0,0,0,22,13,0,0,0,0,13,25,0,0,0,0,31,505,0,0,3,8,515
