SA2_MAINCODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
201021011,19,27,45,8,0,11,3,0,3,3,0,4,0,3,3,1204,1079,2286,59,66,128,39,0,39,3,0,3,4,4,8,19,12,26,91,91,180,1452,1290,2745,3,3,4,0,0,0,0,3,3,26,22,43,0,3,5,0,0,0,28,26,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,4,26,49,34,84,7,9,23,0,0,0,0,0,0,13,16,25,274,245,519,169,294,465,37,30,60,1991,1901,3891
201021012,14,13,31,6,3,6,0,0,0,0,0,0,3,0,3,941,794,1743,48,53,97,48,0,52,13,0,13,3,0,3,9,4,19,41,19,64,1133,892,2023,0,0,0,0,0,0,0,0,0,22,8,30,3,9,12,0,0,0,22,17,40,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,12,8,15,34,24,59,10,11,20,0,0,0,3,0,3,14,11,19,106,89,198,116,200,313,21,24,43,1426,1234,2660
201031013,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,375,325,707,20,33,49,28,3,28,3,0,3,4,0,4,12,0,12,45,21,69,485,388,875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,5,0,8,0,0,0,0,0,0,0,0,0,3,0,5,92,68,161,58,87,143,11,4,19,654,549,1209
201031014,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,580,457,1037,17,39,55,26,3,26,0,0,0,0,0,3,7,4,12,33,20,49,667,531,1199,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,9,4,12,0,0,0,0,0,0,0,0,0,3,0,3,109,82,191,77,124,194,14,16,29,870,764,1628
201031015,3,5,7,0,3,3,0,0,0,0,0,0,0,0,0,736,608,1347,39,28,68,24,0,27,7,0,7,0,0,3,11,0,15,12,20,35,835,667,1503,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,13,0,13,0,0,0,0,0,0,0,0,0,4,0,4,78,63,138,95,143,236,14,11,31,1036,885,1919
201031016,3,0,3,3,0,3,0,0,0,0,0,0,3,0,0,941,834,1768,57,85,144,25,0,25,3,4,6,16,11,30,4,4,12,90,64,153,1147,997,2140,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,5,5,9,0,0,0,0,0,0,0,0,0,0,0,0,36,50,83,117,199,316,15,16,33,1317,1271,2586
201031017,3,0,3,4,0,3,0,0,0,0,0,0,0,0,4,691,554,1244,38,42,77,16,0,14,0,0,0,3,0,3,10,3,10,46,22,74,806,621,1428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,93,61,155,81,135,214,14,12,28,1010,828,1840
202011018,24,15,39,33,38,69,0,0,3,0,3,3,6,14,20,2031,1766,3799,143,193,338,25,3,29,18,6,25,79,16,91,17,7,27,286,334,620,2661,2400,5063,3,0,5,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,4,9,13,0,0,0,0,0,0,0,3,3,0,4,3,3,0,3,9,5,11,34,13,47,41,30,72,5,4,7,0,0,0,4,0,4,10,4,14,79,102,185,266,397,665,28,22,55,3093,2962,6047
202011019,3,9,12,32,27,61,0,3,3,0,3,3,6,7,8,1784,1579,3369,139,132,270,51,3,50,23,6,26,17,5,23,14,3,19,37,27,59,2099,1795,3895,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,3,5,3,0,0,0,3,7,10,16,7,19,22,14,32,5,3,7,0,0,0,0,0,0,3,7,10,47,72,122,196,358,552,25,27,55,2403,2267,4667
202011020,19,8,27,22,20,45,0,0,0,0,0,0,0,8,9,2161,2020,4185,147,189,336,28,0,26,27,4,30,42,14,50,13,5,16,106,93,197,2566,2360,4928,0,3,3,0,0,0,3,0,3,3,0,5,5,0,5,0,0,0,9,6,16,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,6,4,12,25,17,41,39,23,65,3,0,5,0,0,0,0,3,4,5,3,11,92,132,218,251,424,680,17,20,38,2975,2965,5945
202011021,13,10,25,18,24,47,0,0,0,0,0,3,7,5,17,1455,1450,2911,94,127,220,18,0,18,21,4,23,67,25,88,15,8,18,84,76,166,1796,1735,3529,3,0,3,0,0,0,0,0,3,5,6,9,0,0,0,0,0,0,8,5,14,0,0,0,0,0,0,5,0,3,0,3,3,3,0,3,9,3,13,25,17,42,40,31,67,3,8,7,0,0,3,0,0,0,6,8,10,64,77,139,180,382,560,22,7,25,2105,2237,4341
202011022,28,16,41,35,39,79,4,0,3,0,0,0,10,7,13,3178,2926,6104,199,242,441,51,0,50,23,5,29,48,11,57,25,13,41,57,72,126,3666,3332,6995,3,0,3,0,0,0,0,0,0,8,4,17,3,0,6,0,0,3,15,10,25,0,0,0,0,0,0,0,3,0,4,0,3,0,3,3,7,8,15,36,17,52,59,32,90,4,0,3,0,0,0,0,0,0,7,0,8,90,122,212,315,516,830,31,31,64,4168,4027,8195
202011023,5,7,11,11,9,17,0,0,0,0,0,0,0,0,3,1062,841,1908,52,63,106,26,0,29,4,0,4,3,0,3,3,0,7,14,11,27,1182,930,2113,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,13,12,8,25,0,0,0,0,0,0,0,0,0,0,0,0,36,51,88,95,187,282,13,14,29,1343,1189,2538
202011024,10,6,13,21,9,31,0,3,3,4,0,4,0,0,0,1658,1398,3056,67,121,189,20,0,20,14,0,14,18,0,17,9,3,16,24,16,37,1843,1565,3403,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,3,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,11,4,18,19,6,25,0,0,0,0,0,0,0,0,0,0,0,0,78,109,187,196,359,556,24,24,42,2162,2060,4219
202011025,11,12,19,27,24,50,0,0,0,0,0,0,6,3,10,2221,1905,4131,131,147,277,37,3,39,15,3,17,21,7,29,11,6,19,46,37,82,2524,2143,4669,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,3,3,12,0,0,0,0,0,0,4,0,4,0,3,3,0,0,0,3,3,8,13,13,26,21,21,42,0,0,0,0,0,0,0,0,0,3,0,4,54,83,137,215,507,722,31,35,68,2850,2789,5639
202021026,6,4,11,9,3,8,0,0,0,3,0,3,0,0,0,1316,1156,2469,75,83,161,51,3,54,8,0,11,8,0,5,8,6,9,35,19,52,1519,1273,2795,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,5,4,9,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,12,3,18,19,5,31,0,4,7,0,0,0,0,0,0,0,4,7,106,123,226,153,277,422,26,21,41,1819,1697,3523
202021027,93,90,187,3,5,7,0,0,0,0,0,0,0,0,3,1178,1116,2294,102,99,202,17,0,17,10,0,10,39,25,64,18,4,19,103,102,200,1565,1441,3011,3,4,3,0,0,0,4,6,8,17,9,31,0,7,4,20,5,29,47,31,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,30,65,43,107,12,15,27,0,0,0,0,0,0,14,15,31,147,175,324,167,352,517,28,33,57,1990,2057,4042
202021028,24,21,46,4,3,8,0,0,0,3,0,7,0,3,6,1222,1054,2274,53,58,114,29,0,30,8,0,8,8,9,17,12,5,18,69,53,114,1439,1199,2641,3,3,3,0,0,0,0,0,3,20,7,23,7,3,5,0,0,0,29,13,40,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,5,0,4,12,9,14,43,19,63,18,16,28,0,0,0,0,0,0,18,13,30,202,176,378,200,285,482,25,27,56,1921,1722,3646
202021029,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,611,464,1072,16,23,46,20,0,23,0,0,0,3,0,3,7,7,19,28,26,50,691,521,1214,0,0,0,0,0,0,0,0,0,3,3,3,0,3,3,0,0,0,3,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,11,9,7,19,0,0,0,0,0,0,0,0,0,0,0,0,66,68,132,77,112,188,8,3,16,856,723,1576
202021030,111,70,178,4,3,4,0,0,0,3,3,3,3,0,3,1378,1163,2534,82,101,181,42,0,42,3,0,7,14,5,13,16,9,20,102,79,182,1747,1432,3178,5,4,3,0,0,0,9,8,20,28,22,53,0,11,11,6,0,7,49,43,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,22,63,48,114,15,23,37,0,0,0,0,0,0,15,23,37,181,200,378,203,335,534,19,30,52,2219,2069,4291
202021031,140,86,224,8,5,13,0,0,0,0,0,0,0,0,3,995,853,1852,49,54,101,17,0,18,5,0,5,18,0,14,8,8,19,32,31,66,1270,1040,2307,3,7,5,0,0,0,10,10,19,30,21,47,4,3,10,3,3,9,47,35,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,54,40,94,17,19,33,0,0,0,0,0,0,17,19,31,116,153,269,158,261,414,23,24,44,1632,1535,3166
202031032,3,0,3,7,3,8,0,0,0,0,0,0,0,0,0,747,572,1324,32,33,68,22,0,24,3,0,6,4,3,7,8,3,9,46,28,75,876,646,1526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,9,3,8,0,0,0,0,0,0,0,0,0,0,0,0,108,103,211,65,140,207,13,7,24,1066,907,1973
202031033,0,4,0,0,3,3,0,0,0,0,0,0,0,0,0,798,643,1438,32,39,72,40,3,42,11,3,15,10,3,11,27,8,34,130,104,233,1053,805,1851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,12,10,4,16,0,0,0,0,0,0,4,0,4,4,0,4,278,196,475,83,162,245,24,26,49,1452,1188,2638
203011034,18,5,22,7,4,9,0,0,0,0,0,0,0,0,0,1252,973,2217,71,66,137,15,4,17,3,0,3,3,3,3,10,0,9,23,21,48,1404,1069,2469,0,0,0,0,0,0,0,0,0,7,11,18,0,0,0,0,0,0,7,12,16,0,0,0,0,0,0,0,0,5,0,3,3,0,0,0,0,5,5,9,3,12,14,13,32,9,4,9,3,0,3,0,0,0,10,4,13,54,68,118,126,243,369,17,19,32,1627,1408,3035
203011035,4,3,9,9,4,14,0,0,0,0,0,0,0,0,0,1282,990,2269,48,39,83,47,3,46,9,0,7,4,0,5,14,0,14,43,28,75,1452,1079,2530,0,0,0,0,0,0,0,0,0,11,7,16,0,0,0,0,0,0,11,7,18,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,8,5,18,26,15,41,6,0,6,0,0,0,0,0,0,4,0,11,155,132,288,120,238,360,37,29,63,1800,1493,3294
203011036,5,4,15,9,4,14,0,0,0,0,0,0,4,0,4,995,773,1767,55,22,83,37,0,37,3,0,5,6,5,13,15,3,19,55,34,84,1185,850,2037,0,0,0,0,0,0,0,0,0,6,3,9,0,0,4,0,0,0,6,3,8,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,6,3,10,3,11,18,8,27,3,6,5,0,0,0,0,0,0,3,6,5,176,156,324,134,242,379,14,18,34,1528,1282,2812
203021037,69,40,102,70,80,154,0,0,0,0,0,0,4,3,10,2341,2105,4446,139,187,322,22,0,24,20,3,20,64,14,79,15,11,21,67,68,137,2805,2509,5312,13,4,21,0,0,0,5,3,8,34,18,47,0,5,8,8,3,7,63,32,90,0,0,0,0,0,0,0,3,8,9,13,18,0,3,3,9,20,24,21,13,32,86,58,148,19,13,36,9,0,9,0,0,0,26,13,38,92,124,210,254,456,714,35,20,56,3301,3182,6480
203021038,59,53,118,67,84,156,4,3,6,0,0,0,14,12,30,3422,2706,6123,301,296,590,62,0,61,21,7,21,52,17,61,32,18,48,84,101,186,4117,3283,7403,7,6,16,0,0,0,9,0,6,21,13,34,6,0,8,0,0,0,36,26,65,0,0,0,0,0,0,4,0,7,3,4,4,0,0,0,10,8,15,28,11,41,80,46,123,9,14,25,3,0,3,0,0,0,11,14,30,48,79,131,357,618,976,100,66,165,4721,4104,8825
203021039,144,95,236,54,54,106,0,0,0,0,0,0,10,20,25,1898,1708,3612,115,183,294,22,0,22,17,3,20,72,34,110,21,10,26,283,409,693,2642,2511,5155,4,3,14,0,0,0,12,9,23,16,13,30,7,4,10,15,0,16,51,34,89,0,0,0,0,0,0,0,3,8,0,8,8,3,0,3,3,12,21,23,18,42,81,72,148,20,14,32,0,0,0,0,0,4,19,16,35,114,131,251,250,401,654,28,27,61,3142,3166,6301
203021040,164,105,264,58,87,141,3,3,6,0,0,3,15,7,28,3361,3024,6385,177,229,409,36,0,36,23,0,26,121,30,154,28,8,42,173,215,390,4161,3711,7874,4,5,14,0,0,0,14,22,34,48,30,72,3,6,6,12,0,10,79,61,138,0,0,0,0,0,0,4,4,7,3,3,9,0,0,0,5,7,15,26,19,48,116,89,207,26,27,52,0,0,0,0,3,4,30,31,59,120,199,320,394,743,1140,51,60,109,4865,4837,9707
203021041,130,60,191,65,79,142,0,0,0,0,0,0,5,8,10,4280,3690,7974,208,274,480,48,0,53,30,0,30,50,14,66,24,7,35,65,54,122,4915,4195,9111,9,7,19,0,0,0,3,4,9,28,23,44,3,0,3,7,0,7,50,39,90,0,0,0,0,0,0,0,3,4,0,11,14,0,0,0,0,14,15,39,27,69,95,77,169,22,15,35,0,4,3,3,0,3,27,17,41,122,198,316,414,851,1262,41,39,75,5611,5370,10982
203021042,158,62,218,70,55,125,5,0,5,0,3,4,10,7,20,3855,3403,7255,208,311,522,31,0,28,23,0,21,67,9,79,24,18,43,76,62,140,4529,3929,8458,6,0,10,0,0,0,4,0,10,59,25,83,0,8,9,7,0,7,78,36,119,0,0,0,0,0,0,10,6,12,5,3,8,0,0,0,13,7,21,54,20,67,148,68,212,36,25,69,0,0,0,3,0,3,39,25,72,238,293,537,432,853,1288,32,20,55,5418,5200,10614
203021043,198,166,366,11,11,24,3,0,3,0,0,0,3,3,12,3123,2604,5730,205,191,392,66,0,70,26,4,26,14,0,11,24,16,42,56,51,101,3728,3042,6768,17,12,25,0,0,0,10,9,19,53,42,95,8,6,9,7,0,10,91,69,158,0,0,0,0,0,0,5,7,9,0,0,0,0,0,0,7,3,10,28,14,40,128,86,211,30,23,53,0,0,0,0,0,3,33,26,56,142,181,326,314,585,896,38,33,74,4387,3953,8334
203021044,24,15,40,30,42,74,3,0,3,0,0,0,3,0,4,2327,2077,4402,111,142,256,36,0,40,11,0,13,8,3,10,13,3,17,18,26,39,2586,2314,4896,0,0,0,0,0,0,3,0,3,23,17,43,3,0,4,0,0,0,33,18,47,0,0,0,0,0,0,5,0,8,3,9,12,0,0,0,12,6,18,20,19,37,61,42,104,7,5,19,0,0,0,0,0,0,7,9,18,62,105,165,249,469,721,14,21,32,2986,2953,5940
203021045,55,25,81,46,57,101,0,0,3,0,0,0,5,7,20,2252,1941,4191,157,171,328,43,0,46,17,4,17,36,8,48,19,10,24,56,43,101,2684,2275,4960,3,3,6,0,0,0,0,3,4,13,14,31,0,0,0,3,0,4,22,18,45,0,0,0,0,0,0,0,3,3,0,8,9,3,0,3,3,11,14,25,11,34,50,48,96,8,16,22,4,4,5,3,0,4,16,16,30,49,82,129,253,428,679,31,28,60,3082,2870,5953
203021046,109,59,170,20,25,42,0,0,0,3,4,6,9,5,18,1613,1485,3097,90,156,251,26,0,27,7,0,7,63,23,85,12,11,18,145,127,266,2093,1888,3986,0,5,3,0,0,0,3,5,14,24,12,38,5,0,6,4,4,7,37,30,67,0,0,0,0,0,0,0,3,0,0,4,8,3,0,3,3,7,7,18,12,30,63,50,107,11,8,20,0,0,0,0,0,0,14,11,21,112,142,250,172,324,504,23,17,36,2480,2430,4909
