SA2_MAINCODE_2016,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_T_M_EO,C10_12F_O_E_T_M_O_EVWW,C10_12F_O_E_T_M_O_ENWNA,C10_12F_O_E_T_M_O_PENS,C10_12F_O_E_T_M_O_E_T,C10_12F_O_E_T_M_LPENS,C10_12F_O_E_T_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_T_M_EO,C13_14F_O_E_T_M_O_EVWW,C13_14F_O_E_T_M_O_ENWNA,C13_14F_O_E_T_M_O_PENS,C13_14F_O_E_T_M_O_E_T,C13_14F_O_E_T_M_LPENS,C13_14F_O_E_T_M_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
206011107,359,24,0,0,24,0,384,45,162,8,0,170,0,210,0,23,0,0,21,0,25,0,0,0,0,0,0,0,44,181,7,0,189,0,233,0,0,0,0,0,0,0,402,207,7,0,216,0,619,286,18,0,0,18,0,304,23,124,4,0,129,0,150,3,19,0,0,20,0,19,0,0,0,0,0,0,0,25,143,4,4,144,0,168,0,0,0,0,0,0,0,312,161,4,4,166,0,470,139,8,0,0,8,0,151,3,49,3,0,54,0,52,0,4,0,0,4,0,4,0,0,0,0,0,0,0,3,51,3,0,54,0,55,0,0,0,0,0,0,0,142,61,3,0,68,0,205,87,9,0,0,9,0,89,7,30,0,0,36,0,38,0,5,4,0,6,0,10,0,0,0,0,0,0,0,11,37,3,0,45,0,51,0,0,0,0,0,0,0,93,46,3,0,45,0,141,81,9,0,0
206011108,849,68,0,0,71,0,916,97,348,10,3,361,0,453,0,37,8,0,45,0,43,0,0,0,0,0,0,0,96,384,15,4,403,0,500,5,0,0,0,0,0,5,950,451,15,4,470,0,1417,692,50,0,0,50,3,743,75,304,0,0,303,0,383,0,17,9,0,26,0,23,0,0,0,0,0,0,0,77,315,12,0,331,0,407,0,0,0,0,0,0,0,773,364,13,0,379,3,1154,319,25,0,0,27,0,351,36,161,0,0,168,0,198,3,8,6,0,14,0,18,0,0,0,0,3,0,3,36,173,6,0,181,0,221,0,0,0,0,0,0,3,359,201,6,0,212,3,575,159,12,0,0,12,0,174,19,102,4,0,106,0,127,0,3,5,0,7,0,7,0,0,0,4,4,0,4,19,110,7,4,122,0,139,0,0,0,0,0,0,0,181,125,7,4,138,0,313,222,11,3,0
206011109,335,35,0,3,35,0,366,49,128,3,0,135,0,188,0,3,0,0,3,0,6,0,0,0,0,0,0,0,53,137,3,0,135,0,190,0,0,0,0,0,0,0,387,165,3,3,174,0,561,325,35,0,0,36,3,358,44,128,0,0,129,0,168,0,6,0,0,9,0,7,0,0,0,0,0,0,0,47,131,0,0,138,0,182,0,0,0,0,0,0,0,371,164,0,4,168,3,538,192,14,0,0,14,0,201,25,97,3,0,100,0,125,0,3,0,0,5,0,5,0,0,0,0,0,0,0,25,99,3,3,106,0,126,0,0,0,0,0,0,0,213,111,3,3,113,0,326,113,4,0,0,4,0,114,14,58,0,0,59,0,76,0,3,0,0,3,0,3,0,0,0,0,0,0,0,14,65,0,0,65,0,79,0,0,0,0,0,0,0,124,74,0,0,74,0,195,151,4,0,0
206021110,324,6,0,0,6,0,330,23,34,0,0,38,0,62,0,3,0,0,3,0,3,0,0,0,0,0,0,0,23,36,0,0,35,0,66,0,0,0,0,0,0,0,346,46,0,0,45,0,395,336,17,0,0,17,3,357,17,35,0,0,37,0,53,0,3,0,0,3,0,3,0,3,0,0,3,0,3,17,36,3,0,40,0,54,0,0,0,0,0,0,0,358,54,3,0,57,3,410,199,10,0,0,9,0,211,3,32,3,0,29,0,35,0,3,0,0,3,0,3,0,0,0,0,0,0,0,3,32,3,0,36,0,39,0,0,0,0,0,0,0,204,44,3,0,44,0,248,99,9,0,0,9,0,109,0,18,0,0,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,24,0,24,0,0,0,0,0,0,0,99,33,0,0,31,0,131,138,6,0,0
206021111,893,39,0,0,39,0,935,77,126,3,4,136,0,212,3,5,3,0,10,0,10,0,0,0,0,0,0,0,77,135,5,4,138,0,221,0,0,0,0,0,3,3,972,169,5,4,183,3,1157,830,48,0,0,53,0,882,60,115,0,0,117,0,178,4,3,0,0,9,0,6,0,0,0,0,0,0,0,66,118,0,0,121,0,189,0,0,0,0,0,0,0,894,171,3,0,176,0,1075,458,24,0,0,24,0,484,33,73,0,0,78,0,110,0,4,4,0,10,0,10,0,0,0,0,0,0,0,33,83,6,0,89,0,118,0,0,0,0,0,0,0,491,103,6,0,108,0,603,259,20,0,0,20,0,285,19,41,0,0,42,0,61,0,0,3,0,4,0,4,0,0,0,0,0,0,0,19,37,4,0,45,0,63,0,0,0,0,0,0,0,280,61,4,0,68,0,343,318,22,0,0
206021112,614,41,0,0,43,0,657,65,174,9,3,182,0,249,0,3,0,0,9,0,9,0,0,0,0,0,0,0,65,182,5,3,192,0,258,0,0,0,0,0,0,0,681,222,5,5,232,3,914,558,42,0,0,42,0,598,47,152,6,0,160,0,203,0,3,7,0,11,0,11,0,0,0,0,0,0,0,47,155,12,0,170,0,212,0,0,0,0,0,3,3,601,193,12,0,210,3,813,254,14,0,0,14,0,269,28,86,5,4,96,0,125,0,3,5,0,4,0,4,0,0,0,0,0,0,0,28,93,4,4,105,0,133,0,0,0,0,0,0,0,287,110,4,4,116,0,406,148,3,0,0,3,0,153,10,59,0,0,61,0,75,0,0,3,0,3,0,3,0,0,0,0,0,0,0,10,65,3,0,72,0,83,0,0,0,0,0,0,0,162,72,3,0,73,0,231,136,0,0,0
206031113,572,15,0,0,14,0,588,44,141,12,5,156,3,200,0,24,4,0,25,0,25,0,3,0,0,3,0,3,44,162,12,5,183,3,233,3,0,0,0,0,3,4,617,177,18,3,194,4,826,466,21,0,0,21,0,487,35,115,6,0,119,0,152,0,21,4,0,21,0,26,0,0,0,0,0,0,0,30,134,11,0,144,0,180,0,0,0,0,0,0,0,497,157,11,0,167,0,668,209,11,0,0,11,0,218,17,48,3,0,51,0,67,0,8,0,0,9,0,9,0,0,0,0,0,0,0,17,55,4,0,59,0,74,0,0,0,0,0,0,0,227,68,4,0,66,0,294,118,10,0,0,10,0,129,3,27,0,0,30,0,40,0,8,7,0,10,0,10,0,0,0,0,0,0,0,3,40,8,0,45,0,53,0,0,0,0,0,0,0,122,48,8,0,55,0,176,178,0,0,0
206031114,668,47,3,0,47,3,711,70,312,3,0,318,0,389,3,15,3,0,18,0,23,0,3,0,0,3,0,4,75,331,5,0,339,0,412,0,4,0,0,4,0,4,739,379,10,0,387,3,1130,801,46,0,0,44,0,852,63,280,3,3,290,0,350,4,7,3,0,10,0,14,0,0,0,0,0,0,0,70,290,10,3,299,0,369,0,0,0,0,0,0,0,868,334,6,3,346,0,1220,531,26,0,0,26,0,556,48,148,0,3,146,0,192,0,5,3,0,9,0,9,3,0,0,3,3,0,3,47,153,3,5,160,0,207,0,0,0,0,0,0,0,578,180,3,5,191,0,764,376,21,0,0,18,0,393,37,110,4,0,113,0,149,0,0,4,0,3,0,3,0,0,0,0,0,0,0,35,114,9,0,118,0,153,0,0,0,0,0,0,0,410,129,9,0,140,0,550,544,32,0,0
206031115,195,10,0,0,10,0,207,15,159,12,0,168,0,184,0,34,0,0,38,0,38,0,0,0,0,0,0,0,15,191,11,0,208,0,220,0,0,0,0,0,0,0,214,201,11,0,218,0,435,139,6,0,0,6,0,148,7,122,7,0,128,0,135,0,26,8,0,30,0,30,0,0,0,0,0,0,0,7,143,14,3,162,0,170,0,3,0,0,3,3,3,153,154,14,3,168,3,318,62,5,0,0,5,0,60,4,45,3,0,51,0,51,0,10,0,0,11,0,11,0,0,0,0,0,0,0,4,51,9,0,60,0,70,0,3,0,0,3,3,3,63,58,9,0,71,3,138,42,3,0,0,3,0,46,0,24,3,0,33,0,33,0,9,3,0,12,0,12,0,0,0,0,0,0,0,0,35,6,0,45,0,45,0,0,0,0,0,0,0,42,38,6,0,48,0,91,48,3,0,0
206031116,440,37,0,0,32,0,478,53,134,6,0,139,0,192,0,5,0,0,7,0,7,0,0,0,0,0,0,0,53,142,6,0,152,0,203,3,0,0,0,0,0,0,498,174,6,3,183,0,683,454,19,0,0,19,0,477,41,111,0,0,117,0,157,3,4,0,0,3,0,6,0,0,0,0,0,0,0,41,113,0,3,120,0,163,0,0,0,0,0,0,0,501,134,0,3,143,0,640,256,8,0,0,10,0,264,17,62,0,0,62,0,81,0,3,3,0,4,0,3,0,0,0,0,0,0,0,21,62,3,0,64,0,84,0,0,0,0,0,0,0,274,72,3,0,75,0,349,151,10,0,0,9,0,165,17,33,0,3,38,0,53,0,0,0,0,0,0,3,0,0,0,0,0,0,0,15,38,0,3,41,0,54,0,0,0,0,0,0,0,170,46,0,3,51,0,217,219,11,0,0
206041117,65,0,0,0,0,0,74,30,131,12,0,140,0,164,5,38,12,0,49,0,51,0,0,0,0,0,0,0,33,165,24,0,185,0,219,0,0,0,0,0,6,6,100,169,24,0,189,6,294,52,3,0,0,3,0,52,8,69,15,0,84,0,93,0,29,13,0,33,0,33,0,0,0,0,0,0,0,8,95,22,0,122,0,129,0,0,0,0,0,0,0,62,99,22,0,124,0,189,28,3,0,0,3,0,34,3,45,3,0,52,0,50,0,19,9,0,25,0,25,0,0,0,0,0,0,0,3,62,16,0,72,0,78,0,0,0,0,0,0,0,31,69,16,0,80,0,109,18,0,0,0,0,0,22,5,25,0,0,25,0,31,0,10,3,0,12,0,12,0,0,0,0,0,0,0,5,40,3,0,37,0,43,0,0,0,0,0,0,0,19,37,3,0,40,0,66,19,3,0,0
206041118,67,9,0,0,9,0,78,30,287,7,0,300,0,330,0,23,5,0,33,0,33,0,0,0,0,0,0,0,30,312,16,0,326,0,358,0,0,0,0,0,0,0,97,327,16,0,338,0,435,28,0,0,0,0,0,35,13,65,0,0,65,0,71,0,3,0,0,3,0,3,0,0,0,0,0,0,0,13,63,0,0,70,0,75,0,0,0,0,0,0,0,36,66,0,0,68,0,112,9,0,0,0,0,0,9,0,19,0,0,17,0,15,0,3,9,0,11,0,11,0,0,0,0,0,0,0,0,16,7,0,24,0,31,0,0,0,0,0,0,0,7,16,7,0,24,0,37,5,0,0,0,0,0,5,0,4,0,0,11,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,6,0,8,0,0,0,0,0,0,0,8,10,0,0,6,0,18,10,0,0,0
206041119,73,7,0,0,7,0,81,10,25,0,0,25,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,25,0,0,28,0,38,0,0,0,0,0,0,0,85,34,0,0,36,0,119,38,0,0,0,0,0,35,3,11,0,0,11,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,11,0,14,0,0,0,0,0,0,0,38,10,0,0,10,0,52,21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,24,16,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,13,23,0,0,0
206041120,0,0,0,0,0,0,0,0,6,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,6,0,0,0,0,0,0,0,0,6,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206041121,408,31,0,0,31,0,439,42,100,3,0,106,0,154,0,3,4,0,5,0,5,0,0,0,0,0,0,0,42,105,11,0,114,0,160,0,3,0,0,3,0,3,448,139,11,0,152,0,601,246,16,0,0,16,0,266,19,63,12,0,77,0,100,0,0,3,0,8,0,6,0,0,0,0,0,0,0,21,72,19,0,89,0,108,0,0,0,0,0,0,0,268,93,19,0,104,0,378,89,5,0,0,12,0,99,13,30,3,0,29,0,39,0,0,7,0,7,0,4,0,0,0,0,0,0,0,14,30,8,0,34,0,45,0,0,0,0,0,0,0,103,39,9,0,41,0,150,46,0,0,0,0,0,53,7,14,0,0,18,0,22,0,0,0,0,3,0,0,0,3,0,0,3,0,3,5,17,3,0,18,0,24,0,0,0,0,0,0,0,52,23,3,0,27,0,78,76,3,0,0
206041122,90,6,0,0,6,0,97,49,343,16,0,357,0,402,0,27,8,0,38,0,39,0,0,0,0,0,0,0,51,371,26,0,398,0,445,0,0,0,0,0,0,0,138,381,26,0,406,0,546,42,0,0,0,0,0,44,8,120,7,0,123,0,132,0,15,8,0,20,0,20,0,0,0,0,0,0,0,8,136,12,0,146,0,156,0,0,0,0,0,0,0,51,134,12,0,150,0,203,13,0,0,0,0,0,11,0,20,4,0,25,0,28,0,4,0,0,3,0,3,0,0,0,0,0,0,0,0,28,6,0,28,0,28,0,0,0,0,0,0,0,12,25,6,0,33,0,45,10,0,0,0,0,0,9,0,5,3,0,10,0,7,0,4,7,0,9,0,9,0,0,0,0,0,0,0,0,8,9,0,13,0,17,0,0,0,0,0,0,0,12,12,9,0,13,3,29,12,0,0,0
206041123,228,19,0,0,19,0,252,25,186,17,0,204,0,229,0,22,13,0,35,0,35,0,3,0,5,9,0,9,25,207,31,5,246,0,273,0,0,0,0,0,8,10,256,230,31,5,267,8,529,172,14,0,0,14,0,183,23,143,9,3,155,0,176,0,12,6,0,22,0,24,3,3,0,3,6,0,9,31,156,17,3,180,0,209,3,0,0,0,0,3,9,204,169,17,3,195,3,403,94,0,0,0,0,0,99,7,84,10,0,89,0,101,0,7,3,0,6,0,12,0,3,0,0,3,0,3,9,91,13,0,101,0,117,0,0,0,0,0,0,0,109,89,13,0,104,3,212,57,3,0,0,3,0,63,12,43,5,0,46,0,54,0,3,9,0,11,0,11,0,0,0,0,0,0,0,12,49,13,0,59,0,68,0,0,0,0,0,0,0,68,50,20,0,68,0,133,67,0,0,0
206041124,57,3,0,0,3,0,60,10,69,5,0,71,0,82,0,6,3,0,8,0,8,0,0,0,0,0,0,0,10,74,6,0,79,0,88,0,0,0,0,0,0,0,62,80,6,0,83,0,147,36,3,0,0,3,0,39,6,29,3,0,35,0,39,0,3,4,0,6,0,6,0,0,0,0,0,0,0,6,33,8,0,39,0,43,0,0,0,0,0,0,0,41,36,8,0,39,0,80,26,0,0,0,0,0,32,0,19,3,0,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,22,0,22,0,0,0,0,0,0,0,26,21,3,0,22,0,46,13,0,0,0,0,0,12,3,10,0,0,9,0,12,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,11,0,0,14,0,13,0,0,0,0,0,0,0,19,10,0,0,12,0,28,20,3,0,0
206041125,91,5,0,0,8,0,101,12,26,0,0,26,0,40,0,0,0,0,3,0,3,0,0,0,0,0,0,0,15,29,0,0,27,0,38,0,0,0,0,0,0,0,107,33,0,0,32,0,145,66,3,0,0,3,0,65,4,18,0,0,18,0,27,0,3,0,0,4,0,4,0,0,0,0,0,0,0,5,26,0,0,25,0,33,0,0,0,0,0,0,0,74,26,0,0,23,0,99,40,0,0,0,0,0,41,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0,40,8,0,0,8,0,48,15,0,0,0,0,0,15,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0,15,4,0,0,4,0,18,38,4,0,0
206041126,120,11,0,0,11,0,124,48,228,6,0,230,0,278,0,19,10,0,29,0,29,0,0,0,0,4,0,4,48,248,13,3,260,0,313,0,0,0,0,0,0,0,166,258,13,3,274,0,440,26,3,0,0,3,0,29,14,61,3,0,65,0,77,0,5,3,0,10,0,10,0,0,0,0,0,0,0,14,68,7,0,76,0,86,0,0,0,0,0,0,0,38,65,7,0,72,0,116,8,0,0,0,0,0,8,3,11,0,0,11,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,11,0,19,0,0,0,0,0,3,3,12,11,0,0,11,3,27,5,0,0,0,0,0,5,5,6,0,0,6,0,11,0,0,3,0,8,0,8,0,0,0,0,0,0,0,5,4,3,0,10,0,11,0,0,0,0,0,0,0,11,4,3,0,10,0,21,16,0,0,0
206041127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206051128,425,19,0,0,22,0,443,46,125,9,0,129,0,173,0,5,0,0,5,0,5,0,0,0,0,0,0,0,46,123,9,0,131,0,182,0,0,0,0,0,0,0,475,148,7,0,156,0,624,395,14,0,0,17,0,415,34,91,5,0,97,0,137,0,0,0,0,0,0,3,0,0,0,0,0,0,0,35,91,7,0,101,0,136,0,0,0,0,0,0,0,430,111,7,0,120,0,553,210,14,0,0,14,0,228,15,31,4,0,34,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,31,3,0,34,0,55,0,0,0,0,0,0,0,229,48,3,0,46,0,275,139,5,0,0,7,0,143,7,20,0,0,20,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,24,0,0,24,0,33,0,0,0,0,0,0,0,142,30,0,0,31,0,174,141,4,0,0
206051129,474,25,0,0,25,0,498,50,79,0,0,79,0,126,0,8,0,0,7,0,12,0,0,0,0,0,0,0,54,83,0,0,89,0,142,0,0,0,0,0,0,0,529,114,0,0,111,3,643,408,23,0,0,23,0,423,30,48,0,0,48,0,83,0,0,0,0,3,0,3,0,0,0,0,0,0,0,30,51,0,0,52,0,84,0,0,0,0,0,0,3,437,70,0,0,76,0,510,199,8,0,0,8,0,208,9,20,0,0,20,0,32,0,3,0,0,4,0,4,0,0,0,0,0,0,0,9,22,0,0,20,0,37,0,0,0,0,0,0,0,211,31,0,0,32,0,240,111,7,0,0,7,0,112,4,14,0,0,14,0,15,0,3,0,0,3,0,3,0,0,0,0,0,0,0,4,14,0,0,14,0,22,0,0,0,0,0,0,0,110,20,0,0,20,0,136,139,7,0,0
206051130,575,24,0,0,24,0,601,54,119,0,0,120,0,173,0,3,0,0,3,0,3,0,0,0,0,0,0,0,54,123,0,0,123,0,181,0,0,0,0,0,0,0,633,145,0,0,150,0,778,337,12,0,0,18,0,352,35,72,0,0,76,3,114,0,0,0,0,4,0,4,0,0,0,0,0,0,0,35,71,3,0,73,3,115,0,0,0,0,0,0,0,373,86,0,0,91,3,469,170,6,0,0,6,0,179,22,36,0,0,36,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,38,0,0,36,0,61,3,0,0,0,0,0,4,195,43,0,0,50,0,241,99,5,0,0,5,0,105,7,26,0,0,24,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,26,0,0,24,0,32,0,0,0,0,0,0,0,110,27,0,0,28,0,144,103,3,3,0
206051131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
