SA2_MAINCODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
201021011,16,5,0,0,4,0,26,3,3,5,0,0,0,15,15,4,4,0,0,0,25,21,3,5,0,3,0,36,25,20,11,3,3,0,59,26,20,4,9,11,0,70,29,27,14,4,3,0,77,42,38,9,14,9,0,113,36,37,3,11,3,0,86,25,42,4,3,0,0,76,30,20,5,4,5,0,62,37,41,8,0,3,0,83,4,8,0,3,0,0,19,9,7,0,0,0,0,11,21,23,4,0,3,0,47,16,12,4,0,0,0,33,8,6,0,0,0,0,20,8,6,3,0,0,0,17,27,19,3,5,4,0,59,396,337,88,55,55,0,936
201021012,10,4,0,3,5,0,26,11,4,3,0,0,0,20,6,4,7,4,0,0,24,8,5,5,3,0,0,17,19,9,11,0,6,0,46,17,19,14,3,10,0,63,11,25,7,3,3,0,58,18,35,14,11,3,0,80,19,28,8,0,4,0,59,27,50,16,7,0,0,95,22,25,8,0,0,0,64,20,42,8,4,0,0,74,3,9,3,0,0,0,15,5,11,4,0,3,0,25,7,25,10,0,0,0,38,10,16,11,0,0,0,34,0,3,0,0,0,0,4,3,3,0,0,0,0,5,15,11,3,6,0,0,42,233,335,137,44,45,7,790
201031013,7,3,0,0,0,0,10,0,0,0,0,0,0,3,4,0,5,0,4,0,19,5,9,3,3,0,0,22,7,13,8,3,3,0,41,18,13,3,5,3,0,40,9,12,3,3,0,0,31,11,15,0,3,0,0,29,10,15,3,0,0,0,29,9,12,0,0,0,0,14,3,4,0,0,0,0,8,7,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,0,0,0,14,106,98,30,16,21,3,286
201031014,12,5,9,0,0,0,23,6,3,0,0,0,0,8,9,3,0,3,0,0,13,9,3,0,0,0,0,14,19,5,10,0,4,0,41,11,17,8,3,3,0,42,18,27,5,4,8,0,60,18,20,5,3,0,0,51,6,25,7,0,0,0,38,9,21,6,0,0,0,38,4,10,3,0,0,0,12,3,8,3,0,0,0,16,0,3,0,0,0,0,5,3,0,0,3,0,0,4,0,3,0,0,0,0,5,3,4,0,0,0,0,6,0,3,0,0,0,0,3,3,3,0,0,0,0,8,7,10,5,0,3,0,32,131,179,61,20,23,0,414
201031015,8,4,4,0,0,0,18,4,0,3,3,0,0,12,13,6,0,0,3,0,28,3,7,0,0,0,0,14,15,9,9,4,7,0,46,14,18,9,11,4,0,55,19,33,12,11,9,0,77,32,35,10,5,8,0,91,24,38,10,3,8,0,84,21,33,12,3,0,0,69,9,26,4,0,0,0,36,15,25,3,0,0,0,43,0,8,0,0,0,0,13,0,4,3,0,0,0,4,6,16,5,0,0,0,28,3,7,0,0,0,0,13,0,0,0,0,0,0,0,0,3,0,0,0,0,4,9,12,13,4,4,0,35,210,279,102,41,48,0,680
201031016,6,3,0,3,3,0,15,7,0,0,0,3,0,12,20,6,6,3,4,0,47,9,8,3,6,3,0,37,26,14,8,7,10,0,68,36,49,19,4,12,0,121,21,41,17,13,14,0,110,20,30,3,10,5,0,71,14,22,7,12,3,0,54,10,20,3,3,0,0,40,6,8,0,0,0,0,22,3,3,5,0,0,0,16,0,5,0,0,0,0,9,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,5,0,0,0,0,5,0,3,0,0,0,0,3,3,0,0,0,0,0,3,7,9,11,3,0,0,39,202,250,100,65,60,4,679
201031017,10,4,10,0,0,0,24,6,3,0,0,3,0,13,15,5,4,8,3,0,40,17,9,12,6,7,0,44,29,20,14,4,11,0,74,31,27,8,7,3,0,75,23,21,4,7,6,0,62,25,21,14,9,4,0,65,8,20,6,0,0,0,35,10,25,9,3,4,0,38,4,8,5,0,0,0,17,3,15,7,0,0,0,26,0,7,0,0,0,0,8,0,3,0,0,0,0,7,0,8,3,0,0,0,8,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,3,8,7,7,3,3,0,26,196,197,90,51,46,3,588
202011018,14,7,9,9,10,0,45,12,3,3,0,10,0,28,19,8,6,3,10,0,47,13,3,10,7,6,0,38,20,16,15,11,13,0,76,39,36,19,10,13,3,123,43,58,19,19,15,3,143,52,74,10,7,13,3,165,22,53,13,10,10,0,112,32,44,11,4,8,0,101,17,30,5,4,3,3,58,12,24,7,0,3,0,50,7,0,0,0,3,0,17,9,5,0,0,0,0,14,7,9,4,0,0,0,22,10,16,8,0,0,0,37,4,4,0,0,0,0,9,4,6,0,0,0,0,15,19,15,6,0,3,0,43,344,420,147,86,115,16,1129
202011019,17,3,9,0,0,3,36,6,3,4,3,3,0,20,19,3,3,5,6,0,48,8,3,9,0,13,0,33,21,14,16,9,13,0,71,28,51,15,12,11,0,120,43,65,24,7,15,3,158,37,95,14,26,17,0,191,44,59,8,12,5,0,141,36,54,10,3,8,0,111,16,23,7,3,0,3,50,26,32,10,4,0,0,67,0,4,0,0,0,0,9,0,0,3,0,0,0,5,6,14,6,0,0,0,26,7,6,0,0,0,0,16,3,6,0,0,0,0,5,0,0,3,0,0,0,6,31,11,15,5,4,0,66,341,453,162,94,91,19,1161
202011020,18,3,13,0,4,0,37,3,0,3,0,0,0,16,14,9,10,0,9,0,47,5,8,3,3,4,0,25,21,18,6,3,3,0,51,21,22,15,7,3,0,72,28,45,16,11,5,0,107,34,35,20,7,17,3,121,37,46,12,10,7,0,116,30,49,14,8,3,0,108,17,29,10,4,0,0,55,20,45,24,3,0,0,93,11,14,9,0,0,0,33,4,8,3,0,0,0,23,10,30,3,0,0,0,51,10,22,5,0,0,0,45,8,6,0,0,0,0,15,0,13,0,0,0,0,16,10,10,13,0,0,0,37,312,421,183,67,71,15,1066
202011021,8,6,10,0,3,0,27,5,0,0,3,0,0,7,5,5,4,3,8,0,23,6,4,3,3,0,0,17,12,8,6,4,11,0,43,18,26,7,3,5,0,65,23,37,10,6,3,0,83,19,52,13,7,8,0,102,20,60,8,6,11,0,100,29,47,10,11,3,0,91,12,28,5,0,3,0,50,21,38,15,4,3,0,80,3,13,5,3,0,0,19,3,6,3,0,0,0,15,7,14,4,3,0,0,27,7,11,3,0,0,0,32,4,5,3,0,0,0,12,0,5,0,0,0,0,8,9,9,5,4,0,0,24,211,371,116,60,60,0,819
202011022,27,10,3,0,4,0,46,13,7,3,0,0,0,21,23,7,13,3,4,3,57,25,16,13,0,8,0,58,27,31,38,6,11,0,118,57,54,29,19,24,0,183,51,111,25,24,26,3,238,92,133,34,22,30,3,313,81,111,32,16,17,0,258,74,114,28,14,9,0,234,23,69,17,3,4,0,113,38,63,13,3,4,0,123,10,18,3,0,0,0,35,5,8,0,3,0,0,16,8,22,11,0,3,0,41,13,14,5,0,0,0,34,7,0,0,0,0,0,11,4,0,3,0,0,0,9,25,29,17,4,3,3,81,610,812,277,118,158,18,1990
202011023,4,6,3,0,3,0,19,3,3,0,0,0,0,7,8,4,4,0,0,0,16,3,5,3,0,0,0,15,8,15,8,0,7,0,37,11,16,6,4,3,0,44,11,29,22,5,0,0,64,12,35,13,3,0,0,72,19,42,13,4,5,0,79,20,61,21,4,5,0,113,14,54,9,0,0,0,80,19,57,12,9,0,0,93,4,31,12,0,0,0,50,5,19,6,0,0,0,30,11,14,3,0,0,0,31,9,27,5,4,0,0,41,5,3,0,0,0,0,6,3,0,0,0,0,0,4,11,9,4,0,0,0,28,183,441,146,32,26,6,832
202011024,12,20,9,0,4,0,40,8,3,7,0,0,0,16,8,7,3,3,3,0,29,7,12,3,3,0,0,24,11,12,17,0,3,0,38,24,22,10,6,9,0,77,17,41,10,3,4,0,87,19,59,17,12,11,0,116,14,67,14,9,6,0,113,28,79,26,4,7,0,145,11,73,10,11,3,0,106,33,104,24,3,3,0,163,15,40,7,3,0,0,68,13,26,3,0,3,0,42,17,57,9,0,0,0,92,16,47,14,3,0,0,81,3,8,3,3,0,0,19,4,10,4,0,0,0,21,8,24,7,3,3,0,46,266,712,204,77,57,8,1317
202011025,15,4,9,0,3,0,36,13,0,3,0,0,0,13,15,10,10,0,0,0,40,13,10,3,3,6,0,36,17,22,13,7,6,0,70,40,22,12,14,9,0,91,26,43,24,14,11,0,116,47,104,22,13,11,3,204,63,144,24,20,9,0,270,85,134,17,15,3,0,257,38,82,9,6,3,0,144,46,62,16,10,5,0,139,16,35,3,3,0,0,52,4,10,0,0,0,0,14,11,25,4,0,0,0,41,13,10,9,3,3,0,35,0,8,3,0,0,0,9,0,4,0,0,0,0,8,16,20,4,7,9,0,58,483,746,187,115,87,7,1639
202021026,21,16,4,3,0,0,43,8,4,7,0,3,0,21,7,8,7,0,3,0,22,12,4,6,0,0,0,24,17,16,16,0,3,0,50,23,21,15,3,5,0,70,21,30,21,7,7,0,82,33,42,12,4,9,0,99,21,60,15,7,4,0,107,36,92,10,3,0,0,143,29,40,8,6,0,0,84,31,72,18,3,0,0,115,11,31,5,0,0,0,49,3,10,0,3,0,0,26,16,28,9,0,0,0,54,10,29,5,0,0,0,51,4,12,0,0,0,0,19,4,6,0,0,0,0,17,15,30,8,0,7,0,61,327,544,164,39,52,4,1136
202021027,21,7,8,0,4,3,38,10,6,0,3,6,0,27,16,12,5,0,5,0,41,7,7,4,7,6,0,32,19,18,9,7,6,0,59,28,26,14,10,4,0,78,21,43,18,10,13,0,109,35,61,13,11,8,0,130,24,40,3,10,9,0,90,35,56,8,11,4,0,117,14,36,6,3,3,0,58,11,26,17,3,7,0,65,3,20,0,0,0,0,22,3,4,0,0,0,0,9,7,13,0,3,0,0,24,9,6,8,0,0,0,33,5,4,0,0,0,0,9,4,0,0,0,0,0,7,10,8,3,0,4,0,31,278,396,120,80,82,7,967
202021028,10,4,3,0,3,0,28,8,3,3,0,0,0,17,21,10,3,3,3,0,39,17,5,11,4,4,0,38,23,14,11,10,6,0,71,31,21,14,6,9,0,79,36,36,16,9,11,0,105,28,47,8,4,6,0,100,26,45,16,5,3,0,99,22,46,14,3,3,0,88,17,34,3,4,0,0,52,23,38,6,3,3,0,76,8,12,6,0,0,0,27,11,12,3,0,0,0,25,14,21,5,0,0,0,36,14,15,7,0,0,0,35,4,5,0,0,3,0,10,0,0,0,0,0,0,0,22,13,9,3,3,0,47,334,387,140,59,62,8,978
202021029,8,3,3,0,0,0,16,3,0,0,0,0,0,4,12,3,4,0,3,0,21,9,7,4,3,0,0,24,8,4,5,0,7,0,31,16,9,9,4,3,0,40,24,17,12,9,3,0,63,26,24,7,3,0,0,65,19,14,8,7,3,0,51,10,18,8,3,0,0,36,8,13,0,3,0,0,26,11,9,4,0,0,0,31,7,3,0,0,0,0,16,0,0,0,0,0,0,4,3,4,7,0,0,0,19,9,10,3,0,3,0,24,0,3,0,0,0,0,3,0,5,0,0,0,0,11,12,4,3,0,0,0,23,190,169,81,39,31,5,512
202021030,12,9,5,0,3,0,36,8,0,0,0,0,0,12,4,5,4,0,3,0,24,14,0,3,0,5,0,24,8,7,8,0,6,0,31,25,20,12,5,6,0,68,35,44,12,6,12,0,113,30,40,21,8,17,0,121,36,48,20,10,9,0,118,37,68,11,11,5,0,130,18,40,8,5,6,0,69,35,71,13,4,3,0,122,11,28,6,0,3,0,47,9,12,0,0,4,0,30,13,24,10,3,0,0,54,35,40,11,3,0,0,81,9,5,6,0,0,0,21,4,8,3,0,0,0,15,23,23,6,0,4,0,53,370,502,166,54,74,4,1169
202021031,11,12,4,0,0,0,30,3,3,3,0,0,0,9,3,4,7,4,3,0,21,7,5,6,3,3,0,20,10,9,8,0,3,0,30,15,8,12,0,12,0,49,17,21,9,5,4,0,55,14,42,16,3,3,0,79,16,29,14,3,7,0,64,18,41,3,3,9,0,71,16,30,5,0,4,0,48,18,57,19,3,6,0,105,14,28,3,5,0,0,53,7,32,8,0,0,0,44,14,49,14,3,4,0,78,25,48,7,3,3,0,81,9,13,4,0,0,0,26,4,20,0,0,0,0,28,7,21,8,0,5,0,36,221,466,140,46,48,4,928
202031032,10,3,0,0,0,0,16,4,3,0,0,0,0,9,9,4,4,3,0,0,23,8,0,3,0,5,0,25,5,12,11,4,0,0,32,23,24,13,3,3,0,58,24,26,11,4,3,0,63,16,34,12,0,3,0,68,14,20,5,3,0,0,37,16,22,6,0,0,0,48,16,15,0,0,0,0,29,17,30,5,0,0,0,52,3,7,0,0,0,0,8,3,6,0,0,0,0,8,13,14,4,3,0,0,27,5,8,0,0,0,0,15,0,10,0,0,0,0,10,0,0,0,0,0,0,3,18,10,8,0,3,0,36,199,242,82,27,24,3,580
202031033,11,16,5,0,3,0,42,17,3,5,0,3,0,27,24,8,8,9,3,0,56,15,6,11,3,0,0,36,23,25,9,10,8,0,74,22,24,10,3,9,0,70,20,30,3,4,3,0,55,12,22,4,4,0,0,48,0,12,3,0,0,0,17,5,9,5,0,0,0,16,7,3,0,0,0,0,8,5,11,3,0,3,0,18,0,0,0,0,0,0,0,0,6,0,0,0,0,9,0,5,3,0,0,0,10,4,3,3,0,0,0,9,0,0,0,0,0,0,0,0,4,0,0,0,0,5,19,12,10,0,0,0,42,202,208,83,32,37,3,561
203011034,5,9,4,0,0,0,17,3,4,3,0,0,0,9,10,0,0,3,0,0,20,6,3,5,0,0,0,18,3,11,3,0,3,0,15,10,17,7,3,4,0,44,11,29,11,3,8,0,63,19,42,7,5,6,0,86,19,43,20,0,9,0,87,16,87,16,0,0,0,122,20,61,7,9,0,4,105,32,82,19,6,3,0,153,16,38,6,3,0,0,61,3,21,0,0,0,0,30,26,41,9,0,3,0,82,21,26,6,3,0,0,54,0,12,4,0,0,0,19,5,10,3,3,0,0,21,12,19,6,6,0,0,47,243,582,132,45,41,8,1049
203011035,11,14,9,0,0,0,32,9,0,0,0,3,0,17,13,11,6,0,0,0,37,3,8,4,4,0,0,22,9,12,16,9,3,0,48,21,28,18,5,4,0,75,23,39,18,4,9,0,89,32,51,23,9,9,0,123,31,52,10,6,3,0,97,29,62,5,6,0,0,107,32,47,5,0,3,0,91,35,60,16,6,3,0,119,8,28,3,3,0,0,39,8,19,4,3,0,0,29,22,33,6,0,0,0,58,15,21,3,0,0,0,45,6,5,3,0,3,0,16,3,0,4,0,0,0,10,18,21,16,4,3,0,74,317,523,164,67,52,3,1127
