SED_CODE_2016,A25_34_SOLSE_T_06_10,A25_34_SOLSE_T_11,A25_34_SOLSE_T_12,A25_34_SOLSE_T_13,A25_34_SOLSE_T_14,A25_34_SOLSE_T_15,A25_34_SOLSE_T_16,A25_34_SOLSE_T_YNS,A25_34_SOLSE_T_T,A25_34_L_PinE_NS_B00,A25_34_L_PinE_NS_00_05,A25_34_L_PinE_NS_06_10,A25_34_L_PinE_NS_11,A25_34_L_PinE_NS_12,A25_34_L_PinE_NS_13,A25_34_L_PinE_NS_14,A25_34_L_PinE_NS_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B00,A25_34_T_00_05,A25_34_T_06_10,A25_34_T_11,A25_34_T_12,A25_34_T_13,A25_34_T_14,A25_34_T_15,A25_34_T_16,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B00,A35_44_SEO_00_05,A35_44_SEO_06_10,A35_44_SEO_11,A35_44_SEO_12,A35_44_SEO_13,A35_44_SEO_14,A35_44_SEO_15,A35_44_SEO_16,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_SOLSE_VWW_B00,A35_44_SOLSE_VWW_00_05,A35_44_SOLSE_VWW_06_10,A35_44_SOLSE_VWW_11,A35_44_SOLSE_VWW_12,A35_44_SOLSE_VWW_13,A35_44_SOLSE_VWW_14,A35_44_SOLSE_VWW_15,A35_44_SOLSE_VWW_16,A35_44_SOLSE_VWW_YNS,A35_44_SOLSE_VWW_T,A35_44_SOLSE_NWNAA_B00,A35_44_SOLSE_NWNAA_00_05,A35_44_SOLSE_NWNAA_06_10,A35_44_SOLSE_NWNAA_11,A35_44_SOLSE_NWNAA_12,A35_44_SOLSE_NWNAA_13,A35_44_SOLSE_NWNAA_14,A35_44_SOLSE_NWNAA_15,A35_44_SOLSE_NWNAA_16,A35_44_SOLSE_NWNAA_YNS,A35_44_SOLSE_NWNAA_T,A35_44_SOLSE_PinE_NS_B00,A35_44_SOLSE_PinE_NS_00_05,A35_44_SOLSE_PinE_NS_06_10,A35_44_SOLSE_PinE_NS_11,A35_44_SOLSE_PinE_NS_12,A35_44_SOLSE_PinE_NS_13,A35_44_SOLSE_PinE_NS_14,A35_44_SOLSE_PinE_NS_15,A35_44_SOLSE_PinE_NS_16,A35_44_SOLSE_PinE_NS_YNS,A35_44_SOLSE_PinE_NS_T,A35_44_SOLSE_T_B00,A35_44_SOLSE_T_00_05,A35_44_SOLSE_T_06_10,A35_44_SOLSE_T_11,A35_44_SOLSE_T_12,A35_44_SOLSE_T_13,A35_44_SOLSE_T_14,A35_44_SOLSE_T_15,A35_44_SOLSE_T_16,A35_44_SOLSE_T_YNS,A35_44_SOLSE_T_T,A35_44_L_PinE_NS_B00,A35_44_L_PinE_NS_00_05,A35_44_L_PinE_NS_06_10,A35_44_L_PinE_NS_11,A35_44_L_PinE_NS_12,A35_44_L_PinE_NS_13,A35_44_L_PinE_NS_14,A35_44_L_PinE_NS_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B00,A35_44_T_00_05,A35_44_T_06_10,A35_44_T_11,A35_44_T_12,A35_44_T_13,A35_44_T_14,A35_44_T_15,A35_44_T_16,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B00,A45_54_SEO_00_05,A45_54_SEO_06_10,A45_54_SEO_11,A45_54_SEO_12,A45_54_SEO_13,A45_54_SEO_14,A45_54_SEO_15,A45_54_SEO_16,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_SOLSE_VWW_B00,A45_54_SOLSE_VWW_00_05,A45_54_SOLSE_VWW_06_10,A45_54_SOLSE_VWW_11,A45_54_SOLSE_VWW_12,A45_54_SOLSE_VWW_13,A45_54_SOLSE_VWW_14,A45_54_SOLSE_VWW_15,A45_54_SOLSE_VWW_16,A45_54_SOLSE_VWW_YNS,A45_54_SOLSE_VWW_T,A45_54_SOLSE_NWNAA_B00,A45_54_SOLSE_NWNAA_00_05,A45_54_SOLSE_NWNAA_06_10,A45_54_SOLSE_NWNAA_11,A45_54_SOLSE_NWNAA_12,A45_54_SOLSE_NWNAA_13,A45_54_SOLSE_NWNAA_14,A45_54_SOLSE_NWNAA_15,A45_54_SOLSE_NWNAA_16,A45_54_SOLSE_NWNAA_YNS,A45_54_SOLSE_NWNAA_T,A45_54_SOLSE_PinE_NS_B00,A45_54_SOLSE_PinE_NS_00_05,A45_54_SOLSE_PinE_NS_06_10,A45_54_SOLSE_PinE_NS_11,A45_54_SOLSE_PinE_NS_12,A45_54_SOLSE_PinE_NS_13,A45_54_SOLSE_PinE_NS_14,A45_54_SOLSE_PinE_NS_15,A45_54_SOLSE_PinE_NS_16,A45_54_SOLSE_PinE_NS_YNS,A45_54_SOLSE_PinE_NS_T,A45_54_SOLSE_T_B00,A45_54_SOLSE_T_00_05,A45_54_SOLSE_T_06_10,A45_54_SOLSE_T_11,A45_54_SOLSE_T_12,A45_54_SOLSE_T_13,A45_54_SOLSE_T_14,A45_54_SOLSE_T_15,A45_54_SOLSE_T_16,A45_54_SOLSE_T_YNS,A45_54_SOLSE_T_T,A45_54_L_PinE_NS_B00,A45_54_L_PinE_NS_00_05,A45_54_L_PinE_NS_06_10,A45_54_L_PinE_NS_11,A45_54_L_PinE_NS_12,A45_54_L_PinE_NS_13,A45_54_L_PinE_NS_14,A45_54_L_PinE_NS_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B00,A45_54_T_00_05,A45_54_T_06_10,A45_54_T_11,A45_54_T_12,A45_54_T_13,A45_54_T_14,A45_54_T_15,A45_54_T_16,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B00,A55_64_SEO_00_05,A55_64_SEO_06_10,A55_64_SEO_11,A55_64_SEO_12,A55_64_SEO_13,A55_64_SEO_14,A55_64_SEO_15,A55_64_SEO_16,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_SOLSE_VWW_B00,A55_64_SOLSE_VWW_00_05,A55_64_SOLSE_VWW_06_10,A55_64_SOLSE_VWW_11
SED21106,268,71,69,91,108,63,47,37,1059,0,0,0,0,0,0,0,0,0,0,3,414,218,538,172,194,197,204,150,93,68,2243,577,332,339,87,76,70,73,76,49,36,1711,371,214,195,52,44,48,63,53,33,23,1085,0,3,22,6,9,15,13,24,11,6,118,0,0,0,0,0,0,0,0,0,0,0,374,218,215,59,50,71,74,79,40,32,1202,3,0,0,0,0,0,0,0,0,0,7,950,549,554,144,124,137,153,153,87,60,2919,1192,277,183,33,45,37,31,37,19,33,1878,574,120,98,19,16,24,21,30,14,15,924,27,8,37,3,14,9,9,17,11,7,131,4,0,0,0,0,0,0,0,0,0,5,603,128,132,17,30,33,31,44,22,23,1064,0,0,0,0,0,0,0,0,0,0,0,1791,401,311,50,77,73,66,75,43,57,2941,1219,66,41,8,5,12,13,11,7,20,1392,623,28,12,8
SED21203,1728,373,386,584,493,420,259,142,5834,0,0,6,0,0,0,0,0,0,101,100,918,737,1830,394,416,608,519,437,263,264,6395,188,72,71,13,15,7,5,8,0,22,410,1307,808,858,120,109,139,103,80,34,79,3638,251,216,233,66,68,126,69,65,57,37,1186,14,13,11,3,0,4,0,0,0,0,45,1573,1035,1098,191,185,269,176,145,94,112,4874,0,0,3,0,0,0,0,0,0,38,39,1765,1106,1173,205,199,277,183,156,96,174,5318,440,40,26,0,3,4,0,3,0,30,549,2549,313,231,44,32,40,26,25,12,84,3362,674,181,158,59,36,90,41,55,42,44,1389,26,6,0,0,0,0,3,0,0,5,49,3247,501,398,101,73,138,69,77,57,137,4802,0,0,0,0,0,0,0,0,0,30,33,3688,539,426,103,76,134,70,79,64,195,5378,511,12,12,0,0,0,0,0,0,27,559,1898,103,63,17
SED21303,926,173,273,400,417,477,295,101,3627,0,0,0,0,0,0,0,0,0,5,5,897,488,1460,374,485,650,653,666,416,183,6268,730,345,333,72,57,52,40,40,9,38,1714,411,269,406,81,83,75,83,101,45,28,1581,22,16,35,3,11,4,14,4,5,7,127,3,0,4,0,0,0,0,0,0,0,9,433,290,447,85,91,81,96,111,47,40,1714,0,0,0,0,0,0,0,0,0,3,3,1171,634,777,154,148,136,130,149,63,79,3431,777,114,59,15,19,7,8,6,3,22,1029,768,106,61,3,14,14,9,4,0,17,999,89,11,18,0,0,5,3,6,8,5,152,3,0,0,0,0,0,0,0,0,0,3,864,118,78,10,18,19,10,11,12,26,1152,3,0,0,0,0,0,0,0,0,0,3,1644,226,144,20,31,23,18,20,8,51,2186,666,18,16,0,3,3,3,3,0,22,735,948,24,15,0
SED21401,1006,167,196,198,184,148,80,92,3341,0,0,3,0,0,0,0,0,0,0,3,760,795,1088,183,215,214,199,156,90,106,3807,362,108,78,16,23,10,12,8,8,20,629,986,514,512,72,81,81,98,58,49,30,2485,20,54,83,21,25,37,39,50,21,27,383,3,6,3,0,3,0,0,0,0,0,22,1006,572,592,94,104,125,143,108,72,56,2885,0,0,0,0,0,0,0,0,0,4,4,1369,681,667,113,127,132,148,122,80,80,3522,604,114,85,6,10,6,4,10,3,13,850,1557,328,246,41,38,38,13,14,20,28,2312,196,97,138,29,50,30,51,29,11,31,675,11,0,0,0,0,0,0,0,0,0,15,1766,431,377,71,91,64,66,46,33,66,3009,0,0,0,0,0,0,0,0,0,3,0,2373,542,459,81,100,71,68,52,34,76,3856,791,63,21,0,3,0,0,5,3,27,917,2094,129,57,14
SED21503,1162,204,299,358,402,359,245,57,3836,0,0,0,0,0,0,0,0,0,0,3,505,493,1286,231,330,406,437,394,273,76,4431,345,113,100,25,18,9,17,17,6,24,670,509,427,453,76,90,77,66,75,45,25,1832,20,41,82,12,15,24,16,21,10,9,256,3,3,3,0,0,0,0,0,0,0,12,533,471,535,94,101,100,81,100,50,34,2100,0,0,0,0,0,0,0,0,0,0,3,882,583,639,113,119,111,102,111,60,60,2774,539,66,50,8,3,5,4,7,0,13,707,957,184,154,15,21,22,19,10,4,33,1416,114,36,72,10,15,11,30,14,13,16,321,8,0,0,0,0,0,0,0,0,0,15,1077,216,225,24,36,33,46,23,21,48,1746,0,0,0,0,0,0,0,0,0,0,3,1625,287,270,36,41,35,51,30,19,65,2457,676,19,24,0,4,0,0,3,0,23,751,1230,88,24,12
SED21608,152,25,44,36,30,25,13,11,388,0,0,0,0,0,0,0,0,0,0,0,93,47,201,38,61,50,41,39,20,21,603,222,78,53,10,10,14,8,3,0,10,406,50,61,86,12,16,13,5,12,3,7,261,0,3,14,3,7,3,0,4,0,0,30,0,0,0,0,0,0,0,0,0,0,3,47,70,100,11,20,14,7,13,6,7,295,0,0,0,0,0,0,0,0,0,0,0,273,144,145,24,31,28,16,20,6,17,702,578,57,58,4,3,3,3,3,0,29,747,95,24,30,5,3,3,5,0,4,8,178,0,3,14,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,3,100,27,44,9,3,3,3,0,3,4,203,0,0,0,0,0,0,0,0,0,0,0,682,86,97,11,5,5,3,4,5,37,948,788,29,17,4,0,4,0,0,0,42,888,148,9,15,0
SED21706,1294,209,228,297,353,380,239,117,4074,0,0,0,0,0,0,0,0,0,3,6,615,704,1461,245,269,356,399,434,272,138,4903,528,198,124,23,23,17,25,12,13,16,972,727,577,446,63,81,83,74,65,56,32,2203,14,39,61,22,22,26,40,41,22,18,306,0,4,3,0,0,0,0,0,0,0,11,741,620,513,79,99,113,111,109,78,47,2520,0,0,0,0,0,0,0,0,0,0,0,1271,816,638,102,124,127,137,128,92,69,3494,852,130,75,14,12,7,8,7,5,29,1133,1009,218,154,21,37,23,24,19,18,29,1562,86,61,100,17,27,32,25,32,14,26,416,3,0,0,0,0,0,0,0,0,0,7,1102,280,258,41,66,53,49,47,28,56,1984,0,0,0,0,0,0,0,0,0,4,4,1954,408,329,51,74,63,62,55,36,83,3123,913,41,24,5,5,5,3,0,0,17,1007,1014,73,40,5
SED21805,372,60,76,70,71,59,23,29,1114,0,0,0,0,0,0,0,0,0,0,3,556,290,579,118,138,125,97,83,44,56,2078,632,224,235,50,43,34,22,11,10,31,1294,401,342,418,59,46,38,25,20,17,17,1381,12,17,30,5,4,9,10,8,3,0,85,3,3,3,0,0,0,0,0,0,3,16,414,368,445,65,55,44,32,26,17,20,1488,0,0,0,0,0,0,0,0,0,0,0,1050,590,679,117,90,75,57,38,31,50,2784,1219,177,143,32,21,21,17,7,5,51,1698,625,174,175,13,19,8,12,11,3,21,1059,46,18,22,4,3,3,3,3,0,6,115,9,4,0,0,0,0,0,0,0,0,12,677,194,203,24,21,10,11,12,6,34,1189,3,0,0,0,0,0,0,0,0,0,3,1897,379,342,57,41,31,33,19,7,83,2891,1451,60,45,4,3,5,5,0,0,39,1621,703,55,31,5
SED21906,1123,217,281,377,432,425,227,96,3762,0,0,3,0,0,0,0,0,0,0,6,812,496,1556,417,455,541,588,566,297,150,5877,770,307,261,49,51,40,40,25,16,33,1579,500,376,462,70,99,89,105,82,57,15,1860,4,10,24,3,3,4,21,16,15,9,106,0,0,0,0,0,0,0,0,0,0,9,508,387,487,73,101,96,123,104,65,28,1976,0,0,0,0,0,0,0,0,0,3,6,1274,694,747,129,148,131,159,126,76,63,3553,1063,193,138,15,18,4,4,4,5,23,1475,817,145,109,24,18,19,25,18,0,17,1190,33,10,26,8,4,7,12,16,13,9,135,5,3,0,0,0,0,0,0,0,0,8,854,156,134,39,26,24,35,32,13,21,1335,0,0,0,0,0,0,0,0,0,3,3,1916,347,275,51,41,33,43,40,16,47,2811,1202,65,31,0,8,0,3,0,0,23,1331,961,32,27,7
SED22005,2767,365,546,730,755,672,381,200,7930,0,0,0,0,0,0,0,0,0,12,15,982,948,2962,422,603,773,795,709,413,236,8837,477,185,158,23,27,25,19,18,7,14,959,1242,744,1082,136,138,173,148,138,87,73,3960,170,118,207,31,47,80,63,67,31,26,842,13,6,4,0,0,3,3,0,0,3,39,1425,871,1292,167,188,247,216,209,120,105,4833,0,0,0,0,0,0,0,0,0,4,4,1909,1060,1441,196,212,277,231,225,125,121,5796,729,117,74,9,11,4,10,8,4,22,987,1791,339,292,46,42,39,18,22,24,61,2659,559,145,168,37,39,46,30,41,29,63,1174,9,3,0,0,0,0,0,0,0,4,19,2361,486,462,85,79,88,55,60,53,126,3849,0,0,0,0,0,0,0,0,0,0,4,3092,600,538,96,91,86,62,64,59,148,4841,811,46,19,0,3,0,4,0,0,21,910,1909,98,50,4
SED22105,3089,405,447,391,327,269,133,104,6870,0,0,3,0,0,0,0,3,0,11,16,1308,1226,3405,469,538,434,359,300,151,143,8329,832,308,327,43,43,38,18,26,8,33,1678,1080,1493,2663,261,217,161,124,99,38,59,6196,35,126,205,24,28,21,13,11,14,8,496,17,13,24,0,3,0,0,0,0,4,63,1134,1635,2899,288,249,183,139,111,56,68,6754,3,4,0,0,0,0,0,0,0,0,12,1969,1947,3227,332,296,219,153,136,65,101,8442,1260,234,237,29,29,15,5,13,8,48,1874,1108,615,752,52,68,36,30,17,10,39,2725,143,119,139,24,21,29,19,15,18,31,555,11,4,5,0,0,0,0,0,0,3,32,1266,735,900,68,92,66,45,33,34,67,3306,0,0,0,0,0,0,0,0,0,3,5,2526,969,1138,100,124,78,48,42,42,117,5187,1239,108,56,12,11,6,10,3,0,43,1489,917,171,120,23
SED22201,550,78,123,111,92,73,40,29,1408,0,0,0,0,0,0,0,0,0,0,3,341,265,635,106,151,132,103,85,46,44,1909,402,121,103,16,13,10,9,8,3,17,704,199,277,410,44,43,32,34,18,12,13,1083,7,26,96,17,25,33,16,26,13,8,271,4,0,3,0,0,0,0,0,0,0,11,210,309,514,59,66,61,50,42,27,20,1361,0,0,3,0,0,0,0,0,0,3,3,610,430,620,78,84,79,60,55,33,34,2067,817,93,59,10,4,4,11,3,0,19,1019,312,99,124,15,18,15,3,8,8,4,606,29,23,75,17,19,18,19,17,7,0,215,3,0,0,0,0,0,0,0,0,0,5,345,117,196,31,32,34,20,20,16,9,823,0,0,0,0,0,0,0,0,0,0,3,1160,213,253,40,39,43,30,30,17,30,1853,1077,34,12,0,7,0,5,5,3,31,1178,338,38,21,3
SED22305,2594,509,1086,881,599,532,279,169,8414,0,0,4,0,0,0,0,0,0,3,10,1194,1009,2745,541,1118,904,626,554,292,203,9192,437,94,111,11,27,17,9,8,3,19,751,1278,1003,1643,232,339,213,127,148,56,64,5103,112,178,358,109,254,204,64,54,39,36,1408,15,5,16,4,3,9,0,3,0,3,50,1400,1183,2017,350,596,422,199,198,102,97,6563,3,0,0,0,0,0,0,0,0,0,13,1845,1280,2130,361,627,441,207,208,101,123,7325,644,89,53,6,9,11,9,3,3,21,851,1811,522,495,55,100,58,32,30,18,54,3174,404,225,198,64,166,76,35,37,29,51,1293,23,4,4,3,4,0,0,0,0,5,44,2227,756,701,126,272,132,73,67,48,110,4508,3,0,0,0,0,0,0,0,0,3,7,2875,845,753,134,279,148,80,68,54,136,5372,983,48,31,3,4,3,0,0,0,36,1115,2042,188,96,17
SED22404,47,10,18,14,24,16,10,15,192,0,0,0,0,0,0,0,0,0,0,0,104,48,97,19,26,26,37,25,12,30,435,325,78,61,15,5,9,8,3,3,32,529,58,57,47,8,9,7,6,3,4,5,189,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,57,53,46,8,9,6,6,4,3,5,199,0,0,0,0,0,0,0,0,0,0,0,385,135,104,23,8,18,14,8,5,37,729,839,101,62,5,3,4,0,0,4,44,1061,104,22,16,6,6,0,0,0,0,6,159,4,3,6,0,0,0,0,0,0,3,15,3,0,0,0,0,0,0,0,0,0,3,108,22,20,6,6,0,0,4,0,9,175,0,0,0,0,0,0,0,0,0,0,0,948,122,80,9,7,0,0,6,4,53,1235,1219,51,28,6,3,3,0,0,0,51,1360,195,8,3,4
SED22501,187,40,52,36,35,21,10,19,584,0,0,0,0,0,0,0,0,0,0,0,197,177,258,58,70,51,49,30,15,25,928,362,208,173,28,22,29,14,12,3,17,864,185,172,237,37,29,34,26,12,9,3,737,8,5,10,0,0,0,5,9,0,0,31,0,0,0,0,0,0,0,0,0,0,0,189,175,251,37,29,34,33,17,9,3,773,0,0,0,0,0,0,0,0,0,0,0,555,381,418,67,57,62,49,30,10,16,1638,833,174,130,17,16,11,12,11,0,19,1220,333,88,58,3,8,8,8,3,0,11,528,12,5,11,3,0,3,0,4,0,8,40,0,0,0,0,0,0,0,0,0,0,3,346,89,72,4,13,10,8,6,0,14,567,0,0,0,0,0,0,0,0,0,0,0,1173,260,196,20,29,16,25,20,3,34,1785,1133,51,26,4,3,3,0,0,0,24,1234,534,23,15,0
SED22607,956,172,234,353,372,399,199,75,3386,0,0,0,0,0,0,0,0,0,0,7,595,474,1245,278,348,444,457,480,248,104,4675,438,219,190,39,36,29,10,25,12,21,1009,570,328,412,76,71,64,77,78,34,36,1752,37,32,50,8,5,13,7,10,14,13,189,5,3,5,4,0,0,0,0,0,3,19,609,363,462,84,80,76,90,86,46,55,1955,0,0,0,0,0,0,0,0,0,0,0,1047,575,648,128,115,104,104,107,60,81,2969,765,80,34,7,0,11,8,8,0,16,934,723,123,92,9,11,13,13,7,9,20,1018,113,45,30,9,9,8,8,6,9,20,261,3,0,0,0,0,0,0,0,0,0,7,845,166,125,17,19,19,22,15,21,36,1285,3,0,0,0,0,0,0,0,0,0,3,1611,248,158,25,21,31,30,21,18,55,2216,724,12,10,7,0,5,0,0,0,21,786,796,32,16,4
SED22704,109,16,24,17,21,18,15,11,284,0,0,0,0,0,0,0,0,0,10,13,81,52,151,29,36,35,36,24,14,33,493,182,58,50,10,3,3,9,10,3,18,350,27,38,64,25,22,12,8,5,3,9,213,5,3,3,0,0,0,0,6,4,3,24,0,0,3,0,0,0,0,0,0,0,3,33,41,71,25,22,11,10,13,6,15,238,0,0,0,0,0,0,0,0,0,10,10,212,96,127,35,26,13,24,24,6,37,597,537,57,45,3,7,3,3,0,0,28,680,108,24,24,5,4,6,7,7,4,0,186,9,4,4,0,0,0,0,0,0,3,21,3,0,0,0,0,0,0,0,0,0,0,116,31,25,6,4,4,7,11,5,5,213,3,0,0,0,0,0,0,0,0,8,11,652,86,71,12,7,7,9,7,5,38,906,829,21,9,0,4,3,3,0,3,41,911,148,6,3,0
SED22802,175,26,37,30,21,28,20,12,469,0,0,0,0,0,0,0,0,0,0,0,216,109,239,43,56,48,32,33,30,26,826,380,81,86,3,15,3,8,3,3,19,599,92,96,150,12,28,25,14,14,9,5,442,3,8,16,3,6,10,4,7,3,0,57,0,0,0,0,0,0,0,0,0,0,0,98,104,162,18,27,34,12,21,9,9,498,0,0,0,0,0,0,0,0,0,0,0,477,184,252,27,45,38,23,20,13,22,1093,964,79,83,15,8,0,4,0,0,31,1190,242,65,67,5,14,6,5,3,3,4,417,17,10,30,8,10,10,6,0,5,3,84,3,0,0,0,0,0,0,0,0,0,3,256,75,98,9,20,16,11,5,7,12,504,0,0,0,0,0,0,0,0,0,0,4,1225,157,182,29,22,14,17,5,7,36,1700,1157,40,18,3,0,0,0,5,3,27,1257,323,18,17,0
SED22901,791,96,108,97,108,95,38,46,2175,0,0,0,0,0,0,0,0,0,0,4,571,563,863,113,124,109,123,107,50,51,2684,420,85,91,14,21,11,8,5,3,24,691,571,534,639,96,84,63,53,44,23,19,2123,17,39,85,17,16,28,20,16,3,9,257,3,3,3,0,0,0,0,0,0,0,7,588,579,730,110,99,93,70,64,28,22,2385,0,0,0,0,0,0,0,0,0,0,3,1009,668,820,124,123,106,80,70,26,44,3079,776,97,62,8,7,4,11,3,0,15,991,871,379,301,46,31,26,15,11,4,15,1701,119,46,81,22,11,24,17,3,5,22,351,4,3,3,0,0,0,0,0,0,0,8,996,431,386,67,45,47,31,16,6,41,2064,0,0,0,0,0,0,0,0,0,0,3,1764,526,454,81,48,55,45,21,10,58,3053,1184,45,23,0,5,0,0,3,3,15,1285,1218,132,75,11
SED23007,2626,457,721,850,748,713,339,210,8469,0,4,3,3,0,0,0,0,0,52,68,1409,1005,2989,549,842,974,856,792,376,319,10111,613,258,200,38,31,29,28,22,8,34,1256,1841,705,935,124,167,141,112,116,43,87,4263,253,130,204,34,90,87,52,41,28,40,950,20,3,8,3,3,3,0,0,0,0,34,2106,835,1144,160,260,228,164,160,64,124,5250,0,0,0,0,0,0,0,0,0,30,28,2719,1092,1346,200,298,256,189,181,75,184,6538,624,82,45,9,4,9,12,5,4,31,838,2062,206,210,33,44,22,23,16,7,62,2677,895,122,146,24,53,46,48,38,24,61,1451,22,3,6,0,3,0,0,0,0,0,42,2976,326,357,63,95,70,71,56,32,126,4167,0,0,0,0,0,0,0,0,0,15,18,3600,411,404,74,100,79,85,63,34,172,5025,630,23,14,0,3,5,13,3,3,16,711,1891,74,49,8
SED23101,1103,191,186,196,200,229,108,56,3242,0,0,0,0,0,0,0,0,0,0,4,597,664,1198,220,201,223,210,247,119,65,3736,388,124,98,25,26,17,5,12,3,18,701,816,799,686,127,115,112,100,87,51,35,2940,33,43,99,22,32,45,37,41,19,16,399,0,3,4,0,0,0,0,0,0,0,13,858,849,795,152,153,162,136,128,68,52,3346,0,0,0,0,0,0,0,0,0,0,0,1240,975,892,173,175,181,140,134,76,74,4054,646,108,78,11,15,0,0,0,0,6,867,1289,389,299,42,31,46,20,19,12,24,2175,192,84,135,27,30,42,31,25,7,22,615,3,6,3,0,0,0,0,0,0,0,12,1484,483,435,68,65,88,51,44,21,50,2796,0,0,0,0,0,0,0,0,0,0,3,2131,587,516,84,75,93,54,47,21,58,3665,797,40,21,3,3,3,0,0,0,16,874,1481,120,47,9
SED23205,302,45,46,81,54,42,23,30,815,0,0,0,0,0,0,0,0,0,3,3,360,182,430,76,79,97,72,71,31,52,1449,523,154,127,40,30,25,13,8,8,24,957,213,192,237,44,34,36,38,28,14,13,840,5,13,32,3,7,6,4,7,6,5,79,0,0,3,0,0,0,0,0,0,0,5,215,201,269,47,36,36,48,29,21,21,931,0,3,0,0,0,0,0,0,0,0,4,742,361,397,83,70,67,65,40,27,47,1894,1083,140,113,27,23,10,12,16,0,36,1459,356,112,122,19,15,14,11,4,3,3,664,20,15,25,0,3,3,5,9,0,3,84,3,0,0,0,0,0,0,0,0,0,7,386,130,148,18,13,19,12,11,3,8,757,0,0,0,0,0,0,0,0,0,0,0,1465,273,261,46,40,27,30,25,3,46,2217,1510,48,43,3,3,4,3,3,3,40,1670,417,37,31,10
SED23308,472,80,110,127,128,133,73,25,1302,0,0,0,0,0,0,0,0,0,0,0,198,140,589,106,148,155,158,176,101,59,1826,256,128,101,22,14,11,11,10,13,12,575,101,77,218,32,37,31,29,33,16,4,582,4,5,14,6,3,8,4,3,3,0,45,0,0,3,0,0,0,0,0,0,0,3,100,80,236,36,43,37,31,40,20,10,626,0,0,0,0,0,0,0,0,0,0,0,357,206,333,61,56,46,42,47,28,21,1203,584,56,58,8,4,6,9,5,3,14,746,151,40,41,10,3,13,7,8,4,12,294,14,8,11,4,3,5,0,3,3,0,53,0,0,0,0,0,0,0,0,0,0,3,169,50,53,12,6,13,9,6,7,15,350,0,0,0,0,0,0,0,0,0,0,3,756,106,112,18,14,19,16,14,9,29,1097,862,26,19,3,6,0,0,0,0,21,943,244,9,9,0
SED23402,508,65,67,71,61,58,32,21,1168,0,0,0,0,0,0,0,0,0,0,5,413,227,621,87,102,87,82,78,48,32,1766,579,165,181,56,30,27,9,9,3,30,1092,256,235,401,47,48,36,33,38,23,13,1117,10,16,24,6,9,3,3,10,3,9,90,3,0,3,0,0,0,0,0,0,0,8,265,247,436,50,54,36,39,42,23,21,1219,0,0,0,0,0,0,0,0,0,0,3,840,416,614,105,81,60,46,56,26,47,2306,1272,192,161,33,21,12,4,6,4,29,1733,434,118,149,10,14,9,8,10,4,7,761,17,9,21,5,3,4,0,0,3,8,78,0,0,0,0,0,0,0,0,0,0,6,451,129,168,19,14,12,10,13,5,19,849,3,0,0,0,0,0,0,0,0,0,8,1727,319,333,51,32,28,23,22,10,54,2592,1386,57,40,5,0,0,3,3,3,31,1525,470,37,21,3
SED23502,78,14,17,21,35,33,12,19,258,0,0,0,0,0,0,0,0,0,0,0,74,44,121,19,30,28,43,39,14,29,446,157,51,50,7,8,5,4,3,0,13,302,36,25,53,7,14,12,8,4,5,16,178,3,3,0,0,4,0,0,0,3,0,18,0,0,0,0,0,0,0,0,0,0,0,39,31,53,7,19,12,12,7,4,16,195,0,0,0,0,0,0,0,0,0,3,3,190,86,98,17,28,17,16,11,5,31,503,400,58,41,0,5,8,3,0,0,18,536,72,22,14,9,3,0,6,0,0,7,137,8,0,11,3,0,0,0,3,0,0,27,0,0,0,0,0,0,0,0,0,0,4,79,27,19,10,3,3,8,6,0,7,167,3,0,0,0,0,0,0,0,0,0,3,484,86,63,10,8,11,14,8,0,29,701,868,28,23,3,4,3,0,0,0,35,960,125,6,4,0
SED23602,109,19,24,25,39,40,9,14,323,0,0,0,0,0,0,0,0,0,88,88,90,51,177,28,37,34,49,47,13,109,629,191,59,57,11,4,14,4,6,4,14,368,37,33,89,11,13,16,14,13,6,3,239,0,3,4,3,9,0,3,3,0,3,24,0,0,0,0,0,0,0,0,0,0,0,41,37,98,16,19,16,15,14,3,8,260,0,0,0,0,0,0,0,0,0,85,84,231,102,153,25,27,33,18,16,8,106,719,504,45,48,6,9,12,4,3,4,28,667,84,17,28,7,0,3,0,5,0,11,154,11,3,4,0,3,3,0,4,4,0,30,0,0,0,0,0,0,0,0,0,0,3,93,13,32,7,3,5,5,7,8,8,179,0,0,0,0,0,0,0,0,0,44,49,596,60,82,14,14,17,7,13,14,78,892,910,17,22,6,0,3,3,9,3,42,1015,140,14,9,0
