SED_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
SED21106,57,24,74,3,161,35,14,17,8,75,19,14,51,7,92,11,10,48,4,65,112,16,59,11,201,75,39,126,4,236,272,61,104,21,461,227,63,136,19,447,353,133,177,26,690,330,174,135,22,660,284,195,131,10,626,310,228,125,16,680,807,602,187,22,1624,589,598,55,20,1260,413,511,30,9,975,400,793,119,4,1311,1237,3190,98,13,4537,461,1092,235,7,1796,97,96,35,9,233,6096,7857,1943,242,16141
SED21203,111,143,98,12,365,66,37,39,10,157,46,107,150,15,324,35,91,173,0,298,374,382,283,18,1056,161,433,335,17,946,954,626,412,39,2034,317,838,423,56,1640,393,1059,392,61,1900,316,889,303,35,1542,182,685,195,16,1073,180,586,156,20,941,310,969,165,34,1469,141,508,79,15,741,62,260,27,3,359,40,158,18,0,215,43,229,29,7,302,262,1000,357,18,1639,154,159,117,16,442,4135,9161,3750,387,17439
SED21303,98,42,41,17,194,49,19,28,10,97,36,17,64,13,132,25,12,56,3,96,290,37,102,26,451,130,86,142,19,376,584,110,171,32,895,312,173,208,57,746,440,296,242,63,1036,523,306,167,57,1043,369,303,150,40,863,450,335,101,33,919,1042,838,179,78,2137,888,720,64,43,1717,549,631,23,22,1229,388,457,38,14,905,745,1273,33,16,2072,519,681,195,16,1410,90,40,28,10,162,7527,6377,2023,563,16488
SED21401,228,71,132,19,446,112,32,22,10,172,63,46,63,7,172,36,22,59,3,126,357,54,101,15,525,184,110,151,12,454,794,177,170,22,1162,497,294,181,22,995,588,404,237,36,1264,546,484,184,24,1241,320,474,161,21,970,370,480,131,18,996,622,1032,176,28,1853,426,861,96,15,1395,277,655,43,8,989,186,547,49,4,789,448,1491,66,13,2010,399,1058,236,14,1709,153,88,25,4,271,6588,8377,2279,283,17529
SED21503,158,61,52,20,293,52,7,26,5,88,49,20,47,10,121,20,22,70,6,112,278,64,115,19,478,133,83,179,15,418,775,167,226,29,1195,501,284,241,34,1060,541,454,274,30,1305,466,518,206,35,1225,313,572,150,21,1058,289,563,128,25,1007,577,1243,193,35,2045,391,927,89,14,1412,233,621,36,10,907,133,394,27,4,556,187,785,35,8,1009,304,836,229,16,1389,116,74,53,3,246,5515,7702,2366,334,15917
SED21608,79,19,34,4,141,54,17,13,6,93,46,26,73,5,144,26,12,106,0,146,284,44,194,22,542,195,69,333,13,604,918,161,359,22,1465,533,256,302,22,1106,618,491,245,35,1382,573,571,176,11,1331,340,614,136,12,1101,335,563,77,11,989,712,1056,109,17,1885,359,661,41,8,1066,192,431,20,3,640,99,223,17,3,340,164,394,6,3,569,363,810,231,14,1415,118,70,57,9,243,6006,6479,2516,218,15217
SED21706,188,68,93,29,376,56,23,51,12,139,56,36,77,7,174,28,23,75,5,127,208,42,122,16,379,123,73,139,12,348,435,117,167,21,737,308,187,197,39,736,431,310,189,39,970,396,276,153,33,861,240,332,171,14,753,281,328,137,26,776,590,915,226,38,1761,452,759,77,24,1300,307,734,45,11,1096,215,683,69,11,976,548,2511,69,14,3148,352,1018,247,15,1634,71,71,40,4,184,5275,8503,2333,365,16470
SED21805,74,26,52,3,149,36,20,27,3,80,38,21,71,0,132,20,15,100,0,135,217,39,182,8,448,149,78,303,6,540,677,161,312,21,1172,389,269,348,39,1038,559,507,433,31,1525,537,665,301,33,1535,348,657,276,26,1312,377,770,161,26,1328,934,1462,208,30,2631,625,1010,68,17,1718,291,588,43,6,933,195,387,37,3,623,256,588,29,4,878,386,869,332,18,1607,133,77,76,8,299,6236,8203,3362,282,18084
SED21906,103,45,53,15,215,45,13,14,12,82,40,16,42,13,105,27,9,43,5,86,159,36,65,12,273,109,53,93,11,262,401,106,115,22,643,257,147,150,31,584,403,260,152,27,846,458,298,141,29,927,335,300,104,23,759,431,335,101,21,892,870,741,179,48,1845,732,660,63,26,1475,498,588,22,13,1117,365,547,71,4,987,883,2198,67,5,3151,436,855,217,8,1521,132,104,27,11,281,6681,7315,1708,342,16052
SED22005,287,99,117,32,531,102,33,23,5,167,79,72,119,18,289,45,44,107,11,203,401,115,152,18,692,208,187,270,12,678,959,310,271,40,1581,497,489,307,61,1354,560,714,300,57,1632,415,773,264,72,1523,331,659,216,28,1236,318,707,163,21,1211,624,1348,213,56,2236,387,931,88,20,1424,200,571,48,11,834,129,387,23,4,541,181,706,25,15,926,380,933,274,11,1595,148,85,69,11,315,6244,9169,3043,510,18969
SED22105,214,75,84,4,378,59,15,36,3,119,46,60,123,6,234,22,35,143,0,198,231,109,212,7,559,150,225,439,16,830,750,372,416,22,1559,437,670,461,31,1599,571,1191,449,34,2243,683,1497,354,35,2571,463,1466,263,39,2235,540,1403,165,40,2148,1209,2712,251,53,4225,573,1522,101,21,2214,267,764,45,12,1085,115,400,28,3,548,143,524,19,3,689,377,1263,307,21,1968,178,130,97,8,409,7023,14423,3997,356,25796
SED22201,83,31,41,0,160,38,13,16,7,75,44,14,61,3,130,15,13,72,0,97,186,51,131,12,372,116,60,227,19,416,652,144,227,18,1046,431,242,310,25,1000,542,380,284,26,1236,470,504,260,23,1262,325,516,182,9,1026,374,565,155,14,1110,745,1283,202,32,2262,499,1050,91,16,1662,297,567,38,3,903,176,387,21,0,579,206,786,32,3,1028,308,778,263,18,1361,122,49,52,3,229,5625,7429,2667,227,15953
SED22305,151,142,108,8,412,78,44,45,9,167,69,76,141,7,296,39,48,156,4,246,392,263,243,24,924,200,299,330,25,851,967,515,383,51,1916,488,741,422,59,1715,587,1002,373,70,2031,499,906,274,61,1743,314,732,194,29,1273,296,635,145,24,1100,534,1090,170,50,1844,215,584,71,11,885,91,308,25,10,430,43,178,17,0,234,71,226,22,6,320,341,933,317,23,1613,159,120,86,18,380,5526,8846,3525,492,18386
SED22404,95,20,26,4,139,59,14,14,3,88,52,26,70,3,146,28,13,97,0,142,305,36,142,0,494,189,67,237,3,502,949,129,241,18,1332,560,259,239,20,1078,716,495,239,25,1475,636,557,174,16,1381,365,544,126,8,1044,383,606,102,6,1099,685,920,106,10,1713,390,651,33,7,1081,191,329,12,0,535,114,226,15,0,354,214,408,20,0,651,446,935,270,8,1653,169,90,63,3,321,6550,6324,2239,128,15239
SED22501,68,21,32,4,123,38,10,16,0,63,20,15,34,8,74,24,8,52,0,77,140,18,67,4,234,96,32,124,8,263,449,58,138,14,655,346,129,199,15,679,552,269,212,11,1051,484,367,201,19,1067,299,448,182,12,945,358,517,139,16,1027,776,1324,216,26,2338,514,1220,85,4,1826,319,946,44,8,1312,225,685,50,0,958,391,1705,35,0,2130,337,1039,241,4,1629,75,74,25,3,184,5512,8878,2091,166,16649
SED22607,92,28,57,26,202,47,9,34,10,101,37,38,103,10,190,22,7,84,4,124,195,55,131,28,411,110,69,154,17,339,428,129,178,43,775,304,179,176,47,713,392,261,217,58,931,397,265,182,52,892,342,314,140,39,835,329,360,112,20,824,839,889,174,55,1963,605,824,79,46,1549,414,663,28,9,1113,309,662,55,7,1034,682,2098,65,21,2869,436,852,211,15,1512,98,74,78,7,259,6083,7779,2245,517,16629
SED22704,112,21,39,5,177,90,19,25,5,141,81,18,78,3,176,41,14,126,4,186,423,59,202,7,695,219,80,325,11,634,1251,153,330,21,1750,697,304,322,37,1360,806,532,257,20,1612,715,572,192,20,1504,404,564,135,8,1114,438,555,94,11,1098,738,928,101,7,1775,388,660,50,9,1108,197,334,24,0,555,92,184,17,0,291,216,327,18,3,560,548,865,282,13,1708,230,94,76,13,412,7682,6282,2698,206,16867
SED22802,58,13,40,3,119,39,13,15,3,71,34,14,67,0,111,21,7,61,0,94,193,22,105,4,334,158,54,214,3,422,663,91,208,15,977,454,212,276,21,967,520,428,266,22,1241,477,629,218,28,1354,331,657,180,15,1174,379,653,116,12,1155,844,1407,197,32,2478,445,1012,66,10,1530,234,576,23,3,827,101,350,19,3,471,140,619,17,4,784,312,881,242,13,1455,155,116,48,3,319,5558,7754,2384,191,15886
SED22901,139,30,50,0,220,57,11,25,3,98,51,23,50,4,121,31,16,54,3,101,235,47,78,4,362,151,89,190,8,435,659,149,246,13,1065,455,237,238,20,955,540,445,302,15,1310,468,589,215,20,1300,340,559,181,21,1090,339,636,126,8,1107,695,1259,192,33,2172,415,958,85,16,1471,236,611,34,6,897,151,417,18,0,588,215,826,45,4,1088,297,857,222,8,1385,95,65,48,6,214,5568,7827,2379,199,15973
SED23007,181,95,120,18,417,69,35,44,17,167,82,67,166,16,332,46,66,158,9,282,385,132,209,38,763,174,207,320,42,742,767,349,332,66,1518,379,476,375,59,1300,579,671,379,102,1733,542,674,270,71,1556,406,616,209,47,1278,449,582,156,53,1239,881,1139,193,62,2276,587,808,107,38,1541,344,560,46,18,962,240,367,33,3,654,345,682,34,12,1083,452,780,307,35,1577,141,101,88,14,350,7060,8414,3557,724,19755
SED23101,208,55,98,9,367,88,15,40,5,149,58,32,62,13,163,30,27,64,7,121,300,59,84,6,453,137,85,149,10,382,709,170,159,19,1054,469,285,191,26,971,601,426,289,27,1342,491,475,169,22,1157,277,488,158,25,940,282,531,126,21,964,540,1200,199,28,1960,332,1046,89,7,1480,215,660,32,8,919,128,543,41,4,711,263,1200,36,6,1510,339,951,205,6,1503,105,78,33,4,216,5578,8325,2214,247,16358
SED23205,86,32,45,0,161,45,8,30,0,86,34,27,90,3,147,24,11,129,3,172,230,38,239,16,525,132,59,374,12,573,754,130,390,30,1306,476,254,402,36,1172,535,451,414,39,1444,517,492,333,46,1392,352,503,214,31,1096,352,487,144,21,996,716,1002,193,26,1932,424,743,85,15,1267,222,431,28,3,683,98,263,22,0,392,177,517,21,4,721,396,723,370,13,1497,143,83,94,8,332,5720,6249,3623,306,15902
SED23308,67,16,34,4,127,42,16,23,0,85,37,12,64,3,117,16,10,97,9,126,255,45,188,11,502,148,71,304,15,537,770,145,321,26,1262,484,195,319,36,1035,588,383,351,40,1359,563,419,247,33,1254,326,447,176,22,976,382,485,142,20,1026,805,1044,173,34,2052,502,699,53,11,1273,261,487,16,10,775,169,285,34,0,490,312,719,25,3,1068,434,701,279,10,1424,135,77,64,7,279,6303,6267,2907,295,15776
SED23402,85,44,38,4,166,46,5,20,0,71,32,26,47,6,117,19,15,86,0,116,206,49,146,8,413,116,69,274,6,465,691,144,279,8,1122,469,274,284,16,1049,574,547,309,20,1442,578,707,238,20,1549,370,693,193,10,1261,475,822,139,16,1450,903,1554,195,24,2673,532,1161,73,14,1785,260,703,43,4,1020,143,473,30,4,653,272,992,22,3,1287,355,1025,254,12,1652,104,91,52,0,247,6226,9393,2732,185,18535
SED23502,114,19,28,3,164,83,10,21,0,121,70,22,72,3,160,42,13,119,0,168,446,48,191,11,695,261,70,282,3,617,1425,190,310,22,1942,769,295,256,28,1353,946,519,239,31,1735,780,567,170,18,1529,388,514,79,9,991,405,441,72,8,931,648,744,73,6,1470,293,449,20,5,764,163,212,3,0,370,88,139,18,0,244,156,223,10,0,391,552,822,214,14,1605,229,61,59,3,355,7837,5363,2233,175,15608
SED23602,89,29,22,0,135,83,8,24,3,117,37,18,62,10,127,25,8,97,0,136,361,63,171,9,604,199,91,263,8,559,1049,151,229,24,1451,666,292,256,30,1247,710,478,215,22,1426,611,509,138,21,1280,366,473,76,7,919,427,482,84,7,997,648,769,64,10,1496,353,525,24,5,908,185,283,7,0,476,92,182,22,0,300,224,369,15,0,608,481,786,215,6,1483,191,79,58,3,328,6792,5595,2038,158,14588
SED23702,84,29,43,0,161,44,16,24,3,89,43,16,58,4,124,24,7,119,0,153,250,33,183,3,472,170,71,334,6,579,866,134,330,14,1338,507,244,390,21,1162,627,494,352,26,1504,637,671,256,29,1601,387,733,202,21,1341,441,770,159,18,1390,890,1480,191,27,2583,477,1086,78,17,1656,236,594,31,5,870,107,359,27,0,495,147,609,18,6,779,400,1059,349,8,1813,170,117,59,4,356,6505,8522,3208,227,18468
SED23806,112,40,96,30,278,34,9,27,11,80,37,12,37,23,109,24,9,35,10,76,104,29,50,16,196,103,49,82,14,241,242,64,83,29,420,265,114,118,35,537,382,175,135,44,737,435,194,136,53,815,309,189,110,18,625,361,249,96,18,722,886,574,171,60,1682,726,531,72,30,1359,517,450,28,13,1012,371,647,76,7,1102,1094,3228,88,17,4423,450,994,169,14,1633,95,90,32,4,217,6546,7642,1633,443,16272
SED23901,92,47,54,3,201,57,14,31,8,111,44,18,73,14,145,25,18,80,0,120,182,46,129,12,367,94,83,169,13,366,521,131,209,29,881,374,176,218,49,820,471,344,266,44,1128,428,364,219,32,1051,307,412,183,19,920,370,441,142,32,989,713,1088,189,26,2016,549,937,77,30,1591,359,705,40,9,1111,236,585,46,3,869,511,1794,57,10,2362,367,879,290,19,1557,109,92,55,14,265,5816,8176,2525,366,16883
SED24006,121,82,173,26,404,67,24,41,9,143,29,37,62,8,138,14,27,59,5,104,133,40,78,8,261,83,79,125,11,301,299,96,121,18,536,246,140,147,18,560,323,262,203,37,819,364,290,154,35,845,211,283,121,24,648,276,344,115,17,747,615,747,238,37,1641,492,724,98,19,1329,303,582,40,5,936,244,623,114,3,991,866,2989,93,6,3964,356,1325,207,13,1909,101,82,31,3,219,5138,8788,2234,328,16484
SED24105,195,118,137,13,456,64,32,43,4,138,64,73,116,8,264,40,45,119,12,216,341,151,160,21,676,180,214,252,12,658,860,387,310,18,1575,447,534,360,40,1377,546,802,361,67,1768,470,864,278,32,1641,295,752,210,27,1279,300,734,142,24,1196,548,1363,208,42,2162,287,1009,93,12,1398,151,536,32,15,739,78,391,28,4,508,127,644,24,0,795,317,962,251,14,1545,125,111,64,5,310,5424,9713,3201,365,18701
SED24207,204,96,134,13,447,70,39,37,6,161,51,72,159,4,286,39,50,178,3,268,303,185,253,13,756,159,228,330,12,728,784,384,396,32,1587,358,634,391,39,1429,492,969,412,42,1912,409,1100,344,46,1895,269,1007,252,21,1548,335,934,188,28,1483,615,1852,204,40,2715,355,1315,102,23,1796,177,726,42,9,954,95,434,41,5,573,135,614,32,4,782,305,1198,317,16,1837,149,148,104,5,408,5302,12007,3918,353,21579
SED24308,80,28,70,9,182,29,21,30,3,79,47,26,148,8,225,32,23,166,0,220,376,83,295,11,767,153,117,475,10,756,1002,231,454,30,1714,515,333,435,41,1326,525,538,405,34,1504,508,620,281,36,1456,309,583,187,21,1096,349,594,131,17,1093,577,1043,167,21,1808,336,673,51,10,1073,147,400,24,9,579,84,240,27,0,354,154,417,26,0,595,360,815,286,20,1482,158,95,108,3,369,5754,6881,3767,285,16685
SED24408,86,29,22,0,138,63,23,14,7,108,45,30,47,3,132,18,12,96,0,125,345,50,158,8,566,216,76,261,11,568,1093,175,264,15,1549,656,328,267,33,1284,760,510,228,28,1530,730,564,143,23,1454,368,536,98,4,1006,429,474,60,10,980,659,805,42,9,1513,373,455,30,3,859,180,268,5,0,456,87,110,17,0,214,212,233,17,3,465,467,839,189,9,1497,177,56,63,6,303,6968,5576,2018,176,14739
SED24504,82,23,18,4,124,64,10,10,0,86,38,12,46,7,100,29,11,59,0,102,244,41,101,9,394,136,63,156,3,359,701,128,199,10,1039,514,188,184,20,907,669,384,220,18,1292,590,450,155,10,1201,355,523,137,7,1024,333,538,93,3,961,716,1088,116,6,1930,468,850,45,5,1370,282,546,27,0,856,191,469,17,0,684,382,854,22,0,1265,408,942,241,7,1600,125,70,39,3,233,6326,7191,1880,123,15520
SED24606,106,32,61,12,206,54,11,27,11,103,27,14,42,6,88,18,8,28,9,61,129,16,49,10,206,73,34,81,12,200,285,48,97,23,456,206,79,122,25,435,336,117,135,49,635,324,170,120,38,639,265,195,106,20,581,323,216,87,26,646,749,515,172,57,1486,579,444,72,30,1116,412,413,39,17,883,357,628,84,3,1077,1216,2866,105,10,4198,438,975,177,16,1603,80,73,25,9,186,5963,6845,1637,367,14809
SED24703,588,47,158,415,1206,104,19,52,75,255,118,24,134,78,356,71,19,105,30,232,227,59,122,74,485,202,74,159,70,507,431,102,151,117,803,475,149,165,122,904,680,197,209,146,1232,715,237,130,114,1188,580,311,107,73,1072,657,228,74,67,1027,1445,606,151,117,2317,1131,418,63,75,1684,821,367,22,44,1259,617,362,61,21,1064,1555,1165,56,34,2808,852,540,161,41,1593,82,39,61,14,199,11357,4963,2151,1721,20189
SED24808,109,60,104,3,269,34,26,42,3,103,52,34,120,10,216,14,18,189,0,217,263,86,293,16,665,147,126,513,18,806,922,251,499,32,1706,459,430,506,24,1418,625,768,457,36,1891,621,887,354,35,1895,409,904,226,17,1559,442,871,185,29,1528,877,1588,226,32,2724,447,1021,83,6,1560,237,575,33,3,851,120,345,26,0,496,130,511,28,4,674,389,983,348,14,1728,162,131,110,7,409,6470,9604,4344,290,20708
