SED_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
SED21303,495,458,949,1448,1293,2739,406,405,807,103,146,253,1955,1845,3801,872,730,1597,203,293,501,136,196,334,1217,1220,2429,126,126,254,176,176,356,83,65,141,216,231,448,0,3,11,602,598,1200,1648,2036,3683,1171,1319,2491,127,218,350,609,1042,1650,9,11,22,3571,4625,8197,94,133,229,174,270,442,0,6,8,266,408,671,2225,2481,4706,10328,11630,21960
SED21401,460,435,893,1483,1315,2802,536,507,1042,168,177,340,2181,1999,4178,1088,995,2080,458,473,926,394,408,798,1934,1873,3806,117,106,224,93,125,217,113,43,158,121,163,286,4,3,5,450,447,891,1224,1260,2482,295,333,628,109,98,208,221,317,544,12,21,34,1862,2030,3892,89,92,184,151,260,410,5,0,6,240,357,599,1410,1597,3008,8543,8731,17271
SED21503,477,469,944,1456,1337,2790,777,684,1467,123,144,261,2355,2161,4518,942,846,1789,699,651,1351,158,182,340,1796,1680,3474,131,117,253,87,130,210,155,57,212,173,173,347,3,0,4,549,478,1027,2006,2328,4336,805,733,1538,121,116,236,199,337,540,7,6,17,3141,3523,6659,120,119,238,113,199,309,4,5,8,232,323,556,1631,1811,3434,10174,10448,20623
SED21608,485,442,927,1780,1612,3389,675,649,1321,220,242,465,2669,2498,5171,873,925,1798,688,650,1336,273,302,574,1832,1880,3716,102,89,188,35,63,94,142,99,238,115,196,316,12,5,15,401,453,860,745,886,1632,177,297,469,73,109,181,199,389,591,5,10,16,1193,1696,2888,42,71,114,114,207,321,4,4,9,155,284,445,2217,2316,4534,8962,9573,18537
SED21706,624,597,1221,1927,1696,3626,626,609,1234,260,411,665,2807,2714,5525,801,867,1664,589,548,1138,714,1032,1746,2112,2444,4548,249,159,402,149,175,323,106,48,156,171,212,382,0,4,3,671,592,1268,2373,2559,4936,689,724,1412,172,156,328,323,489,812,16,5,21,3577,3936,7514,101,99,203,124,232,354,3,5,4,228,336,561,1651,1791,3444,11668,12415,24083
SED21805,640,564,1200,2142,2031,4172,409,359,769,251,236,490,2805,2629,5432,1310,1254,2565,334,345,676,276,293,574,1918,1896,3815,112,133,244,65,117,178,198,116,314,202,276,477,9,8,12,583,643,1231,407,567,966,109,232,345,45,82,127,185,416,597,3,9,7,745,1302,2049,74,68,139,107,257,366,4,9,14,184,338,523,2328,2447,4775,9214,9815,19027
SED21906,633,615,1248,1144,991,2138,268,283,555,1194,1135,2333,2611,2421,5032,399,309,710,211,225,436,1173,1179,2355,1779,1715,3500,100,72,171,99,135,236,49,38,90,142,219,360,3,4,8,403,469,867,1432,1664,3103,595,653,1252,113,137,250,443,589,1029,10,10,17,2591,3054,5642,137,137,275,155,243,395,7,3,11,297,381,678,1997,2060,4061,10310,10719,21021
SED22005,572,533,1106,1717,1548,3264,679,640,1319,208,171,382,2606,2359,4963,1217,1059,2282,503,530,1030,195,257,450,1918,1838,3757,345,211,556,204,222,424,154,55,210,196,242,437,14,4,17,912,741,1650,2202,2136,4336,833,705,1540,126,136,268,258,307,567,13,12,32,3433,3304,6740,250,229,473,249,354,598,3,10,8,495,587,1080,2149,2179,4327,12084,11533,23623
SED22105,1056,956,2012,3716,3554,7272,875,825,1698,539,547,1088,5133,4931,10065,2109,2018,4127,635,668,1299,407,447,856,3145,3138,6281,251,290,538,132,244,380,229,159,391,291,443,738,14,7,16,918,1143,2068,711,825,1538,242,354,598,85,114,199,255,449,705,5,12,12,1299,1752,3049,167,220,391,216,512,721,8,8,15,388,745,1132,3019,3065,6085,14950,15727,30681
SED22201,553,503,1053,1688,1643,3325,375,366,742,311,325,638,2368,2337,4702,1063,970,2039,345,344,686,492,447,941,1904,1762,3660,121,130,252,80,96,170,230,82,307,162,208,372,7,3,6,596,515,1110,532,686,1222,142,200,345,79,97,174,195,373,564,0,3,5,943,1363,2311,74,96,175,133,265,396,4,3,11,211,367,580,1349,1637,2991,7931,8477,16406
SED22305,492,450,944,2160,2089,4246,419,432,850,196,172,368,2770,2691,5463,1724,1609,3338,298,306,602,197,219,417,2218,2137,4354,329,258,586,214,292,510,137,71,207,250,283,531,13,9,15,939,908,1846,836,852,1684,370,345,720,77,101,178,191,211,409,10,14,23,1484,1524,3005,280,334,614,295,470,772,18,13,29,592,813,1409,3363,3094,6454,11860,11614,23477
SED22404,479,427,903,1735,1599,3335,465,482,946,228,234,465,2428,2315,4738,1298,1197,2496,191,222,410,361,443,803,1845,1863,3708,72,101,166,26,51,82,259,109,364,120,174,298,7,3,14,486,436,925,175,309,483,51,118,171,38,66,102,92,303,402,0,3,5,360,806,1165,33,39,77,89,207,298,3,3,6,123,248,377,2540,2505,5042,8261,8600,16863
SED22501,564,561,1121,2090,1881,3963,507,523,1024,133,143,274,2725,2540,5266,1331,1185,2518,543,629,1176,314,295,603,2181,2110,4296,112,99,202,23,53,81,253,73,327,144,154,297,4,3,9,531,378,912,725,918,1642,152,217,373,84,94,177,232,410,642,0,6,7,1205,1644,2849,54,57,106,91,178,268,0,0,5,145,241,383,1059,1195,2255,8406,8669,17075
SED22607,502,482,989,1265,1128,2388,915,868,1775,323,366,687,2496,2355,4855,843,737,1575,598,653,1252,418,521,937,1857,1908,3762,130,134,265,113,166,283,113,57,172,152,181,339,11,0,8,521,552,1066,1274,1430,2704,582,598,1176,127,152,279,409,623,1031,11,9,16,2395,2813,5212,105,191,293,149,303,457,6,10,11,260,505,759,2286,2468,4762,10320,11081,21403
SED22704,471,431,899,1650,1491,3134,699,654,1358,102,122,227,2447,2264,4716,1181,1172,2353,557,568,1124,245,221,471,1982,1962,3942,110,93,207,31,72,104,187,126,309,126,249,378,4,9,13,460,547,1008,156,248,408,35,118,155,23,59,83,112,289,402,0,4,6,333,721,1055,98,63,163,75,152,223,3,3,6,178,215,396,3173,3054,6221,9041,9187,18232
SED22802,588,505,1096,1851,1777,3626,389,400,785,249,228,480,2484,2409,4895,1322,1277,2596,381,436,820,375,408,783,2079,2123,4202,103,129,228,50,75,122,316,125,436,198,191,390,3,3,12,672,519,1189,414,569,981,98,157,250,58,83,139,139,296,439,0,3,6,710,1111,1821,51,64,107,107,188,288,6,9,12,158,253,410,1370,1471,2841,8068,8392,16454
SED22901,471,446,911,1614,1441,3054,308,313,620,280,208,488,2201,1969,4164,1105,1200,2301,402,354,753,380,355,729,1888,1900,3790,99,126,227,67,102,166,162,70,227,167,223,384,0,3,5,489,524,1017,790,852,1644,192,225,412,88,87,178,180,270,449,8,9,11,1256,1439,2697,64,74,139,116,246,363,0,5,10,182,329,508,1116,1199,2308,7596,7803,15402
SED23007,568,488,1060,1437,1319,2759,829,861,1695,154,162,314,2421,2348,4764,1185,1090,2273,519,692,1206,191,186,376,1897,1964,3861,282,214,498,279,328,606,121,83,204,245,266,503,12,8,28,946,898,1841,2000,1829,3831,1051,816,1867,124,149,273,467,587,1058,18,16,29,3656,3409,7063,280,404,680,281,505,785,13,7,16,568,916,1484,3376,3199,6579,13429,13221,26653
SED23101,560,483,1046,1905,1778,3681,385,394,783,157,158,319,2453,2329,4786,1390,1206,2591,406,411,819,368,389,760,2167,1997,4168,137,97,233,87,110,199,102,32,135,124,175,291,7,3,8,451,415,868,1276,1292,2567,364,364,732,101,104,203,250,323,569,12,14,24,2001,2091,4091,81,108,193,116,245,361,0,3,3,200,356,553,1106,1281,2389,8935,8963,17901
SED23205,550,466,1019,1836,1769,3607,298,303,598,147,148,295,2277,2222,4499,1350,1240,2588,186,185,365,219,242,463,1744,1663,3416,95,161,255,77,131,212,211,107,319,200,304,503,4,4,7,588,710,1304,417,616,1034,121,228,350,49,87,138,164,350,516,6,6,11,760,1285,2043,82,110,193,123,237,360,3,3,11,212,356,567,2292,2469,4766,8430,9176,17611
SED23308,536,437,970,1396,1322,2716,589,558,1145,236,289,522,2213,2168,4383,817,680,1495,511,657,1169,458,395,851,1782,1742,3520,129,170,300,68,118,189,169,107,276,174,234,408,3,9,14,547,638,1188,755,928,1680,382,399,790,82,120,206,272,475,753,3,3,5,1504,1929,3431,52,83,134,125,232,356,5,9,13,187,320,504,1998,2210,4214,8767,9442,18212
SED23402,698,602,1301,2046,1915,3963,541,522,1061,570,605,1177,3158,3049,6206,1241,1089,2327,455,489,945,861,824,1685,2557,2403,4957,154,167,323,50,84,134,307,126,436,200,263,459,6,11,14,714,647,1362,596,823,1416,115,220,336,76,135,209,164,368,528,3,8,6,944,1551,2501,55,81,135,103,241,344,3,6,5,157,332,490,1937,1941,3878,10168,10523,20691
SED23502,405,419,822,1545,1504,3050,494,439,932,185,153,343,2231,2100,4331,1022,983,2007,494,519,1016,158,138,299,1683,1638,3320,61,87,145,26,93,122,118,91,213,103,204,306,3,6,6,314,480,799,72,142,215,15,101,114,23,44,62,87,282,365,0,3,3,192,567,768,31,45,79,68,144,215,3,4,6,104,195,303,2754,2953,5703,7678,8364,16041
SED23602,458,390,847,1666,1552,3217,414,434,842,167,161,324,2242,2147,4386,1052,1041,2094,475,472,944,171,230,397,1702,1740,3436,60,65,128,25,63,92,168,94,256,91,212,303,0,7,11,346,444,793,113,181,300,33,107,142,18,59,79,101,291,395,0,3,5,267,644,909,58,66,120,70,149,219,5,4,11,127,217,348,3261,2515,5782,8399,8098,16503
SED23702,599,522,1120,2282,2206,4488,430,426,862,230,223,454,2945,2857,5800,1488,1441,2927,396,417,809,348,394,738,2231,2246,4479,146,171,317,56,117,172,376,165,544,163,304,468,14,5,16,753,763,1518,356,536,887,78,146,219,46,89,138,98,327,424,0,3,10,576,1099,1677,100,70,178,90,251,339,7,6,11,193,327,522,2069,2174,4237,9362,9990,19354
SED23806,554,471,1030,1598,1551,3153,413,359,774,512,490,1003,2527,2402,4923,442,557,992,442,370,813,1185,1217,2408,2066,2141,4211,141,97,241,100,120,221,53,35,89,143,155,295,0,3,7,435,417,849,2249,2118,4369,798,782,1580,136,183,319,480,687,1176,3,15,17,3668,3794,7465,93,120,208,117,226,347,3,8,6,214,353,566,1686,1859,3545,11155,11431,22584
SED23901,568,576,1144,1753,1751,3502,566,544,1117,239,247,490,2559,2549,5105,1058,882,1943,458,471,930,461,536,999,1974,1892,3866,125,128,248,77,122,195,107,53,160,133,169,306,3,5,9,445,473,918,1022,1134,2154,392,439,827,101,109,217,329,495,819,9,4,17,1848,2176,4032,116,84,199,115,250,364,5,6,12,243,341,579,1872,2074,3945,9508,10081,19590
SED24006,495,486,981,1630,1364,2992,623,545,1168,469,646,1118,2719,2560,5275,1207,1086,2291,657,523,1184,1060,1185,2246,2923,2797,5719,88,80,171,75,100,173,69,24,93,111,146,256,0,0,3,349,354,699,1774,1709,3487,369,384,752,185,175,361,325,456,781,10,9,17,2661,2735,5389,57,82,139,120,220,346,3,5,8,181,315,493,1638,1678,3315,10965,10915,21877
SED24105,528,531,1062,1836,1600,3437,718,744,1468,312,294,608,2869,2644,5512,1585,1411,2998,538,667,1205,396,338,735,2518,2417,4929,284,254,537,143,183,327,135,80,216,159,205,368,3,3,7,721,727,1451,1166,1223,2386,352,315,669,112,134,247,175,238,418,11,14,17,1810,1925,3735,189,222,411,210,369,574,4,6,10,400,597,1000,1879,1878,3756,10730,10715,21444
SED24207,754,738,1490,2751,2545,5294,1073,1075,2150,365,355,718,4190,3974,8161,1932,1781,3717,647,892,1545,328,309,634,2906,2986,5891,228,194,425,137,209,340,144,87,236,174,238,417,8,11,16,689,739,1426,1071,1208,2277,290,398,691,97,129,226,240,286,527,7,15,16,1710,2031,3737,200,283,481,235,431,662,5,9,20,444,724,1160,3718,3320,7040,14405,14501,28910
SED24308,481,471,953,1726,1685,3410,569,595,1165,270,226,495,2569,2509,5077,1304,1131,2439,403,554,955,645,522,1163,2345,2210,4555,129,157,286,57,145,203,182,122,307,166,234,397,3,6,4,541,666,1203,411,549,963,118,175,291,63,101,155,121,263,381,3,3,8,708,1088,1796,146,181,323,160,277,434,7,3,8,314,456,766,3467,2700,6164,10415,10098,20514
SED24408,413,379,787,1609,1474,3083,362,317,675,335,317,653,2305,2106,4409,1163,1128,2299,445,437,884,203,201,401,1808,1774,3581,54,54,108,19,34,52,113,68,180,91,142,238,3,8,14,284,307,590,80,166,248,48,89,137,19,65,90,107,228,334,0,0,0,251,549,801,53,62,114,73,156,230,4,9,14,128,226,353,2127,2219,4348,7319,7548,14870
SED24504,546,482,1029,1807,1680,3492,586,612,1201,222,233,458,2618,2525,5143,930,913,1841,643,618,1263,398,368,769,1965,1904,3869,51,62,117,15,46,60,179,84,267,122,159,280,3,4,10,375,358,726,293,450,746,77,157,233,38,65,105,141,384,523,0,0,3,553,1054,1610,30,44,72,76,204,279,3,5,9,106,256,364,2186,2336,4520,8345,8917,17261
SED24606,498,445,940,1054,993,2044,444,430,873,707,757,1469,2208,2180,4388,188,221,410,454,421,871,1161,1199,2366,1801,1841,3646,96,81,172,58,122,180,52,34,86,99,153,256,3,0,3,306,392,697,1588,1950,3543,500,549,1046,115,141,261,342,500,836,3,10,18,2551,3153,5706,70,88,152,90,215,304,0,3,3,155,300,463,1640,1882,3525,9160,10197,19356
SED24703,358,329,689,993,900,1893,178,198,373,144,191,334,1318,1282,2605,731,591,1320,139,153,295,259,315,573,1127,1059,2185,601,668,1272,594,805,1400,138,96,226,380,452,830,7,9,15,1718,2036,3756,9888,12987,22873,2948,3019,5963,248,313,555,864,1146,2008,30,39,77,13977,17500,31477,632,936,1574,600,742,1338,3,20,20,1240,1695,2937,6659,6212,12873,26401,30114,56513
SED24808,753,715,1469,2760,2647,5406,613,700,1318,431,418,850,3801,3768,7571,1641,1525,3160,521,551,1064,422,436,859,2578,2502,5085,139,136,272,76,133,208,230,114,344,171,267,434,3,4,9,624,654,1270,380,607,988,137,258,399,61,106,167,192,400,593,4,7,17,778,1386,2169,163,195,360,166,397,564,3,9,7,329,606,931,2793,2961,5751,11657,12589,24252
SED24904,583,499,1083,1973,1811,3779,481,482,968,178,177,361,2633,2468,5106,1587,1541,3136,356,403,762,99,94,185,2045,2035,4082,109,111,223,56,89,140,168,125,292,181,266,447,8,9,10,521,591,1110,116,272,388,46,145,192,32,60,92,100,268,364,0,5,11,297,747,1047,59,74,132,68,162,226,5,3,8,132,237,368,3221,3188,6415,9438,9772,19208
SED25003,600,508,1113,2080,1817,3893,890,947,1839,160,171,332,3127,2932,6061,1365,1322,2692,936,927,1863,151,139,291,2456,2390,4842,171,182,358,86,157,244,218,97,318,158,226,390,8,6,8,650,674,1323,844,1024,1874,261,284,551,84,111,197,181,307,487,4,15,18,1379,1748,3120,113,144,260,121,255,372,6,9,18,245,403,646,1676,1774,3448,10122,10433,20553
SED25102,534,470,1003,2062,1848,3905,297,291,590,344,295,637,2694,2434,5132,1035,1034,2071,467,466,933,479,501,985,1981,2003,3992,96,110,203,41,52,95,295,90,381,168,227,388,4,6,10,602,480,1081,482,590,1076,99,221,318,60,92,156,179,414,591,0,8,10,825,1323,2146,46,67,112,86,231,316,0,0,3,135,294,437,1417,1460,2876,8191,8469,16656
SED25205,651,556,1206,1798,1756,3557,869,761,1636,174,226,402,2842,2745,5587,1067,1104,2170,625,566,1191,314,364,676,2002,2036,4036,142,116,257,59,87,143,188,73,264,167,181,354,6,0,10,562,463,1025,654,802,1456,138,246,381,79,114,193,210,429,642,7,3,9,1089,1596,2684,79,66,149,117,206,322,3,3,4,201,279,476,1618,1814,3434,8970,9484,18459
SED25302,559,535,1094,2046,1899,3945,421,411,832,528,534,1060,2992,2842,5838,947,854,1802,534,507,1044,788,853,1639,2265,2220,4488,86,81,160,27,71,97,204,76,276,135,170,308,0,4,6,451,400,849,443,556,998,59,136,200,54,60,119,171,303,475,8,4,11,738,1062,1800,41,49,87,104,219,317,0,4,8,142,273,415,1524,1708,3236,8675,9036,17715
SED25402,444,412,858,1845,1680,3525,661,654,1319,158,168,333,2661,2503,5167,1167,1208,2368,531,515,1046,237,260,493,1925,1979,3908,87,124,220,44,112,155,199,139,341,141,229,367,10,0,13,485,612,1089,291,481,769,125,200,327,43,89,130,159,307,463,3,4,4,612,1082,1699,77,58,136,91,223,310,3,5,12,173,283,455,2746,2925,5671,9045,9804,18848
SED25501,466,422,893,2023,1902,3919,327,294,619,200,243,444,2545,2441,4990,1749,1446,3192,301,342,641,563,535,1099,2609,2323,4935,186,127,311,137,170,301,96,37,131,137,222,357,0,3,3,552,553,1108,1789,1737,3527,415,444,857,105,96,206,235,327,564,9,9,19,2563,2614,5173,107,115,222,149,249,399,0,3,5,259,363,623,1300,1403,2711,10301,10126,20429
SED25605,472,461,936,1410,1425,2834,572,528,1102,219,220,435,2195,2172,4368,1059,1005,2061,485,456,946,370,335,707,1916,1801,3715,222,161,386,117,155,273,110,46,160,132,175,307,9,9,13,589,540,1134,1175,1078,2249,392,360,752,90,117,207,192,258,454,13,12,24,1866,1824,3686,167,144,311,178,259,434,3,7,12,347,406,759,1714,1690,3399,9105,8892,17995
