SED_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
SED21706,14,51,118,9,12,53,256,3,38,7,17,0,0,60,29,399,64,24,14,6,532,58,183,91,64,14,3,413,113,86,58,31,10,4,299,112,81,74,38,10,3,312,353,42,151,20,12,7,585,1414,67,220,8,21,3,1736,848,5,165,3,16,3,1039,456,3,78,0,5,0,542,303,0,51,0,3,0,358,126,0,23,0,3,0,148,68,3,15,0,4,0,82,110,0,38,0,0,3,146,77,64,84,11,9,14,251,4069,1019,1229,229,134,93,6767
SED21805,5,25,74,6,3,40,157,3,15,10,9,4,0,43,15,167,43,19,20,3,264,57,57,74,23,41,0,252,76,18,74,3,46,3,220,343,33,160,13,120,11,685,1679,35,359,8,43,6,2133,1687,7,224,10,16,7,1957,398,0,36,3,0,0,444,123,0,19,0,0,0,144,43,0,5,0,0,0,45,16,0,3,0,0,0,15,3,0,0,0,0,0,6,36,0,3,0,3,0,44,95,26,65,12,8,13,212,4591,380,1149,108,306,86,6617
SED21906,14,25,176,9,5,106,336,7,10,8,15,0,3,40,21,108,54,18,4,0,206,68,41,100,31,10,0,256,138,11,70,3,0,0,229,785,0,136,9,8,3,945,1390,6,262,3,6,3,1678,2417,8,378,3,10,7,2826,1242,0,230,4,10,0,1491,662,0,133,0,10,0,801,344,0,89,0,0,0,434,174,0,51,0,0,0,226,88,0,24,0,0,0,108,158,0,34,3,5,0,200,124,10,88,13,6,12,259,7641,233,1828,109,90,143,10039
SED22005,19,22,135,7,6,89,274,12,24,11,6,0,0,55,35,181,84,18,12,3,329,89,84,118,12,18,3,322,71,37,73,13,8,0,198,285,28,136,8,25,0,491,1644,34,317,11,74,13,2090,2267,39,329,9,45,11,2693,832,3,138,3,14,0,988,290,0,43,0,6,0,343,103,0,26,0,3,0,127,36,0,16,0,0,0,52,9,0,3,0,0,0,20,65,0,11,0,3,0,79,153,35,106,9,25,20,342,5896,479,1546,102,241,140,8392
SED22105,14,9,50,0,9,39,124,3,10,10,0,4,0,24,5,103,41,3,0,0,160,30,75,61,9,4,3,183,22,29,58,3,5,0,120,251,73,146,12,9,9,492,1573,34,404,15,39,10,2069,2485,8,238,3,22,6,2756,209,4,43,0,7,0,257,36,0,3,0,0,0,38,15,0,5,0,0,0,21,7,0,7,0,0,3,19,4,0,0,0,0,0,5,29,0,4,0,0,3,31,114,21,52,5,12,13,214,4795,369,1126,53,106,77,6523
SED22201,7,20,54,6,0,41,123,3,15,3,3,3,0,35,12,154,21,13,3,0,204,20,61,47,20,0,3,158,50,31,56,9,3,0,152,194,31,96,17,6,4,347,1132,35,253,5,18,3,1447,1455,26,235,6,8,3,1730,363,3,42,0,4,0,408,64,0,12,0,0,0,79,19,0,0,0,0,0,20,9,0,3,0,0,0,16,3,0,0,0,0,0,3,20,0,0,0,0,0,21,77,30,47,13,4,9,178,3431,409,875,88,59,67,4923
SED22305,26,63,98,7,5,50,263,9,55,12,4,3,0,82,49,482,60,16,11,8,635,100,208,99,42,32,13,494,198,116,79,19,32,3,447,1386,108,250,21,52,13,1828,2862,106,546,5,115,21,3658,1152,39,218,5,81,12,1503,106,6,31,3,9,0,147,31,0,10,0,7,0,44,14,0,5,0,0,0,19,8,0,8,0,0,0,21,0,0,0,0,0,0,3,58,0,8,0,4,0,66,127,79,73,17,22,22,342,6129,1268,1490,151,377,149,9554
SED22404,8,12,102,11,66,128,324,4,8,13,0,10,0,39,27,103,95,14,25,6,272,95,37,126,5,33,8,312,118,23,142,5,21,0,308,330,10,173,0,11,3,525,621,15,206,3,17,5,866,323,0,91,0,7,0,416,33,0,16,0,0,0,57,24,0,6,0,3,0,33,3,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,9,0,6,0,0,0,18,29,19,59,6,33,9,153,1638,225,1034,48,232,157,3337
SED22501,0,7,51,4,0,30,98,3,5,7,10,3,3,24,3,64,24,29,12,3,140,10,14,35,6,4,0,70,19,7,22,0,0,0,57,41,12,49,0,3,3,106,408,5,126,0,3,0,552,720,6,117,0,5,3,848,360,0,43,0,0,0,408,94,0,17,0,0,0,109,30,0,4,0,0,0,37,12,0,3,0,0,0,15,4,0,0,0,0,0,4,21,0,7,0,0,0,26,31,12,29,8,4,3,95,1753,142,545,59,38,52,2592
SED22607,11,134,122,11,3,61,347,11,106,11,8,0,0,135,29,684,56,13,13,5,803,93,272,79,49,5,3,498,101,116,51,3,3,0,281,693,163,108,20,9,5,997,1609,131,265,27,26,4,2061,2323,20,280,10,11,7,2646,1066,7,162,0,8,3,1241,439,3,60,0,0,3,503,178,3,24,0,0,0,200,62,3,15,0,0,0,84,25,0,3,0,0,0,33,60,0,12,0,0,0,77,111,108,60,23,10,16,326,6815,1762,1312,165,80,120,10241
SED22704,9,37,183,22,75,158,475,7,28,28,12,18,0,91,83,257,170,14,51,3,582,421,130,285,10,40,16,891,345,69,189,5,28,10,645,658,32,234,0,158,3,1084,654,6,148,0,80,0,898,185,6,48,0,11,5,254,17,3,10,3,3,0,42,0,0,4,0,0,0,8,0,0,0,0,3,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,10,0,0,0,10,39,41,64,3,49,9,217,2431,606,1390,70,514,201,5211
SED22802,10,6,60,3,17,42,137,0,3,7,8,0,0,27,8,60,27,9,3,0,105,27,31,45,7,9,0,123,38,8,67,3,13,0,124,107,7,56,3,9,0,188,477,24,171,3,22,3,702,878,12,183,3,5,0,1084,191,0,44,0,4,0,238,35,0,0,0,0,0,33,10,0,3,0,0,0,14,5,0,3,0,0,0,9,0,0,0,0,0,0,0,9,0,4,0,0,0,12,40,11,33,6,14,5,109,1836,178,707,39,89,59,2910
SED22901,3,11,66,0,3,42,131,0,9,11,14,5,3,40,5,119,37,13,21,0,189,13,41,35,5,32,0,125,18,37,35,9,3,0,98,70,41,60,13,0,8,187,617,24,181,7,11,0,849,1358,30,158,0,12,0,1563,397,0,35,0,4,0,438,102,0,9,0,0,0,107,30,0,4,0,0,0,32,6,0,0,0,0,0,7,4,0,0,0,0,0,4,18,0,3,0,0,0,19,53,23,50,17,10,8,163,2698,329,678,76,98,66,3948
SED23007,29,91,127,20,12,82,356,8,68,15,7,6,4,106,53,592,93,24,19,7,785,224,223,126,45,14,3,640,421,129,125,31,23,11,734,892,111,240,35,47,4,1332,2699,119,547,30,114,20,3528,2767,44,377,10,33,6,3242,703,8,136,0,10,0,860,195,5,29,0,3,0,236,68,4,16,0,0,0,89,33,0,4,0,0,0,36,12,0,3,0,4,0,25,76,0,16,0,0,3,95,150,90,158,12,21,15,449,8330,1483,2009,210,315,154,12503
SED23101,8,22,98,7,10,55,204,5,22,3,20,3,6,57,12,156,48,23,13,3,247,12,47,55,44,16,3,180,14,15,28,20,6,4,88,37,24,72,11,4,0,145,315,23,139,8,16,3,500,1251,16,219,3,12,0,1497,670,3,92,4,10,0,781,180,0,18,0,8,0,208,51,0,14,0,0,0,60,18,0,5,0,0,0,28,4,0,0,0,0,0,8,16,0,3,0,0,0,19,46,21,61,14,9,13,168,2637,360,849,156,115,94,4203
SED23205,15,39,84,4,6,50,190,4,36,4,3,3,3,53,26,346,80,29,14,9,503,163,131,137,20,23,3,474,272,58,122,12,6,10,476,995,54,263,21,17,13,1359,2340,73,370,15,17,10,2822,1176,9,155,3,10,4,1355,208,0,31,0,0,4,254,82,0,8,0,0,0,91,32,0,9,0,0,0,44,12,0,0,0,0,0,14,5,0,0,0,0,0,4,30,0,0,0,0,0,29,108,67,69,9,17,8,281,5474,811,1330,111,116,105,7953
SED23308,11,48,96,7,15,61,238,6,44,11,9,4,0,80,79,344,103,57,24,11,622,428,155,212,83,36,6,924,371,64,159,52,28,3,676,961,73,289,31,33,8,1389,2153,54,415,18,34,3,2679,1179,6,161,18,32,5,1405,280,5,50,0,0,0,340,78,0,17,0,0,0,92,16,0,3,0,0,0,17,9,0,6,0,0,0,18,5,0,0,0,0,0,6,11,0,3,0,0,0,15,91,46,61,14,19,12,249,5679,857,1573,297,231,112,8752
SED23402,0,6,67,3,12,35,132,0,8,4,5,3,3,21,6,33,25,17,3,0,93,20,23,42,4,4,0,99,21,4,44,4,26,0,99,223,9,83,3,11,4,333,1726,14,245,3,8,7,2007,1187,0,111,0,4,3,1314,207,3,20,0,3,0,238,61,3,10,0,0,0,80,13,0,5,0,0,0,20,3,0,0,0,0,0,3,3,0,0,0,0,0,3,14,0,3,0,0,0,19,58,12,45,3,8,3,125,3557,115,715,51,93,65,4592
SED23502,13,22,151,0,83,158,433,4,47,24,19,11,3,109,86,242,164,32,56,9,587,309,148,238,32,60,4,797,319,53,207,22,31,3,627,725,46,237,14,21,4,1044,698,12,131,3,10,4,858,239,3,39,4,3,3,290,12,0,3,0,0,0,19,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,4,0,6,0,3,0,10,39,20,67,12,34,6,179,2439,600,1280,133,318,192,4959
SED23602,12,35,178,20,80,162,486,4,45,32,19,8,0,107,81,209,141,24,31,6,498,311,122,230,21,47,7,740,342,30,174,15,29,3,597,710,7,201,9,74,5,1008,569,9,92,3,53,4,726,237,3,27,3,12,0,279,40,0,12,0,7,0,54,10,0,0,0,0,0,8,5,0,0,0,0,0,8,3,0,3,0,0,0,4,0,0,0,0,0,0,3,6,0,6,0,4,0,15,33,28,77,11,52,8,209,2352,483,1170,126,397,206,4738
SED23702,8,16,95,0,10,68,194,0,11,5,0,0,0,24,11,147,42,3,14,5,221,54,72,77,8,22,0,225,73,14,89,7,47,3,234,376,51,177,6,161,4,772,1336,32,285,4,46,13,1718,888,4,157,0,16,4,1073,114,3,25,0,0,0,139,35,0,6,0,0,0,38,22,0,3,0,0,0,26,4,0,0,0,0,0,4,0,0,0,0,0,0,3,16,0,3,0,6,0,24,55,23,58,6,16,4,160,2994,378,1012,40,337,101,4858
SED23806,15,12,120,11,17,87,261,4,11,11,15,0,0,41,17,91,35,20,4,0,172,102,23,83,24,4,3,235,149,29,70,19,6,0,276,400,16,120,18,14,3,572,1274,10,187,7,15,3,1497,2896,3,321,4,21,4,3249,1294,0,194,3,6,3,1499,569,0,100,0,3,4,671,325,0,54,0,5,0,388,224,0,27,0,0,0,259,131,0,19,0,0,0,149,283,0,52,0,0,0,336,110,10,70,21,3,19,237,7800,197,1465,138,102,127,9836
SED23901,9,61,113,10,3,64,263,7,45,9,20,3,0,78,20,405,36,19,3,3,493,18,157,55,38,14,0,276,22,90,58,17,3,5,201,176,116,89,31,58,3,467,1218,120,233,20,57,5,1656,1761,60,240,5,24,9,2098,704,17,104,0,9,0,842,210,7,36,0,5,0,255,75,5,12,0,0,0,96,40,0,6,0,0,0,48,12,0,4,0,0,0,18,45,0,11,0,0,0,65,65,70,61,14,12,9,232,4387,1157,1079,166,187,98,7083
SED24006,17,3,144,0,6,83,256,4,0,0,3,0,0,8,16,21,34,3,0,0,73,17,5,31,13,0,0,72,27,6,34,0,0,0,69,47,0,33,0,0,0,90,417,0,82,0,4,0,505,1263,0,171,3,4,0,1438,884,0,158,3,5,0,1056,518,0,58,0,5,0,583,270,0,46,0,3,0,323,149,0,27,3,0,0,181,128,0,18,0,0,0,148,278,0,38,0,3,0,322,83,17,66,4,9,7,194,4117,58,947,40,48,97,5314
SED24105,13,21,124,0,8,46,213,8,24,8,0,3,0,40,17,121,47,8,18,4,206,69,59,68,14,25,3,228,113,25,37,0,17,3,197,292,26,94,9,29,8,453,1267,37,334,3,59,9,1719,1001,19,137,3,34,5,1200,295,3,45,0,0,0,346,97,0,12,0,0,0,117,34,0,3,0,0,0,35,19,0,0,0,0,0,19,9,0,0,0,0,0,9,36,0,13,0,0,0,47,85,22,71,7,18,7,220,3351,361,987,42,212,84,5042
