SED_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
SED21106,24,44,34,327,70,350,18,135,11,1007,115,437,199,521,366,488,42,132,28,2310,948,2504,572,562,701,502,57,153,101,6101,1944,2747,383,388,663,481,52,92,103,6850,2294,2920,409,430,952,517,66,134,124,7847,1165,2122,264,266,675,329,72,115,79,5101,383,688,93,105,250,136,29,54,44,1775,59,83,9,7,32,13,6,6,12,233,4,8,0,0,3,4,0,3,15,33,6928,11553,1964,2607,3712,2808,345,825,516,31256
SED21203,14,16,123,104,43,471,26,182,28,997,101,260,444,463,285,517,226,388,84,2767,422,1060,1114,877,730,501,672,735,179,6290,397,848,768,650,554,274,552,600,122,4762,398,484,662,613,586,295,763,727,90,4606,183,243,317,292,316,148,483,455,62,2492,18,36,50,36,43,22,73,84,14,382,10,4,7,4,3,0,3,9,16,55,0,0,0,3,0,0,0,0,4,11,1542,2953,3482,3033,2552,2218,2797,3178,595,22361
SED21303,13,37,46,217,55,314,21,141,13,850,193,819,398,1064,556,842,84,385,71,4411,1692,6227,1569,1470,1742,1030,268,646,237,14874,1656,4226,766,516,1103,380,190,253,127,9217,1115,2334,535,437,926,295,182,220,79,6117,505,1308,282,266,515,154,159,198,42,3433,87,281,62,55,115,46,40,68,21,775,15,24,8,0,3,5,4,13,8,68,0,5,3,0,0,0,0,3,0,16,5284,15254,3651,4022,5011,3066,944,1923,592,39756
SED21401,12,54,56,211,51,441,16,163,16,1036,124,443,257,359,315,606,46,186,48,2385,766,1961,617,437,730,551,103,245,128,5535,1172,1936,565,366,749,420,91,210,102,5606,1306,1759,660,514,1038,545,185,341,95,6442,827,1203,450,347,699,392,184,307,60,4472,288,400,136,127,222,144,60,93,34,1509,61,72,20,5,25,32,5,18,11,252,7,4,0,0,5,0,0,0,3,22,4567,7834,2755,2369,3844,3129,692,1568,502,27259
SED21503,14,30,127,219,60,614,29,243,15,1337,113,388,404,609,325,681,105,376,41,3043,664,2002,1036,725,897,628,255,479,92,6786,962,1883,858,570,968,392,273,376,104,6381,844,1208,740,614,1100,383,384,458,105,5840,464,799,483,432,762,286,316,374,67,3983,73,167,109,85,163,76,62,117,14,866,9,11,6,5,9,4,4,23,7,82,0,0,0,0,4,0,0,0,6,10,3138,6486,3760,3259,4288,3067,1435,2440,443,28315
SED21608,35,26,223,221,48,560,12,396,30,1553,118,271,564,547,260,477,96,341,58,2733,427,1082,1012,574,572,396,247,439,60,4811,739,1295,897,573,763,343,345,464,88,5510,803,1107,833,731,861,397,525,609,110,5977,607,859,560,466,635,294,394,470,82,4365,239,182,97,81,100,58,101,109,26,992,52,14,3,0,8,7,7,17,12,124,4,0,3,0,3,0,0,10,3,27,3028,4838,4194,3203,3247,2532,1728,2844,477,26081
SED21706,21,63,61,425,79,543,19,204,21,1439,139,544,306,693,446,760,85,313,54,3341,810,2565,664,575,835,538,136,365,121,6607,1563,2694,462,329,796,362,88,152,85,6537,1701,2636,522,448,984,430,137,191,103,7150,791,1626,362,291,679,259,135,210,49,4395,170,402,99,73,217,68,33,65,18,1147,10,43,8,6,24,8,6,9,5,111,8,8,0,3,0,3,0,0,0,19,5209,10580,2484,2834,4054,2970,639,1516,469,30747
SED21805,23,19,200,197,61,578,43,349,18,1479,142,233,557,449,303,526,139,327,54,2730,753,1603,1507,785,1024,667,379,469,116,7296,1143,1669,1296,778,1249,617,539,563,126,7981,1039,1140,1079,771,1270,573,658,706,139,7374,658,715,648,513,953,419,527,511,71,5021,132,178,125,89,191,109,94,142,35,1097,18,12,8,5,13,5,4,15,13,94,3,0,3,0,3,0,0,0,7,18,3905,5562,5422,3595,5071,3488,2389,3087,569,33096
SED21906,11,52,34,243,62,260,14,120,19,802,138,596,226,567,378,528,61,250,43,2787,1267,4046,974,937,1190,801,137,428,164,9948,1641,3136,509,485,803,440,96,161,134,7409,1481,2381,366,392,792,394,93,171,87,6154,849,1753,307,281,660,288,107,155,69,4469,297,684,102,113,253,156,49,61,44,1759,28,85,10,4,38,17,4,15,13,220,12,7,0,0,7,0,0,3,11,41,5729,12750,2535,3011,4181,2890,565,1362,576,33600
SED22005,12,37,95,183,60,501,26,219,19,1150,124,458,437,521,375,708,160,579,72,3429,810,2601,1340,824,1122,768,548,864,169,9046,1046,1997,970,652,956,517,458,636,124,7359,750,1163,826,578,904,438,583,738,125,6102,383,584,540,374,626,267,452,625,85,3924,85,159,112,81,148,74,105,154,15,935,11,14,11,9,12,8,4,14,3,82,3,3,0,0,0,0,0,0,0,12,3221,7005,4333,3224,4201,3272,2337,3829,615,32039
SED22105,38,27,227,232,73,754,65,415,45,1876,201,320,829,596,448,734,289,581,82,4083,1310,2258,2434,1610,1917,1153,1172,1275,222,13343,1416,2189,1870,1353,1780,824,1334,1273,201,12244,851,940,1215,929,1300,566,1184,958,152,8097,417,452,622,465,687,336,718,613,52,4357,65,75,97,79,129,56,110,118,16,746,14,4,3,6,11,9,7,17,0,70,0,0,0,0,0,0,5,3,3,12,4311,6267,7301,5275,6338,4423,4890,5252,767,44825
SED22201,22,24,175,270,64,604,21,265,17,1472,128,334,601,456,289,522,105,276,49,2761,678,1818,1277,681,888,529,226,417,99,6612,929,1638,943,545,937,430,251,420,96,6204,916,1253,875,693,1160,488,299,448,92,6218,621,951,529,448,870,392,297,346,53,4509,147,210,127,82,197,97,67,113,21,1069,8,20,8,4,11,6,3,20,10,96,0,4,0,0,0,0,0,0,0,22,3452,6264,4528,3182,4427,3071,1280,2306,437,28953
SED22305,20,19,98,114,28,415,41,196,25,956,114,229,568,371,257,531,290,557,90,2999,609,1312,1666,858,961,659,850,1227,199,8336,522,873,1377,694,698,377,874,1017,140,6571,378,523,869,530,545,281,750,918,98,4899,290,357,538,370,486,221,568,624,61,3513,58,84,118,54,114,56,88,123,25,733,4,7,9,6,7,4,3,17,10,60,0,0,3,0,0,0,0,3,4,8,1993,3406,5241,2998,3090,2547,3463,4684,657,28081
SED22404,17,22,299,268,40,347,22,318,21,1357,89,128,583,346,148,259,99,302,46,1992,421,641,1043,496,397,279,217,439,67,3994,828,906,998,590,613,324,320,531,92,5198,1072,1035,1061,722,810,428,492,730,130,6478,931,906,816,515,713,377,438,599,113,5405,423,291,177,116,192,116,114,148,36,1612,106,38,13,10,12,16,12,23,22,247,21,6,0,0,7,3,0,5,3,54,3901,3967,4994,3061,2934,2146,1723,3094,525,26341
SED22501,20,39,175,317,76,615,32,283,21,1581,105,366,515,528,337,555,79,203,20,2712,541,1602,901,492,648,354,98,193,79,4917,1314,2407,775,537,924,341,130,206,85,6711,1456,2087,815,636,1326,486,202,309,98,7412,1026,1650,673,521,1206,364,187,285,56,5976,203,421,162,97,252,112,65,106,22,1437,18,28,8,8,12,5,3,15,8,99,3,4,0,0,0,3,0,0,0,10,4685,8603,4036,3141,4790,2828,795,1592,387,30852
SED22607,9,36,66,273,93,549,21,170,16,1233,166,604,377,714,459,703,83,311,50,3470,1160,3713,895,941,1278,641,223,479,174,9509,1584,2936,604,500,1078,421,200,263,122,7711,1513,2203,572,528,1125,405,216,271,96,6927,810,1562,366,312,845,268,151,222,54,4591,146,302,98,66,151,72,50,79,27,985,11,26,5,3,16,8,14,21,5,102,0,4,0,0,3,0,0,0,3,16,5403,11398,2976,3352,5045,3061,956,1819,549,34553
SED22704,47,13,252,227,47,484,38,373,34,1516,135,134,477,371,131,297,127,415,28,2118,515,671,881,546,415,288,301,562,72,4245,778,792,843,551,573,283,381,610,63,4881,1083,930,923,733,889,434,614,819,105,6535,1144,864,702,572,715,334,599,763,79,5785,595,230,147,109,168,96,105,170,42,1655,200,20,12,12,15,13,3,20,21,316,39,0,6,3,4,3,6,3,4,72,4533,3654,4250,3134,2955,2232,2162,3740,455,27117
SED22802,25,17,339,269,79,665,30,395,24,1825,142,229,705,490,286,483,103,317,34,2796,589,1202,1519,621,812,487,246,422,92,5993,904,1110,1092,593,890,428,352,500,85,5950,1028,988,1087,719,1171,520,441,577,109,6639,640,720,705,478,829,371,358,450,57,4612,194,195,133,92,193,91,83,128,26,1140,28,21,16,7,13,7,3,11,4,117,3,0,0,0,0,0,0,0,0,7,3553,4478,5597,3267,4276,3064,1614,2797,440,29075
SED22901,17,40,117,218,54,565,14,264,24,1309,132,353,458,395,309,560,92,257,47,2601,608,1777,976,589,871,519,205,340,112,6009,853,1601,842,467,925,383,303,340,89,5804,919,1264,843,590,1044,456,401,476,104,6106,673,1051,605,474,1009,370,389,432,76,5077,138,251,147,80,214,94,84,139,20,1164,10,12,8,0,18,4,5,10,10,79,3,3,4,0,3,0,0,0,6,19,3358,6365,3999,2817,4446,2958,1492,2258,479,28169
SED23007,26,27,48,186,47,442,18,196,27,1014,188,530,432,782,468,861,229,636,86,4216,1237,3753,1547,1472,1769,1065,714,1317,300,13171,1280,2556,972,761,1139,509,609,769,205,8797,823,1188,695,597,803,413,681,757,121,6068,378,614,394,323,484,216,502,603,72,3595,54,107,49,59,77,54,75,106,18,602,11,14,6,0,6,0,3,17,9,62,0,5,3,0,0,0,4,4,0,16,3993,8797,4153,4179,4795,3562,2828,4406,837,37541
SED23101,14,52,70,240,68,506,18,240,20,1233,107,401,302,386,272,570,62,280,31,2408,579,1871,539,435,718,475,107,275,79,5086,1100,2298,618,396,883,390,150,245,92,6173,1027,1769,680,538,997,428,235,353,88,6118,641,1173,459,363,694,267,182,328,58,4167,141,325,110,121,212,118,67,114,22,1236,22,35,19,9,14,10,10,16,12,147,3,0,0,0,0,0,0,0,0,7,3629,7926,2796,2493,3851,2765,828,1864,411,26563
SED23205,15,18,139,207,60,562,20,283,26,1327,157,229,529,449,212,514,111,302,36,2550,506,1254,1184,701,635,593,319,504,97,5795,795,1262,937,611,712,417,342,444,94,5614,797,1128,792,707,840,450,440,545,93,5785,530,850,626,515,706,380,344,436,64,4460,117,247,126,92,181,88,95,111,25,1077,18,22,8,5,9,6,3,15,0,91,0,0,6,0,3,3,0,0,3,16,2927,5021,4343,3292,3351,3020,1670,2651,445,26724
SED23308,17,19,157,286,59,572,34,338,22,1500,146,368,534,699,287,580,121,415,32,3179,625,2141,1170,838,709,530,302,526,91,6936,841,1807,836,593,790,389,250,430,105,6038,915,1453,761,757,891,414,403,547,91,6230,598,1116,527,560,672,330,336,453,54,4645,135,246,90,91,143,85,69,98,17,963,18,26,4,3,17,11,12,15,12,120,9,5,0,0,0,0,0,0,5,23,3304,7187,4070,3826,3559,2913,1511,2819,428,29625
SED23402,29,27,295,326,103,688,40,446,28,1971,164,301,766,557,402,624,165,374,39,3396,689,1399,1551,724,945,638,435,588,95,7060,1135,1580,1191,632,1197,540,463,520,97,7363,1340,1388,1209,683,1361,614,521,550,119,7773,773,936,734,438,879,371,393,397,53,4975,171,198,127,73,177,97,87,131,23,1070,38,18,6,3,17,5,3,12,12,111,7,5,3,0,6,0,0,6,3,23,4338,5843,5885,3440,5090,3575,2097,3020,468,33748
SED23502,29,16,170,202,35,476,23,306,33,1284,102,127,433,287,117,227,103,277,19,1692,422,617,782,488,332,281,242,496,48,3718,603,705,699,538,481,319,288,506,59,4199,824,823,749,702,731,367,423,701,83,5389,950,824,616,568,636,368,402,671,92,5119,508,198,126,105,160,99,121,172,38,1520,155,24,16,7,11,10,4,16,24,265,22,3,3,0,0,0,3,3,0,32,3608,3338,3586,2888,2510,2149,1605,3148,403,23221
SED23602,38,23,202,173,42,494,24,298,20,1308,143,136,424,262,116,237,66,249,29,1671,558,785,783,426,340,252,235,490,61,3934,855,817,729,414,488,319,309,474,62,4464,1046,828,771,626,673,376,424,704,83,5532,1012,778,569,526,579,338,388,632,73,4911,582,166,126,90,139,81,91,170,34,1476,157,19,12,3,12,3,6,26,22,258,24,4,0,0,0,0,3,3,8,49,4420,3554,3616,2513,2399,2102,1563,3046,391,23604
SED23702,73,31,471,405,61,820,37,423,38,2358,195,257,1015,690,314,604,136,446,58,3717,608,1092,1725,835,821,582,303,575,102,6646,941,1012,1386,645,983,487,408,633,112,6612,1124,1037,1379,868,1362,598,660,773,113,7922,726,753,930,577,918,434,547,601,84,5577,165,173,166,100,200,84,117,158,28,1197,27,8,8,3,9,7,9,18,8,94,3,0,3,0,0,0,0,0,3,12,3862,4365,7087,4129,4677,3620,2213,3639,551,34140
SED23806,21,57,36,420,89,392,17,145,11,1190,179,858,240,798,494,815,67,277,45,3767,1205,4262,728,756,1151,692,100,327,122,9348,1622,3169,322,283,775,338,49,125,114,6802,1728,2775,278,297,801,373,54,108,86,6507,976,2037,168,214,605,240,45,88,66,4442,320,716,74,78,267,95,33,47,30,1670,40,81,9,12,16,14,0,12,17,196,3,17,0,0,0,7,0,0,4,29,6112,13964,1853,2855,4203,2972,370,1126,494,33955
SED23901,23,39,90,237,66,498,17,199,18,1200,125,437,363,494,335,517,80,233,36,2613,758,2704,851,632,840,441,162,295,82,6765,1280,2849,664,515,868,351,156,241,117,7032,1234,2244,611,553,1071,356,212,309,101,6689,729,1656,440,339,783,271,187,279,56,4739,166,459,95,97,221,83,59,80,27,1271,16,59,15,3,24,18,4,20,16,174,5,0,5,0,0,0,0,0,3,15,4328,10453,3138,2869,4203,2529,879,1652,449,30489
SED24006,18,68,36,366,105,555,10,180,19,1366,140,707,230,591,450,687,62,199,58,3120,719,2278,477,443,643,467,72,163,91,5342,1356,2388,289,258,625,332,58,119,93,5534,1974,2938,421,397,958,464,94,161,136,7536,1075,2147,266,239,705,283,79,133,84,5018,306,771,68,75,255,84,23,53,35,1677,69,117,15,4,31,9,3,11,18,274,13,12,0,0,3,0,0,3,6,40,5675,11429,1802,2385,3765,2886,402,1023,542,29903
SED24105,17,33,88,157,52,563,25,268,20,1224,114,358,409,429,387,732,177,472,73,3137,711,1657,1055,749,988,642,644,910,163,7518,862,1384,951,615,948,487,655,859,147,6904,783,813,886,566,841,410,892,1071,129,6387,452,495,573,383,620,257,629,750,78,4231,101,128,115,67,177,77,98,140,25,928,9,14,6,3,14,7,3,17,6,82,0,0,4,0,0,0,0,0,0,7,3044,4886,4077,2958,4025,3167,3124,4487,640,30412
SED24207,28,26,131,192,70,650,40,296,27,1458,135,355,436,483,374,669,274,390,80,3201,783,1782,1223,882,1437,712,944,767,239,8774,1209,1958,1278,893,1552,673,1118,1061,246,9989,713,938,923,754,1008,436,1072,1092,139,7085,324,368,525,419,530,236,736,807,68,4012,39,72,75,48,98,34,102,129,16,615,3,9,8,3,6,5,3,11,0,49,0,0,3,0,0,0,3,0,3,13,3235,5513,4605,3675,5077,3415,4285,4558,826,35195
SED24308,21,26,186,166,58,628,38,332,37,1496,119,209,547,513,233,490,167,427,56,2763,437,1058,1125,690,679,538,461,644,120,5750,626,978,857,663,703,461,560,726,114,5680,610,796,785,808,758,379,680,827,115,5746,374,554,529,495,531,273,496,644,76,3979,89,103,80,89,111,46,88,152,24,783,12,3,7,0,5,0,3,24,13,65,3,0,3,0,0,0,0,3,9,15,2281,3729,4119,3425,3079,2823,2495,3777,557,26280
SED24408,45,21,206,187,46,437,18,395,19,1372,143,223,445,289,143,234,80,333,23,1909,606,927,739,409,368,307,216,481,50,4099,1027,803,528,451,520,351,287,408,62,4446,1390,869,638,657,729,422,404,590,59,5763,1443,808,528,587,586,357,368,647,78,5399,776,158,114,112,150,81,94,179,38,1701,258,15,17,3,16,8,16,45,18,395,28,3,4,0,9,3,0,6,9,64,5720,3829,3218,2698,2554,2206,1480,3082,357,25145
SED24504,14,7,192,240,44,407,27,325,18,1278,79,129,499,355,168,269,86,255,25,1865,357,787,825,427,426,216,159,364,52,3609,1028,1654,902,563,762,313,268,377,87,5951,1273,1623,943,844,1043,446,380,498,106,7157,856,1297,704,530,742,321,295,439,69,5262,367,347,155,106,197,94,106,136,32,1536,85,24,6,16,6,7,4,16,7,178,18,0,7,4,0,3,0,3,6,37,4071,5873,4233,3070,3394,2080,1327,2417,403,26875
SED24606,13,40,22,304,74,270,11,128,13,871,141,643,210,618,417,571,50,208,55,2910,954,3252,587,569,894,642,85,260,112,7358,1508,2560,315,274,654,362,56,108,85,5925,1625,2343,270,269,815,422,42,111,103,6000,970,1719,187,193,590,287,59,120,69,4198,367,771,67,61,281,147,30,55,54,1827,68,123,9,12,38,30,4,7,21,305,17,19,0,0,11,4,0,3,11,57,5667,11464,1682,2294,3755,2730,331,1005,530,29451
SED24703,18,139,61,446,107,447,16,225,27,1493,351,1799,633,2088,939,1341,131,815,122,8206,2525,11103,1993,2541,2540,1594,267,1336,380,24270,1865,4235,657,588,1048,401,143,303,148,9380,1290,2142,299,343,695,287,112,221,106,5500,779,1445,190,202,468,165,99,125,68,3542,266,598,46,47,149,48,16,44,32,1237,37,88,4,0,15,5,3,11,6,169,7,17,0,0,3,5,0,3,5,38,7141,21554,3884,6260,5957,4292,786,3077,885,53839
SED24808,27,16,341,217,77,707,63,387,32,1872,170,216,755,492,393,504,235,409,67,3237,727,1287,1562,1002,1209,667,898,715,159,8222,885,1220,1163,890,1242,553,1030,680,160,7817,717,774,894,846,1127,538,973,709,122,6688,480,552,562,580,856,350,672,510,77,4643,95,113,85,94,131,75,124,101,32,837,7,6,6,7,9,3,7,8,6,47,3,0,0,0,0,0,0,0,0,10,3104,4186,5360,4126,5038,3390,4002,3521,650,33372
SED24904,37,26,214,160,43,680,24,346,35,1567,146,237,427,357,176,363,105,402,33,2244,568,981,895,546,497,416,327,720,89,5038,907,948,612,538,573,405,340,549,110,4983,1184,927,611,632,752,473,501,722,89,5900,1068,725,506,504,608,348,485,698,85,5025,439,141,103,108,138,66,96,163,34,1293,94,12,9,13,8,3,4,19,19,180,26,0,3,0,4,3,0,3,7,45,4459,4007,3388,2862,2805,2757,1886,3618,503,26279
