SED_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SED21203,19376,20041,39424,1857,1761,3623,231,229,463,5016,4850,9868,109,105,214,79,81,153,49,60,106,23,23,55,18,7,30,17,16,27,0,0,0,5546,5372,10919,3719,3093,6806,137,98,236,11262,10324,21588,2975,2788,5766,33607,33160,66768
SED21303,14453,15849,30298,1173,1222,2397,813,915,1728,8124,8672,16793,624,704,1331,246,256,499,379,381,755,143,160,298,54,58,112,229,250,475,0,0,0,10611,11391,21999,3625,4024,7655,288,268,559,15699,16907,32606,2186,2404,4590,32339,35155,67493
SED21401,17526,18975,36501,1023,1048,2077,161,190,349,5515,5892,11410,157,168,323,74,88,161,80,89,175,23,27,48,10,10,24,36,33,66,0,0,0,6048,6493,12543,2198,2425,4619,109,123,233,9383,10090,19475,1295,1477,2777,28205,30547,58751
SED21503,16486,17443,33931,764,765,1535,251,263,508,5859,6089,11949,156,177,335,83,84,171,67,66,132,66,85,148,23,29,54,37,42,79,0,0,0,6539,6831,13375,2998,2926,5928,128,85,210,10434,10608,21041,1528,1652,3174,28445,29707,58149
SED21608,15388,15516,30903,1867,2041,3911,196,204,403,6549,7175,13723,179,205,382,106,118,221,108,117,223,58,53,113,42,47,88,20,21,38,0,0,0,7253,7937,15196,454,477,935,148,118,265,9727,10578,20306,2105,2239,4340,27214,28339,55548
SED21706,15944,17899,33843,1042,1132,2173,288,311,606,6766,7279,14046,242,256,499,115,113,226,127,122,256,54,67,117,24,32,58,57,46,107,3,0,3,7686,8227,15910,3732,3927,7661,140,134,275,12599,13424,26022,1576,1725,3303,30123,33047,63161
SED21805,16811,17294,34104,1799,1939,3730,214,238,450,8141,8755,16897,221,237,461,40,40,83,67,85,152,31,35,66,22,10,31,25,28,58,0,0,0,8766,9429,18187,952,1176,2129,171,159,328,11685,12696,24383,2170,2290,4463,30661,32285,62949
SED21906,14554,15906,30460,1629,1620,3255,433,475,905,6980,7252,14236,261,303,570,108,106,216,155,186,345,61,60,127,18,29,46,59,60,124,0,0,0,8079,8479,16561,3410,3758,7168,190,145,328,13310,14000,27312,1896,1935,3837,29769,31839,61607
SED22005,18254,19070,37328,1645,1589,3237,249,213,455,6394,5970,12361,184,174,353,91,76,168,96,93,185,56,43,96,15,19,33,35,32,67,0,0,0,7113,6606,13724,5498,5368,10870,204,144,348,14465,13711,28176,1985,1962,3952,34710,34746,69451
SED22105,18728,18888,37614,1626,1716,3343,300,325,627,16047,16334,32382,307,281,589,124,122,244,123,122,239,43,49,90,43,45,95,25,22,53,0,0,0,17010,17307,34323,2867,3385,6252,245,178,424,21754,22586,44346,2612,2649,5266,43096,44125,87223
SED22201,15080,16555,31631,888,924,1812,156,164,316,7260,8169,15422,148,157,306,53,60,110,57,58,112,22,28,49,17,20,32,29,22,49,0,0,0,7731,8670,16404,1020,1145,2165,123,159,285,9764,10894,20661,1298,1530,2829,26144,28980,55122
SED22305,17713,17819,35530,2329,2022,4351,199,169,376,6366,5645,12018,182,130,310,135,76,209,76,56,134,22,33,56,29,14,44,16,6,25,16,0,18,7052,6138,13192,5841,4374,10212,253,137,389,15483,12672,28149,3048,2735,5781,36235,33219,69453
SED22404,16629,16380,33012,2786,3004,5793,185,217,405,4686,4884,9568,221,191,407,69,70,136,93,88,175,30,40,66,32,41,67,13,21,33,0,0,0,5325,5540,10871,320,359,684,94,102,195,8526,9016,17538,2305,2224,4525,27456,27618,55081
SED22501,18400,19307,37708,1137,1188,2325,134,148,286,5176,5631,10804,138,154,294,58,71,124,63,78,143,27,26,57,25,26,51,27,33,62,0,0,0,5650,6166,11816,704,789,1491,69,75,147,7561,8214,15774,983,1079,2060,26937,28602,55539
SED22607,15862,17161,33020,1423,1564,2983,406,426,835,7083,7439,14523,333,401,739,145,148,287,142,187,330,74,98,174,41,46,84,77,93,167,0,0,0,8300,8841,17145,2506,2737,5241,175,170,337,12405,13308,25713,2149,2302,4451,30411,32767,63181
SED22704,17863,17582,35445,2802,3071,5873,432,426,857,4828,5198,10027,474,379,852,92,96,189,125,138,260,58,69,129,129,99,227,34,30,58,0,0,0,6173,6431,12605,430,417,850,131,105,233,9539,10025,19560,3032,2813,5845,30434,30418,60853
SED22802,16784,17107,33894,1108,1156,2266,120,132,255,6264,6693,12959,152,161,315,36,31,63,59,58,118,13,21,40,17,20,38,3,3,9,0,0,0,6663,7131,13791,468,539,1007,84,84,166,8320,8905,17230,1258,1327,2588,26367,27345,53708
SED22901,16623,17637,34253,802,845,1652,141,142,281,5968,6292,12263,103,111,218,67,75,145,60,59,122,21,37,58,13,10,25,6,16,23,0,0,0,6383,6742,13128,1254,1478,2730,110,121,233,8556,9184,17736,1035,1186,2224,26212,28001,54213
SED23007,17862,18544,36402,1779,1676,3450,468,433,902,8651,8012,16662,383,361,744,164,166,331,194,176,372,86,98,179,42,46,89,97,89,183,5,6,9,10084,9387,19473,5378,4750,10122,291,220,509,17526,16025,33552,3237,2942,6185,38632,37510,76143
SED23101,17145,18568,35716,736,790,1531,151,168,322,5310,5612,10919,114,141,257,63,68,138,74,77,152,37,33,69,18,9,29,15,27,47,0,0,0,5780,6147,11923,2423,2593,5009,101,84,185,9041,9607,18646,1010,1160,2172,27201,29340,56533
SED23205,14929,15859,30781,1618,1813,3431,194,212,409,7139,7677,14813,191,215,405,44,53,94,79,77,156,39,68,101,29,31,63,14,19,32,0,0,0,7722,8350,16075,908,1042,1949,217,202,416,10465,11403,21866,2275,2477,4750,27668,29742,57402
SED23308,15192,16848,32034,1861,2003,3861,279,318,595,6869,7767,14635,227,261,488,106,114,221,114,119,227,54,72,127,38,52,93,54,58,109,0,0,0,7741,8756,16496,1126,1143,2267,189,149,337,10911,12048,22958,1985,2171,4149,28083,31062,59147
SED23402,16318,16521,32839,1772,1931,3711,215,207,428,9371,10199,19567,221,237,456,55,60,117,84,82,167,36,43,83,20,34,49,21,33,53,0,0,0,10033,10893,20926,883,977,1861,155,128,281,12842,13925,26768,1800,1849,3648,30963,32298,63260
SED23502,16150,16166,32318,3338,3681,7021,343,373,713,3958,4345,8304,355,373,728,65,64,132,165,155,315,47,54,104,55,59,106,42,42,76,4,0,4,5021,5464,10488,288,355,646,126,109,234,8780,9610,18387,2654,2783,5442,27583,28565,56147
SED23602,15113,15330,30450,3115,3479,6596,275,276,547,4064,4338,8404,267,259,524,76,70,150,130,130,256,40,41,81,65,57,127,33,35,67,0,0,0,4946,5212,10160,357,407,769,97,115,210,8521,9216,17731,3175,2428,5602,26809,26977,53784
SED23702,18576,19044,37622,2868,3168,6033,442,311,753,6306,6965,13274,399,305,708,78,46,127,150,107,254,47,51,98,55,49,106,41,38,77,0,0,0,7527,7862,15392,389,420,805,161,155,318,10945,11602,22543,1954,2007,3960,31474,32649,64124
SED23806,13929,15496,29431,1382,1427,2812,481,537,1017,7791,8425,16219,316,363,675,153,176,330,188,195,381,82,84,173,37,44,80,72,87,165,0,0,0,9128,9910,19035,3496,3716,7208,177,138,313,14182,15191,29366,1602,1787,3389,29714,32472,62185
SED23901,16632,18057,34686,1434,1482,2917,314,277,594,6347,6731,13078,303,232,530,78,93,171,93,117,206,35,42,76,43,38,81,72,49,122,0,0,0,7284,7578,14865,1742,1827,3568,160,167,331,10622,11055,21679,1782,1984,3766,29036,31098,60126
SED24006,16400,17801,34199,1509,1590,3105,311,326,640,6344,6651,12994,203,245,444,88,101,196,114,121,237,55,40,97,9,14,28,45,47,93,0,0,0,7171,7558,14731,2242,2818,5064,104,102,204,11034,12060,23099,1554,1637,3189,28990,31499,60485
SED24105,18817,19435,38257,1686,1607,3296,148,118,272,6835,6695,13531,116,121,238,51,39,92,73,55,129,30,27,55,13,12,22,17,19,32,0,0,0,7282,7087,14374,2940,3202,6140,178,146,327,12093,12044,24138,1591,1561,3158,32503,33041,65545
SED24207,22370,22899,45270,1750,1781,3533,267,285,544,7550,7532,15075,159,173,329,119,90,205,69,72,141,54,63,113,33,38,72,26,35,63,3,4,11,8276,8280,16557,2462,2717,5183,126,119,244,12617,12902,25519,3216,2843,6054,38199,38638,76841
SED24308,16788,17425,34213,2940,3357,6300,168,208,374,5412,5906,11317,182,197,382,69,67,135,83,87,170,50,45,95,31,28,59,16,19,37,0,0,0,6006,6561,12571,1056,1109,2167,176,170,343,10178,11196,21378,3266,2473,5736,30236,31095,61324
SED24408,16760,16811,33568,3206,3542,6749,173,197,373,3011,3304,6313,201,230,434,330,365,690,106,103,212,38,43,86,64,51,117,10,5,19,0,0,0,3934,4308,8244,294,354,649,102,107,209,7539,8308,15845,1978,2075,4056,26269,27197,53465
SED24504,16132,16392,32525,2263,2442,4712,245,284,532,5070,5449,10520,202,193,396,58,80,136,89,86,181,28,36,62,34,37,66,20,18,43,0,0,0,5748,6186,11931,363,416,780,100,110,210,8478,9155,17634,1977,2159,4134,26591,27707,54297
SED24606,13357,14962,28323,1357,1549,2905,347,442,787,6565,6933,13500,245,300,546,101,139,240,120,168,290,64,73,133,18,16,34,50,64,113,0,0,0,7509,8129,15637,2554,3108,5661,130,107,238,11544,12899,24445,1502,1768,3275,26408,29634,56040
SED24703,11595,11924,23518,2127,2204,4336,1150,1337,2483,10886,11124,22012,879,957,1836,396,469,865,632,683,1312,234,284,519,116,130,246,351,360,709,3,4,4,14632,15341,29972,18537,21472,40002,402,389,790,35695,39405,75099,6581,6146,12730,53873,57485,111352
SED24808,18442,18792,37230,2734,3103,5842,358,378,741,8994,9636,18633,271,267,538,136,150,284,133,138,273,86,89,172,36,38,76,36,29,64,0,0,0,10040,10733,20773,1064,1296,2364,192,202,395,14041,15336,29375,2638,2746,5383,35114,36872,71989
SED24904,16349,16550,32897,2545,2794,5338,736,811,1552,4547,4898,9447,263,295,560,483,519,1003,140,137,277,36,26,63,97,97,190,13,17,24,0,0,0,6309,6810,13119,828,746,1567,206,190,393,9886,10532,20420,3123,3002,6125,29361,30079,59442
SED25003,19068,19619,38683,748,827,1576,227,228,457,7328,7551,14875,182,192,374,95,85,174,78,73,152,38,28,66,23,20,49,28,28,48,0,0,0,8000,8204,16199,1833,1998,3828,136,140,268,10715,11163,21882,1490,1651,3139,31270,32431,63702
SED25102,17631,17561,35185,1039,1064,2101,143,152,291,5533,5831,11368,120,124,243,42,43,79,62,83,149,35,36,65,16,20,32,19,27,43,3,3,3,5968,6309,12276,500,551,1050,140,141,276,7647,8057,15705,1354,1382,2735,26627,27002,53625
SED25205,17082,18366,35449,1430,1500,2927,197,197,394,6356,6975,13337,167,198,364,54,50,100,70,71,145,40,48,87,18,29,44,23,21,46,0,0,0,6931,7581,14509,1249,1380,2632,127,119,243,9737,10572,20308,1537,1729,3273,28358,30674,59029
SED25302,15982,17340,33319,2211,2503,4720,192,230,420,6459,7242,13696,196,210,407,42,42,88,75,95,168,29,41,67,26,29,58,19,26,43,0,0,0,7038,7916,14955,871,956,1823,116,128,251,10237,11514,21744,1471,1748,3222,27691,30599,58287
SED25402,17595,17950,35540,3896,4376,8274,169,175,349,4058,4584,8641,251,269,517,65,73,136,114,105,220,44,45,86,25,24,50,13,5,15,0,0,0,4728,5283,10018,424,472,892,145,131,276,9194,10269,19458,2654,2843,5499,29439,31065,60503
SED25501,16144,17339,33488,1161,1198,2354,202,202,399,5729,5610,11336,149,138,282,90,106,198,83,98,182,37,41,75,22,18,39,48,28,75,0,0,0,6361,6235,12600,3934,4251,8182,110,98,205,11566,11777,23340,1187,1316,2500,28901,30431,59334
SED25605,17520,18042,35563,1190,1266,2452,155,150,300,5457,5271,10726,139,118,253,62,59,121,47,36,78,30,22,51,15,18,35,20,27,43,0,0,0,5922,5687,11616,2792,2826,5619,141,137,279,10046,9919,19959,1605,1686,3288,29170,29641,58812
SED25704,17434,17503,34938,3501,3707,7203,630,663,1290,3533,3921,7449,272,277,557,83,90,168,112,129,243,35,36,70,58,56,109,9,10,19,0,0,0,4728,5177,9907,424,406,831,136,112,249,8788,9401,18188,2859,2927,5792,29084,29832,58920
SED25802,17308,17831,35137,3437,3686,7123,198,232,429,6175,6859,13033,225,242,475,41,60,101,104,107,214,47,55,100,44,34,75,7,11,19,0,0,0,6850,7600,14449,286,361,648,142,127,270,10719,11767,22489,2495,2596,5086,30521,32197,62715
SED25905,19329,19672,39001,982,1013,1998,136,139,271,6691,6676,13365,116,129,241,58,60,120,60,40,95,20,18,31,14,7,21,15,9,25,3,0,3,7104,7077,14181,1657,1802,3463,168,150,322,9913,10046,19959,1503,1541,3045,30751,31258,62006
SED26005,22505,22449,44948,1792,1754,3548,278,253,533,8296,8249,16552,205,197,405,71,80,155,123,111,234,33,32,72,19,19,41,22,21,44,3,0,3,9060,8975,18037,2530,2842,5366,195,187,379,13581,13757,27333,1953,1899,3850,38032,38103,76130
SED26102,14573,15292,29865,2665,2935,5607,232,254,490,6586,7161,13745,222,239,464,39,54,88,89,99,189,34,41,80,42,38,87,15,28,43,0,0,0,7269,7912,15182,354,437,789,140,159,300,10427,11446,21872,2183,2466,4653,27187,29207,56394
SED26207,17333,18723,36059,1401,1472,2877,138,147,283,5422,5637,11055,135,153,286,60,44,105,73,55,127,24,18,41,36,23,61,20,24,46,0,0,0,5902,6108,12012,978,972,1953,109,92,198,8393,8645,17044,1527,1673,3196,27254,29047,56298
SED26303,14959,16536,31501,1116,1161,2272,474,635,1109,7210,8003,15212,357,450,805,129,182,314,161,201,364,70,97,174,33,45,79,107,116,220,3,0,3,8551,9728,18276,2019,2311,4325,214,250,468,11894,13457,25352,2064,2198,4258,28917,32193,61113
SED26406,14828,15983,30813,1183,1096,2279,317,332,652,7795,7635,15426,239,275,516,128,140,274,163,132,291,96,115,211,31,38,69,68,75,147,0,0,0,8832,8753,17579,6279,6727,13006,194,169,368,16486,16742,33234,1851,1874,3729,33166,34607,67772
SED26504,15462,15865,31326,3052,3302,6358,634,735,1370,3629,3921,7555,287,293,581,84,89,167,113,119,235,51,40,93,52,55,110,28,26,51,0,0,0,4878,5279,10160,342,408,757,119,141,253,8389,9138,17525,2465,2640,5103,26318,27635,53953
SED26603,17544,19109,36646,1655,1598,3248,383,395,778,7620,7755,15383,283,274,557,131,148,276,156,157,313,64,69,132,30,32,60,60,79,133,0,0,0,8725,8917,17647,3457,3100,6555,232,253,489,14073,13867,27937,2337,2447,4780,33947,35421,69367
SED26708,17397,17065,34455,2951,2970,5928,168,172,335,4558,4710,9264,171,184,349,90,82,175,91,89,176,51,48,103,49,48,92,3,7,10,0,0,0,5170,5336,10511,384,359,742,108,86,194,8615,8757,17366,2365,2369,4730,28369,28183,56560
SED26806,10319,11263,21588,1498,1464,2966,1049,1114,2167,9545,10175,19718,850,962,1809,294,371,669,464,533,994,179,178,354,48,49,92,186,194,381,0,0,0,12609,13577,26187,5431,6228,11654,310,288,594,19845,21552,41395,3776,3855,7635,33945,36677,70615
SED26903,16069,17523,33590,1324,1283,2608,294,309,599,6701,6690,13386,240,244,488,101,108,202,123,98,223,40,61,102,43,49,87,41,55,95,0,0,3,7580,7608,15190,3304,3167,6464,205,210,417,12416,12265,24686,2599,2708,5312,31085,32497,63585
SED27003,12065,13035,25097,1783,1881,3662,865,985,1847,9521,9617,19139,667,764,1433,280,306,583,460,467,929,144,170,315,55,37,92,231,209,435,0,0,0,12221,12556,24776,3790,4275,8068,285,261,548,18085,18966,37051,3486,3532,7016,33633,35536,69166
SED27101,15933,17098,33031,951,1049,1998,190,185,373,6998,7086,14084,167,154,323,75,87,163,69,69,135,44,42,88,27,23,46,26,26,54,0,0,0,7594,7670,15260,2154,2417,4576,162,125,284,10862,11259,22120,1244,1416,2658,28038,29769,57809
SED27208,17790,17589,35383,2778,3027,5804,225,216,441,4703,4894,9600,228,230,460,140,133,272,122,121,248,45,50,94,43,43,87,15,20,38,0,0,0,5521,5709,11233,302,361,660,108,97,206,8709,9188,17894,3551,2530,6084,30051,29314,59366
SED27305,17961,18292,36248,655,685,1343,97,102,196,4868,5138,10006,98,107,199,56,66,118,56,44,98,18,15,41,8,4,13,16,17,25,0,0,0,5210,5494,10703,899,997,1898,77,58,133,6838,7231,14072,963,937,1898,25767,26460,52226
SED27406,14697,16319,31015,1387,1516,2904,311,328,642,6408,7016,13425,195,217,415,68,72,141,115,105,222,39,55,95,14,6,24,49,39,90,0,0,0,7206,7842,15047,1519,1678,3200,96,83,174,10206,11114,21318,1486,1671,3163,26387,29106,55497
SED27504,18167,18381,36551,3692,3854,7553,353,411,764,4877,5225,10101,292,330,624,81,100,179,113,96,210,64,75,135,41,36,71,19,13,34,0,0,0,5841,6278,12118,1134,1156,2292,156,149,303,10822,11447,22267,2884,2938,5819,31879,32758,64640
SED27608,15638,16620,32263,2980,3159,6134,304,370,673,8625,9275,17900,282,280,559,106,112,216,142,135,275,72,97,171,58,70,127,40,40,82,0,0,0,9622,10386,20012,1264,1081,2347,143,129,266,14001,14752,28757,1709,1883,3593,31359,33255,64614
SED27708,16714,17223,33941,3368,3628,7000,204,200,408,4667,5283,9951,202,197,400,233,278,515,126,149,280,64,71,139,65,73,141,14,18,35,0,0,0,5584,6282,11863,548,521,1072,133,131,262,9634,10566,20201,2460,2558,5015,28804,30343,59148
SED27807,19938,20715,40653,1539,1508,3053,194,190,387,5924,5556,11485,146,133,281,82,57,138,59,52,107,34,32,68,26,18,47,17,18,38,0,0,0,6491,6066,12553,4382,3675,8056,232,189,417,12641,11434,24077,2932,2660,5590,35508,34819,70328
SED27907,17121,17845,34966,2154,2354,4505,147,151,296,5168,5538,10705,170,179,355,59,64,119,77,97,171,22,29,51,29,31,56,10,10,25,0,0,0,5691,6098,11783,794,816,1613,140,112,247,8774,9381,18152,1746,1795,3545,27640,29018,56658
SED28007,22168,22629,44800,1276,1273,2550,228,230,456,7055,7460,14515,113,125,239,84,80,158,51,49,105,14,26,38,27,28,52,24,21,41,0,0,0,7593,8007,15605,1688,1873,3563,126,99,224,10681,11265,21941,1751,1838,3585,34600,35725,70326
SED28107,19774,19922,39698,1907,1931,3837,623,606,1225,12169,11493,23662,314,331,650,196,178,370,169,150,322,97,87,187,60,53,111,70,56,123,3,0,3,13694,12952,26646,4636,5311,9952,207,188,399,20440,20386,40830,3514,2415,5934,43728,42725,86459
SED28203,17104,17598,34701,1222,1154,2377,236,217,447,7620,7405,15027,122,147,265,86,73,161,57,52,108,23,18,39,18,8,32,17,20,39,0,0,0,8176,7940,16116,2814,2954,5772,103,86,192,12323,12136,24455,2031,2058,4086,31453,31786,63243
SED28301,18162,19001,37164,831,839,1667,139,129,269,5411,5826,11234,105,143,253,54,61,113,58,53,108,21,19,44,5,18,25,23,29,51,0,0,0,5817,6285,12099,1895,2003,3897,80,81,168,8616,9207,17823,1133,1250,2381,27910,29468,57373
SED28408,13171,14562,27736,1897,2152,4055,274,270,545,7108,7922,15032,227,253,483,122,137,262,126,131,255,57,72,131,36,42,81,21,22,43,0,0,0,7976,8863,16835,543,612,1155,181,142,317,10599,11769,22362,1741,1979,3725,25509,28312,53819
SED28507,17273,17692,34963,1820,1981,3799,326,332,654,7413,7622,15036,233,236,470,94,83,172,96,113,208,56,73,129,41,39,85,31,26,58,0,0,0,8294,8522,16818,2187,2501,4681,173,139,310,12464,13144,25612,2126,2220,4343,31862,33053,64911
SED28607,17500,18586,36084,2018,2194,4213,440,483,921,7158,7327,14487,327,360,684,128,139,262,200,175,373,65,61,129,26,40,72,74,79,155,0,0,0,8415,8657,17079,1903,1934,3838,208,220,421,12543,13004,25548,2010,2110,4122,32049,33699,65749
SED28704,17872,17829,35703,2141,2342,4488,260,311,569,11599,12311,23907,315,350,666,86,97,183,101,109,209,35,52,90,54,47,105,33,42,75,3,0,5,12489,13325,25809,1073,1193,2259,141,105,252,15841,16967,32811,2011,2129,4140,35725,36930,72656
