SED_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
SED21106,10727,6626,7174,8325,9545,7250,5094,2798,1831,59371,0,4,4,0,3,3,3,7,3,29,9,7,23,10,11,20,12,5,0,112,133,175,200,158,142,170,134,102,81,1290,11,10,12,11,14,4,10,5,0,73,0,3,8,4,8,9,5,0,0,35,3,9,0,7,9,9,9,0,3,47,0,0,0,0,6,6,3,0,0,19,0,0,3,0,0,0,0,0,0,9,0,0,5,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,154,202,242,197,199,222,179,118,91,1599,160,208,246,193,198,224,184,122,89,1623,10882,6833,7425,8522,9745,7476,5277,2918,1923,60995
SED21203,15630,10420,11284,8873,8835,6353,4489,3282,1187,70355,29,18,38,21,14,11,10,9,0,139,7,12,13,9,14,11,3,5,0,71,264,231,362,216,187,156,106,82,45,1648,3,8,10,8,13,9,3,0,0,40,3,0,4,3,3,3,0,0,0,20,0,0,5,0,3,8,0,0,0,13,0,0,7,0,3,0,0,0,0,13,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,278,257,393,237,216,183,114,90,45,1817,309,273,426,253,229,196,121,98,47,1956,15945,10698,11713,9131,9066,6547,4610,3375,1234,72308
SED21303,8783,9055,17883,11055,7645,5590,3680,2863,1394,67953,10,4,6,8,0,5,4,3,3,41,11,23,25,18,8,22,14,0,3,125,129,316,408,201,190,159,121,108,77,1709,3,12,12,9,7,15,9,4,0,72,0,9,12,6,3,3,7,0,0,48,0,7,12,0,6,12,13,3,0,48,0,3,3,0,3,6,3,0,0,20,0,3,3,3,0,0,0,0,0,9,0,3,0,0,3,0,7,0,0,20,0,0,0,0,0,0,0,0,0,0,142,375,482,236,231,223,176,117,77,2053,144,376,482,244,233,226,183,124,78,2090,8930,9431,18364,11302,7873,5821,3864,2983,1475,70045
SED21401,9110,7182,7113,7126,8257,7120,6454,5069,2056,59486,3,7,4,5,0,9,6,8,3,45,0,3,7,8,8,4,6,3,5,44,146,152,234,134,117,121,102,77,56,1132,0,9,8,0,8,12,8,0,0,44,0,0,5,0,0,3,0,0,0,8,4,0,0,6,3,0,3,0,0,22,0,3,0,0,3,0,5,0,0,16,0,0,0,0,4,0,0,0,0,4,0,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,156,167,258,150,139,142,123,86,63,1281,154,178,263,152,139,153,127,94,68,1320,9271,7356,7374,7280,8395,7272,6577,5163,2127,60807
SED21503,10063,9547,9328,7993,7316,6209,4914,2937,1147,59445,12,36,14,4,9,4,3,3,3,84,7,51,6,12,5,6,11,0,0,97,119,478,238,165,158,120,108,116,71,1568,3,9,8,5,9,9,3,3,0,52,3,6,3,4,4,0,4,0,0,21,0,3,3,0,4,8,4,0,0,27,0,10,3,0,3,4,0,0,0,18,0,7,4,0,3,0,0,0,0,11,0,3,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,133,568,269,188,182,142,131,122,71,1796,141,607,282,191,191,146,137,124,72,1888,10206,10155,9610,8184,7502,6355,5045,3061,1221,61335
SED21608,11074,7641,6339,7112,7756,7226,5435,2446,971,55998,5,18,7,7,8,9,9,3,6,74,3,11,11,8,7,16,21,11,0,88,221,596,295,179,194,200,126,70,42,1922,3,0,6,5,4,13,11,3,0,45,0,8,6,3,8,8,4,0,0,38,3,0,0,0,11,10,4,0,0,31,4,0,0,0,7,5,3,0,0,19,0,0,0,0,4,3,0,0,0,11,0,0,0,0,4,3,3,0,0,8,0,0,0,0,0,0,0,0,0,0,234,624,324,199,229,258,161,84,45,2159,242,641,327,204,240,263,170,86,49,2228,11311,8280,6664,7318,7998,7493,5609,2537,1019,58227
SED21706,11371,10793,8857,8114,8813,6767,4612,2904,1913,64141,0,15,9,3,3,0,0,3,3,40,10,17,6,16,19,13,11,0,0,93,132,321,290,147,131,130,101,68,40,1354,0,18,3,8,10,10,8,0,0,54,0,5,7,0,0,11,5,6,0,26,0,0,4,0,4,3,5,0,0,21,0,14,0,3,0,0,6,0,0,32,0,13,0,0,0,0,0,0,0,17,0,0,7,0,0,0,0,3,0,17,0,0,0,0,0,0,0,0,0,0,145,389,317,172,160,173,138,79,40,1605,149,405,324,170,169,172,137,80,43,1646,11512,11196,9181,8291,8978,6941,4750,2982,1953,65789
SED21805,12503,7223,9077,9954,9194,7666,5298,2719,1221,64854,8,8,3,11,13,11,7,8,3,65,6,11,9,6,10,7,3,3,0,59,196,253,264,179,174,116,104,50,41,1371,0,3,3,3,7,8,16,0,0,52,4,5,3,3,0,5,4,0,0,22,0,3,3,3,0,4,5,0,0,21,0,0,3,0,0,3,0,0,0,17,0,3,0,0,0,0,0,0,0,4,8,0,0,3,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,215,278,279,201,197,143,131,61,44,1553,217,279,286,209,211,160,141,64,47,1618,12724,7509,9357,10162,9409,7821,5433,2787,1269,66470
SED21906,10969,7702,12151,8797,7469,6513,4866,2545,1818,62817,5,6,13,3,3,7,9,5,5,54,3,9,12,10,3,10,16,3,3,76,159,209,296,159,156,167,125,113,131,1517,3,10,12,3,3,3,4,0,0,39,0,9,7,0,0,0,6,0,0,19,0,3,4,3,6,6,3,3,0,28,0,3,4,0,4,3,0,0,0,11,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,3,4,0,0,8,0,0,0,0,0,0,0,0,0,0,161,233,332,181,171,196,165,120,138,1701,175,234,348,187,169,201,173,123,144,1757,11143,7940,12494,8982,7642,6712,5036,2671,1960,64573
SED22005,11696,10677,12721,9666,8379,7132,5580,3958,1990,71792,16,9,8,11,14,3,12,7,7,77,3,11,14,8,9,20,7,3,0,76,272,278,327,270,244,179,179,207,156,2124,0,4,10,4,3,4,4,0,0,36,0,0,4,3,0,0,0,0,0,9,4,0,5,9,0,0,3,0,0,29,0,4,8,3,4,3,3,0,0,22,0,0,0,0,0,3,0,0,0,7,3,6,0,0,0,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,287,301,371,300,265,219,206,218,162,2330,306,312,378,312,270,216,217,226,164,2404,11999,10989,13096,9975,8649,7346,5795,4179,2163,74203
SED22105,24209,11541,17391,15598,10616,7341,4485,2166,875,94225,14,11,15,8,5,7,3,3,3,71,4,9,3,10,8,24,9,4,0,70,278,341,328,200,158,120,92,54,40,1614,11,8,7,8,8,12,3,0,0,51,0,3,0,3,0,4,4,0,0,15,0,3,3,5,5,0,3,3,0,22,0,0,0,0,0,7,7,0,0,20,0,0,4,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,299,357,353,227,182,167,112,68,35,1797,310,367,363,241,183,177,116,69,40,1871,24518,11910,17749,15840,10801,7522,4599,2239,917,96090
SED22201,10609,6866,7957,7612,7497,6648,4964,2985,1450,56582,6,0,5,0,5,10,4,8,3,36,3,0,6,3,5,11,4,0,0,30,160,243,227,122,130,104,86,48,34,1147,0,3,4,3,4,6,6,3,0,38,0,3,0,0,3,0,4,5,0,15,0,0,0,4,3,0,0,3,0,13,0,0,0,4,0,3,4,0,0,10,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,161,254,240,133,146,123,104,59,37,1261,165,261,246,133,150,135,107,61,35,1295,10770,7122,8205,7745,7645,6785,5071,3049,1485,57877
SED22305,13916,9683,13081,10330,8117,7583,5362,3273,1293,72638,21,17,28,29,12,6,3,6,0,128,4,9,25,13,28,12,7,0,0,92,216,307,389,264,201,185,142,118,93,1910,10,6,9,21,28,18,4,7,0,115,8,4,6,3,12,9,0,0,0,44,6,7,19,3,0,7,7,0,0,49,0,0,0,3,0,6,3,0,0,11,0,0,0,4,3,0,0,0,0,7,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,241,332,463,312,275,232,166,118,93,2238,257,349,496,336,287,240,168,130,92,2365,14175,10036,13573,10668,8399,7822,5534,3408,1388,75003
SED22404,10057,5778,5031,6552,8183,8283,6507,2824,1044,54264,11,16,9,13,9,6,17,10,0,87,39,46,36,42,34,31,15,4,4,249,740,740,624,574,524,436,384,120,46,4184,59,52,65,63,67,38,16,3,0,359,28,28,22,22,17,39,17,4,0,179,23,41,17,23,15,15,3,0,0,137,5,5,12,6,6,7,16,0,0,59,4,4,3,0,3,0,4,0,0,15,0,0,5,0,3,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,895,919,784,735,664,571,459,138,49,5214,904,938,786,743,676,580,474,145,55,5299,10966,6720,5819,7294,8860,8863,6981,2968,1093,59559
SED22501,11002,7110,5709,7739,8483,8113,5312,2173,877,56512,4,4,0,0,5,8,7,3,5,32,0,0,4,0,8,7,10,0,0,35,134,169,206,131,89,97,63,54,47,990,5,3,6,13,5,6,12,4,0,51,0,0,0,0,0,0,3,0,0,11,3,0,3,3,4,3,0,0,0,15,0,0,0,0,0,4,4,3,0,19,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,138,179,226,146,112,122,93,61,47,1127,147,186,226,147,112,129,92,68,51,1153,11146,7297,5934,7883,8595,8245,5408,2238,922,57671
SED22607,10929,8331,11956,9438,8633,6971,4117,2496,1387,64254,15,8,16,4,4,4,6,5,0,71,0,10,14,14,17,15,6,0,0,85,126,244,367,199,159,115,103,68,35,1413,0,9,17,18,23,12,15,0,0,92,0,10,5,10,5,15,9,3,3,58,3,14,13,13,4,7,6,3,0,68,0,0,0,0,0,7,0,0,0,16,4,0,4,0,0,0,0,0,0,9,0,0,7,0,0,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,138,283,427,253,217,166,144,80,38,1750,153,290,446,264,219,172,148,85,37,1814,11083,8620,12401,9699,8856,7141,4268,2576,1428,66070
SED22704,10500,6685,5665,6583,8633,9299,7526,3971,1606,60469,25,19,12,5,3,15,11,11,7,98,13,41,28,16,20,28,21,8,5,180,205,376,289,181,192,276,207,110,61,1892,0,59,58,16,21,25,21,0,0,207,3,21,10,17,15,6,5,4,0,80,3,3,8,3,8,4,7,5,0,45,3,0,5,9,6,18,6,7,0,50,0,9,7,0,4,0,4,0,0,23,0,3,6,3,3,3,3,0,0,17,0,0,0,0,0,0,0,0,0,0,224,521,402,246,268,359,277,130,67,2498,253,535,416,252,273,368,283,139,71,2599,10753,7216,6084,6836,8909,9669,7809,4112,1676,63066
SED22802,10721,7327,7147,7164,7872,6543,4805,2214,776,54574,11,6,9,3,9,3,8,9,7,57,0,3,4,3,9,4,4,9,0,41,158,254,208,113,108,105,88,51,22,1103,0,0,4,0,11,12,9,0,0,38,0,0,0,0,0,3,0,0,0,12,3,5,5,0,6,0,3,0,0,24,0,5,5,3,8,4,3,0,0,23,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,264,230,121,135,135,108,57,18,1242,170,271,244,127,143,141,119,69,26,1304,10889,7605,7387,7297,8016,6676,4927,2284,804,55881
