SED_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SED21106,1944,1670,3617,101,138,241,4,0,6,235,369,605,46,35,77,8996,7981,16976,286,535,822,44,0,44,137,18,154,575,231,809,129,65,196,380,467,849,12882,11519,24399,129,104,233,0,0,0,144,158,300,156,137,291,28,34,64,55,35,87,506,464,964,0,0,0,27,64,92,0,6,8,6,4,10,3,8,7,42,81,125,136,128,259,677,672,1349,99,105,211,10,7,13,16,5,22,125,119,242,1058,1369,2427,933,1699,2628,99,109,208,15772,15488,31256
SED21203,981,759,1742,134,146,283,0,0,3,7,23,33,86,17,110,9271,5156,14432,582,636,1217,192,7,194,59,6,68,69,11,82,130,48,176,148,139,283,11670,6945,18615,100,121,217,0,0,0,48,52,99,143,117,261,25,26,50,23,9,25,335,323,656,0,0,0,0,9,8,10,5,13,6,16,26,6,0,6,24,24,49,98,75,180,459,427,886,89,80,172,3,0,3,3,0,3,94,80,176,163,388,548,745,946,1691,284,157,442,13415,8940,22361
SED21303,1235,1223,2458,116,173,285,5,3,7,2913,3800,6717,53,48,102,7931,6988,14923,362,600,960,69,3,70,238,38,279,2396,1649,4039,141,75,216,652,806,1459,16109,15398,31514,113,118,227,0,0,0,436,454,886,52,53,109,12,24,30,90,54,141,699,694,1396,0,0,0,114,241,358,9,10,15,3,6,10,4,5,12,132,266,397,295,294,595,1129,1255,2390,190,187,372,18,23,42,26,24,52,234,235,466,766,839,1600,1190,2294,3488,173,126,296,19601,20153,39756
SED21401,140,121,260,1215,1181,2392,0,0,0,8,15,29,27,14,43,9751,7642,17394,407,848,1251,100,0,104,81,9,92,62,3,66,79,44,123,179,188,364,12057,10061,22117,146,101,253,0,0,0,9,5,11,86,47,135,12,20,31,7,0,3,268,171,433,0,0,0,82,84,167,71,82,146,26,41,71,5,5,11,188,208,399,102,69,169,549,449,1001,68,78,145,31,29,59,7,0,4,109,108,210,698,774,1470,799,1432,2229,119,109,228,14338,12922,27259
SED21503,1025,869,1888,150,191,343,3,0,3,210,231,445,35,13,48,9977,8014,17996,458,677,1135,152,3,157,91,12,102,117,11,125,67,38,105,187,211,397,12479,10265,22742,103,113,216,0,0,0,109,64,172,283,226,507,39,64,105,23,9,33,552,478,1034,0,0,0,33,46,87,0,3,6,13,19,27,3,0,4,51,76,126,102,61,163,708,618,1326,148,152,299,3,9,15,4,4,13,158,166,326,340,491,824,968,1873,2842,145,117,261,14792,13526,28315
SED21608,170,117,280,67,110,183,8,0,7,0,3,3,25,27,54,9732,8387,18121,553,606,1165,251,8,263,57,4,64,77,17,99,90,24,113,312,237,554,11351,9553,20900,6,12,15,0,0,0,16,10,26,95,53,147,8,17,20,6,5,13,134,89,225,0,0,0,0,0,0,3,3,8,10,14,23,0,0,3,16,15,34,102,38,143,252,147,403,51,45,92,3,4,6,3,0,6,59,50,111,607,663,1271,1115,1970,3082,166,148,318,13551,12527,26081
SED21706,1698,1468,3165,162,233,401,4,0,4,218,268,486,33,11,44,9240,8084,17322,362,684,1049,76,0,82,109,4,113,373,53,426,90,44,135,342,314,660,12712,11168,23880,215,191,403,0,0,0,147,132,277,326,241,569,49,73,124,38,14,56,774,647,1421,0,0,0,29,40,68,5,3,7,10,20,30,4,3,5,47,70,119,104,105,210,926,825,1752,163,162,330,5,6,11,9,3,5,172,170,350,775,853,1630,1036,1912,2950,92,96,194,15713,15030,30747
SED21805,636,622,1261,115,120,231,7,3,11,0,3,3,14,14,27,13014,10786,23802,606,664,1276,200,3,206,112,13,122,93,15,111,96,37,136,121,168,291,15022,12450,27474,106,86,195,0,0,0,32,16,42,199,135,338,16,35,55,28,10,35,383,289,671,0,0,0,0,0,0,11,4,13,3,23,24,0,3,4,15,28,42,121,54,175,519,367,886,80,67,152,3,0,0,3,3,7,86,70,155,459,749,1211,1049,2050,3101,152,118,266,17277,15815,33096
SED21906,2484,2191,4673,112,184,291,4,0,4,578,665,1240,39,34,68,9304,7856,17155,297,628,930,76,0,74,144,16,160,506,142,653,106,85,192,496,604,1104,14141,12400,26545,146,131,274,0,0,0,435,414,851,191,121,311,26,50,75,63,32,91,860,747,1606,0,0,0,23,40,59,3,8,10,3,9,8,6,8,15,38,58,91,117,99,214,1010,898,1916,179,146,323,9,5,10,9,12,17,194,154,346,826,1114,1941,914,1697,2609,124,117,237,17209,16384,33600
SED22005,1641,1320,2966,253,348,603,5,0,8,14,8,14,66,26,94,11482,7963,19442,561,1020,1581,185,6,193,82,7,92,190,35,229,133,62,197,387,445,826,15005,11230,26236,297,307,597,0,0,0,75,78,159,299,222,521,60,92,150,33,10,41,766,708,1471,0,0,0,4,6,4,25,4,31,9,48,55,4,12,14,42,65,105,110,59,168,909,830,1743,161,223,390,3,5,11,3,0,3,167,232,399,418,545,962,963,1450,2409,171,118,289,17637,14405,32039
SED22105,1113,1013,2124,104,132,230,6,6,9,8,3,10,60,17,76,18728,13469,32192,950,1157,2109,399,8,403,111,3,116,38,8,42,162,60,214,151,165,319,21827,16022,37849,158,188,346,0,0,0,34,36,73,298,168,465,36,85,113,13,8,28,539,490,1027,0,0,0,0,0,0,15,13,30,7,18,28,0,0,3,26,35,60,187,79,270,756,608,1357,147,182,330,10,0,10,10,3,10,165,182,347,401,807,1210,1226,2442,3670,226,170,393,24586,20232,44825
SED22201,832,692,1525,108,102,208,6,4,8,0,3,3,20,10,31,10463,9342,19802,525,560,1085,170,3,179,79,5,83,66,14,79,70,26,94,155,139,298,12492,10906,23396,158,112,265,0,0,0,25,29,56,295,212,509,43,64,106,22,4,26,540,418,963,0,0,0,0,0,0,13,5,21,9,7,14,0,7,3,19,22,42,98,58,148,658,493,1152,111,115,226,0,8,10,7,0,5,122,121,237,440,682,1119,982,1832,2816,129,104,233,14816,14134,28953
SED22305,680,521,1206,290,348,641,9,3,7,3,4,4,43,25,67,12745,6798,19544,792,772,1564,254,6,254,52,3,54,75,7,76,129,53,183,170,213,381,15241,8744,23984,150,145,294,0,0,0,26,31,56,166,108,277,25,43,67,3,3,12,365,329,701,0,0,0,0,3,3,12,6,18,12,40,54,9,9,10,35,52,82,128,68,193,529,446,973,97,109,199,0,0,0,3,0,7,101,107,204,246,372,622,804,1060,1860,288,143,429,17207,10871,28081
SED22404,81,85,166,101,75,171,3,0,3,3,9,14,4,4,11,9542,7726,17268,517,447,965,313,5,315,67,3,68,72,20,96,119,70,186,511,471,980,11333,8908,20246,23,15,41,0,0,0,0,5,3,140,108,248,6,9,18,0,0,0,171,145,315,0,0,0,0,0,0,7,12,17,12,10,14,0,0,0,15,20,33,99,28,125,287,190,472,35,30,64,3,0,3,5,0,5,45,30,73,936,1085,2018,1197,1905,3101,222,212,433,14015,12323,26341
SED22501,1177,891,2072,105,118,222,0,3,8,4,10,14,23,16,39,10700,9462,20160,417,548,960,181,3,182,96,7,105,135,22,158,101,38,145,181,188,364,13119,11311,24427,120,77,194,0,0,0,43,43,89,337,253,587,51,72,117,45,9,55,592,450,1047,0,0,0,3,0,3,13,11,21,9,15,28,0,0,3,24,29,52,74,61,133,691,538,1228,110,98,202,4,4,9,6,3,7,120,101,221,679,942,1623,1022,2122,3142,102,115,215,15733,15118,30852
SED22607,2163,2147,4312,70,99,169,3,0,6,675,1135,1810,41,26,67,9617,7942,17557,384,759,1149,84,0,80,176,25,201,676,231,908,105,81,188,455,551,1009,14447,13007,27457,151,198,348,0,0,0,421,438,862,120,113,238,29,51,78,47,23,65,772,817,1589,0,0,0,35,47,87,7,22,28,3,8,10,0,0,0,49,80,125,135,144,282,958,1040,2002,150,149,303,3,7,13,14,9,15,166,162,333,615,764,1381,1106,2031,3135,122,121,250,17429,17129,34553
SED22704,170,152,320,33,33,63,3,6,7,3,3,7,11,3,21,9797,7988,17786,587,535,1124,318,6,327,95,7,108,102,32,133,127,41,172,682,513,1196,11931,9325,21254,10,10,18,0,0,0,3,10,10,63,59,124,5,12,15,3,3,9,94,84,180,0,0,0,0,0,0,0,8,6,3,4,6,0,0,0,3,10,14,114,39,147,209,136,344,23,32,54,0,0,0,10,5,9,30,37,63,1085,1040,2126,1131,1809,2938,215,169,386,14604,12507,27117
SED22802,545,385,930,90,95,183,10,4,8,4,0,4,11,7,17,11277,9307,20580,585,570,1154,333,7,334,62,0,62,32,10,42,62,18,81,173,156,332,13181,10550,23736,77,59,139,0,0,0,21,16,31,216,159,373,22,37,62,8,3,10,353,270,618,0,0,0,0,0,0,7,8,13,16,12,25,0,0,3,20,17,39,105,53,156,479,335,814,86,66,148,0,0,0,9,0,10,95,66,163,454,799,1260,952,1935,2890,116,97,214,15291,13790,29075
SED22901,563,406,972,166,178,347,7,0,4,13,11,16,9,7,20,10664,9056,19718,460,664,1125,154,0,149,68,0,71,70,8,84,71,44,112,148,160,307,12393,10540,22927,168,104,278,0,0,0,15,5,22,377,199,576,36,76,111,6,3,8,601,396,996,0,0,0,5,3,8,9,12,18,13,14,20,3,0,3,25,29,53,109,54,166,741,476,1215,133,89,229,0,3,9,3,3,4,141,101,234,442,619,1059,882,1649,2530,104,87,198,14701,13465,28169
SED23007,2032,1978,4013,414,554,963,7,7,13,135,213,346,66,25,90,12259,7880,20146,613,1084,1700,121,4,124,220,40,261,551,198,750,113,60,176,401,491,897,16942,12531,29477,533,523,1054,3,0,3,314,339,648,287,244,528,51,101,155,66,31,98,1249,1237,2492,0,0,0,31,41,78,19,18,29,6,18,29,4,4,9,68,78,147,147,123,273,1462,1444,2905,396,371,773,10,5,18,9,6,12,412,386,800,402,559,963,1204,1781,2986,245,168,409,20664,16876,37541
SED23101,880,667,1546,163,195,357,7,0,7,105,82,183,21,12,38,9042,7622,16665,385,696,1081,108,0,108,58,3,65,118,8,129,83,38,121,175,174,348,11143,9498,20645,383,219,601,0,0,0,35,38,72,375,216,593,46,95,145,13,7,21,859,574,1430,0,0,0,29,32,58,4,4,15,11,13,28,0,3,5,47,56,99,93,54,144,994,682,1673,234,170,402,5,13,22,3,6,6,245,183,432,562,656,1217,844,1564,2409,99,87,187,13890,12673,26563
SED23205,425,284,705,161,178,340,9,0,9,7,4,5,26,19,45,10072,8520,18588,612,638,1251,151,4,154,86,10,95,84,26,108,84,35,118,249,259,506,11950,9975,21927,96,76,173,0,0,0,5,10,15,150,108,254,28,33,63,16,3,18,301,228,527,0,0,0,0,3,0,3,0,3,22,19,34,5,4,11,33,26,55,103,44,150,434,298,728,61,70,132,3,0,3,3,3,3,70,73,138,417,586,1007,937,1706,2644,142,133,271,13951,12775,26724
SED23308,506,295,802,226,268,487,4,3,11,9,8,11,45,45,88,10048,9056,19112,600,837,1441,110,0,116,81,10,87,333,108,446,78,43,117,700,825,1526,12740,11495,24233,30,22,52,0,0,0,36,40,75,115,80,192,13,13,29,35,5,45,237,156,388,0,0,0,0,0,0,6,14,28,7,25,34,9,5,19,26,54,79,101,73,177,364,284,645,77,71,141,7,3,12,5,5,12,91,76,162,438,604,1040,1181,2079,3254,151,137,283,14959,14668,29625
SED23402,629,449,1080,44,55,100,0,0,3,3,8,13,13,18,24,13294,10907,24198,683,681,1362,331,11,340,83,4,88,34,11,44,78,53,135,185,169,353,15382,12360,27746,86,68,153,0,0,0,15,17,33,185,142,325,25,44,68,20,4,24,329,272,603,0,0,0,0,0,0,9,3,8,12,9,19,0,0,0,17,13,35,124,42,160,468,325,797,86,74,160,3,4,4,9,4,10,98,77,178,587,1020,1602,1101,2008,3114,156,146,307,17802,15950,33748
SED23502,22,14,38,56,37,92,4,3,4,4,0,5,16,9,27,7997,7196,15191,486,523,1009,225,7,236,79,11,97,119,44,160,171,57,222,520,465,990,9705,8366,18069,0,0,3,0,0,0,0,3,3,0,3,7,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,9,0,8,105,61,161,117,70,181,9,3,11,4,0,3,12,0,15,21,8,24,782,856,1637,1174,1782,2952,170,185,357,11960,11262,23221
SED23602,12,14,23,59,19,81,0,0,4,3,3,9,16,8,24,8011,6921,14937,484,532,1012,180,5,191,123,29,152,121,39,159,194,60,249,686,552,1236,9888,8188,18070,0,3,6,0,0,0,0,0,0,15,5,17,0,0,0,0,0,0,16,9,25,0,0,0,0,0,0,8,0,8,0,4,4,3,0,3,7,4,8,90,44,135,116,50,168,7,6,19,0,0,0,8,3,15,21,13,31,1100,1069,2163,1092,1724,2815,175,182,354,12386,11218,23604
SED23702,154,120,279,103,85,187,3,3,6,0,0,3,13,8,14,13302,11393,24700,791,629,1415,472,10,485,80,3,82,51,23,76,146,55,196,695,335,1034,15811,12669,28488,36,17,50,0,0,0,7,3,8,144,90,228,5,22,28,3,0,3,193,129,318,0,0,0,0,0,0,3,7,10,21,15,35,0,0,0,26,23,48,150,61,207,362,209,569,44,30,72,0,3,4,3,0,5,46,33,81,521,914,1435,1122,2124,3246,146,176,318,18010,16135,34140
SED23806,2837,2422,5254,35,38,81,0,0,5,770,916,1679,45,33,73,8381,7483,15861,302,588,889,27,0,29,118,19,139,629,163,791,95,63,155,795,932,1732,14036,12660,26703,77,80,159,0,0,0,440,459,897,127,94,224,21,48,66,61,36,100,729,705,1439,0,0,0,15,29,44,0,3,6,0,0,0,5,0,7,25,33,59,115,86,201,870,830,1701,125,115,242,6,0,4,10,4,13,134,119,258,930,1107,2034,1095,1995,3085,83,88,177,17149,16801,33955
SED23901,1982,1620,3607,261,285,548,10,3,13,4,22,25,35,15,50,9128,7827,16959,339,661,996,104,3,101,135,23,155,405,79,491,98,55,152,516,516,1028,13016,11109,24129,244,146,389,0,0,0,130,135,261,246,217,466,42,79,119,39,13,60,704,593,1298,0,0,0,15,20,38,14,3,19,10,17,19,6,3,9,44,43,85,100,71,172,847,708,1557,143,150,292,0,4,8,7,8,13,155,155,310,609,803,1414,1024,1850,2872,123,96,220,15767,14721,30489
SED24006,468,364,829,652,610,1260,3,0,3,840,892,1729,39,24,59,9228,7639,16870,366,807,1177,54,0,56,95,8,104,376,83,455,108,64,173,384,431,819,12612,10922,23535,63,66,132,0,0,0,146,100,248,108,83,190,23,33,50,12,10,16,344,289,634,0,0,0,109,91,202,27,26,56,16,12,29,7,0,8,157,134,290,171,127,307,679,554,1230,90,82,167,20,20,41,12,7,17,115,108,221,920,1159,2082,983,1618,2601,109,129,235,15411,14489,29903
SED24105,898,816,1708,164,208,370,0,0,0,4,4,12,33,15,46,12215,8831,21046,673,1065,1740,201,3,201,59,3,58,66,14,72,113,47,160,148,149,304,14568,11152,25723,142,140,282,0,0,0,34,23,57,301,208,508,43,74,108,10,8,19,531,444,974,0,0,0,0,0,3,18,14,33,11,33,42,9,0,5,34,42,77,121,77,195,690,561,1253,125,133,260,5,3,6,6,3,6,139,138,278,311,500,811,751,1315,2064,174,113,290,16633,13781,30412
SED24207,903,1042,1944,123,187,305,4,7,11,6,18,22,75,17,96,14283,9793,24079,711,1180,1888,259,4,263,70,5,70,41,17,59,126,53,178,113,130,244,16709,12441,29152,178,228,408,0,0,0,29,42,70,400,369,766,36,89,125,10,7,12,652,731,1381,0,0,0,0,0,0,15,12,28,10,20,35,3,3,9,35,36,69,141,84,224,828,848,1677,186,226,409,0,3,3,3,4,4,191,229,418,295,597,894,1008,1616,2627,243,182,427,19279,15923,35195
SED24308,386,295,681,149,170,317,9,3,12,0,0,6,38,23,60,9971,8283,18253,702,755,1454,173,5,178,69,11,77,121,36,156,90,38,130,220,221,445,11936,9839,21779,26,26,55,0,0,0,27,22,46,110,83,197,13,14,28,12,7,22,193,148,337,0,0,0,0,0,0,14,11,25,10,10,20,3,0,5,26,21,49,87,44,128,303,211,514,65,67,126,5,0,4,3,3,6,73,71,146,296,413,705,1010,1808,2817,183,145,332,13795,12483,26280
SED24408,12,0,11,43,38,82,11,5,16,4,8,9,11,17,27,8452,7371,15824,482,516,997,231,6,240,59,19,80,116,34,149,217,54,268,953,688,1645,10588,8753,19340,0,0,0,0,0,0,0,0,0,4,3,6,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,7,0,4,0,4,3,3,0,3,10,8,16,92,32,124,106,40,147,4,0,7,0,0,0,13,0,13,16,0,15,1454,1218,2674,948,1697,2638,178,145,324,13294,11856,25145
