SED_CODE_2016,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_Married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_Married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_Married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_Married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_Married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_Married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_Married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_Married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_Married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_Married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_Married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_Married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_Married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_Married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_Married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_Married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_Married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_Married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_Married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_Married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_Married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_Married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_Married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_Married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_Married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_Married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_Married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Tot
SED21106,4,0,0,0,1859,1863,10,0,0,3,1552,1571,826,25,48,4,2537,3444,2519,83,200,13,1232,4041,3242,150,393,24,849,4651,2596,140,443,40,472,3689,1918,72,355,84,201,2633,937,37,124,149,97,1341,359,5,21,213,38,639,12414,511,1581,522,8836,23869,6,0,0,0,1766,1773,29,0,0,0,1633,1667,1149,46,79,8,2835,4119,2847,139,328,26,1399,4736,3521,222,646,68,904,5366,2470,140,716,137,506,3978,1712,86,537,371,186,2890,689,31,223,674,103,1720,203,3,60,953,83,1314,12631,669,2588,2242,9426,27566,12,0,0,0,3624,3637,42,3,0,0,3184,3235,1977,66,122,13,5378,7556,5363,223,528,32,2633,8780,6764,373,1034,92,1754,10020,5071,281,1162,180,975,7667,3627,156,891,455,387,5527,1624,63,350,825,202,3058,565,14,81,1169,123,1952,25042,1186,4174,2764,18265,51431
SED21203,12,0,3,3,2553,2571,168,16,3,3,2835,3027,2706,151,120,5,3197,6175,3017,225,257,15,1121,4637,2890,250,540,39,860,4583,2058,157,510,58,447,3232,1515,111,248,115,141,2125,1107,51,84,212,44,1501,278,6,8,184,8,483,13743,966,1771,635,11203,28322,48,5,4,0,2508,2562,573,35,23,3,1894,2525,3235,253,233,18,1767,5498,2939,329,373,23,818,4482,2640,324,742,137,676,4517,1841,186,614,355,308,3307,1362,117,348,607,96,2524,747,25,107,1024,32,1940,108,9,19,610,12,759,13493,1279,2461,2773,8118,28119,61,4,3,3,5065,5133,746,47,24,9,4725,5552,5937,400,359,22,4958,11675,5953,553,630,40,1938,9122,5533,575,1277,176,1541,9099,3904,344,1118,412,762,6540,2879,223,591,723,234,4647,1852,78,192,1238,80,3442,386,11,27,791,22,1242,27241,2243,4229,3410,19324,56445
SED21303,4,0,0,0,1310,1316,64,4,0,5,3014,3096,1882,64,93,8,7114,9159,2641,135,254,16,2712,5752,2011,141,425,22,1304,3902,1443,127,442,43,680,2740,1045,86,275,84,297,1789,831,23,99,172,120,1247,306,4,29,156,52,553,10236,577,1625,507,16613,29552,10,0,0,0,1308,1316,179,10,6,5,3559,3755,2211,94,134,8,7150,9594,2631,152,381,24,2666,5850,1978,156,531,48,1374,4085,1443,128,594,164,778,3113,996,70,385,375,252,2084,655,18,142,820,113,1748,122,3,22,676,90,920,10231,628,2194,2120,17295,32467,15,0,0,4,2619,2635,251,12,5,10,6574,6846,4098,154,225,17,14265,18752,5268,283,636,39,5378,11601,3990,291,955,75,2681,7985,2891,257,1035,207,1459,5849,2045,153,665,460,551,3872,1482,41,242,996,233,2999,431,12,48,832,145,1473,20459,1201,3815,2630,33907,62016
SED21401,4,0,0,0,1882,1888,23,0,4,0,1918,1953,1319,27,33,0,2324,3709,2460,100,121,6,815,3504,2937,130,318,17,610,4006,2723,110,339,39,242,3452,2593,57,174,118,105,3043,2118,41,96,243,36,2536,550,9,26,249,15,855,14738,475,1122,671,7939,24944,3,0,3,0,1700,1707,66,3,0,0,1764,1837,1673,73,77,0,1898,3720,2786,135,235,23,663,3844,3249,172,545,45,476,4493,2898,131,524,198,209,3950,2674,81,339,550,98,3747,1494,38,140,1119,51,2843,263,3,54,965,34,1309,15112,643,1915,2891,6892,27448,7,0,3,0,3584,3596,96,11,4,0,3683,3790,2989,102,115,0,4217,7423,5251,231,356,29,1481,7342,6185,299,863,66,1086,8501,5619,239,865,235,448,7405,5271,140,519,664,198,6788,3616,82,233,1368,84,5378,813,15,81,1213,50,2171,29847,1115,3034,3569,14831,52398
SED21503,13,0,0,0,1962,1978,62,0,0,0,2972,3039,1801,54,44,0,2992,4885,2774,125,176,6,1032,4109,2408,154,333,29,697,3622,2229,115,372,44,304,3065,1917,79,209,130,118,2456,1097,17,71,179,28,1389,260,0,12,165,9,446,12553,553,1222,551,10111,24995,9,0,0,0,1914,1927,133,7,3,4,2847,2988,2189,78,91,4,2484,4850,2823,169,262,29,868,4161,2544,211,520,59,590,3924,2194,160,570,175,276,3384,1750,111,356,445,119,2782,812,32,118,735,38,1736,127,7,43,557,19,754,12600,763,1963,2010,9152,26501,23,0,0,0,3881,3903,191,6,3,6,5819,6025,3995,132,131,3,5470,9738,5596,300,439,31,1899,8268,4954,361,856,85,1284,7541,4426,276,948,223,579,6451,3670,189,565,579,236,5237,1909,45,193,915,63,3127,389,9,49,721,33,1204,25157,1320,3194,2566,19265,51496
SED21608,3,0,0,0,1913,1918,36,5,0,0,2160,2201,1057,59,39,9,2105,3264,2087,146,193,17,1133,3581,2350,182,505,25,827,3895,2487,184,562,85,466,3781,2036,106,419,155,206,2929,854,44,100,179,74,1250,208,7,16,154,21,401,11115,738,1838,620,8899,23210,0,0,0,3,1884,1885,69,10,0,3,2042,2127,1356,99,82,8,1901,3445,2255,177,307,20,1080,3833,2485,209,718,97,715,4215,2444,179,767,222,329,3942,1841,103,504,463,127,3044,600,17,117,641,49,1432,100,3,34,480,20,640,11155,792,2526,1936,8155,24560,5,0,0,3,3795,3799,105,13,0,4,4203,4325,2412,149,118,18,4011,6705,4339,325,498,30,2215,7417,4839,389,1221,122,1540,8107,4928,365,1328,302,795,7715,3884,207,924,620,334,5969,1455,61,222,820,127,2684,309,12,44,636,42,1043,22270,1535,4360,2556,17051,47771
SED21706,9,0,0,3,2155,2170,61,7,4,0,3324,3395,1619,45,58,0,2984,4707,2910,76,142,5,814,3952,3207,136,296,23,644,4305,2460,113,334,38,415,3354,1646,62,205,89,217,2221,952,31,100,130,89,1308,381,6,26,216,31,652,13240,473,1163,504,10674,26058,7,4,0,0,2464,2473,110,5,3,3,2984,3114,1904,61,83,9,2501,4554,3261,112,216,20,842,4456,3389,190,550,64,634,4828,2393,141,628,183,403,3742,1493,80,504,393,207,2671,741,21,169,753,117,1801,224,3,80,971,89,1369,13522,616,2221,2394,10251,29007,18,4,0,5,4620,4642,174,15,9,7,6306,6505,3518,109,143,12,5485,9260,6174,194,357,22,1657,8405,6591,332,848,82,1279,9136,4849,255,957,221,823,7096,3137,136,705,480,423,4891,1697,51,269,887,208,3109,601,9,103,1190,115,2020,26763,1094,3387,2899,20925,55066
SED21805,4,3,0,3,1869,1879,35,0,0,0,1903,1940,1557,53,63,8,2795,4482,2907,215,289,10,1708,5135,2590,273,740,36,1049,4691,2360,214,754,67,540,3938,1739,134,502,137,164,2674,834,45,152,198,37,1266,236,12,28,187,14,483,12265,953,2540,663,10069,26486,3,0,0,3,1826,1839,93,3,3,3,1815,1918,2140,110,123,11,2612,4996,3013,272,469,34,1410,5198,2619,321,960,104,861,4862,2149,258,1046,241,413,4104,1517,131,721,504,168,3034,628,41,268,687,39,1671,106,3,52,635,23,816,12260,1144,3643,2216,9167,28437,4,4,4,7,3696,3712,126,3,4,3,3713,3854,3695,167,189,17,5403,9476,5919,485,760,44,3121,10327,5207,596,1697,142,1916,9553,4503,478,1803,311,949,8049,3258,258,1220,639,328,5706,1460,85,427,894,79,2938,336,18,80,823,37,1300,24524,2097,6183,2878,19239,54917
SED21906,7,0,0,0,1570,1575,95,4,0,0,2219,2312,2075,39,69,4,4083,6265,2787,73,184,10,1469,4515,2386,102,326,22,896,3728,2142,112,440,46,548,3290,1701,94,324,75,287,2483,777,32,122,109,102,1143,383,7,34,238,39,709,12350,462,1496,494,11206,26018,8,0,0,0,1564,1578,200,4,5,3,2311,2517,2493,52,122,9,3792,6466,2770,128,329,22,1407,4648,2484,184,496,47,854,4071,2100,114,655,150,499,3528,1467,91,507,351,257,2677,633,33,199,634,94,1593,172,5,66,962,64,1262,12321,608,2379,2183,10845,28341,15,0,0,3,3134,3156,293,4,5,3,4525,4833,4567,94,187,12,7872,12726,5552,200,507,34,2879,9169,4869,282,823,72,1748,7791,4243,226,1099,199,1051,6812,3171,187,832,421,542,5156,1403,64,318,745,198,2739,554,14,99,1196,100,1968,24670,1073,3876,2678,22053,54354
SED22005,13,3,0,0,2087,2104,135,4,3,0,3662,3808,2926,70,98,7,3716,6813,3382,127,282,7,1255,5046,2716,178,467,24,854,4235,2357,162,490,46,460,3519,1979,102,296,136,188,2696,1389,39,117,208,80,1830,464,12,25,276,21,799,15353,691,1773,698,12331,30850,17,0,3,0,1896,1915,321,9,6,0,2800,3143,3456,93,137,10,2609,6305,3310,175,426,17,975,4903,2701,234,642,108,712,4397,2361,166,653,284,373,3838,1845,78,409,628,154,3112,1001,31,170,1010,83,2300,239,4,60,966,41,1313,15258,801,2505,3024,9649,31237,23,3,4,0,3986,4022,457,16,9,0,6465,6948,6378,162,227,20,6326,13118,6686,301,705,25,2233,9954,5414,412,1112,132,1564,8634,4723,329,1148,325,840,7365,3825,180,700,761,346,5807,2393,73,285,1219,159,4131,707,19,83,1243,64,2116,30616,1490,4280,3723,21986,62092
SED22105,14,0,0,0,2950,2961,157,6,3,3,2945,3114,4390,148,125,9,3742,8409,6069,251,357,19,1512,8210,3762,276,637,39,761,5470,2607,197,552,73,332,3753,1658,95,312,113,78,2258,733,31,80,138,32,1020,163,8,14,130,17,334,19550,1018,2077,516,12363,35530,22,0,0,0,2769,2795,428,14,9,0,2648,3099,5877,207,224,5,3186,9503,5479,408,537,58,1241,7717,3395,345,918,169,612,5429,2320,232,824,314,207,3891,1435,97,442,526,63,2576,538,21,133,588,12,1295,95,5,28,447,14,587,19592,1326,3116,2104,10756,36896,38,0,0,0,5715,5754,585,29,8,5,5590,6210,10266,351,351,12,6927,17906,11551,655,897,73,2753,15928,7151,625,1554,205,1368,10903,4928,425,1374,381,535,7648,3097,197,760,643,145,4829,1273,53,212,726,48,2319,258,16,49,576,30,920,39142,2346,5195,2620,23114,72425
