SED_CODE_2016,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedonian_SEO,FOL_Macedonian_SOLSE_VWorW,FOL_Macedonian_SOLSE_NWorNAA,FOL_Macedonian_SOLSE_Tot,FOL_Macedonian_NS,FOL_Macedonian_Tot,FOL_Maltese_SEO,FOL_Maltese_SOLSE_VWorW,FOL_Maltese_SOLSE_NWorNAA,FOL_Maltese_SOLSE_Tot,FOL_Maltese_NS,FOL_Maltese_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_SOLSE_VWorW,FOL_Persian_ED_SOLSE_NWorNAA,FOL_Persian_ED_SOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_SOLSE_VWorW,FOL_Polish_SOLSE_NWorNAA,FOL_Polish_SOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Russian_SEO,FOL_Russian_SOLSE_VWorW,FOL_Russian_SOLSE_NWorNAA,FOL_Russian_SOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_SOLSE_VWorW,FOL_Samoan_SOLSE_NWorNAA,FOL_Samoan_SOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_SOLSE_VWorW,FOL_Serbian_SOLSE_NWorNAA,FOL_Serbian_SOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipino_SEO,FOL_SAL_Filipino_SOLSE_VWorW,FOL_SAL_Filipin_SOLSE_NWorNAA,FOL_SAL_Filipino_SOLSE_Tot,FOL_SAL_Filipino_NS,FOL_SAL_Filipino_Tot,FOL_SAL_Indonesian_SEO,FOL_SAL_Indonesia_SOLSE_VWorW,FOL_SAL_Indones_SOLSE_NWorNAA,FOL_SAL_Indonesian_SOLSE_Tot,FOL_SAL_Indonesian_NS,FOL_SAL_Indonesian_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_SOLSE_VWorW,FOL_SAL_Tagalog_SOLSE_NWorNAA,FOL_SAL_Tagalog_SOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_SOLSE_VWorW,FOL_SAL_Oth_SOLSE_NWorNAA,FOL_SAL_Oth_SOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_SOLSE_VWorW,FOL_SAL_Tot_SOLSE_NWorNAA,FOL_SAL_Tot_SOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_SOLSE_VWorW,FOL_Spanish_SOLSE_NWorNAA,FOL_Spanish_SOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_SOLSE_VWorW,FOL_Tamil_SOLSE_NWorNAA,FOL_Tamil_SOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_SOLSE_VWorW,FOL_Thai_SOLSE_NWorNAA,FOL_Thai_SOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_SOLSE_VWorW,FOL_Turkish_SOLSE_NWorNAA,FOL_Turkish_SOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_SOLSE_VWorW,FOL_Vietnamese_SOLSE_NWorNAA,FOL_Vietnamese_SOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_SOLSE_VWorW,FOL_Oth_SOLSE_NWorNAA,FOL_Oth_SOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_SOLSE_VWorW,FOL_Tot_SOLSE_NWorNAA,FOL_Tot_SOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LSatH_NS_SEO,F_LSatH_NS_SOLSE_VWorW,F_LSatH_NS_SOLSE_NWorNAA,F_LSatH_NS_SOLSE_Tot,F_LSatH_NS_NS,F_LSatH_NS_Tot,F_Tot_SEO,F_Tot_SOLSE_VWorW,F_Tot_SOLSE_NWorNAA,F_Tot_SOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_SOLSE_VWorW,PSEO_SOLSE_NWorNAA,PSEO_SOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_SOLSE_VWorW,POL_Afrikaans_SOLSE_NWorNAA,POL_Afrikaans_SOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_SOLSE_VWorW,POL_Arabic_SOLSE_NWorNAA,POL_Arabic_SOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_SOLSE_VWorW,POL_AIndLng_SOLSE_NWorNAA,POL_AIndLng_SOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Cantones_SEO,POL_CL_Cantones_SOLSE_VWorW,POL_CL_Cantones_SOLSE_NWorNAA,POL_CL_Cantones_SOLSE_Tot,POL_CL_Cantones_NS,POL_CL_Cantones_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_SOLSE_VWorW,POL_CL_Mandarin_SOLSE_NWorNAA,POL_CL_Mandarin_SOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot,POL_CL_Oth_SEO,POL_CL_Oth_SOLSE_VWorW,POL_CL_Oth_SOLSE_NWorNAA,POL_CL_Oth_SOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_SOLSE_VWorW,POL_CL_Tot_SOLSE_NWorNAA,POL_CL_Tot_SOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_SOLSE_VWorW,POL_Croatian_SOLSE_NWorNAA,POL_Croatian_SOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_Dutch_SEO,POL_Dutch_SOLSE_VWorW,POL_Dutch_SOLSE_NWorNAA,POL_Dutch_SOLSE_Tot,POL_Dutch_NS,POL_Dutch_Tot,POL_French_SEO,POL_French_SOLSE_VWorW,POL_French_SOLSE_NWorNAA,POL_French_SOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_SOLSE_VWorW,POL_German_SOLSE_NWorNAA,POL_German_SOLSE_Tot,POL_German_NS,POL_German_Tot
SED21106,0,33,..,27,0,27,0,27,..,12,0,11,0,11,..,27,3,31,0,31,..,166,20,184,0,184,..,438,76,517,0,518,..,3,0,3,0,3,..,64,6,71,0,71,..,13,0,19,0,19,..,27,0,25,0,25,..,31,0,31,0,31,..,12,0,17,0,14,..,82,3,91,0,94,..,201,8,214,3,219,..,22,3,27,0,27,..,55,5,56,0,56,..,31,4,37,0,37,..,70,7,72,0,72,..,580,56,641,7,648,..,4658,675,5334,37,5376,..,82,3,84,1975,2053,25470,4740,680,5418,2010,32899,48852,..,..,..,..,48852,..,81,3,85,0,85,..,154,12,162,0,167,..,0,0,0,0,0,..,254,33,289,3,291,..,1014,372,1385,6,1388,..,81,24,104,0,106,..,1350,427,1777,7,1789,..,97,6,106,4,106,..,129,0,129,0,129,..,475,12,493,4,493,..,444,11,454,3,458
SED21203,0,18,..,59,11,67,0,70,..,241,23,266,3,269,..,68,46,113,0,113,..,79,16,94,0,89,..,20,5,24,0,25,..,256,22,277,6,288,..,77,20,94,0,94,..,192,4,197,3,198,..,72,5,74,3,81,..,274,9,290,4,295,..,85,14,101,0,102,..,627,43,667,8,677,..,213,57,266,3,272,..,105,10,113,0,112,..,52,13,67,0,67,..,2985,1200,4192,44,4235,..,508,344,855,5,861,..,2552,1307,3854,79,3932,..,16975,5682,22659,301,22960,..,120,83,196,2320,2520,10386,17095,5766,22854,2623,35861,21038,..,..,..,..,21038,..,3,0,3,0,3,..,8947,2261,11204,140,11348,..,3,0,3,0,3,..,153,77,233,3,235,..,273,136,414,3,412,..,27,12,39,0,41,..,451,230,681,7,688,..,249,59,307,0,311,..,16,0,16,0,16,..,75,3,79,3,78,..,55,7,62,3,64
SED21303,0,73,..,58,8,61,0,66,..,72,6,80,0,82,..,71,12,79,0,83,..,61,9,70,0,70,..,42,0,48,3,47,..,0,0,0,0,0,..,48,9,64,0,64,..,48,0,50,0,50,..,193,39,224,3,225,..,77,3,79,0,82,..,42,0,44,0,46,..,363,38,402,3,404,..,392,43,438,0,439,..,40,3,43,0,43,..,86,18,99,0,99,..,223,58,280,0,285,..,247,83,328,0,331,..,662,111,773,23,794,..,8900,2224,11124,92,11215,..,72,10,81,2207,2289,23403,8973,2232,11204,2296,36906,45368,..,..,..,..,45368,..,31,3,32,0,32,..,1551,335,1883,8,1897,..,9,0,12,0,12,..,442,140,584,3,585,..,1484,278,1757,11,1771,..,126,21,146,3,145,..,2047,443,2490,18,2506,..,128,12,136,3,140,..,80,0,80,0,88,..,380,22,406,0,406,..,381,13,400,0,400
SED21401,0,300,..,169,23,197,0,201,..,44,0,44,0,44,..,517,78,598,8,606,..,52,3,58,4,62,..,56,6,60,0,60,..,3,0,3,0,3,..,60,4,66,3,66,..,45,0,45,0,45,..,96,10,111,0,111,..,74,0,74,0,74,..,40,0,36,0,36,..,259,11,272,0,272,..,123,18,133,0,137,..,109,5,108,0,115,..,41,5,43,3,47,..,69,7,75,0,75,..,220,50,265,0,265,..,524,106,624,12,643,..,12522,2980,15501,138,15642,..,74,23,91,1233,1326,15003,12595,2997,15595,1375,31976,29641,..,..,..,..,29641,..,101,0,101,0,101,..,1013,76,1084,3,1090,..,0,0,0,0,0,..,3690,987,4680,25,4706,..,5313,2019,7336,44,7382,..,385,127,509,3,514,..,9389,3134,12527,76,12599,..,233,21,254,3,255,..,47,4,55,3,55,..,105,5,110,4,106,..,157,3,160,3,164
SED21503,0,50,..,623,91,717,5,714,..,53,0,53,0,51,..,164,29,191,0,189,..,63,8,68,0,68,..,38,5,49,0,49,..,35,4,39,0,39,..,84,20,100,0,100,..,125,6,130,0,132,..,86,11,95,0,97,..,137,0,137,0,139,..,60,4,63,0,60,..,400,17,422,10,426,..,148,11,156,5,154,..,232,19,254,0,254,..,75,13,91,0,91,..,50,11,63,0,63,..,521,161,689,0,684,..,731,118,848,17,864,..,8896,1972,10870,103,10970,..,68,20,90,1446,1531,18946,8968,1990,10956,1545,31444,37290,..,..,..,..,37290,..,47,0,47,0,47,..,1161,287,1444,17,1465,..,3,0,3,0,3,..,766,247,1006,8,1017,..,3034,1312,4350,20,4371,..,251,133,381,5,381,..,4043,1691,5731,37,5770,..,298,55,357,3,356,..,40,0,40,0,40,..,127,0,126,3,130,..,165,3,167,3,171
SED21608,0,3,..,4,3,7,0,6,..,44,3,42,0,46,..,15,4,20,0,20,..,22,3,19,0,19,..,19,0,25,0,25,..,0,0,0,0,0,..,15,0,15,0,13,..,29,0,29,0,29,..,9,0,9,0,9,..,40,3,39,0,39,..,10,0,11,0,16,..,83,3,90,0,91,..,30,3,34,3,35,..,11,0,11,0,11,..,29,3,35,0,35,..,9,3,6,0,6,..,26,3,27,0,27,..,205,39,243,3,243,..,1145,165,1305,19,1327,..,87,7,96,1921,2018,26797,1235,167,1401,1938,30145,52670,..,..,..,..,52670,..,19,3,25,0,25,..,71,7,72,0,72,..,3,0,5,0,5,..,46,11,57,0,57,..,306,87,397,3,398,..,45,15,54,0,54,..,394,110,507,4,511,..,59,17,74,0,72,..,98,3,102,4,102,..,68,3,73,0,73,..,105,3,112,0,112
SED21706,0,221,..,26,0,23,0,27,..,7,3,15,0,15,..,94,20,112,0,112,..,108,12,123,0,123,..,97,22,120,0,119,..,14,0,16,0,16,..,42,6,56,0,56,..,56,0,55,0,55,..,198,11,209,0,209,..,81,0,81,0,81,..,60,3,58,0,58,..,394,13,407,0,407,..,159,16,176,0,178,..,135,6,143,0,143,..,100,30,134,0,137,..,16,6,20,0,20,..,400,79,480,3,481,..,686,112,794,17,812,..,9386,2061,11445,83,11533,..,73,26,96,1545,1644,21574,9459,2086,11546,1631,34747,41815,..,..,..,..,41815,..,68,0,69,0,69,..,303,52,354,0,354,..,3,0,3,0,3,..,1629,401,2026,14,2043,..,5376,1843,7217,34,7253,..,395,171,563,0,563,..,7402,2411,9814,46,9858,..,90,17,102,0,101,..,84,3,89,5,96,..,314,7,326,0,326,..,276,8,281,3,287
SED21805,3,17,..,15,3,15,0,16,..,20,4,25,0,25,..,25,4,31,0,31,..,112,9,121,0,121,..,191,29,221,0,222,..,62,3,63,0,63,..,89,8,96,0,96,..,159,0,156,0,158,..,37,3,34,0,39,..,186,9,196,4,198,..,29,0,29,0,26,..,400,10,414,10,423,..,195,25,222,0,222,..,134,18,148,0,148,..,90,10,98,0,98,..,59,7,66,0,68,..,102,27,128,3,134,..,826,140,966,24,989,..,4427,599,5026,70,5098,..,91,11,103,2042,2146,27386,4517,612,5125,2114,34627,53906,..,..,..,..,53906,..,184,3,192,3,194,..,304,25,326,3,333,..,7,0,7,0,7,..,184,52,237,0,235,..,455,174,636,10,642,..,40,13,56,0,58,..,681,243,928,9,935,..,166,11,180,8,184,..,179,19,195,3,203,..,220,0,226,3,226,..,243,6,256,3,257
SED21906,0,70,..,23,3,26,0,26,..,12,3,12,0,12,..,29,3,31,0,31,..,273,32,302,3,306,..,911,197,1114,17,1132,..,6,0,6,0,6,..,70,6,78,0,78,..,66,0,66,0,67,..,106,6,109,0,109,..,102,0,103,0,103,..,26,0,29,0,29,..,297,9,307,0,309,..,238,10,244,0,249,..,102,0,103,0,99,..,74,10,86,0,86,..,19,0,21,0,21,..,108,17,126,0,126,..,2162,180,2341,39,2376,..,8335,1178,9515,92,9605,..,95,13,109,1792,1899,22331,8434,1191,9620,1884,33840,43408,..,..,..,..,43408,..,64,0,64,0,70,..,99,10,110,3,109,..,3,0,3,0,3,..,502,120,619,3,624,..,1872,428,2306,8,2318,..,142,53,192,0,192,..,2515,606,3124,15,3132,..,68,14,76,0,79,..,67,0,67,0,73,..,675,25,705,0,709,..,314,15,330,5,337
SED22005,0,303,..,33,14,48,0,48,..,50,6,56,0,58,..,46,6,51,0,57,..,118,32,152,0,152,..,447,94,543,3,542,..,39,0,40,0,40,..,72,24,97,5,95,..,199,7,205,0,207,..,238,43,281,0,281,..,246,12,262,0,257,..,81,9,82,0,82,..,764,65,830,3,833,..,206,47,251,3,257,..,287,28,313,3,314,..,119,63,183,0,183,..,79,46,125,3,124,..,1461,1157,2626,21,2638,..,2093,823,2914,43,2961,..,15570,5570,21143,155,21297,..,84,49,135,1671,1799,13849,15659,5619,21277,1824,36946,28130,..,..,..,..,28130,..,66,0,66,0,66,..,736,221,956,9,967,..,0,0,0,0,0,..,1670,839,2511,20,2527,..,4502,1734,6241,21,6265,..,629,314,942,3,946,..,6799,2895,9691,47,9733,..,209,43,257,3,255,..,55,0,59,0,60,..,379,17,397,3,397,..,160,10,164,3,169
SED22105,0,46,..,38,7,49,0,49,..,40,4,40,0,40,..,96,31,125,3,126,..,126,15,146,3,151,..,80,15,91,0,91,..,502,35,536,17,552,..,106,11,114,3,122,..,423,8,431,5,436,..,103,7,114,0,114,..,473,9,479,7,490,..,103,5,106,3,111,..,1103,29,1129,16,1145,..,390,65,457,3,455,..,647,72,718,0,721,..,96,20,118,7,121,..,189,40,228,0,233,..,192,94,280,3,286,..,3790,1064,4850,78,4924,..,14322,2583,16904,208,17113,..,134,26,165,2494,2654,29183,14458,2611,17067,2702,48955,57967,..,..,..,..,57967,..,177,0,180,0,177,..,811,92,903,3,904,..,3,0,3,0,3,..,237,77,307,0,309,..,855,399,1255,20,1270,..,145,40,185,0,189,..,1228,520,1746,20,1769,..,154,27,182,0,182,..,122,0,124,3,126,..,600,23,627,3,632,..,166,7,172,0,174
SED22201,0,41,..,14,0,16,0,16,..,28,3,28,0,28,..,90,12,103,0,103,..,45,11,57,0,62,..,22,3,20,0,20,..,10,0,10,0,10,..,27,6,32,0,32,..,63,0,66,4,68,..,43,3,40,0,40,..,68,0,73,0,70,..,16,0,20,0,20,..,187,7,194,4,200,..,98,13,110,0,114,..,36,0,36,0,36,..,50,4,51,0,52,..,16,4,17,0,17,..,57,19,74,0,76,..,719,565,1278,18,1298,..,3425,1040,4470,42,4511,..,74,13,81,1341,1425,24931,3504,1048,4550,1380,30871,47842,..,..,..,..,47842,..,116,4,115,0,121,..,177,20,201,0,204,..,3,0,3,0,3,..,389,127,517,3,516,..,960,359,1317,6,1327,..,82,30,112,0,112,..,1427,511,1939,8,1953,..,57,4,60,3,57,..,183,7,189,0,190,..,91,0,91,0,90,..,278,4,284,3,286
SED22305,0,47,..,64,35,98,0,94,..,39,4,36,0,38,..,214,132,350,6,354,..,225,76,303,4,308,..,151,59,209,0,210,..,285,30,309,8,321,..,753,321,1075,8,1084,..,190,7,199,0,202,..,129,15,139,3,139,..,276,10,285,5,290,..,72,13,89,0,85,..,668,45,713,12,721,..,333,83,419,4,424,..,871,233,1107,7,1112,..,56,15,66,0,66,..,231,71,300,8,304,..,606,381,989,6,1001,..,4806,2081,6885,106,6992,..,15891,5172,21064,264,21327,..,142,61,206,2289,2497,12009,16036,5234,21262,2555,35833,24556,..,..,..,..,24556,..,51,0,51,0,51,..,1790,385,2175,26,2203,..,3,0,3,0,3,..,486,201,685,8,695,..,1109,716,1818,14,1834,..,148,97,244,3,245,..,1742,1009,2746,21,2771,..,436,93,531,5,534,..,111,7,119,0,119,..,458,25,484,9,495,..,156,3,162,3,170
SED22404,0,8,..,9,0,6,0,6,..,6,0,6,0,6,..,4,0,4,0,4,..,39,7,47,0,47,..,9,0,9,0,9,..,3,0,3,0,3,..,5,0,6,0,6,..,15,0,15,0,15,..,12,0,13,5,12,..,18,0,18,0,18,..,7,0,7,0,7,..,51,0,48,5,52,..,44,4,42,0,42,..,3,0,3,0,3,..,15,0,20,0,20,..,0,0,0,0,0,..,12,0,12,0,12,..,168,29,194,10,200,..,1002,104,1113,26,1140,..,70,4,67,1954,2027,25951,1074,106,1183,1984,29115,51805,..,..,..,..,51805,..,32,0,28,0,28,..,21,0,21,0,21,..,34,0,36,0,31,..,39,13,59,0,59,..,121,38,159,3,165,..,0,3,8,0,8,..,165,50,220,3,221,..,21,5,31,0,31,..,136,0,136,3,137,..,83,0,83,0,80,..,326,0,330,3,332
SED22501,0,34,..,149,8,161,0,161,..,36,3,39,0,39,..,91,8,94,0,94,..,49,0,49,0,49,..,47,3,52,0,52,..,7,0,7,0,7,..,55,7,61,0,61,..,21,0,27,0,26,..,34,3,35,0,35,..,19,3,21,0,24,..,13,0,13,0,13,..,83,5,88,3,93,..,108,9,117,0,117,..,17,0,17,0,17,..,38,5,42,0,42,..,30,5,38,4,38,..,35,6,43,0,45,..,293,54,348,7,358,..,3198,340,3538,33,3569,..,65,3,70,949,1019,25752,3264,350,3616,984,30348,50419,..,..,..,..,50419,..,131,0,131,0,137,..,198,26,222,0,222,..,0,0,0,0,0,..,202,30,236,0,236,..,660,204,868,10,875,..,39,12,50,0,50,..,907,244,1154,10,1161,..,129,9,136,0,136,..,111,0,113,0,111,..,153,7,157,0,156,..,259,11,270,3,269
SED22607,0,110,..,63,7,61,0,65,..,109,4,114,3,118,..,70,17,85,3,89,..,77,9,78,0,83,..,55,0,53,0,53,..,6,0,6,0,6,..,57,7,63,0,63,..,70,3,74,0,74,..,68,3,68,0,71,..,82,0,84,0,84,..,32,3,36,0,34,..,251,9,260,4,258,..,318,43,362,3,361,..,61,10,69,0,69,..,88,25,110,0,110,..,202,42,242,0,243,..,518,242,759,9,770,..,1185,288,1472,41,1512,..,7810,1736,9546,123,9665,..,113,25,132,2079,2211,22759,7922,1759,9681,2200,34640,44641,..,..,..,..,44641,..,31,0,31,0,31,..,796,173,971,9,976,..,0,0,0,0,0,..,634,313,948,4,954,..,1085,296,1378,7,1394,..,102,53,150,3,153,..,1819,660,2484,16,2501,..,235,20,252,3,255,..,60,0,60,0,60,..,230,5,242,0,239,..,175,4,173,3,179
SED22704,3,14,..,18,6,21,0,21,..,22,3,23,0,22,..,0,0,0,0,0,..,13,3,14,0,14,..,11,3,17,0,17,..,5,0,5,0,5,..,3,0,4,0,4,..,57,3,54,3,62,..,6,0,6,0,6,..,68,0,67,3,72,..,17,0,17,0,17,..,144,5,149,3,153,..,23,0,21,0,23,..,7,0,7,0,7,..,43,14,55,0,55,..,12,8,22,0,22,..,7,3,12,0,11,..,189,38,231,3,233,..,1100,178,1276,29,1309,..,73,3,76,2503,2579,28111,1174,183,1355,2535,31997,56234,..,..,..,..,56234,..,13,0,15,0,15,..,53,0,54,0,59,..,3,0,3,0,3,..,43,18,64,0,64,..,122,86,204,5,212,..,63,29,92,0,92,..,231,133,362,5,372,..,29,3,30,0,35,..,55,0,58,3,59,..,53,3,57,5,61,..,175,4,178,3,176
SED22802,0,5,..,14,0,21,0,21,..,10,0,10,0,10,..,29,4,33,0,36,..,58,5,63,0,63,..,19,3,28,0,28,..,3,0,3,0,3,..,17,0,13,0,13,..,34,0,34,0,34,..,30,7,30,0,30,..,58,0,58,0,59,..,17,0,15,0,15,..,136,5,144,0,145,..,72,7,79,0,79,..,8,0,8,0,8,..,54,14,64,0,64,..,10,0,13,0,13,..,38,7,44,0,44,..,335,132,468,6,474,..,2063,396,2455,23,2480,..,56,11,59,1175,1239,25382,2116,403,2518,1198,29105,50097,..,..,..,..,50097,..,69,0,70,0,70,..,82,10,92,0,96,..,4,0,4,0,4,..,114,37,149,0,149,..,334,112,447,3,452,..,13,3,20,0,20,..,464,150,616,3,619,..,59,11,74,0,74,..,217,0,223,3,221,..,96,4,99,0,99,..,249,7,258,3,259
SED22901,3,176,..,19,3,21,0,24,..,17,0,17,0,17,..,106,18,125,0,125,..,85,11,101,0,101,..,46,3,53,3,49,..,3,0,3,0,3,..,52,11,66,0,67,..,92,3,95,0,94,..,139,8,152,0,153,..,141,4,141,0,148,..,47,0,47,0,47,..,414,21,430,3,435,..,108,12,122,0,119,..,223,11,232,3,235,..,63,10,73,0,73,..,28,4,33,0,33,..,170,55,227,0,229,..,615,142,760,19,783,..,7079,1468,8544,72,8612,..,79,14,88,908,999,19954,7154,1480,8630,979,29563,39203,..,..,..,..,39203,..,76,0,76,0,78,..,260,26,290,0,290,..,3,0,3,0,3,..,1949,511,2455,19,2475,..,3131,1062,4192,22,4212,..,310,49,355,0,355,..,5385,1615,7000,46,7047,..,85,3,91,0,91,..,120,6,117,0,124,..,111,3,118,0,118,..,320,9,326,5,331
SED23007,0,103,..,332,148,476,3,483,..,373,46,423,4,428,..,70,16,87,0,87,..,154,38,193,0,193,..,51,5,57,0,57,..,100,3,104,0,109,..,155,47,201,3,207,..,267,9,279,3,279,..,123,17,143,0,145,..,393,5,395,3,405,..,73,4,74,0,74,..,861,45,900,9,904,..,436,108,543,7,545,..,122,33,156,0,156,..,128,28,162,0,159,..,253,79,333,4,331,..,4528,2505,7036,49,7077,..,1984,650,2640,53,2690,..,15756,5659,21413,191,21604,..,87,36,129,2617,2744,15733,15842,5699,21543,2804,40082,32308,..,..,..,..,32308,..,19,0,18,0,22,..,896,139,1038,12,1054,..,7,0,7,0,12,..,1813,895,2703,15,2719,..,2072,754,2819,20,2842,..,313,115,432,3,437,..,4197,1767,5962,38,5997,..,516,147,661,3,660,..,43,0,43,0,43,..,168,5,177,3,177,..,144,13,155,3,159
SED23101,3,253,..,36,3,37,0,44,..,19,0,19,0,19,..,141,46,184,0,184,..,85,11,97,0,97,..,76,14,92,0,92,..,3,0,3,0,5,..,33,3,40,0,40,..,92,3,89,0,89,..,175,15,192,3,196,..,92,3,95,0,95,..,50,0,54,0,54,..,414,26,441,3,438,..,137,18,155,0,159,..,264,16,274,3,279,..,90,11,97,0,98,..,19,0,21,0,21,..,328,122,452,3,455,..,592,115,708,18,718,..,9900,2568,12475,82,12552,..,88,16,102,921,1026,17228,9988,2589,12572,1004,30810,33732,..,..,..,..,33732,..,48,0,48,0,48,..,206,26,233,0,236,..,3,0,3,0,3,..,2832,815,3646,19,3664,..,5396,2090,7485,29,7514,..,404,132,534,0,532,..,8627,3031,11658,49,11708,..,92,15,104,0,104,..,86,0,88,0,86,..,161,4,166,3,170,..,256,3,260,5,264
SED23205,0,26,..,6,0,12,0,12,..,9,0,9,0,9,..,17,0,21,0,21,..,67,9,72,0,72,..,123,36,155,0,155,..,30,7,37,0,37,..,71,7,72,0,72,..,67,0,67,0,70,..,51,3,55,0,55,..,99,3,99,0,104,..,29,0,33,0,33,..,248,13,253,3,262,..,114,24,142,3,142,..,30,3,27,0,27,..,67,19,88,0,84,..,22,0,26,0,26,..,40,13,50,0,53,..,715,136,850,20,872,..,3093,535,3631,44,3679,..,106,15,121,2044,2167,25717,3199,547,3750,2092,31563,50075,..,..,..,..,50075,..,59,0,56,0,56,..,175,29,204,9,215,..,3,0,3,0,3,..,185,50,233,5,237,..,452,177,636,3,639,..,23,6,32,0,32,..,661,240,902,8,906,..,115,14,127,0,126,..,139,3,141,0,142,..,152,3,157,3,161,..,316,7,322,3,323
SED23308,0,25,..,57,9,72,0,68,..,14,0,14,0,14,..,59,9,70,0,70,..,41,0,43,3,44,..,19,0,20,0,20,..,4,0,4,0,4,..,49,10,60,4,63,..,53,0,53,0,53,..,37,3,39,0,39,..,63,3,65,0,65,..,25,0,25,0,25,..,180,3,186,0,186,..,86,9,97,3,101,..,14,0,13,0,13,..,43,8,47,0,47,..,14,5,13,0,13,..,47,12,65,0,66,..,383,58,446,9,453,..,2607,420,3029,54,3084,..,94,3,96,1857,1953,27855,2699,423,3126,1911,32889,53067,..,..,..,..,53067,..,33,0,33,0,33,..,132,23,157,3,158,..,9,0,9,0,9,..,115,23,134,0,136,..,467,136,607,12,618,..,38,27,60,0,60,..,619,190,808,11,819,..,187,29,214,0,214,..,115,3,119,4,123,..,124,0,127,4,129,..,196,3,196,0,204
SED23402,0,36,..,9,3,15,0,12,..,31,3,32,0,32,..,20,3,20,0,20,..,62,8,74,0,74,..,47,8,49,0,55,..,29,0,31,0,35,..,73,8,82,0,82,..,68,0,68,0,70,..,39,0,39,0,39,..,75,0,79,0,79,..,29,0,29,0,29,..,212,0,208,0,210,..,151,8,159,4,164,..,70,9,82,0,82,..,32,3,37,0,37,..,27,5,38,0,38,..,27,4,34,0,32,..,687,108,794,21,818,..,3636,451,4084,53,4137,..,75,8,83,1620,1703,28895,3710,455,4169,1674,34736,57056,..,..,..,..,57056,..,138,0,138,0,138,..,313,47,358,0,360,..,7,0,7,0,7,..,108,20,123,3,130,..,436,199,636,4,638,..,26,12,44,0,44,..,565,235,805,5,808,..,147,8,154,5,160,..,209,3,214,0,214,..,263,11,271,0,271,..,251,7,252,3,256
SED23502,0,7,..,4,0,4,0,4,..,12,0,12,0,12,..,7,0,7,0,7,..,19,3,22,0,26,..,7,4,9,0,9,..,0,0,0,0,0,..,12,0,12,0,12,..,42,4,44,0,44,..,10,0,10,0,10,..,43,0,46,0,51,..,10,0,10,0,10,..,104,5,112,0,115,..,23,3,26,0,26,..,6,0,6,0,6,..,21,3,27,0,29,..,3,0,3,0,3,..,28,22,44,0,44,..,148,29,175,3,173,..,879,136,1012,22,1031,..,80,3,78,2386,2470,26605,956,138,1088,2408,30099,52413,..,..,..,..,52413,..,46,0,46,0,41,..,13,0,16,0,16,..,13,0,13,0,13,..,41,7,49,0,50,..,99,60,157,0,157,..,12,7,20,0,20,..,152,71,225,3,223,..,18,3,24,0,24,..,89,0,96,4,95,..,48,3,55,4,55,..,180,4,188,4,186
