SED_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SED22105,4176,733,52,0,4,4958,15884,1211,72,3,14,17177,3785,824,178,0,11,4795,266,60,37,0,4,369,959,144,23,3,0,1126,30,11,10,0,0,53,83,20,3,0,0,106,74,6,0,0,0,77,5196,1067,250,3,17,6523,141,90,7,0,0,234,662,119,23,0,5,812,26058,3209,396,8,43,29711
SED22201,6792,385,21,0,9,7207,8165,491,147,0,12,8811,2746,513,147,4,9,3431,277,105,20,0,0,409,769,79,18,4,8,875,58,22,11,0,0,88,45,13,0,0,0,59,57,8,0,0,0,67,3954,744,198,7,24,4923,143,54,0,0,3,202,428,66,12,0,11,518,19485,1730,377,6,57,21658
SED22305,5564,763,182,57,3,6578,5385,1142,362,61,8,6954,2612,1938,1488,66,24,6129,535,483,209,30,7,1268,975,336,162,17,3,1490,33,45,70,0,0,151,221,52,43,59,3,377,80,37,26,3,0,149,4455,2896,1994,183,34,9554,92,45,31,4,0,168,582,241,121,34,26,1006,16083,5084,2686,338,73,24267
SED22404,7843,179,19,177,58,8268,8434,84,21,35,35,8622,1419,141,62,12,6,1638,159,50,8,0,0,225,957,36,16,12,8,1034,26,20,3,0,0,48,159,12,3,59,9,232,137,4,7,4,3,157,2851,269,102,87,33,3337,176,11,3,3,0,192,606,40,11,62,16,735,19912,579,152,363,140,21144
SED22501,7472,399,179,3,9,8061,8426,543,120,6,8,9105,1138,431,180,5,3,1753,79,49,7,0,0,142,410,100,22,3,9,545,6,40,16,0,0,59,19,23,0,0,0,38,28,18,4,0,0,52,1678,657,239,8,11,2592,69,35,32,0,0,133,288,51,26,0,3,363,17930,1682,589,19,30,20255
SED22607,5342,1187,694,18,14,7257,4424,1543,1150,19,20,7161,1248,1621,3873,47,30,6815,45,169,1546,0,7,1762,466,317,501,16,8,1312,51,18,92,0,0,165,30,6,33,4,3,80,42,25,45,0,0,120,1876,2162,6095,66,44,10241,62,35,64,0,0,165,276,113,336,0,15,745,11986,5040,8341,105,100,25571
SED22704,9163,134,148,119,50,9618,8156,34,51,28,31,8302,1972,137,300,9,15,2431,438,84,88,0,0,606,1243,35,76,22,19,1390,20,24,21,0,0,70,416,21,17,51,7,514,181,7,8,4,3,201,4270,306,514,86,38,5211,139,30,62,3,6,242,707,35,44,21,13,815,22429,541,817,255,141,24191
SED22802,6087,394,21,27,12,6544,9117,270,0,6,22,9416,1429,383,10,3,13,1836,119,57,3,0,0,178,633,60,3,0,7,707,22,13,3,0,3,39,56,0,0,30,0,89,49,8,0,0,0,59,2314,517,18,35,27,2910,105,68,26,0,3,201,365,57,3,0,3,438,17986,1300,75,80,69,19510
SED22901,6566,671,51,81,5,7373,7282,686,35,4,7,8005,2149,440,100,0,8,2698,185,107,45,0,0,329,570,91,6,5,3,678,22,25,32,3,0,76,37,8,8,40,6,98,54,6,5,0,0,66,3013,672,185,46,21,3948,58,328,47,0,0,437,318,100,22,4,7,450,17240,2454,342,142,42,20211
SED23007,5575,1057,384,14,11,7036,4868,2322,1012,23,18,8250,2538,2078,3655,24,34,8330,507,705,268,0,8,1483,1055,486,438,20,16,2009,44,51,120,0,0,210,141,62,90,10,3,315,87,35,28,3,0,154,4376,3408,4594,55,64,12503,80,36,33,0,0,149,579,215,207,6,22,1025,15477,7036,6228,98,112,28953
SED23101,7745,1105,85,3,4,8936,6033,849,48,4,11,6942,1939,617,61,10,8,2637,167,172,18,0,0,360,629,170,39,0,4,849,39,34,87,0,0,156,74,15,30,4,0,115,62,13,17,0,0,94,2905,1032,247,12,12,4203,95,160,74,0,0,320,330,75,38,0,5,446,17101,3213,485,17,31,20852
SED23205,5942,682,85,28,11,6738,7034,641,103,7,8,7796,3381,1512,558,10,15,5474,470,297,40,0,3,811,937,307,73,9,10,1330,55,52,5,0,0,111,64,30,6,11,0,116,69,30,11,0,0,105,4982,2225,690,28,27,7953,86,319,23,0,0,431,512,155,47,3,6,726,18553,4026,938,74,49,23637
SED23308,7023,834,212,82,22,8171,6929,635,189,17,15,7778,3117,1670,847,24,26,5679,438,322,96,0,0,857,1094,340,117,14,4,1573,126,135,32,0,0,297,111,25,17,77,0,231,72,23,11,5,0,112,4963,2520,1130,113,31,8752,124,14,8,6,0,150,478,126,56,8,11,680,19510,4120,1597,230,73,25531
SED23402,5634,787,64,20,18,6517,10320,534,11,6,18,10887,2786,756,4,9,8,3557,88,22,3,0,0,115,610,88,3,4,4,715,12,35,0,0,0,51,50,12,0,29,0,93,49,14,0,0,0,65,3593,921,16,38,15,4592,90,193,80,3,0,361,378,107,14,0,15,515,20010,2546,186,74,61,22868
SED23502,9550,162,90,197,61,10060,6744,43,17,24,48,6878,2035,232,134,17,20,2439,425,119,51,0,5,600,1176,43,14,22,29,1280,97,20,13,0,4,133,244,10,13,43,8,318,173,7,12,4,5,192,4144,427,240,84,69,4959,167,8,3,6,9,189,636,35,16,21,70,782,21243,674,365,334,251,22866
SED23602,8381,176,129,95,27,8810,6850,56,41,34,23,7002,1849,257,228,8,13,2352,304,109,68,0,0,483,1071,35,45,7,9,1170,66,39,27,0,0,126,349,12,4,32,5,397,183,8,9,3,0,206,3814,458,390,48,31,4738,129,26,19,3,3,178,552,43,24,12,7,645,19727,763,597,193,93,21368
SED23702,6327,664,13,95,9,7110,10266,734,39,7,9,11056,1794,1130,63,8,5,2994,242,135,0,0,0,378,779,203,12,7,0,1012,21,20,0,0,0,40,213,25,0,98,0,337,72,22,0,4,0,101,3119,1543,77,118,13,4858,108,95,0,3,3,211,475,107,4,9,3,603,20293,3141,131,230,35,23837
SED23806,5065,1695,1228,12,17,8011,3589,1336,1512,7,14,6463,934,1260,5530,42,35,7800,0,31,168,0,3,197,320,312,809,11,10,1465,11,40,90,0,3,138,18,20,65,3,3,102,53,24,44,0,3,127,1339,1681,6702,55,60,9836,58,28,94,0,3,182,155,103,317,3,6,592,10204,4846,9850,78,106,25086
SED23901,7085,988,343,9,26,8445,5629,1227,367,4,13,7248,1927,1280,1142,6,20,4387,469,444,234,0,13,1157,596,295,180,8,3,1079,27,49,88,0,0,166,145,36,8,0,0,187,57,23,22,0,0,98,3228,2125,1674,18,42,7083,68,57,36,0,0,165,412,148,59,0,14,628,16426,4535,2474,34,94,23564
SED24006,6930,1618,568,12,20,9152,4868,1076,482,9,13,6453,1521,1179,1391,14,9,4117,20,7,30,0,0,58,487,271,178,5,6,947,16,21,12,0,0,40,39,4,8,0,0,48,61,24,14,0,0,97,2137,1511,1627,22,23,5314,77,30,43,0,3,158,305,73,78,3,9,467,14321,4315,2799,47,66,21535
SED24105,6727,658,190,27,13,7606,7432,847,230,5,9,8516,2083,795,457,0,16,3351,211,98,58,0,0,361,779,144,46,6,12,987,28,7,12,0,0,42,150,12,11,43,3,212,62,12,11,4,0,84,3305,1068,587,51,32,5042,86,29,28,4,3,147,511,110,48,6,3,680,18062,2712,1076,91,53,21997
SED24207,6004,356,34,30,6,6434,10948,739,47,5,9,11750,2795,636,102,3,10,3549,280,54,15,0,0,356,955,120,17,4,0,1099,48,21,6,0,0,76,121,16,3,66,0,210,64,11,0,0,0,72,4268,850,150,81,13,5360,114,48,11,0,0,175,683,63,17,3,4,772,22026,2063,252,122,25,24491
SED24308,7174,327,76,25,13,7610,7156,369,80,6,15,7623,3161,916,219,4,23,4323,951,427,32,0,0,1404,1058,111,41,3,0,1220,118,65,7,0,0,195,128,34,7,46,9,225,98,20,7,11,7,141,5504,1579,318,66,39,7508,124,10,3,11,4,151,663,103,26,0,8,797,20621,2382,499,110,71,23684
SED24408,9750,209,107,59,58,10192,6317,62,33,28,37,6485,1593,175,290,7,12,2079,308,110,93,0,4,517,1309,52,42,14,17,1433,42,59,20,0,5,127,310,26,15,10,18,376,216,16,10,3,10,247,3774,437,470,35,72,4791,174,31,4,11,7,231,615,41,30,15,23,714,20633,782,652,138,202,22404
SED24504,7470,193,46,40,40,7789,8614,110,24,31,36,8809,1281,226,54,16,8,1586,124,48,28,0,0,205,815,79,23,18,21,951,43,44,12,0,0,97,91,9,3,12,0,113,97,3,0,0,4,105,2443,415,120,51,28,3051,89,8,0,5,3,104,465,27,3,8,30,531,19073,744,198,141,130,20288
SED24606,4853,1769,1359,19,15,8020,3469,1222,1246,24,18,5982,815,1050,4083,129,23,6102,7,60,115,0,4,186,315,288,655,25,6,1299,7,33,118,3,3,168,17,15,44,0,0,85,25,29,34,0,0,93,1186,1476,5051,161,43,7918,59,62,71,3,0,199,210,102,201,5,4,523,9781,4632,7936,209,81,22641
SED24703,607,2321,3795,18,38,6782,454,2095,4879,15,40,7482,346,2789,19233,50,174,22591,54,318,2203,0,16,2596,152,922,3665,36,33,4806,11,60,510,0,0,584,16,30,654,8,20,720,9,51,229,7,11,306,588,4178,26494,95,251,31610,24,50,306,7,8,396,54,217,1126,48,38,1485,1723,8861,36604,189,378,47756
SED24808,5968,535,9,17,13,6547,11169,843,15,4,17,12050,3530,1053,34,11,12,4635,320,164,42,0,3,532,1044,215,21,6,3,1285,63,96,3,0,0,157,91,39,0,15,0,143,76,21,0,0,0,99,5125,1585,108,26,16,6851,125,20,0,0,4,146,667,129,3,0,12,815,23053,3106,137,49,63,26407
SED24904,7380,407,123,137,46,8098,6920,167,61,18,27,7196,2239,617,479,10,10,3355,512,179,211,3,0,901,1396,130,96,24,11,1660,81,22,80,0,3,188,336,22,39,85,6,493,181,10,16,3,4,219,4742,978,926,123,35,6803,136,93,7,0,4,242,671,97,96,24,18,908,19853,1737,1220,296,133,23241
SED25003,5221,819,74,0,4,6118,8746,1385,41,0,9,10186,2327,1055,181,0,8,3575,189,41,0,0,0,235,565,133,8,0,3,707,28,6,0,0,0,33,84,10,0,0,0,92,43,11,0,0,0,53,3231,1263,194,0,12,4701,119,38,28,0,0,190,412,77,21,3,0,514,17737,3584,353,6,25,21703
SED25102,6452,114,14,3,21,6612,9906,104,31,4,18,10063,1066,141,21,9,5,1237,61,28,3,0,0,93,640,31,0,3,12,685,26,24,0,0,3,51,47,0,0,0,0,43,52,9,0,0,3,61,1884,224,28,7,23,2178,84,50,3,0,0,143,335,27,0,0,5,365,18669,514,78,25,76,19364
SED25205,5317,1526,917,10,19,7789,6164,2000,1159,13,32,9367,1156,1226,1506,31,18,3935,113,102,173,0,3,391,344,265,248,13,9,874,18,16,43,0,5,78,16,10,17,0,6,52,27,18,20,0,0,70,1677,1627,2012,42,38,5397,67,25,90,0,0,183,282,118,136,3,7,543,13512,5289,4314,68,95,23276
SED25302,7089,863,823,91,12,8876,7867,401,402,0,18,8686,1506,349,623,0,3,2487,169,3,162,0,0,337,489,75,143,0,4,706,21,3,6,0,0,33,41,3,5,21,0,78,56,11,14,4,0,80,2285,444,956,27,15,3721,238,46,46,0,0,330,367,56,93,8,6,535,17844,1804,2318,128,53,22143
SED25402,8202,261,154,54,14,8682,8386,109,90,8,14,8606,2634,382,599,3,11,3635,550,214,183,0,3,949,1062,64,72,4,8,1211,65,48,29,0,0,149,83,19,7,9,12,127,70,15,12,0,3,96,4460,747,909,26,32,6173,99,42,5,0,0,148,620,63,69,5,40,791,21766,1220,1223,92,97,24396
SED25501,7732,582,1026,0,11,9355,4604,549,878,0,11,6043,2394,529,949,6,13,3881,78,18,38,0,0,139,691,117,197,3,7,1012,16,3,20,0,0,43,55,10,9,0,0,74,50,3,10,0,0,71,3286,678,1227,6,20,5224,79,12,17,0,0,109,342,49,50,3,11,450,16051,1864,3197,14,56,21182
SED25605,7563,453,260,16,4,8291,5603,784,265,0,5,6658,2314,840,623,3,8,3786,253,54,77,0,0,383,636,148,75,4,3,869,24,7,3,0,0,40,65,21,12,59,0,158,51,15,4,4,0,76,3349,1081,794,73,13,5313,68,131,76,5,4,285,454,114,67,8,7,645,17028,2565,1467,96,37,21192
SED25704,8765,218,165,95,36,9284,7029,87,37,18,49,7224,1788,348,392,8,11,2543,511,165,138,0,0,814,1446,87,78,15,21,1651,60,36,25,0,0,122,297,12,11,43,6,379,173,9,13,3,3,207,4274,653,665,77,44,5714,162,22,21,0,3,202,636,55,63,10,17,796,20873,1040,950,201,155,23216
SED25802,8381,310,389,95,32,9212,8784,95,53,14,24,8971,2221,420,311,8,15,2973,346,165,85,0,0,600,1163,100,73,8,9,1346,44,27,12,0,0,83,128,23,20,48,5,217,116,16,12,0,0,147,4021,742,515,61,26,5362,131,16,52,0,0,198,569,68,53,11,12,711,21884,1233,1056,183,101,24457
SED25905,5693,409,63,15,0,6183,8939,660,52,3,5,9669,2379,441,90,5,3,2917,357,31,11,0,3,410,735,74,18,0,4,830,30,10,0,0,0,37,73,7,0,85,0,172,45,13,0,0,0,54,3625,576,120,95,10,4427,77,11,0,0,0,83,519,47,8,6,3,580,18855,1693,245,115,29,20937
SED26005,4458,225,4,4,3,4697,12719,555,17,9,3,13305,3361,303,25,3,3,3703,192,28,22,3,0,243,789,51,8,0,0,849,16,0,0,0,0,16,105,4,0,3,0,108,60,4,0,0,0,67,4524,391,58,10,9,4985,71,17,0,0,0,94,513,35,4,0,5,560,22285,1218,91,26,25,23643
SED26102,9161,699,138,131,34,10159,6341,240,22,18,12,6626,2895,522,104,9,8,3539,122,76,11,0,0,211,1035,102,20,20,15,1189,32,31,0,0,0,62,109,15,4,60,5,187,143,14,13,3,0,167,4333,752,152,92,30,5354,179,185,9,0,12,381,714,96,36,25,6,882,20732,1973,356,267,89,23407
SED26207,8122,1272,224,44,10,9670,5096,1427,137,30,11,6703,1607,1149,330,35,14,3133,61,73,27,0,0,160,517,202,73,5,4,806,7,9,4,0,0,26,40,11,3,0,0,56,61,19,7,0,0,86,2294,1472,438,45,19,4276,64,81,15,3,0,162,449,122,23,6,9,610,16025,4367,838,127,57,21415
SED26303,5330,1209,398,23,18,6977,4419,1725,1058,31,15,7250,1684,2256,3426,72,40,7476,112,288,397,0,0,804,586,423,345,36,12,1400,40,45,32,0,0,118,29,17,16,5,4,74,80,30,28,0,0,137,2526,3064,4254,115,52,10011,60,28,23,0,0,122,341,130,168,8,13,648,12680,6160,5895,167,101,25011
SED26406,5438,1407,464,4,11,7328,4372,1728,1069,7,17,7197,1935,2129,3952,12,35,8057,56,187,170,0,0,409,745,538,480,8,8,1779,26,64,40,0,0,124,60,32,63,3,16,177,60,33,31,0,0,125,2878,2974,4738,21,63,10677,70,47,45,0,0,167,317,156,142,0,13,637,13077,6313,6463,35,109,25994
SED26504,8370,286,111,61,71,8897,6476,108,39,16,31,6672,1821,503,167,4,12,2509,449,174,79,0,3,697,1137,166,54,15,15,1382,27,40,9,0,0,78,161,18,24,30,14,235,135,22,11,3,4,185,3725,920,335,50,43,5077,118,41,21,0,5,183,661,79,40,5,16,800,19347,1434,545,139,164,21630
SED26603,7306,1194,290,11,16,8823,5719,2458,410,17,30,8632,2161,3279,960,26,24,6446,171,269,88,8,0,534,741,520,112,9,14,1392,19,38,17,0,0,76,74,45,15,3,3,153,80,44,10,0,0,133,3252,4186,1200,48,46,8733,97,29,14,0,3,143,455,248,62,7,11,777,16822,8120,1976,79,103,27103
SED26708,8713,185,57,45,63,9053,7454,39,21,22,42,7586,1486,221,63,19,9,1803,237,91,66,0,0,395,1382,86,30,16,15,1535,55,25,6,0,0,89,356,19,5,30,8,412,218,13,4,3,7,240,3732,459,173,65,38,4471,163,13,7,0,0,188,603,42,13,13,18,685,20669,735,275,147,158,21983
SED26806,1326,1715,3064,13,20,6134,867,1450,4246,17,16,6600,513,1513,13663,72,30,15790,5,92,1288,0,0,1390,171,445,2022,15,15,2678,4,3,125,0,0,140,12,25,99,0,6,143,21,40,119,3,3,192,724,2120,17329,92,58,20325,26,24,127,0,3,185,80,128,681,7,21,912,3028,5437,25448,118,117,34152
