SED_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SED22005,30850,31237,62092,12238,7108,19341,4625,6489,11113,775,807,1583,1546,1348,2896,19187,15756,34938,10024,13785,23811,8.1,8.6,8.3,62.2,50.4,56.3,57.2,46.1,51.6,2179,1977,4153,428,609,1034,5096,5844,10940,2674,2891,5560,4312,1946,6263,187,248,431,342,522,863,4839,2717,7555,27795,28218,56009,6266,5928,12191,18254,19070,37328,14465,13711,28176
SED22105,35530,36896,72425,19355,10077,29430,4199,8874,13075,1034,1286,2317,1580,1785,3365,26169,22022,48188,7314,12761,20075,6,8.1,7,73.7,59.7,66.5,69.2,54.8,61.9,1333,1385,2716,329,624,957,3547,4771,8323,3395,4364,7763,8556,4809,13363,308,552,861,506,803,1308,9364,6169,15527,35884,36470,72350,7813,8134,15946,18728,18888,37614,21754,22586,44346
SED22201,22582,25589,48174,11401,6398,17797,2809,6965,9774,605,780,1382,793,708,1503,15612,14844,30453,6000,9549,15550,5.1,4.8,4.9,69.1,58,63.2,65.6,55.3,60.1,922,950,1866,469,851,1319,2881,4223,7107,2115,2944,5060,5656,2707,8359,149,296,443,338,586,922,6147,3588,9727,22328,24443,46775,3665,4007,7673,15080,16555,31631,9764,10894,20661
SED22305,31779,28994,60771,12126,5289,17416,4108,4865,8977,974,717,1690,2023,1517,3533,19228,12385,31616,10144,14511,24658,10.5,12.2,11.2,60.5,42.7,52,54.1,37.5,46.2,962,893,1854,202,377,582,2862,3377,6246,2581,2712,5291,5224,2519,7749,294,352,643,444,588,1033,5964,3463,9425,28743,27057,55805,6305,5177,11484,17713,17819,35530,15483,12672,28149
SED22404,23681,24041,47717,10148,4760,14905,3003,6668,9674,864,898,1762,686,591,1272,14698,12919,27617,7186,9413,16600,4.7,4.6,4.6,62.1,53.7,57.9,59.2,51.3,55.2,501,586,1090,322,718,1040,1856,3031,4887,1714,2856,4567,7177,2885,10062,191,382,570,373,621,991,7745,3885,11629,23338,23177,46509,3013,3277,6291,16629,16380,33012,8526,9016,17538
SED22501,22961,24843,47805,11985,6200,18180,3176,8043,11218,579,877,1454,733,660,1396,16463,15782,32246,5702,8192,13896,4.5,4.2,4.3,71.7,63.5,67.5,68.6,60.9,64.5,1446,1496,2941,698,1239,1937,4253,5375,9632,2354,2890,5240,5208,2007,7216,127,250,375,348,553,898,5679,2804,8484,24211,25487,49695,2630,2895,5526,18400,19307,37708,7561,8214,15774
SED22607,26638,29197,55839,13052,8808,21861,3743,7363,11111,625,958,1584,1169,1047,2220,18598,18178,36773,6221,9082,15299,6.3,5.8,6,69.8,62.3,65.9,65.4,58.7,61.9,2319,2445,4762,767,1446,2216,6238,7464,13701,2279,2763,5043,3694,1634,5330,156,198,352,321,492,810,4173,2324,6493,23878,25776,49654,5227,5606,10840,15862,17161,33020,12405,13308,25713
SED22704,26615,26791,53409,10774,5215,15993,2876,6386,9262,953,906,1860,784,772,1558,15392,13282,28673,9040,11298,20336,5.1,5.8,5.4,57.8,49.6,53.7,54.9,46.7,50.8,344,432,778,261,625,882,1402,2639,4038,1766,2793,4559,7402,3183,10589,218,482,697,391,611,1005,8011,4272,12286,24887,24805,49696,3819,3918,7734,17863,17582,35445,9539,10025,19560
SED22802,22597,23695,46292,11891,5695,17589,2689,7237,9921,707,857,1568,662,702,1362,15952,14489,30442,5625,8122,13742,4.1,4.8,4.5,70.6,61.1,65.8,67.7,58.2,62.8,443,506,949,308,595,904,1980,2995,4981,1821,3058,4878,7231,3048,10279,157,358,520,341,558,899,7732,3971,11700,23286,23974,47259,2790,3031,5821,16784,17107,33894,8320,8905,17230
SED22901,22938,24973,47914,11143,6253,17391,2998,6489,9491,559,725,1283,924,821,1744,15621,14287,29909,6483,9775,16259,5.9,5.7,5.8,68.1,57.2,62.4,64.1,53.9,58.8,1232,1176,2406,412,680,1088,3705,4397,8106,2049,2769,4816,5046,2381,7422,170,278,454,305,565,872,5525,3222,8745,22876,24356,47229,3128,3348,6483,16623,17637,34253,8556,9184,17736
SED23007,34852,33837,68684,14262,8834,23099,5477,7056,12532,933,983,1909,2265,1989,4256,22934,18865,41791,9334,12506,21834,9.9,10.5,10.2,65.8,55.8,60.8,59.3,49.9,54.7,2339,2101,4438,564,1000,1563,6180,6642,12828,2909,2870,5771,4220,2249,6463,237,303,537,380,492,876,4839,3044,7880,29676,29318,58996,7361,6753,14113,17862,18544,36402,17526,16025,33552
SED23101,23528,25902,49431,10018,5682,15695,3408,6368,9777,472,627,1092,995,892,1881,14887,13563,28451,7816,11367,19188,6.7,6.6,6.6,63.3,52.4,57.6,59.1,48.9,53.7,2212,1943,4156,556,844,1406,5054,5823,10882,2313,2736,5051,3290,1454,4747,102,184,289,314,513,828,3707,2157,5864,23400,25337,48732,3601,3631,7234,17145,18568,35716,9041,9607,18646
SED23205,24163,26422,50587,10351,5607,15956,2963,6365,9328,642,801,1442,1122,1049,2166,15070,13823,28886,7350,10722,18065,7.4,7.6,7.5,62.4,52.3,57.1,57.8,48.3,52.8,629,673,1303,354,689,1040,2232,3416,5654,2142,3030,5169,6234,3224,9457,203,383,584,399,633,1031,6830,4247,11079,22493,23975,46467,4064,4306,8369,14929,15859,30781,10465,11403,21866
SED23308,24683,27803,52486,10773,6281,17047,3482,7455,10938,701,934,1636,1035,877,1911,15991,15546,31538,7160,10549,17710,6.5,5.6,6.1,64.8,55.9,60.1,60.6,52.8,56.4,1083,1147,2231,505,1010,1512,3545,4902,8441,1966,2979,4944,5678,3066,8746,192,316,507,322,481,807,6199,3865,10061,22688,24751,47444,4474,5070,9542,15192,16848,32034,10911,12048,22958
SED23402,26155,27742,53900,13886,7003,20883,3187,8047,11226,731,902,1638,884,930,1816,18689,16879,35570,6063,9431,15491,4.7,5.5,5.1,71.5,60.8,66,68.1,57.5,62.6,753,799,1560,364,773,1138,2557,3857,6409,2348,3470,5821,7553,3560,11114,182,408,592,375,654,1030,8118,4626,12739,25891,26673,52564,4848,5166,10014,16318,16521,32839,12842,13925,26768
SED23502,24149,25248,49403,8247,4225,12475,2823,6107,8928,895,926,1822,855,650,1504,12818,11915,24727,9258,11144,20399,6.7,5.5,6.1,53.1,47.2,50.1,49.5,44.6,47,295,365,666,255,624,879,1340,2575,3913,1515,2532,4045,7099,3047,10141,211,471,682,415,574,990,7719,4092,11812,22677,23243,45918,3399,3722,7118,16150,16166,32318,8780,9610,18387
SED23602,23339,23614,46948,8986,4338,13329,2609,6048,8654,789,826,1617,827,629,1461,13214,11843,25059,8285,9892,18177,6.3,5.3,5.8,56.6,50.2,53.4,53.1,47.5,50.3,330,441,769,251,610,866,1499,2600,4097,1470,2305,3770,6607,2871,9475,184,364,552,342,531,871,7133,3764,10895,21479,22063,43542,3274,3526,6796,15113,15330,30450,8521,9216,17731
SED23702,27069,28365,55432,14027,6785,20805,3187,8370,11549,798,986,1780,871,920,1795,18876,17057,35939,6668,9707,16379,4.6,5.4,5,69.7,60.1,64.8,66.5,56.9,61.6,283,423,701,285,602,887,1532,2868,4403,1987,3314,5303,9192,4204,13402,197,464,662,426,693,1118,9817,5362,15175,26621,27527,54155,4174,4114,8291,18576,19044,37622,10945,11602,22543
SED23806,26006,28902,54912,12528,8662,21194,4009,7281,11297,613,853,1463,1071,963,2029,18216,17762,35983,6394,9603,15998,5.9,5.4,5.6,70,61.5,65.5,65.9,58.1,61.8,3929,3602,7533,895,1597,2491,8273,9287,17558,2047,2694,4739,1867,1072,2942,88,148,234,210,466,679,2172,1689,3857,22713,24823,47533,6055,6461,12521,13929,15496,29431,14182,15191,29366
SED23901,25237,27412,52645,11670,6821,18488,3513,7086,10593,589,818,1409,1026,937,1964,16796,15666,32457,6962,10138,17103,6.1,6,6.1,66.6,57.2,61.7,62.5,53.7,57.9,2563,2377,4942,797,1382,2179,5563,6530,12094,2139,2609,4750,3722,1702,5423,129,203,332,321,482,806,4171,2393,6562,24102,25799,49900,4248,4372,8619,16632,18057,34686,10622,11055,21679
SED24006,24719,27512,52229,10961,6709,17672,3885,7069,10954,562,717,1278,945,816,1761,16357,15310,31665,7080,10857,17936,5.8,5.3,5.6,66.2,55.6,60.6,62.3,52.7,57.3,3202,2719,5916,780,1271,2051,7190,7961,15156,1842,2700,4540,1902,950,2848,80,172,251,233,438,665,2215,1559,3771,23795,25818,49609,4171,4596,8767,16400,17801,34199,11034,12060,23099
SED24105,28055,28900,56953,12122,7045,19162,3762,5979,9743,750,758,1513,1465,1310,2770,18094,15087,33184,8670,12472,21148,8.1,8.7,8.3,64.5,52.2,58.3,59.3,47.7,53.4,1088,1083,2174,305,475,776,3594,3884,7480,2376,2640,5010,4440,2127,6569,162,288,450,375,479,851,4975,2896,7869,27732,28526,56254,4512,4429,8939,18817,19435,38257,12093,12044,24138
SED24207,31829,32493,64320,14311,7837,22152,3938,7060,11005,1022,1020,2047,1754,1673,3432,21033,17598,38624,8908,12989,21894,8.3,9.5,8.9,66.1,54.2,60,60.5,49,54.7,1043,1012,2058,280,499,773,3848,5044,8898,2457,2998,5453,5350,2867,8219,260,355,614,474,691,1173,6083,3918,10001,32821,33436,66258,4531,4629,9161,22370,22899,45270,12617,12902,25519
SED24308,26117,27173,53287,10288,5196,15484,2757,6433,9194,755,852,1607,1335,1065,2400,15133,13552,28681,9220,11710,20930,8.8,7.9,8.4,57.9,49.9,53.8,52.8,45.9,49.3,404,446,843,209,466,676,1664,2547,4209,1688,2384,4078,6286,3570,9852,234,436,670,364,540,902,6876,4544,11419,24224,25488,49710,4061,4404,8467,16788,17425,34213,10178,11196,21378
SED24408,22775,23916,46690,9883,4768,14649,2637,6214,8849,769,876,1645,703,518,1221,13995,12370,26364,7220,9908,17127,5,4.2,4.6,61.4,51.7,56.5,58.3,49.6,53.9,308,389,690,232,564,795,1348,2766,4109,1412,2378,3790,5794,2777,8564,238,433,665,328,515,849,6356,3725,10083,22549,22826,45377,2926,3291,6220,16760,16811,33568,7539,8308,15845
SED24504,22623,23857,46479,10205,5065,15271,3095,6906,10001,734,865,1599,640,589,1230,14671,13431,28104,6354,8698,15052,4.4,4.4,4.4,64.8,56.3,60.5,62,53.8,57.8,913,1010,1919,516,1044,1556,2736,4062,6799,2048,2806,4847,5925,2295,8215,142,323,460,374,574,948,6437,3190,9631,22758,23366,46126,3036,3300,6342,16132,16392,32525,8478,9155,17634
SED24606,23126,26365,49492,11151,7298,18448,3419,6379,9797,508,692,1205,835,852,1690,15924,15221,31138,5884,9668,15548,5.2,5.6,5.4,68.9,57.7,62.9,65.2,54.5,59.5,2997,2753,5753,694,1217,1911,7381,8265,15649,1917,2699,4615,1720,922,2647,66,147,205,232,492,724,2020,1561,3576,20929,23118,44044,4593,5246,9848,13357,14962,28323,11544,12899,24445
SED24703,51715,55502,107222,18751,14580,33330,7525,10285,17812,1154,1537,2692,3253,3782,7030,30689,30181,60871,15462,19855,35313,10.6,12.5,11.5,59.3,54.4,56.8,53,47.6,50.2,6183,6911,13092,1092,1751,2842,15350,16882,32231,3607,3816,7423,2548,1671,4219,187,267,454,420,500,919,3148,2442,5593,29628,31321,60951,18455,20859,39310,11595,11924,23518,35695,39405,75099
SED24808,29321,31190,60511,14103,7234,21337,3021,7129,10148,906,979,1886,1482,1464,2946,19515,16810,36321,7912,12403,20317,7.6,8.7,8.1,66.6,53.9,60,61.5,49.2,55.1,575,597,1175,245,576,817,1846,3010,4858,2055,3188,5243,7939,4306,12239,279,537,817,507,758,1267,8724,5600,14323,29473,30584,60059,5223,5645,10863,18442,18792,37230,14041,15336,29375
SED24904,25229,26170,51397,10444,5490,15933,2553,6140,8691,810,847,1660,1109,855,1968,14911,13335,28246,7880,10428,18301,7.4,6.4,7,59.1,51,55,54.7,47.7,51.1,223,312,534,208,493,698,1367,2551,3921,1320,2210,3528,5826,3025,8856,248,466,718,371,498,868,6448,3988,10439,23536,24101,47635,4048,4234,8285,16349,16550,32897,9886,10532,20420
SED25003,26511,28016,54525,13395,7091,20480,3415,7296,10712,808,929,1732,1224,1196,2418,18844,16505,35346,6573,10297,16867,6.5,7.2,6.8,71.1,58.9,64.8,66.5,54.7,60.4,1079,931,2011,262,536,795,3027,3998,7020,2254,2990,5245,5634,2887,8521,203,362,565,372,628,1006,6214,3876,10088,27416,28247,55672,3960,4008,7969,19068,19619,38683,10715,11163,21882
SED25102,22702,23393,46096,11604,5703,17305,3139,7492,10638,686,844,1533,722,651,1380,16159,14693,30857,5481,7617,13100,4.5,4.4,4.5,71.2,62.8,66.9,68,60,63.9,845,1012,1860,485,970,1455,2773,4077,6845,2209,3062,5271,6513,2627,9146,161,259,426,318,538,856,6994,3423,10423,23648,23765,47417,2532,2638,5173,17631,17561,35185,7647,8057,15705
SED25205,24207,26712,50918,12388,7187,19572,2975,7486,10461,650,856,1509,887,721,1611,16906,16243,33151,6015,9053,15064,5.2,4.4,4.9,69.8,60.8,65.1,66.2,58.1,61.9,1167,1385,2546,515,1006,1521,3818,5202,9015,2484,3159,5641,5363,2227,7592,152,271,417,359,598,956,5870,3091,8961,24337,26195,50530,3551,3740,7293,17082,18366,35449,9737,10572,20308
SED25302,23313,26445,49765,10525,5257,15781,2982,7541,10524,610,740,1348,659,613,1276,14780,14154,28929,7379,11018,18398,4.5,4.3,4.4,63.4,53.5,58.1,60.6,51.2,55.6,980,961,1940,489,960,1443,3345,4493,7837,2476,3371,5851,5687,2411,8103,137,316,454,356,665,1021,6185,3395,9579,23539,25679,49226,3659,3986,7642,15982,17340,33319,10237,11514,21744
SED25402,25361,27168,52532,10328,4930,15256,2626,6928,9560,820,870,1684,1574,1112,2685,15348,13839,29192,7952,11121,19072,10.3,8,9.2,60.5,50.9,55.6,54.3,46.8,50.4,412,449,859,265,544,811,1605,2723,4325,1580,2402,3978,8027,3536,11570,223,492,714,362,543,901,8611,4573,13187,24418,25320,49735,3598,4054,7657,17595,17950,35540,9194,10269,19458
SED25501,24947,26686,51632,10312,6099,16412,3556,6065,9619,544,666,1210,1098,1051,2141,15505,13882,29386,8482,11773,20250,7.1,7.6,7.3,62.2,52,56.9,57.8,48.1,52.8,3018,2510,5532,629,913,1539,6128,6417,12543,2237,2815,5058,2623,1171,3791,109,164,271,265,465,729,2995,1800,4791,23606,25129,48737,4834,4689,9525,16144,17339,33488,11566,11777,23340
SED25605,25794,26382,52178,10706,6009,16715,3582,5662,9248,628,639,1270,1181,971,2146,16098,13285,29378,8405,11814,20220,7.3,7.3,7.3,62.4,50.4,56.3,57.8,46.7,52.2,1778,1490,3273,360,619,979,4522,4768,9287,2356,2651,5006,4047,1768,5820,134,264,395,330,528,854,4510,2559,7073,24703,25295,49993,3889,3785,7678,17520,18042,35563,10046,9919,19959
