SSC_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SSC20013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,26,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31,26,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,12,3,0,8,0,0,0,37,34,75
SSC20014,64,81,142,8,17,21,0,0,0,37,52,90,3,6,10,1325,1121,2443,63,85,149,11,0,11,10,0,10,20,0,19,16,9,22,22,22,41,1590,1383,2969,4,4,12,0,0,0,37,27,59,24,23,51,4,5,4,0,0,0,72,54,132,0,0,0,3,4,6,3,0,5,0,0,0,0,0,0,10,4,15,13,14,26,92,73,171,9,30,41,0,0,0,0,0,0,9,30,41,40,62,105,95,194,296,19,15,37,1846,1758,3608
SSC20015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20016,43,47,89,10,11,20,0,0,0,0,0,0,4,0,4,853,538,1390,47,68,120,12,0,12,4,0,4,0,0,4,13,0,9,5,10,15,996,673,1667,17,20,38,0,0,0,0,3,3,19,17,37,3,3,9,0,0,0,40,39,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,16,45,49,97,12,11,24,0,0,0,0,0,0,12,11,31,12,24,42,64,84,147,44,22,65,1181,868,2050
SSC20017,12,7,17,6,4,17,0,0,0,246,280,527,3,11,10,721,643,1365,29,69,94,5,0,4,31,0,26,118,53,165,15,17,29,97,111,211,1291,1185,2476,0,0,0,0,0,0,19,11,33,0,0,0,0,0,0,0,3,3,25,17,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,37,25,56,55,39,95,6,5,14,0,0,4,3,8,9,13,14,24,98,125,227,92,135,229,15,3,19,1560,1509,3067
SSC20018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,27,56,0,0,3,4,0,4,0,0,0,0,0,0,0,0,4,7,5,11,42,34,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,17,5,12,20,0,0,0,60,50,109
SSC20019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,10,0,0,0,15,20,40
SSC20020,198,169,365,10,15,24,0,0,0,0,0,0,0,0,3,718,342,1060,55,46,101,9,0,9,7,0,7,9,3,13,4,0,4,8,12,19,1028,589,1617,22,21,50,0,0,0,21,18,31,4,7,16,0,3,3,0,3,3,56,50,103,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,7,0,11,63,55,118,14,14,28,0,0,0,0,0,0,14,14,28,7,18,26,59,89,151,24,11,34,1190,782,1965
SSC20021,0,0,0,9,5,15,0,0,0,0,0,0,0,0,0,408,310,717,21,24,41,5,0,5,7,0,6,8,0,8,5,0,5,32,47,78,487,384,872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,25,33,59,45,83,134,9,9,14,576,514,1090
SSC20022,37,18,54,12,13,25,0,0,0,0,0,0,9,5,8,1750,1543,3291,112,148,266,9,0,9,3,0,6,32,9,38,7,3,14,24,29,58,1999,1774,3770,0,0,0,0,0,0,0,0,0,12,11,19,0,3,3,0,0,0,12,12,26,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,3,6,13,15,22,25,33,59,4,12,17,0,0,0,0,0,0,7,12,13,47,86,135,174,312,489,15,16,32,2274,2233,4502
SSC20023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,7,8
SSC20024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,11,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,13,0,3,4,0,0,0,22,13,29
SSC20025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10,7,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,3,3,0,0,0,20,12,32
SSC20026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,56,109,3,4,7,0,0,0,0,3,4,0,0,0,0,0,0,4,0,4,69,57,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,12,8,10,16,0,0,0,86,74,157
SSC20027,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,285,240,525,18,15,31,4,0,4,4,0,5,3,0,3,3,0,3,16,7,27,340,268,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,35,27,65,34,48,86,3,4,10,413,351,769
SSC20028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,26,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,6,3,0,3,41,37,78
SSC20029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,15,37,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,34,18,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,34,22,56
SSC20030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,19,49,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,22,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,9,11,0,0,0,38,25,66
SSC20031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,10
SSC20032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,12,0,0,3,0,0,0,11,14,27
SSC20033,228,259,485,15,15,30,0,0,0,0,0,0,7,4,9,668,685,1355,22,50,71,8,0,8,11,3,13,122,58,180,9,5,16,30,45,74,1123,1125,2251,7,5,15,0,0,0,19,9,28,12,13,30,3,0,3,8,8,14,47,45,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,13,15,55,56,114,3,15,13,0,0,3,0,0,3,9,12,23,90,87,175,90,164,250,4,9,15,1370,1455,2824
SSC20034,329,370,691,13,26,44,0,0,0,0,0,0,5,6,10,1725,1316,3046,74,104,176,20,0,24,21,3,27,45,6,52,14,12,28,45,53,99,2296,1896,4187,17,26,44,0,0,0,12,26,40,28,42,68,5,16,19,6,0,12,68,115,181,0,0,0,0,0,0,4,3,6,0,3,4,0,0,0,4,6,12,23,7,31,94,126,219,13,18,34,0,0,3,3,0,4,16,25,39,65,111,181,157,267,424,20,16,40,2649,2441,5094
SSC20035,334,319,659,34,39,77,0,0,0,4,0,4,7,3,9,3386,2544,5930,157,212,372,43,3,47,29,3,34,34,10,45,22,20,41,24,39,68,4079,3194,7278,57,57,115,0,0,0,25,23,40,61,67,135,11,25,39,7,8,11,166,178,337,0,0,0,0,0,3,3,3,9,0,3,7,0,0,3,7,13,15,45,21,64,214,205,419,43,74,116,0,0,0,0,0,3,48,75,118,60,128,188,330,484,811,53,35,89,4782,4120,8906
SSC20036,76,106,183,67,72,137,0,0,0,0,4,3,10,3,15,1800,1172,2971,86,107,194,32,0,32,24,3,24,38,6,40,10,6,18,34,31,71,2186,1513,3698,46,45,90,0,0,0,3,10,10,41,37,77,13,11,22,0,0,0,101,103,208,0,0,0,10,9,13,4,0,4,0,0,0,0,0,5,16,12,26,14,15,28,133,129,260,30,40,68,0,4,4,0,0,0,34,44,70,51,90,147,153,239,394,43,27,66,2594,2044,4640
SSC20037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,23,41,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,17,27,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,10,0,3,5,0,0,0,27,32,57
SSC20038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,12,9,26
SSC20039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,28,55,8,3,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,32,33,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,13,9,6,11,0,0,0,48,48,93
SSC20041,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,109,94,205,10,10,17,0,0,0,3,0,3,0,0,0,0,0,0,12,7,16,134,112,252,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,0,5,0,0,0,0,0,0,3,0,5,18,15,32,16,23,38,3,3,4,176,157,333
SSC20042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,14,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,3,5,0,0,0,25,15,41
SSC20043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,6,7,12
SSC20044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9
SSC20045,7,4,7,0,4,4,0,0,0,0,0,0,0,0,0,374,352,719,26,13,36,9,0,9,3,0,3,7,3,9,4,0,4,24,25,51,444,409,858,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,3,6,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,0,4,11,4,10,0,0,0,0,0,0,0,0,0,0,0,0,36,45,86,71,107,179,10,10,23,577,573,1153
SSC20046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,4,0,3,0,0,0,5,5,11
SSC20047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,3,0,0,0,14,6,22
