SSC_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
SSC20011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20012,0,31,21,230,7,282,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,7,3,0,4,0,15,40,27,24,260,9,357,0,0,0,0,0,0,0,0,0,0,0,3,10,4,3,28,4,47,0,4,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,7,9,8,122,3,150,7,3,0,6,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,8,0,0,0,0,0,0,3,0,0,0,0,3,9,3,0,0,0,12,0,0,0,0,0,0,9,3,9,88,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,5,0,10,26,3,3,9,0,40,0,0,0,3,54,59,115,52,36,531,73,802
SSC20013,3,4,3,58,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,51,5,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,3,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,7,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,0,0,0,10,10,13,17,4,3,109,11,146
SSC20014,46,189,136,1414,18,1804,0,0,0,4,0,4,163,5,3,8,4,187,81,11,4,30,0,125,33,9,5,17,0,70,287,159,113,1199,32,1794,63,3,3,0,0,67,22,3,0,8,0,30,50,25,13,97,3,186,227,33,9,95,11,378,12,0,0,7,0,18,225,3,0,3,0,231,94,54,35,626,7,825,1045,152,87,424,32,1745,18,0,0,0,0,18,36,6,0,4,0,46,25,0,0,7,0,33,161,30,23,64,3,273,7,0,0,0,0,7,21,12,9,5,0,44,41,4,0,13,0,60,12,0,0,0,0,15,88,54,38,373,3,552,8,4,0,8,0,19,4,0,0,0,0,3,48,3,0,12,0,72,40,0,6,0,0,45,29,8,0,7,3,42,36,0,6,0,0,49,5,5,0,22,0,36,478,62,45,72,3,658,26,8,0,40,387,457,3057,532,334,3152,497,7564
SSC20015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20016,137,88,34,381,19,656,3,0,0,5,0,10,291,3,3,5,21,319,86,3,10,15,3,113,19,0,5,0,0,26,227,43,31,310,22,625,231,0,3,3,13,250,6,0,0,0,0,6,78,8,8,20,4,110,109,12,6,9,0,133,14,6,3,6,0,25,171,3,4,0,4,183,30,11,3,84,0,137,94,24,9,42,5,171,0,0,0,0,0,0,41,13,0,5,0,54,97,3,7,3,3,116,238,27,17,40,5,324,31,0,0,0,5,30,3,0,0,0,0,4,62,3,0,3,0,70,11,0,0,0,0,14,31,12,11,72,0,129,92,0,3,5,0,103,0,0,0,0,0,0,57,3,0,0,0,65,29,0,0,3,0,36,82,19,3,3,0,109,969,8,7,5,29,1027,0,0,0,3,0,4,1102,40,21,28,42,1223,81,4,3,11,271,375,3947,218,125,776,430,5491
SSC20017,28,223,168,1134,12,1559,0,0,0,3,0,7,100,5,11,14,0,130,17,3,0,15,0,35,67,20,14,17,0,120,518,182,147,1245,24,2120,11,0,3,0,0,14,44,8,8,16,0,81,69,31,15,105,0,222,451,37,13,121,10,637,7,4,0,0,0,12,113,9,0,0,0,127,156,67,46,659,4,939,155,46,18,126,0,344,8,0,0,0,0,8,8,0,0,5,0,14,14,3,0,4,0,28,18,6,3,3,0,32,6,0,0,0,0,11,54,3,10,0,0,67,44,9,10,4,0,72,18,3,10,5,0,37,146,59,49,434,11,695,10,3,3,4,0,24,11,3,0,0,0,10,10,6,4,6,0,30,11,3,3,5,0,20,17,0,0,0,0,20,15,0,0,0,0,21,34,7,4,22,0,68,321,66,51,106,3,545,11,0,0,20,442,477,2105,484,350,2785,490,6215
SSC20018,0,6,12,92,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,16,6,6,80,5,108,0,0,0,0,0,0,0,0,0,3,0,3,7,0,0,7,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,20,0,21,3,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,7,0,5,27,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,0,0,3,0,10,3,0,0,0,19,20,44,7,12,172,24,262
SSC20019,0,4,3,38,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,5,5,3,5,4,3,64,6,81
SSC20020,84,75,55,515,23,748,0,0,0,3,0,6,284,0,0,4,3,296,21,7,0,3,0,35,8,4,3,7,0,25,252,92,45,379,17,777,141,0,10,0,4,154,9,0,0,8,0,15,35,8,0,45,0,87,55,13,4,11,0,80,10,0,0,0,0,14,404,0,0,0,0,408,33,18,13,189,4,251,93,15,14,43,3,163,16,0,0,0,5,17,10,0,0,0,0,14,16,0,0,6,0,23,116,10,9,28,0,162,29,0,0,0,0,32,23,0,3,0,0,32,65,5,3,13,0,86,9,0,0,0,0,9,37,15,10,132,3,197,19,0,0,0,0,23,0,0,0,0,0,0,25,0,0,0,0,22,61,0,0,0,7,67,15,0,0,0,0,17,318,0,3,3,6,325,4,0,0,7,0,12,1103,17,27,25,7,1180,75,3,0,7,408,487,2959,182,127,984,482,4731
SSC20021,4,87,55,1028,16,1190,0,0,0,5,0,5,4,0,0,0,0,3,0,0,0,3,0,4,37,14,8,12,0,76,155,97,72,856,26,1204,3,0,0,0,0,3,3,3,0,14,0,15,34,9,6,55,0,97,3,9,0,3,0,11,3,0,0,0,0,3,7,0,0,0,0,7,26,27,5,223,9,287,11,5,3,24,0,44,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,3,0,7,0,0,0,0,0,3,3,0,0,3,0,3,5,0,0,4,0,6,3,0,0,0,0,3,39,16,17,230,3,314,0,3,0,0,0,0,4,3,0,0,0,7,0,0,0,0,0,6,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,8,0,28,30,10,7,22,0,74,3,3,0,23,164,190,326,178,108,1879,209,2695
SSC20022,27,207,171,2963,39,3407,0,3,0,10,0,12,182,6,10,29,3,229,17,6,3,8,0,39,78,42,35,106,0,264,291,194,176,3070,54,3783,42,0,8,0,0,49,5,3,3,24,0,35,41,22,21,326,3,411,47,6,0,28,0,80,10,3,0,0,0,16,269,3,3,3,7,278,79,64,52,1206,29,1425,37,23,14,174,3,246,16,0,0,0,0,16,3,4,0,6,0,14,4,0,0,5,0,11,13,8,3,20,0,40,16,0,0,0,0,12,22,16,15,10,0,58,12,5,7,19,3,46,15,0,0,3,0,17,104,45,48,963,17,1168,0,0,0,0,0,3,20,3,0,0,0,26,14,3,3,12,0,40,32,0,0,0,0,34,0,0,0,0,0,0,10,0,0,0,0,11,12,3,7,37,0,64,300,45,42,87,5,476,14,3,0,57,380,457,1461,432,344,6488,499,9220
