SSC_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SSC20011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20012,3,11,16,9,3,0,43,0,3,3,4,4,3,0,0,20,3,6,22,31,48,15,11,3,142,3,8,5,15,22,24,11,0,93,4,16,13,27,29,10,6,3,106,0,0,0,0,0,0,0,0,3,0,0,0,6,5,4,4,0,22,6,12,13,29,42,19,4,3,137,0,0,0,0,0,0,0,0,3,11,3,5,9,10,7,11,0,61,19,43,55,107,136,77,45,11,499
SSC20013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,3,0,4,0,0,0,11,0,0,4,7,3,3,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,7,7,3,3,0,0,27,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,15,3,11,11,16,15,8,0,0,62
SSC20014,68,28,14,10,0,0,216,5,33,34,23,15,6,0,0,118,67,345,226,134,76,29,8,3,880,39,158,155,124,83,29,19,3,615,70,249,194,177,141,93,67,21,1014,15,9,9,4,7,0,0,0,47,7,24,22,25,20,14,3,3,116,93,281,215,213,163,107,68,19,1169,3,5,9,9,10,9,3,0,41,52,73,89,77,78,99,85,49,597,267,984,790,599,441,295,183,76,3630
SSC20015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20016,21,3,3,3,0,0,55,0,14,10,4,3,0,0,0,35,37,159,82,36,29,19,5,0,367,39,114,51,40,38,24,7,0,308,53,116,113,92,101,68,26,0,562,10,8,18,9,8,0,0,0,54,10,13,20,12,14,13,0,0,81,74,139,144,114,121,84,30,0,698,0,3,12,4,3,3,0,0,22,74,69,68,60,76,91,27,9,484,229,522,384,257,277,224,67,14,1981
SSC20017,180,157,108,68,13,3,640,0,24,44,57,52,15,3,0,191,63,334,392,288,215,160,43,7,1505,14,63,81,98,89,63,20,3,428,13,60,55,62,41,34,17,4,278,4,0,3,12,4,3,0,0,31,0,3,11,24,12,10,3,0,68,20,60,72,87,62,49,15,4,380,0,3,9,4,4,8,0,0,32,47,63,85,91,68,86,47,25,513,144,652,862,793,596,454,143,46,3693
SSC20018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,0,0,12,0,0,0,3,3,4,0,0,9,3,3,3,12,10,10,3,0,44,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,3,3,12,8,10,3,0,47,0,0,0,0,0,0,0,0,3,3,0,3,0,5,13,7,0,32,8,9,8,19,24,29,10,3,110
SSC20019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,3,0,3,3,0,5,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,3,3,5,0,0,0,20,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,6,3,7,4,13,7,0,0,39
SSC20020,60,17,3,5,0,0,215,3,14,24,13,9,3,0,0,56,61,247,127,58,27,17,0,0,542,28,138,73,36,33,10,4,0,330,57,129,94,69,64,34,19,6,471,3,15,7,6,0,3,0,0,30,6,14,11,13,10,3,0,0,54,64,158,102,90,73,40,18,6,555,4,18,12,0,3,3,0,0,39,68,134,80,61,62,60,37,18,529,251,837,473,271,215,139,62,25,2269
SSC20021,10,3,6,5,0,0,33,0,8,14,7,8,7,3,0,42,3,35,51,30,37,27,11,7,189,5,32,27,26,45,40,15,10,206,31,72,79,82,82,58,24,9,442,0,6,3,3,3,5,0,0,22,0,3,8,4,10,17,6,3,49,38,81,86,93,90,75,31,10,513,3,0,0,0,0,7,0,0,7,32,9,22,31,57,59,42,22,282,79,172,208,194,245,217,110,55,1276
SSC20022,98,84,34,18,15,0,311,5,34,56,63,40,23,4,0,228,77,286,286,218,132,76,27,5,1102,25,102,140,177,114,66,28,6,664,154,255,247,246,147,94,51,9,1198,31,16,14,8,7,8,0,0,91,10,15,19,16,13,16,8,0,102,193,294,278,275,168,119,55,9,1394,0,5,6,5,11,9,7,0,42,66,64,60,80,82,76,47,25,503,377,840,931,903,583,384,186,45,4245
SSC20023,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,11
SSC20024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,15,0,0,0,0,0,0,0,0,0,4,0,0,5,5,0,0,0,28,4,3,5,13,9,5,3,0,51
SSC20025,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,3,0,0,0,10,7,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,24,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,14,0,5,3,15,17,10,0,0,51
SSC20026,3,0,4,4,0,0,12,0,0,5,0,3,0,0,0,10,0,6,5,4,3,4,0,0,28,0,0,4,7,4,7,0,0,26,10,5,8,10,11,4,0,0,49,0,3,3,0,0,0,0,0,10,0,0,0,6,0,0,0,0,4,6,8,10,16,13,5,0,0,66,0,0,0,0,0,0,0,0,3,7,3,0,3,3,3,0,0,16,16,16,32,40,34,21,3,0,159
SSC20027,3,5,8,0,0,0,23,0,3,0,0,4,3,0,0,11,7,26,30,25,15,10,0,0,112,4,20,18,15,25,5,3,0,92,40,57,58,55,23,18,3,0,259,3,3,5,3,0,0,0,0,9,4,3,6,6,3,3,0,0,23,41,60,66,61,28,21,3,0,293,0,0,0,0,0,0,0,0,3,26,13,29,31,17,22,11,3,155,82,119,148,143,97,65,27,6,687
SSC20028,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,3,8,0,0,0,16,0,3,0,4,0,0,0,0,12,4,4,8,7,4,3,3,0,38,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,5,4,10,10,4,3,3,0,46,0,0,0,0,0,0,0,0,0,7,3,0,5,3,4,0,0,27,10,15,19,22,19,10,6,3,97
SSC20029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,7,0,3,0,3,3,0,0,0,9,0,3,7,7,3,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,11,7,3,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,7,0,4,5,0,0,12,5,5,12,13,8,5,3,0,53
SSC20030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,3,0,4,0,5,0,0,9,0,8,6,11,11,3,0,0,40,0,0,4,0,0,0,0,0,3,0,0,0,0,0,3,0,0,6,0,8,9,13,7,7,3,0,45,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,7,3,7,13,20,14,17,3,0,75
SSC20031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,8
SSC20032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,3,4,4,10,3,3,3,0,21
SSC20033,124,145,121,48,8,0,551,0,35,50,80,72,19,3,0,260,84,308,240,271,147,78,18,5,1166,19,76,64,76,59,33,9,5,331,51,59,59,58,45,20,12,7,309,3,7,0,3,0,0,0,0,19,4,5,8,21,11,7,3,3,58,58,69,65,81,53,30,18,11,385,0,3,8,10,8,3,0,0,33,46,54,41,47,31,32,17,20,279,218,637,587,716,493,240,68,38,2999
SSC20034,169,107,63,20,4,0,510,9,67,64,58,54,20,3,0,265,67,452,511,248,156,74,36,13,1561,48,171,206,204,120,75,39,14,867,94,222,231,254,227,153,90,42,1313,9,3,13,15,8,3,0,0,49,9,22,38,33,28,31,7,6,180,116,246,279,302,263,185,98,51,1543,3,6,13,10,9,12,3,6,70,58,96,105,100,119,128,116,68,796,308,1181,1343,1031,783,510,304,154,5620
SSC20035,182,70,49,18,0,0,543,3,76,80,58,47,12,3,0,279,172,760,533,284,186,85,21,3,2038,116,391,323,255,191,87,20,4,1392,232,553,417,506,436,200,67,21,2437,26,40,25,21,22,11,3,0,145,29,54,57,64,53,27,10,0,293,289,646,508,586,505,239,76,21,2870,16,26,18,25,22,11,3,0,127,165,187,156,195,201,181,111,58,1264,781,2306,1802,1478,1194,625,241,98,8520
SSC20036,125,37,15,8,3,0,323,3,51,53,32,21,3,0,0,159,86,488,386,146,62,26,8,7,1210,61,197,182,146,66,29,21,7,701,125,300,256,231,147,87,82,21,1249,16,25,16,15,6,4,0,3,82,19,35,32,30,19,15,7,0,153,156,355,303,274,176,103,88,25,1483,8,22,4,3,12,10,6,0,59,102,166,148,105,90,128,207,128,1072,422,1401,1200,739,435,312,336,161,5002
SSC20037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,13,0,0,0,0,4,0,0,0,12,0,3,3,3,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,5,3,4,0,3,0,3,17,6,7,14,12,10,7,4,3,59
SSC20038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,0,0,0,9,14,3,0,0,27
SSC20039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,3,3,4,0,0,13,0,3,3,7,7,3,3,0,21,3,3,4,9,5,13,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,3,7,4,8,11,11,0,0,44,0,0,0,0,0,0,0,0,3,3,0,0,4,5,0,3,0,17,14,9,9,27,24,22,3,3,103
SSC20041,0,4,8,0,0,0,9,0,0,0,0,3,3,0,0,11,5,0,15,15,8,6,0,0,57,3,7,14,10,18,9,3,0,64,14,19,24,29,22,16,7,0,128,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,8,9,22,28,29,23,16,7,0,140,0,0,0,0,4,0,0,0,4,14,4,6,16,14,7,7,0,69,31,38,72,63,81,47,17,0,348
SSC20042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,7,0,0,3,0,0,3,0,0,14,4,0,0,3,4,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,4,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,11,3,0,6,13,11,10,0,0,45
SSC20043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,3,3,3,4,4,3,0,0,15
SSC20044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,11
SSC20045,21,14,22,27,3,0,112,0,5,14,22,14,14,3,0,80,7,61,82,88,85,95,24,9,445,4,25,30,44,60,56,28,5,254,23,48,43,72,79,48,18,4,342,0,6,3,5,3,3,4,0,19,0,0,3,6,7,11,9,3,41,27,52,51,81,90,66,30,13,407,0,0,4,4,0,4,3,0,16,21,18,16,25,29,48,27,20,206,65,185,223,276,307,305,116,47,1519
SSC20046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,3,0,0,0,10
SSC20047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,3,3,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,10,0,7,0,5,4,3,0,0,25
SSC20048,3,4,6,8,0,0,35,0,8,3,6,12,7,0,0,37,3,27,24,28,32,27,13,9,155,10,19,22,16,33,28,6,3,139,16,44,48,35,59,50,9,0,261,3,3,0,3,0,0,0,0,14,0,8,5,9,9,0,0,0,25,17,51,56,47,65,55,9,0,302,0,3,0,0,0,6,0,0,13,24,21,15,28,38,31,18,8,183,59,136,132,133,181,164,53,22,868
SSC20049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC20050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,3,0,0,15
SSC20051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,8,0,0,0,15,0,3,7,3,3,3,0,0,18,0,3,6,8,19,6,3,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,7,18,6,3,0,48,0,0,0,0,0,0,0,0,0,0,0,7,3,8,0,0,0,19,4,11,20,16,34,11,3,3,104
SSC20052,16,12,11,5,3,0,63,0,11,13,32,19,20,4,0,105,32,95,86,85,89,44,17,8,456,20,57,73,119,94,94,30,7,506,89,208,207,251,191,133,59,17,1167,14,10,21,16,11,3,0,0,77,12,15,20,17,21,20,3,3,113,123,235,248,283,226,161,65,17,1355,4,10,3,10,12,4,4,3,56,117,244,261,199,188,159,127,51,1349,307,674,698,741,642,492,248,86,3888
SSC20053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,12,0,0,3,3,4,4,0,0,8,0,3,3,3,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,3,3,3,3,0,0,0,16,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,5,3,10,21,5,0,0,46
SSC20054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
