SSC_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SSC20117,0,0,0,16,10,0,28,62,9,94
SSC20118,3,4,5,28,15,0,48,180,28,261
SSC20119,41,11,48,377,208,13,604,1086,160,1854
SSC20120,12,0,9,43,48,3,95,221,53,368
SSC20121,0,0,0,0,0,0,0,4,0,4
SSC20122,436,49,498,2204,840,50,3091,7478,590,11157
SSC20123,604,63,678,3646,1072,94,4811,10989,804,16603
SSC20124,6,0,11,91,36,0,127,231,33,392
SSC20125,0,0,0,44,17,0,59,99,24,190
SSC20126,3,0,3,18,7,3,27,57,9,85
SSC20127,0,0,0,3,4,0,7,26,0,35
SSC20128,0,0,0,116,26,3,144,302,33,479
SSC20129,0,0,0,10,3,0,13,20,3,43
SSC20130,37,6,39,38,53,0,91,552,99,737
SSC20131,0,0,0,11,3,0,14,10,3,29
SSC20132,91,4,94,1161,321,41,1522,2119,272,3914
SSC20133,0,0,0,5,0,0,5,10,4,23
SSC20134,0,0,0,4,0,3,4,11,3,25
SSC20135,113,10,124,487,112,17,619,1025,121,1755
SSC20136,0,0,5,15,10,0,24,47,9,77
SSC20137,0,0,3,20,6,0,27,119,30,176
SSC20138,0,0,0,0,5,0,5,13,0,15
SSC20139,0,0,0,8,11,3,21,72,17,109
SSC20140,5,5,8,66,43,7,111,235,35,387
SSC20141,0,0,0,7,0,0,6,31,3,37
SSC20142,0,0,0,4,3,0,5,19,7,35
SSC20143,3,0,6,24,12,3,36,167,33,244
SSC20144,0,0,0,0,8,0,8,4,0,10
SSC20145,8,0,9,170,73,8,248,421,48,715
SSC20146,0,0,0,13,21,0,39,84,14,133
SSC20147,0,0,0,20,0,0,22,73,3,105
SSC20148,3,0,9,68,36,3,111,220,29,355
SSC20149,3,0,7,40,7,0,56,117,15,182
SSC20150,0,0,5,37,14,0,56,103,26,185
SSC20151,0,0,0,4,0,0,5,8,0,15
SSC20152,0,0,0,0,0,0,0,9,0,7
SSC20153,0,0,0,10,0,0,12,10,0,21
SSC20154,0,0,0,4,0,0,0,3,0,11
SSC20155,0,0,0,3,0,0,3,15,9,28
SSC20156,3,0,3,5,3,0,11,13,0,21
SSC20157,0,0,0,0,0,0,4,3,0,10
SSC20158,0,0,0,21,8,0,26,48,11,89
SSC20159,0,0,0,43,13,0,56,111,16,179
SSC20160,0,3,0,26,3,0,31,73,5,108
SSC20161,50,4,60,760,321,32,1106,1649,187,2941
SSC20162,0,0,0,0,0,0,0,9,3,8
SSC20163,3,0,3,38,19,5,59,224,30,314
SSC20164,10,0,10,215,60,10,281,372,47,701
SSC20165,0,0,0,9,7,0,18,24,4,49
SSC20166,0,0,0,0,0,0,0,0,0,0
SSC20167,0,0,0,4,0,0,8,12,8,23
SSC20168,19,8,24,342,148,14,502,1150,153,1813
SSC20169,0,0,0,8,3,0,8,4,3,17
SSC20170,4,0,4,75,27,0,94,218,50,374
SSC20171,0,0,0,19,3,0,25,63,5,91
SSC20172,228,63,289,1915,734,88,2735,6301,722,9759
SSC20173,127,122,250,1600,502,69,2170,4405,591,7159
SSC20174,34,12,51,1278,383,41,1702,3318,274,5296
SSC20175,37,0,38,567,197,16,783,1319,136,2242
SSC20176,11,3,7,15,5,0,25,124,27,175
SSC20177,0,0,0,7,11,0,19,99,23,137
SSC20178,0,0,0,17,0,0,16,32,3,53
SSC20179,0,0,0,14,3,0,19,6,0,25
SSC20180,42,27,68,197,91,10,300,836,147,1280
SSC20181,391,73,469,2318,1039,97,3457,6701,682,10844
SSC20182,0,0,0,4,6,0,8,4,4,20
SSC20183,3,4,8,47,31,0,76,195,35,305
SSC20184,0,0,0,16,4,0,18,40,10,74
SSC20185,83,22,106,523,239,22,776,1998,470,3243
SSC20186,0,0,0,3,3,0,3,14,6,18
SSC20187,25,3,24,780,212,43,1040,1879,186,3103
SSC20188,6,0,6,276,94,11,386,641,57,1073
SSC20189,9,0,11,285,126,12,422,868,66,1356
SSC20190,110,8,124,751,349,22,1122,2792,273,4188
SSC20191,99,24,118,667,388,32,1088,2716,328,4139
SSC20192,3,4,3,12,10,0,25,96,24,146
SSC20193,0,0,0,0,0,0,0,0,0,0
SSC20194,13,0,15,120,84,3,208,463,47,719
SSC20195,3,0,3,55,36,0,87,206,28,321
SSC20196,0,0,0,8,3,0,11,32,0,51
SSC20197,34,3,39,284,75,17,382,995,110,1480
SSC20198,0,0,0,0,0,0,0,0,0,0
SSC20199,0,0,0,24,14,0,34,70,7,111
SSC20200,524,90,625,2227,901,93,3225,7656,819,11698
SSC20201,0,0,0,3,0,0,3,48,9,62
SSC20202,11,0,11,27,26,5,62,166,25,247
SSC20203,396,79,485,1238,717,55,2010,5837,884,8735
SSC20204,3,0,3,17,8,0,22,93,12,128
SSC20205,0,0,3,13,3,0,11,35,3,54
SSC20206,3,0,3,61,33,7,97,112,21,227
SSC20207,92,40,136,709,394,33,1139,3076,490,4703
SSC20208,0,0,0,17,3,0,17,66,17,99
SSC20209,0,0,0,8,6,3,16,34,5,54
SSC20210,0,0,0,8,5,0,13,17,11,35
SSC20211,0,0,0,21,4,0,32,68,15,107
SSC20212,0,0,0,0,3,4,5,26,0,40
SSC20213,360,42,412,3093,841,95,4033,8276,695,12999
SSC20214,724,90,823,5543,1361,133,7040,13545,1262,21853
SSC20215,0,0,0,0,4,0,4,6,0,5
SSC20216,0,0,0,38,5,0,41,69,13,120
SSC20217,0,0,0,6,5,0,11,20,3,39
SSC20218,0,0,3,22,9,3,34,87,8,135
SSC20219,0,0,0,0,0,0,0,32,4,34
SSC20220,3,3,11,32,15,0,48,84,19,148
SSC20221,0,0,0,3,0,0,4,23,10,38
SSC20222,0,0,0,26,11,0,38,76,7,122
SSC20223,686,107,805,9667,2732,332,12728,22351,1850,36937
SSC20224,0,0,0,13,9,3,22,64,6,86
SSC20225,0,0,4,21,5,0,29,58,25,102
SSC20226,3,0,3,15,3,0,18,44,3,73
SSC20227,0,0,0,0,0,0,0,5,0,3
SSC20228,3,0,3,65,31,4,100,270,27,396
SSC20229,0,0,0,5,14,0,19,58,7,89
SSC20230,13,4,13,29,18,0,54,211,33,296
SSC20231,0,0,0,67,17,0,93,147,27,262
SSC20232,3,0,3,523,113,15,649,913,148,1701
SSC20233,0,0,0,0,0,0,0,3,0,3
SSC20234,0,0,0,50,13,4,69,103,22,195
SSC20235,0,0,0,4,3,0,9,19,7,26
SSC20236,3,0,5,10,6,0,14,30,9,56
SSC20237,0,0,0,11,3,0,16,20,3,33
SSC20238,0,0,0,0,0,0,0,0,0,0
SSC20239,0,0,0,0,0,0,0,9,0,9
SSC20240,0,0,0,9,0,0,5,30,11,44
SSC20241,4,0,6,16,11,0,29,69,9,107
SSC20242,0,0,0,0,0,0,0,0,0,0
SSC20243,25,12,32,97,39,4,140,368,70,573
SSC20244,0,0,0,0,0,0,0,3,0,3
SSC20245,11,0,8,107,33,7,145,306,53,500
SSC20246,3,0,9,129,64,7,205,398,60,667
SSC20247,39,9,47,673,278,27,974,1767,234,2972
SSC20248,56,3,55,355,144,10,514,1095,142,1747
SSC20249,0,0,0,14,13,0,29,91,42,166
SSC20250,188,43,235,1072,513,32,1613,3116,309,5040
SSC20251,477,86,572,2397,839,87,3323,7609,583,11510
SSC20252,179,13,204,1482,393,57,1933,3732,249,5911
SSC20253,386,100,490,1943,596,75,2622,5618,553,8791
SSC20254,0,0,0,0,0,0,3,16,0,24
SSC20255,0,0,0,39,19,3,59,155,32,243
SSC20256,63,25,85,231,214,9,452,1349,251,2054
SSC20257,0,0,0,5,0,0,6,15,0,20
SSC20258,3,0,4,21,19,0,39,117,30,183
SSC20259,4,0,5,227,78,11,313,637,65,1019
SSC20260,3,0,3,11,8,7,19,49,3,78
SSC20261,0,0,0,0,0,0,3,13,0,20
SSC20262,0,0,0,9,12,0,28,41,3,74
SSC20263,0,3,4,18,8,0,28,22,7,57
SSC20264,0,0,0,0,0,0,0,5,0,5
SSC20265,0,0,0,10,8,0,15,39,4,57
SSC20266,0,0,0,4,3,0,11,47,9,67
SSC20267,0,0,0,3,0,0,3,4,0,5
SSC20268,0,0,0,4,0,0,4,7,0,9
SSC20269,0,0,0,42,22,0,59,155,11,230
SSC20270,0,0,0,0,0,0,0,0,0,0
SSC20271,0,0,0,32,9,3,43,78,29,160
SSC20272,0,0,0,3,0,0,4,3,0,11
SSC20273,5,0,5,88,41,3,130,327,41,495
SSC20274,0,0,0,3,3,0,8,16,3,21
SSC20275,3,0,3,15,21,0,35,57,8,100
SSC20276,0,0,0,9,3,0,10,31,6,47
SSC20277,105,80,190,1069,395,45,1514,3244,591,5350
SSC20278,0,0,0,51,24,0,76,495,73,638
SSC20279,3,3,5,40,16,9,61,202,37,304
SSC20280,0,0,0,4,0,0,7,10,4,26
SSC20281,3,4,9,63,26,6,90,326,72,487
SSC20282,0,0,0,33,19,0,52,118,13,176
SSC20283,3,7,8,28,15,0,45,74,15,132
SSC20284,0,0,0,0,0,0,0,0,0,0
SSC20285,0,0,3,0,0,0,0,10,3,15
SSC20286,4,10,15,113,81,15,210,537,80,824
SSC20287,3,0,3,15,3,0,26,77,15,114
SSC20288,0,0,0,0,0,0,0,0,0,0
SSC20289,0,0,0,9,3,0,11,13,3,23
SSC20290,0,0,0,8,0,0,8,4,0,11
SSC20291,0,0,0,0,0,0,0,12,7,18
SSC20292,0,0,0,22,8,0,31,76,6,107
SSC20293,3,0,3,14,8,0,19,67,18,101
SSC20294,0,0,0,0,0,0,3,8,0,12
SSC20295,0,0,0,13,0,0,15,13,6,31
SSC20296,3,0,3,24,11,0,31,76,15,118
SSC20297,0,0,0,7,3,0,10,33,3,39
SSC20298,47,21,70,98,69,5,167,487,87,745
SSC20299,4,0,4,22,9,0,31,51,8,88
SSC20300,0,0,3,16,0,0,18,36,8,54
SSC20301,0,0,0,4,3,0,9,20,4,26
SSC20302,366,61,434,3651,1438,142,5233,11981,1189,18395
SSC20303,0,0,0,12,0,0,12,35,26,69
SSC20304,0,0,0,15,14,0,27,44,0,67
SSC20305,3,0,4,981,234,38,1253,1460,130,2841
SSC20306,0,4,4,21,5,0,18,66,25,110
SSC20307,4,0,4,26,14,0,39,99,8,155
SSC20308,0,0,0,4,0,0,4,29,3,38
SSC20309,0,0,0,4,0,0,4,34,0,41
SSC20310,0,0,3,15,11,0,20,53,5,79
SSC20311,0,0,0,13,3,0,11,10,7,26
SSC20312,207,112,323,1483,391,34,1912,7365,834,10111
SSC20313,218,31,263,2108,560,66,2738,6574,508,9819
SSC20314,183,28,213,1463,406,53,1917,4614,421,6956
SSC20315,0,0,0,8,3,0,9,5,0,12
SSC20316,0,0,0,3,0,0,3,3,3,12
SSC20317,0,0,0,11,0,0,11,16,6,31
SSC20318,0,0,0,3,0,0,3,12,3,18
SSC20319,0,0,0,17,5,0,29,38,15,77
SSC20320,6,0,6,56,11,0,71,182,28,285
SSC20321,0,0,0,0,3,0,7,10,0,17
SSC20322,93,20,111,1353,334,35,1721,5125,656,7505
SSC20323,0,0,0,15,0,0,15,8,7,34
SSC20324,9,4,15,136,82,0,216,550,100,866
SSC20325,0,0,0,24,10,0,40,74,22,135
SSC20326,0,0,0,0,0,0,6,17,8,26
SSC20327,0,0,0,5,4,0,14,21,5,42
SSC20328,6,0,7,172,69,11,247,550,88,883
SSC20329,40,8,45,561,264,23,853,1560,152,2562
SSC20330,0,0,0,17,0,0,18,56,7,75
SSC20331,0,0,4,26,7,0,36,70,6,116
SSC20332,0,0,0,13,3,0,20,25,3,45
SSC20333,3,3,9,32,18,4,52,194,35,282
SSC20334,80,22,101,291,103,29,422,1363,240,2028
SSC20335,808,125,953,3916,1724,137,5773,12081,1357,19221
SSC20336,700,163,873,3027,942,106,4080,7921,814,12810
SSC20337,5,0,6,27,6,0,38,97,3,145
SSC20338,0,0,0,0,0,0,0,3,0,8
SSC20339,0,0,0,0,5,0,3,31,6,46
SSC20340,0,0,0,11,3,0,17,32,14,65
SSC20341,0,0,0,0,0,0,0,12,0,12
SSC20342,0,0,0,13,0,0,13,13,0,27
SSC20343,45,16,62,712,254,35,1005,2160,292,3458
SSC20344,134,17,155,1689,386,31,2117,5889,1210,9214
SSC20345,0,0,0,18,3,0,23,45,11,74
SSC20346,0,0,0,7,4,0,13,12,0,22
SSC20347,0,0,0,3,4,0,12,9,5,32
SSC20348,0,0,0,3,3,0,6,44,6,56
SSC20349,62,20,86,1760,483,78,2316,3967,500,6774
SSC20350,35,5,41,261,102,6,373,1109,119,1597
SSC20351,0,0,0,0,0,0,0,5,0,5
SSC20352,3,0,4,28,13,3,41,109,48,198
SSC20353,3,0,4,29,19,0,50,64,10,123
SSC20354,43,15,53,651,269,38,959,1697,194,2853
SSC20355,0,0,0,17,7,0,29,47,4,81
SSC20356,0,0,0,10,9,0,17,42,6,60
SSC20357,0,0,0,18,6,0,17,57,8,90
SSC20358,0,0,0,0,0,0,0,4,0,4
SSC20359,332,37,378,2743,976,144,3864,16433,1567,21866
SSC20360,112,21,136,1316,508,50,1886,7631,786,10300
SSC20361,254,34,293,1922,575,73,2571,8834,853,12250
SSC20362,3,7,10,132,45,10,182,405,78,668
SSC20363,0,0,0,15,6,0,24,38,22,84
SSC20364,4,0,7,34,30,0,63,117,18,199
SSC20365,0,4,4,6,4,0,9,62,4,81
SSC20366,3,0,3,15,0,0,16,91,8,118
SSC20367,0,0,0,35,9,3,43,111,19,175
SSC20368,0,0,0,6,0,0,6,16,0,23
SSC20369,3,0,3,4,3,0,7,32,7,42
SSC20370,0,0,0,0,0,0,0,0,0,0
SSC20371,3,0,4,25,6,0,32,84,3,120
SSC20372,0,0,0,0,0,0,0,6,0,5
SSC20373,0,0,3,49,20,0,62,135,25,227
SSC20374,3,0,3,23,13,0,33,175,23,234
SSC20375,0,0,0,18,0,0,19,40,5,67
SSC20376,0,0,0,0,0,0,0,3,0,8
SSC20377,0,0,0,0,0,0,0,3,0,3
SSC20378,0,0,0,4,5,0,8,14,7,27
SSC20379,10,4,11,101,49,0,156,321,86,568
SSC20380,0,0,0,0,0,0,0,13,0,15
SSC20381,0,0,0,19,0,0,20,56,3,77
SSC20382,0,0,0,8,9,0,13,49,3,67
SSC20383,0,0,0,5,0,0,6,29,0,36
SSC20384,337,41,384,1630,718,33,2385,6273,574,9232
SSC20385,5,0,5,122,46,0,169,306,33,509
SSC20386,3,0,7,8,5,0,14,44,3,67
SSC20387,0,0,0,5,3,0,7,12,0,26
SSC20388,5,0,5,99,36,4,134,252,37,425
SSC20389,3,0,3,22,15,0,37,104,5,143
SSC20390,0,0,0,13,3,0,18,45,7,71
SSC20391,0,0,0,60,22,3,85,120,17,215
SSC20392,0,0,0,27,10,0,41,92,12,147
SSC20393,9,3,8,53,27,0,79,245,36,369
SSC20394,0,0,0,9,3,0,10,28,7,46
SSC20395,0,0,0,0,0,0,0,0,0,0
SSC20396,0,0,0,3,7,0,13,38,3,49
SSC20397,406,171,581,4087,1592,93,5767,16941,1771,24477
SSC20398,0,0,0,3,0,0,4,38,3,46
SSC20399,0,0,0,15,8,0,24,31,0,55
SSC20400,0,0,0,4,3,0,7,27,3,43
SSC20401,0,0,0,12,11,0,26,45,8,73
SSC20402,0,0,0,37,23,7,60,140,13,214
SSC20403,0,0,0,10,0,0,7,9,3,23
SSC20404,0,0,0,4,0,0,4,25,5,38
SSC20405,0,0,0,3,0,0,3,0,3,5
SSC20406,0,0,0,0,0,0,3,8,8,14
SSC20407,41,11,51,677,277,23,972,1630,258,2866
SSC20408,0,0,5,54,12,0,68,136,5,207
SSC20409,52,7,60,420,168,23,613,1152,173,1931
SSC20410,0,0,4,19,12,0,31,57,10,91
SSC20411,0,0,0,0,0,0,0,0,0,0
SSC20412,0,0,0,3,0,0,3,12,0,13
SSC20413,3,0,3,0,0,0,0,16,0,11
SSC20414,0,0,0,17,0,0,17,26,4,45
SSC20415,0,0,3,3,4,0,7,28,4,31
SSC20416,10,0,7,99,22,3,123,522,44,682
SSC20417,123,28,152,811,220,20,1053,2479,211,3742
SSC20418,8,0,12,1519,216,33,1766,2268,222,4259
SSC20419,0,0,0,0,3,0,9,17,7,26
SSC20420,0,0,0,35,19,0,55,80,15,158
SSC20421,0,0,0,4,0,0,4,13,0,21
SSC20422,0,0,0,3,0,0,3,20,6,35
SSC20423,6,0,11,30,14,0,44,136,22,201
SSC20424,488,76,576,1959,593,64,2617,9640,818,13071
SSC20425,239,30,269,1552,615,32,2197,6198,418,8808
SSC20426,0,0,5,107,32,4,150,250,40,436
SSC20427,0,0,0,3,3,0,9,27,5,43
SSC20428,0,0,0,0,0,0,0,4,5,6
SSC20429,7,0,9,59,25,4,86,287,43,421
SSC20430,3,0,3,12,6,0,24,70,15,109
SSC20431,0,0,0,19,7,0,30,49,9,90
SSC20432,0,0,0,26,24,0,46,75,8,132
SSC20433,5,0,8,15,8,0,22,73,26,120
SSC20434,0,0,0,19,8,0,30,88,14,135
SSC20435,9,0,9,85,47,5,139,204,25,367
SSC20436,0,0,0,0,3,0,3,7,5,19
SSC20437,0,0,0,0,0,0,3,27,6,36
SSC20438,0,0,0,3,0,0,3,7,3,10
SSC20439,43,3,44,1759,532,31,2315,4733,416,7470
SSC20440,0,0,0,0,0,0,0,0,0,0
SSC20441,0,0,0,33,17,0,49,76,20,147
SSC20442,94,20,110,632,297,39,968,2166,337,3470
SSC20443,0,0,3,32,14,0,39,61,29,135
SSC20444,0,0,0,7,3,0,5,27,0,38
SSC20445,4,0,4,58,11,0,73,174,18,262
SSC20446,0,0,0,10,4,0,14,17,3,36
SSC20447,0,0,0,3,0,0,5,4,0,9
SSC20448,0,0,3,9,0,0,9,9,4,19
SSC20449,4,0,6,25,10,3,42,74,16,132
SSC20450,0,0,0,0,0,0,0,0,0,0
SSC20451,849,86,941,3729,1373,122,5223,12068,925,18215
SSC20452,3,0,3,60,12,0,73,98,11,187
SSC20453,71,5,83,615,224,14,858,2836,337,4034
SSC20454,0,0,0,4,0,0,6,8,4,17
SSC20455,12,3,19,304,126,23,450,834,142,1425
SSC20456,0,0,0,3,8,0,9,24,11,45
SSC20457,0,0,0,11,6,0,17,12,12,37
SSC20458,98,26,133,434,215,23,671,1838,293,2804
SSC20459,53,16,69,589,228,30,849,1825,237,2909
SSC20460,0,0,0,0,5,0,5,7,0,10
SSC20461,0,0,0,8,9,0,23,37,0,61
SSC20462,0,0,0,33,4,0,38,104,20,165
SSC20463,0,0,0,0,0,0,0,13,5,18
SSC20464,0,3,6,111,39,4,159,310,60,526
SSC20465,0,0,0,8,4,0,14,20,4,38
SSC20466,299,24,330,1296,587,29,1916,4389,351,6654
SSC20467,0,0,0,22,18,0,34,79,14,130
SSC20468,0,0,0,14,3,0,18,81,8,105
SSC20469,0,0,0,3,0,0,3,0,0,4
SSC20470,0,0,0,3,0,0,3,9,0,13
SSC20471,12,6,18,113,90,6,206,474,89,763
SSC20472,7,0,7,60,62,0,124,237,30,385
SSC20473,8,0,9,350,92,12,461,765,98,1318
SSC20474,0,0,0,3,0,0,11,22,0,31
SSC20475,3,0,0,7,7,0,9,46,6,69
SSC20476,0,0,0,0,3,0,3,3,0,3
SSC20477,5,0,8,35,12,0,48,121,22,191
SSC20478,0,0,0,10,0,0,14,44,3,54
SSC20479,0,0,0,0,3,0,3,11,4,20
SSC20480,0,0,0,11,0,0,13,33,8,52
SSC20481,5,0,5,11,7,0,18,56,9,77
SSC20482,0,0,4,155,64,6,227,334,15,573
SSC20483,5,0,10,176,28,0,209,232,33,473
SSC20484,4,0,4,61,32,0,93,176,35,305
SSC20485,6,0,5,121,45,16,179,369,76,621
SSC20486,0,0,0,11,0,0,11,18,7,28
SSC20487,0,0,0,0,0,0,0,16,0,23
SSC20488,0,0,0,4,0,0,4,12,0,12
SSC20489,16,3,23,197,52,0,254,580,58,884
SSC20490,0,0,3,16,9,0,22,89,10,117
SSC20491,0,0,0,66,11,0,79,161,21,263
SSC20492,155,14,169,893,445,22,1362,14345,1733,17442
SSC20493,76,7,85,746,347,25,1118,4150,383,5650
SSC20494,3,0,4,11,6,0,22,47,6,72
SSC20495,357,51,412,2759,682,87,3528,10310,938,14771
SSC20496,0,0,0,13,18,8,38,64,12,111
SSC20497,42,7,48,5445,1033,118,6596,9897,1173,17669
SSC20498,0,0,3,31,9,0,41,55,6,103
SSC20499,0,0,0,21,3,0,19,54,20,89
SSC20500,3,0,4,15,3,0,16,54,23,97
SSC20501,0,0,0,7,3,0,9,19,11,39
SSC20502,0,0,0,4,0,0,7,19,0,27
SSC20503,0,0,0,6,0,0,6,0,0,12
SSC20504,68,15,83,640,246,30,919,2136,276,3336
SSC20505,291,135,420,3708,1104,118,4923,10189,1418,16537
SSC20506,0,0,0,3,12,3,15,35,9,61
SSC20507,3,0,3,25,23,3,52,123,9,180
SSC20508,0,0,0,3,0,0,3,15,0,25
SSC20509,0,0,0,47,13,0,64,131,22,212
SSC20510,76,25,97,167,69,9,242,1028,174,1439
SSC20511,0,0,0,12,6,0,19,44,3,63
SSC20512,0,0,0,16,12,0,25,61,22,108
SSC20513,238,113,354,933,417,76,1434,3596,675,5706
