SA3_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
20402,307,308,617,1041,925,1962,615,554,1164,187,218,398,1839,1694,3528,684,642,1329,587,640,1226,170,182,353,1447,1466,2909,66,72,140,25,81,105,131,79,210,91,184,272,0,7,10,315,423,737,72,165,240,33,73,104,9,35,45,68,219,286,0,3,7,186,496,676,30,34,63,41,94,142,0,0,6,77,129,209,1887,2127,4014,6054,6639,12690
20403,637,607,1240,1979,1896,3875,727,660,1389,342,360,699,3045,2915,5962,1420,1347,2775,608,621,1230,260,317,577,2289,2285,4575,192,148,345,75,138,215,288,184,470,200,372,567,9,3,12,763,843,1606,139,302,443,84,187,276,30,64,96,190,445,635,3,4,6,451,1007,1454,132,96,230,102,217,321,6,3,17,246,317,561,2901,2725,5625,10327,10703,21027
20501,383,374,764,1519,1370,2887,396,431,825,263,246,508,2176,2053,4225,895,886,1788,312,340,658,296,338,632,1510,1564,3075,74,84,164,23,78,102,165,93,261,88,210,297,0,0,3,355,469,823,174,313,492,56,177,229,33,53,92,104,271,382,0,5,9,369,823,1199,41,65,106,65,141,205,3,5,5,106,212,316,1770,1965,3735,6674,7464,14141
20502,299,300,604,1149,1110,2254,311,308,617,149,110,262,1605,1524,3132,741,701,1443,385,390,771,98,89,185,1227,1181,2404,44,76,118,21,73,90,90,70,162,84,155,234,3,6,6,240,376,617,41,97,136,14,71,87,10,26,38,68,205,277,0,3,3,133,403,539,23,37,62,48,113,162,3,4,6,80,157,235,2172,2346,4524,5756,6288,12044
20503,467,430,897,1801,1770,3570,313,294,608,215,241,453,2325,2308,4633,1207,1156,2366,248,280,533,270,333,597,1725,1768,3497,67,83,142,35,76,104,155,89,242,120,218,337,4,7,9,371,464,838,106,155,260,55,114,165,10,40,54,87,312,394,0,3,3,257,621,876,61,59,121,82,173,252,7,4,10,144,240,389,2594,2766,5361,7882,8602,16483
20504,482,464,953,2067,1889,3954,709,720,1430,167,175,345,2941,2782,5727,1339,1407,2743,552,522,1079,255,278,531,2143,2209,4355,114,153,271,56,130,185,232,154,382,155,249,408,11,8,16,569,691,1260,317,511,827,134,222,355,40,97,141,160,332,495,3,4,4,656,1166,1825,90,67,159,106,253,354,8,5,13,205,325,523,3186,3375,6561,10182,11015,21199
20505,342,296,631,1172,1079,2256,433,409,844,152,140,283,1756,1629,3384,725,710,1433,398,422,814,180,204,389,1304,1335,2636,44,41,88,19,57,72,109,66,176,70,162,230,0,3,3,246,332,574,85,147,232,19,81,100,19,43,66,82,225,308,0,0,3,206,498,710,36,47,80,60,105,164,0,8,8,93,157,247,2641,1842,4484,6585,6088,12672
20601,653,607,1258,1770,1600,3369,620,639,1265,144,189,333,2535,2430,4968,1131,961,2095,321,444,763,174,241,416,1632,1639,3270,167,156,325,221,205,433,106,68,175,265,279,540,3,8,10,767,724,1492,1820,2257,4073,1262,1464,2726,150,251,402,705,1180,1884,16,14,25,3948,5170,9112,125,169,297,201,310,505,3,9,9,323,487,811,2540,2662,5201,12397,13720,26118
20602,470,414,886,1510,1407,2917,328,370,698,82,135,218,1920,1905,3825,808,667,1473,226,284,509,248,219,469,1280,1167,2450,87,87,174,107,132,240,69,34,103,157,172,326,3,3,5,424,426,849,731,1020,1747,416,616,1032,64,105,169,411,755,1163,4,4,7,1623,2492,4122,49,66,118,88,192,279,0,0,0,139,260,399,1619,1765,3378,7485,8426,15915
20603,501,473,977,1180,1030,2212,901,896,1798,311,368,684,2391,2302,4695,738,651,1388,670,696,1370,430,550,979,1841,1899,3734,122,136,256,114,172,280,113,59,166,151,182,331,8,0,8,499,540,1043,1327,1468,2796,567,597,1163,139,150,288,408,631,1039,9,13,18,2445,2857,5305,110,189,300,151,298,449,6,10,11,263,495,761,2311,2476,4787,10256,11037,21293
20604,402,377,774,961,891,1850,203,208,408,189,231,425,1347,1330,2682,724,626,1350,143,163,309,390,459,845,1260,1248,2511,687,760,1449,695,910,1601,157,115,272,434,545,977,7,7,16,1969,2345,4314,10713,13996,24707,3288,3333,6618,287,363,647,1013,1284,2298,39,40,83,15345,19012,34363,728,1064,1798,710,887,1597,5,17,22,1443,1970,3414,8285,7967,16246,30051,34253,64307
20605,633,600,1224,1566,1520,3086,286,303,591,511,435,946,2362,2257,4617,677,609,1280,189,228,418,644,657,1297,1504,1490,2993,122,137,255,188,250,444,74,85,161,283,368,653,5,10,16,685,850,1529,1151,1365,2519,710,945,1654,123,181,306,792,1192,1986,13,13,26,2794,3699,6489,169,181,352,289,506,797,5,7,18,463,700,1163,5191,5209,10399,13627,14795,28419
20606,306,312,618,500,464,960,152,167,320,458,512,970,1109,1143,2253,137,204,345,149,186,327,581,645,1229,868,1035,1897,102,101,206,115,143,260,55,56,107,168,201,363,5,5,9,442,505,943,1246,1716,2965,585,702,1289,126,190,316,572,710,1281,6,8,12,2542,3315,5859,64,105,170,147,285,428,0,5,11,204,395,602,2821,3027,5850,8293,9734,18027
20607,446,464,914,1471,1366,2840,286,307,588,164,217,383,1923,1889,3810,656,779,1438,272,226,500,305,354,660,1230,1364,2594,140,134,276,199,264,465,74,70,144,293,305,606,5,7,20,721,780,1499,1368,1883,3254,999,1203,2202,157,212,364,923,1392,2315,9,10,23,3454,4700,8156,116,221,336,247,429,674,3,14,16,359,661,1018,4068,4208,8276,12200,14072,26273
20701,1440,1331,2772,4558,4117,8679,1389,1269,2655,1181,1446,2627,7132,6829,13958,2141,2193,4331,1515,1232,2747,2933,3155,6091,6588,6581,13172,306,209,516,216,285,500,175,73,242,326,404,731,7,6,6,1026,977,2008,4918,4798,9709,1338,1399,2741,405,435,839,993,1429,2425,19,28,43,7669,8094,15761,192,234,430,300,580,875,9,16,26,500,825,1326,4112,4377,8485,28468,29014,57488
20702,706,648,1351,2384,2142,4522,735,675,1417,237,246,479,3355,3062,6419,1858,1655,3513,573,613,1187,563,574,1138,2992,2844,5842,183,147,334,132,184,311,159,56,215,190,242,433,5,6,18,673,641,1315,1813,1891,3702,430,471,902,154,151,311,336,444,788,12,22,32,2749,2984,5733,132,148,277,239,415,655,4,7,11,378,567,948,1924,2231,4151,12775,12981,25758
20703,880,836,1717,2868,2576,5439,722,705,1431,301,387,688,3891,3663,7557,1821,1654,3480,659,716,1373,782,1049,1837,3263,3427,6687,367,227,596,262,291,551,198,81,279,257,312,569,4,9,10,1087,923,2011,3516,3549,7068,1117,1107,2227,208,226,430,479,693,1168,16,15,34,5341,5583,10926,233,215,447,310,478,782,4,3,8,546,702,1243,2316,2547,4861,17324,17676,35004
20801,953,850,1809,2537,2572,5104,912,956,1869,1034,1017,2048,4479,4546,9027,926,885,1812,661,776,1439,2259,1937,4195,3847,3605,7449,107,79,193,44,102,144,137,51,186,121,211,331,5,6,7,416,448,863,1590,1621,3216,245,325,567,178,154,329,385,639,1027,11,28,40,2412,2767,5179,58,54,113,141,339,482,3,6,6,197,399,596,2623,2951,5571,14922,15565,30488
20802,1475,1352,2828,3827,3424,7248,1093,1064,2154,1482,1486,2964,6398,5969,12362,2054,1783,3837,905,986,1898,1727,1765,3492,4691,4539,9231,291,225,517,223,314,538,209,85,296,318,427,743,7,4,14,1050,1060,2106,3245,3711,6956,1141,1256,2396,259,274,532,757,1099,1854,13,23,32,5413,6358,11773,233,248,479,310,531,845,7,11,15,550,790,1341,3737,3910,7642,23313,23969,47285
20803,1103,1016,2121,3207,3075,6286,1378,1169,2547,373,416,784,4956,4663,9616,1829,1919,3754,1026,929,1956,624,723,1340,3475,3575,7046,289,229,521,126,178,304,320,133,450,308,368,680,9,5,13,1053,911,1961,1197,1422,2611,283,465,747,137,203,339,414,793,1206,11,15,26,2039,2900,4939,138,138,277,225,421,641,5,15,15,371,573,937,3208,3633,6833,16199,17263,33461
20804,387,327,720,889,842,1736,386,363,750,429,470,902,1699,1679,3382,149,175,323,381,341,728,848,830,1676,1373,1349,2721,76,62,138,47,89,132,43,28,69,75,102,176,0,0,0,236,282,514,1225,1500,2722,394,414,806,86,97,183,227,324,551,3,10,14,1931,2343,4276,48,61,109,71,142,210,0,0,0,120,205,323,1051,1172,2219,6803,7355,14157
20901,1097,1115,2218,3461,3282,6745,1225,1139,2366,320,340,658,5010,4756,9767,2148,1865,4012,1030,1021,2049,635,705,1338,3812,3591,7399,228,215,445,116,196,314,291,115,399,302,324,621,8,5,17,952,853,1799,1813,2017,3829,627,722,1351,194,200,395,559,852,1412,14,12,26,3202,3805,7008,177,134,311,208,439,647,11,8,19,398,580,972,2980,3353,6335,17454,18044,35499
20902,652,627,1273,2113,1891,4005,803,761,1569,225,218,444,3143,2868,6011,1265,1124,2385,711,763,1477,212,222,430,2182,2111,4289,217,228,448,230,326,557,162,76,238,265,332,594,14,3,16,886,972,1859,2104,2458,4557,1273,1154,2430,143,170,314,454,641,1100,15,15,28,3991,4440,8435,266,253,521,240,419,656,0,5,3,503,681,1187,3716,3966,7683,15074,15664,30734
20903,604,574,1173,2449,2322,4770,494,461,954,224,246,473,3161,3035,6198,1656,1473,3132,605,709,1317,501,446,947,2761,2629,5389,130,105,229,30,58,91,349,95,447,150,177,324,5,4,4,657,438,1094,827,1044,1868,151,220,374,91,128,218,225,457,680,0,3,3,1300,1854,3151,56,60,110,103,185,289,0,0,0,159,238,401,1583,1599,3189,10223,10372,20594
20904,2128,1894,4022,6848,6152,13003,2413,2471,4884,562,607,1175,9818,9236,19056,4144,3994,8145,2052,1956,4010,585,603,1185,6785,6556,13342,527,517,1045,313,514,825,574,263,839,544,738,1286,22,10,35,1970,2055,4027,2610,3088,5702,927,1088,2013,234,305,540,582,962,1550,17,30,45,4375,5472,9845,388,478,868,439,842,1283,21,22,42,852,1344,2196,6261,6619,12878,32191,33168,65361
21001,453,415,861,1002,892,1896,1173,993,2168,239,245,487,2420,2130,4553,945,819,1764,618,679,1296,316,325,642,1885,1823,3706,84,61,140,37,49,89,144,41,188,98,111,211,8,7,10,372,272,644,766,859,1624,146,208,351,82,91,173,177,290,467,5,6,11,1174,1450,2623,55,71,119,124,186,305,7,3,14,182,254,438,1581,1763,3341,8051,8116,16164
21002,303,260,566,1084,968,2055,322,342,662,116,105,228,1524,1414,2941,513,508,1018,422,356,773,237,208,441,1166,1068,2237,34,35,69,9,22,26,108,51,153,57,78,137,3,6,7,204,185,388,190,295,493,36,69,105,24,38,62,69,187,259,0,0,3,320,599,915,17,27,39,41,123,165,0,3,3,57,145,210,990,998,1992,4573,4673,9246
21003,659,569,1227,1557,1417,2976,874,853,1727,385,434,818,2814,2704,5518,1028,1018,2045,618,545,1165,341,334,679,1989,1900,3890,222,132,353,143,164,315,155,72,225,202,223,425,10,8,18,734,607,1335,1092,1012,2110,619,491,1104,93,125,212,305,454,759,12,10,21,2120,2088,4210,256,186,445,227,328,558,8,14,20,495,530,1022,2781,2780,5561,11590,11163,22753
21004,329,318,648,1236,1120,2351,386,412,796,109,89,202,1732,1620,3356,871,857,1730,376,361,736,129,127,259,1382,1344,2724,74,74,148,29,59,90,173,83,258,96,128,221,0,3,3,376,346,720,321,451,764,72,138,211,51,72,127,114,242,359,0,3,8,563,911,1474,34,57,92,87,150,234,3,0,6,122,204,328,1072,1150,2224,5573,5894,11471
21005,1350,1253,2605,4815,4424,9239,1692,1654,3348,1107,1137,2241,7612,7219,14823,3439,3422,6866,1177,1231,2401,1164,1274,2434,5785,5921,11703,603,509,1113,340,523,862,395,198,596,400,524,916,27,15,44,1768,1765,3530,2011,2411,4425,613,662,1276,204,268,474,387,557,942,23,29,49,3236,3928,7166,516,639,1158,406,812,1219,21,16,35,947,1473,2415,5849,5787,11638,26545,27341,53885
21101,1248,1177,2424,4633,4233,8862,1035,990,2026,593,495,1096,6265,5718,11982,3127,3271,6399,1366,1195,2560,833,798,1633,5327,5262,10588,324,342,663,160,265,426,520,239,757,427,556,977,16,6,25,1442,1405,2850,2022,2218,4233,431,563,994,219,285,507,474,794,1263,7,13,16,3151,3871,7022,167,234,399,304,650,954,4,12,14,474,900,1370,3370,3525,6894,21274,21856,43127
21102,209,207,418,759,736,1497,240,196,442,223,184,413,1225,1122,2347,422,425,842,353,264,613,455,441,901,1227,1131,2361,43,41,82,9,16,25,82,30,109,44,52,95,0,0,0,185,135,320,479,502,985,70,96,166,58,55,118,63,141,201,3,8,9,670,800,1472,13,22,41,48,79,129,0,0,0,64,106,170,572,585,1159,4150,4092,8238
21103,1011,977,1990,3290,3109,6407,742,727,1467,543,533,1074,4575,4369,8947,2059,1930,3989,745,661,1403,873,834,1711,3681,3421,7105,235,240,474,153,195,351,416,139,553,306,396,704,7,6,11,1114,984,2096,1131,1314,2439,316,439,755,144,196,341,403,723,1124,6,16,24,1998,2693,4691,174,188,358,242,484,728,10,6,11,422,676,1104,2470,2838,5309,15280,15959,31240
21104,615,565,1178,1965,1892,3855,371,444,810,168,161,331,2501,2495,4995,1360,1172,2532,388,396,783,337,333,668,2083,1898,3978,136,112,245,88,132,218,130,44,166,135,215,349,3,7,9,490,505,992,937,991,1932,302,329,628,96,104,198,277,380,654,11,3,14,1622,1806,3424,80,99,178,135,279,410,3,3,8,213,379,596,1150,1391,2534,8665,9031,17696
21105,1432,1268,2697,4974,4570,9546,934,932,1869,728,665,1393,6631,6173,12808,3098,2975,6073,926,1043,1971,1017,1152,2168,5052,5168,10222,251,317,567,123,174,292,761,285,1047,450,534,985,9,11,21,1605,1322,2922,1006,1349,2353,229,464,695,139,208,345,373,901,1278,3,12,22,1753,2937,4686,120,160,281,266,565,830,5,9,19,394,736,1127,4048,4287,8331,20911,21885,42796
21201,1070,920,1992,3125,2962,6083,848,835,1678,725,772,1493,4695,4562,9257,1845,1753,3598,623,660,1279,846,828,1673,3313,3240,6557,210,242,444,73,153,228,393,185,579,243,378,621,9,13,24,931,968,1902,565,844,1405,148,310,460,74,156,226,225,481,712,4,3,9,1009,1797,2802,105,135,239,157,373,532,3,7,8,265,519,787,2997,3067,6061,14286,15068,29353
21202,1076,982,2057,4075,3759,7836,1067,1112,2177,901,854,1759,6043,5730,11776,2962,2676,5640,1026,1047,2071,1152,1168,2313,5135,4885,10022,369,350,721,171,299,473,456,209,664,353,465,816,12,10,18,1350,1338,2690,1558,1882,3441,339,473,812,182,247,426,344,562,906,5,19,27,2423,3181,5607,221,286,503,281,577,862,12,13,22,514,878,1390,3473,3511,6989,20016,20500,40517
21203,1628,1505,3133,6439,6041,12482,1541,1458,2998,943,950,1891,8924,8443,17370,4072,3892,7961,1201,1262,2461,853,939,1788,6127,6091,12213,457,550,1005,246,392,636,507,300,808,463,732,1196,25,10,32,1693,1983,3677,1550,1720,3273,411,589,1006,156,256,412,405,729,1128,7,15,25,2532,3310,5846,325,436,761,372,865,1240,15,19,33,707,1328,2032,5342,5376,10721,26951,28042,54989
21204,1280,1215,2498,4646,4285,8928,1506,1502,3005,583,558,1147,6738,6348,13085,3970,3589,7555,1153,1298,2448,627,600,1226,5744,5490,11231,864,676,1544,536,626,1155,350,190,542,526,583,1112,27,12,34,2301,2088,4389,3130,3007,6140,1204,1081,2282,269,313,584,481,614,1096,29,30,56,5109,5039,10155,674,735,1415,681,1069,1747,14,24,37,1378,1827,3205,6492,6085,12575,29046,28082,57128
21205,1362,1251,2618,4589,4286,8880,1279,1220,2502,530,583,1113,6396,6096,12489,3272,2829,6105,1127,1190,2313,1166,1161,2328,5568,5181,10747,572,399,967,373,466,832,296,108,411,413,589,998,16,10,27,1660,1577,3235,7091,7252,14342,2019,1866,3884,329,313,639,705,916,1615,45,31,76,10180,10381,20559,342,314,657,389,628,1018,3,14,17,735,957,1695,4349,4568,8912,30255,30005,60256
21301,1280,1184,2461,4504,4125,8624,1992,2055,4049,505,505,1006,7004,6684,13683,3896,3664,7565,1384,1881,3267,580,541,1117,5864,6086,11945,624,528,1156,384,574,963,395,204,597,401,475,878,29,26,52,1840,1803,3646,3003,3149,6150,962,1047,2011,315,288,604,473,572,1050,23,44,69,4773,5104,9882,685,815,1496,597,1081,1683,21,32,52,1302,1932,3235,7091,6973,14067,29151,29764,58915
21302,759,708,1463,2362,2183,4546,783,816,1595,240,301,547,3382,3297,6679,1278,1153,2424,717,792,1508,379,375,755,2370,2317,4690,133,109,237,85,104,188,158,79,239,189,255,446,9,5,15,570,554,1123,972,1049,2013,286,414,701,86,140,225,307,664,972,8,8,23,1664,2273,3932,104,145,252,182,348,528,5,4,13,290,499,794,2497,2630,5122,11531,12285,23814
21303,655,579,1230,1780,1690,3474,633,649,1284,139,164,302,2553,2505,5056,1103,1020,2122,456,511,973,200,183,381,1762,1717,3481,245,197,445,255,292,547,109,84,192,277,285,564,11,5,17,896,867,1765,1973,1759,3728,1085,895,1977,127,168,291,599,815,1413,15,13,31,3796,3643,7438,223,342,566,262,457,716,8,5,18,496,804,1301,3188,3111,6302,13345,13230,26578
21304,1522,1488,3008,5555,5329,10882,1679,1807,3488,950,949,1901,8181,8092,16269,3430,3222,6650,1257,1371,2626,890,888,1779,5573,5478,11056,277,263,538,149,251,400,409,179,584,328,454,778,8,6,9,1159,1157,2315,1283,1668,2951,300,548,851,158,262,418,391,691,1084,9,8,24,2141,3178,5318,290,337,627,337,704,1042,11,18,23,634,1059,1697,5700,5499,11197,24917,25943,50859
21305,2301,2199,4504,7422,6681,14107,2664,2570,5229,1439,1445,2887,11528,10696,22226,4217,4036,8256,1831,1984,3814,986,1027,2017,7031,7055,14085,492,453,941,319,587,905,503,219,723,511,799,1305,15,17,35,1842,2075,3913,2352,2508,4857,1044,1210,2254,230,322,548,776,1109,1884,19,31,52,4419,5173,9593,574,701,1283,590,1270,1867,18,27,39,1184,2001,3190,7790,6784,14573,36094,35985,72077
