SA3_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
20606,633,903,1540,2783,3494,6279,0,0,0,109,157,266,0,0,0,4585,5899,10487,13,13,23,1182,1371,2553,22,36,58,11,15,32,69,121,191,37,45,76,97,103,205,99,159,257,371,426,802,0,8,10,9,7,17,504,665,1167,304,482,787,14,16,33,10217,13015,23233,666,561,1223,364,360,721,1271,1415,2689,0,0,0,50,34,90,85,94,179,138,130,269,12171,12260,24435,147,128,277,54,83,136,12367,12477,24843,3894,4049,7945,29556,32911,62467
20607,1399,2042,3445,2001,2390,4391,0,0,0,206,215,423,3,3,7,6509,7749,14258,12,29,40,1444,1666,3107,23,30,58,19,16,33,93,133,228,77,75,150,75,110,188,127,181,308,301,354,655,19,45,61,15,19,32,442,659,1100,502,668,1172,23,31,56,11900,14370,26267,304,275,579,974,1039,2014,234,262,496,5,0,9,32,28,60,138,133,263,177,157,332,21509,21093,42602,325,253,583,85,130,215,21922,21479,43398,5504,5426,10927,42415,45041,87453
20701,2241,3141,5383,7248,8984,16236,4,7,9,1105,1363,2469,3,9,13,16724,19549,36275,85,132,214,3514,3787,7298,53,73,131,37,58,89,246,360,602,136,156,285,266,325,588,417,531,943,1196,1461,2656,67,94,164,46,52,99,2340,3341,5679,1258,1630,2887,38,54,84,34780,41949,76727,2222,1870,4087,1011,832,1846,703,759,1458,0,6,6,203,163,360,236,295,526,437,458,892,31099,30242,61335,333,291,622,95,170,267,31523,30701,62231,7232,7381,14606,80145,87085,167231
20702,1847,2349,4195,2511,3285,5798,4,4,8,893,1111,1997,7,3,8,9412,10681,20090,96,140,236,4423,4702,9122,45,66,111,49,50,104,148,176,326,332,355,688,310,346,663,460,515,975,730,880,1608,48,60,108,24,35,58,992,1420,2411,1083,1265,2350,19,34,55,21590,25128,46721,759,754,1513,1216,1148,2363,157,167,317,3,3,3,259,241,500,262,288,545,523,526,1048,13981,13116,27095,96,68,164,46,64,105,14117,13250,27367,3309,3540,6851,43519,46853,90369
20703,2344,2870,5223,3391,4420,7817,0,0,0,1116,1388,2504,4,7,10,8508,10087,18590,150,175,322,2005,2146,4154,46,58,101,59,60,119,220,285,501,35,49,85,253,342,599,341,483,821,830,1056,1885,153,233,385,64,77,146,1510,2138,3651,1188,1515,2700,43,46,84,19906,24559,44468,1469,1223,2689,701,558,1261,84,96,181,3,0,3,299,250,550,184,192,377,483,445,926,19888,18881,38766,145,155,297,74,99,179,20107,19136,39240,4020,4033,8048,49118,52920,102040
20801,468,718,1183,6101,7831,13931,0,0,4,261,298,559,3,0,5,10039,12010,22053,31,47,73,1814,1986,3799,40,51,84,19,28,45,167,222,393,60,54,113,129,125,251,102,131,231,863,966,1834,17,28,42,22,25,40,1370,1885,3260,536,704,1240,33,37,69,21608,26432,48034,291,288,581,220,217,441,1267,1340,2607,0,0,0,67,42,106,91,114,208,157,157,317,17715,17002,34715,157,108,269,58,116,172,17924,17228,35154,4288,4477,8768,46229,50862,97087
20802,1343,1833,3172,3895,4939,8830,7,0,7,423,486,904,0,0,3,11875,14125,26002,38,57,99,4290,4710,9004,106,125,230,22,33,57,173,248,421,123,121,247,137,164,295,187,238,425,738,903,1641,25,37,60,29,47,77,1198,1679,2882,843,1059,1900,54,60,121,24171,29028,53196,3370,2808,6177,545,466,1011,11387,12337,23717,0,0,0,254,196,450,243,228,474,497,423,922,23607,22747,46358,251,215,467,113,158,263,23972,23114,47087,6478,6667,13146,71759,76673,148437
20803,852,1317,2178,5219,6760,11981,0,0,0,460,544,1011,4,3,5,14169,16138,30307,88,141,230,2713,2922,5631,120,149,272,88,99,189,170,204,377,117,117,233,133,159,292,285,363,651,990,1228,2221,34,67,98,35,63,100,1346,1863,3215,1030,1233,2260,41,35,77,27038,32103,59138,853,779,1636,526,517,1040,525,575,1106,0,0,6,181,150,324,161,226,388,344,374,714,20879,19377,40252,161,131,292,81,141,220,21125,19651,40771,5025,5212,10233,56283,60527,116817
20804,382,558,941,2256,2773,5032,0,0,0,131,138,273,0,0,0,4044,4790,8841,10,21,30,1182,1284,2468,17,39,56,13,6,20,54,61,117,29,29,54,50,49,102,52,82,132,323,356,678,10,10,18,6,15,18,527,737,1269,240,291,525,10,11,21,8948,10693,19640,647,567,1212,180,160,342,669,730,1401,0,0,0,50,39,92,55,50,109,107,91,197,6982,6852,13831,71,53,127,23,22,47,7081,6927,14004,1805,1822,3624,19816,21548,41367
20901,898,1223,2121,4797,6011,10806,0,3,6,619,805,1424,53,57,116,15567,17631,33201,64,90,159,2575,2711,5283,64,94,154,66,65,127,237,282,523,112,119,236,153,193,344,413,499,910,936,1094,2027,117,130,240,38,46,78,1421,2025,3445,1135,1344,2477,35,39,73,28391,33233,61625,879,777,1654,1397,1318,2714,61,79,142,0,3,4,159,155,311,168,258,430,328,416,745,22035,20175,42209,231,180,413,82,146,231,22356,20497,42851,4919,5100,10018,59222,62644,121865
20902,1500,1804,3306,1445,2010,3462,31,39,74,246,295,540,3,3,8,11846,13573,25418,34,62,101,4142,4337,8477,87,142,229,36,23,59,54,85,142,86,96,185,108,123,232,166,213,384,375,462,836,61,82,136,23,37,61,414,614,1024,959,1148,2114,19,27,48,20144,23364,43506,1930,1428,3355,3169,2751,5914,36,37,67,8,11,22,620,465,1076,120,174,293,743,651,1396,13711,13308,27023,191,128,319,71,114,183,13965,13555,27520,4828,4751,9585,46313,48341,94653
20903,219,350,568,3260,3715,6970,0,0,0,415,520,932,173,196,361,7409,7981,15387,24,35,58,853,838,1692,34,60,97,25,21,41,139,156,289,26,29,57,105,91,193,138,182,320,575,615,1189,44,74,113,26,39,62,874,1172,2045,652,816,1468,22,32,48,14774,16560,31334,122,100,221,147,129,274,31,29,62,0,3,3,40,33,72,87,123,214,128,155,288,13926,12759,26683,122,96,222,55,105,161,14100,12962,27065,2708,2600,5309,32237,32886,65123
20904,3079,3646,6725,5484,6653,12139,65,67,137,770,842,1615,33,30,69,28631,31498,60130,53,85,140,10064,10336,20405,260,304,565,203,232,434,167,182,346,597,552,1148,294,361,658,1088,1240,2331,1327,1445,2770,126,183,311,147,212,353,1388,1745,3137,4016,4257,8270,41,40,87,54755,60270,115027,4514,3900,8413,7616,7175,14794,36,28,60,8,10,16,3200,2699,5902,303,372,668,3507,3074,6584,23470,21234,44701,168,136,309,92,127,224,23727,21507,45234,8470,8407,16875,105705,108009,213708
21001,546,796,1341,1624,1986,3609,18,24,43,185,265,449,0,0,3,12497,13635,26134,25,31,57,1961,2059,4026,62,73,127,11,17,28,57,99,152,122,125,240,74,96,172,189,222,404,340,414,753,16,33,49,16,26,46,578,852,1430,511,574,1091,11,7,18,18296,20532,38831,359,342,704,567,485,1052,16,6,20,0,0,0,132,104,239,45,60,107,184,164,346,6324,5426,11753,64,34,99,16,25,47,6408,5492,11895,2153,2226,4381,28526,30038,58565
21002,67,109,177,1892,2230,4122,0,0,0,91,111,204,0,0,0,4022,3965,7989,37,40,77,106,120,224,24,29,56,24,24,44,60,68,130,0,3,3,22,29,53,98,106,203,331,352,688,13,20,34,25,25,44,635,822,1461,256,277,531,3,3,7,7636,8239,15878,11,8,22,30,27,60,11,7,17,0,0,0,6,11,16,20,26,48,30,33,65,5487,5032,10521,53,48,101,25,32,64,5574,5112,10684,1344,1331,2671,14703,14868,29574
21003,749,950,1702,1356,1800,3159,53,46,101,171,218,396,0,0,3,11179,12620,23793,28,26,54,1876,2052,3931,83,119,200,68,63,122,77,109,190,91,75,162,94,116,216,129,165,296,311,409,719,36,37,68,14,16,24,440,602,1035,516,631,1151,15,16,33,16530,19130,35660,1697,1330,3025,6583,5415,11997,14,9,27,3,3,6,414,256,672,84,92,177,498,351,849,7772,7367,15141,82,81,168,32,52,81,7888,7502,15386,3451,3408,6860,37406,38103,75506
21004,136,212,345,2126,2601,4728,5,5,11,188,198,386,66,79,143,5788,6399,12186,38,42,79,289,276,571,63,78,133,67,87,155,92,117,213,17,15,29,47,43,83,128,155,282,346,428,769,26,50,77,16,14,35,632,857,1487,392,481,871,4,18,21,10323,11941,22263,89,87,179,144,116,259,10,11,19,0,3,5,66,55,118,45,53,95,113,106,219,6669,5983,12653,57,49,109,22,29,52,6747,6064,12811,1649,1629,3273,19212,20156,39369
21005,2140,2369,4513,2878,3606,6488,1017,1034,2055,339,392,735,5,6,11,24248,25388,49633,51,68,122,2850,2925,5778,229,236,468,346,395,738,84,100,187,477,483,963,299,307,610,642,684,1323,675,733,1404,82,108,190,120,145,268,924,1146,2078,2065,2165,4227,36,43,78,37376,39957,77331,2834,2538,5379,16334,15928,32257,18,17,32,10,11,21,2465,2082,4542,233,256,492,2705,2347,5053,11533,10096,21627,97,80,172,57,66,124,11683,10242,21922,7139,6726,13864,80228,80126,160353
21101,2691,3172,5864,6489,8028,14514,3,4,9,1659,1982,3644,105,97,197,15573,17624,33204,217,279,497,1885,1881,3767,146,185,334,255,276,533,374,492,861,360,355,714,421,488,910,1335,1483,2821,1595,1844,3436,180,224,401,202,218,421,2114,2795,4909,2415,2880,5293,180,195,376,35505,41332,76835,2041,1952,3991,852,875,1724,78,97,176,3,0,3,431,392,824,335,389,727,764,785,1553,27193,24567,51758,218,178,403,101,136,237,27513,24877,52395,5896,5727,11623,75341,78814,154154
21102,197,269,461,1226,1479,2700,0,0,0,320,393,710,6,0,4,2947,3107,6056,39,33,70,504,544,1045,14,16,34,12,11,19,96,107,206,48,38,90,87,102,187,211,205,419,271,300,572,30,25,56,47,46,91,427,542,971,370,437,805,10,15,27,6661,7397,14057,112,109,216,110,113,224,12,21,39,0,0,0,52,50,102,54,71,120,99,118,225,4553,4124,8679,33,17,47,27,22,45,4608,4162,8775,1037,960,1996,12834,13153,25986
21103,886,1211,2101,4838,6251,11086,0,0,0,2208,2446,4655,21,19,40,10354,11630,21989,219,290,510,690,774,1466,84,126,214,153,150,297,460,593,1050,63,65,126,227,265,500,715,870,1583,1077,1293,2370,163,226,385,186,217,405,1723,2434,4164,1934,2392,4318,183,235,420,25285,30277,55565,711,663,1378,350,294,643,46,49,94,3,10,12,292,271,567,216,282,501,512,563,1079,20825,19087,39908,222,177,404,71,115,188,21122,19377,40501,4266,4322,8585,53179,56755,109933
21104,1304,1563,2867,2109,2666,4769,3,0,3,867,1023,1885,0,0,3,5462,6372,11836,170,206,376,928,1029,1956,38,54,91,40,50,90,156,163,317,100,76,177,181,181,360,348,351,694,514,669,1181,80,111,191,104,150,255,917,1366,2284,903,1074,1973,28,35,60,12928,15579,28500,896,817,1717,489,417,904,32,45,74,0,0,0,254,209,461,124,146,272,377,360,737,10924,10223,21146,104,77,181,36,62,94,11061,10360,21421,2211,2339,4553,29289,31482,60769
21105,594,893,1483,7317,8847,16168,0,0,0,1604,1794,3401,120,127,245,12751,14148,26900,233,275,505,536,517,1056,230,269,496,162,173,337,407,469,877,21,14,37,259,297,554,755,920,1680,1525,1889,3415,149,199,347,417,482,902,2182,2954,5132,2685,3059,5742,158,204,365,31532,36641,68168,261,242,505,161,145,303,86,78,165,9,4,12,93,86,178,252,422,673,347,516,869,33253,29784,63037,363,277,639,137,255,387,33748,30315,64064,6694,6500,13192,73430,75331,148760
