SA3_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
20601,7024,1532,565,25,26,9170,5421,2133,1573,21,37,9185,2371,3482,5172,89,43,11146,108,316,316,0,0,739,917,730,643,35,22,2349,24,50,60,0,3,144,45,33,44,4,8,133,77,50,28,0,0,158,3533,4657,6264,132,73,14664,98,42,22,0,0,163,416,209,224,10,18,872,16496,8572,8652,191,153,34058
20602,4354,1055,321,20,15,5758,3496,1399,805,18,15,5732,1380,1966,2718,55,31,6144,72,185,342,0,0,601,447,375,291,23,11,1149,34,40,26,0,0,104,24,17,11,3,0,59,62,25,19,0,0,106,2021,2610,3412,79,43,8166,49,26,14,0,3,100,274,99,137,4,7,523,10199,5187,4693,121,84,20277
20603,5074,1186,878,17,22,7163,4174,1503,1234,17,24,6947,1219,1640,4109,49,23,7037,46,183,1576,0,7,1808,444,317,554,16,8,1342,53,22,97,0,0,166,37,15,36,4,3,87,50,28,49,0,0,128,1843,2195,6420,67,43,10572,65,38,68,0,0,168,247,105,353,3,21,730,11394,5032,8951,103,103,25578
20604,592,1761,5586,12,37,7984,436,1820,7002,16,44,9316,315,2235,25061,45,178,27831,54,312,2143,0,17,2527,134,749,4513,16,31,5442,10,58,548,0,0,626,15,33,725,5,21,802,13,61,284,7,11,364,546,3446,33264,75,256,37595,22,47,354,8,9,441,57,186,1350,46,46,1682,1657,7253,47554,161,392,57012
20605,1649,3494,3637,50,34,8871,1384,3293,5636,86,28,10425,551,2365,15179,270,62,18434,31,546,1429,4,3,2004,189,678,2311,58,11,3248,9,34,318,3,3,370,16,16,101,0,0,135,22,45,147,3,4,221,811,3688,19483,340,85,24411,23,57,150,0,3,234,97,234,800,13,35,1177,3975,10764,29702,484,188,45114
20606,2229,2036,2249,7,23,6543,1284,1476,2699,8,15,5477,581,1543,9738,30,24,11923,3,69,1009,0,0,1074,184,451,1368,11,15,2027,0,5,98,0,0,104,4,17,75,0,3,97,16,37,87,3,3,144,795,2112,12371,46,44,15373,36,35,92,0,0,166,112,143,486,3,8,754,4454,5800,17895,68,95,28314
20607,1971,3912,1302,23,25,7227,1464,3795,2815,25,32,8143,978,4163,7653,99,68,12953,110,417,2892,0,6,3426,387,1295,1098,45,27,2848,68,38,265,0,0,375,33,31,62,4,8,145,32,64,75,3,3,175,1597,6010,12040,155,107,19915,70,71,92,3,3,236,139,346,513,14,20,1031,5237,14140,16771,223,191,36553
20701,16110,4433,1987,31,40,22604,11925,3148,2159,31,37,17305,3273,3262,7304,76,60,13976,97,114,255,0,3,468,1112,780,1060,30,25,3005,45,96,124,0,3,268,69,41,74,3,3,189,139,74,74,0,5,287,4725,4370,8887,111,96,18192,187,96,165,0,11,455,620,230,420,6,13,1288,33568,12272,13622,181,204,59849
20702,11990,2064,574,3,12,14649,6916,1837,608,3,19,9383,2507,1381,954,7,9,4858,30,44,59,0,0,138,793,320,159,3,6,1281,18,21,37,0,0,73,58,22,19,0,3,97,76,25,17,0,0,121,3480,1814,1243,7,21,6565,201,90,45,0,0,334,562,171,78,0,77,896,23154,5974,2545,15,136,31827
20703,10090,2619,432,6,14,13162,8134,2225,559,10,22,10949,2920,2527,2093,7,30,7585,229,287,119,0,0,639,1205,620,347,5,10,2181,44,105,120,0,0,262,126,70,82,0,3,286,82,45,37,0,0,166,4604,3654,2798,17,47,11120,190,251,95,0,0,536,522,221,130,0,15,887,23543,8963,4013,39,101,36658
20801,10188,3005,1021,32,41,14291,8347,2311,788,59,57,11565,1993,1883,1521,73,31,5496,148,297,348,0,0,791,692,473,241,25,15,1446,12,22,87,0,0,119,32,26,29,3,0,84,73,38,23,0,0,142,2948,2736,2249,103,48,8080,100,90,96,0,0,296,462,187,138,3,6,808,22051,8336,4296,193,154,35037
20802,12323,3841,1602,19,30,17819,10217,4149,2460,35,46,16907,3255,3621,7169,76,40,14162,59,253,201,0,0,522,1165,1026,1035,36,16,3281,44,69,120,0,0,230,73,38,68,5,0,185,120,80,71,0,8,275,4715,5091,8660,120,66,18652,134,119,134,0,4,391,602,351,319,8,23,1301,27989,13558,13163,181,180,55064
20803,9778,3365,1311,78,35,14569,10761,4208,1820,32,44,16865,2363,3067,2790,55,26,8304,198,215,283,0,3,690,730,650,388,22,12,1807,33,27,84,0,7,151,55,30,34,78,4,203,72,56,34,3,5,168,3451,4043,3608,164,67,11325,108,94,124,0,8,328,529,286,272,9,34,1131,24623,11993,7138,278,187,44224
20804,3587,1152,593,16,6,5359,2737,898,670,25,13,4345,640,806,2473,118,16,4043,7,38,77,0,4,124,252,198,370,21,9,845,3,30,59,3,3,101,16,12,35,0,0,57,16,20,15,0,0,56,933,1106,3022,143,28,5234,41,52,51,3,0,148,147,59,104,3,4,322,7443,3266,4448,187,60,15406
20901,14697,1497,379,13,33,16615,13066,1951,420,10,20,15467,3702,2022,1289,18,28,7057,623,580,243,0,16,1460,1184,424,192,12,13,1816,66,93,88,0,0,253,185,60,8,0,0,253,103,41,18,0,0,165,5865,3219,1841,32,48,11003,143,86,37,0,0,270,775,203,75,0,18,1070,34541,6962,2749,50,130,44431
20902,9342,1303,193,13,13,10857,6476,2300,512,42,25,9350,3270,3550,1676,78,34,8612,568,741,310,0,0,1624,1186,581,206,44,11,2027,35,44,63,0,3,139,122,76,33,3,0,235,115,48,15,5,0,180,5297,5041,2303,126,48,12818,142,75,15,0,4,238,753,316,99,3,18,1195,22009,9034,3111,192,110,34457
20903,7695,163,164,12,17,8054,10121,208,108,13,17,10465,896,182,136,0,6,1223,48,49,11,0,0,103,479,33,25,5,3,549,8,3,16,0,0,24,34,3,0,0,0,36,53,13,6,0,0,69,1513,279,188,12,17,2003,108,10,32,0,3,144,332,27,17,0,7,381,19768,684,516,34,59,21059
20904,17575,1445,325,5,17,19369,27577,2858,286,7,32,30768,8118,3023,1032,6,32,12207,470,144,52,0,0,666,2088,376,120,9,14,2610,76,52,54,0,0,178,309,43,50,9,0,407,180,41,7,0,0,228,11240,3673,1311,27,51,16297,296,82,110,0,0,488,1522,193,71,3,17,1808,58212,8248,2106,43,123,68732
21001,8165,1268,42,44,10,9522,5177,1458,54,32,11,6735,1607,1135,92,37,19,2888,52,58,0,0,0,112,531,203,21,10,9,763,9,10,0,0,0,19,36,13,0,0,0,47,54,13,4,0,0,71,2289,1437,118,45,26,3912,62,81,13,3,0,151,466,128,15,6,5,617,16156,4364,234,128,49,20932
21002,3283,127,27,18,13,3465,4670,95,12,0,15,4794,575,134,22,0,3,739,26,19,4,0,0,46,316,46,4,3,4,377,7,23,6,0,0,41,41,3,0,7,0,50,47,3,0,0,0,57,1019,232,36,16,5,1305,40,3,0,0,0,44,203,12,0,3,0,221,9212,465,73,39,36,9827
21003,7754,1058,271,12,13,9102,5755,2291,261,20,17,8341,2172,3054,610,33,24,5894,296,235,102,8,3,647,876,470,76,12,9,1443,19,11,19,0,0,54,141,51,14,3,5,216,85,38,13,0,0,137,3594,3865,836,52,38,8379,141,25,15,0,3,188,551,233,52,7,6,849,17790,7468,1440,84,81,26861
21004,3734,183,202,0,0,4120,6100,82,155,0,4,6340,1505,163,392,3,4,2062,65,24,43,0,0,135,462,30,73,0,0,571,15,9,10,0,0,27,17,0,0,0,0,21,19,0,9,0,0,32,2087,221,524,3,7,2845,43,7,0,0,0,52,232,23,23,0,4,282,12190,519,907,5,20,13641
21005,11207,599,120,80,16,12018,19510,1628,211,34,23,21400,4889,2067,449,12,28,7446,920,292,179,40,3,1431,1828,333,97,14,17,2280,81,21,40,0,0,145,397,67,42,114,3,622,147,27,13,10,0,191,8252,2806,814,188,52,12116,238,37,9,0,0,283,1238,181,66,25,38,1543,40440,5246,1215,325,131,47358
21101,16114,1779,268,112,19,18298,20636,1880,233,54,20,22824,5376,1529,340,18,22,7281,524,251,150,0,0,934,1499,308,30,12,17,1862,64,56,70,3,0,185,75,18,15,49,6,158,114,25,13,0,3,147,7647,2191,610,88,45,10577,189,430,139,0,0,762,865,238,72,17,15,1207,45462,6516,1322,269,104,53669
21102,3454,110,61,16,10,3640,3377,85,13,0,3,3481,485,76,7,0,0,563,28,17,0,0,0,41,178,11,3,0,0,194,5,3,0,0,0,7,15,0,0,0,0,13,34,0,0,0,0,36,735,114,10,3,0,861,33,45,24,0,0,108,139,14,12,0,0,171,7736,369,124,18,14,8262
21103,12327,573,77,3,17,12993,14895,965,279,3,19,16159,5093,1125,377,11,18,6627,505,247,59,0,0,808,1382,189,48,3,11,1636,85,89,58,0,3,228,75,26,0,0,3,104,97,15,3,0,0,117,7233,1686,551,14,37,9519,199,32,13,0,3,247,730,117,23,0,23,892,35380,3371,942,29,101,39820
21104,6946,1300,90,0,5,8337,6336,1370,85,3,14,7809,1815,1376,290,4,6,3499,136,279,24,0,0,441,539,265,25,3,7,839,46,42,22,0,0,111,44,22,0,0,0,67,66,22,4,0,0,95,2641,2010,361,9,16,5042,86,142,21,0,0,247,309,126,18,0,10,464,16309,4947,587,14,50,21908
21105,16551,782,51,137,51,17566,24239,510,54,25,58,24890,3708,724,63,13,30,4528,277,130,9,0,0,422,1817,122,12,11,25,1988,77,60,8,0,6,150,150,9,3,63,5,225,164,13,3,0,3,189,6202,1058,92,88,73,7504,280,178,32,3,5,501,1021,124,10,15,20,1186,48290,2647,243,264,198,51646
21201,7049,422,41,54,19,7580,14650,527,16,11,29,15233,4281,936,11,8,9,5246,151,102,9,0,0,260,1110,108,11,9,10,1242,29,20,0,0,0,45,121,3,0,44,0,173,108,11,0,0,0,120,5798,1185,34,62,14,7089,227,103,35,3,0,367,654,98,16,6,12,785,28378,2330,137,128,81,31055
21202,10878,1214,129,25,8,12243,17539,1207,73,16,16,18843,5259,935,111,36,13,6348,624,124,60,26,3,835,1383,180,24,6,5,1591,41,40,6,0,0,94,157,21,6,89,8,278,85,27,0,3,3,122,7554,1332,205,149,27,9268,148,145,59,0,0,349,928,146,27,16,13,1127,37037,4043,490,205,61,41836
21203,8603,924,54,12,12,9607,26836,1715,86,16,16,28668,6070,1064,190,0,18,7333,412,89,55,3,3,558,1730,186,27,3,3,1951,50,11,10,0,0,69,202,20,5,14,0,248,148,7,4,0,0,159,8607,1377,289,28,23,10320,221,104,13,0,3,337,1157,151,24,4,18,1354,45421,4270,470,55,72,50285
21204,16991,1757,617,92,19,19482,14873,2551,917,58,23,18421,6249,3999,2887,42,48,13235,854,684,309,12,4,1861,2291,719,311,20,14,3366,104,69,88,0,0,252,466,113,62,152,3,800,185,59,45,15,3,306,10144,5644,3701,243,76,19820,231,101,141,8,3,485,1407,441,260,36,26,2174,43648,10497,5635,445,154,60375
21205,19565,1780,1521,8,31,22900,13256,2376,1597,3,34,17264,6290,2999,2908,10,53,12265,423,239,400,0,3,1063,1943,698,509,11,26,3188,68,64,109,0,3,244,180,83,61,0,18,342,160,39,32,0,0,224,9059,4127,4016,28,102,17328,219,172,131,5,4,534,982,260,156,3,34,1428,43073,8712,7431,41,206,59458
21301,18493,1453,319,12,14,20292,17314,2280,407,16,19,20027,5827,2416,1259,27,39,9560,766,274,213,4,0,1253,2680,632,240,21,19,3592,109,88,49,0,0,250,496,148,69,3,3,721,230,38,15,0,3,291,10099,3597,1850,53,64,15664,247,70,21,0,3,346,1773,293,130,29,16,2237,47925,7691,2728,109,112,58564
21302,8306,2090,274,31,14,10719,7156,2848,294,12,38,10347,2777,2384,1006,37,21,6230,182,295,313,0,0,791,861,363,128,20,15,1384,58,17,61,0,0,141,85,51,15,20,4,166,80,35,9,0,0,133,4040,3138,1542,75,45,8837,102,37,10,0,0,153,503,186,102,9,5,813,20110,8305,2224,122,103,30862
21303,4928,1085,443,32,17,6507,5686,2472,1175,34,14,9380,2829,2233,4249,49,33,9395,441,749,298,0,6,1495,970,510,492,29,17,2014,48,40,142,0,0,228,96,53,95,14,5,257,76,37,34,3,0,143,4457,3611,5309,104,59,13542,78,36,35,0,13,162,429,217,214,7,24,895,15576,7422,7182,174,131,30481
21304,10187,971,55,43,15,11281,22660,1773,81,8,42,24565,5401,1644,155,11,16,7229,337,178,42,0,3,563,1615,294,39,10,10,1963,72,105,3,0,0,178,144,49,4,79,0,277,128,22,0,0,0,158,7703,2292,248,98,30,10365,226,98,14,5,4,344,1118,216,17,8,14,1370,41900,5356,411,156,106,47926
21305,11948,1553,214,64,11,13790,28757,3737,294,9,20,32820,11647,3130,747,7,21,15551,474,130,51,0,0,656,2385,432,103,13,11,2939,85,38,8,0,0,129,305,61,7,32,3,411,147,34,5,3,0,189,15038,3829,922,51,40,19880,222,176,32,0,3,434,1346,238,59,6,14,1666,57312,9532,1527,130,87,68588
21401,11330,1587,108,120,15,13157,17972,2015,176,25,16,20196,6059,2948,738,23,16,9787,678,394,73,0,0,1142,1806,582,95,18,11,2502,94,118,10,0,0,220,119,54,22,221,0,419,114,51,11,8,0,187,8865,4143,949,269,32,14256,165,486,29,3,0,677,970,325,74,22,6,1396,39300,8550,1343,436,67,49687
21402,19456,1941,966,279,54,22693,18914,1045,430,20,35,20451,5437,1619,750,8,18,7835,495,210,172,0,3,879,1930,303,166,22,14,2435,63,50,9,0,0,115,322,34,9,97,9,471,238,36,21,7,3,306,8484,2247,1123,134,52,12039,484,303,50,0,14,855,1336,233,132,33,13,1750,48672,5776,2706,472,167,57791
21501,9920,215,133,82,48,10398,6516,54,41,26,40,6682,1790,178,356,10,13,2348,361,124,113,0,3,607,1301,47,63,19,16,1449,49,45,32,0,3,132,293,27,21,23,11,385,212,21,16,3,8,251,4012,451,598,48,60,5168,153,42,5,3,3,211,634,42,42,20,17,760,21241,807,820,181,165,23215
21502,5726,405,119,111,40,6402,6212,162,59,10,27,6466,2139,616,475,10,10,3241,422,171,185,0,0,777,1111,128,93,17,9,1353,55,13,72,0,3,147,219,17,29,63,3,332,114,10,11,0,3,149,4063,951,867,92,22,6001,96,93,7,0,4,199,538,97,90,14,19,749,16631,1709,1146,224,106,19817
21503,5774,66,91,73,24,6031,3709,25,19,26,39,3825,904,105,215,8,8,1244,326,39,112,0,0,477,991,38,46,12,18,1102,50,19,20,0,0,83,241,7,16,39,9,311,142,3,11,4,6,168,2653,212,408,74,39,3390,118,0,9,0,3,124,409,14,49,17,14,506,12662,322,579,189,122,13869
21601,5147,168,83,58,13,5467,4460,65,15,7,12,4564,1049,244,182,3,6,1487,283,138,58,0,0,489,783,55,36,16,9,898,33,21,18,0,0,69,158,6,8,31,7,212,97,9,5,0,0,116,2409,486,302,54,18,3269,85,22,16,0,0,121,381,47,26,12,5,480,12486,786,446,124,52,13899
21602,4194,88,126,44,58,4505,3264,27,23,12,19,3344,883,127,167,6,3,1189,181,15,70,0,0,276,655,35,45,9,7,750,15,4,5,0,0,22,149,3,12,21,11,202,106,3,13,0,0,124,1986,194,315,39,26,2561,75,5,8,0,0,83,346,19,34,3,9,408,9853,329,496,105,108,10899
21603,6965,367,7,142,8,7496,7298,169,4,19,13,7506,2469,917,47,11,8,3453,613,223,43,0,0,874,1201,183,14,16,11,1415,109,43,23,0,0,180,265,33,9,84,4,396,128,32,5,0,0,164,4783,1434,130,112,21,6482,177,51,0,0,0,233,613,141,20,27,6,808,19842,2156,166,303,53,22527
21701,5841,64,67,37,36,6049,4151,25,22,12,19,4231,1069,126,141,8,3,1350,266,50,97,0,0,410,891,32,21,9,10,972,32,27,3,0,3,65,169,4,4,19,8,201,113,6,3,0,6,131,2532,257,263,36,42,3133,99,0,0,3,5,119,402,25,21,6,15,472,13029,380,371,100,116,13991
21703,5659,158,32,26,44,5917,4261,32,15,17,32,4349,989,198,47,10,10,1252,197,91,54,0,0,346,901,77,16,11,7,1013,37,23,0,0,0,69,242,19,5,29,8,292,149,11,0,0,0,168,2518,425,130,48,23,3143,115,13,3,0,0,140,403,38,15,8,14,475,12961,667,188,103,111,14030
21704,6207,402,77,53,23,6757,5685,192,40,31,21,5972,1801,626,249,17,17,2712,418,149,81,0,0,648,992,120,47,6,22,1188,41,23,57,0,0,123,224,14,16,9,3,268,116,7,6,0,0,130,3597,942,447,39,45,5066,105,32,29,3,3,171,402,60,77,7,9,551,15995,1627,666,129,104,18519
29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
