SA3_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
20402,18241,19918,38158,7573,3926,11500,2140,5101,7241,609,714,1331,538,488,1021,10859,10231,21094,5995,8106,14098,5,4.8,4.8,59.5,51.4,55.3,56.6,48.9,52.6,277,388,664,272,531,804,1274,2302,3577,1335,2119,3453,5016,2403,7425,158,322,484,283,422,702,5456,3153,8606,17638,18680,36323,2527,2816,5344,12784,13359,26141,6609,7381,13989
20403,27900,29058,56959,12535,6627,19163,3388,7740,11121,964,1084,2051,922,834,1762,17810,16287,34100,8102,10771,18871,5.2,5.1,5.2,63.8,56,59.9,60.5,53.2,56.8,540,691,1237,435,893,1325,2085,3639,5721,2210,3326,5541,7890,3958,11848,287,562,847,424,714,1138,8596,5234,13833,26281,27173,53457,4900,5123,10020,17652,18162,35814,12100,12735,24837
20501,18904,20417,39320,8426,3967,12390,2211,5364,7577,616,734,1351,617,624,1245,11872,10687,22562,5724,8282,14000,5.2,5.8,5.5,62.8,52.3,57.4,59.5,49.3,54.2,357,447,806,282,599,880,1386,2397,3780,1299,2217,3519,5742,2690,8435,136,345,485,239,494,729,6120,3527,9654,18264,19111,37372,3084,3504,6585,12153,12601,24756,8275,9127,17399
20502,18560,19432,37995,5839,3085,8933,2214,4568,6778,645,691,1344,648,505,1161,9355,8858,18211,7543,8799,16338,6.9,5.7,6.4,50.4,45.6,47.9,46.9,42.9,44.9,245,283,528,195,478,674,1076,1933,3006,1211,1975,3193,5295,2292,7589,157,360,519,348,433,782,5800,3090,8894,17120,17595,34718,2654,2881,5535,12060,12118,24176,6861,7494,14349
20503,24686,26481,51170,8786,4206,12991,3269,6697,9962,883,967,1849,816,662,1486,13760,12531,26286,9032,11922,20947,5.9,5.3,5.7,55.7,47.3,51.4,52.4,44.8,48.5,409,537,952,322,719,1038,1752,2927,4673,1653,2775,4430,7201,3053,10248,197,404,602,412,645,1062,7805,4102,11908,23157,24243,47397,3909,4336,8244,15917,16383,32298,9896,11102,20992
20504,28906,30954,59863,11397,5410,16809,2989,7721,10708,904,994,1891,1847,1302,3152,17139,15431,32563,9369,12988,22350,10.8,8.4,9.7,59.3,49.9,54.4,52.9,45.6,49.1,436,476,909,289,599,892,1714,2958,4678,1762,2671,4434,9072,4036,13109,269,560,830,414,624,1042,9754,5228,14981,27632,28709,56341,4099,4606,8700,19889,20378,40269,10438,11635,22077
20505,17710,17540,35249,6981,3417,10404,1788,4455,6245,623,633,1255,704,491,1195,10095,8999,19093,6245,7185,13434,7,5.5,6.3,57,51.3,54.2,53,48.5,50.8,212,294,508,186,435,621,1013,1917,2925,1066,1667,2732,5122,2186,7307,146,292,438,220,400,625,5488,2874,8363,16189,16471,32657,2486,2657,5146,11431,11470,22907,6425,6834,13258
20601,35696,38633,74327,16921,12512,29436,5778,9897,15675,927,1217,2146,1698,1466,3160,25318,25093,50413,8206,11347,19556,6.7,5.8,6.3,70.9,65,67.8,66.2,61.2,63.6,3552,4387,7937,1165,2124,3292,8799,10547,19354,2814,3200,6020,4397,2007,6412,180,241,423,360,491,856,4947,2739,7685,29870,31983,61854,8124,8647,16773,18763,20482,39244,18114,19147,37262
20602,20301,23327,43625,9812,7630,17442,3240,6363,9601,519,743,1263,791,733,1516,14352,15468,29819,4607,6423,11031,5.5,4.7,5.1,70.7,66.3,68.4,66.8,63.2,64.9,2043,2849,4892,785,1567,2351,5202,6634,11835,1606,1922,3529,2329,1185,3510,104,120,225,223,265,492,2660,1566,4223,18394,20351,38742,3901,4666,8565,12134,13530,25668,9348,10804,20150
20603,26479,29190,55664,12884,8876,21762,3794,7332,11133,659,954,1611,1168,1042,2203,18501,18211,36715,6145,9025,15169,6.3,5.7,6,69.9,62.4,66,65.5,58.8,62,2323,2530,4844,758,1427,2184,6202,7506,13706,2301,2719,5022,3592,1613,5206,154,200,352,305,489,792,4050,2306,6357,23548,25600,49149,5266,5660,10922,15441,16928,32364,12502,13443,25945
20604,61748,65498,127245,23658,18195,41859,8603,11551,20156,1390,1748,3138,3711,4292,8006,37371,35788,73156,17256,22592,39851,9.9,12,10.9,60.5,54.6,57.5,54.5,48.1,51.2,7432,8165,15603,1288,2004,3296,18389,19803,38189,4430,4703,9137,3205,1986,5194,210,300,506,490,632,1126,3907,2924,6828,34602,36211,70808,22005,24472,46477,12821,13114,25931,42950,46633,89587
20605,43304,45774,89081,22623,18203,40832,5335,9130,14466,1000,1414,2416,1607,1471,3075,30560,30225,60787,8112,10913,19028,5.3,4.9,5.1,70.6,66,68.2,66.9,62.8,64.8,4598,5183,9781,1207,2263,3472,11936,13628,25567,3810,4683,8494,4721,2475,7194,235,290,521,512,738,1245,5466,3506,8969,32053,33478,65528,10515,11200,21720,16992,17941,34938,24682,26034,50710
20606,26714,29973,56683,13975,11419,25393,3568,5666,9227,598,788,1389,903,941,1845,19042,18814,37858,5135,8492,13624,4.7,5,4.9,71.3,62.8,66.8,67.9,59.6,63.5,3226,3155,6378,722,1199,1919,8657,9830,18487,2124,2977,5101,2155,1228,3379,92,164,258,256,423,686,2508,1815,4324,18989,20954,39943,6894,8026,14921,9797,11207,21005,15788,17608,33401
20607,37511,40156,77659,19568,16061,35628,5059,8377,13432,922,1245,2167,1481,1365,2838,27029,27039,54067,6949,9494,16444,5.5,5,5.2,72.1,67.3,69.6,68.1,64,66,4559,5184,9737,1262,2208,3469,11454,12748,24204,2737,3199,5936,3238,1805,5045,161,226,392,372,482,854,3767,2512,6282,27883,29695,57579,9270,10016,19288,15167,16421,31585,21214,22571,43792
20701,65383,73046,138430,30428,19343,49766,10059,18926,28984,1468,2038,3507,2575,2263,4837,44526,42572,87099,17555,26943,44498,5.8,5.3,5.6,68.1,58.3,62.9,64.2,55.2,59.4,9063,7955,17023,2241,3826,6066,19780,22114,41894,5087,7083,12170,5110,2678,7790,225,406,626,594,1200,1788,5925,4280,10211,61207,66820,128024,12686,13854,26540,40573,44686,85258,31659,34438,66101
20702,36258,40064,76324,15273,8728,24003,4956,9292,14245,787,996,1779,1503,1344,2849,22517,20356,42872,12259,17963,30224,6.7,6.6,6.6,62.1,50.8,56.2,58,47.5,52.4,3245,2751,6000,779,1212,1991,8010,8957,16965,3303,3984,7287,4766,2148,6920,147,269,422,475,849,1323,5391,3268,8662,35114,37890,73002,5539,5966,11506,25459,27593,53046,14030,15060,29090
20703,40697,44904,85602,16795,10044,26837,6186,11300,17486,837,1153,1993,2039,1785,3817,25852,24286,50138,13044,18588,31629,7.9,7.3,7.6,63.5,54.1,58.6,58.5,50.1,54.1,4170,3920,8084,1108,1922,3025,9540,11145,20679,3879,4699,8576,4667,2169,6837,206,304,510,478,730,1204,5355,3198,8550,37182,40645,77826,8502,8710,17212,24844,27656,52496,19383,20286,39663
20801,36928,41741,78669,17691,9871,27559,5171,11274,16443,847,1134,1989,1093,1121,2215,24797,23406,48202,10105,16071,26182,4.4,4.8,4.6,67.1,56.1,61.3,64.2,53.4,58.5,3682,3328,7010,1097,1972,3068,9809,10859,20665,3586,4800,8392,4225,2023,6248,157,306,463,488,876,1367,4870,3207,8073,36152,39775,75929,6283,6860,13149,24631,27454,52089,16567,18101,34667
20802,57903,63451,121353,28090,17118,45203,8371,16684,25056,1288,1889,3171,2383,2176,4558,40126,37861,77993,14860,22504,37364,5.9,5.7,5.8,69.3,59.7,64.3,65.2,56.2,60.5,5936,6073,12010,1601,2880,4479,15304,17310,32616,5034,6685,11715,6877,3402,10276,224,393,613,717,1087,1805,7814,4882,12702,54664,58814,113480,11407,12072,23475,35612,38666,74279,28089,29807,57891
20803,45419,50110,95538,22917,13635,36554,5564,13309,18879,1229,1572,2801,1675,1399,3079,31389,29922,61311,11463,17302,28769,5.3,4.7,5,69.1,59.7,64.2,65.4,56.9,61,2327,2604,4931,937,1819,2753,7379,9808,17189,4551,5879,10430,9722,4184,13901,279,486,766,701,1106,1808,10699,5779,16485,44225,47679,91902,7229,7735,14962,30247,32684,62927,19354,20879,40237
20804,16193,18086,34286,7830,4929,12758,2365,4577,6947,342,475,818,627,642,1269,11170,10617,21787,4190,6564,10758,5.6,6,5.8,69,58.7,63.5,65.1,55.2,59.9,2072,1920,3989,512,880,1390,5035,5633,10670,1347,1815,3156,1307,658,1968,46,102,151,170,349,523,1524,1111,2642,15054,16348,31405,3236,3551,6786,9741,10704,20442,8043,8769,16813
20901,47926,51928,99850,22786,12770,35554,6450,14064,20514,1170,1670,2846,1797,1635,3429,32204,30140,62344,13408,19217,32622,5.6,5.4,5.5,67.2,58,62.4,63.4,54.9,59,3765,3704,7472,1319,2443,3767,9239,11312,20555,4330,5358,9683,9128,3730,12859,258,449,709,650,1038,1693,10042,5218,15261,47308,50237,97542,7211,7450,14661,33801,36277,70078,18626,19400,38022
20902,38634,41019,79654,15407,9580,24986,5603,9218,14830,1030,1167,2197,2086,1827,3913,24130,21797,45925,11591,16103,27695,8.6,8.4,8.5,62.5,53.1,57.7,57,48.7,52.7,2567,2690,5259,667,1324,1996,6418,7533,13953,3194,3671,6868,5667,2806,8470,228,390,616,410,619,1029,6305,3808,10113,34170,35748,69916,7459,7752,15214,22438,24253,46689,17427,17551,34970
20903,25700,26595,52287,13525,6558,20085,3604,9104,12706,700,928,1629,840,713,1554,18674,17309,35979,5893,8131,14027,4.5,4.1,4.3,72.7,65.1,68.8,69.4,62.4,65.8,1413,1413,2823,698,1287,1989,4100,5469,9563,2526,3208,5738,6519,2343,8859,135,268,401,363,577,935,7012,3185,10192,27383,27733,55122,2582,2825,5405,20880,21070,41953,8179,8623,16799
20904,81967,85741,167708,39409,20496,59898,10104,20852,30962,2436,2966,5400,3786,3535,7320,55737,47849,103585,21994,33338,55337,6.8,7.4,7.1,68,55.8,61.8,63.4,51.7,57.4,3242,3043,6291,812,1684,2496,8769,11742,20503,6699,9155,15855,17780,8952,26732,590,1114,1702,1113,1827,2937,19483,11887,31368,82100,83941,166045,14954,15170,30124,51642,52778,104423,39496,40795,80286
21001,23324,25176,48500,10780,6127,16910,2747,6096,8838,655,790,1441,781,687,1470,14960,13701,28658,7136,10121,17259,5.2,5,5.1,64.1,54.4,59.1,60.8,51.7,56.1,945,915,1859,382,728,1110,3419,4400,7817,1965,2485,4450,4999,1738,6736,126,238,365,317,495,816,5442,2482,7921,23292,24513,47806,3032,3156,6188,17238,18422,35660,8162,8396,16562
21002,11437,11823,23263,5803,2749,8551,1355,3567,4920,376,448,823,334,314,651,7866,7076,14944,2872,4021,6891,4.2,4.4,4.4,68.8,59.8,64.2,65.9,57.2,61.4,411,403,814,237,489,726,1305,2020,3317,1090,1439,2536,3303,1193,4496,54,169,227,184,312,497,3543,1673,5211,11943,12041,23979,1556,1604,3162,8517,8526,17042,4355,4522,8873
21003,30119,31333,61453,12948,7393,20337,4093,6383,10476,910,926,1843,1550,1187,2735,19499,15892,35395,8635,13397,22032,7.9,7.5,7.7,64.7,50.7,57.6,59.6,46.9,53.1,1913,1719,3630,496,897,1394,4612,5337,9950,2533,2839,5372,5074,2160,7238,180,276,451,347,527,876,5600,2960,8567,27821,28922,56747,5954,5624,11579,17725,19172,36891,14221,13610,27829
21004,15233,16383,31617,7933,4235,12167,1761,4642,6396,412,559,973,646,621,1266,10749,10059,20803,3677,5479,9164,6,6.2,6.1,70.6,61.4,65.8,66.3,57.6,61.8,311,334,648,204,470,672,1286,2039,3323,1259,1891,3149,4661,2105,6765,121,251,374,257,397,653,5038,2757,7791,15336,16035,31374,2238,2435,4674,10969,11302,22267,5878,6508,12388
21005,61389,62385,123772,25486,13038,38518,8002,12503,20512,1923,1775,3697,3547,2989,6539,38957,30308,69259,18642,28420,47060,9.1,9.9,9.4,63.5,48.6,56,57.7,43.8,50.7,1966,1914,3879,473,948,1420,5795,7139,12932,4695,6086,10779,11259,5813,17077,498,794,1291,850,1227,2080,12613,7836,20445,62017,62373,124389,11012,10938,21949,40770,41561,82329,27723,27466,55190
21101,61356,65727,127080,30840,17057,47895,7997,17855,25852,1581,2043,3621,2431,2158,4581,42839,39105,81950,16002,23959,39958,5.7,5.5,5.6,69.8,59.5,64.5,65.9,56.2,60.9,2925,2791,5718,988,1768,2757,8830,11095,19925,5607,7506,13113,14601,6609,21201,427,721,1147,853,1504,2363,15875,8834,24707,61960,64779,126736,7978,8635,16614,45674,47544,93218,21961,23539,45497
21102,10358,10918,21275,5002,2365,7369,1571,3359,4927,237,329,573,314,286,598,7123,6345,13471,2798,4120,6921,4.4,4.5,4.4,68.8,58.1,63.3,65.7,55.4,60.5,656,600,1259,262,452,710,2185,2373,4554,973,1259,2225,1974,697,2667,41,97,143,137,252,388,2148,1045,3198,10811,11149,21967,1126,1156,2284,8240,8454,16698,3437,3597,7034
21103,42550,46869,89423,21708,11818,33525,5507,13068,18576,1122,1483,2609,1578,1442,3014,29915,27812,57723,10853,16882,27736,5.3,5.2,5.2,70.3,59.3,64.6,66.6,56.3,61.2,2097,2105,4201,962,1687,2654,6270,8474,14743,4112,5512,9626,10005,4643,14645,281,505,788,635,1060,1694,10917,6213,17129,42619,45452,88065,6507,7001,13514,29409,31373,60782,17661,19141,36799
21104,23762,26055,49819,11083,6238,17327,3365,6778,10144,565,721,1280,974,839,1815,15987,14573,30565,6890,10411,17304,6.1,5.8,5.9,67.3,55.9,61.4,63.2,52.7,57.7,2093,1923,4015,620,1020,1640,5127,6009,11134,2362,2856,5220,3683,1633,5307,112,190,302,301,498,798,4095,2312,6408,23642,25474,49121,3736,3902,7633,16767,18206,34979,9645,10186,19831
21105,58862,61587,120450,29628,14267,43892,7429,18580,26012,1894,2234,4128,1816,1740,3554,40764,36824,77592,15149,21695,36842,4.5,4.7,4.6,69.3,59.8,64.4,66.2,57,61.5,1527,1800,3328,955,1946,2898,5741,8660,14400,4937,7807,12749,17844,7595,25437,431,877,1309,855,1465,2320,19130,9930,29063,60495,61743,122241,7224,7757,14985,43654,44165,87816,21343,22861,44198
21201,35266,37261,72532,18939,9142,28077,4018,10529,14543,1089,1316,2413,1221,1378,2598,25267,22367,47632,7876,12691,20565,4.8,6.2,5.5,71.6,60,65.7,68.2,56.3,62.1,764,865,1625,379,874,1252,2686,4440,7125,2785,4479,7264,10775,5340,16111,265,636,895,486,887,1371,11522,6856,18380,35564,36426,71994,6730,7241,13974,21414,21375,42792,18257,19899,38156
21202,51408,52981,104387,25108,12526,37637,6448,13298,19748,1461,1533,2995,2459,2244,4705,35483,29602,65085,13526,21001,34529,6.9,7.6,7.2,69,55.9,62.3,64.2,51.6,57.8,1968,1814,3785,560,1082,1645,5716,7392,13108,4662,5976,10637,11649,5454,17104,374,665,1033,761,1166,1927,12783,7286,20063,52231,53181,105413,7995,7924,15922,36261,37092,73352,21281,21417,42697
21203,62791,64272,127067,33010,17009,50016,7727,15799,23529,1843,2144,3990,2891,3069,5957,45471,38024,83497,13758,22642,36398,6.4,8.1,7.1,72.4,59.2,65.7,67.8,54.4,61,2052,2126,4177,570,1057,1628,5900,8065,13969,5642,7424,13063,15126,8029,23154,537,941,1481,897,1411,2305,16559,10379,26944,64470,64738,129202,12009,12433,24444,38464,38433,76899,33176,34007,67186
21204,77934,75725,153660,30692,16289,46979,10931,14214,25148,2127,1921,4047,4398,3663,8060,48143,36089,84234,25113,35301,60412,9.1,10.1,9.6,61.8,47.7,54.8,56.1,42.8,49.6,3126,2947,6071,702,1092,1788,9201,10133,19332,6596,6876,13477,11914,5641,17554,556,805,1358,1002,1358,2358,13465,7799,21265,72390,71598,143989,14240,12726,26971,47351,48273,95618,35423,32080,67495
21205,71853,75621,147473,29096,17090,46186,10055,16803,26859,1639,1900,3536,3372,3302,6675,44157,39088,83247,24239,32934,57175,7.6,8.4,8,61.5,51.7,56.4,56.8,47.3,51.9,7610,6501,14111,1480,2266,3741,15931,17262,33197,6295,7520,13821,8651,3859,12514,304,516,820,758,1297,2057,9710,5675,15392,64637,67670,132304,15091,15016,30110,42986,45717,88703,34396,34626,69025
21301,75476,75921,151396,29906,16133,46036,10380,15171,25552,2347,2154,4506,4712,4330,9045,47345,37786,85137,23147,33272,56420,10,11.5,10.6,62.7,49.8,56.2,56.5,44.1,50.3,2155,2049,4206,556,1037,1598,8307,9917,18220,5632,6349,11982,12524,6143,18668,571,836,1410,1007,1406,2416,14107,8388,22493,73500,74452,147954,10993,10300,21298,52053,53728,105778,28297,27001,55299
21302,33153,35301,68456,16060,9703,25763,4025,8108,12131,901,1102,2004,1414,1274,2681,22392,20183,42575,8878,13105,21981,6.3,6.3,6.3,67.5,57.2,62.2,63.3,53.6,58.3,1850,2129,3978,660,1356,2019,5425,6768,12192,2710,3463,6177,6480,2604,9082,182,317,499,492,628,1118,7147,3545,10696,32098,33675,65772,5253,5551,10806,22224,23465,45690,13516,14217,27732
21303,34661,34435,69093,15789,10585,26372,5461,7821,13283,884,1107,1990,2022,1740,3760,24153,21253,45402,8001,10702,18711,8.4,8.2,8.3,69.7,61.7,65.7,63.9,56.7,60.3,2777,2767,5545,810,1455,2263,7429,8224,15652,3037,3103,6139,4172,2106,6271,207,270,484,384,482,873,4763,2859,7623,29563,29494,59061,7511,7210,14720,17366,18074,35443,18006,17135,35137
21304,56815,59435,116252,28629,15004,43633,6291,14480,20774,1744,1949,3685,2733,2748,5487,39401,34182,73577,14122,21847,35966,6.9,8,7.5,69.3,57.5,63.3,64.5,52.9,58.6,1603,1642,3248,554,1179,1735,5361,7926,13286,4404,6214,10619,13600,7058,20658,450,872,1321,922,1427,2342,14969,9355,24325,58848,60647,119493,9310,10011,19316,38073,38796,76873,25939,27814,53756
21305,83092,84196,167288,43161,22616,65784,10252,19271,29524,2490,2695,5188,4303,4774,9076,60219,49350,109568,18257,30191,48448,7.1,9.7,8.3,72.5,58.6,65.5,67.3,53,60.1,6403,5523,11924,1159,1735,2890,11513,14341,25856,7566,9194,16764,15724,8594,24317,593,950,1547,1145,1606,2751,17459,11153,28612,82730,83297,166026,17754,17966,35721,47220,47603,94825,45935,46625,92558
21401,52474,56637,109114,25453,13715,39165,6197,14710,20908,1451,1885,3336,2191,2175,4365,35291,32480,67772,13749,20513,34260,6.2,6.7,6.4,67.3,57.3,62.1,63.1,53.5,58.1,1106,1318,2419,660,1375,2028,4481,6922,11407,4453,6702,11147,14851,7404,22255,419,860,1272,841,1347,2184,16107,9612,25716,50862,53412,104271,8158,8738,16894,33792,35205,68996,22542,24506,47056
