SA3_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
20402,30,194,1955,8660,4309,542,113,389,16192,3,185,688,144,11,3,3,57,1104,0,20,18,9,0,0,0,0,52,3,205,705,158,9,3,3,57,1152,0,88,322,55,5,0,0,30,501,0,0,32,3,0,0,0,0,38,0,17,20,4,0,0,0,3,40,0,0,0,0,0,0,0,0,0,0,102,373,68,5,0,0,33,578,11,31,30,14,15,3,0,8,112,0,6,20,21,15,9,0,3,77,45,546,3084,8923,4353,560,120,491,18116
20403,30,264,2535,12026,6815,838,167,488,23166,3,237,1031,253,16,0,0,67,1614,0,8,59,52,7,0,0,9,130,3,240,1090,306,20,3,0,73,1747,3,99,352,74,6,0,3,32,569,7,3,6,0,0,0,0,0,15,0,6,8,6,4,0,0,0,28,0,0,0,0,0,0,0,0,0,8,114,369,76,15,0,4,32,613,15,49,33,25,11,0,3,10,160,3,11,32,80,47,12,3,5,197,58,679,4061,12511,6907,858,176,613,25872
20501,12,129,1457,7930,5292,675,146,335,15981,0,64,383,134,5,0,0,27,608,0,26,3,8,0,0,0,0,47,0,85,386,142,8,0,0,27,655,0,70,566,99,4,0,0,29,775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,566,99,4,0,0,29,775,18,52,48,12,4,3,0,11,155,0,3,16,33,16,7,0,12,79,29,341,2479,8213,5330,687,144,421,17641
20502,36,388,2562,8471,3633,524,98,445,16152,0,81,338,105,18,3,3,32,579,0,13,21,27,4,0,0,4,62,0,98,355,136,18,4,3,37,649,0,57,171,55,3,0,0,15,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,61,171,55,3,0,0,19,305,20,103,98,40,8,0,4,25,303,0,13,41,60,28,3,3,71,213,62,664,3229,8748,3688,531,104,592,17614
20503,38,311,3219,11871,5356,740,165,531,22236,5,192,421,134,11,3,0,43,811,0,11,54,74,5,0,0,3,151,3,198,478,210,16,3,3,46,965,6,97,231,68,7,0,0,20,424,0,9,3,3,0,0,0,0,13,0,0,0,5,0,0,0,0,9,0,3,0,0,0,0,0,0,7,6,104,238,72,7,0,0,19,451,20,86,113,22,6,0,3,21,265,3,8,22,40,29,0,0,16,120,70,712,4069,12221,5417,752,171,638,24037
20504,31,212,2606,14442,5968,796,132,591,24773,31,401,874,194,15,0,6,86,1604,0,12,50,40,3,0,0,5,106,31,409,918,231,19,3,6,92,1710,14,376,857,115,4,0,3,85,1453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,382,857,115,4,0,3,85,1458,5,42,36,15,0,0,0,12,112,0,12,19,16,10,0,3,37,103,76,1059,4451,14822,6004,799,142,814,28158
20505,23,236,1927,7421,4189,606,108,344,14866,3,104,272,60,0,0,0,27,466,0,30,25,12,0,0,0,8,81,3,137,293,74,0,0,0,37,541,0,59,230,57,5,0,0,15,364,0,0,24,3,0,0,0,3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,252,60,5,0,0,14,399,12,61,31,28,9,0,0,10,150,0,7,18,22,23,7,3,5,77,47,502,2525,7605,4221,612,117,410,16030
20601,6,177,3462,8608,3248,506,115,369,16496,12,355,2512,937,131,16,12,93,4074,18,225,1882,1912,325,36,20,86,4493,32,582,4390,2855,453,51,26,182,8572,40,1317,1915,231,12,0,11,99,3618,51,412,708,61,9,0,0,29,1268,75,1461,1981,147,11,5,0,73,3758,0,0,4,3,0,0,0,0,11,165,3188,4602,447,27,5,15,201,8652,4,36,73,49,16,6,3,10,191,4,27,47,36,18,3,3,18,153,213,4007,12581,11993,3760,573,157,771,34058
20602,5,91,2097,5292,2064,359,66,221,10199,3,191,1407,871,123,15,0,47,2659,18,461,983,844,158,11,7,42,2528,21,657,2391,1721,282,26,6,87,5187,7,1508,1559,165,9,4,3,100,3346,6,197,321,75,3,0,0,11,617,14,304,332,39,0,0,0,34,726,0,0,0,0,0,0,0,0,3,34,2009,2214,278,11,4,3,144,4693,0,21,59,30,3,4,0,4,121,0,12,26,19,7,4,0,4,84,57,2794,6785,7336,2367,395,74,463,20277
20603,8,64,1701,5300,3262,730,138,192,11394,3,89,1249,734,130,13,3,44,2275,3,188,777,1435,279,18,3,52,2752,7,275,2024,2169,413,34,5,100,5032,10,633,1949,617,24,0,0,87,3325,60,1048,1579,106,10,0,0,152,2953,20,510,1687,343,10,0,0,107,2672,0,0,0,0,0,0,0,0,0,90,2190,5213,1065,45,0,3,346,8951,5,23,48,20,7,4,0,0,103,0,16,24,32,10,0,0,21,103,107,2569,9018,8581,3735,776,149,652,25578
20604,4,67,451,692,272,85,33,50,1657,9,254,1184,702,137,27,5,65,2377,20,190,1425,2141,758,192,38,112,4875,28,446,2609,2839,894,220,45,173,7253,45,480,743,296,51,3,24,42,1689,141,1451,2506,544,46,4,9,100,4800,1544,13213,20907,3962,267,18,41,1087,41048,0,9,12,3,0,0,0,0,24,1734,15152,24164,4807,363,31,71,1236,47554,11,22,35,25,11,0,0,46,161,11,98,171,42,15,7,8,43,392,1794,15777,27438,8411,1553,335,151,1550,57012
20605,5,79,854,1736,931,237,53,75,3975,10,305,2531,2299,444,79,9,105,5788,8,203,1231,2577,717,113,25,97,4974,21,506,3760,4874,1164,199,39,207,10764,180,1818,3714,617,51,5,6,192,6591,168,4027,5569,696,29,3,13,295,10800,145,4071,6102,1566,67,18,11,284,12262,4,22,15,4,0,0,0,4,49,504,9939,15404,2890,147,30,30,767,29702,11,202,205,46,6,0,0,11,484,4,39,71,33,8,3,4,35,188,536,10764,20297,9574,2256,466,124,1097,45114
20606,5,68,773,1656,1263,463,134,87,4454,3,101,1525,1134,154,25,4,73,3022,7,70,829,1471,310,43,6,48,2780,5,174,2355,2602,469,64,10,122,5800,65,733,1760,582,49,7,4,69,3270,76,2583,3447,527,17,3,4,171,6829,159,3107,3548,737,29,7,5,197,7790,0,4,4,0,0,0,0,0,9,304,6424,8763,1848,90,12,18,440,17895,0,8,31,22,4,0,0,3,68,3,24,33,12,3,4,0,8,95,319,6696,11961,6135,1827,549,162,652,28314
20607,5,247,1480,2246,904,179,47,125,5237,14,402,4292,2688,604,73,16,164,8248,10,205,1867,2794,684,135,26,156,5889,21,611,6162,5482,1288,211,43,321,14140,96,1289,1657,408,59,3,21,120,3651,60,1776,1892,448,22,3,5,117,4324,127,2656,4670,1044,33,0,4,250,8788,0,3,3,3,0,0,0,0,11,280,5727,8223,1898,114,4,26,490,16771,3,35,81,74,14,3,3,7,223,10,44,64,34,14,3,3,20,191,320,6659,16008,9736,2344,403,125,964,36553
20701,18,173,2984,12212,12816,4105,752,502,33568,20,304,3929,2839,409,66,9,134,7711,7,71,778,2679,850,106,14,54,4558,26,375,4709,5519,1256,175,22,191,12272,82,1008,3572,683,78,15,6,214,5665,59,1202,2691,356,28,3,3,86,4426,114,1352,1726,226,10,3,7,88,3530,0,0,0,0,0,0,0,0,0,257,3562,7994,1267,114,17,25,387,13622,3,25,75,60,11,4,3,5,181,0,33,48,55,34,7,0,16,204,307,4166,15816,19112,14230,4305,799,1104,59849
20702,14,112,994,9529,9672,2025,383,426,23154,3,65,983,1103,148,15,4,82,2397,5,17,367,1914,1082,138,6,60,3576,9,80,1347,3010,1229,152,10,140,5974,7,85,377,443,26,0,0,26,967,0,91,321,51,8,0,0,11,479,9,249,674,126,8,0,0,32,1097,0,0,0,0,0,0,0,0,0,18,424,1378,617,41,0,0,74,2545,0,0,6,0,3,0,0,0,15,0,4,13,18,18,3,0,75,136,40,624,3730,13178,10966,2180,393,716,31827
20703,17,141,2218,11737,6977,1686,337,433,23543,7,324,3145,1982,278,38,9,114,5903,15,48,595,1639,612,84,12,62,3065,20,373,3741,3619,890,118,23,173,8963,117,297,976,320,31,3,3,67,1815,59,505,637,48,0,3,3,31,1287,39,454,361,17,0,0,0,29,904,0,0,4,4,0,0,0,0,5,217,1248,1982,386,34,8,9,130,4013,0,4,11,15,5,0,0,0,39,0,10,21,30,16,6,0,15,101,255,1786,7969,15791,7922,1819,371,750,36658
20801,18,109,2311,9168,7788,2054,262,344,22051,3,288,2635,1375,131,8,3,96,4545,0,61,666,2186,727,73,7,65,3789,4,353,3306,3565,861,81,15,163,8336,50,282,1274,395,40,4,0,56,2108,8,201,624,156,11,0,3,35,1042,11,380,587,135,9,0,0,26,1135,0,3,0,0,0,0,0,0,3,65,870,2482,691,60,12,3,119,4296,0,21,117,42,7,0,0,3,193,0,15,32,56,31,5,0,10,154,89,1366,8255,13516,8747,2150,282,633,35037
20802,14,170,3526,13054,8283,2031,429,482,27989,34,430,4589,2943,280,23,10,212,8519,5,99,995,2674,1063,103,13,78,5040,37,534,5582,5614,1343,130,26,297,13558,38,3349,4685,1225,177,14,16,226,9728,5,487,1659,135,6,0,0,37,2324,4,264,724,53,0,0,0,40,1094,0,5,8,5,0,0,0,0,20,48,4098,7076,1421,182,15,18,300,13163,3,39,84,44,9,4,0,6,181,0,23,36,58,28,3,3,19,180,104,4860,16305,20193,9845,2178,471,1104,55064
20803,20,127,2316,12293,7801,1458,217,401,24623,14,515,4095,2401,219,17,6,192,7469,5,68,942,2676,663,86,13,58,4530,19,585,5041,5078,883,106,22,250,11993,29,895,3189,1272,88,14,7,240,5730,0,104,497,49,12,0,0,8,671,0,214,453,36,3,6,0,9,726,0,3,0,3,0,0,0,4,9,34,1214,4144,1365,101,14,7,262,7138,7,81,128,39,8,0,0,5,278,3,13,51,59,22,6,5,35,187,82,2027,11678,18826,8814,1584,246,958,44224
20804,0,33,675,2936,2696,856,140,98,7443,3,114,958,735,84,7,3,27,1935,0,16,309,716,239,17,9,23,1332,4,128,1271,1450,325,24,10,52,3266,7,606,1548,307,15,7,0,60,2558,16,388,764,88,3,14,0,23,1300,16,287,229,55,0,0,0,12,597,0,0,0,0,0,0,0,0,0,41,1280,2544,445,24,20,0,97,4448,19,85,55,17,3,0,0,3,187,3,8,11,18,7,0,3,5,60,67,1529,4557,4879,3063,901,156,258,15406
20901,22,197,3589,18346,9597,1853,308,623,34541,12,489,2457,1200,99,19,0,146,4420,4,58,763,1438,190,24,8,48,2541,12,554,3217,2639,292,38,8,192,6962,8,349,1312,369,41,0,3,57,2139,0,26,182,15,0,0,0,4,232,4,140,207,14,6,0,0,7,373,0,3,0,0,0,0,0,0,7,9,520,1697,395,46,3,7,68,2749,0,13,22,15,9,0,0,0,50,0,12,39,38,12,0,0,23,130,51,1290,8560,21443,9954,1898,324,906,44431
20902,35,298,4060,11879,4144,774,201,615,22009,11,773,3462,1174,89,16,3,204,5726,11,195,1441,1358,179,19,7,93,3309,24,964,4904,2535,268,37,17,290,9034,16,377,748,134,24,4,3,59,1361,58,295,258,29,0,0,0,23,661,17,277,739,35,3,0,0,19,1090,0,0,0,0,0,0,0,0,0,97,951,1739,199,27,4,3,97,3111,0,22,96,48,9,0,0,3,192,3,10,37,29,9,0,0,21,110,159,2248,10846,14683,4461,817,220,1027,34457
20903,26,201,1135,8169,7912,1755,302,265,19768,7,68,149,82,14,0,0,10,335,0,3,92,209,34,5,0,4,345,7,68,239,290,51,5,0,19,684,0,26,226,210,19,3,0,7,494,0,3,13,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,28,243,212,23,3,0,7,516,4,4,9,3,3,0,0,0,34,0,3,13,22,13,3,0,7,59,39,310,1641,8697,8003,1765,309,298,21059
20904,85,238,2298,28657,22819,2475,411,1224,58212,9,153,1584,2205,850,55,6,115,4979,10,26,812,1799,504,58,3,55,3271,18,178,2393,4005,1356,111,13,169,8248,5,115,847,395,17,3,0,40,1422,6,145,233,25,0,0,0,24,437,19,94,69,10,45,0,0,3,238,0,0,0,0,0,0,0,0,0,30,357,1156,430,61,3,0,63,2106,0,10,3,12,7,0,0,3,43,0,9,27,45,20,3,0,17,123,136,791,5884,33151,24258,2599,430,1479,68732
21001,14,75,1111,9030,4602,854,116,350,16156,0,74,861,1047,83,6,7,68,2154,3,8,420,1243,427,54,3,46,2209,3,83,1280,2297,510,65,12,112,4364,11,12,86,52,0,0,0,5,165,0,3,16,0,0,0,0,0,19,0,33,13,0,0,0,0,0,45,0,5,3,0,0,0,0,0,3,11,48,113,55,3,0,0,6,234,3,3,23,65,22,3,3,6,128,0,4,13,19,9,0,0,5,49,35,218,2539,11461,5148,919,131,477,20932
21002,13,79,511,3780,3862,674,121,163,9212,0,67,185,169,21,0,0,12,460,0,0,4,7,0,0,0,0,12,0,67,187,176,21,0,0,12,465,0,5,29,34,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,29,36,3,0,0,0,73,0,19,8,0,4,0,0,6,39,0,0,6,16,13,0,0,0,36,12,171,744,4009,3899,674,126,183,9827
21003,20,154,2632,10524,3362,538,117,443,17790,6,211,2131,754,43,4,10,121,3278,10,48,1977,1834,199,19,3,105,4188,14,260,4107,2590,239,22,14,225,7468,29,232,694,158,9,0,0,40,1162,0,24,132,11,0,0,0,9,182,0,10,55,3,0,0,0,3,78,0,0,8,5,0,0,0,0,22,32,270,901,175,8,0,0,55,1440,0,7,37,23,7,0,0,7,84,3,4,13,39,8,3,0,7,81,69,698,7689,13357,3629,560,133,728,26861
21004,6,43,420,6070,4655,693,113,194,12190,7,25,258,115,7,0,0,21,426,0,0,21,66,6,0,0,7,98,7,26,280,176,8,0,0,26,519,8,61,482,324,11,0,0,22,907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,61,482,324,11,0,0,22,907,0,0,0,5,0,0,0,0,5,0,0,4,3,3,0,0,4,20,18,133,1182,6581,4677,693,113,243,13641
21005,84,180,1380,21839,13705,1863,350,1038,40440,16,184,1234,1608,288,15,8,100,3443,3,33,603,964,132,8,4,59,1809,18,220,1832,2567,421,25,12,159,5246,8,108,444,455,34,8,0,48,1100,0,0,0,0,0,0,0,0,3,5,29,37,22,3,0,0,5,102,0,3,3,0,0,0,0,0,4,10,142,483,479,33,8,0,58,1215,15,106,55,94,22,4,3,28,325,0,8,20,44,13,4,3,34,131,123,659,3771,25025,14195,1903,368,1318,47358
