SA3_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
20402,138,136,165,73,15,3,664,4,93,144,200,206,120,35,0,804,154,699,774,589,735,420,154,51,3577,151,417,604,715,748,519,232,61,3453,734,1265,1307,1494,1340,832,324,123,7425,108,83,83,76,74,41,11,7,484,52,84,144,122,136,118,33,13,702,898,1433,1531,1693,1555,989,368,145,8606,7,18,31,39,55,40,30,8,233,540,322,438,581,732,841,645,469,4576,1757,3112,3670,3961,4196,3001,1477,741,21903
20403,255,295,264,163,27,6,1237,16,179,287,314,323,169,32,4,1325,223,1209,1419,986,1045,610,179,61,5721,270,863,1009,1187,1125,766,246,76,5541,1273,2438,2137,2352,1992,1110,420,129,11848,197,158,147,141,119,66,17,6,847,79,144,185,217,235,198,52,21,1138,1556,2737,2463,2712,2342,1372,486,153,13833,23,47,39,61,62,74,54,22,371,824,708,764,886,1009,963,683,331,6176,2924,5948,6233,6440,6177,4107,1703,652,34200
20501,169,169,201,98,32,3,806,9,116,178,177,235,145,19,4,880,171,814,818,639,735,435,127,29,3780,173,564,641,730,659,512,191,45,3519,858,1787,1457,1677,1294,894,378,80,8435,94,85,95,84,67,47,11,3,485,66,111,105,127,136,143,37,15,729,1020,1988,1659,1892,1505,1081,425,94,9654,10,34,26,27,34,59,31,15,239,508,358,449,592,688,737,505,235,4069,1907,3993,3936,4229,4061,3070,1330,422,22950
20502,95,81,139,112,30,7,528,7,84,99,137,195,125,20,3,674,87,471,522,506,663,544,172,38,3006,120,372,442,575,696,681,244,71,3193,577,1100,1148,1413,1501,1205,523,124,7589,83,93,83,81,110,49,9,6,519,40,88,106,111,164,172,67,25,782,704,1280,1339,1615,1777,1429,600,154,8894,13,20,28,28,41,85,42,15,277,546,388,442,656,826,1122,786,455,5221,1493,2670,2962,3598,4338,4093,1894,747,21790
20503,150,175,249,210,44,10,952,9,122,203,201,284,178,36,3,1038,129,797,890,779,987,766,258,66,4673,130,532,719,843,951,839,310,96,4430,705,1730,1737,2031,1948,1358,561,176,10248,100,107,102,109,99,58,15,0,602,53,106,155,171,240,230,77,27,1062,860,1952,1995,2309,2284,1649,657,207,11908,18,29,38,50,70,95,47,20,363,610,483,547,843,1015,1273,895,461,6134,1757,4018,4542,5204,5844,5020,2253,862,29498
20504,200,179,199,93,24,7,909,24,180,177,207,188,94,18,4,892,366,1250,967,735,785,400,138,38,4678,283,817,827,911,866,496,193,49,4434,1395,2769,2208,2549,2169,1311,542,169,13109,216,209,144,98,95,49,17,4,830,93,168,159,206,202,142,52,14,1042,1706,3146,2518,2855,2468,1500,608,185,14981,14,36,49,59,65,66,24,11,330,991,878,786,1020,1188,1150,939,448,7402,3408,6482,5529,5975,5747,3797,1952,738,33616
20505,105,102,87,68,9,5,508,10,101,130,151,128,74,13,4,621,156,716,674,436,536,297,84,30,2925,107,431,498,544,591,383,131,45,2732,687,1426,1223,1474,1331,773,306,81,7307,75,91,76,64,77,38,5,4,438,49,82,109,111,150,77,33,6,625,810,1598,1411,1653,1556,890,348,93,8363,8,36,25,35,39,42,26,13,233,625,681,700,657,786,734,536,222,4943,1731,3684,3553,3572,3727,2486,1154,413,20318
20601,2353,1240,731,273,56,9,7937,72,917,942,689,498,149,22,4,3292,2123,8084,4821,2393,1262,526,116,37,19354,535,2019,1409,990,658,275,87,45,6020,806,1844,1213,1085,770,370,212,110,6412,108,102,86,51,36,29,3,3,423,71,156,174,200,139,62,31,23,856,984,2099,1478,1342,946,462,244,135,7685,55,133,88,72,59,42,21,7,483,775,1500,966,693,572,428,392,206,5522,4705,17870,12039,7426,4725,2146,936,444,50293
20602,1386,1099,626,220,48,3,4892,22,505,647,612,418,124,15,4,2351,915,4158,3249,2042,975,374,85,43,11835,271,963,866,741,451,151,59,24,3529,405,943,682,632,435,216,151,46,3510,56,59,42,39,24,12,0,0,225,30,90,99,106,85,46,25,9,492,489,1092,832,774,536,270,177,57,4223,20,57,63,41,29,28,8,9,260,396,818,651,475,366,303,305,203,3521,2177,9027,7695,5789,3397,1475,698,347,30617
20603,1245,827,576,259,44,5,4844,27,507,518,470,473,155,32,4,2184,1318,4607,3237,2264,1511,559,146,60,13706,418,1175,1007,1024,785,401,163,56,5022,561,1187,930,1081,744,427,184,104,5206,76,73,70,69,37,19,4,7,352,65,135,135,186,138,72,39,27,792,701,1397,1134,1332,919,519,224,132,6357,23,98,70,51,68,47,23,14,403,646,1098,767,648,581,447,372,250,4806,3247,10657,7972,6618,4915,2386,1005,525,37327
20604,3134,1483,1080,687,219,65,15603,186,1296,677,441,411,223,49,11,3296,9080,18329,5099,2360,1719,1075,400,138,38189,2238,3074,1362,922,791,490,187,71,9137,1051,1830,835,630,458,255,90,45,5194,170,143,68,60,40,23,3,0,506,216,276,176,173,130,98,34,10,1126,1437,2253,1086,863,630,381,123,54,6828,422,382,158,85,72,56,41,17,1234,4524,5253,2206,1431,1134,895,455,422,16324,18783,38620,13721,7593,5836,3800,1474,782,90603
20605,2649,1709,1154,685,137,31,9781,38,905,898,742,585,252,47,9,3472,1606,9931,6204,3530,2370,1320,445,150,25567,608,2453,1840,1436,1077,722,252,106,8494,705,2341,1394,1193,793,478,206,91,7194,109,124,107,72,49,41,11,7,521,72,249,254,233,225,133,63,23,1245,891,2714,1755,1502,1063,652,282,117,8969,40,209,139,111,86,121,44,18,769,1046,3146,1970,1517,1265,965,554,280,10744,4366,22635,15458,10536,7609,4712,1766,712,67794
20606,1450,895,690,485,166,51,6378,37,627,397,342,289,171,51,11,1919,1788,7966,3235,2013,1565,1194,548,175,18487,480,1439,868,687,646,570,306,101,5101,429,1276,564,419,307,192,130,67,3379,43,65,47,41,21,24,9,3,258,57,152,95,110,106,95,55,15,686,530,1497,706,570,442,306,191,89,4324,36,130,77,70,58,84,42,17,513,764,1910,891,630,607,592,495,262,6148,3775,16066,7630,5203,4292,3405,1803,696,42867
20607,2347,1570,1107,713,158,29,9737,60,1124,799,599,555,282,42,5,3469,2099,11399,4901,2590,1742,1091,302,86,24204,483,2058,1193,868,636,492,153,45,5936,602,1806,991,741,465,252,140,48,5045,85,105,71,56,35,19,7,4,392,81,229,160,146,116,90,28,13,854,772,2137,1224,945,613,360,176,63,6282,48,132,93,71,60,48,30,10,481,1046,2591,1336,1042,889,675,406,189,8180,4679,23095,11897,7679,5598,3648,1272,432,58289
20701,3936,4005,2721,1579,510,160,17023,72,879,1217,1605,1377,680,182,57,6066,3596,9765,8508,8501,5925,3448,1485,659,41894,875,1753,1773,2481,2128,1798,901,467,12170,963,1576,1040,1505,1158,797,478,263,7790,142,85,67,123,99,64,28,12,626,114,146,202,355,358,306,174,130,1788,1227,1814,1316,1988,1616,1168,684,407,10211,81,176,196,224,206,188,129,85,1282,1238,1397,1146,1299,1141,1163,982,792,9156,7388,19575,18092,20101,15114,10016,4879,2627,97790
20702,1661,1079,848,463,163,29,6000,26,265,415,506,423,250,85,21,1991,1327,4198,3912,3140,2244,1351,632,152,16965,431,1049,1201,1571,1220,1029,609,179,7287,511,917,1003,1459,1049,982,780,226,6920,73,49,59,90,85,42,22,7,422,64,105,152,300,245,242,140,67,1323,645,1073,1215,1849,1380,1267,938,294,8662,33,103,106,132,136,137,93,28,774,471,554,503,629,635,863,939,637,5227,3063,8870,9007,8906,6890,5358,3470,1345,46903
20703,2113,1462,937,503,166,54,8084,59,437,678,792,643,277,107,36,3025,2135,5651,4656,3664,2404,1268,666,239,20679,991,1522,1404,1617,1310,941,564,230,8576,802,1036,972,1435,1088,717,537,244,6837,109,79,80,95,63,48,23,8,510,81,126,168,243,223,164,133,69,1204,995,1239,1219,1778,1367,926,695,321,8550,73,123,111,120,106,114,99,56,799,829,762,567,672,623,680,801,655,5586,5269,12401,10748,10110,7386,4711,3093,1580,55308
20801,1656,2042,1344,724,202,64,7010,22,248,617,897,767,381,99,31,3068,1088,3051,4948,5084,3433,1946,788,327,20665,326,823,1383,1932,1602,1350,658,313,8392,454,868,932,1421,1130,770,436,232,6248,76,48,82,83,73,65,29,8,463,63,86,171,283,294,250,121,95,1367,601,996,1180,1790,1499,1087,586,337,8073,20,55,116,140,137,128,89,54,737,609,564,725,955,875,853,711,697,5990,2737,6649,10621,12851,9658,6470,3135,1815,53935
20802,3383,2253,1323,649,173,56,12010,59,762,1084,1177,898,386,98,19,4479,2791,9093,8039,5865,3868,1924,732,303,32616,759,2210,2347,2468,1957,1221,533,222,11715,904,2016,1626,2122,1649,1008,591,366,10276,130,95,115,112,94,49,18,7,613,91,216,252,393,337,297,126,90,1805,1129,2329,1991,2630,2078,1363,729,459,12702,73,210,198,206,158,177,96,81,1201,1001,1443,1170,1107,1095,986,907,682,8383,6080,19961,18209,15699,11372,6696,3266,1823,83109
20803,1587,1007,605,318,98,18,4931,53,478,757,691,489,219,52,14,2753,1020,4370,5121,3245,2024,894,380,129,17189,555,1940,2509,2325,1595,957,402,136,10430,1093,2455,2753,3070,2244,1292,728,266,13901,135,110,167,156,104,69,19,5,766,92,183,345,387,356,275,124,50,1808,1317,2746,3261,3620,2709,1639,872,326,16485,44,107,147,148,138,123,90,48,842,690,935,1043,1052,971,1085,1142,930,7848,3749,11807,14425,12084,8529,5237,3049,1591,60466
20804,940,770,529,340,108,32,3989,20,233,281,375,277,147,44,15,1390,1129,2727,2199,1998,1371,773,336,129,10670,233,536,526,606,504,411,234,98,3156,237,393,313,360,269,192,143,60,1968,32,27,25,30,19,14,4,4,151,35,57,59,101,98,91,47,40,523,306,472,392,486,374,299,196,103,2642,33,51,40,38,35,41,38,17,295,327,395,296,330,277,276,267,184,2350,2158,5582,4678,4608,3367,2294,1225,582,24500
20901,2106,1426,1099,638,174,28,7472,43,650,946,897,783,366,66,15,3767,1411,5391,5410,3486,2701,1497,496,160,20555,605,1744,2031,1915,1659,1110,454,165,9683,1170,2403,2234,2485,2014,1457,811,278,12859,148,103,125,120,115,78,14,10,709,111,184,286,334,322,269,133,56,1693,1430,2696,2645,2934,2449,1803,963,338,15261,39,97,125,138,117,128,89,28,757,743,930,906,954,937,1066,927,723,7180,4409,13375,14163,11746,9740,6606,3172,1459,64676
20902,1580,676,356,92,26,7,5259,54,532,599,462,249,78,14,4,1996,1482,5467,3707,1883,918,342,120,28,13953,685,2091,1698,1282,700,264,110,42,6868,932,1907,1668,1629,1138,661,379,154,8470,147,121,123,113,72,37,5,3,616,92,175,201,248,170,90,31,17,1029,1175,2212,1991,1989,1378,778,419,174,10113,62,154,112,89,70,50,19,16,576,1125,1554,1130,1062,856,855,896,696,8175,4740,14377,10816,7445,4513,2462,1610,975,46936
20903,738,695,565,313,85,6,2823,27,200,446,514,552,200,48,0,1989,645,1648,2455,2092,1659,794,213,62,9563,382,720,1106,1423,1189,716,169,28,5738,839,1340,1576,2199,1641,860,324,81,8859,84,56,63,91,74,22,7,0,401,59,84,136,230,215,164,38,6,935,978,1483,1781,2514,1935,1043,365,83,10192,15,40,49,70,67,74,26,11,357,511,329,449,605,559,512,265,127,3362,2597,4802,7030,7924,6525,3657,1170,322,34026
20904,2014,778,407,157,39,6,6291,93,765,738,471,306,105,11,5,2496,1929,7770,5511,2624,1685,759,187,45,20503,1419,4918,4154,2735,1619,731,225,51,15855,2849,7001,5767,5138,3437,1714,662,167,26732,331,408,401,287,186,59,13,9,1702,270,612,654,615,473,226,66,23,2937,3449,8026,6821,6034,4101,2000,742,193,31368,99,310,290,191,184,122,40,18,1259,2036,2522,2093,1873,1804,1614,1011,337,13295,9197,27025,21629,14711,10102,5495,2262,657,91071
21001,533,391,265,104,20,4,1859,19,195,305,269,205,88,19,6,1110,608,2069,2172,1441,975,394,127,30,7817,263,809,1015,990,699,450,165,53,4450,505,1223,1245,1387,929,774,536,137,6736,57,57,71,73,59,33,10,0,365,43,111,162,180,131,119,59,19,816,609,1394,1486,1640,1118,919,600,155,7921,23,40,64,58,58,54,29,13,342,382,458,435,471,497,773,640,354,4011,1948,5467,6011,5263,3812,2791,1597,617,27507
21002,208,213,164,111,19,3,814,8,71,187,202,170,72,19,3,726,168,551,911,709,563,317,76,22,3317,108,302,530,603,501,354,114,30,2536,390,787,916,1008,755,436,164,32,4496,53,41,33,46,35,12,9,0,227,33,52,81,106,102,83,29,10,497,474,876,1036,1160,895,533,199,45,5211,7,17,25,27,36,42,10,7,170,287,176,284,355,352,371,181,94,2104,1061,2083,3166,3271,2678,1799,617,203,14878
21003,1205,416,219,76,16,8,3630,43,401,423,282,182,47,19,0,1394,852,4150,2747,1212,638,228,84,40,9950,477,1671,1371,973,506,205,113,51,5372,697,1696,1399,1363,952,520,411,196,7238,94,101,96,91,40,19,13,4,451,70,178,186,178,122,62,45,33,876,856,1975,1678,1631,1114,607,476,232,8567,49,128,97,60,54,29,27,22,470,723,1119,878,695,610,605,773,578,5986,3080,11058,8405,5269,3320,1791,1512,929,35359
21004,172,155,123,32,9,4,648,28,135,154,150,137,57,15,0,672,280,865,865,546,467,202,79,25,3323,262,630,679,681,507,253,116,26,3149,709,1521,1337,1358,1039,537,192,75,6765,81,88,61,58,62,23,3,3,374,53,84,111,147,127,90,30,14,653,839,1692,1514,1565,1230,654,222,83,7791,9,34,39,40,44,28,9,12,217,346,307,353,355,389,362,225,103,2436,1775,3800,3766,3488,2891,1584,678,253,18233
21005,1290,487,231,85,13,4,3879,79,454,392,260,172,53,11,0,1420,1409,4850,3306,1815,1036,400,100,19,12932,1176,3303,2665,2025,1045,416,137,22,10779,2183,4271,3415,3449,2196,1096,398,66,17077,297,315,254,240,135,46,5,0,1291,240,444,439,466,290,143,45,16,2080,2722,5031,4111,4158,2627,1282,447,84,20445,80,291,179,145,117,76,30,7,925,1888,2142,1666,1697,1375,1141,701,217,10824,7468,17724,13599,10589,6603,3447,1436,357,61218
21101,1642,1113,752,291,66,19,5718,67,514,704,594,565,228,67,9,2757,1579,5688,5063,3364,2515,1219,382,117,19925,965,2574,2746,2793,2189,1255,445,144,13113,2003,3884,3784,4498,3604,2069,1098,264,21201,246,189,223,198,150,109,22,6,1147,183,271,346,479,507,338,180,58,2363,2439,4347,4352,5167,4261,2517,1302,327,24707,58,113,150,192,211,164,117,41,1040,894,1011,1028,1114,1247,1214,1084,803,8405,6088,16007,15685,14333,11743,6884,3465,1468,75671
21102,299,322,251,117,42,9,1259,3,70,151,193,173,88,27,3,710,348,750,1004,1082,816,398,126,41,4554,145,217,347,558,473,324,122,41,2225,237,288,381,735,481,326,173,45,2667,20,17,13,39,22,17,10,0,143,24,28,54,92,82,73,36,8,388,284,328,449,862,590,422,217,53,3198,9,21,17,39,22,40,19,4,172,161,111,146,228,212,205,196,150,1414,979,1680,2411,3279,2542,1600,754,298,13534
21103,1258,741,551,287,83,19,4201,45,530,666,601,484,254,70,9,2654,911,4278,3917,2417,1707,996,402,121,14743,635,1811,2070,1906,1532,1069,466,144,9626,1383,2942,2761,3144,2152,1344,701,225,14645,158,151,157,125,106,68,22,7,788,99,198,248,351,341,253,148,57,1694,1640,3293,3167,3615,2605,1660,868,285,17129,30,93,93,98,128,124,68,33,663,694,767,793,822,813,866,847,625,6223,4027,11946,11962,10199,7821,5254,2797,1232,55239
21104,1338,693,393,238,77,13,4015,15,274,425,365,313,179,50,9,1640,747,2949,3123,1940,1211,759,316,83,11134,338,846,1035,1070,819,652,347,114,5220,461,763,843,1155,870,618,439,160,5307,55,46,50,53,44,35,8,0,302,38,78,94,148,142,154,84,47,798,560,887,990,1359,1058,808,527,214,6408,12,58,84,65,60,65,49,17,411,297,388,357,331,327,431,440,287,2852,2006,6628,7344,5826,4188,3136,1808,742,31680
21105,844,713,616,384,101,12,3328,51,440,677,640,684,325,60,16,2898,861,3170,3635,2598,2271,1395,388,91,14400,874,2322,2567,2653,2274,1494,431,133,12749,2398,5383,4782,5320,4132,2294,891,234,25437,256,230,244,231,189,107,36,11,1309,138,272,403,466,510,398,107,30,2320,2794,5891,5421,6019,4830,2794,1035,280,29063,48,78,105,143,144,185,70,36,808,1189,1064,1186,1468,1469,1488,1009,557,9424,5861,13566,14439,14229,12282,8076,3093,1122,72669
21201,496,267,202,115,19,5,1625,48,265,305,298,205,110,21,0,1252,436,2005,1973,1163,875,505,126,43,7125,585,1829,1762,1429,912,530,173,43,7264,1823,4118,3392,3125,2052,1064,436,102,16111,171,239,179,164,91,47,7,6,895,119,223,293,266,255,152,46,10,1371,2115,4582,3867,3555,2392,1265,485,115,18380,28,91,81,101,74,89,25,5,485,996,872,900,1009,890,819,556,274,6315,4235,10145,9374,7826,5544,3426,1409,491,42450
21202,1290,698,412,164,43,3,3785,56,324,421,412,291,108,29,3,1645,1138,3717,3519,2299,1517,623,230,61,13108,925,2344,2591,2253,1505,714,243,65,10637,1800,3261,3303,3820,2782,1363,629,150,17104,216,205,212,183,152,62,11,3,1033,146,283,346,440,372,227,91,18,1927,2159,3743,3861,4443,3308,1650,731,170,20063,50,131,172,157,162,93,58,19,847,1169,1093,945,1140,1100,1048,830,512,7843,5575,12464,12798,11403,8292,4404,2160,847,57935
