SA3_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
20402,152,1164,755,16412,366,18858,3,4,0,42,0,43,180,12,16,111,16,328,37,9,4,14,0,60,390,95,61,212,4,760,1561,1185,806,15093,334,18983,126,0,27,3,7,167,51,19,8,146,0,226,406,131,106,1539,27,2216,71,36,8,55,3,168,46,15,6,29,0,95,173,11,3,11,0,195,271,296,167,5854,97,6678,831,212,74,1091,28,2238,0,0,0,0,0,3,11,3,0,3,0,23,10,0,0,6,0,18,37,23,13,42,4,120,37,11,12,4,3,65,53,36,49,20,3,160,118,12,13,65,6,213,28,5,8,24,0,60,406,302,213,4510,77,5511,17,3,3,3,0,26,42,3,3,9,0,55,35,7,7,37,0,82,45,12,0,5,0,62,14,0,0,0,0,10,13,3,5,0,0,18,52,20,13,157,3,241,766,180,125,408,21,1507,52,20,16,499,3059,3645,5026,2271,1491,33482,3835,46100
20403,253,2113,1527,24519,511,28922,0,12,0,112,0,129,256,15,42,147,3,458,235,24,16,59,9,345,578,210,127,426,20,1362,2898,1970,1385,21575,479,28307,292,7,66,11,10,392,121,27,7,196,7,351,952,301,205,3035,70,4564,93,27,7,105,8,236,113,24,7,27,3,173,393,19,9,16,5,440,517,439,266,7652,136,9014,951,296,122,1287,49,2700,32,0,0,3,0,30,39,12,0,30,3,80,13,7,0,13,0,31,66,33,21,102,3,215,82,22,32,19,0,154,130,94,79,51,4,356,248,56,22,132,7,468,69,14,11,38,0,127,714,499,365,6000,97,7674,83,20,9,19,4,138,78,16,10,8,0,107,85,13,16,67,0,192,78,4,3,6,0,95,4,3,0,3,0,5,23,7,8,3,0,38,143,27,17,166,0,366,2011,358,263,710,41,3385,113,17,30,645,4468,5271,9635,3907,2748,48360,5601,70249
20501,211,1716,1198,17165,306,20592,0,0,0,45,4,52,229,6,18,78,6,332,96,22,9,21,6,153,734,213,146,542,20,1664,2801,1591,1257,14747,343,20731,128,3,33,8,8,174,76,6,9,133,3,229,483,167,122,1250,32,2047,94,29,8,96,0,226,87,7,14,37,0,144,183,25,9,14,0,225,571,374,255,4579,72,5856,520,209,72,845,23,1659,10,0,0,0,0,13,9,3,0,8,0,27,11,9,4,0,0,21,99,34,22,90,6,247,35,19,3,10,3,65,143,79,78,39,3,344,158,29,17,73,10,280,48,14,4,16,0,84,688,377,320,3920,80,5391,34,10,0,6,0,51,76,16,0,7,0,99,54,10,16,43,0,123,75,18,7,9,4,107,9,7,0,0,0,16,27,4,6,0,0,38,91,33,17,119,6,263,992,257,198,488,14,1952,70,26,14,479,2879,3475,7224,3129,2251,32419,3608,48626
20502,163,1317,949,16015,451,18887,0,4,3,198,4,206,210,22,16,141,3,387,34,3,0,23,0,58,508,139,95,316,13,1067,2545,1314,890,13632,397,18778,156,0,42,4,5,211,44,14,7,100,8,173,464,126,76,1268,33,1971,93,27,6,54,3,193,40,9,3,21,0,79,141,14,11,18,6,187,398,255,155,3922,95,4831,454,127,49,697,18,1354,9,0,0,0,0,9,3,3,3,11,0,18,4,3,0,7,0,9,103,15,11,63,0,187,46,10,7,15,0,90,115,31,32,38,3,225,107,28,10,47,0,192,35,3,0,9,0,53,653,309,238,3810,82,5097,24,3,0,15,0,43,56,5,6,8,0,85,40,3,3,26,3,78,21,0,3,3,0,27,8,0,0,0,0,14,62,0,10,3,4,82,105,29,19,117,0,269,756,191,109,436,24,1513,80,19,18,493,3443,4052,6231,2414,1673,30479,4355,45146
20503,268,2119,1529,20908,525,25352,0,0,3,55,0,64,250,10,29,101,6,389,81,24,8,34,0,139,936,281,193,529,21,1969,4304,2029,1559,17648,489,26032,143,17,37,0,4,201,106,20,8,120,5,263,620,196,131,1296,35,2279,181,28,22,85,12,327,92,19,9,33,3,158,251,18,12,21,10,310,854,483,290,5482,122,7226,991,264,122,1218,40,2639,26,0,0,0,0,26,15,9,0,14,0,34,14,3,6,11,0,30,163,42,14,90,3,304,110,32,16,7,0,162,199,74,63,46,6,388,145,22,17,89,3,278,55,11,3,36,0,112,1093,579,402,5112,114,7301,30,5,0,6,0,40,79,24,12,7,4,119,67,14,8,46,0,136,55,11,16,8,0,95,18,7,0,3,0,27,53,3,0,3,0,66,150,44,36,179,4,411,1229,286,212,630,34,2397,128,33,35,574,4004,4772,10457,3936,2872,39263,5139,61668
20504,466,2359,1610,24274,620,29327,0,11,3,120,9,143,522,24,22,82,9,662,141,24,11,45,6,226,1261,374,244,799,37,2716,3590,2139,1546,20236,581,28086,430,22,107,14,6,581,78,13,14,130,3,243,808,276,191,1909,65,3242,317,55,25,197,8,605,120,23,4,47,3,198,398,14,6,19,3,440,792,527,315,5797,126,7562,1351,321,118,1336,51,3179,29,0,0,0,0,29,13,0,0,7,0,27,17,0,0,7,0,27,734,168,84,553,23,1556,134,37,22,23,0,221,138,89,69,55,9,363,411,59,27,196,10,704,84,19,3,38,5,151,1318,613,488,5207,126,7748,61,10,4,15,0,88,69,16,6,15,4,112,134,17,10,75,7,238,116,15,4,10,0,146,20,0,4,7,3,36,86,0,8,0,5,99,126,45,25,164,9,360,2123,318,232,730,56,3459,171,60,27,736,5223,6211,13482,4546,3084,45376,6609,73099
20505,164,1238,886,15469,353,18119,0,3,0,76,0,83,174,3,7,78,3,267,68,17,4,25,0,122,521,127,106,311,15,1090,2120,1138,907,12671,364,17205,190,4,34,9,4,243,48,10,13,58,0,124,349,136,81,1104,25,1693,67,24,12,56,0,160,46,12,4,25,3,87,246,3,0,10,0,264,412,227,172,3996,96,4903,259,112,48,567,16,1004,11,0,0,0,0,8,9,5,3,22,0,38,12,3,0,11,0,34,63,21,6,50,0,140,52,10,12,11,0,91,128,42,34,32,4,238,177,22,12,83,10,298,38,6,5,29,0,78,506,280,210,3570,59,4630,22,0,0,7,0,26,54,3,9,9,0,76,32,4,4,19,0,64,57,3,12,8,0,73,7,3,0,6,0,14,75,0,4,0,0,82,79,12,19,102,0,212,789,145,124,387,23,1478,68,21,18,546,3671,4327,5636,2188,1637,28974,4442,42871
20601,715,2947,2123,12923,210,18931,9,15,3,77,0,103,3246,125,135,190,30,3725,386,63,34,107,4,600,395,242,146,355,7,1142,4695,2613,1879,13082,235,22504,469,12,93,24,8,600,369,62,52,192,11,689,878,299,206,1495,18,2896,4327,502,216,1268,77,6396,134,48,31,58,3,269,1537,80,43,37,10,1718,1610,998,710,7973,98,11394,7617,1170,619,3186,149,12730,178,7,9,5,0,195,1950,224,150,170,36,2535,188,34,21,79,3,330,548,134,92,292,9,1070,182,24,15,10,3,240,589,99,84,52,12,830,428,113,54,211,7,808,157,30,19,76,5,285,1405,686,555,4802,67,7513,186,25,21,22,0,258,118,28,26,17,0,191,444,50,43,81,4,619,255,40,37,23,5,350,933,75,38,35,10,1091,764,24,49,14,9,855,187,50,45,256,4,547,8233,928,760,1084,75,11072,294,41,31,267,4525,5162,37385,6934,4850,31734,5363,86257
20602,350,2091,1450,9259,150,13294,3,6,0,69,0,85,1477,102,100,138,17,1833,227,34,16,81,3,358,240,154,101,258,7,767,2973,1858,1242,9496,142,15711,165,10,45,13,3,235,207,54,26,123,0,412,510,208,149,978,25,1867,3693,356,196,857,56,5162,82,20,20,58,3,189,827,37,46,31,5,954,1077,696,494,5675,74,8013,2950,560,258,1530,63,5365,58,3,5,8,0,69,457,65,45,78,12,653,413,43,27,100,12,597,144,43,44,108,3,342,88,13,12,9,0,114,334,89,62,25,3,522,213,78,59,144,6,503,72,18,17,43,5,159,892,498,384,3515,54,5347,166,14,7,29,4,213,101,29,28,5,0,157,187,25,21,45,3,280,172,42,19,20,0,249,99,13,17,3,0,127,594,14,25,3,5,637,129,41,30,193,5,389,3139,597,427,685,56,4896,149,18,17,158,2953,3300,18889,4531,3064,22074,3509,52065
20603,490,1981,1463,11604,165,15706,3,11,3,50,0,64,3128,71,112,151,42,3503,504,84,47,179,3,817,307,124,90,225,4,751,2822,1614,1117,11122,199,16874,358,9,70,9,3,448,181,30,22,123,4,354,514,195,159,1123,14,2007,1619,266,105,741,23,2751,107,27,9,37,0,180,2099,71,42,42,10,2261,1132,629,382,6719,76,8940,4447,870,420,2719,78,8545,225,0,6,7,0,241,271,34,38,118,0,456,183,41,24,88,0,333,634,162,105,359,11,1275,83,12,11,15,0,123,295,64,80,22,0,457,363,71,68,161,8,674,149,20,22,44,0,231,838,422,342,3649,45,5291,153,20,18,31,6,236,98,14,14,4,0,129,318,30,22,56,7,437,292,28,26,9,0,353,320,40,21,13,8,402,1428,28,42,13,22,1540,84,39,31,180,0,340,6684,525,465,699,132,8506,327,20,21,182,4168,4721,26646,4424,3122,27542,4867,66595
