SA3_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
20402,62,64,47,17,20,3,3,213,59,82,33,32,32,8,4,262,97,86,35,24,41,4,3,293,1547,1751,1025,704,938,184,36,6185,15,9,7,3,0,3,0,36,1783,1988,1153,779,1034,210,45,6992,13,17,12,13,7,0,0,65,18,30,18,23,21,7,0,127,7,12,9,8,5,0,0,52,350,500,323,228,306,59,15,1776,24,20,15,12,10,0,0,77,410,578,381,277,358,73,13,2096,2196,2567,1532,1063,1388,283,63,9089
20403,217,178,103,59,102,34,6,693,151,194,100,64,99,18,5,623,184,188,85,50,90,21,8,626,2681,2728,1577,1007,1374,284,64,9710,15,21,20,9,6,0,0,63,3236,3303,1878,1189,1667,358,86,11721,15,27,26,12,25,6,6,123,41,50,36,38,46,10,3,224,13,28,26,17,16,8,4,112,559,841,494,338,457,99,28,2815,41,28,21,9,10,3,0,111,668,974,610,415,553,135,37,3383,3905,4277,2490,1605,2216,491,127,15103
20501,103,120,62,52,65,23,9,436,134,161,77,44,78,17,9,523,96,133,76,56,75,25,6,458,1938,2106,1102,697,935,333,101,7222,7,12,9,9,3,0,0,34,2280,2522,1328,858,1155,407,118,8666,9,17,12,4,25,8,3,77,25,37,25,18,21,10,5,147,20,19,10,12,19,8,5,96,341,503,311,211,327,94,17,1791,17,13,5,0,4,0,3,46,405,590,368,247,403,120,29,2158,2683,3115,1695,1104,1552,526,150,10819
20502,73,79,36,30,34,9,0,263,72,73,52,33,31,6,3,275,78,97,33,32,36,8,3,280,1398,1473,869,539,707,144,18,5149,15,24,10,6,4,0,0,55,1638,1744,1006,642,810,167,27,6036,5,7,10,0,7,4,0,31,32,37,22,16,22,7,0,129,11,23,10,12,17,3,0,69,291,440,275,220,289,39,9,1558,19,14,15,5,11,0,0,63,358,522,332,257,342,50,7,1865,1995,2263,1337,894,1155,217,33,7897
20503,127,112,54,44,54,14,3,409,162,181,104,48,85,18,4,596,141,167,100,61,75,12,3,563,2070,2153,1245,821,1052,254,64,7651,15,16,18,3,3,0,3,64,2514,2629,1519,980,1264,297,77,9277,18,12,17,15,15,3,0,84,34,56,22,27,33,9,0,193,15,56,25,17,29,12,0,154,384,591,364,265,351,80,19,2039,25,20,18,9,11,0,0,83,482,742,443,330,434,105,21,2551,2995,3368,1959,1307,1703,405,93,11830
20504,216,205,121,71,95,32,21,762,106,138,90,48,73,25,5,484,107,116,72,50,68,28,10,447,2546,2523,1391,911,1195,370,117,9046,24,27,19,15,7,0,0,91,2998,3001,1693,1096,1443,447,149,10829,39,53,36,25,48,15,7,228,52,57,35,24,32,6,3,207,17,30,25,37,34,17,5,168,830,989,560,427,538,129,38,3507,55,36,24,14,12,0,0,153,998,1175,679,524,670,164,53,4264,3987,4183,2370,1614,2113,618,205,15096
20505,109,96,66,45,43,14,0,372,77,84,51,36,48,11,3,308,96,75,42,38,32,14,0,292,1564,1669,934,603,829,202,35,5839,20,12,6,5,3,3,0,57,1864,1942,1096,725,967,247,40,6876,10,10,15,9,7,6,0,52,18,36,11,10,25,5,0,109,16,11,9,9,14,4,0,59,341,414,230,196,265,61,9,1527,18,16,9,5,7,0,0,55,400,484,281,235,322,77,9,1802,2260,2427,1375,954,1286,325,52,8679
20601,829,573,243,148,201,165,111,2275,518,429,225,123,182,129,70,1678,471,365,182,93,133,79,33,1360,2214,1960,971,553,688,374,180,6932,20,13,3,8,3,3,0,50,4052,3340,1619,924,1212,747,401,12293,59,91,64,57,85,42,43,442,46,62,49,37,47,38,13,289,42,41,26,16,34,30,15,199,118,191,161,103,130,102,45,851,16,8,17,9,8,0,3,59,277,395,315,226,303,215,115,1846,4333,3737,1934,1142,1511,963,515,14139
20602,314,245,134,75,119,99,48,1027,377,348,179,100,151,93,51,1292,336,290,125,75,83,58,34,1003,1537,1521,874,479,551,315,160,5438,16,6,3,0,7,0,3,35,2569,2411,1308,732,905,566,297,8791,34,39,23,26,39,28,25,210,25,63,38,27,38,22,13,227,24,27,14,20,23,7,3,120,102,155,128,77,125,59,45,690,4,6,3,5,0,3,3,26,193,293,210,154,227,111,87,1272,2760,2704,1521,883,1131,678,386,10064
20603,847,627,277,174,218,166,86,2393,266,268,172,100,177,103,58,1151,350,247,106,101,124,87,50,1079,1677,1800,1048,704,974,627,343,7169,24,18,10,3,0,0,0,56,3168,2966,1613,1083,1494,995,543,11850,138,168,131,86,103,80,53,762,34,47,26,14,37,20,13,195,13,43,22,13,27,7,3,127,119,201,125,92,143,106,63,843,45,40,19,17,7,3,3,134,343,497,323,223,316,223,139,2072,3510,3468,1937,1301,1812,1213,686,13918
20604,1808,850,349,201,291,206,104,3822,252,149,64,40,58,26,18,599,391,166,87,42,77,32,30,828,896,500,244,154,211,140,79,2223,36,21,11,3,0,0,0,71,3377,1694,754,438,638,406,228,7546,247,276,140,133,240,239,166,1433,24,38,17,15,24,18,11,156,35,32,23,13,16,20,18,161,86,107,43,47,65,53,29,433,34,24,8,10,8,5,0,94,424,479,240,208,350,343,224,2273,3805,2174,994,654,993,750,459,9819
20605,1052,615,237,130,159,108,59,2364,581,427,181,116,119,67,35,1521,542,374,171,89,110,51,31,1358,1834,1499,772,450,563,301,172,5595,13,16,4,0,0,3,0,37,4023,2926,1372,785,956,531,293,10880,66,132,73,57,90,68,33,522,56,86,58,53,61,36,16,363,49,66,48,20,42,28,19,264,148,243,161,115,168,93,59,989,17,19,5,6,5,0,0,57,338,535,348,253,366,231,134,2196,4357,3460,1714,1041,1316,760,427,13077
20606,506,299,152,93,121,110,61,1351,216,157,81,55,70,50,36,670,239,150,73,41,53,50,27,638,889,725,430,282,414,285,183,3208,6,0,0,0,0,0,0,13,1853,1333,740,469,666,503,314,5873,52,98,53,42,58,50,32,382,34,23,23,20,48,15,15,179,28,22,18,14,23,8,14,126,59,151,89,68,89,74,73,601,11,10,3,0,3,3,0,35,183,307,188,143,218,157,134,1324,2037,1638,927,606,884,658,445,7203
20607,695,471,238,151,163,153,73,1945,385,309,132,66,77,54,29,1048,420,271,93,63,79,46,29,998,1593,1269,631,364,434,268,142,4700,23,19,15,3,6,3,0,78,3117,2343,1103,647,761,519,270,8764,239,262,159,145,184,117,77,1187,56,61,37,21,34,27,11,263,49,57,22,10,28,22,15,206,110,145,113,62,117,72,51,679,32,44,21,8,4,5,5,130,497,573,346,258,374,246,163,2455,3615,2912,1443,903,1138,763,437,11215
20701,2137,2256,1320,905,1288,980,563,9442,690,837,524,346,460,321,189,3370,810,959,556,332,470,348,191,3664,3232,4528,3104,2061,2821,1991,1192,18937,20,21,15,6,9,4,6,79,6880,8599,5518,3642,5056,3646,2141,35486,168,354,287,210,412,289,147,1867,55,113,85,81,108,79,50,572,25,98,53,59,66,52,38,398,135,324,304,266,404,255,173,1860,14,14,7,7,6,0,6,57,391,909,738,616,995,684,420,4754,7279,9506,6256,4260,6047,4331,2559,40235
20702,2087,1929,959,625,1100,958,595,8254,248,267,164,105,163,133,78,1160,325,313,161,120,171,109,70,1276,1256,1668,1067,618,833,565,293,6306,15,21,7,4,9,0,3,54,3932,4197,2358,1473,2278,1762,1042,17042,143,248,146,149,233,213,142,1275,21,51,39,25,49,38,22,246,22,58,28,19,43,30,18,213,108,194,159,122,165,103,64,910,10,17,10,0,8,4,3,46,297,561,382,314,500,397,242,2690,4233,4760,2737,1781,2778,2153,1290,19735
20703,1977,1521,784,501,771,598,323,6475,402,427,264,145,229,135,71,1663,430,437,226,148,203,130,59,1629,1856,2376,1491,951,1338,732,414,9165,11,15,5,7,7,5,0,55,4668,4772,2772,1748,2551,1601,871,18988,149,231,151,150,310,196,138,1319,25,56,50,32,62,42,20,290,19,43,39,39,52,36,15,237,93,242,218,140,239,165,81,1184,11,20,4,8,3,7,3,61,304,595,466,365,661,443,258,3094,4969,5367,3235,2114,3215,2048,1128,22077
20801,866,1178,700,420,653,380,226,4419,584,657,404,260,308,191,127,2521,585,740,407,234,327,176,108,2578,2361,3030,1961,1266,1707,1077,614,12009,12,14,8,3,3,4,3,42,4403,5615,3483,2177,2991,1823,1075,21565,52,117,87,69,127,83,40,569,34,81,77,48,90,53,40,418,39,53,49,39,58,29,26,286,136,300,246,193,275,182,96,1429,13,12,13,3,11,0,0,54,276,561,476,350,557,345,198,2755,4674,6181,3953,2522,3549,2171,1277,24329
20802,2651,2334,1197,717,993,693,401,8989,1030,1059,553,337,470,264,152,3856,1007,943,487,283,375,229,107,3433,3398,3742,2162,1288,1720,978,580,13869,19,24,15,8,15,7,3,85,8101,8092,4410,2641,3575,2175,1244,30231,123,227,189,144,236,181,120,1205,73,145,101,68,117,82,57,652,55,102,68,44,72,39,41,414,167,383,282,235,310,209,133,1718,24,23,5,4,9,5,6,73,439,872,642,503,738,514,357,4065,8540,8966,5053,3135,4309,2686,1606,34301
20803,1392,1351,692,465,624,467,246,5234,714,698,354,215,248,125,71,2418,705,654,308,189,268,152,75,2343,3451,3433,1816,1136,1358,750,347,12300,15,30,15,12,12,6,4,91,6279,6165,3189,2017,2510,1500,739,22392,68,139,88,81,153,104,57,698,73,125,97,85,102,59,18,570,57,101,80,48,67,34,30,412,285,488,349,260,403,220,111,2112,28,23,7,8,6,12,0,89,512,878,624,480,728,428,225,3874,6787,7038,3816,2501,3235,1928,958,26264
20804,426,289,142,93,148,127,75,1302,207,212,118,74,119,72,44,831,180,220,118,83,116,58,42,819,1034,1420,941,546,739,491,273,5444,5,0,0,0,0,3,0,11,1847,2141,1327,797,1114,758,429,8416,14,33,26,20,34,27,26,179,23,23,22,23,36,20,14,166,7,20,12,6,15,11,3,71,39,121,95,65,96,81,42,537,11,3,6,3,0,0,0,22,93,194,149,120,185,137,87,974,1940,2343,1478,917,1295,897,520,9382
20901,1496,1247,592,350,551,390,234,4869,689,664,326,195,272,197,112,2450,662,556,252,153,197,125,84,2032,3838,3802,2043,1273,1796,1095,544,14393,31,17,13,3,5,0,0,66,6719,6285,3229,1977,2820,1814,975,23808,120,152,113,78,128,104,68,775,53,130,90,57,80,51,26,482,44,44,49,40,65,46,28,319,301,589,410,314,436,242,126,2422,22,32,13,16,7,8,3,97,537,948,687,502,722,452,248,4100,7256,7232,3909,2483,3542,2267,1223,27912
20902,1946,1252,579,333,512,405,240,5261,453,401,226,126,181,110,62,1567,456,339,141,81,100,62,30,1210,1953,1901,1011,583,732,365,167,6710,36,23,15,13,12,9,0,101,4850,3920,1967,1126,1533,952,495,14842,162,174,112,98,145,107,90,892,66,102,81,42,52,39,24,408,33,62,33,27,43,32,16,245,261,360,240,163,229,115,56,1421,34,28,20,12,4,6,0,107,557,728,492,340,475,299,184,3071,5409,4641,2459,1466,2009,1250,679,17917
20903,269,347,212,167,226,139,76,1431,327,409,235,131,167,140,60,1470,298,307,179,145,179,119,64,1293,2215,2739,1746,1172,1647,933,440,10898,5,15,12,6,8,0,0,46,3123,3826,2384,1622,2234,1328,633,15142,5,31,24,25,37,24,10,149,23,57,39,27,34,17,19,218,15,32,20,15,25,17,7,141,128,322,231,189,255,140,76,1349,13,15,4,7,3,3,0,42,181,446,323,265,357,207,121,1894,3302,4271,2704,1886,2592,1532,754,17041
20904,5747,4524,2298,1267,1934,1382,748,17907,1169,1003,533,302,488,238,110,3846,994,743,363,215,317,153,81,2868,6675,5731,3024,1833,2330,993,406,20983,97,92,48,34,34,11,6,319,14685,12090,6265,3660,5097,2777,1346,45922,340,495,344,274,318,259,186,2217,193,240,170,126,167,68,44,1005,103,153,120,73,107,44,24,617,1129,1437,922,595,777,303,124,5290,85,71,45,52,26,16,3,305,1848,2395,1603,1118,1391,695,376,9430,16533,14488,7862,4777,6489,3481,1729,55354
21001,487,456,285,203,327,250,151,2160,284,311,176,119,147,91,53,1175,285,245,125,80,117,60,43,948,1802,1885,1050,615,816,496,242,6911,10,5,10,3,8,3,3,36,2863,2903,1644,1022,1409,894,493,11238,23,50,51,49,58,47,34,306,23,49,41,26,37,27,17,212,14,20,28,20,30,21,8,145,128,238,176,165,235,117,81,1139,10,20,6,6,5,0,4,54,197,379,304,260,367,210,138,1856,3065,3279,1952,1282,1778,1105,636,13094
21002,65,83,57,34,57,28,7,333,117,163,102,52,69,35,16,560,116,117,79,42,57,37,15,457,1344,1466,918,518,715,271,109,5346,7,12,3,11,3,0,3,40,1652,1845,1160,651,904,364,152,6734,0,12,5,9,12,5,0,41,12,26,16,13,22,12,3,103,8,9,10,10,16,9,0,60,107,158,123,93,140,60,22,702,3,10,5,0,5,0,0,26,130,218,158,120,194,84,29,923,1780,2067,1321,775,1097,446,181,7658
21003,1996,1533,688,432,538,406,216,5813,524,448,205,131,187,83,36,1607,443,286,135,78,93,54,34,1126,1750,1432,739,406,563,261,146,5297,32,21,11,10,20,6,3,99,4753,3728,1780,1052,1400,807,427,13945,88,157,131,67,148,92,45,738,86,103,66,59,61,43,21,435,52,74,43,21,37,17,8,251,180,277,208,144,199,92,47,1143,18,20,7,13,8,8,0,61,420,632,448,299,455,256,122,2628,5169,4352,2230,1359,1851,1059,553,16574
21004,169,214,113,88,120,68,33,813,180,169,120,79,104,50,20,724,168,137,71,66,84,48,13,580,1576,1494,793,527,718,361,149,5611,4,10,0,3,0,3,0,21,2101,2024,1103,758,1019,526,222,7751,11,19,10,11,22,10,6,95,32,45,24,22,26,11,3,167,10,25,20,22,16,10,7,101,283,322,229,171,247,75,43,1369,3,6,11,4,9,3,0,46,350,418,297,229,313,109,54,1773,2449,2444,1394,985,1335,642,276,9524
21005,5706,5385,2970,1860,2743,1842,969,21470,1233,1097,547,313,414,186,83,3878,722,644,315,204,228,131,66,2310,2942,2442,1272,842,1168,589,274,9532,90,89,41,21,14,7,6,263,10696,9650,5144,3238,4576,2751,1403,37458,472,627,486,352,541,356,189,3024,207,257,160,121,183,71,35,1032,99,117,88,56,85,39,21,515,688,831,530,351,433,163,97,3095,66,95,53,32,20,17,17,286,1528,1927,1317,908,1267,648,360,7954,12222,11579,6461,4143,5839,3398,1759,45414
21101,2522,2247,1259,894,1276,1167,672,10041,561,625,327,216,330,196,99,2359,675,614,301,203,311,158,97,2355,3918,3962,2259,1549,2161,1122,482,15456,22,17,23,11,12,10,5,103,7701,7465,4171,2879,4091,2648,1359,30323,118,187,133,107,235,157,131,1066,81,111,101,89,141,61,38,615,66,105,70,63,97,40,32,473,564,789,570,447,610,278,142,3403,23,29,17,14,13,6,6,118,856,1222,895,723,1094,548,337,5675,8557,8687,5065,3604,5189,3199,1699,36001
21102,200,233,167,97,159,134,78,1066,84,141,119,71,113,75,37,635,99,135,86,65,104,58,29,574,615,880,627,465,627,400,210,3824,3,7,4,3,0,0,0,13,1000,1391,1004,704,1007,665,352,6116,7,24,21,9,33,17,16,121,8,20,26,12,17,17,3,100,5,15,3,6,4,6,3,39,36,68,71,52,74,47,27,370,5,3,0,0,0,0,0,13,62,126,121,79,129,84,49,649,1057,1517,1121,776,1130,745,401,6763
21103,1579,1258,571,359,484,363,204,4813,502,440,247,159,228,150,75,1805,514,441,195,142,203,116,58,1668,3698,3439,1970,1241,1716,897,431,13399,16,16,11,3,6,0,3,58,6314,5595,2990,1908,2635,1527,775,21747,81,102,82,65,114,104,54,605,61,109,81,61,82,40,19,458,42,57,64,37,42,32,23,297,383,617,455,343,521,259,126,2699,24,21,11,5,12,0,0,72,592,907,689,508,772,441,227,4139,6906,6501,3686,2414,3405,1971,1006,25884
21104,1493,1207,605,351,520,389,237,4795,216,286,170,112,121,89,37,1030,283,270,134,79,116,81,39,992,1244,1511,921,542,728,435,191,5569,17,13,3,3,4,7,0,46,3241,3288,1826,1080,1493,997,507,12431,77,93,93,79,129,93,58,621,16,51,29,26,43,12,16,199,13,41,26,14,33,10,9,143,102,150,132,115,165,92,66,818,0,5,8,7,9,3,0,32,209,342,286,243,375,208,152,1812,3455,3628,2112,1327,1870,1208,652,14248
21105,589,654,385,279,386,257,120,2661,589,680,424,290,415,190,104,2683,589,580,366,216,326,176,80,2344,5794,5741,3194,2022,2691,1166,486,21093,35,39,24,10,9,4,0,119,7595,7694,4395,2820,3826,1782,784,28905,42,61,50,40,70,48,23,327,105,177,108,69,133,71,25,684,25,90,82,45,89,51,15,398,715,1079,791,549,811,310,108,4352,31,28,21,15,25,0,3,126,909,1438,1043,719,1123,473,182,5884,8508,9133,5436,3540,4948,2258,965,34795
