SA3_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
20606,194,56,417,195,121,88,13,37,4,1121,3,3,0,4,0,3,0,4,0,28,136,200,30,41,88,56,3,14,22,586,62,85,27,35,48,43,8,19,81,409,5618,13453,1799,1892,3163,2059,166,529,480,29154
20607,192,56,544,255,141,128,15,49,8,1378,7,4,3,7,3,3,0,3,3,29,197,387,35,103,132,64,8,23,40,994,61,141,50,69,65,42,23,34,102,578,7155,20556,2835,3032,4053,2236,370,836,603,41684
20701,315,79,525,292,207,182,29,70,14,1712,12,5,7,8,4,7,3,5,3,55,256,381,50,86,181,108,14,28,25,1124,132,191,49,52,79,64,11,42,161,779,12944,30335,3773,3967,7440,3799,505,1304,949,65012
20702,167,40,429,188,137,162,34,88,15,1267,3,4,6,9,8,10,3,7,3,48,72,95,40,43,77,45,18,23,12,428,82,78,69,53,49,65,33,46,110,583,4903,10590,3037,2371,3776,2203,545,993,456,28875
20703,161,45,442,189,110,108,26,97,6,1181,7,0,9,11,9,7,0,9,3,53,108,137,34,51,94,43,4,21,20,523,55,84,75,50,54,49,25,45,104,544,5447,14025,3374,2970,4314,2236,602,1305,502,34784
20801,183,52,292,161,144,136,16,49,11,1031,7,3,4,0,4,0,0,0,0,16,167,227,30,49,91,77,4,10,20,676,91,99,48,39,58,56,14,19,86,512,8386,14299,2554,2331,3862,2201,299,624,502,35070
20802,287,90,862,315,240,230,49,142,19,2235,9,5,4,11,4,3,0,10,3,47,174,323,63,86,167,92,19,47,25,998,110,164,98,61,90,100,26,58,171,886,9834,23513,5207,4541,6821,3618,877,1722,835,56957
20803,245,92,657,294,253,230,76,125,25,1991,4,4,3,0,6,6,0,11,0,35,131,161,67,77,109,47,30,33,23,676,98,94,128,80,99,78,52,72,142,832,6689,13601,6024,3959,5319,2617,1038,1429,567,41239
20804,71,22,136,73,51,44,7,20,4,437,3,5,0,0,3,0,0,7,0,13,60,94,20,30,64,39,0,11,9,313,24,38,16,19,24,21,8,11,30,195,3178,7469,992,968,1868,1030,160,378,226,16270
20901,192,70,546,253,214,180,46,107,12,1623,3,4,8,3,7,0,0,8,0,38,118,218,57,78,124,53,24,23,30,723,74,106,102,76,88,67,44,68,132,755,6292,16570,5639,4140,5305,2235,873,1480,584,43124
20902,155,46,629,236,160,155,68,157,18,1624,5,0,6,10,3,3,8,15,0,56,75,166,57,52,96,42,33,36,16,561,62,66,135,71,70,77,57,119,115,765,3394,9691,3952,3259,3714,2006,1079,1948,437,29469
20903,115,35,302,161,138,93,28,49,11,937,4,0,0,0,3,0,0,0,0,16,70,86,28,60,66,22,9,15,12,368,75,38,96,53,59,52,24,30,62,490,4093,8005,4001,2432,2842,1184,540,808,291,24199
20904,377,92,1401,605,523,498,288,357,43,4187,5,7,10,8,16,12,22,26,3,123,115,127,127,139,151,79,147,105,29,1030,151,132,377,243,242,227,248,285,255,2159,6392,13873,11325,8116,8069,4421,3764,4014,984,60952
21001,94,34,262,130,114,108,36,64,9,851,4,3,0,3,3,5,3,3,0,28,48,84,27,46,58,25,16,15,3,324,69,61,68,43,76,43,42,50,64,509,2810,5793,2715,1615,2524,1189,573,734,295,18247
21002,52,17,138,59,56,46,19,45,3,432,0,0,0,0,0,0,0,0,0,8,41,43,14,30,32,11,9,11,4,192,30,37,61,24,36,27,14,37,18,291,1533,2831,1897,1103,1117,485,353,475,115,9909
21003,107,31,459,166,123,126,66,116,14,1219,0,3,5,8,4,6,5,15,4,50,51,89,43,48,70,29,30,33,16,397,58,62,117,73,85,51,51,60,99,650,2567,6969,3516,2522,2853,1338,1036,1431,382,22621
21004,64,18,241,116,109,110,47,66,3,773,0,0,0,0,0,0,3,6,0,13,16,27,20,36,38,16,16,13,13,189,36,37,54,33,41,32,34,35,29,327,1486,2790,2499,1679,1659,782,658,645,145,12348
21005,201,44,788,349,264,255,249,268,27,2449,3,5,11,4,7,4,11,12,4,66,61,89,85,93,72,42,102,64,20,629,100,81,250,182,151,136,187,197,190,1467,3694,7676,6660,5357,4955,2546,3100,2887,711,37583
21101,278,84,903,380,367,332,111,218,28,2705,3,6,7,8,0,4,4,12,0,46,105,119,91,81,109,56,37,43,17,662,110,100,188,93,124,117,96,112,201,1133,6747,14700,8961,5568,7005,3496,1829,2475,729,51523
21102,50,19,101,43,40,45,8,19,6,332,0,0,0,0,0,0,0,3,0,10,26,41,4,10,34,15,3,5,3,144,17,21,30,18,28,13,5,10,26,173,1856,3243,1122,700,1093,562,128,247,128,9084
21103,213,67,644,254,239,223,60,151,17,1881,3,0,8,4,3,4,3,19,0,45,80,150,62,82,91,33,24,32,21,571,75,82,134,69,83,82,46,83,124,773,5167,11830,6260,4225,4886,2301,997,1633,465,37763
21104,102,24,277,128,93,83,29,59,3,799,0,3,3,0,3,0,0,3,0,20,57,96,29,36,68,38,16,24,13,371,41,58,34,29,46,27,20,32,56,349,3020,8131,2402,1949,2797,1316,465,792,265,21129
21105,302,78,905,413,340,306,92,227,22,2687,4,8,8,9,0,3,0,10,0,47,132,134,85,107,110,40,44,36,21,710,147,104,276,152,124,101,116,159,193,1370,6700,11921,10489,6048,5532,2717,1800,2846,713,48768
21201,184,47,571,247,250,215,129,175,19,1836,3,3,3,0,0,0,6,3,0,27,48,69,47,53,57,23,42,25,17,387,104,47,194,85,73,84,104,111,109,909,3452,5944,6302,3514,3517,1937,1656,1997,399,28716
21202,193,64,670,303,256,263,118,203,14,2084,3,0,11,0,8,7,6,9,3,52,65,91,89,78,89,56,60,52,21,587,90,90,206,93,124,111,123,144,144,1136,4705,9344,7070,4365,5176,2635,2141,2507,588,38530
21203,315,79,994,439,355,321,254,382,37,3171,4,3,3,8,8,5,12,15,0,66,72,75,124,128,98,43,111,67,21,745,93,83,285,152,168,116,188,231,259,1575,4979,9495,9477,6774,6404,3236,3732,3839,798,48731
21204,262,55,1230,455,252,257,272,417,39,3242,3,9,26,13,9,9,21,46,10,137,71,91,101,92,92,72,111,121,24,771,89,82,261,171,158,132,208,284,289,1684,4067,10250,7741,5759,5911,3315,3502,4481,879,45905
21205,267,67,850,308,254,217,96,217,17,2298,17,3,11,5,8,10,4,17,3,79,141,198,84,91,145,67,29,51,30,837,104,141,135,83,111,76,64,90,198,1003,8308,21500,6133,4685,7484,3751,1432,2545,890,56736
21301,262,58,1033,492,304,289,261,372,35,3097,12,7,8,11,8,9,26,35,5,121,66,108,95,79,120,61,105,100,24,765,90,109,286,197,164,165,259,308,282,1864,4055,9747,7356,5575,6055,3132,3709,4158,892,44677
21302,135,43,381,195,174,128,70,90,14,1222,4,4,7,3,3,0,0,5,4,27,78,114,46,45,87,29,22,14,12,447,62,63,107,69,81,50,59,66,100,667,4527,9334,3848,2535,3507,1524,1019,1181,440,27913
21303,177,52,567,271,129,158,61,133,15,1571,0,3,7,5,8,0,4,14,3,40,105,179,50,72,115,54,37,37,13,657,63,81,74,68,42,47,48,90,104,613,4472,11108,3153,3047,3598,1987,1014,1775,466,30630
21304,281,53,772,385,324,281,208,254,36,2592,4,0,4,0,12,4,14,8,6,52,76,97,78,94,106,37,104,48,23,668,112,76,229,143,152,134,182,185,191,1397,4798,9253,7772,5340,6021,2705,3010,2652,730,42272
21305,411,131,1270,611,445,420,422,400,44,4155,12,5,8,18,8,8,14,29,3,107,103,176,129,192,163,87,187,101,38,1182,127,124,252,182,199,139,302,210,300,1838,7851,16949,9990,8454,9465,4586,5065,4311,1157,67825
21401,235,77,880,376,324,294,121,254,18,2569,5,3,5,7,8,3,3,13,3,41,92,109,77,83,88,33,47,36,22,596,99,95,208,148,113,121,125,169,165,1238,4742,9352,8418,5512,4961,2836,1906,2556,619,40897
21402,344,84,1003,460,295,290,80,247,25,2829,0,11,11,9,4,3,3,13,0,56,102,129,63,82,84,46,28,38,16,592,133,140,254,145,125,149,80,156,153,1319,6759,11600,9057,5518,4593,2980,1245,2517,604,44864
21501,144,21,323,157,90,105,31,120,8,1000,0,0,0,3,0,0,0,9,0,14,21,25,14,30,14,8,14,13,10,148,112,40,83,68,42,62,41,120,64,635,2986,3385,2278,2298,1324,759,656,1213,204,15103
21502,126,18,307,119,97,109,32,112,12,934,10,0,3,0,3,4,5,3,0,27,18,27,13,22,13,8,13,12,9,143,61,46,94,63,47,74,72,105,71,632,1839,3292,2267,1818,1329,854,632,1031,235,13297
21503,91,14,207,68,57,74,21,77,14,616,4,0,0,0,7,0,0,9,0,20,17,11,13,11,4,5,7,8,0,76,106,29,64,38,26,35,47,103,39,492,1791,1880,1432,1000,760,474,410,797,127,8675
21601,94,10,238,96,50,72,37,110,17,727,3,0,0,3,0,0,0,0,0,10,22,7,11,6,9,9,9,6,3,93,76,28,51,50,17,35,37,91,47,437,1645,1969,1773,1236,774,550,501,933,133,9525
21602,79,9,166,70,44,50,35,93,11,558,0,0,0,4,0,0,0,3,0,15,15,7,7,9,0,3,8,11,3,76,57,18,59,46,16,42,35,88,36,387,1235,1300,1225,856,587,344,393,804,111,6859
21603,121,18,365,137,115,125,46,133,8,1082,3,3,3,0,0,3,0,10,0,28,30,39,30,16,24,13,14,29,3,188,86,50,101,58,47,68,63,125,86,684,2221,4257,2764,2058,1594,879,682,1370,223,16050
21701,68,22,210,96,61,64,28,85,7,640,0,0,0,0,0,0,0,3,0,14,17,19,12,19,14,3,9,9,3,109,93,24,52,37,28,29,61,69,42,437,1742,2089,1677,1211,841,450,608,781,129,9526
21703,102,15,243,70,55,47,31,135,3,699,3,0,0,3,0,3,0,4,0,16,39,16,12,12,14,7,7,18,11,130,98,24,59,44,24,32,42,113,47,481,1995,1835,1611,1282,742,469,514,1139,159,9747
21704,137,18,413,147,86,124,31,137,5,1097,3,10,4,0,3,0,0,7,0,32,33,36,18,29,19,7,27,20,6,190,94,29,80,46,40,36,43,95,55,518,2234,3788,2496,1819,1342,820,561,1158,193,14417
29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,4,0,22
29999,9,3,34,8,3,3,4,6,0,75,0,0,0,0,0,0,0,0,0,0,3,4,5,7,3,3,0,6,0,34,4,5,15,4,0,0,9,14,15,66,132,367,223,181,112,65,72,142,34,1337
