SA3_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
20402,0,11,1209,1219,29,175,716,911,603,435,713,1754,1263,318,554,2137,1596,319,764,2686,1872,243,814,2937,1618,120,673,2410,900,51,321,1275,257,3,169,431,8137,1689,5938,15757,3,29,1118,1150,45,233,570,842,813,451,696,1962,1408,316,706,2432,1726,316,938,2982,1945,243,978,3165,1537,111,896,2538,683,14,771,1459,113,10,514,635,8265,1711,7193,17177,3,38,2329,2371,74,400,1280,1758,1416,890,1412,3714,2668,633,1266,4571,3330,640,1704,5673,3817,485,1799,6100,3153,234,1565,4951,1580,66,1089,2736,372,17,683,1066,16404,3401,13129,32936
20403,0,33,1920,1948,49,274,1211,1540,1126,787,1198,3115,2052,564,837,3456,2507,517,1100,4127,2699,381,1091,4169,2214,171,722,3106,1027,50,360,1437,232,5,161,403,11920,2778,8598,23293,3,65,1751,1820,112,372,908,1393,1539,844,1177,3558,2306,593,1034,3927,2669,520,1287,4479,2737,324,1344,4405,1912,132,1146,3187,715,32,893,1638,119,4,481,600,12103,2876,10029,25006,4,98,3669,3771,165,643,2122,2931,2665,1631,2371,6671,4360,1155,1867,7384,5178,1040,2386,8604,5435,704,2434,8579,4128,297,1865,6293,1738,77,1255,3072,346,13,645,1004,24026,5655,18623,48299
20501,0,8,1421,1430,34,160,912,1109,892,556,776,2226,1417,344,552,2314,1725,349,677,2748,1896,247,692,2836,1778,102,472,2352,858,27,303,1187,180,0,120,303,8784,1802,5922,16505,3,22,1317,1344,71,214,787,1077,1125,594,776,2497,1582,371,664,2619,1885,348,851,3088,1946,222,910,3074,1616,76,764,2455,552,19,675,1248,85,7,364,455,8873,1871,7111,17856,3,32,2735,2771,107,377,1701,2184,2020,1148,1548,4720,2997,716,1218,4929,3615,697,1529,5840,3840,465,1603,5915,3389,184,1231,4808,1410,46,981,2440,269,4,481,755,17659,3672,13032,34357
20502,3,9,1063,1073,24,140,600,756,556,399,611,1565,866,356,538,1765,1298,300,706,2308,1762,309,850,2923,2089,202,813,3104,1055,52,418,1523,215,12,165,388,7864,1781,5761,15410,3,31,918,955,44,192,480,716,714,438,584,1737,1065,335,610,2011,1505,360,840,2698,1927,303,940,3170,1924,147,839,2902,741,37,795,1572,86,0,425,512,8003,1844,6433,16283,3,44,1985,2027,70,324,1076,1474,1272,835,1196,3299,1924,692,1146,3769,2803,665,1541,5007,3690,610,1797,6101,4008,351,1649,6014,1794,87,1217,3096,302,12,586,901,15868,3622,12196,31689
20503,0,13,1535,1553,24,159,784,963,775,607,889,2270,1509,450,705,2659,1991,489,1034,3516,2377,390,1179,3942,2594,202,924,3720,1235,37,490,1767,309,10,232,549,10808,2354,7764,20931,3,36,1335,1371,63,259,652,971,1045,611,851,2509,1718,502,832,3051,2126,478,1145,3745,2518,384,1417,4329,2394,162,1347,3898,870,40,1029,1929,158,5,560,715,10888,2467,9164,22522,4,52,2868,2917,90,419,1431,1936,1817,1215,1748,4776,3224,948,1540,5710,4122,963,2175,7263,4891,776,2597,8268,4989,365,2267,7616,2104,74,1518,3699,467,12,787,1266,21700,4822,16934,43453
20504,0,18,2011,2027,61,377,1537,1977,1200,907,1631,3741,1881,539,1121,3548,2237,500,1379,4113,2665,316,1317,4294,2095,153,849,3100,1071,41,450,1567,269,4,182,457,11481,2857,10484,24820,3,58,1810,1869,86,524,1422,2027,1605,909,1627,4138,2082,550,1269,3906,2439,508,1523,4465,2690,290,1504,4486,1861,109,1275,3245,778,28,1063,1867,105,6,545,655,11648,2985,12029,26662,4,78,3817,3896,146,903,2963,4006,2809,1811,3259,7881,3964,1097,2390,7453,4671,1005,2903,8584,5356,608,2819,8781,3957,263,2126,6340,1852,75,1505,3433,376,13,730,1119,23130,5845,22512,51487
20505,0,11,1149,1158,23,152,743,914,702,457,703,1864,1144,315,509,1966,1347,299,659,2300,1728,249,744,2717,1461,117,576,2151,665,21,302,994,158,3,132,296,7223,1617,5514,14354,0,32,1050,1083,43,228,521,799,940,478,675,2087,1265,336,557,2163,1561,297,745,2604,1780,224,832,2838,1260,81,719,2051,458,19,601,1081,81,0,350,433,7393,1696,6059,15142,0,41,2199,2236,65,383,1264,1709,1642,929,1379,3948,2410,654,1066,4128,2906,601,1405,4912,3507,472,1575,5556,2718,195,1293,4203,1125,38,906,2073,242,3,481,728,14614,3313,11565,29492
20601,0,15,1541,1557,43,268,2915,3226,1878,2302,5176,9357,3075,1358,1967,6399,2486,690,1415,4588,1707,343,1067,3114,1228,126,628,1985,948,25,396,1369,320,0,208,530,11683,5135,15305,32118,5,27,1518,1546,147,411,3273,3831,2348,2421,4932,9701,3134,1326,2159,6615,2442,601,1741,4777,1718,323,1531,3581,1144,81,1109,2334,715,16,1095,1829,136,9,591,735,11791,5209,17946,34948,5,44,3056,3106,193,678,6187,7058,4233,4723,10108,19055,6205,2685,4118,13012,4922,1293,3150,9367,3425,662,2599,6691,2375,204,1737,4321,1661,43,1490,3197,455,10,798,1264,23472,10341,33252,67073
20602,0,4,1039,1045,15,100,1322,1431,895,1152,2270,4314,1905,792,1036,3729,1777,480,914,3169,1061,320,702,2093,727,99,390,1219,596,30,272,898,161,3,118,281,7134,2973,8067,18172,0,3,971,976,51,186,1465,1701,1143,1280,2583,5002,2019,874,1374,4262,1808,567,1186,3560,1005,321,956,2284,680,88,648,1415,433,22,684,1131,63,3,366,432,7203,3340,10231,20771,0,9,2012,2020,63,285,2784,3132,2039,2432,4847,9318,3929,1662,2407,7993,3584,1050,2102,6735,2068,642,1661,4374,1412,184,1040,2632,1028,47,955,2025,224,5,481,714,14333,6313,18291,38946
20603,0,13,1633,1646,29,163,2103,2299,1578,1169,2543,5286,2527,565,1132,4215,2576,405,1012,3990,1952,244,897,3099,1171,92,558,1819,591,30,254,872,212,3,181,396,10637,2678,10309,23619,0,14,1699,1721,85,253,1984,2321,1991,1194,2716,5903,2691,540,1369,4602,2582,339,1374,4298,1857,222,1312,3390,990,58,900,1947,466,14,813,1291,88,0,527,620,10749,2637,12705,26091,0,30,3326,3359,120,410,4088,4619,3563,2363,5264,11189,5214,1100,2499,8813,5160,741,2391,8289,3812,468,2213,6493,2156,148,1455,3762,1058,42,1062,2160,299,3,710,1015,21388,5311,23009,49711
20604,0,84,3179,3264,131,1101,9726,10958,3977,3914,10618,18510,2887,1323,2743,6956,1696,624,1596,3913,1571,360,1118,3049,1206,182,700,2086,486,35,294,817,109,14,114,243,12062,7640,30090,49798,3,115,4235,4351,287,1427,11532,13247,4725,3814,10294,18828,2561,962,2764,6286,1695,435,2014,4152,1503,248,1525,3273,1017,80,1017,2121,308,18,529,860,45,0,251,297,12140,7096,34168,53406,6,197,7414,7612,419,2528,21260,24208,8702,7726,20914,37341,5449,2283,5514,13248,3389,1058,3609,8058,3074,613,2637,6324,2222,264,1724,4208,794,52,824,1676,149,16,370,539,24204,14739,64262,103203
20605,4,12,1211,1230,61,389,2034,2485,2112,3401,5087,10599,3171,1788,2701,7666,2326,1038,2222,5588,1885,597,1696,4181,1529,265,1039,2833,706,49,431,1194,194,14,203,406,11985,7564,16628,36173,8,26,1277,1308,117,606,2279,3008,2806,3514,5275,11593,3090,1412,3372,7866,2393,864,2656,5910,1845,395,2095,4337,1297,163,1468,2927,463,25,902,1385,96,10,428,535,12118,7012,19752,38879,10,43,2484,2538,180,998,4311,5491,4920,6915,10365,22193,6262,3201,6075,15535,4719,1901,4876,11500,3732,997,3791,8522,2824,430,2504,5763,1172,77,1336,2581,286,23,628,941,24104,14575,36378,75053
20606,0,18,850,866,29,321,1797,2144,1392,2356,3766,7515,1556,805,1430,3789,1336,450,1037,2825,1231,233,765,2230,1241,125,531,1895,743,37,300,1080,226,7,166,393,7756,4360,10633,22745,0,29,1015,1041,63,455,2310,2828,1763,2261,4175,8205,1572,513,1758,3840,1401,272,1245,2914,1268,156,1232,2647,1166,75,1036,2271,546,19,852,1415,91,7,477,572,7861,3788,14086,25734,3,39,1868,1911,90,781,4102,4969,3155,4621,7942,15722,3119,1320,3181,7627,2738,720,2282,5743,2497,383,2000,4878,2406,202,1565,4175,1290,60,1145,2494,311,13,637,965,15613,8147,24720,48483
20607,3,6,1138,1152,24,319,2288,2629,1522,3397,6165,11084,2374,1623,2220,6210,1868,843,1643,4353,1460,514,1149,3120,1212,197,713,2130,578,38,375,995,176,11,149,332,9218,6945,15840,32009,3,12,1199,1213,79,508,2804,3386,2027,3505,6438,11978,2414,1208,2491,6111,1810,655,1788,4251,1478,368,1669,3514,1021,124,1275,2414,407,25,892,1323,72,4,386,461,9310,6406,18939,34650,5,24,2333,2369,106,823,5095,6018,3554,6906,12605,23060,4781,2831,4712,12323,3678,1497,3426,8600,2933,878,2819,6629,2237,327,1984,4540,987,58,1266,2311,248,13,536,798,18528,13354,34778,66657
20701,5,23,5443,5463,57,327,5735,6115,2700,2032,5244,9976,6068,949,1709,8724,7896,752,1645,10293,6419,463,1367,8249,4482,240,1011,5731,2238,81,656,2970,726,25,442,1188,30580,4885,23249,58715,4,14,5406,5426,112,489,5280,5888,3520,2003,4837,10360,7067,904,2415,10390,8429,729,2889,12050,6090,400,2638,9129,3985,179,2429,6592,1626,38,2100,3767,354,10,1572,1931,31186,4771,29568,65527,9,36,10849,10895,168,815,11015,11998,6218,4035,10084,20333,13142,1852,4118,19114,16328,1483,4535,22340,12509,867,4003,17380,8462,418,3441,12323,3862,119,2759,6740,1076,31,2016,3121,61769,9655,52818,124247
20702,0,3,2761,2765,20,97,2611,2728,1713,541,2723,4984,3532,353,1101,4979,4065,309,1101,5480,3740,245,771,4758,3416,102,513,4026,2508,59,469,3031,615,20,266,895,19610,1728,12305,33641,0,7,2525,2533,68,151,2286,2500,2278,590,2237,5101,3933,343,1264,5539,4336,318,1620,6272,3809,196,1448,5449,3382,98,1423,4897,1736,27,1624,3391,261,4,872,1137,19790,1734,15289,36819,0,7,5285,5296,88,244,4894,5225,3992,1135,4960,10077,7464,694,2361,10516,8403,629,2718,11754,7542,444,2225,10207,6791,202,1935,8928,4240,84,2091,6418,871,29,1134,2035,39397,3465,27597,70456
20703,3,20,3129,3157,64,256,4316,4629,2298,940,3656,6890,4004,465,1232,5711,4183,368,1280,5831,3279,273,1112,4668,2332,140,654,3125,1662,41,453,2158,540,7,389,944,18366,2517,16224,37103,0,30,3092,3126,120,340,3683,4146,2847,927,3164,6939,4428,439,1511,6378,4335,401,1906,6643,3093,240,1937,5265,2196,108,1566,3871,1283,29,1676,2990,292,3,1181,1481,18604,2503,19721,40831,7,50,6222,6282,184,592,8004,8778,5147,1863,6818,13825,8432,906,2745,12085,8520,768,3185,12476,6372,515,3049,9933,4534,245,2217,6992,2944,70,2130,5142,835,13,1570,2422,36971,5021,35943,77941
20801,0,4,3054,3054,14,75,2232,2323,1003,690,1650,3339,3715,662,795,5170,5108,653,1059,6820,3995,423,1040,5459,3037,228,749,4013,1414,63,481,1955,529,17,339,885,18816,2810,11401,33028,0,9,2766,2775,25,113,2045,2184,1495,783,1543,3822,4348,714,1185,6253,5488,627,1683,7793,3846,401,1747,5993,2698,144,1690,4537,1033,42,1382,2455,275,10,1218,1503,19215,2849,15247,37308,0,12,5815,5828,35,188,4274,4508,2496,1470,3194,7166,8070,1376,1977,11425,10599,1275,2738,14612,7839,823,2790,11448,5738,378,2433,8546,2449,103,1859,4412,803,30,1562,2393,38027,5653,26649,70330
20802,4,15,3914,3930,77,326,4376,4782,3744,1866,4717,10324,6532,1097,1999,9621,6055,856,1902,8819,4726,574,1740,7041,3275,239,1159,4672,1717,66,659,2447,676,25,477,1182,26813,5049,20946,52810,3,20,3697,3726,212,473,4180,4867,4869,1925,4264,11056,6774,1018,2379,10173,6194,870,2748,9814,4442,451,2624,7518,2915,174,2196,5281,1360,39,2032,3430,305,3,1535,1850,27076,4982,25657,57715,11,36,7611,7662,293,798,8559,9648,8612,3793,8978,21379,13303,2115,4376,19798,12252,1726,4648,18627,9170,1026,4367,14556,6190,414,3355,9952,3077,106,2697,5879,988,27,2011,3028,53891,10034,46605,110525
20803,0,9,2970,2983,32,220,2692,2940,2115,1509,2699,6320,5135,1133,1697,7965,4919,843,1902,7668,3860,471,1595,5927,2713,193,1065,3977,1623,65,623,2312,493,15,370,877,20905,4456,15608,40965,0,18,2927,2947,85,293,2303,2678,2862,1622,2486,6972,5594,1166,1990,8745,4962,824,2522,8303,3593,410,2425,6426,2516,164,2159,4840,1233,43,1716,2996,228,14,1130,1371,21071,4549,19657,45279,3,26,5900,5929,119,511,4988,5616,4983,3127,5179,13290,10730,2294,3680,16708,9885,1661,4429,15970,7447,876,4028,12351,5233,355,3225,8817,2855,115,2334,5306,721,32,1503,2253,41975,9006,35269,86247
20804,0,6,1179,1181,19,108,1451,1577,812,624,1404,2847,1641,242,481,2357,1779,184,444,2406,1340,127,394,1869,984,70,308,1362,577,20,169,764,173,0,118,287,7324,1381,5944,14658,0,8,1140,1150,58,175,1592,1821,1039,558,1349,2942,1764,228,584,2578,1880,180,681,2736,1313,99,700,2114,928,45,601,1568,408,7,552,974,77,0,383,461,7469,1296,7583,16350,0,13,2320,2331,74,281,3043,3399,1847,1180,2759,5793,3404,466,1062,4937,3660,369,1123,5146,2657,226,1100,3981,1917,107,908,2933,985,27,723,1732,248,0,497,747,14798,2681,13528,31004
20901,0,6,3300,3308,38,183,3255,3477,2430,1425,3394,7248,5192,944,1687,7820,4694,705,1727,7131,4341,442,1515,6296,3661,206,1037,4904,1858,36,587,2480,532,11,345,891,22745,3959,16829,43542,0,18,3108,3123,110,296,2892,3293,3180,1515,2850,7547,5510,992,1856,8355,4876,658,2380,7915,4363,384,2371,7119,3271,148,2000,5417,1388,33,1699,3116,271,3,1105,1378,22964,4039,20265,47267,3,26,6400,6426,152,480,6144,6767,5611,2941,6245,14791,10693,1937,3542,16176,9578,1359,4110,15047,8706,825,3887,13412,6928,353,3036,10319,3248,65,2286,5601,800,14,1452,2268,45714,7999,37094,90809
