SA3_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
20402,..,98,80,37,74,82,53,29,3,453,..,66,182,162,342,629,675,614,420,3091,69,97,73,45,60,76,75,48,27,566,3659,2095,2030,2477,3044,3244,2616,1502,659,21335,..,85,1426,2703,3355,3849,3176,1593,372,16553,..,436,876,602,606,452,203,53,15,3247,..,85,259,486,551,236,129,98,66,1910,7354,..,..,..,..,..,..,..,..,7354,..,1735,..,..,..,..,..,..,..,1735,..,1183,449,211,156,87,13,0,0,2103,..,128,70,43,53,105,103,71,42,610,..,114,55,25,25,20,14,0,0,252,..,213,178,82,132,176,108,49,11,949,..,159,408,414,785,1168,1201,873,571,5575,142,204,161,102,130,137,139,77,31,1110,7491,4331,3871,4673,5804,6239,5083,2808,1100,41400
20403,..,183,161,43,108,105,77,20,6,700,..,91,242,251,438,851,863,717,367,3820,116,175,136,64,84,152,104,67,30,925,6140,3387,3697,3989,4565,4560,3290,1702,633,31957,..,172,2692,4403,5225,5484,4147,1749,346,24223,..,739,1606,1107,991,658,274,74,7,5460,..,110,497,766,823,358,154,114,76,2909,12276,..,..,..,..,..,..,..,..,12276,..,2827,..,..,..,..,..,..,..,2827,..,1818,632,270,172,97,19,3,0,3010,..,231,111,46,77,145,125,88,51,870,..,185,127,47,49,31,16,11,0,467,..,401,387,127,220,214,135,39,16,1534,..,211,617,618,1041,1581,1421,1003,504,7002,217,357,311,159,178,260,199,108,50,1842,12493,7052,6983,7540,8780,8835,6493,3182,1055,62415
20501,..,82,80,38,61,78,52,17,4,408,..,51,148,124,257,527,559,521,292,2473,88,104,76,41,53,73,67,38,22,564,4307,2521,2572,2660,3140,3143,2526,1283,471,22634,..,114,2041,3032,3653,3865,3406,1419,269,17794,..,405,1133,681,654,444,171,43,4,3533,..,83,280,481,552,274,110,94,63,1939,8599,..,..,..,..,..,..,..,..,8599,..,2222,..,..,..,..,..,..,..,2222,..,1582,594,214,154,86,9,0,0,2648,..,141,69,29,57,110,98,93,28,629,..,123,70,30,34,16,10,4,0,303,..,169,174,84,127,136,95,30,6,823,..,106,361,377,599,979,912,758,379,4468,163,230,187,97,117,132,118,72,24,1135,8760,5190,4908,5028,5955,6050,4924,2508,779,44093
20502,..,102,61,32,65,86,70,25,13,440,..,63,124,130,307,602,626,658,333,2839,69,104,50,40,63,124,134,54,20,662,3273,1776,1787,2048,2766,3298,3034,1628,533,20148,..,75,1289,1947,2836,3728,4039,1811,300,16024,..,360,816,675,635,573,322,70,12,3464,..,63,237,439,488,243,111,82,61,1722,6490,..,..,..,..,..,..,..,..,6490,..,1401,..,..,..,..,..,..,..,1401,..,1040,401,216,160,71,16,0,0,1905,..,139,60,44,50,92,76,66,46,569,..,103,71,29,26,13,7,0,4,255,..,178,139,85,116,171,140,56,16,907,..,137,291,341,698,1199,1305,1012,454,5435,132,186,126,108,143,218,267,109,31,1313,6620,3690,3430,3874,5147,6316,6274,3205,931,39498
20503,..,93,104,49,87,115,81,33,10,567,..,66,198,174,418,908,1062,831,436,4091,60,105,81,46,89,159,158,69,27,793,4779,2446,2587,3095,3836,4486,4059,1998,746,28031,..,93,1837,3261,4157,4929,5026,2129,469,21897,..,462,1196,910,929,735,325,56,8,4627,..,85,329,591,671,361,160,120,88,2410,9630,..,..,..,..,..,..,..,..,9630,..,2201,..,..,..,..,..,..,..,2201,..,1391,601,266,203,112,23,0,0,2595,..,146,69,48,68,131,114,81,46,698,..,129,74,39,45,40,12,10,3,349,..,197,232,109,169,223,140,69,22,1162,..,157,440,489,1023,1735,1814,1234,625,7517,132,246,198,117,186,294,278,110,45,1609,9765,5106,4977,5828,7448,8561,7898,3812,1310,54694
20504,..,249,161,45,81,132,65,19,6,757,..,177,397,296,523,943,953,843,434,4560,166,216,154,67,84,106,96,52,22,960,6068,4113,4291,3972,4547,4595,3341,1924,674,33528,..,156,2855,4018,4727,5401,3995,1866,378,23399,..,969,1766,1045,947,560,222,57,10,5577,..,216,693,955,985,426,216,146,93,3737,12161,..,..,..,..,..,..,..,..,12161,..,2934,..,..,..,..,..,..,..,2934,..,2301,913,358,222,118,19,3,0,3929,..,272,173,52,122,133,117,87,56,1008,..,185,125,63,54,27,15,8,0,489,..,492,400,131,212,227,127,42,12,1641,..,367,956,839,1302,1887,1633,1214,569,8772,292,421,326,187,194,205,177,84,26,1905,12451,8323,8206,7640,8771,8986,6517,3512,1142,65551
20505,..,81,82,21,75,75,40,12,4,389,..,72,140,129,253,521,564,495,276,2450,55,80,72,30,62,82,78,34,13,506,3463,1960,2160,2193,2667,2918,2126,1117,449,19059,..,70,1656,2430,2925,3537,2737,1128,242,14728,..,417,919,634,576,442,170,33,3,3199,..,58,266,393,419,214,86,69,55,1569,7020,..,..,..,..,..,..,..,..,7020,..,1656,..,..,..,..,..,..,..,1656,..,1138,422,159,123,67,6,0,0,1926,..,145,51,28,68,75,75,53,38,531,..,93,73,25,26,21,6,0,0,250,..,202,200,63,136,152,102,24,5,888,..,167,366,403,633,1039,1006,758,384,4749,121,179,156,90,123,150,136,60,26,1040,7138,4133,4106,4218,5028,5699,4340,2133,754,37552
20601,..,1928,2536,491,157,116,67,27,4,5335,..,247,1022,925,670,822,687,683,376,5431,75,189,290,92,81,80,77,75,38,998,5577,5571,9993,6714,4863,3660,2411,1899,774,41450,..,203,4252,6258,4969,3474,2415,1673,454,23703,..,716,4697,2635,1248,617,170,30,6,10113,..,28,138,475,723,497,261,330,156,2603,11150,..,..,..,..,..,..,..,..,11150,..,2988,..,..,..,..,..,..,..,2988,..,1321,1363,583,498,218,35,4,0,4019,..,558,633,155,166,161,173,153,105,2102,..,466,821,114,57,27,12,0,0,1497,..,3458,5206,1056,363,244,131,56,18,10519,..,424,1945,1746,1344,1454,1120,951,525,9516,152,333,570,227,189,130,116,113,61,1890,11305,10502,19629,13238,9558,6821,4437,3307,1319,80112
20602,..,698,1321,291,117,81,37,12,3,2559,..,116,593,624,484,528,438,452,232,3459,54,124,157,75,50,41,38,40,17,599,3946,2800,5162,4336,3612,2327,1457,1171,446,25261,..,65,2063,3958,3620,2089,1424,1047,225,14483,..,293,2404,1631,1014,620,171,23,3,6168,..,13,90,305,493,313,141,178,101,1617,7864,..,..,..,..,..,..,..,..,7864,..,2202,..,..,..,..,..,..,..,2202,..,721,653,308,295,135,14,0,0,2133,..,274,302,80,86,76,61,97,66,1046,..,184,306,52,35,21,6,5,0,614,..,1197,2452,561,246,171,73,40,6,4750,..,207,1041,1088,947,949,745,641,315,5933,113,181,298,151,116,74,66,60,34,1084,7976,5330,9613,8145,6844,4446,2696,2091,744,47890
20603,..,641,844,127,87,82,32,25,8,1841,..,165,778,639,550,709,642,577,369,4422,52,128,170,65,44,62,45,44,25,638,5075,4171,6072,4668,4343,3448,1994,1338,648,31747,..,126,3576,5253,5214,3843,2182,1079,304,21577,..,440,2348,1061,686,434,123,21,0,5123,..,22,199,468,681,464,154,151,138,2274,10216,..,..,..,..,..,..,..,..,10216,..,3707,..,..,..,..,..,..,..,3707,..,1336,1164,322,243,156,28,0,0,3245,..,463,421,126,118,153,149,100,65,1588,..,234,324,77,20,23,7,4,0,695,..,1356,1764,318,182,161,80,39,15,3912,..,302,1387,1197,1149,1255,1038,772,493,7586,115,247,311,148,105,113,77,64,31,1199,10330,8227,11501,8963,8393,6605,3843,2222,1046,61125
20604,..,9082,5327,545,169,83,55,14,10,15283,..,3045,2911,1473,969,906,759,397,184,10647,46,420,418,127,71,80,51,31,10,1250,3819,18014,19245,6417,4215,3350,2172,887,305,58434,..,445,8754,5480,3408,3098,2231,798,153,24374,..,2706,7674,2255,1036,581,252,49,18,14576,..,33,245,523,868,480,168,86,45,2452,7628,..,..,..,..,..,..,..,..,7628,..,2193,..,..,..,..,..,..,..,2193,..,697,807,217,86,56,4,0,0,1874,..,2893,1454,233,128,149,89,73,21,5044,..,1191,1375,119,38,24,5,3,0,2752,..,16058,11197,1271,394,191,136,37,18,29295,..,5599,5833,3144,2093,1745,1321,628,283,20648,87,753,843,264,155,149,95,44,23,2407,7709,32572,38183,13509,8211,6471,4300,1722,559,113236
20605,..,1104,2274,470,192,127,67,27,4,4264,..,378,2012,2154,1538,1402,1183,702,321,9681,84,166,334,166,113,97,71,51,20,1099,5277,4487,11926,8034,6020,4438,3004,1434,550,45172,..,192,4940,6300,4761,3758,2856,1178,292,24274,..,1037,6886,3158,1866,967,406,66,17,14402,..,26,179,567,923,566,193,134,84,2671,10573,..,..,..,..,..,..,..,..,10573,..,2502,..,..,..,..,..,..,..,2502,..,790,769,258,236,91,14,0,0,2153,..,584,619,182,93,142,96,77,38,1837,..,249,433,81,52,32,11,0,0,846,..,1938,4509,1083,471,321,176,51,10,8563,..,720,3858,3910,3096,2647,2014,1070,496,17805,173,303,620,359,240,172,126,71,31,2099,10747,8331,22813,15892,11736,8693,5897,2653,967,87723
20606,..,1224,1866,272,91,64,43,11,3,3580,..,409,1551,1066,644,795,824,693,379,6362,24,176,252,85,41,55,57,40,10,741,2674,4043,8457,3923,2960,2703,2330,1453,581,29123,..,95,3174,3148,2768,2516,2419,1295,313,15723,..,815,4604,1296,695,367,191,52,9,8042,..,12,80,310,496,337,132,103,57,1531,5209,..,..,..,..,..,..,..,..,5209,..,1991,..,..,..,..,..,..,..,1991,..,545,566,176,159,68,8,0,0,1523,..,513,470,88,52,87,64,69,49,1396,..,174,351,59,27,4,5,8,3,621,..,2024,3656,582,238,139,84,36,19,6780,..,710,2828,1964,1310,1363,1261,934,513,10885,64,284,489,184,89,88,94,63,23,1374,5275,7163,16208,7812,5830,4970,4266,2563,983,55066
20607,..,1615,3705,576,133,120,71,29,5,6256,..,275,1436,1195,862,973,916,627,240,6509,67,202,402,127,77,86,63,52,20,1093,4518,4805,12382,6242,4324,3596,2475,1369,486,40197,..,117,3598,4823,3715,2978,2249,999,248,18728,..,836,6859,2789,1457,838,312,52,6,13148,..,40,233,552,728,523,232,198,125,2629,8877,..,..,..,..,..,..,..,..,8877,..,2338,..,..,..,..,..,..,..,2338,..,813,807,308,322,132,15,0,0,2399,..,558,649,172,101,149,132,100,62,1928,..,398,825,128,37,31,15,3,0,1440,..,2794,7326,1225,413,258,146,50,10,12223,..,488,2759,2332,1822,1724,1444,914,333,11828,161,357,809,283,185,146,94,72,28,2125,9036,8735,23872,12605,8787,6774,4634,2384,825,77658
20701,..,1356,1558,262,122,139,115,59,21,3637,..,429,1048,917,822,1296,1758,1551,1213,9039,122,266,277,112,91,123,108,72,62,1240,13451,11578,10629,10501,12140,9254,6696,3841,1997,80100,..,184,6238,13198,16424,12598,8523,3892,1080,62146,..,840,4004,1793,1386,775,356,98,29,9282,..,54,181,942,1902,1087,390,311,219,5083,27299,..,..,..,..,..,..,..,..,27299,..,12936,..,..,..,..,..,..,..,12936,..,3118,3103,642,506,217,40,0,0,7630,..,1237,804,150,170,326,318,274,190,3475,..,810,651,114,78,60,17,7,10,1745,..,2699,3260,592,293,268,223,111,38,7474,..,1014,2073,1683,1585,2047,2457,2059,1553,14477,233,523,553,223,210,204,178,116,87,2328,27532,23417,20882,19344,22551,17587,12498,6857,3207,153871
20702,..,196,269,77,70,63,51,34,12,776,..,84,271,239,290,487,877,1103,581,3927,63,92,96,68,55,83,69,81,34,642,6576,5123,5201,5605,6328,5531,4974,3472,1172,43973,..,92,4028,7513,8482,7628,6847,4279,887,39756,..,247,1095,639,556,355,144,52,19,3105,..,23,172,615,1067,688,324,304,173,3367,13513,..,..,..,..,..,..,..,..,13513,..,6221,..,..,..,..,..,..,..,6221,..,2210,2727,770,606,231,39,0,0,6579,..,557,427,144,162,325,270,290,171,2346,..,447,385,94,81,48,15,10,6,1090,..,499,669,199,142,140,100,55,20,1811,..,216,575,542,664,799,1188,1430,763,6176,114,168,206,136,119,131,106,134,50,1154,13624,10688,10287,10654,11875,10335,9038,6548,2079,85125
