SSC_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SSC20064,4,22,37,11,14,96,3,97
SSC20065,503,1818,1118,208,99,3747,104,3854
SSC20066,0,8,15,8,5,35,0,33
SSC20067,8,288,795,175,69,1335,27,1362
SSC20068,0,3,11,3,3,25,0,25
SSC20069,0,3,0,0,3,9,0,9
SSC20070,0,11,49,45,43,148,0,151
SSC20071,0,26,77,23,7,134,3,136
SSC20072,0,10,9,4,7,26,0,30
SSC20073,0,157,297,117,75,645,18,668
SSC20074,739,2373,1821,406,147,5491,211,5702
SSC20075,0,12,28,20,5,72,0,72
SSC20076,188,828,1117,285,112,2523,63,2591
SSC20077,231,939,904,235,104,2409,71,2481
SSC20078,97,765,1100,265,122,2347,55,2410
SSC20079,43,511,930,369,201,2054,34,2092
SSC20080,0,7,11,14,7,44,3,44
SSC20081,26,212,466,211,138,1050,28,1077
SSC20082,0,0,0,0,0,5,0,5
SSC20083,0,0,0,0,3,0,0,0
SSC20084,3,12,25,13,13,71,4,79
SSC20085,11,115,163,62,36,384,18,395
SSC20086,27,177,171,54,38,463,32,496
SSC20087,0,4,0,0,0,9,0,9
SSC20088,285,1362,1525,508,270,3956,147,4109
SSC20089,0,4,8,3,0,18,0,13
SSC20090,0,49,110,58,47,267,3,268
SSC20091,0,9,51,30,19,105,0,105
SSC20092,3,57,105,47,46,259,6,267
SSC20093,0,3,3,3,0,11,3,15
SSC20094,170,942,846,301,130,2387,131,2515
SSC20095,0,21,54,29,20,121,3,122
SSC20096,20,189,231,93,44,573,27,603
SSC20097,0,0,0,0,4,5,0,5
SSC20098,0,9,36,20,28,91,3,91
SSC20099,0,5,3,5,4,18,0,18
SSC20100,0,3,13,4,3,21,0,21
SSC20101,0,13,21,6,8,43,0,45
SSC20102,251,1260,953,291,114,2865,154,3020
SSC20103,3,36,20,8,0,69,5,75
SSC20104,482,1131,536,75,20,2240,66,2310
SSC20105,0,11,12,10,9,32,3,37
SSC20106,0,6,8,4,3,20,0,20
SSC20107,35,358,391,153,103,1045,54,1100
SSC20108,0,9,5,3,5,21,0,23
SSC20109,0,0,0,0,3,4,0,4
SSC20110,216,990,684,173,48,2112,70,2186
SSC20111,195,1024,712,197,81,2208,107,2314
SSC20112,132,623,559,156,75,1552,59,1609
SSC20113,0,3,18,8,9,34,0,36
SSC20114,0,11,30,17,21,88,5,87
SSC20115,0,4,21,12,14,49,0,49
SSC20116,0,0,13,7,3,19,0,19
SSC20117,0,3,16,6,9,36,3,44
SSC20118,3,26,44,20,17,115,6,120
SSC20119,12,199,347,145,69,763,35,796
SSC20120,3,48,71,23,9,150,10,158
SSC20121,0,0,5,0,0,5,0,5
SSC20122,319,1761,1802,535,248,4664,129,4791
SSC20123,274,1919,2955,930,429,6506,152,6662
SSC20124,3,27,77,35,26,167,4,168
SSC20125,0,11,40,13,13,78,0,79
SSC20126,0,3,16,12,3,35,0,38
SSC20127,0,0,9,0,3,16,0,16
SSC20128,0,32,78,27,7,143,3,141
SSC20129,0,0,5,3,6,18,0,18
SSC20130,63,233,53,23,15,388,46,432
SSC20131,0,0,7,6,0,9,0,10
SSC20132,14,286,804,296,186,1592,51,1642
SSC20133,0,3,3,0,3,6,0,6
SSC20134,0,0,3,3,3,13,0,13
SSC20135,6,143,336,143,67,694,18,711
SSC20136,0,10,14,3,8,30,0,30
SSC20137,0,25,32,16,8,80,10,82
SSC20138,0,7,3,0,3,10,0,10
SSC20139,0,9,14,11,5,42,4,48
SSC20140,3,50,71,24,15,164,3,170
SSC20141,0,4,11,3,3,22,3,23
SSC20142,0,4,3,3,3,11,0,15
SSC20143,4,34,41,24,11,112,10,116
SSC20144,0,0,0,3,0,3,0,3
SSC20145,5,60,142,57,37,306,11,321
SSC20146,0,3,17,6,16,53,3,50
SSC20147,0,23,17,3,3,51,0,52
SSC20148,0,26,54,47,18,146,9,155
SSC20149,0,11,35,23,6,80,7,89
SSC20150,3,4,37,13,15,67,0,71
SSC20151,0,0,0,0,0,7,0,7
SSC20152,0,0,3,0,0,3,0,3
SSC20153,0,0,4,3,0,10,0,10
SSC20154,0,0,4,0,0,3,0,3
SSC20155,0,3,3,4,0,10,0,10
SSC20156,0,3,0,0,3,8,0,8
SSC20157,0,0,0,0,0,3,0,3
SSC20158,0,11,10,9,8,39,0,39
SSC20159,0,18,35,16,11,78,7,85
SSC20160,0,17,28,6,3,56,3,59
SSC20161,31,402,663,158,60,1312,38,1350
SSC20162,0,0,3,0,0,3,0,4
SSC20163,3,30,40,37,15,133,9,138
SSC20164,0,28,96,66,64,250,8,262
SSC20165,0,9,10,3,5,19,0,25
SSC20166,0,0,0,0,0,0,0,0
SSC20167,0,0,0,0,0,0,0,0
SSC20168,11,261,323,113,76,780,30,811
SSC20169,0,0,0,0,0,3,0,3
SSC20170,4,24,51,39,27,142,4,145
SSC20171,0,6,12,12,14,37,0,37
SSC20172,254,1695,1650,476,236,4305,145,4454
SSC20173,158,1128,1279,377,205,3138,94,3231
SSC20174,55,461,902,367,268,2054,51,2107
SSC20175,3,98,339,205,177,821,17,835
SSC20176,5,24,28,10,11,78,5,88
SSC20177,0,24,26,9,3,68,9,78
SSC20178,0,3,14,4,0,18,0,18
SSC20179,0,0,3,0,4,11,0,12
SSC20180,30,201,233,75,52,596,39,638
SSC20181,136,1240,2175,660,323,4540,137,4670
SSC20182,0,0,0,3,3,5,0,5
SSC20183,0,38,43,23,20,123,15,138
SSC20184,0,13,14,3,3,33,0,39
SSC20185,64,501,556,184,75,1379,59,1430
SSC20186,0,0,5,0,0,5,0,5
SSC20187,39,430,617,180,90,1357,28,1380
SSC20188,7,98,195,74,61,436,16,453
SSC20189,3,75,219,120,98,511,14,525
SSC20190,222,798,693,169,103,1986,77,2065
SSC20191,116,689,699,221,109,1838,85,1924
SSC20192,0,9,10,14,9,46,5,56
SSC20193,0,0,0,0,0,0,0,0
SSC20194,11,84,129,63,32,322,9,329
SSC20195,0,30,56,24,17,129,3,135
SSC20196,0,5,7,6,9,19,0,19
SSC20197,54,235,216,75,23,601,37,638
SSC20198,0,0,0,0,0,0,0,0
SSC20199,0,5,16,12,3,40,0,43
SSC20200,456,2365,2021,493,203,5541,195,5743
SSC20201,0,13,9,0,4,21,0,25
SSC20202,0,27,37,18,18,99,0,104
SSC20203,320,1672,1464,438,220,4120,202,4325
SSC20204,0,18,19,15,12,58,3,60
SSC20205,3,0,16,5,3,27,0,27
SSC20206,0,17,41,17,14,89,0,93
SSC20207,254,1022,693,186,70,2227,97,2323
SSC20208,0,7,18,9,7,39,5,43
SSC20209,3,0,6,8,3,24,3,31
SSC20210,0,3,8,9,0,16,4,20
SSC20211,0,14,21,10,8,45,0,47
SSC20212,0,4,4,0,3,14,0,13
SSC20213,403,2155,2289,540,234,5622,152,5776
SSC20214,454,3228,4290,1019,451,9449,242,9687
SSC20215,0,3,3,0,0,5,0,5
SSC20216,0,12,18,9,11,51,0,51
SSC20217,0,0,3,3,3,11,0,13
SSC20218,4,14,19,14,3,62,4,67
SSC20219,0,3,3,3,3,13,0,13
SSC20220,0,15,23,7,14,61,4,63
SSC20221,0,5,0,7,3,19,0,20
SSC20222,0,9,26,15,3,60,0,56
SSC20223,493,4194,7063,2213,1175,15136,332,15470
SSC20224,0,9,10,8,12,36,0,36
SSC20225,0,13,19,8,6,49,4,48
SSC20226,0,7,13,5,4,34,3,32
SSC20227,0,0,3,0,0,6,0,6
SSC20228,0,42,77,28,19,176,6,184
SSC20229,0,8,21,3,0,39,0,38
SSC20230,5,33,47,20,26,130,17,139
SSC20231,0,25,42,23,22,107,0,106
SSC20232,7,111,348,113,87,668,14,683
SSC20233,0,0,0,0,0,0,0,0
SSC20234,0,17,37,13,11,80,0,83
SSC20235,0,3,5,0,0,12,0,14
SSC20236,0,7,11,5,3,24,0,24
SSC20237,0,3,4,4,4,15,0,15
SSC20238,0,0,0,0,0,0,0,0
SSC20239,0,0,0,0,0,5,0,5
SSC20240,0,0,5,5,3,15,0,15
SSC20241,0,15,17,8,9,55,0,55
SSC20242,0,0,0,0,0,0,0,0
SSC20243,21,92,104,38,12,263,9,277
SSC20244,0,0,0,0,0,0,0,0
SSC20245,4,40,79,45,26,196,7,198
SSC20246,0,97,139,39,36,315,9,322
SSC20247,27,310,540,189,183,1252,40,1294
SSC20248,51,317,313,85,25,790,32,817
SSC20249,3,16,24,15,5,62,6,73
SSC20250,74,790,1039,268,121,2286,48,2338
SSC20251,290,1991,1909,465,224,4882,118,5000
SSC20252,145,910,1141,267,97,2558,54,2614
SSC20253,279,1270,1553,402,182,3689,116,3803
SSC20254,0,6,4,0,0,7,0,7
SSC20255,6,41,42,16,7,113,3,114
SSC20256,24,324,415,85,29,875,49,922
SSC20257,0,0,3,0,3,10,0,10
SSC20258,0,19,30,20,12,73,4,79
SSC20259,4,80,197,95,41,419,25,442
SSC20260,0,3,16,6,11,31,0,35
SSC20261,0,0,0,0,3,10,0,7
SSC20262,0,3,13,9,10,36,0,36
SSC20263,3,3,3,6,3,22,3,24
SSC20264,0,0,0,0,0,0,0,0
SSC20265,0,8,12,4,4,30,0,28
SSC20266,0,8,9,12,3,27,0,27
SSC20267,0,0,0,3,0,4,0,4
SSC20268,0,0,4,0,4,3,0,3
SSC20269,0,34,28,24,27,105,0,113
SSC20270,0,0,0,0,0,0,0,0
SSC20271,0,9,25,12,18,58,4,63
SSC20272,0,0,3,0,0,3,0,3
SSC20273,3,54,89,50,21,217,7,221
SSC20274,0,5,8,0,0,13,0,16
SSC20275,0,6,13,5,8,36,0,36
SSC20276,0,10,8,5,7,28,0,28
SSC20277,197,1044,1020,205,78,2543,73,2608
SSC20278,0,14,49,19,20,101,5,102
SSC20279,0,15,29,27,29,99,9,105
SSC20280,0,0,4,0,0,10,0,10
SSC20281,6,47,97,37,21,209,5,215
SSC20282,0,9,22,14,14,59,0,62
SSC20283,0,9,20,10,13,52,3,53
SSC20284,0,0,0,0,0,0,0,0
SSC20285,0,0,0,3,0,5,0,5
SSC20286,14,100,169,70,30,378,16,389
SSC20287,0,9,19,8,15,55,0,56
SSC20288,0,0,0,0,0,0,0,0
SSC20289,0,0,4,3,3,11,0,11
SSC20290,0,0,3,0,0,6,0,5
SSC20291,0,0,3,0,0,3,0,3
SSC20292,0,11,19,14,6,49,5,54
SSC20293,0,10,16,9,4,43,3,40
SSC20294,0,0,0,0,0,7,0,7
SSC20295,0,0,5,0,8,15,0,15
SSC20296,0,17,23,5,5,52,0,52
SSC20297,0,3,5,4,0,16,0,17
SSC20298,32,97,136,47,24,337,17,351
SSC20299,0,4,17,6,4,36,3,35
SSC20300,0,3,13,6,8,22,3,22
SSC20301,0,0,3,3,3,6,0,12
SSC20302,475,3095,3257,986,484,8299,274,8572
SSC20303,0,3,13,5,4,24,0,28
SSC20304,0,5,12,4,7,32,0,32
SSC20305,0,134,676,206,126,1148,20,1170
SSC20306,0,16,18,9,6,42,3,47
SSC20307,3,14,25,10,12,66,6,65
SSC20308,0,0,6,3,3,15,0,18
SSC20309,0,3,5,7,0,20,0,20
SSC20310,3,3,9,8,8,32,3,37
SSC20311,0,0,3,0,5,7,0,12
SSC20312,1021,1994,946,211,99,4278,170,4448
SSC20313,364,1709,1538,387,179,4173,112,4283
SSC20314,244,1105,1169,287,117,2919,92,3010
SSC20315,0,0,0,0,3,4,0,4
SSC20316,0,0,0,3,3,4,0,4
SSC20317,0,0,0,5,3,10,0,10
SSC20318,0,4,3,0,0,10,0,10
SSC20319,0,5,15,5,7,31,0,31
SSC20320,0,27,51,17,21,122,3,124
SSC20321,0,0,3,0,0,6,0,6
SSC20322,440,1109,846,301,130,2820,166,2991
SSC20323,0,4,4,0,9,15,0,15
SSC20324,38,204,132,35,14,429,23,457
SSC20325,0,23,26,5,7,61,3,63
SSC20326,0,3,4,0,0,11,0,11
SSC20327,0,5,3,4,4,14,0,14
SSC20328,3,113,153,76,50,401,19,423
SSC20329,31,433,529,132,60,1186,28,1209
SSC20330,0,8,17,9,3,36,0,38
SSC20331,0,7,17,14,15,48,0,47
SSC20332,0,4,8,0,3,17,0,18
SSC20333,8,49,43,27,11,137,8,141
SSC20334,45,388,314,94,49,889,50,940
SSC20335,417,2994,3481,913,441,8241,238,8475
SSC20336,337,1841,2445,652,264,5538,153,5690
SSC20337,0,12,25,9,7,56,3,59
SSC20338,0,0,0,3,0,3,0,3
SSC20339,0,6,3,9,3,15,0,17
SSC20340,0,4,8,5,6,27,0,27
SSC20341,0,0,3,3,0,6,0,6
SSC20342,0,0,0,6,3,13,0,13
SSC20343,55,476,564,241,173,1511,66,1580
SSC20344,470,1365,1015,301,164,3317,265,3583
SSC20345,0,4,11,8,12,28,0,28
SSC20346,0,0,9,0,0,13,0,13
SSC20347,0,0,9,3,0,9,0,9
SSC20348,0,0,6,0,9,19,0,19
SSC20349,116,842,1201,372,217,2754,127,2879
SSC20350,50,329,268,69,33,745,22,768
SSC20351,0,0,0,0,0,5,0,5
SSC20352,0,6,39,6,15,71,3,72
SSC20353,0,23,19,8,11,61,0,61
SSC20354,58,422,576,186,93,1324,36,1364
SSC20355,0,5,15,4,9,32,0,32
SSC20356,0,4,9,12,3,28,0,30
SSC20357,3,4,17,12,0,36,3,37
SSC20358,0,0,0,0,0,0,0,0
SSC20359,2170,4905,2117,424,154,9771,347,10121
SSC20360,934,2636,1050,194,69,4890,147,5033
SSC20361,1014,2839,1465,305,122,5740,185,5923
SSC20362,8,88,138,44,26,304,16,325
SSC20363,0,12,11,8,6,40,0,40
SSC20364,0,28,36,14,12,93,3,95
SSC20365,0,9,15,6,8,39,3,41
SSC20366,0,23,19,5,3,59,0,60
SSC20367,0,5,25,18,10,63,0,63
SSC20368,0,0,6,0,0,8,0,8
SSC20369,0,0,10,7,0,20,0,20
SSC20370,0,0,0,0,0,0,0,0
SSC20371,0,7,24,9,13,52,0,55
SSC20372,0,0,0,0,0,0,0,0
SSC20373,0,13,40,22,18,90,7,95
SSC20374,3,27,40,17,19,100,9,106
SSC20375,0,0,14,9,4,25,0,24
SSC20376,0,0,0,0,0,0,0,0
SSC20377,0,0,0,0,0,0,0,0
SSC20378,0,0,3,3,3,11,0,11
SSC20379,0,27,68,49,40,189,5,190
SSC20380,0,6,3,0,0,9,0,7
SSC20381,0,6,9,5,8,29,3,32
SSC20382,0,10,11,8,5,36,0,32
SSC20383,0,5,4,5,0,17,0,15
SSC20384,209,1203,1662,477,282,3828,105,3935
SSC20385,3,19,99,47,43,208,6,216
SSC20386,0,9,9,3,8,35,0,35
SSC20387,0,0,6,0,0,12,0,13
SSC20388,0,25,68,36,37,160,3,165
SSC20389,0,8,20,20,11,65,0,66
SSC20390,0,9,8,4,0,22,3,26
SSC20391,0,8,44,23,17,88,3,92
SSC20392,0,13,13,15,13,59,3,61
SSC20393,3,37,63,38,25,158,0,160
SSC20394,0,0,0,0,8,5,4,11
SSC20395,0,0,0,0,0,0,0,0
SSC20396,0,3,7,4,12,24,0,24
SSC20397,707,3031,3518,1181,638,9081,312,9386
SSC20398,0,4,10,3,4,20,0,23
SSC20399,0,0,7,3,6,20,0,24
SSC20400,0,0,3,5,5,16,0,16
SSC20401,0,3,16,8,9,35,0,31
SSC20402,0,12,34,18,22,93,0,95
SSC20403,0,0,3,0,0,6,0,6
SSC20404,0,3,5,3,0,12,0,12
SSC20405,0,0,0,0,0,0,0,3
SSC20406,0,3,0,0,3,7,0,3
SSC20407,44,296,581,187,107,1207,44,1252
SSC20408,0,15,36,16,24,87,3,88
SSC20409,32,194,286,152,110,772,27,798
SSC20410,0,5,14,10,5,36,3,36
SSC20411,0,0,0,0,0,0,0,0
SSC20412,0,0,3,0,0,8,0,8
SSC20413,0,0,3,0,4,10,0,10
SSC20414,0,3,6,4,4,21,0,21
SSC20415,0,0,5,3,7,11,0,18
SSC20416,48,166,92,10,4,316,17,334
SSC20417,84,418,588,221,107,1414,61,1478
SSC20418,15,325,864,258,109,1586,40,1625
SSC20419,0,0,0,4,5,10,0,10
SSC20420,0,10,23,16,17,61,3,62
SSC20421,0,0,4,3,0,8,0,8
SSC20422,0,0,6,3,4,14,0,14
SSC20423,0,37,32,4,12,95,9,101
SSC20424,658,1966,1780,470,178,5048,168,5215
SSC20425,260,1247,1432,410,184,3537,92,3632
SSC20426,0,21,83,45,30,168,0,168
SSC20427,0,4,5,3,4,21,0,21
SSC20428,0,0,0,0,0,5,0,5
SSC20429,0,40,84,29,24,177,9,184
SSC20430,0,10,11,6,13,42,0,48
SSC20431,0,3,11,8,5,36,0,35
SSC20432,0,8,21,15,17,60,0,60
SSC20433,0,3,17,10,8,44,0,45
SSC20434,0,10,20,7,12,57,0,57
SSC20435,6,21,67,34,27,142,4,145
SSC20436,0,4,3,0,3,8,0,8
SSC20437,0,8,11,0,0,22,0,20
SSC20438,0,0,0,0,5,3,0,3
SSC20439,58,483,1127,550,286,2506,57,2564
SSC20440,0,0,0,0,0,0,0,0
SSC20441,0,10,17,8,16,57,5,60
SSC20442,139,667,520,173,88,1589,93,1683
SSC20443,0,16,16,8,16,53,4,56
SSC20444,0,3,8,4,3,18,0,18
SSC20445,0,21,47,20,19,111,4,116
SSC20446,0,4,3,4,0,11,0,15
SSC20447,0,0,3,0,0,6,0,6
SSC20448,0,3,5,0,3,11,0,10
SSC20449,0,9,21,10,11,49,0,56
SSC20450,0,0,0,0,0,0,0,0
SSC20451,444,2763,2968,914,391,7475,127,7606
SSC20452,0,14,30,20,9,68,3,72
SSC20453,115,570,504,175,109,1470,78,1552
SSC20454,3,3,0,4,0,12,0,9
SSC20455,14,228,231,91,60,620,28,649
SSC20456,0,0,6,6,5,17,0,17
SSC20457,0,0,6,7,3,12,0,13
SSC20458,114,466,478,143,74,1278,67,1348
SSC20459,56,443,507,169,94,1265,39,1303
SSC20460,0,0,0,3,4,4,0,4
SSC20461,0,4,7,6,8,22,0,25
SSC20462,6,37,20,6,4,79,4,90
SSC20463,0,0,3,0,0,3,0,3
SSC20464,0,45,99,37,36,214,9,221
SSC20465,0,0,6,0,4,14,0,14
SSC20466,124,850,1144,329,178,2626,60,2690
SSC20467,0,10,19,13,10,48,0,52
SSC20468,0,14,17,7,12,53,0,49
SSC20469,0,0,0,0,0,3,0,3
SSC20470,0,0,3,0,3,8,0,7
SSC20471,17,145,145,31,10,348,17,366
SSC20472,3,34,91,21,12,163,11,167
SSC20473,20,248,281,64,21,624,20,646
SSC20474,0,3,5,3,4,16,0,19
SSC20475,0,0,16,9,7,30,0,26
SSC20476,0,0,3,0,0,4,0,4
SSC20477,0,13,37,14,19,79,3,86
SSC20478,0,0,11,4,0,22,7,20
SSC20479,0,0,8,0,0,8,0,8
SSC20480,0,7,10,3,7,23,0,19
SSC20481,3,4,15,9,7,37,0,37
SSC20482,0,20,85,55,57,210,5,220
SSC20483,0,40,90,47,25,206,3,212
SSC20484,0,11,27,35,32,104,5,113
SSC20485,9,44,96,59,39,239,14,257
SSC20486,0,3,0,4,0,12,0,15
SSC20487,0,3,3,0,5,12,0,12
SSC20488,0,0,3,0,0,12,0,12
SSC20489,17,99,168,75,42,400,13,421
SSC20490,0,16,23,16,3,55,6,65
SSC20491,0,26,46,27,14,114,0,114
SSC20492,4823,2133,571,78,35,7639,371,8006
SSC20493,501,1256,617,106,38,2520,87,2605
SSC20494,0,3,16,5,4,33,0,33
SSC20495,938,3320,1987,335,160,6740,201,6944
SSC20496,0,3,15,11,7,43,4,44
SSC20497,154,1914,3571,971,415,7020,174,7197
SSC20498,0,12,15,4,11,45,0,45
SSC20499,0,3,21,12,3,38,0,38
SSC20500,3,9,13,9,4,35,0,41
SSC20501,0,3,3,0,0,15,0,17
SSC20502,0,0,4,3,5,10,0,10
SSC20503,0,0,0,0,0,3,0,3
SSC20504,128,652,610,133,60,1589,67,1658
SSC20505,303,2531,2904,896,420,7060,286,7347
SSC20506,0,6,10,3,6,22,3,29
SSC20507,0,11,30,22,11,72,4,79
SSC20508,0,3,3,3,0,12,0,12
SSC20509,3,11,33,22,18,81,3,86
SSC20510,43,269,224,99,58,684,41,729
SSC20511,0,3,3,7,9,26,0,23
SSC20512,0,3,20,5,10,35,0,35
SSC20513,274,1301,855,227,106,2763,133,2893
SSC20514,0,11,36,26,22,87,0,92
SSC20515,0,6,10,8,6,36,0,37
SSC20516,0,3,3,0,0,5,3,8
SSC20517,0,0,0,0,7,3,0,3
SSC20518,156,790,752,177,85,1957,47,2005
SSC20519,124,244,135,33,12,549,25,570
SSC20520,538,2189,2095,485,243,5552,166,5719
SSC20521,277,1495,1842,416,196,4230,109,4338
SSC20522,0,0,7,7,3,16,0,16
SSC20523,4,28,43,29,20,121,6,126
SSC20524,0,15,38,11,15,82,0,82
SSC20525,243,1072,1263,307,113,3003,96,3098
SSC20526,0,0,0,0,0,0,0,0
SSC20527,0,0,0,0,0,0,0,0
SSC20528,0,3,6,4,0,15,0,15
SSC20529,0,3,4,0,5,14,0,18
SSC20530,4,6,34,14,20,79,3,87
SSC20531,0,3,5,3,7,23,0,23
SSC20532,35,161,159,54,31,442,25,464
SSC20533,0,5,10,0,7,21,0,19
SSC20534,331,1449,1070,211,75,3144,131,3272
SSC20535,76,588,842,255,109,1871,46,1920
SSC20536,564,3280,3271,764,334,8221,319,8536
SSC20537,0,5,9,5,3,21,0,21
SSC20538,0,0,10,3,0,22,0,22
SSC20539,0,0,0,0,0,0,0,0
SSC20540,0,22,33,13,8,81,5,85
SSC20541,0,0,0,0,0,0,0,0
SSC20542,0,7,31,5,5,50,4,56
SSC20543,0,8,13,3,4,21,4,28
SSC20544,10,113,96,33,17,261,21,283
SSC20545,5,4,3,4,0,16,0,16
SSC20546,0,7,21,8,4,36,0,43
SSC20547,0,0,0,0,0,3,0,3
SSC20548,26,171,236,103,66,593,24,618
SSC20549,0,0,12,8,3,22,0,22
SSC20550,0,0,0,0,0,3,0,3
SSC20551,0,3,7,0,6,11,0,11
SSC20552,0,4,8,7,10,28,0,29
SSC20553,81,818,1507,523,344,3266,84,3355
SSC20554,0,0,0,0,6,4,0,4
SSC20555,0,4,9,3,7,27,0,29
SSC20556,0,17,46,27,25,113,0,114
SSC20557,0,72,127,70,57,327,8,333
SSC20558,89,642,639,195,100,1667,80,1751
SSC20559,0,0,0,0,0,0,0,0
SSC20560,0,0,0,0,0,7,0,7
SSC20561,0,9,20,13,6,50,0,48
SSC20562,0,4,3,3,0,10,0,10
SSC20563,157,805,894,368,163,2391,81,2473
SSC20564,0,19,36,32,15,96,4,99
SSC20565,0,3,14,3,3,18,0,18
SSC20566,1229,2474,1366,355,128,5549,214,5759
SSC20567,419,1751,1344,420,200,4137,156,4292
SSC20568,0,6,6,8,3,26,0,23
SSC20569,0,13,68,12,16,112,8,116
SSC20570,0,10,34,20,18,77,0,77
SSC20571,262,1220,703,147,43,2372,65,2438
SSC20572,71,989,1207,377,172,2817,114,2928
SSC20573,0,22,41,31,24,115,3,119
SSC20574,0,0,3,0,0,5,0,5
SSC20575,0,10,23,7,15,52,4,56
SSC20576,3,9,10,4,0,23,0,23
SSC20577,26,241,243,105,51,664,50,711
SSC20578,8,167,320,105,74,671,19,691
SSC20579,16,576,1420,311,93,2429,67,2490
SSC20580,0,8,17,5,6,35,0,40
SSC20581,0,8,13,3,4,23,3,26
SSC20582,0,3,5,4,3,19,3,20
SSC20583,0,10,36,15,10,84,3,86
SSC20584,0,6,10,7,0,20,0,20
SSC20585,0,0,0,0,0,0,0,0
SSC20586,0,0,0,0,0,0,0,0
SSC20587,34,223,249,106,50,671,44,709
SSC20588,161,869,759,246,124,2162,155,2315
SSC20589,0,16,27,18,13,72,3,80
SSC20590,0,3,14,3,8,30,4,34
SSC20591,0,3,4,3,0,18,0,14
SSC20592,1240,4272,2748,769,318,9345,272,9613
SSC20593,319,1150,817,224,86,2599,102,2706
SSC20594,0,0,0,0,0,0,0,0
SSC20595,0,0,0,0,0,3,0,3
SSC20596,23,329,591,258,162,1365,43,1414
SSC20597,0,0,0,0,0,0,0,0
SSC20598,0,0,3,6,8,12,0,12
SSC20599,0,4,10,7,6,26,0,23
SSC20600,55,333,377,130,62,948,44,1000
SSC20601,0,11,46,28,31,123,4,130
SSC20602,0,0,0,0,0,3,0,3
SSC20603,316,1464,1197,333,136,3446,189,3632
SSC20604,0,0,10,3,4,13,0,17
SSC20605,3,25,15,11,4,57,0,62
SSC20606,3,7,10,5,4,31,0,29
SSC20607,0,26,47,26,16,115,3,118
