SSC_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SSC22419,4,0,8,80,126,71,46,77,40,446
SSC22420,0,0,0,0,4,8,3,5,0,17
SSC22421,0,0,0,45,75,44,31,39,22,260
SSC22422,0,0,0,0,0,0,0,0,11,11
SSC22423,0,0,0,0,0,0,0,0,0,0
SSC22424,0,0,0,14,27,6,11,16,4,83
SSC22425,0,0,5,10,14,9,4,3,0,47
SSC22426,0,0,0,0,12,3,4,3,0,27
SSC22427,0,0,0,5,6,0,3,3,3,19
SSC22428,0,0,0,13,13,4,6,3,0,41
SSC22429,5,0,3,84,115,57,51,74,30,412
SSC22430,0,0,0,0,0,0,0,0,0,0
SSC22431,0,0,0,0,0,5,0,0,3,14
SSC22432,3,0,3,87,113,71,63,64,62,456
SSC22433,0,0,0,3,5,0,5,4,8,21
SSC22434,0,0,0,0,4,0,0,0,3,16
SSC22435,3,0,4,71,122,59,52,34,42,376
SSC22436,0,0,0,11,4,3,3,4,10,36
SSC22437,0,0,0,3,3,3,0,6,0,18
SSC22438,3,0,3,13,24,19,12,35,18,128
SSC22439,35,12,80,4956,5961,2594,2511,6604,1771,24403
SSC22440,0,0,0,17,15,13,12,16,7,72
SSC22441,0,0,0,0,8,0,4,3,4,24
SSC22442,0,0,4,15,14,13,6,13,9,66
SSC22443,0,0,0,3,8,7,10,0,0,28
SSC22444,0,0,0,16,19,6,11,11,13,71
SSC22445,0,0,0,8,19,12,6,12,3,60
SSC22446,0,0,10,50,76,51,34,40,33,287
SSC22447,0,0,0,5,8,9,0,5,0,21
SSC22448,0,0,0,15,16,16,4,9,4,53
SSC22449,0,0,0,8,12,0,3,0,4,33
SSC22450,0,0,3,48,63,41,34,30,11,228
SSC22451,0,0,0,10,15,6,11,6,5,55
SSC22452,0,0,0,4,11,7,14,3,4,40
SSC22453,0,0,4,56,91,43,41,38,26,300
SSC22454,3,0,6,52,71,42,28,28,29,236
SSC22455,75,30,150,679,964,484,396,802,462,3785
SSC22456,0,0,0,24,28,12,14,14,22,115
SSC22457,0,0,0,27,17,9,12,12,17,97
SSC22458,5,4,16,108,143,57,66,79,40,487
SSC22459,8,4,17,147,230,126,84,94,58,731
SSC22460,0,0,0,4,8,7,3,12,4,37
SSC22461,31,8,67,2424,2559,1076,1023,2994,558,10628
SSC22462,73,23,168,3045,3158,1359,1143,3573,768,13044
SSC22463,0,0,0,8,9,3,12,11,11,47
SSC22464,6,6,27,439,553,251,119,235,99,1691
SSC22465,0,0,0,0,3,5,0,3,0,18
SSC22466,0,0,0,3,3,3,4,0,3,15
SSC22467,3,0,12,248,381,184,221,217,89,1333
SSC22468,0,0,0,4,13,6,8,9,0,48
SSC22469,0,0,0,9,7,3,0,4,0,19
SSC22470,0,0,0,8,3,6,4,10,6,36
SSC22471,381,54,574,3312,3407,1708,1316,3544,744,14028
SSC22472,291,60,507,2450,2862,1445,1070,2700,622,11162
SSC22473,0,0,0,5,16,8,10,7,4,53
SSC22474,0,0,3,30,43,17,19,35,14,160
SSC22475,0,0,0,12,4,4,3,10,6,35
SSC22476,37,20,82,335,428,218,212,431,260,1886
SSC22477,0,0,4,4,18,12,7,11,0,52
SSC22478,0,0,0,3,5,7,0,0,0,11
SSC22479,0,0,0,0,0,0,0,0,4,8
SSC22480,0,0,0,0,0,0,0,3,0,6
SSC22481,0,0,0,18,24,7,9,9,8,80
SSC22482,0,0,0,9,7,8,14,5,7,51
SSC22483,0,0,0,0,0,0,0,3,0,9
SSC22484,24,70,110,876,988,475,320,583,298,3542
SSC22485,0,3,3,0,5,0,0,0,4,10
SSC22486,4,0,7,23,48,28,25,46,7,181
SSC22487,0,0,0,8,4,9,0,0,7,21
SSC22488,0,0,0,11,25,12,5,24,0,79
SSC22489,9,0,9,179,266,134,88,115,69,853
SSC22490,0,0,0,22,28,4,22,33,13,117
SSC22491,0,0,0,0,3,0,0,0,0,11
SSC22492,197,44,381,3250,3135,1520,1455,6309,1484,17149
SSC22493,0,0,0,0,0,0,0,0,0,0
SSC22494,8,4,36,294,349,141,104,313,185,1378
SSC22495,0,0,0,29,20,17,10,11,11,109
SSC22496,244,49,437,4516,4445,1521,1004,2909,1194,15589
SSC22497,7,3,5,50,76,27,44,52,27,273
SSC22498,3,0,6,66,98,66,38,85,30,379
SSC22499,0,0,0,0,4,5,3,0,8,29
SSC22500,0,0,0,11,21,9,11,13,0,66
SSC22501,0,0,0,38,31,27,21,41,21,175
SSC22502,0,0,0,0,0,0,0,0,0,0
SSC22503,13,7,42,175,248,141,133,181,102,983
SSC22504,0,0,0,4,6,3,10,5,5,34
SSC22505,0,0,0,10,17,5,11,17,5,65
SSC22506,0,0,0,9,16,9,9,9,6,57
SSC22507,0,0,0,6,9,7,0,5,0,21
SSC22508,0,0,5,52,62,27,21,45,19,224
SSC22509,0,0,0,11,16,8,4,8,3,43
