SSC_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SSC20011,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20012,..,0,0,0,0,0,0,0,0,3,..,0,3,0,11,19,8,7,6,64,0,0,0,0,3,5,3,0,4,20,49,24,28,29,69,85,41,28,12,359,..,0,7,30,59,76,59,28,3,273,..,7,19,10,19,25,4,0,0,81,..,0,3,10,11,3,0,4,0,33,107,..,..,..,..,..,..,..,..,107,..,35,..,..,..,..,..,..,..,35,..,12,6,3,0,0,0,0,0,26,..,3,0,0,0,3,0,0,0,4,..,0,0,0,0,0,0,0,0,5,..,0,0,0,3,3,0,0,0,5,..,0,10,3,15,38,15,13,11,103,0,4,0,0,3,13,9,3,4,33,103,62,46,57,116,161,85,51,18,702
SSC20013,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,14,5,4,11,7,12,3,0,0,65,..,0,0,13,18,15,8,3,0,54,..,0,0,0,0,7,0,0,0,6,..,0,0,0,0,0,3,0,0,4,27,..,..,..,..,..,..,..,..,27,..,3,..,..,..,..,..,..,..,3,..,3,3,0,4,0,0,0,0,7,..,0,0,0,0,0,0,0,0,3,..,0,3,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,27,9,11,17,25,30,9,3,0,132
SSC20014,..,15,38,11,7,13,0,3,0,82,..,6,52,56,66,75,99,112,47,507,10,10,16,11,12,3,5,13,10,92,556,312,581,551,457,408,371,323,128,3685,..,12,425,608,464,407,402,313,89,2716,..,37,246,125,70,42,11,3,0,526,..,3,14,63,117,66,41,37,40,378,1109,..,..,..,..,..,..,..,..,1109,..,292,..,..,..,..,..,..,..,292,..,202,198,72,75,50,9,0,0,597,..,43,41,21,17,26,28,19,12,212,..,17,19,6,5,4,3,0,0,50,..,32,86,22,26,31,8,8,0,215,..,16,95,102,132,138,152,144,66,852,15,18,38,17,21,16,9,19,15,169,1120,665,1170,1027,912,769,655,551,229,7108
SSC20015,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20016,..,10,8,5,9,16,9,0,0,50,..,3,8,14,17,22,33,28,5,129,6,11,11,12,3,7,8,3,0,63,471,305,391,339,331,357,247,88,17,2545,..,25,313,346,358,469,349,82,18,1960,..,14,64,57,37,19,5,3,0,200,..,13,27,75,89,59,45,17,5,329,971,..,..,..,..,..,..,..,..,971,..,309,..,..,..,..,..,..,..,309,..,184,230,95,44,8,0,0,0,569,..,64,34,6,28,31,21,12,6,207,..,23,30,9,9,7,5,0,0,79,..,30,29,22,21,25,12,0,0,140,..,8,27,45,56,46,66,39,10,295,18,22,23,19,12,13,12,6,0,123,989,694,788,691,656,672,513,158,34,5199
SSC20017,..,14,60,13,8,7,3,0,0,112,..,8,26,48,72,78,109,63,20,429,13,0,12,4,10,3,4,8,0,52,468,217,359,463,483,347,299,148,40,2817,..,0,188,476,493,390,327,148,28,2051,..,12,199,176,143,69,30,6,0,621,..,0,7,38,61,42,19,20,9,193,945,..,..,..,..,..,..,..,..,945,..,266,..,..,..,..,..,..,..,266,..,75,53,27,33,4,3,0,0,193,..,27,18,4,3,8,7,10,7,78,..,4,17,3,0,0,0,0,0,26,..,31,110,43,26,13,9,0,0,228,..,15,57,92,118,163,183,106,42,781,17,16,15,16,13,10,13,3,0,112,968,446,652,883,895,693,583,293,83,5502
SSC20018,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,3,0,3,0,9,0,0,0,0,0,3,0,0,0,3,14,8,5,13,14,23,18,6,0,102,..,0,5,5,19,26,33,13,0,103,..,6,10,3,3,3,0,0,0,19,..,0,0,0,3,6,0,0,0,7,34,..,..,..,..,..,..,..,..,34,..,3,..,..,..,..,..,..,..,3,..,9,6,0,0,0,0,0,0,9,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,4,..,0,0,3,4,5,10,6,3,24,0,0,0,0,0,3,0,0,0,3,34,23,14,16,33,44,43,14,3,226
SSC20019,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,3,8,3,4,3,11,10,4,0,0,43,..,0,0,0,3,9,6,0,0,21,..,0,3,3,3,3,0,0,0,13,..,0,0,0,6,0,0,0,0,6,10,..,..,..,..,..,..,..,..,10,..,5,..,..,..,..,..,..,..,5,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,4,0,0,3,..,0,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,3,10,8,3,5,15,20,9,3,0,75
SSC20020,..,12,35,15,8,10,0,0,0,80,..,9,23,34,36,44,65,46,20,281,0,3,5,3,3,0,3,3,0,28,332,240,479,273,214,182,148,99,38,1999,..,36,462,353,201,179,113,69,14,1418,..,27,108,53,22,19,7,4,0,235,..,4,43,41,54,34,14,18,8,212,669,..,..,..,..,..,..,..,..,669,..,145,..,..,..,..,..,..,..,145,..,89,73,26,16,9,4,0,0,225,..,69,67,10,18,22,22,12,0,228,..,51,70,17,10,3,3,0,0,153,..,118,191,67,33,13,3,7,0,430,..,22,71,81,73,98,125,77,31,581,4,7,22,7,7,4,5,3,3,67,672,566,1099,661,438,381,292,184,56,4346
SSC20021,..,3,10,3,4,7,0,0,0,26,..,7,5,4,19,38,46,54,38,220,0,5,4,0,3,3,11,3,0,34,193,83,118,128,163,168,185,111,52,1198,..,0,85,150,171,192,226,93,24,943,..,24,65,42,40,29,14,5,0,221,..,7,6,20,29,17,0,4,0,83,368,..,..,..,..,..,..,..,..,368,..,68,..,..,..,..,..,..,..,68,..,67,24,13,9,0,0,0,0,113,..,5,0,0,6,3,7,0,4,22,..,8,4,0,0,0,0,0,0,14,..,3,14,5,7,9,4,3,0,49,..,11,17,20,42,80,88,85,52,402,3,10,10,4,11,9,13,5,4,64,375,206,225,258,312,335,355,192,84,2349
SSC20022,..,51,30,6,9,12,0,3,0,118,..,17,27,19,55,83,71,64,41,370,23,32,8,11,4,8,13,4,3,114,973,586,552,628,655,471,326,167,66,4417,..,6,445,819,810,617,428,187,39,3348,..,68,208,117,95,40,24,3,0,561,..,7,63,112,152,44,17,7,9,412,1947,..,..,..,..,..,..,..,..,1947,..,607,..,..,..,..,..,..,..,607,..,296,93,15,17,14,3,0,0,439,..,26,21,7,9,13,7,13,3,97,..,27,24,7,4,4,0,0,0,63,..,122,63,17,21,17,9,3,0,240,..,26,83,45,97,126,100,88,47,619,40,62,36,23,18,16,16,10,3,221,1987,1250,1036,1163,1221,884,605,310,98,8558
SSC20023,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,12,..,0,0,0,0,7,0,0,0,10,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,3,..,..,..,..,..,..,..,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,3,0,0,9,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,14,3,0,0,22
SSC20024,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,9,9,0,0,0,27,..,0,3,5,10,9,5,0,0,31,..,0,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,16,..,..,..,..,..,..,..,..,16,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,3,0,0,3,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,16,3,4,4,15,8,9,0,0,64
SSC20025,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,13,3,0,0,28,..,0,0,3,8,9,3,0,0,21,..,0,0,0,0,3,0,0,0,7,..,0,0,0,0,0,0,0,0,9,5,..,..,..,..,..,..,..,..,5,..,3,..,..,..,..,..,..,..,3,..,3,0,0,0,0,0,0,0,8,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,12,3,3,12,21,4,0,0,62
SSC20026,..,0,0,0,0,0,0,0,0,0,..,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,28,12,6,13,32,22,14,3,0,143,..,0,0,28,35,45,28,6,3,152,..,0,7,4,0,0,0,0,0,14,..,0,0,0,3,0,0,0,0,8,64,..,..,..,..,..,..,..,..,64,..,19,..,..,..,..,..,..,..,19,..,10,3,0,0,0,0,0,0,19,..,0,0,0,0,0,0,0,0,0,..,3,0,0,0,0,0,0,0,5,..,0,6,0,0,0,0,0,0,9,..,0,0,0,6,3,0,3,0,13,0,0,0,0,0,0,0,0,0,3,64,35,14,36,49,51,38,8,3,296
SSC20027,..,0,6,0,0,3,0,0,0,9,..,0,3,0,4,7,8,12,3,43,0,6,0,4,3,4,0,0,0,19,150,75,74,85,107,90,60,25,14,678,..,7,59,101,153,130,81,33,7,568,..,22,34,23,22,11,3,0,0,114,..,0,7,10,15,0,3,6,3,43,282,..,..,..,..,..,..,..,..,282,..,55,..,..,..,..,..,..,..,55,..,79,19,6,13,5,0,0,0,116,..,4,3,0,0,3,0,0,0,11,..,0,0,3,0,0,0,0,0,10,..,0,9,3,3,3,3,0,0,23,..,3,6,16,16,21,19,16,3,101,6,6,0,10,5,4,3,0,3,37,284,173,144,174,221,179,116,48,17,1357
SSC20028,..,0,0,0,3,0,0,0,0,6,..,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,13,3,3,10,19,10,10,0,0,73,..,0,5,13,22,20,6,5,0,66,..,0,0,3,0,0,3,0,0,10,..,0,0,0,0,0,0,0,0,0,22,..,..,..,..,..,..,..,..,22,..,5,..,..,..,..,..,..,..,5,..,7,3,0,0,0,0,0,0,5,..,0,0,0,0,0,3,3,0,7,..,0,0,0,0,0,0,0,0,0,..,0,0,5,3,0,0,0,0,3,..,0,0,0,4,6,3,0,3,14,0,0,0,0,0,0,0,0,0,3,22,10,11,19,32,28,12,11,3,147
SSC20029,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,11,6,4,6,5,10,6,0,0,61,..,0,6,7,14,11,10,0,0,48,..,0,0,0,3,0,0,0,0,6,..,0,0,0,0,0,0,0,0,9,25,..,..,..,..,..,..,..,..,25,..,4,..,..,..,..,..,..,..,4,..,5,0,5,0,0,0,0,0,8,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,4,..,0,3,0,0,0,0,0,0,3,..,0,0,0,3,3,10,3,0,13,0,0,0,0,0,4,0,0,0,4,25,15,11,10,18,19,18,0,0,123
