SSC_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SSC20011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20012,323,356,679,108,58,163,58,111,175,7,12,16,8,10,13,177,190,370,124,144,269,4.5,5.3,3.5,54.8,53.4,54.5,53.6,50.8,52.1,15,29,43,8,12,20,57,85,142,40,50,93,84,21,106,3,4,3,9,7,22,97,37,137,295,309,609,63,59,118,227,233,462,125,128,250
SSC20013,63,55,114,32,14,44,5,18,24,3,0,7,3,0,0,41,40,78,9,14,26,7.3,0,0,65.1,72.7,68.4,63.5,58.2,65.8,0,0,0,0,0,0,3,4,7,7,3,11,21,10,28,0,0,0,4,0,4,20,10,27,60,58,117,10,7,15,51,53,105,15,12,25
SSC20014,3057,3331,6388,1451,946,2400,303,709,1007,98,107,203,105,83,182,1949,1844,3794,907,1279,2192,5.4,4.5,4.8,63.8,55.4,59.4,60.6,52.9,56.5,100,115,216,38,74,118,343,531,880,257,360,615,755,258,1014,17,26,47,41,74,116,811,360,1169,2899,3071,5971,422,482,907,2001,2220,4226,1193,1233,2424
SSC20015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20016,2268,2193,4459,782,413,1199,312,396,704,79,63,143,147,118,263,1322,987,2311,795,1079,1877,11.1,12,11.4,58.3,45,51.8,51.7,39.8,45.9,33,27,55,9,25,35,169,201,367,135,173,308,385,174,562,25,32,54,33,48,81,439,258,698,2225,2144,4371,323,308,625,1651,1615,3263,754,714,1475
SSC20017,2513,2647,5161,1201,862,2066,309,562,872,52,79,133,51,72,120,1610,1576,3189,696,881,1570,3.2,4.6,3.8,64.1,59.5,61.8,62.2,56.8,59.5,313,328,640,64,127,191,713,789,1505,179,251,428,193,83,278,18,11,31,25,44,68,241,138,380,2253,2357,4606,446,481,932,1399,1469,2864,1215,1295,2508
SSC20018,115,106,222,41,20,60,11,25,43,8,0,7,5,4,10,62,53,119,44,44,90,8.1,7.5,8.4,53.9,50,53.6,52.2,42.5,49.5,0,0,0,0,0,0,6,5,12,0,12,9,34,8,44,0,3,3,0,0,3,37,15,47,110,97,207,15,9,33,84,78,160,34,33,62
SSC20019,30,41,71,11,7,19,3,11,16,4,0,4,3,0,4,18,25,43,12,15,23,16.7,0,9.3,60,61,60.6,60,43.9,54.9,0,0,0,0,3,3,3,7,9,0,3,3,12,4,15,0,0,0,0,3,3,12,9,20,33,40,66,3,3,10,23,22,44,9,19,28
SSC20020,2190,1816,4005,807,370,1177,320,368,690,57,44,101,169,144,306,1355,920,2276,619,720,1337,12.5,15.7,13.4,61.9,50.7,56.8,54.1,43.1,49.1,124,95,215,21,35,56,261,275,542,171,160,330,313,163,471,18,18,30,25,30,54,352,203,555,1731,1494,3227,482,398,881,950,905,1855,1184,896,2079
SSC20021,1119,1181,2307,416,207,622,125,268,391,38,33,72,33,36,65,601,546,1151,420,543,962,5.5,6.6,5.6,53.7,46.2,49.9,51.7,43,47,11,25,33,19,29,42,72,116,189,79,123,206,311,132,442,3,18,22,16,34,49,338,175,513,1024,1094,2115,158,166,324,703,754,1459,428,453,877
SSC20022,3422,3744,7161,1710,881,2596,475,1215,1688,92,131,220,134,125,261,2402,2354,4762,853,1220,2071,5.6,5.3,5.5,70.2,62.9,66.5,66.5,59.5,62.9,176,135,311,73,152,228,430,670,1102,297,368,664,736,459,1198,25,66,91,48,55,102,819,578,1394,3302,3535,6838,813,843,1660,1859,1993,3855,2073,2224,4302
SSC20023,8,11,19,0,0,3,5,4,8,0,0,0,4,0,4,9,7,15,0,8,3,44.4,0,26.7,112.5,63.6,78.9,62.5,36.4,57.9,3,0,3,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,22,0,0,0,9,12,17,0,0,0
SSC20024,38,35,71,9,3,19,6,5,10,4,0,5,0,0,0,22,13,29,8,12,15,0,0,0,57.9,37.1,40.8,50,22.9,47.9,0,0,0,0,0,0,0,3,6,0,0,0,7,5,11,0,0,0,0,0,0,7,6,15,33,28,57,3,0,7,26,24,53,4,0,4
SSC20025,38,32,71,14,8,19,5,9,9,0,3,0,0,0,0,23,12,35,16,16,28,0,0,0,60.5,37.5,49.3,50,62.5,39.4,0,0,0,4,3,9,4,3,4,3,3,3,13,9,24,0,0,0,0,0,0,13,9,24,32,29,55,3,3,8,23,20,45,9,12,18
SSC20026,132,116,251,55,29,86,16,39,56,8,4,11,3,0,5,88,73,163,36,38,74,3.4,0,3.1,66.7,62.9,64.9,59.8,62.1,61,7,6,12,3,8,10,11,17,28,9,21,26,33,13,49,3,3,10,0,7,4,42,21,66,138,131,267,24,13,32,115,110,225,33,27,56
SSC20027,620,583,1209,302,135,432,82,183,263,32,36,72,17,14,28,430,367,793,129,166,298,4,3.8,3.5,69.4,63,65.6,67.1,60.7,63.4,12,11,23,5,8,11,32,78,112,32,61,92,185,76,259,3,9,9,7,16,23,191,101,293,619,582,1207,67,67,132,465,433,897,183,190,373
SSC20028,73,70,144,36,14,47,8,16,25,7,0,3,0,0,3,43,34,84,20,25,41,0,0,3.6,58.9,48.6,58.3,69.9,42.9,52.1,3,4,4,0,0,0,5,6,16,0,11,12,28,8,38,0,3,3,3,0,5,36,12,46,74,70,141,3,0,3,47,51,98,19,23,37
SSC20029,54,53,102,26,6,36,8,15,23,0,0,0,0,0,0,34,22,56,17,22,45,0,0,0,63,41.5,54.9,63,39.6,57.8,0,0,0,0,0,0,3,9,7,3,7,9,19,5,21,0,0,0,0,0,3,21,8,27,58,52,107,3,11,17,40,38,73,16,18,39
SSC20030,73,81,158,28,8,39,11,16,20,3,3,4,5,5,12,46,36,83,26,44,72,10.9,13.9,14.5,63,44.4,52.5,57.5,33.3,39.9,0,0,0,0,0,3,4,3,4,3,6,9,20,13,40,0,0,3,3,5,6,26,21,45,94,91,183,4,8,11,54,59,114,35,35,71
SSC20031,9,8,14,0,0,0,0,3,0,0,0,3,0,0,0,3,0,10,3,8,6,0,0,0,33.3,0,71.4,0,37.5,21.4,0,0,0,0,0,0,0,3,3,0,0,0,3,3,3,0,0,0,0,0,0,3,3,5,14,9,25,0,0,0,5,3,10,5,7,13
SSC20032,21,21,41,11,11,16,3,4,8,0,0,5,0,0,0,11,14,27,3,3,7,0,0,0,52.4,66.7,65.9,66.7,71.4,70.7,0,0,0,0,0,0,0,3,3,0,0,3,9,0,6,0,0,0,0,0,0,9,0,6,19,19,40,0,5,6,15,14,25,3,3,9
SSC20033,1989,2259,4251,1013,711,1730,319,679,997,37,66,101,75,72,143,1448,1527,2967,447,608,1058,5.2,4.7,4.8,72.8,67.6,69.8,68.8,64.5,66.5,240,308,551,90,172,260,518,642,1166,151,178,331,230,83,309,7,13,19,27,30,58,259,127,385,1821,2048,3860,393,411,802,1236,1388,2626,928,1029,1958
SSC20034,4312,4672,8981,2046,1265,3306,502,1039,1541,99,137,243,166,148,315,2817,2590,5406,1230,1815,3037,5.9,5.7,5.8,65.3,55.4,60.2,61.4,52.2,56.7,233,278,510,88,179,265,683,873,1561,384,483,867,970,345,1313,14,32,49,84,99,180,1068,480,1543,3980,4318,8291,680,739,1423,2654,2846,5501,1872,2038,3912
SSC20035,7737,8221,15956,3646,2055,5705,917,1831,2745,217,236,455,411,352,766,5192,4476,9668,2152,3328,5484,7.9,7.9,7.9,67.1,54.4,60.6,61.8,50.1,55.8,264,282,543,89,188,279,858,1188,2038,610,785,1392,1668,764,2437,55,92,145,120,177,293,1841,1028,2870,7535,7889,15426,1049,1138,2187,5586,5838,11416,2665,2858,5522
SSC20036,4787,5115,9899,1934,1112,3043,525,796,1320,140,142,276,211,174,390,2801,2217,5021,1638,2514,4152,7.5,7.8,7.8,58.5,43.3,50.7,54.3,40.1,46.9,146,173,323,42,121,159,546,667,1210,295,403,701,886,364,1249,31,46,82,59,89,153,980,505,1483,4633,4837,9473,722,765,1493,3172,3382,6560,1848,1945,3795
SSC20037,51,56,108,23,15,39,7,14,19,3,0,3,0,0,0,31,32,58,15,12,31,0,0,0,60.8,57.1,53.7,64.7,51.8,56.5,0,0,0,0,0,0,6,4,13,3,8,12,14,9,15,0,0,0,0,0,0,14,9,15,56,54,108,0,3,6,44,41,90,9,20,26
SSC20038,32,28,59,8,4,7,5,6,12,3,0,3,0,4,3,12,15,24,11,14,27,0,26.7,12.5,37.5,53.6,40.7,50,35.7,37.3,0,0,0,0,0,3,3,0,0,0,3,3,5,4,6,0,0,0,0,0,0,5,8,9,30,29,56,0,4,3,19,20,41,12,9,20
SSC20039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20040,103,115,216,34,21,51,9,23,27,3,4,8,9,0,10,57,49,100,41,64,106,15.8,0,10,55.3,42.6,46.3,44.7,41.7,39.8,0,0,0,0,0,4,7,7,13,6,17,21,29,9,38,0,0,0,0,3,3,30,18,44,107,106,219,6,11,15,84,78,163,28,38,63
SSC20041,289,277,571,131,69,199,30,80,105,13,10,30,8,5,19,184,167,351,81,89,168,4.3,3,5.4,63.7,60.3,61.5,60.2,57.4,58.5,3,10,9,0,6,11,21,39,57,29,31,64,96,31,128,0,3,3,8,0,8,99,41,140,275,279,556,26,27,54,196,184,381,105,117,217
SSC20042,37,33,72,14,7,21,6,7,13,5,3,5,5,0,3,25,16,39,6,12,23,20,0,7.7,67.6,48.5,54.2,67.6,51.5,54.2,0,0,0,0,3,3,4,6,7,4,5,14,14,5,11,0,0,0,0,0,0,14,6,19,39,32,68,0,5,7,33,18,54,6,11,18
SSC20043,9,15,23,4,3,8,0,0,4,0,0,0,0,0,0,6,7,12,0,5,8,0,0,0,66.7,46.7,52.2,44.4,20,52.2,0,0,0,0,0,0,0,3,6,0,0,0,3,0,7,0,0,0,0,0,0,3,3,3,9,13,20,3,3,3,8,8,21,0,4,7
SSC20044,7,6,19,0,0,0,0,3,7,0,0,0,0,0,0,0,5,9,8,5,10,0,0,0,0,83.3,47.4,0,50,36.8,0,0,0,0,0,0,0,3,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,12,7,14,0,0,0,10,8,13,4,0,5
SSC20045,1046,1111,2160,398,210,607,147,313,465,29,46,78,18,10,32,596,588,1188,380,468,851,3,1.7,2.7,57,52.9,55,54.9,51.2,53.2,53,57,112,22,60,80,198,250,445,110,146,254,261,78,342,10,17,19,20,24,41,284,119,407,967,1004,1971,187,173,357,686,691,1382,418,461,876
SSC20046,8,13,23,7,0,7,0,4,3,0,0,3,0,0,0,5,5,11,0,3,8,0,0,0,62.5,38.5,47.8,87.5,30.8,56.5,0,0,0,0,0,0,0,3,3,0,0,0,3,0,3,0,0,0,0,0,0,3,0,4,14,12,26,0,0,0,11,5,22,0,4,5
SSC20047,36,22,60,15,3,16,0,7,6,0,0,0,0,0,0,19,6,25,12,15,27,0,0,0,52.8,27.3,41.7,41.7,45.5,36.7,0,0,0,0,0,0,0,0,0,0,3,4,4,5,8,0,0,0,0,0,0,8,7,11,26,26,51,6,3,6,28,20,52,4,3,6
SSC20048,681,704,1378,205,123,323,150,189,343,34,38,67,11,11,18,392,359,755,213,281,490,2.8,3.1,2.4,57.6,51,54.8,57.1,49.7,53.2,14,20,35,10,30,37,55,104,155,46,92,139,196,69,261,5,5,14,10,16,25,209,89,302,588,614,1200,106,112,219,392,394,784,274,294,571
SSC20049,8,5,11,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,4,6,0,0,0,0,60,27.3,0,60,27.3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,8,5,11,0,0,0,3,5,4,0,3,3
SSC20050,14,12,25,6,8,13,3,4,3,0,0,0,0,0,0,12,9,22,4,3,4,0,0,0,85.7,75,88,64.3,100,64,0,0,0,0,0,0,0,0,0,3,3,6,3,0,3,0,0,0,0,0,0,5,0,4,13,8,27,0,0,0,15,12,23,3,0,3
SSC20051,126,120,241,58,40,93,9,29,41,7,0,5,5,3,5,83,66,151,42,49,88,6,4.5,3.3,65.9,55,62.7,58.7,57.5,57.7,0,0,0,0,3,3,3,11,15,5,11,18,25,16,42,0,0,0,0,4,3,26,21,48,119,113,232,16,14,27,95,92,191,34,32,65
SSC20052,3830,3262,7094,1197,677,1879,400,769,1167,98,104,203,124,78,201,1820,1628,3451,1840,1453,3288,6.8,4.8,5.8,47.5,49.9,48.6,44.3,47.5,45.8,27,36,63,26,75,105,156,303,456,201,304,506,754,411,1167,35,47,77,42,74,113,832,527,1355,2950,3026,5973,530,532,1060,2146,2194,4338,1169,1242,2413
SSC20053,39,37,70,15,3,22,3,16,22,0,0,3,0,3,3,25,24,48,14,10,18,0,12.5,6.3,64.1,64.9,68.6,46.2,51.4,67.1,0,0,0,0,0,0,10,8,12,0,7,8,10,0,13,0,0,0,0,0,5,13,3,16,44,38,79,0,0,0,32,35,66,8,9,15
SSC20054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20055,92,79,174,55,26,81,16,26,39,4,3,9,3,0,4,73,61,131,19,18,32,4.1,0,3.1,79.3,77.2,75.3,81.5,69.6,74.1,4,0,3,3,4,6,3,10,21,6,13,20,23,10,36,0,0,0,0,0,0,30,12,41,105,80,179,7,11,19,80,55,138,31,34,64
SSC20056,39,33,65,18,12,22,4,13,15,4,0,3,0,0,0,24,25,44,7,3,16,0,0,0,61.5,75.8,67.7,66.7,75.8,61.5,0,0,0,0,0,0,0,0,0,3,5,4,12,3,19,0,0,0,3,0,3,16,4,19,22,24,52,11,4,12,19,15,31,20,15,34
SSC20057,8,12,23,7,4,7,0,0,0,0,0,0,0,0,0,9,4,7,6,4,12,0,0,0,112.5,33.3,30.4,87.5,33.3,30.4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,0,0,0,4,3,4,8,10,20,0,0,0,12,8,22,0,0,0
SSC20058,5,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,140,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,6,0,6,0,0,0,4,0,8,0,0,0
SSC20059,7,8,14,4,0,6,3,0,3,0,3,3,0,0,0,11,4,9,0,3,3,0,0,0,157.1,50,64.3,100,37.5,85.7,0,0,0,0,0,0,3,0,3,0,0,0,3,3,3,0,0,0,0,0,0,3,3,3,7,8,14,0,0,0,10,8,16,0,0,0
SSC20060,12,8,20,7,0,10,0,4,4,0,0,0,0,0,0,9,3,11,0,4,6,0,0,0,75,37.5,55,58.3,50,70,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,3,0,3,7,7,20,0,0,0,7,7,20,0,0,0
SSC20061,1287,1256,2544,500,260,757,184,218,404,46,39,85,98,82,178,828,599,1425,360,554,912,11.8,13.7,12.5,64.3,47.7,56,56.7,41.2,49,41,37,77,13,28,42,111,138,253,99,126,225,249,115,360,14,20,32,25,25,44,287,152,436,1182,1225,2405,223,184,410,722,759,1483,611,581,1192
SSC20062,209,198,404,97,57,157,26,49,76,11,12,20,4,3,9,142,123,264,34,51,85,2.8,2.4,3.4,67.9,62.1,65.3,64.1,59.6,62.6,0,4,3,3,3,6,8,13,25,8,19,26,48,17,64,0,3,3,0,3,3,48,22,70,195,164,364,24,32,54,149,146,299,61,46,105
SSC20063,15,11,30,7,5,9,0,0,0,0,0,0,0,0,0,10,4,14,6,3,5,0,0,0,66.7,36.4,46.7,46.7,45.5,30,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,3,5,14,11,19,0,0,0,6,11,18,0,0,0
SSC20064,99,92,193,23,12,34,14,16,31,4,3,9,9,7,12,47,36,83,48,54,101,19.1,19.4,14.5,47.5,39.1,43,41.4,33.7,38.3,0,0,0,0,3,3,4,8,10,5,9,10,31,13,39,0,5,5,4,3,5,35,15,49,89,81,172,10,8,21,79,71,147,23,20,43
SSC20065,3528,4287,7817,1782,1404,3187,528,962,1489,78,127,207,114,122,238,2508,2619,5123,759,1375,2130,4.5,4.7,4.6,71.1,61.1,65.5,67.7,58.2,62.5,446,452,906,111,194,306,1202,1390,2594,300,454,760,237,157,391,12,30,40,43,68,108,287,250,542,2980,3437,6416,734,982,1717,1746,2084,3835,1850,2251,4106
SSC20066,42,37,78,15,5,18,6,17,17,0,4,4,3,0,3,24,20,43,17,12,24,12.5,0,7,57.1,54.1,55.1,50,70.3,50,3,0,3,0,4,4,6,5,11,4,8,10,7,8,14,0,0,0,0,0,0,12,3,13,34,27,64,5,8,12,23,18,44,15,13,29
SSC20067,1526,1583,3107,991,507,1497,180,517,696,42,83,130,43,39,86,1261,1151,2407,169,341,513,3.4,3.4,3.6,82.6,72.7,77.5,79.5,69.9,74.8,54,60,109,11,72,88,220,313,535,178,221,392,485,247,730,12,19,28,26,29,56,517,298,816,1252,1278,2530,642,666,1312,104,117,222,1578,1639,3219
SSC20068,19,27,46,12,6,19,0,7,12,0,0,0,0,0,0,13,13,31,7,6,11,0,0,0,68.4,48.1,67.4,63.2,48.1,67.4,0,0,0,0,0,0,0,3,3,0,3,3,4,0,6,0,0,0,0,0,3,11,3,14,23,24,44,3,0,4,19,14,29,8,7,15
SSC20069,11,7,18,3,0,3,0,0,0,0,0,0,0,0,3,5,0,6,3,3,3,0,0,50,45.5,0,33.3,27.3,0,16.7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,5,0,4,6,3,13,0,0,0,6,3,13,0,0,0
SSC20070,204,207,405,94,47,136,29,57,83,10,3,9,5,0,5,136,104,234,52,83,139,3.7,0,2.1,66.7,50.2,57.8,65.2,51.7,56.3,3,3,10,4,11,12,23,39,63,27,21,46,60,10,71,0,0,4,3,3,6,60,18,78,209,207,413,12,16,22,160,154,321,50,58,109
SSC20071,150,163,309,72,25,90,20,57,74,4,3,10,7,3,8,99,84,187,41,69,111,7.1,3.6,4.3,66,51.5,60.5,64,52.1,56.3,15,11,19,7,16,19,22,34,63,14,16,24,38,16,51,0,0,3,0,6,9,42,26,64,164,177,344,13,14,27,122,128,250,51,54,99
SSC20072,39,33,77,23,7,22,5,12,21,0,3,3,0,0,0,28,24,50,16,9,26,0,0,0,71.8,72.7,64.9,71.8,66.7,59.7,0,0,0,0,3,3,0,5,6,7,0,7,11,6,16,0,0,0,0,0,0,11,4,20,49,36,87,0,3,9,47,32,78,4,6,15
SSC20073,758,783,1542,367,158,529,98,254,355,34,40,74,21,11,28,523,466,988,187,267,460,4,2.4,2.8,69,59.5,64.1,65.8,57.7,62.1,11,14,24,13,26,44,64,121,185,50,84,128,202,94,301,0,11,14,15,14,32,226,120,349,751,806,1564,111,128,236,494,491,988,315,371,688
