SSC_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
SSC20033,1088,3237,112,219,271,618,384,835,341,540,44,83,0,0,0,0,389,621,0,0,0,3,0,0,3,6,0,5,13,26,1876,4721,172,..,2046,4721
SSC20034,2515,6412,924,1659,573,1462,1501,3120,194,312,64,73,128,221,0,0,388,602,0,0,0,0,0,0,13,27,13,27,10,17,4415,10175,469,..,4890,10175
SSC20035,5169,13989,1172,2717,199,591,1375,3307,316,664,0,0,0,3,0,0,323,667,0,4,0,0,0,0,3,3,4,7,12,19,6874,17996,427,..,7302,17996
SSC20036,3070,8387,481,1041,530,1328,1008,2367,164,283,41,95,0,4,0,0,207,382,0,0,0,0,0,4,10,25,12,28,18,50,4310,11216,320,..,4630,11216
SSC20037,53,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,124,9,..,57,124
SSC20038,30,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,59,19,..,45,59
SSC20039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,3,0
SSC20040,100,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,213,32,..,133,213
SSC20041,233,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,239,610,10,..,251,610
SSC20042,25,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,73,40,..,75,73
SSC20043,12,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,26,5,..,19,26
SSC20044,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,10,..,17,13
SSC20045,907,2056,15,25,9,16,27,41,37,50,0,0,0,0,0,0,37,50,3,9,9,10,0,0,0,3,11,21,5,17,985,2185,1827,..,2812,2185
SSC20046,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,0,..,13,19
SSC20047,22,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,58,3,..,29,58
SSC20048,514,1101,33,41,17,28,50,73,30,45,0,0,0,0,0,0,27,46,0,0,12,25,0,0,7,8,16,34,3,8,606,1266,942,..,1554,1266
SSC20049,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,3,..,11,11
SSC20050,12,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,29,3,..,15,29
SSC20051,121,249,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,5,0,0,133,262,49,..,179,262
SSC20052,2802,6506,118,150,0,0,118,150,105,170,3,5,0,0,0,0,110,172,12,22,5,10,0,0,16,30,38,56,15,21,3076,6905,440,..,3519,6905
SSC20053,39,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,79,16,..,57,79
SSC20054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SSC20055,80,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,209,10,..,82,209
SSC20056,25,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,65,7,..,35,65
SSC20057,8,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,25,10,..,18,25
SSC20058,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,..,10,6
SSC20059,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,3,..,7,15
SSC20060,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,4,..,19,19
SSC20061,863,2345,121,268,69,174,191,440,3,0,0,0,0,3,3,8,6,12,0,3,22,19,0,0,0,0,23,23,3,6,1077,2835,121,..,1202,2835
SSC20062,133,374,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,6,0,0,141,384,15,..,159,384
SSC20063,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,24,3,..,15,24
SSC20064,91,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,204,23,..,117,204
SSC20065,1087,3070,428,936,322,735,752,1669,580,1045,1247,2155,157,272,0,0,1992,3472,0,0,0,0,0,0,19,30,19,30,12,16,3854,8264,538,..,4389,8264
SSC20066,33,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,78,8,..,39,78
SSC20067,1350,3927,10,19,4,26,12,44,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1362,3970,88,..,1452,3970
SSC20068,24,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,25,49,3,..,30,49
SSC20069,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,7,..,16,12
SSC20070,153,432,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,438,15,..,172,438
SSC20071,133,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,136,355,82,..,225,355
SSC20072,32,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,30,95,4,..,34,95
SSC20073,663,1828,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,3,668,1845,50,..,717,1845
SSC20074,2499,7028,643,1491,705,1766,1352,3256,487,868,1265,2409,50,77,0,0,1802,3350,0,0,0,0,0,0,23,57,21,55,27,52,5702,13742,525,..,6223,13742
SSC20075,64,169,3,8,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,72,183,19,..,85,183
SSC20076,1978,5946,304,608,217,628,521,1231,57,112,4,9,0,0,0,0,64,122,0,0,0,0,0,0,16,39,16,39,6,28,2591,7365,235,..,2823,7365
SSC20077,1531,4320,199,361,66,178,265,536,465,1094,0,0,199,312,0,0,666,1406,0,0,0,0,0,0,3,3,3,3,17,33,2481,6305,238,..,2712,6305
SSC20078,1646,4843,109,225,121,333,229,556,464,899,45,80,0,0,0,0,504,978,0,0,0,0,0,0,11,21,11,21,14,28,2410,6430,245,..,2653,6430
SSC20079,1735,5579,47,135,30,104,80,241,217,404,51,64,0,0,0,0,273,470,0,0,0,0,0,0,0,0,0,0,0,0,2092,6288,105,..,2198,6288
SSC20080,47,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,115,4,..,45,115
SSC20081,970,3146,7,20,21,49,26,67,0,0,0,0,0,0,0,0,0,0,3,0,76,105,0,0,0,0,78,109,3,11,1077,3331,35,..,1116,3331
SSC20082,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,..,4,3
SSC20083,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,..,0,13
SSC20084,75,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,79,232,26,..,103,232
SSC20085,389,931,3,4,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,3,3,6,395,945,51,..,448,945
SSC20086,484,1033,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,12,0,0,0,11,0,3,0,0,4,17,4,9,496,1066,96,..,596,1066
SSC20087,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,..,7,7
SSC20088,3194,8658,303,667,550,1513,851,2174,17,31,3,9,0,0,0,0,21,40,0,0,0,0,0,0,29,77,29,76,5,22,4109,10964,342,..,4449,10964
SSC20089,13,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,38,5,..,22,38
SSC20090,267,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,268,768,30,..,301,768
SSC20091,108,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,105,326,15,..,117,326
SSC20092,268,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,267,753,38,..,303,753
SSC20093,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,40,3,..,20,40
SSC20094,2097,5300,288,438,28,51,312,491,59,63,0,0,0,0,0,0,59,63,10,9,22,25,0,0,0,7,30,43,18,25,2515,5924,248,..,2766,5924
SSC20095,123,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,297,28,..,155,297
SSC20096,551,1422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,39,59,0,0,0,0,48,70,0,0,603,1492,52,..,651,1492
SSC20097,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,..,5,7
SSC20098,91,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,259,5,..,97,259
SSC20099,14,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,40,9,..,22,40
SSC20100,21,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,38,4,..,23,38
SSC20101,45,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,97,51,..,96,97
SSC20102,2650,5980,260,373,28,56,289,430,51,88,0,0,0,0,0,0,51,88,0,0,3,11,0,0,9,19,10,30,17,34,3020,6556,399,..,3419,6556
SSC20103,54,109,11,22,3,3,10,20,3,5,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,7,12,75,146,12,..,88,146
SSC20104,415,1101,274,650,197,490,467,1137,725,1350,645,1166,31,62,0,0,1404,2581,0,0,0,0,0,0,15,37,15,37,9,15,2310,4869,310,..,2622,4869
SSC20105,37,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,91,4,..,37,91
SSC20106,20,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,61,6,..,22,61
SSC20107,1016,2580,17,30,0,0,17,30,49,72,0,0,0,0,0,0,49,72,7,8,0,0,0,0,3,10,11,19,0,8,1100,2710,107,..,1212,2710
SSC20108,20,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,58,4,..,26,58
SSC20109,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,..,4,10
SSC20110,1636,3752,201,381,72,144,275,527,218,304,24,40,0,0,0,0,249,349,0,0,0,0,0,0,13,23,13,23,8,14,2186,4664,410,..,2597,4664
SSC20111,1875,4228,357,576,29,67,389,641,27,54,0,0,0,0,0,0,27,54,0,0,0,0,0,0,9,15,9,15,18,23,2314,4957,364,..,2677,4957
SSC20112,1368,3279,207,286,3,3,214,289,29,34,0,0,0,0,0,0,29,34,0,0,0,0,0,0,0,0,3,4,3,10,1609,3620,202,..,1817,3620
SSC20113,36,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,106,12,..,51,106
SSC20114,86,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,87,255,5,..,91,255
SSC20115,46,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,49,135,3,..,50,135
SSC20116,19,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,57,6,..,24,57
SSC20117,40,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,44,92,16,..,55,92
SSC20118,112,232,4,13,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,6,9,120,256,37,..,159,256
SSC20119,782,2031,5,13,3,10,10,19,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,3,0,3,0,5,796,2064,141,..,938,2064
SSC20120,158,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,353,201,..,359,353
SSC20121,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9,..,10,4
SSC20122,2906,8758,894,1786,357,983,1255,2770,356,681,130,260,119,184,0,0,603,1122,0,0,0,3,0,0,13,34,12,32,9,34,4791,12719,572,..,5369,12719
SSC20123,5653,17232,445,943,419,1221,864,2166,72,151,35,70,0,3,0,0,111,226,0,0,0,3,0,3,17,38,19,36,13,29,6662,19696,714,..,7372,19696
SSC20124,168,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,462,27,..,199,462
SSC20125,79,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,214,4,..,84,214
SSC20126,38,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,96,21,..,56,96
SSC20127,16,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,37,0,..,16,37
SSC20128,141,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,450,18,..,161,450
SSC20129,18,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,53,3,..,19,53
SSC20130,430,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,432,729,13,..,453,729
SSC20131,12,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,10,38,4,..,14,38
SSC20132,1626,4896,3,4,0,0,3,4,3,5,0,0,0,0,0,0,3,5,0,0,0,0,3,7,0,0,5,8,3,3,1642,4918,101,..,1745,4918
SSC20133,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,0,..,6,17
SSC20134,13,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,28,0,..,13,28
SSC20135,699,2077,5,12,0,4,10,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711,2093,64,..,774,2093
SSC20136,30,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,30,74,3,..,35,74
SSC20137,74,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,9,6,3,4,82,181,31,..,118,181
SSC20138,10,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,22,3,..,14,22
SSC20139,48,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,99,22,..,70,99
SSC20140,163,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,170,413,27,..,200,413
SSC20141,20,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,3,4,0,0,23,39,13,..,39,39
SSC20142,15,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,34,9,..,22,34
SSC20143,108,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,5,10,0,3,116,243,56,..,173,243
SSC20144,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,..,3,7
SSC20145,318,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,8,321,824,20,..,337,824
SSC20146,54,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,144,3,..,54,144
SSC20147,52,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,117,3,..,52,117
SSC20148,155,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,391,22,..,173,391
SSC20149,89,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,216,20,..,102,216
SSC20150,71,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,199,4,..,73,199
SSC20151,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,0,..,7,18
SSC20152,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,8,..,10,9
SSC20153,10,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,37,3,..,15,37
SSC20154,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,..,3,7
