SSC_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SSC20021,16,42,13,22,0,113,5,4,33,29,31,5,106,3,0,3,4,0,0,13,0,0,0,0,20,0,23,0,0,0,3,16,3,20,26,29,144,115,335,26,680
SSC20022,53,199,50,56,0,436,66,67,295,129,126,19,699,3,0,12,9,19,3,45,3,0,8,11,62,0,85,3,0,13,6,17,12,49,254,179,866,474,1032,96,2900
SSC20023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5
SSC20024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,15
SSC20025,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,10,0,21
SSC20026,4,4,3,3,0,20,3,3,4,3,6,4,17,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,6,9,9,18,19,51,7,112
SSC20027,3,19,11,8,0,39,7,5,29,23,24,5,85,0,0,3,0,0,0,6,0,0,0,3,20,4,31,0,0,3,0,14,0,22,18,8,94,74,249,26,475
SSC20028,0,0,0,0,0,3,0,0,3,0,7,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,11,6,30,0,51
SSC20029,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,19,3,39
SSC20030,0,3,0,3,0,8,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,7,26,0,40
SSC20031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5
SSC20032,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,3,14
SSC20033,65,123,24,7,3,333,116,32,161,36,18,7,377,11,7,29,10,6,0,63,10,4,14,7,15,0,49,8,3,26,7,5,5,51,456,225,960,261,281,49,2232
SSC20034,71,183,39,38,8,428,56,38,155,79,73,11,420,4,3,30,22,19,3,79,12,9,24,20,65,3,131,4,0,35,19,53,21,136,413,215,1255,621,1032,121,3667
SSC20035,77,228,84,74,7,554,65,48,244,154,184,19,717,7,0,24,23,49,3,102,6,10,33,46,149,11,251,15,7,49,41,113,28,252,460,236,1593,1043,2001,260,5587
SSC20036,51,151,38,26,5,337,35,27,122,67,83,12,344,4,4,13,9,18,3,53,3,5,14,32,79,12,143,16,4,37,22,65,13,160,269,142,1008,505,970,135,3033
SSC20037,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,13,4,37
SSC20038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,14
SSC20039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20040,0,0,0,0,0,3,0,0,4,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,31,7,49
SSC20041,0,7,3,3,0,10,3,0,6,5,9,3,31,0,0,0,0,3,0,4,0,0,0,3,4,0,8,0,0,0,0,11,6,14,7,6,36,41,105,12,216
SSC20042,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,11,0,24
SSC20043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,6
SSC20044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC20045,25,60,11,13,0,131,16,9,61,28,11,7,131,4,3,12,8,17,0,38,0,0,6,4,16,3,33,0,3,12,3,9,8,35,74,55,305,140,257,35,868
SSC20046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7
SSC20047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,15
SSC20048,11,24,3,0,0,44,9,4,15,11,11,0,51,3,0,0,0,5,0,6,0,0,0,0,7,0,8,0,0,4,3,4,0,14,22,27,101,91,209,29,480
SSC20049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC20050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,13
SSC20051,0,3,0,0,0,7,0,3,4,0,7,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10,14,29,7,68
SSC20052,32,75,21,20,3,159,20,21,105,82,150,16,389,0,0,4,7,6,0,23,4,4,3,17,69,3,98,0,0,4,3,32,14,64,46,76,338,307,968,148,1882
SSC20053,0,3,0,0,0,8,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,10,4,39
SSC20054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20055,0,5,0,3,0,14,0,0,4,3,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,19,17,33,3,82
SSC20056,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,3,0,0,0,4,14,4,24
SSC20057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC20058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC20059,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,8
SSC20060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4
SSC20061,15,30,14,18,3,79,13,7,33,26,36,7,128,0,0,5,3,4,4,17,0,0,11,10,28,0,49,0,0,4,4,11,5,40,62,41,207,162,290,43,802
SSC20062,0,5,0,0,0,17,3,0,3,3,5,0,12,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,4,3,7,3,3,26,22,48,10,118
SSC20063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9
SSC20064,0,3,3,0,0,8,0,0,3,0,9,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,7,26,6,48
SSC20065,55,140,27,17,7,367,137,45,288,61,29,23,579,16,0,45,14,12,3,85,13,3,22,23,16,4,81,16,3,93,22,22,16,164,742,236,2031,497,394,114,4005
SSC20066,0,0,0,0,0,0,0,0,3,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,11,0,26
SSC20067,30,115,30,20,3,228,29,28,114,63,57,10,298,0,0,3,7,14,0,24,0,0,14,11,45,0,66,0,0,7,10,22,6,49,96,76,469,343,696,46,1731
SSC20068,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,12
SSC20069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC20070,0,8,0,0,0,13,3,3,9,4,0,0,17,0,0,0,0,0,0,0,0,0,0,3,12,0,17,0,0,0,0,0,0,3,10,12,45,31,60,3,158
SSC20071,0,10,0,0,0,17,5,0,8,3,6,0,22,0,0,3,0,0,0,3,0,0,0,0,5,0,5,0,0,0,4,0,0,4,16,12,43,13,48,4,134
SSC20072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,16,0,25
SSC20073,8,42,14,10,3,79,7,14,38,24,33,10,120,0,0,3,3,6,0,15,0,0,0,3,19,0,25,0,0,5,0,9,0,12,22,36,153,100,266,26,605
SSC20074,118,283,56,43,16,715,158,86,393,118,88,19,857,17,18,95,33,37,7,209,19,7,46,24,60,0,163,24,11,58,24,30,32,170,917,437,2541,816,1012,151,5879
SSC20075,5,3,0,0,0,14,0,4,6,0,0,0,13,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,14,11,22,5,11,4,75
SSC20076,53,145,30,15,8,363,72,43,207,59,32,14,426,8,3,29,10,5,0,56,13,3,16,16,32,0,74,12,4,41,12,24,8,105,560,237,1315,374,336,60,2883
SSC20077,34,113,22,16,3,274,50,29,164,51,55,3,353,10,0,24,4,11,0,52,3,4,17,12,33,0,77,10,9,42,8,10,8,85,378,151,1035,344,392,59,2353
SSC20078,54,178,38,33,8,379,31,29,137,58,56,3,314,4,3,18,8,22,3,50,9,3,16,19,41,3,94,15,0,28,17,32,9,94,258,142,887,466,711,77,2542
SSC20079,14,106,35,30,7,234,32,20,126,52,67,9,317,4,0,16,9,18,0,49,0,0,13,12,51,3,87,14,0,10,21,36,16,91,195,78,705,452,705,114,2242
SSC20080,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,7,19,0,37
SSC20081,20,46,14,11,0,107,10,13,59,34,19,3,135,0,0,4,3,7,0,18,0,0,12,10,47,0,65,0,3,5,4,21,10,47,44,44,267,227,439,46,1078
SSC20082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5
SSC20084,3,3,3,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,3,5,0,11,0,0,0,0,0,0,0,0,4,11,14,21,3,55
SSC20085,0,14,4,4,0,33,0,0,14,7,10,0,32,0,0,3,0,3,0,12,0,0,3,0,5,0,10,0,0,0,3,0,9,14,18,6,62,71,144,27,327
SSC20086,0,10,4,4,0,17,0,0,7,6,15,3,39,0,0,0,0,3,0,3,0,0,0,3,5,0,7,0,0,0,0,4,0,7,5,5,45,47,102,19,221
SSC20087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20088,39,144,43,34,6,333,55,18,183,60,77,22,414,0,0,15,17,12,0,45,11,4,26,28,91,14,167,13,0,33,26,40,32,140,279,123,1140,517,924,157,3142
SSC20089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,11
SSC20090,7,15,9,3,0,42,3,0,10,4,13,0,37,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,5,0,10,17,12,73,46,141,10,300
SSC20091,0,3,3,0,0,15,0,0,5,3,4,0,16,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,8,13,25,19,42,3,112
SSC20092,10,3,0,0,0,20,3,3,5,6,14,3,35,0,0,0,0,0,0,3,0,0,3,0,5,0,7,0,0,0,0,9,4,12,9,25,40,36,136,9,248
SSC20093,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,12
SSC20094,24,85,27,32,6,209,12,18,79,48,59,11,222,3,0,9,6,8,0,31,0,5,6,15,52,3,81,4,0,9,7,26,7,58,95,75,376,296,764,69,1668
SSC20095,0,3,0,0,0,8,0,0,0,3,8,0,14,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,18,22,52,15,96
SSC20096,9,8,9,5,0,44,6,3,15,15,26,3,68,3,0,11,3,0,0,16,0,0,0,0,25,0,26,0,0,3,3,16,0,25,19,12,79,94,243,22,463
SSC20097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3
SSC20098,0,3,0,0,0,8,0,0,3,3,0,0,15,0,0,0,0,0,0,4,0,0,0,0,3,0,4,0,0,0,0,3,0,9,3,5,19,15,49,5,100
SSC20099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,9
SSC20100,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,16
SSC20101,0,0,0,0,0,0,0,0,4,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,4,7,10,4,39
SSC20102,25,76,28,44,3,196,24,20,98,97,147,15,398,0,0,4,4,5,0,18,0,0,5,22,65,3,102,0,0,5,11,24,10,55,60,64,336,321,932,115,1823
SSC20103,0,0,0,0,0,7,0,0,4,3,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,16,4,23,3,49
SSC20104,42,111,32,19,6,298,70,35,148,45,26,6,334,14,3,28,14,8,3,75,11,0,13,25,19,0,71,19,3,29,18,16,10,83,456,149,1091,357,377,64,2494
SSC20105,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,9,29
SSC20106,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,11
SSC20107,9,37,20,18,3,93,6,18,40,22,42,3,131,0,0,0,4,0,0,8,0,5,3,3,19,0,27,0,0,5,3,28,0,40,35,48,175,129,373,38,806
SSC20108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,11,0,19
SSC20109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20110,61,116,45,29,6,300,88,57,236,54,57,10,504,3,0,16,6,9,0,33,4,3,10,13,33,0,57,3,3,11,3,12,3,39,214,154,678,292,456,48,1843
SSC20111,47,83,18,36,0,232,27,22,141,60,75,10,332,3,0,14,5,6,4,33,0,0,3,15,34,3,60,4,0,7,9,17,8,34,105,116,458,241,582,58,1564
SSC20112,25,93,10,10,6,195,28,28,76,37,53,4,226,0,0,3,4,8,0,12,0,0,0,8,20,3,36,0,0,3,3,15,0,26,98,68,295,194,414,44,1122
SSC20113,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,3,16
SSC20114,0,5,0,0,0,5,0,0,0,5,3,0,16,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,3,6,0,8,4,3,12,15,39,8,86
SSC20115,0,0,0,0,0,7,0,3,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,5,8,14,3,41
SSC20116,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,4,0,16
SSC20117,0,3,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,5,9,21,0,38
SSC20118,6,3,0,0,0,14,0,0,7,0,10,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,13,10,39,4,73
SSC20119,17,67,17,9,3,118,7,9,41,33,23,6,117,0,0,4,4,7,0,14,0,0,3,4,7,0,16,0,0,3,4,9,4,24,42,39,221,165,284,42,801
SSC20120,9,11,3,0,0,25,3,0,9,5,6,3,27,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,3,15,13,38,20,32,3,123
SSC20121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
SSC20122,65,208,43,20,9,513,175,52,401,89,47,38,794,8,3,30,8,9,0,62,11,6,36,10,35,6,104,28,4,85,29,27,25,202,915,264,2149,586,490,153,4565
SSC20123,130,366,72,37,18,837,241,80,590,138,90,41,1183,15,7,44,21,20,3,113,17,11,65,33,61,4,189,40,14,103,33,34,31,259,1197,436,3348,905,860,231,6968
SSC20124,5,4,0,0,0,11,0,3,6,11,11,0,24,0,0,0,0,0,0,3,0,0,0,0,5,0,10,0,0,0,0,3,0,3,3,8,25,21,80,8,149
SSC20125,0,3,0,0,0,8,0,0,3,7,0,0,15,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,3,0,0,11,17,34,4,68
SSC20126,0,4,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,10,5,41
SSC20127,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,19
SSC20128,0,9,5,3,0,13,0,0,12,6,3,0,19,0,0,0,0,0,0,0,0,0,0,3,11,0,10,0,0,0,3,3,0,9,7,6,47,48,99,9,220
SSC20129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,0,18
SSC20130,0,3,0,0,0,3,0,0,0,4,9,0,11,0,0,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,4,0,3,5,0,9,19,58,5,96
SSC20131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,3,3,6,0,11
SSC20132,26,85,34,27,0,197,9,20,81,50,101,9,277,0,0,7,7,0,0,13,0,0,3,14,55,0,81,0,0,4,4,33,11,60,49,64,305,321,870,71,1682
SSC20133,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC20134,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,10
SSC20135,8,49,14,9,0,90,16,14,51,26,34,3,147,0,0,0,5,3,0,9,0,0,0,6,25,0,32,0,0,8,3,16,0,33,40,36,176,153,363,20,796
SSC20136,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,7,9,3,28
SSC20137,0,3,3,0,0,3,0,0,3,3,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,10,5,31,4,58
SSC20138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7
SSC20139,5,3,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,6,4,8,6,16,3,45
SSC20140,6,6,0,0,0,27,4,4,11,3,5,3,32,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,16,15,44,28,49,3,148
SSC20141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,11
SSC20142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11
SSC20143,0,0,3,0,0,8,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,3,4,3,0,5,3,25,4,45
SSC20144,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8
SSC20145,14,9,4,6,0,32,3,0,18,21,12,3,58,0,0,0,6,3,0,12,0,0,0,3,19,0,16,0,0,0,0,9,3,17,4,18,42,70,156,25,319
SSC20146,0,0,0,0,0,10,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,9,7,22,3,49
