SSC_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SSC20098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20101,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,3,0,4
SSC20102,0,0,0,0,0,0,0,4,10,86,111,15,207,9,14,23,224,179,10,411
SSC20103,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,6,3,0,5
SSC20104,0,0,0,0,0,0,0,0,4,54,36,0,91,0,0,4,93,40,0,137
SSC20105,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5
SSC20106,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3
SSC20107,0,0,0,0,0,0,0,0,0,22,26,4,58,0,6,6,66,51,0,112
SSC20108,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4
SSC20109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20110,0,3,0,0,0,3,0,0,9,63,60,8,127,7,7,10,141,83,0,224
SSC20111,0,0,0,0,0,0,0,0,3,82,66,5,153,3,12,14,167,126,4,302
SSC20112,0,0,0,0,3,3,6,0,6,37,41,3,81,9,12,15,95,85,0,180
SSC20113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6
SSC20114,0,0,0,0,0,0,0,0,0,7,0,0,3,0,3,3,9,4,0,13
SSC20115,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0,8
SSC20116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20118,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,3,0,4
SSC20119,0,0,0,0,0,0,0,0,0,28,26,0,51,0,4,4,56,16,0,71
SSC20120,0,0,0,0,0,0,0,0,0,7,5,0,12,0,0,0,12,0,0,17
SSC20121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20122,0,0,3,0,3,4,0,0,3,185,121,10,321,11,13,22,343,229,3,575
SSC20123,0,0,0,0,0,3,3,5,13,243,165,21,423,19,8,26,453,305,7,763
SSC20124,0,0,0,0,0,0,0,0,0,0,3,0,10,0,4,4,11,8,0,19
SSC20125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC20126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20128,0,0,0,0,0,0,0,0,0,4,3,0,7,0,0,0,7,10,0,15
SSC20129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20130,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,7,15,0,20
SSC20131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20132,0,0,0,0,0,0,0,0,3,55,51,0,103,3,7,9,112,48,0,160
SSC20133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20135,0,0,0,0,0,0,0,0,0,26,15,0,39,3,0,3,42,24,0,59
SSC20136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC20138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC20140,0,0,0,0,0,0,0,0,0,6,3,0,12,0,0,0,12,3,0,15
SSC20141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20142,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3
SSC20143,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,6,0,13
SSC20144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20145,0,0,0,0,0,0,0,0,0,8,11,0,29,0,0,0,30,7,0,33
SSC20146,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,4,0,0,3
SSC20147,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,3,7,0,9
SSC20148,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,6,0,0,6
SSC20149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20150,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,5,0,6
SSC20151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC20159,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,3
SSC20160,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,4,0,0,4
SSC20161,0,0,0,0,0,0,0,0,0,51,52,3,98,3,3,7,104,25,0,134
SSC20162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20163,0,0,0,0,0,0,0,0,0,0,5,0,3,0,3,3,5,7,0,11
SSC20164,0,0,0,0,0,0,0,0,0,4,0,0,10,0,0,0,10,3,0,13
SSC20165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20168,0,0,0,0,0,0,0,0,0,41,31,4,81,5,3,6,90,39,0,123
SSC20169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20170,0,0,0,0,0,0,0,0,3,0,3,0,6,0,0,0,6,10,3,15
SSC20171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20172,0,10,0,0,0,10,3,3,19,175,161,21,355,12,17,27,385,210,4,600
SSC20173,0,4,0,0,0,4,3,0,5,150,103,7,262,8,6,14,277,165,3,442
SSC20174,0,3,0,0,0,3,0,0,3,76,64,7,144,0,9,5,149,57,0,208
SSC20175,0,0,0,0,0,0,0,0,0,24,19,0,41,0,0,0,41,19,0,58
SSC20176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7
SSC20177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
SSC20178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20180,0,0,0,0,0,0,0,3,3,11,18,0,30,0,0,3,39,24,3,63
SSC20181,0,0,0,0,0,3,3,0,3,126,80,9,218,3,6,8,225,135,0,362
SSC20182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20183,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,7,6,3,20
SSC20184,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,8,0,0,6
SSC20185,0,0,0,0,0,0,0,0,4,47,54,6,106,7,7,11,116,53,3,172
SSC20186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20187,0,0,0,0,0,0,0,0,3,60,68,5,129,3,7,10,134,50,0,184
SSC20188,0,3,0,0,0,3,0,0,3,15,19,4,36,0,0,5,40,20,0,62
SSC20189,0,3,0,0,0,3,0,0,0,18,14,0,26,0,0,0,32,13,0,45
SSC20190,0,0,0,0,0,0,8,0,6,75,53,6,140,9,3,16,155,134,3,291
SSC20191,0,0,0,0,0,0,5,0,6,67,77,3,146,10,10,18,163,102,3,271
SSC20192,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,4,3,0,4
SSC20193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20194,0,0,0,0,0,0,0,0,0,8,10,0,13,3,3,3,19,8,0,26
SSC20195,0,0,0,0,0,0,0,0,0,3,3,0,6,0,0,0,7,5,0,9
SSC20196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20197,0,0,0,0,0,0,0,3,4,26,21,4,49,0,0,3,48,52,6,101
SSC20198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC20200,0,0,0,0,0,4,3,0,3,209,178,25,406,17,15,28,438,226,3,662
SSC20201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5
SSC20203,0,0,0,0,0,4,13,3,22,111,135,12,254,13,9,26,280,231,3,519
SSC20204,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,3
SSC20205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20206,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,4,3,0,6
SSC20207,0,0,0,0,0,0,7,0,4,74,71,9,158,7,10,18,179,99,0,281
SSC20208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC20210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20211,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,3
SSC20212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20213,0,3,0,0,0,3,4,3,7,195,149,12,360,14,11,27,381,196,4,588
SSC20214,0,12,0,0,0,12,10,4,26,388,258,32,683,25,32,51,738,420,9,1170
SSC20215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20218,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,9
SSC20219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11
SSC20221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20222,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0,3
SSC20223,4,16,0,0,0,16,7,0,24,712,428,37,1176,34,46,76,1252,507,4,1773
SSC20224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20225,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,4,0,10
SSC20226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC20227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20228,0,0,0,0,0,0,0,0,0,9,7,0,19,0,0,0,19,0,0,21
SSC20229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
SSC20230,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,3,0,7
SSC20231,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,4,0,7
SSC20232,0,0,0,0,0,0,0,0,3,18,20,3,31,0,3,3,35,29,0,69
SSC20233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20234,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,3,0,5
SSC20235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC20237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
SSC20242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20243,0,0,0,0,0,0,0,0,0,5,6,0,15,0,0,0,15,12,0,25
SSC20244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20245,0,0,0,0,0,0,0,0,0,7,0,0,11,0,0,0,11,3,0,11
SSC20246,0,0,0,0,0,0,0,0,0,6,14,0,19,0,0,0,17,6,0,26
SSC20247,0,6,0,0,0,6,0,0,8,34,34,4,79,0,3,3,81,41,0,126
SSC20248,0,4,0,0,0,4,0,0,4,25,26,5,58,3,0,7,63,42,0,114
SSC20249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20250,0,0,0,0,0,0,0,0,0,57,40,3,109,3,3,10,116,55,0,166
SSC20251,0,0,0,0,0,0,3,3,10,145,100,3,252,10,3,13,267,168,8,439
SSC20252,0,3,0,0,0,3,0,0,3,82,81,3,168,6,8,16,183,129,3,317
SSC20253,0,0,0,0,0,0,7,0,9,122,96,6,230,12,0,12,243,167,3,412
SSC20254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20255,0,0,0,0,0,0,0,0,0,6,3,0,6,0,0,0,6,8,0,15
SSC20256,0,0,0,0,0,0,0,0,0,17,21,0,40,0,0,0,41,28,0,68
SSC20257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20258,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,7
SSC20259,0,0,0,0,0,0,0,0,0,14,16,6,28,4,0,6,30,12,0,48
SSC20260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
SSC20261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC20263,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,5
SSC20264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20265,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,0,0,6
SSC20266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
SSC20267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5
SSC20270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20271,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3
SSC20272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20273,0,0,0,0,0,0,0,0,0,8,4,0,8,0,0,0,8,7,0,15
SSC20274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC20276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20277,0,0,0,0,0,0,0,0,7,82,81,6,170,4,10,13,180,89,0,272
SSC20278,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,7
SSC20279,0,0,0,0,0,0,0,0,0,3,4,3,6,0,0,0,6,3,0,11
SSC20280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20281,0,0,0,0,0,0,0,0,0,4,3,0,7,0,0,0,7,9,0,18
SSC20282,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4
SSC20283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
SSC20284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20286,0,0,0,0,0,0,0,0,3,3,8,0,14,3,0,3,16,10,0,30
SSC20287,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4
SSC20288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
