SSC_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SSC20013,60,58,117,3,0,4,0,0,0,0,8,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,14,0,0,0,0,0,0,10,7,15,6,3,12,73,71,143
SSC20014,2899,3071,5971,71,71,142,6,5,12,287,353,638,9,9,16,0,3,3,3,0,4,0,0,0,0,0,0,4,0,0,0,0,0,304,372,677,35,32,68,13,4,17,422,482,907,291,300,592,3609,3858,7472
SSC20015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20016,2225,2144,4371,38,36,68,6,8,14,218,202,419,3,6,10,3,0,3,3,0,8,0,0,3,0,0,0,0,0,0,0,0,0,236,220,454,44,49,92,3,3,7,323,308,625,222,199,422,2774,2649,5423
SSC20017,2253,2357,4606,105,111,210,21,14,33,227,259,484,17,15,34,3,0,4,4,6,12,0,0,0,0,0,3,0,0,0,0,0,0,281,294,570,63,71,132,6,7,16,446,481,932,299,313,615,3001,3150,6146
SSC20018,110,97,207,5,3,12,4,3,4,9,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,23,0,0,0,0,0,0,15,9,33,18,9,25,144,119,262
SSC20019,33,40,66,3,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,0,3,3,35,42,77
SSC20020,1731,1494,3227,65,52,117,10,7,19,277,208,481,6,10,17,6,3,6,6,3,5,3,0,4,0,3,3,0,0,3,0,0,0,305,235,542,109,104,215,8,13,13,482,398,881,305,249,551,2520,2135,4658
SSC20021,1024,1094,2115,90,99,190,4,3,5,48,57,104,0,0,4,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,54,65,115,7,4,12,4,0,4,158,166,324,117,116,230,1301,1372,2675
SSC20022,3302,3535,6838,186,207,391,17,11,27,550,538,1089,13,17,28,5,15,22,4,3,6,4,8,8,3,0,4,0,4,5,0,0,0,599,592,1188,29,40,70,3,8,18,813,843,1660,306,310,622,4423,4686,9111
SSC20023,9,12,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,19
SSC20024,33,28,57,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,3,0,7,18,10,27,52,39,94
SSC20025,32,29,55,3,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,8,9,5,15,38,40,79
SSC20026,138,131,267,4,3,5,16,4,21,3,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,16,8,28,0,0,0,0,0,0,24,13,32,6,6,18,168,146,313
SSC20027,619,582,1207,19,19,36,3,0,3,33,43,76,0,0,4,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,40,46,86,7,3,9,0,0,0,67,67,132,76,77,159,761,728,1496
SSC20028,74,70,141,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,11,13,25,86,83,166
SSC20029,58,52,107,0,0,5,0,0,0,4,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,7,13,0,0,0,0,0,0,3,11,17,6,5,8,64,64,129
SSC20030,94,91,183,0,0,0,0,0,3,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,0,0,3,0,0,0,4,8,11,4,4,6,99,101,198
SSC20031,14,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,25
SSC20032,19,19,40,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,5,6,0,0,3,26,20,46
SSC20033,1821,2048,3860,34,40,75,4,8,15,280,291,570,9,7,16,0,9,9,0,0,5,3,3,3,0,3,3,3,0,3,0,0,0,304,324,628,47,50,102,3,0,3,393,411,802,178,198,377,2388,2659,5044
SSC20034,3980,4318,8291,161,178,335,18,16,26,408,430,842,14,11,27,6,10,15,9,8,14,0,3,6,0,0,0,3,0,7,0,0,0,454,485,932,61,76,137,5,5,13,680,739,1423,460,452,914,5115,5509,10627
SSC20035,7535,7889,15426,206,258,468,18,26,46,660,660,1317,10,13,27,5,3,12,13,14,33,3,10,12,3,0,3,3,0,3,0,0,0,715,724,1446,116,141,254,11,16,26,1049,1138,2187,645,657,1301,9226,9687,18911
SSC20036,4633,4837,9473,168,172,337,17,14,35,443,456,897,16,11,24,3,9,11,7,5,11,0,0,0,3,4,7,3,0,3,0,0,0,487,509,994,50,66,119,14,22,38,722,765,1493,480,516,997,5837,6124,11957
SSC20037,56,54,108,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,3,6,3,5,16,59,69,132
SSC20038,30,29,56,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,4,3,0,3,5,37,29,65
SSC20039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20040,107,106,219,0,3,3,0,0,0,3,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,14,0,0,0,0,0,0,6,11,15,3,3,10,116,125,248
SSC20041,275,279,556,4,8,10,0,0,0,22,25,44,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21,46,0,0,0,0,0,0,26,27,54,39,34,73,348,343,683
SSC20042,39,32,68,3,0,3,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,5,7,4,3,5,45,36,80
SSC20043,9,13,20,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,3,3,3,3,3,3,15,15,28
SSC20044,12,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,21
SSC20045,967,1004,1971,55,55,112,4,3,9,102,96,197,7,3,7,3,0,3,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,115,109,224,10,5,20,3,3,3,187,173,357,102,92,194,1257,1268,2523
SSC20046,14,12,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,13,12,28
SSC20047,26,26,51,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,6,3,6,4,0,8,35,28,63
SSC20048,588,614,1200,39,39,77,3,3,8,44,52,92,5,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,68,112,16,10,29,0,0,3,106,112,219,88,78,165,783,806,1584
SSC20049,8,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,11
SSC20050,13,8,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,29
SSC20051,119,113,232,5,3,11,0,0,0,3,3,6,0,0,0,4,3,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,8,20,0,0,0,0,0,0,16,14,27,8,10,14,139,130,271
SSC20052,2950,3026,5973,277,290,567,14,10,29,175,158,332,16,9,24,11,12,20,9,12,23,3,0,3,0,0,3,0,0,0,0,0,0,224,205,431,13,35,54,8,7,10,530,532,1060,945,248,1191,4417,3810,8226
SSC20053,44,38,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,37,79
SSC20054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20055,105,80,179,4,10,13,0,0,0,3,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,0,0,0,0,0,0,7,11,19,11,9,12,118,98,215
SSC20056,22,24,52,0,0,3,0,0,0,11,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,10,0,0,0,0,0,0,11,4,12,5,0,9,38,33,70
SSC20057,8,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,20
SSC20058,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
SSC20059,7,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,14
SSC20060,7,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,12,14,22
SSC20061,1182,1225,2405,25,17,41,5,8,12,148,123,274,6,5,9,3,0,3,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,167,137,308,25,25,51,3,9,15,223,184,410,125,114,241,1534,1521,3052
SSC20062,195,164,364,3,9,11,0,0,0,19,10,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,20,16,34,3,3,7,0,6,6,24,32,54,38,24,68,261,221,485
SSC20063,14,11,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,12,23,12,35
SSC20064,89,81,172,7,9,9,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,0,0,0,0,0,0,10,8,21,6,16,21,108,101,215
SSC20065,2980,3437,6416,90,114,211,22,29,53,489,646,1133,11,20,38,10,6,20,8,5,18,4,4,8,3,3,4,7,12,16,0,0,0,554,735,1285,86,120,210,0,10,8,734,982,1717,383,442,821,4092,4863,8960
SSC20066,34,27,64,0,0,0,0,0,0,9,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,13,0,4,7,0,0,0,5,8,12,3,6,11,50,42,88
SSC20067,1252,1278,2530,95,100,199,7,7,14,515,520,1030,4,11,20,0,0,0,0,0,4,0,0,0,7,0,7,4,3,5,0,0,0,537,549,1084,10,13,22,5,3,9,642,666,1312,139,145,286,2033,2088,4126
SSC20068,23,24,44,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,4,0,0,0,25,27,47
SSC20069,6,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,11,7,18
SSC20070,209,207,413,0,0,0,0,0,0,7,12,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,20,0,0,0,0,0,0,12,16,22,20,32,55,244,251,492
SSC20071,164,177,344,3,0,0,0,0,0,11,10,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,22,0,0,4,0,0,0,13,14,27,9,12,23,191,201,392
SSC20072,49,36,87,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,3,9,0,3,0,54,45,96
SSC20073,751,806,1564,16,22,34,0,0,0,81,91,169,5,7,10,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,88,99,191,3,3,10,3,0,6,111,128,236,70,64,135,936,999,1931
SSC20074,5358,5577,10929,123,143,262,38,43,78,692,761,1456,20,27,49,0,9,10,10,12,22,5,8,12,0,3,4,16,15,25,0,0,0,787,879,1661,145,167,310,14,17,35,1061,1201,2263,636,686,1319,7055,7466,14516
SSC20075,82,80,159,0,0,0,0,0,0,13,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,18,0,0,0,0,0,0,12,6,18,6,8,14,98,94,196
SSC20076,3046,3175,6223,41,41,83,22,14,39,330,333,661,10,6,16,8,3,9,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,370,360,729,81,65,140,4,3,8,489,472,957,229,245,480,3766,3896,7663
SSC20077,2483,2708,5191,75,65,138,10,3,13,304,331,637,7,3,11,0,3,3,7,3,12,0,0,0,0,0,0,3,3,7,0,0,0,336,349,681,77,88,170,5,8,17,492,513,1003,316,320,637,3287,3548,6835
SSC20078,2807,2916,5720,45,55,103,9,11,17,244,231,479,3,5,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,261,246,502,16,32,48,3,3,3,333,330,662,240,241,480,3376,3484,6865
SSC20079,2794,2897,5689,53,34,85,0,3,3,146,162,305,0,5,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,151,171,324,17,20,36,0,3,3,219,223,443,149,181,333,3165,3298,6465
SSC20080,50,50,102,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,8,6,6,10,59,64,119
SSC20081,1461,1512,2972,26,26,56,3,3,4,63,77,138,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,65,84,150,14,16,29,3,0,3,111,123,237,91,95,189,1663,1729,3391
SSC20082,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,7,6,10
SSC20083,3,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,13
SSC20084,108,85,194,11,5,17,0,0,0,8,0,5,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,14,28,23,55,0,0,0,51,37,84,9,9,15,164,129,295
SSC20085,427,395,817,19,17,37,0,0,0,26,30,54,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,34,31,67,0,14,11,0,3,3,47,69,116,57,45,99,531,507,1034
SSC20086,495,472,965,27,34,61,0,3,3,20,19,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,26,47,0,0,0,0,0,0,51,58,102,62,56,119,609,583,1190
SSC20087,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,8,0,0,0,8,0,7
SSC20088,4612,4875,9482,163,145,307,15,9,27,348,358,707,6,6,14,0,3,3,5,7,14,3,0,3,0,0,0,0,0,0,0,0,0,371,394,765,66,83,149,11,6,17,609,627,1231,384,405,785,5604,5898,11503
SSC20089,13,14,35,0,0,0,0,0,0,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,10,0,0,0,0,0,0,5,6,10,0,0,0,20,18,38
SSC20090,357,324,678,15,10,20,0,0,0,20,28,51,0,0,3,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,29,31,54,3,4,9,0,0,3,41,48,90,42,28,72,444,403,839
SSC20091,144,146,285,3,3,3,3,0,3,12,11,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,37,0,0,0,0,0,0,22,20,38,14,17,28,177,175,352
SSC20092,334,319,659,0,0,0,0,0,0,20,25,46,3,4,5,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,26,34,56,0,0,0,0,0,0,26,34,58,36,36,71,395,392,789
SSC20093,14,12,31,0,0,4,0,0,0,0,4,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,9,0,0,0,0,0,0,4,5,12,0,0,0,20,22,45
SSC20094,2396,2676,5073,175,189,368,3,5,10,146,157,309,3,0,3,3,0,5,9,9,17,0,3,3,0,0,3,0,0,0,0,0,0,170,181,349,10,15,21,8,3,11,359,385,745,246,274,513,3000,3337,6339
SSC20095,135,124,260,0,3,3,0,0,0,16,16,32,0,0,3,0,0,0,0,0,4,3,0,3,0,0,0,0,0,0,0,0,0,16,19,40,0,3,3,0,0,0,16,25,45,23,14,39,173,165,335
SSC20096,672,655,1331,20,24,52,3,0,4,30,40,69,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,35,42,80,3,3,8,0,0,0,64,79,138,42,34,71,781,768,1542
SSC20097,6,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,8
SSC20098,124,117,240,0,0,0,0,0,0,12,12,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,23,0,0,0,0,0,0,11,8,25,12,9,21,144,136,287
SSC20099,20,14,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,17,16,30
SSC20100,18,8,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,23,17,35
SSC20101,51,42,98,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,7,3,10,59,51,107
SSC20102,2550,2939,5492,255,302,559,15,24,38,214,217,429,20,28,50,9,9,14,4,5,15,0,0,0,3,3,5,3,3,7,0,0,0,262,282,549,16,11,31,5,7,14,544,615,1152,393,444,834,3486,3992,7483
SSC20103,59,61,119,0,0,0,0,0,0,10,13,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,23,0,0,3,0,0,0,7,13,26,7,4,15,76,81,158
