SSC_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SSC20034,..,1405,1405,1375,140,1508,620,14,635,607,0,607,185,0,182,70,3,75,2859,1559,4415
SSC20035,..,1565,1565,2013,157,2169,1279,27,1303,1197,11,1206,437,8,441,190,3,191,5117,1762,6874
SSC20036,..,1104,1104,1336,93,1424,693,42,731,580,5,586,255,6,263,200,3,203,3066,1243,4310
SSC20037,..,13,13,9,4,16,4,0,4,7,0,7,0,0,0,0,0,0,28,19,53
SSC20038,..,3,3,15,0,10,7,0,7,0,0,0,0,0,0,0,0,0,20,8,30
SSC20039,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20040,..,28,28,44,5,44,8,0,9,8,0,8,5,0,5,3,0,3,63,37,100
SSC20041,..,50,50,94,4,101,36,0,35,28,0,28,24,0,24,5,0,5,186,56,239
SSC20042,..,4,4,13,0,13,6,0,6,4,0,4,0,0,0,0,0,0,21,4,32
SSC20043,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12
SSC20044,..,4,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9
SSC20045,..,309,309,360,19,379,109,4,115,121,0,121,48,0,48,8,0,8,648,332,985
SSC20046,..,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7
SSC20047,..,6,6,7,0,7,11,0,11,0,0,0,0,0,0,0,0,0,16,6,21
SSC20048,..,215,215,224,16,241,62,0,63,55,0,55,28,0,24,5,0,5,375,230,606
SSC20049,..,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
SSC20050,..,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8,0,12
SSC20051,..,51,51,54,0,57,16,0,16,12,0,12,7,0,7,0,0,0,85,49,133
SSC20052,..,1017,1017,1068,83,1153,371,13,381,313,5,320,124,3,130,70,5,73,1945,1129,3076
SSC20053,..,15,15,14,0,14,7,0,7,4,0,4,0,0,0,0,0,0,21,15,39
SSC20054,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20055,..,13,13,33,0,33,6,0,6,14,0,14,3,0,3,5,0,5,63,13,80
SSC20056,..,9,9,7,4,11,3,0,3,3,0,3,0,0,0,0,0,0,15,10,25
SSC20057,..,5,5,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,11,5,8
SSC20058,..,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC20059,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
SSC20060,..,9,9,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,9,8
SSC20061,..,315,315,285,35,318,169,4,176,123,7,132,73,4,79,57,3,63,706,380,1077
SSC20062,..,33,33,43,7,47,18,0,18,19,0,19,15,0,15,5,0,5,102,36,141
SSC20063,..,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,3,10
SSC20064,..,35,35,27,3,33,13,0,13,5,0,5,6,0,6,3,0,3,56,44,97
SSC20065,..,1362,1362,1165,239,1405,423,54,486,388,17,404,155,4,164,35,0,31,2171,1679,3854
SSC20066,..,12,12,14,0,14,8,0,8,3,0,3,0,0,0,0,0,0,24,12,33
SSC20067,..,152,152,414,30,445,298,16,317,288,12,298,114,3,119,32,0,32,1148,213,1362
SSC20068,..,4,4,13,3,15,4,0,4,0,0,0,0,0,0,0,0,0,12,5,25
SSC20069,..,5,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9
SSC20070,..,21,21,57,0,55,30,0,30,20,0,20,13,0,13,9,0,9,130,22,151
SSC20071,..,21,21,53,3,61,17,0,17,26,0,26,12,0,12,0,0,0,112,25,136
SSC20072,..,5,5,7,0,9,3,0,3,3,0,3,3,0,3,5,0,5,21,11,30
SSC20073,..,100,100,235,5,245,124,7,131,122,0,122,50,0,52,23,0,23,553,112,668
SSC20074,..,1610,1610,1618,264,1879,812,131,945,849,37,883,287,6,290,85,3,92,3649,2053,5702
SSC20075,..,14,14,21,0,21,11,0,11,18,0,18,6,0,6,3,0,3,53,14,72
SSC20076,..,503,503,635,40,669,435,16,458,662,9,666,220,6,223,62,0,62,2010,576,2591
SSC20077,..,659,659,698,67,761,396,39,435,397,21,421,141,8,148,49,6,56,1686,798,2481
SSC20078,..,514,514,720,27,747,395,9,398,492,5,496,193,0,197,51,0,51,1851,560,2410
SSC20079,..,286,286,531,18,556,400,3,404,592,0,592,180,0,180,75,0,75,1781,309,2092
SSC20080,..,11,11,17,0,17,7,0,7,11,0,11,7,0,7,3,0,3,33,11,44
SSC20081,..,160,160,255,8,263,197,0,197,300,0,300,105,0,105,53,0,53,909,170,1077
SSC20082,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5
SSC20083,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20084,..,16,16,17,0,17,11,0,11,12,0,12,11,0,11,5,0,5,59,16,79
SSC20085,..,111,111,142,9,153,54,0,49,46,0,45,17,0,17,10,0,15,270,128,395
SSC20086,..,176,176,182,11,194,48,0,48,42,0,42,16,0,16,18,0,18,307,187,496
SSC20087,..,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9
SSC20088,..,848,848,1328,67,1394,724,25,750,696,3,705,288,3,292,120,0,122,3158,948,4109
SSC20089,..,3,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,3,13
SSC20090,..,38,38,81,7,86,54,0,54,57,0,57,20,0,20,5,0,5,222,43,268
SSC20091,..,8,8,44,0,47,10,0,10,21,0,21,15,0,15,4,0,4,99,10,105
SSC20092,..,49,49,79,3,87,34,0,34,48,0,48,26,0,26,18,0,18,213,56,267
SSC20093,..,0,0,7,0,7,3,0,3,4,0,4,0,0,0,0,0,0,8,0,15
SSC20094,..,795,795,818,43,862,318,3,320,345,0,347,141,0,141,51,0,51,1669,848,2515
SSC20095,..,30,30,41,3,49,27,0,27,10,0,10,12,0,12,0,0,0,91,35,122
SSC20096,..,153,153,191,10,201,104,0,104,92,0,94,35,0,35,12,0,12,438,162,603
SSC20097,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5
SSC20098,..,5,5,34,0,37,18,0,18,15,0,15,15,0,15,3,0,3,83,10,91
SSC20099,..,8,8,4,4,4,3,0,3,3,0,3,0,0,0,0,0,0,8,6,18
SSC20100,..,5,5,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,12,21
SSC20101,..,15,15,19,3,24,9,0,9,3,0,3,0,0,0,0,0,0,28,16,45
SSC20102,..,1153,1153,946,58,1001,375,10,385,306,3,315,122,3,121,48,3,51,1791,1232,3020
SSC20103,..,29,29,13,7,17,13,3,13,4,4,10,0,0,0,0,0,0,30,43,75
SSC20104,..,834,834,643,226,871,274,64,339,162,14,173,51,6,55,38,3,39,1165,1144,2310
SSC20105,..,14,14,12,0,12,3,0,3,3,0,3,0,0,0,3,0,3,21,14,37
SSC20106,..,3,3,7,0,7,3,0,3,4,0,4,0,0,0,4,0,4,20,3,20
SSC20107,..,300,300,366,27,396,152,0,152,150,0,150,73,0,73,37,0,37,773,327,1100
SSC20108,..,7,7,6,0,6,0,0,0,4,0,4,3,0,3,0,0,0,14,7,23
SSC20109,..,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4
SSC20110,..,812,812,599,127,723,233,54,290,230,16,244,88,5,95,24,0,24,1173,1014,2186
SSC20111,..,852,852,705,117,822,250,23,279,224,9,233,89,3,91,34,3,40,1309,1000,2314
SSC20112,..,568,568,506,54,553,177,4,178,189,0,190,98,0,98,23,0,25,987,626,1609
SSC20113,..,3,3,15,0,15,4,0,4,4,0,4,3,0,3,0,0,0,29,3,36
SSC20114,..,15,15,29,3,26,16,0,16,15,0,15,5,0,5,3,0,3,73,15,87
SSC20115,..,8,8,19,3,21,8,0,8,8,0,8,0,0,0,3,0,3,42,7,49
SSC20116,..,0,0,9,0,9,0,0,0,0,0,0,7,0,7,0,0,0,16,0,19
SSC20117,..,6,6,20,0,22,9,0,9,3,0,3,0,0,0,0,0,0,29,10,44
SSC20118,..,44,44,45,0,50,22,0,22,8,0,8,6,0,6,3,0,3,78,42,120
SSC20119,..,163,163,275,11,288,149,0,149,132,0,132,54,0,54,15,0,15,630,167,796
SSC20120,..,37,37,75,0,76,17,0,17,16,0,16,9,0,9,0,0,0,118,40,158
SSC20121,..,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
SSC20122,..,1157,1157,1302,105,1408,799,22,817,926,18,938,350,3,356,118,0,119,3490,1301,4791
SSC20123,..,1158,1158,1657,64,1719,1199,29,1228,1585,17,1604,693,9,705,236,9,243,5374,1288,6662
SSC20124,..,33,33,60,5,67,24,0,24,25,0,25,17,0,17,5,0,5,133,36,168
SSC20125,..,17,17,29,0,29,14,0,14,10,0,10,7,0,7,3,0,3,67,13,79
SSC20126,..,3,3,14,0,15,8,0,8,5,0,5,0,0,0,0,0,0,29,6,38
SSC20127,..,3,3,6,0,5,0,0,0,3,0,3,0,0,0,0,0,0,15,3,16
SSC20128,..,11,11,46,3,48,26,3,32,30,0,30,23,0,23,3,0,3,122,16,141
SSC20129,..,4,4,6,0,6,0,0,0,3,0,3,6,0,6,0,0,0,15,4,18
SSC20130,..,242,242,140,5,147,21,0,23,11,0,17,4,0,4,12,0,12,184,251,432
SSC20131,..,0,0,5,0,5,4,0,4,0,0,0,3,0,3,0,0,0,8,0,10
SSC20132,..,217,217,508,19,528,257,3,261,379,0,379,194,0,194,60,0,60,1398,248,1642
SSC20133,..,3,3,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6
SSC20134,..,4,4,3,0,7,3,0,3,0,0,0,0,0,0,0,0,0,8,5,13
SSC20135,..,94,94,234,4,242,119,0,119,159,0,159,71,0,71,26,0,26,608,98,711
SSC20136,..,12,12,13,0,12,9,0,9,0,0,0,0,0,0,0,0,0,20,7,30
SSC20137,..,27,27,38,0,36,9,0,9,3,0,3,7,0,7,0,0,0,54,25,82
SSC20138,..,3,3,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,9,5,10
SSC20139,..,11,11,20,0,20,6,0,6,6,0,6,0,0,0,0,0,0,31,11,48
SSC20140,..,40,40,61,4,63,22,0,22,23,0,23,5,0,5,3,0,3,123,48,170
SSC20141,..,15,15,8,3,11,0,0,0,0,0,0,0,0,0,0,0,0,10,16,23
SSC20142,..,4,4,5,0,5,3,0,3,0,0,0,0,0,0,0,0,0,13,4,15
SSC20143,..,41,41,43,3,49,11,0,11,10,0,10,4,0,4,3,0,3,75,47,116
SSC20144,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC20145,..,60,60,114,7,119,58,0,62,49,0,49,16,0,16,7,0,7,247,70,321
SSC20146,..,12,12,26,0,26,8,0,8,5,0,5,6,0,6,3,0,3,41,12,50
SSC20147,..,13,13,15,0,15,8,0,8,5,0,5,5,0,5,0,0,0,32,13,52
SSC20148,..,41,41,55,3,59,12,0,12,24,0,24,17,0,17,5,0,5,110,46,155
SSC20149,..,22,22,37,0,36,10,0,10,6,0,6,6,0,6,5,0,5,62,21,89
SSC20150,..,5,5,26,0,22,13,0,13,10,0,10,5,0,5,0,0,0,60,10,71
SSC20151,..,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7
SSC20152,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC20153,..,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,0,10
SSC20154,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC20155,..,3,3,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,5,3,10
SSC20156,..,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8
SSC20157,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC20158,..,16,16,15,0,15,3,0,3,11,0,11,0,0,0,0,0,0,25,16,39
SSC20159,..,21,21,38,0,38,7,0,7,13,0,13,5,0,5,0,0,0,65,21,85
SSC20160,..,25,25,22,0,22,3,0,3,8,0,8,3,0,3,0,0,0,33,25,59
SSC20161,..,313,313,442,12,459,184,6,189,232,0,232,123,0,123,37,0,37,1023,331,1350
SSC20162,..,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4
SSC20163,..,39,39,46,5,51,20,0,25,17,0,17,14,0,14,0,0,0,97,47,138
SSC20164,..,25,25,51,3,54,44,0,44,68,0,68,54,0,54,16,0,16,232,30,262
SSC20165,..,3,3,13,0,13,3,0,3,6,0,6,0,0,0,0,0,0,20,3,25
SSC20166,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20167,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20168,..,211,211,269,16,288,140,3,139,100,0,100,47,0,48,23,0,23,577,233,811
SSC20169,..,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SSC20170,..,26,26,42,0,47,30,0,30,28,0,28,20,0,20,5,0,5,121,28,145
SSC20171,..,6,6,18,0,18,3,0,3,5,0,5,3,0,3,3,0,3,32,6,37
SSC20172,..,1237,1237,1310,120,1431,765,20,790,643,9,654,223,3,228,111,3,114,3059,1399,4454
SSC20173,..,899,899,888,70,965,596,9,606,511,3,514,163,0,163,84,0,83,2244,990,3231
SSC20174,..,329,329,517,27,549,337,3,336,567,3,573,234,0,234,89,0,93,1745,365,2107
SSC20175,..,94,94,237,8,247,149,0,149,191,0,191,121,0,121,37,0,37,737,99,835
SSC20176,..,39,39,27,4,29,6,0,6,12,0,12,3,0,3,0,0,0,48,43,88
SSC20177,..,35,35,28,3,34,8,0,8,0,0,0,0,0,0,0,0,0,38,36,78
SSC20178,..,3,3,7,0,7,0,0,0,6,0,6,0,0,0,0,0,0,14,3,18
SSC20179,..,0,0,4,0,4,0,0,0,0,0,0,4,0,4,3,0,3,12,0,12
SSC20180,..,250,250,209,15,231,61,0,61,52,0,54,22,0,22,18,0,17,366,270,638
SSC20181,..,965,965,1475,41,1517,647,3,651,1064,0,1064,391,0,391,90,0,90,3659,1012,4670
SSC20182,..,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5
SSC20183,..,43,43,45,8,51,16,0,16,14,0,14,11,0,11,4,0,4,95,51,138
SSC20184,..,14,14,15,0,14,3,0,3,4,0,4,0,0,0,0,0,0,26,16,39
SSC20185,..,415,415,569,32,599,159,7,165,175,0,171,61,0,60,21,0,21,983,450,1430
SSC20186,..,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5
SSC20187,..,261,261,428,34,462,249,7,254,280,0,279,95,0,92,34,0,34,1078,301,1380
SSC20188,..,82,82,123,9,133,77,0,77,100,0,100,45,0,45,15,0,15,361,90,453
SSC20189,..,63,63,178,8,182,71,0,71,109,0,109,62,0,62,27,0,27,454,68,525
SSC20190,..,671,671,607,71,675,311,10,319,242,0,244,100,3,108,46,0,46,1308,755,2065
SSC20191,..,531,531,648,44,690,310,6,313,248,3,248,93,0,95,45,0,45,1342,585,1924
SSC20192,..,13,13,23,0,28,13,0,13,7,0,7,5,0,5,0,0,0,47,8,56
SSC20193,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20194,..,71,71,133,3,138,46,0,50,38,0,38,22,0,22,8,0,8,249,79,329
SSC20195,..,26,26,61,0,61,24,0,24,12,0,12,9,0,9,0,0,0,109,33,135
SSC20196,..,0,0,14,0,14,0,0,0,0,0,0,3,0,3,0,0,0,18,0,19
SSC20197,..,148,148,169,27,196,123,13,131,96,3,100,41,0,41,22,0,22,445,193,638
SSC20198,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20199,..,7,7,15,0,17,3,0,3,6,0,6,3,0,3,3,0,3,33,9,43
SSC20200,..,1931,1931,1724,180,1905,781,81,862,698,19,716,240,4,243,76,7,83,3515,2225,5743
SSC20201,..,7,7,14,0,11,0,0,0,0,0,0,0,0,0,0,0,0,15,10,25
SSC20202,..,20,20,51,3,55,9,0,9,7,0,7,3,0,3,3,0,3,81,19,104
SSC20203,..,1532,1532,1577,108,1688,473,6,477,386,0,387,172,0,172,64,0,64,2675,1653,4325
SSC20204,..,21,21,29,0,25,3,0,3,6,0,6,0,0,0,0,0,0,37,22,60
SSC20205,..,8,8,13,0,13,3,0,3,7,0,7,0,0,0,0,0,0,20,8,27
SSC20206,..,12,12,26,3,29,15,0,15,20,0,20,8,0,8,3,0,3,71,17,93
SSC20207,..,906,906,725,96,820,267,24,289,192,3,195,82,0,82,26,5,32,1293,1032,2323
SSC20208,..,20,20,16,0,14,3,0,3,5,0,5,0,0,0,3,0,3,24,17,43
SSC20209,..,4,4,17,3,20,0,0,0,3,0,3,0,0,0,0,0,0,22,6,31
SSC20210,..,11,11,4,0,4,4,0,4,3,0,3,0,0,0,0,0,0,14,11,20
SSC20211,..,11,11,18,0,18,4,0,4,8,0,8,0,0,0,0,0,0,33,11,47
SSC20212,..,0,0,7,0,7,5,0,5,3,0,3,0,0,0,0,0,0,13,0,13
SSC20213,..,1340,1340,1466,135,1599,977,43,1021,1269,19,1282,415,7,425,112,0,108,4234,1549,5776
SSC20214,..,1965,1965,2688,163,2856,1740,48,1784,2145,19,2161,722,7,724,190,3,194,7488,2196,9687
SSC20215,..,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5
SSC20216,..,13,13,20,0,19,12,0,17,5,0,5,3,0,3,0,0,0,43,15,51
SSC20217,..,0,0,5,0,5,4,0,4,0,0,0,0,0,0,3,0,3,13,0,13
SSC20218,..,28,28,19,0,14,7,0,7,10,0,10,7,0,7,3,0,3,36,30,67
SSC20219,..,3,3,4,0,5,0,0,0,3,0,3,0,0,0,0,0,0,10,5,13
SSC20220,..,13,13,28,3,29,8,0,8,12,0,12,4,0,4,0,0,0,51,17,63
SSC20221,..,4,4,8,0,8,3,0,3,0,0,0,0,0,0,0,0,0,10,4,20
SSC20222,..,10,10,27,0,31,8,0,10,9,0,9,3,0,3,4,0,4,45,15,56
SSC20223,..,2633,2633,4034,222,4255,2763,37,2799,3657,20,3672,1464,3,1471,636,5,643,12560,2913,15470
SSC20224,..,13,13,14,0,18,3,0,3,3,0,3,3,0,3,0,0,0,23,15,36
SSC20225,..,12,12,21,0,20,3,0,3,8,0,8,0,0,0,3,0,3,35,17,48
SSC20226,..,7,7,14,0,14,3,0,3,8,0,8,5,0,5,0,0,0,25,7,32
SSC20227,..,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
SSC20228,..,42,42,68,3,73,29,0,29,26,0,26,13,0,13,0,0,0,135,50,184
SSC20229,..,7,7,22,0,21,3,0,3,0,0,0,3,0,3,0,0,0,29,8,38
SSC20230,..,57,57,51,3,52,12,0,12,9,0,9,12,0,12,0,0,0,85,60,139
SSC20231,..,17,17,40,0,40,23,0,23,19,0,19,13,0,13,4,0,4,95,17,106
SSC20232,..,74,74,189,4,194,131,0,131,170,0,170,62,0,62,50,0,50,602,79,683
SSC20233,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20234,..,15,15,22,3,30,13,0,15,10,0,10,8,0,8,7,0,7,64,13,83
SSC20235,..,5,5,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,5,14
SSC20236,..,10,10,8,0,8,3,0,3,6,0,6,0,0,0,0,0,0,17,10,24
SSC20237,..,0,0,4,0,4,3,0,3,0,0,0,4,0,4,0,0,0,17,0,15
SSC20238,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20239,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5
SSC20240,..,0,0,4,0,8,8,0,8,0,0,0,0,0,0,0,0,0,11,0,15
SSC20241,..,13,13,16,0,20,5,0,5,6,0,6,5,0,5,0,0,0,32,15,55
SSC20242,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20243,..,101,101,86,3,89,28,0,29,26,0,26,15,0,15,12,0,12,172,105,277
SSC20244,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20245,..,34,34,62,3,62,21,3,24,47,0,47,24,0,24,8,0,8,159,40,198
SSC20246,..,88,88,136,3,139,29,0,29,41,0,41,22,0,22,10,0,10,235,93,322
SSC20247,..,246,246,426,36,455,213,3,212,233,0,230,96,0,96,42,0,42,1009,282,1294
SSC20248,..,232,232,253,37,291,130,11,145,102,7,109,26,0,26,14,0,14,525,293,817
SSC20249,..,20,20,28,0,28,9,0,9,6,0,6,7,0,7,0,0,0,49,20,73
SSC20250,..,580,580,779,50,823,332,0,336,409,0,410,162,0,162,28,0,28,1715,629,2338
SSC20251,..,1235,1235,1410,130,1537,719,41,765,935,23,952,369,11,383,126,4,131,3551,1445,5000
SSC20252,..,523,523,719,52,773,456,22,477,569,6,580,200,0,200,68,3,69,2004,605,2614
SSC20253,..,929,929,1011,67,1074,621,33,655,750,17,764,282,0,286,85,0,92,2751,1052,3803
SSC20254,..,4,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7
SSC20255,..,41,41,41,3,40,9,0,9,15,0,15,0,0,0,0,0,0,64,50,114
SSC20256,..,299,299,416,14,423,77,0,84,83,0,82,31,0,31,0,0,0,612,315,922
SSC20257,..,3,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,3,10
SSC20258,..,23,23,29,0,28,9,0,9,10,0,10,3,0,3,0,0,0,55,24,79
SSC20259,..,88,88,140,6,149,89,0,86,78,0,78,30,0,30,14,0,14,353,92,442
SSC20260,..,5,5,14,0,14,3,0,3,4,0,4,0,0,0,0,0,0,23,5,35
SSC20261,..,3,3,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,4,3,7
SSC20262,..,8,8,17,0,17,9,0,9,5,0,5,0,0,0,0,0,0,29,8,36
SSC20263,..,5,5,6,0,6,4,0,4,4,0,4,0,0,0,0,0,0,18,5,24
SSC20264,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20265,..,8,8,20,0,20,0,0,0,3,0,3,0,0,0,0,0,0,24,8,28
SSC20266,..,9,9,12,0,12,3,0,3,3,0,3,0,0,0,0,0,0,20,9,27
SSC20267,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4
SSC20268,..,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3
SSC20269,..,30,30,44,0,44,18,0,18,14,0,14,3,0,3,3,0,3,83,30,113
SSC20270,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20271,..,12,12,18,3,24,6,0,6,16,0,16,5,0,5,0,0,0,48,17,63
SSC20272,..,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3
