SSC_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
SSC20068,6,0,0,0,0,0,0,6
SSC20069,0,0,0,0,0,0,0,0
SSC20070,53,4,3,0,0,0,0,59
SSC20071,41,0,5,0,0,0,0,51
SSC20072,13,0,0,0,0,0,0,13
SSC20073,212,22,17,3,0,0,3,252
SSC20074,1524,93,26,7,3,0,0,1647
SSC20075,24,0,0,0,0,0,0,26
SSC20076,1129,43,17,10,0,0,3,1203
SSC20077,732,37,18,6,0,0,4,790
SSC20078,925,48,20,7,0,0,3,999
SSC20079,1021,51,28,11,0,0,0,1100
SSC20080,13,3,0,0,0,0,0,17
SSC20081,527,23,16,3,0,0,0,570
SSC20082,0,0,0,0,0,0,0,0
SSC20083,3,0,0,0,0,0,0,3
SSC20084,29,3,3,0,0,0,0,35
SSC20085,94,12,3,0,0,0,0,113
SSC20086,84,6,10,0,0,0,0,100
SSC20087,0,0,0,0,0,0,0,0
SSC20088,1389,53,33,18,0,0,0,1501
SSC20089,3,0,0,0,0,0,0,7
SSC20090,112,14,3,0,0,0,0,124
SSC20091,45,4,0,0,0,0,0,47
SSC20092,100,5,4,0,0,0,0,109
SSC20093,4,0,3,0,0,0,0,5
SSC20094,529,64,49,5,0,0,3,658
SSC20095,26,7,0,0,0,0,0,38
SSC20096,165,12,5,0,0,0,0,194
SSC20097,0,0,0,0,0,0,0,0
SSC20098,35,5,0,0,0,0,0,42
SSC20099,6,0,0,0,0,0,0,6
SSC20100,0,0,0,0,0,0,0,0
SSC20101,12,0,0,0,0,0,0,12
SSC20102,517,44,32,7,0,0,3,605
SSC20103,10,0,0,0,0,0,0,10
SSC20104,387,20,7,0,0,0,0,414
SSC20105,14,0,0,0,0,0,0,14
SSC20106,9,0,0,0,0,0,0,10
SSC20107,296,19,18,5,0,0,0,337
SSC20108,11,0,0,0,0,0,0,11
SSC20109,0,0,0,0,0,0,0,0
SSC20110,414,31,12,0,0,0,0,465
SSC20111,366,34,22,3,0,0,0,433
SSC20112,338,29,17,4,3,0,0,393
SSC20113,16,0,0,0,0,0,0,17
SSC20114,30,0,0,0,0,0,0,41
SSC20115,20,0,0,0,0,0,0,20
SSC20116,6,0,0,0,0,0,0,6
SSC20117,9,0,0,0,0,0,0,12
SSC20118,25,4,0,0,0,0,0,34
SSC20119,264,21,12,0,0,0,0,302
SSC20120,28,3,0,0,0,0,0,32
SSC20121,0,0,0,0,0,0,0,0
SSC20122,1679,71,35,24,0,0,0,1816
SSC20123,2999,128,45,35,0,0,0,3204
SSC20124,54,3,0,0,0,0,0,56
SSC20125,22,4,3,0,0,0,0,28
SSC20126,11,0,0,0,0,0,0,15
SSC20127,9,0,0,0,0,0,0,9
SSC20128,65,5,0,0,0,0,0,70
SSC20129,9,0,0,0,0,0,0,7
SSC20130,34,3,0,0,0,0,0,36
SSC20131,4,0,0,0,0,0,0,3
SSC20132,691,47,30,0,0,0,4,766
SSC20133,3,0,0,0,0,0,0,3
SSC20134,3,0,0,0,0,0,0,3
SSC20135,281,20,15,3,0,0,0,333
SSC20136,11,0,0,0,0,0,0,11
SSC20137,13,3,0,0,0,0,0,19
SSC20138,0,0,0,0,0,0,0,0
SSC20139,12,0,0,0,0,0,0,14
SSC20140,54,4,0,0,0,0,0,59
SSC20141,3,0,0,0,0,0,0,3
SSC20142,0,0,0,0,0,0,0,4
SSC20143,16,0,0,0,0,0,0,20
SSC20144,0,0,0,0,0,0,0,0
SSC20145,95,8,4,0,0,0,0,114
SSC20146,16,0,0,0,0,0,0,20
SSC20147,10,0,0,0,0,0,0,13
SSC20148,45,3,0,0,0,0,0,48
SSC20149,26,0,3,0,0,0,0,24
SSC20150,20,5,0,0,0,0,0,31
SSC20151,3,0,0,0,0,0,0,3
SSC20152,0,0,0,0,0,0,0,0
SSC20153,3,0,0,0,0,0,0,3
SSC20154,0,0,0,0,0,0,0,0
SSC20155,0,3,0,0,0,0,0,3
SSC20156,3,0,0,0,0,0,0,3
SSC20157,0,0,0,0,0,0,0,0
SSC20158,9,0,0,0,0,0,0,9
SSC20159,23,0,3,0,0,0,0,21
SSC20160,9,0,0,0,0,0,0,12
SSC20161,461,25,4,0,0,0,0,496
SSC20162,0,0,0,0,0,0,0,0
SSC20163,29,9,3,0,0,0,0,40
SSC20164,159,3,4,0,3,0,0,168
SSC20165,9,0,0,0,0,0,0,9
SSC20166,0,0,0,0,0,0,0,0
SSC20167,0,0,0,0,0,0,0,0
SSC20168,189,23,19,0,0,0,0,231
SSC20169,0,0,0,0,0,0,0,0
SSC20170,58,4,3,0,0,0,0,66
SSC20171,14,0,0,0,0,0,0,10
SSC20172,1207,86,37,14,0,0,7,1356
SSC20173,971,68,30,9,4,0,4,1088
SSC20174,943,73,44,11,0,0,4,1079
SSC20175,430,13,15,0,0,0,3,456
SSC20176,12,7,0,0,0,0,0,16
SSC20177,4,0,0,0,0,0,0,4
SSC20178,6,0,0,0,0,0,0,6
SSC20179,3,0,0,0,0,0,0,4
SSC20180,109,9,11,4,0,0,0,128
SSC20181,1835,87,39,15,0,0,4,1980
SSC20182,3,0,0,0,0,0,0,3
SSC20183,33,3,3,0,0,0,0,35
SSC20184,8,3,0,0,0,0,0,9
SSC20185,292,27,12,3,0,0,0,340
SSC20186,0,0,0,0,0,0,0,0
SSC20187,480,34,10,0,0,0,0,535
SSC20188,181,6,9,0,0,0,0,199
SSC20189,222,12,11,4,0,0,0,239
SSC20190,483,28,17,0,0,0,3,536
SSC20191,453,41,13,9,0,0,3,518
SSC20192,17,0,0,0,0,0,0,17
SSC20193,0,0,0,0,0,0,0,0
SSC20194,100,4,0,0,0,0,0,100
SSC20195,34,5,3,0,0,0,0,38
SSC20196,5,0,0,0,0,0,0,9
SSC20197,190,5,6,0,0,0,0,205
SSC20198,0,0,0,0,0,0,0,0
SSC20199,19,0,0,0,0,0,0,20
SSC20200,1261,84,35,7,0,0,4,1399
SSC20201,3,0,0,0,0,0,0,3
SSC20202,22,5,0,0,0,0,0,27
SSC20203,685,73,41,7,0,0,0,809
SSC20204,8,0,0,0,0,0,0,8
SSC20205,12,0,0,0,0,0,0,12
SSC20206,34,3,0,3,0,0,0,39
SSC20207,382,28,10,0,0,0,0,419
SSC20208,9,0,0,0,0,0,0,8
SSC20209,3,0,0,0,0,0,0,4
SSC20210,3,0,0,0,0,0,0,9
SSC20211,12,0,0,0,0,0,0,14
SSC20212,7,0,0,0,0,0,0,3
SSC20213,2181,114,38,17,4,0,5,2362
SSC20214,3749,207,78,15,4,0,8,4055
SSC20215,0,0,0,0,0,0,0,0
SSC20216,18,3,0,0,0,0,0,18
SSC20217,7,0,0,0,0,0,0,7
SSC20218,5,0,0,3,0,0,0,15
SSC20219,3,0,0,0,0,0,0,3
SSC20220,20,0,0,0,0,0,0,17
SSC20221,0,0,0,0,0,0,0,3
SSC20222,13,0,0,0,0,0,0,19
SSC20223,6571,419,237,67,4,7,16,7314
SSC20224,5,0,0,0,0,0,0,9
SSC20225,9,0,0,0,0,0,0,14
SSC20226,14,0,0,0,0,0,0,10
SSC20227,0,0,0,0,0,0,0,0
SSC20228,48,4,0,0,0,0,0,54
SSC20229,7,0,0,0,0,0,0,7
SSC20230,25,0,3,0,0,0,0,31
SSC20231,38,0,0,0,0,0,0,47
SSC20232,320,16,17,9,0,0,0,363
SSC20233,0,0,0,0,0,0,0,0
SSC20234,25,0,4,0,0,0,0,32
SSC20235,0,0,0,0,0,0,0,3
SSC20236,8,0,0,0,0,0,0,7
SSC20237,6,0,0,0,0,0,0,4
SSC20238,0,0,0,0,0,0,0,0
SSC20239,0,0,0,0,0,0,0,0
SSC20240,3,0,0,0,0,0,0,10
SSC20241,10,0,0,0,0,0,0,13
SSC20242,0,0,0,0,0,0,0,0
SSC20243,61,5,4,0,0,0,0,66
SSC20244,0,0,0,0,0,0,0,0
SSC20245,79,3,4,0,0,0,0,91
SSC20246,82,3,8,0,0,0,0,89
SSC20247,423,45,17,3,3,0,0,487
SSC20248,190,12,8,0,0,0,0,210
SSC20249,13,3,0,0,0,0,0,20
SSC20250,794,33,8,0,0,0,4,843
SSC20251,1727,78,29,6,0,0,0,1844
SSC20252,1011,42,13,6,0,0,0,1076
SSC20253,1377,56,29,8,0,0,6,1474
SSC20254,3,0,0,0,0,0,0,3
SSC20255,17,5,0,0,0,0,0,24
SSC20256,143,12,3,0,0,0,3,163
SSC20257,4,0,0,0,0,0,0,4
SSC20258,25,0,0,0,0,0,0,22
SSC20259,139,20,9,3,0,0,4,174
SSC20260,9,0,0,0,0,0,0,8
SSC20261,4,0,0,0,0,0,0,3
SSC20262,10,0,0,0,0,0,0,10
SSC20263,5,0,0,0,0,0,0,7
SSC20264,0,0,0,0,0,0,0,0
SSC20265,3,0,0,0,0,0,0,3
SSC20266,8,0,0,0,0,0,0,8
SSC20267,0,0,0,0,0,0,0,0
SSC20268,0,0,0,0,0,0,0,0
SSC20269,26,7,0,0,0,0,0,35
SSC20270,0,0,0,0,0,0,0,0
SSC20271,19,0,0,0,0,0,0,26
SSC20272,0,0,0,0,0,0,0,0
SSC20273,57,5,3,0,0,0,0,61
SSC20274,3,0,0,0,0,0,0,3
SSC20275,11,0,0,0,0,0,0,11
SSC20276,3,0,0,0,0,0,0,3
SSC20277,608,65,21,3,0,0,0,695
SSC20278,35,0,0,0,0,0,0,33
SSC20279,33,4,4,0,0,0,0,47
SSC20280,3,0,0,0,0,0,0,3
SSC20281,39,4,0,0,0,0,0,43
SSC20282,33,0,3,0,0,0,0,37
SSC20283,21,3,0,0,0,0,0,24
SSC20284,0,0,0,0,0,0,0,0
SSC20285,0,0,0,0,0,0,0,0
SSC20286,93,12,0,0,0,0,4,110
SSC20287,9,0,0,0,0,0,0,12
SSC20288,0,0,0,0,0,0,0,0
SSC20289,3,0,0,0,0,0,0,3
SSC20290,3,0,0,0,0,0,0,3
SSC20291,0,0,0,0,0,0,0,0
SSC20292,9,3,0,0,0,0,0,12
SSC20293,12,0,0,0,0,0,0,15
SSC20294,0,0,0,0,0,0,0,0
SSC20295,9,0,0,0,0,0,0,9
SSC20296,13,3,0,0,0,0,0,13
SSC20297,0,0,0,0,0,0,0,3
SSC20298,64,4,5,0,0,0,0,71
SSC20299,15,0,0,0,0,0,0,14
SSC20300,9,0,0,0,0,0,0,6
SSC20301,0,0,0,0,0,0,0,0
SSC20302,2223,198,102,21,3,0,10,2561
SSC20303,4,0,0,0,0,0,0,4
SSC20304,9,0,0,0,0,0,0,9
SSC20305,586,42,41,3,0,0,0,676
SSC20306,12,0,0,0,0,0,0,10
SSC20307,19,0,0,0,0,0,0,19
SSC20308,3,0,0,0,0,0,0,3
SSC20309,5,0,0,0,0,0,0,8
SSC20310,13,0,0,0,0,0,0,13
SSC20311,3,0,0,0,0,0,0,7
SSC20312,951,44,17,10,0,0,6,1018
SSC20313,1448,65,16,13,3,0,3,1543
SSC20314,1008,45,10,9,0,0,3,1075
SSC20315,0,0,0,0,0,0,0,0
SSC20316,0,0,0,0,0,0,0,0
SSC20317,6,0,0,0,0,0,0,6
SSC20318,0,0,0,0,0,0,0,0
SSC20319,8,0,0,0,0,0,0,8
SSC20320,35,3,0,0,0,0,0,37
SSC20321,0,0,0,0,0,0,0,0
SSC20322,859,45,19,32,0,0,7,960
SSC20323,6,0,0,0,0,0,0,6
SSC20324,71,10,0,0,0,0,0,76
SSC20325,11,0,0,0,0,0,0,15
SSC20326,3,0,0,0,0,0,0,3
SSC20327,3,0,0,0,0,0,0,3
SSC20328,94,9,5,0,0,0,0,111
SSC20329,359,23,7,0,0,0,0,390
SSC20330,12,0,0,0,0,0,0,12
SSC20331,19,0,0,0,0,0,0,19
SSC20332,8,0,0,0,0,0,0,8
SSC20333,25,3,0,0,0,0,0,31
SSC20334,178,14,11,0,0,0,0,203
SSC20335,2801,140,48,10,0,0,3,3003
SSC20336,2138,106,35,14,0,0,3,2291
SSC20337,15,0,0,0,0,0,0,16
SSC20338,0,0,0,0,0,0,0,0
SSC20339,3,0,0,0,0,0,0,3
SSC20340,6,0,0,0,0,0,0,6
SSC20341,0,0,0,0,0,0,0,0
SSC20342,8,0,0,0,0,0,0,9
SSC20343,418,37,24,4,0,0,4,490
SSC20344,1193,50,36,21,0,0,3,1306
SSC20345,10,0,0,0,0,0,0,15
SSC20346,3,0,0,0,0,0,0,6
SSC20347,4,0,0,0,0,0,0,4
SSC20348,5,0,0,0,0,0,0,7
SSC20349,1070,75,49,18,0,3,9,1221
SSC20350,170,11,0,0,0,0,0,183
SSC20351,0,0,0,0,0,0,0,0
SSC20352,17,0,3,0,0,0,0,26
SSC20353,13,0,0,0,0,0,0,19
SSC20354,375,29,10,0,0,0,0,419
SSC20355,13,0,0,0,0,0,0,13
SSC20356,7,0,0,0,0,0,0,6
SSC20357,8,0,0,0,0,0,0,10
SSC20358,0,0,0,0,0,0,0,0
SSC20359,1717,86,22,15,0,0,3,1846
SSC20360,794,45,15,3,0,0,4,861
SSC20361,1224,54,13,8,4,0,0,1300
SSC20362,78,4,7,0,0,0,0,89
SSC20363,9,0,0,0,0,0,0,12
SSC20364,18,0,3,0,0,0,0,26
SSC20365,6,0,0,0,0,0,0,6
SSC20366,7,0,0,0,0,0,0,9
SSC20367,28,0,0,0,0,0,0,29
SSC20368,5,0,0,0,0,0,0,5
SSC20369,3,0,0,0,0,0,0,3
SSC20370,0,0,0,0,0,0,0,0
SSC20371,16,3,0,0,0,0,0,20
SSC20372,0,0,0,0,0,0,0,0
SSC20373,27,3,0,0,0,0,0,30
SSC20374,26,3,3,0,0,0,0,26
SSC20375,15,0,0,0,0,0,0,15
SSC20376,0,0,0,0,0,0,0,0
SSC20377,0,0,0,0,0,0,0,0
SSC20378,3,0,0,0,0,0,0,3
SSC20379,83,7,0,3,0,0,0,91
SSC20380,0,0,0,0,0,0,0,0
SSC20381,9,0,0,0,0,0,0,9
SSC20382,4,0,0,0,0,0,0,4
SSC20383,0,0,0,0,0,0,0,0
SSC20384,1387,52,21,19,0,0,3,1484
SSC20385,90,6,3,0,0,0,0,94
SSC20386,9,0,0,0,0,0,0,9
SSC20387,3,0,0,0,0,0,0,4
SSC20388,72,0,3,0,0,0,0,70
SSC20389,19,5,0,0,0,0,0,21
SSC20390,9,3,0,0,0,0,0,7
SSC20391,34,0,0,0,0,0,0,39
SSC20392,23,0,0,0,0,0,0,22
SSC20393,37,3,0,0,0,0,0,45
SSC20394,7,3,0,0,0,0,0,6
SSC20395,0,0,0,0,0,0,0,0
SSC20396,8,0,0,0,0,0,0,4
SSC20397,3147,149,62,40,5,0,9,3408
SSC20398,6,0,0,0,0,0,0,6
SSC20399,7,0,0,0,0,0,0,7
SSC20400,8,0,0,0,0,0,0,8
SSC20401,12,0,0,0,0,0,0,12
SSC20402,38,0,0,0,0,0,0,38
SSC20403,5,0,0,0,0,0,0,5
SSC20404,3,3,0,0,0,0,0,7
SSC20405,0,0,0,0,0,0,0,0
SSC20406,0,0,0,0,0,0,0,3
SSC20407,440,17,12,0,0,0,0,468
SSC20408,32,6,0,0,0,0,0,35
SSC20409,283,30,9,0,0,0,3,327
SSC20410,16,3,0,0,0,0,0,17
SSC20411,0,0,0,0,0,0,0,0
SSC20412,3,0,0,0,0,0,0,3
SSC20413,0,0,0,0,0,0,0,0
SSC20414,8,0,0,0,0,0,0,4
SSC20415,0,0,0,0,0,0,0,0
SSC20416,52,0,0,0,0,0,0,53
SSC20417,632,36,23,7,0,0,8,703
SSC20418,962,29,27,18,0,0,3,1045
SSC20419,3,0,0,0,0,0,0,3
SSC20420,21,4,5,0,0,0,0,29
SSC20421,3,0,0,0,0,0,0,4
SSC20422,0,0,0,0,0,0,0,0
SSC20423,18,0,0,0,0,0,0,20
SSC20424,1340,61,31,9,0,0,6,1444
SSC20425,1245,40,25,7,0,0,3,1325
SSC20426,71,12,3,0,0,0,0,87
SSC20427,7,0,0,0,0,0,0,7
SSC20428,0,0,0,0,0,0,0,0
SSC20429,34,0,0,0,0,0,0,43
SSC20430,16,0,0,0,0,0,0,16
SSC20431,13,0,3,0,0,0,0,14
SSC20432,15,5,0,0,0,0,0,20
SSC20433,16,0,0,0,0,0,0,16
SSC20434,16,0,0,0,0,0,0,21
SSC20435,64,9,6,0,0,0,0,71
SSC20436,0,0,0,0,0,0,0,0
SSC20437,3,0,0,0,0,0,0,3
SSC20438,0,0,0,0,0,0,0,0
SSC20439,1371,79,47,45,7,3,9,1562
SSC20440,0,0,0,0,0,0,0,0
SSC20441,21,3,0,0,0,0,0,26
SSC20442,296,29,32,5,0,0,3,366
SSC20443,16,0,0,0,0,0,0,18
SSC20444,5,0,3,0,0,0,0,6
SSC20445,34,4,4,0,0,0,0,41
SSC20446,4,0,0,0,0,0,0,4
SSC20447,0,0,0,0,0,0,0,0
SSC20448,0,0,0,0,0,0,0,0
SSC20449,16,3,0,0,0,0,0,22
SSC20450,0,0,0,0,0,0,0,0
SSC20451,2804,117,41,26,3,0,0,2991
SSC20452,37,0,0,0,0,0,0,39
SSC20453,591,21,10,17,0,0,0,637
SSC20454,0,0,0,0,0,0,0,4
SSC20455,172,13,6,4,0,0,0,197
SSC20456,4,0,0,0,0,0,0,4
SSC20457,0,0,0,0,0,0,0,3
SSC20458,253,17,13,3,0,0,0,288
SSC20459,338,30,20,3,0,0,0,394
SSC20460,0,0,0,0,0,0,0,0
SSC20461,6,3,0,0,0,0,0,10
SSC20462,12,0,0,0,0,0,0,14
SSC20463,3,0,0,0,0,0,0,3
SSC20464,62,12,4,0,0,0,0,77
SSC20465,5,0,0,0,0,0,0,5
SSC20466,1077,49,11,12,0,0,0,1147
SSC20467,14,0,0,0,0,0,0,18
SSC20468,7,3,0,0,0,0,0,16
SSC20469,0,0,0,0,0,0,0,0
SSC20470,0,0,0,0,0,0,0,0
SSC20471,63,3,0,0,0,0,0,69
SSC20472,43,4,0,0,0,0,0,48
SSC20473,177,9,7,0,0,0,0,195
SSC20474,3,0,0,0,0,0,0,3
SSC20475,3,0,0,0,0,0,0,3
SSC20476,0,0,0,0,0,0,0,0
SSC20477,21,0,0,0,0,0,0,25
SSC20478,5,0,0,0,0,0,0,10
SSC20479,0,0,0,0,0,0,0,0
SSC20480,13,0,0,0,0,0,0,9
SSC20481,9,0,0,0,0,0,0,9
SSC20482,110,3,3,0,0,0,0,121
SSC20483,92,4,3,0,0,0,0,97
SSC20484,40,4,5,0,0,0,0,50
SSC20485,86,7,7,0,0,0,0,102
SSC20486,3,0,0,0,0,0,0,4
SSC20487,0,0,0,0,0,0,0,0
SSC20488,0,0,0,0,0,0,0,0
SSC20489,106,7,11,0,0,0,3,126
SSC20490,16,0,0,0,0,0,0,16
SSC20491,39,0,3,0,0,0,0,45
SSC20492,452,28,15,5,0,0,4,505
SSC20493,448,28,4,0,0,0,0,480
SSC20494,6,0,0,0,0,0,0,13
SSC20495,1822,69,23,14,0,0,3,1923
SSC20496,11,3,0,0,0,0,0,15
SSC20497,3546,182,103,47,4,3,12,3897
SSC20498,15,0,0,0,0,0,0,22
SSC20499,7,0,0,0,0,0,0,12
SSC20500,3,3,0,0,0,0,0,8
SSC20501,3,0,0,0,0,0,0,3
SSC20502,5,0,0,0,0,0,0,9
SSC20503,3,0,0,0,0,0,0,3
SSC20504,357,27,16,0,0,0,0,400
SSC20505,2073,212,136,24,5,0,11,2473
SSC20506,3,0,3,0,0,0,0,4
SSC20507,25,4,0,0,0,0,0,28
SSC20508,0,0,0,0,0,0,0,3
SSC20509,42,0,0,0,0,0,0,47
SSC20510,100,0,8,0,0,0,3,118
SSC20511,8,0,0,0,0,0,0,7
SSC20512,14,0,0,0,0,0,0,15
SSC20513,501,39,19,3,0,0,0,568
SSC20514,34,3,0,0,0,0,0,42
SSC20515,11,0,0,0,0,0,0,13
SSC20516,4,0,0,0,0,0,0,4
SSC20517,0,0,0,0,0,0,0,0
SSC20518,604,31,9,0,0,0,4,642
SSC20519,114,3,0,6,0,0,0,122
SSC20520,1624,62,10,13,0,0,0,1714
SSC20521,1509,76,28,5,0,0,0,1621
SSC20522,4,4,0,0,0,0,0,3
SSC20523,33,4,3,0,0,0,0,39
SSC20524,42,0,0,0,0,0,0,42
SSC20525,882,37,16,9,0,0,3,947
SSC20526,0,0,0,0,0,0,0,0
SSC20527,0,0,0,0,0,0,0,0
SSC20528,3,0,0,0,0,0,0,3
SSC20529,3,0,0,0,0,0,0,4
SSC20530,28,6,0,0,0,0,0,37
SSC20531,8,0,0,0,0,0,0,15
SSC20532,67,4,3,0,0,0,0,78
SSC20533,5,0,0,0,0,0,0,5
SSC20534,713,49,29,3,3,0,3,801
SSC20535,667,50,31,9,0,0,3,760
SSC20536,2665,132,64,17,3,0,8,2887
SSC20537,6,3,0,0,0,0,0,10
SSC20538,4,0,0,0,0,0,0,5
SSC20539,0,0,0,0,0,0,0,0
SSC20540,18,0,0,0,0,0,0,19
SSC20541,0,0,0,0,0,0,0,0
SSC20542,12,0,0,0,0,0,0,17
SSC20543,6,0,0,0,0,0,0,10
SSC20544,50,0,0,0,0,0,0,46
SSC20545,0,0,0,0,0,0,0,0
SSC20546,6,0,0,0,0,0,0,6
SSC20547,0,0,0,0,0,0,0,0
SSC20548,133,21,11,3,0,0,3,173
SSC20549,7,0,0,0,0,0,0,12
SSC20550,0,0,0,0,0,0,0,0
SSC20551,3,0,0,0,0,0,0,3
SSC20552,13,0,3,0,0,0,0,15
SSC20553,1170,86,61,7,4,0,7,1329
SSC20554,0,0,0,0,0,0,0,0
SSC20555,6,0,0,0,0,0,0,10
SSC20556,48,5,4,0,0,0,0,54
SSC20557,102,11,7,4,0,0,0,128
SSC20558,345,27,28,5,0,0,9,414
SSC20559,0,0,0,0,0,0,0,0
SSC20560,0,0,0,0,0,0,0,3
SSC20561,17,0,0,0,0,0,0,17
SSC20562,3,0,0,0,0,0,0,3
SSC20563,941,28,27,9,0,0,4,1010
SSC20564,31,4,0,3,0,0,0,35
SSC20565,8,0,0,0,0,0,0,8
SSC20566,1255,54,12,17,0,0,7,1347
SSC20567,1453,63,24,28,0,0,5,1583
SSC20568,13,0,0,0,0,0,0,12
SSC20569,41,4,0,0,0,0,0,44
SSC20570,23,0,3,0,0,0,0,24
SSC20571,598,34,9,3,0,0,0,646
SSC20572,670,73,36,4,0,0,8,789
SSC20573,44,3,0,0,0,0,0,42
SSC20574,5,0,0,0,0,0,0,5
SSC20575,23,0,0,0,0,0,0,27
SSC20576,3,0,0,0,0,0,0,3
SSC20577,105,17,9,3,0,0,3,134
SSC20578,276,15,18,0,0,0,0,304
SSC20579,1130,83,52,14,0,3,3,1291
SSC20580,16,0,0,0,0,0,0,16
SSC20581,3,0,0,0,0,0,0,3
SSC20582,6,0,0,0,0,0,0,6
SSC20583,26,0,0,0,0,0,0,31
SSC20584,4,3,0,0,0,0,0,7
SSC20585,0,0,0,0,0,0,0,0
SSC20586,0,0,0,0,0,0,0,0
SSC20587,162,15,14,0,0,0,0,188
SSC20588,447,24,28,0,0,0,3,510
SSC20589,32,0,0,0,0,0,0,37
SSC20590,5,0,0,0,0,0,0,7
SSC20591,6,0,0,0,0,0,0,6
SSC20592,2874,116,59,28,3,0,5,3085
SSC20593,829,32,14,4,0,0,0,880
SSC20594,0,0,0,0,0,0,0,0
SSC20595,0,0,0,0,0,0,0,0
SSC20596,466,53,44,3,0,0,3,570
SSC20597,0,0,0,0,0,0,0,0
SSC20598,4,0,0,0,0,0,0,5
SSC20599,5,0,0,0,0,0,0,11
SSC20600,192,11,7,0,0,0,3,216
SSC20601,52,3,0,0,0,0,0,57
SSC20602,0,0,0,0,0,0,0,0
SSC20603,655,64,35,8,0,0,3,772
SSC20604,5,0,0,0,0,0,0,5
SSC20605,10,0,0,0,0,0,0,10
SSC20606,7,0,0,0,0,0,0,10
SSC20607,30,0,0,0,0,0,0,33
SSC20608,4,0,0,0,0,0,0,4
SSC20609,247,25,11,9,0,0,0,288
SSC20610,68,3,3,0,0,0,0,74
SSC20611,15,0,3,0,0,0,0,25
SSC20612,318,38,9,7,0,0,0,375
SSC20613,0,0,0,0,0,0,0,0
SSC20614,18,0,0,0,0,0,0,14
SSC20615,10,0,0,0,0,0,0,15
SSC20616,85,0,4,0,0,0,0,91
SSC20617,85,0,0,0,0,0,0,85
