SSC_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SSC20032,12,18,0,0,0,0,0,0,3,7,3,7,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,18,36
SSC20033,447,885,5,39,72,320,3,17,327,1253,409,1636,38,171,98,351,80,248,218,768,626,2399,0,0,0,4,0,3,42,107,45,117,12,27,31,68,67,138,104,241,154,351,24,46,1248,3684
SSC20034,1192,2359,10,58,85,397,14,53,711,2697,824,3205,57,245,90,328,236,744,387,1318,1209,4527,0,3,23,66,4,19,142,376,173,463,20,66,48,112,200,439,272,621,442,1079,62,130,2901,8096
SSC20035,1704,3434,33,180,192,883,52,224,1212,4546,1479,5834,170,696,203,703,608,2010,978,3414,2456,9244,13,38,49,191,24,85,296,776,383,1088,53,157,110,255,439,974,600,1388,979,2482,104,219,5247,15382
SSC20036,1090,2180,44,254,117,591,24,147,773,3020,959,4009,76,344,77,269,256,851,411,1465,1367,5473,0,8,33,121,23,81,158,442,211,657,24,76,67,148,299,667,389,896,602,1562,90,189,3146,9400
SSC20037,12,19,0,0,0,3,3,10,6,33,14,45,0,0,0,4,3,8,6,17,19,60,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,5,4,11,0,3,31,90
SSC20038,10,19,0,0,0,0,0,4,0,3,3,9,0,0,3,3,0,4,3,10,7,13,0,0,0,3,0,0,0,3,4,5,0,0,0,0,3,0,0,3,6,13,0,0,19,51
SSC20039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20040,34,69,4,15,0,8,0,3,6,25,12,57,3,16,3,3,0,3,3,20,16,81,0,0,0,3,0,0,3,10,3,15,0,0,0,0,8,12,8,12,11,23,0,0,62,178
SSC20041,96,189,0,6,7,37,3,10,41,154,49,204,4,22,0,11,22,70,25,96,79,296,0,0,3,11,3,5,4,10,8,25,0,3,0,0,9,15,5,15,15,48,0,0,189,536
SSC20042,12,25,0,0,3,12,0,0,3,18,5,22,0,0,0,0,3,3,0,6,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,4,0,0,26,61
SSC20043,6,12,0,0,0,0,0,3,0,3,3,14,0,0,0,0,0,4,0,4,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,21
SSC20044,4,3,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
SSC20045,334,655,3,11,32,142,5,25,136,529,174,708,9,27,23,68,44,137,78,232,248,946,0,0,3,14,0,3,27,57,32,76,3,13,8,23,32,54,45,86,75,160,3,9,658,1765
SSC20046,5,10,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20
SSC20047,10,12,0,0,0,0,0,0,0,3,0,3,0,0,3,10,3,8,3,16,7,24,0,0,0,0,0,0,3,5,3,5,0,0,0,0,3,5,3,5,4,13,0,3,16,51
SSC20048,193,383,4,10,10,50,0,0,74,286,88,345,3,7,13,41,22,66,36,114,124,459,0,4,3,7,0,0,24,56,26,61,0,0,8,14,23,46,32,58,52,125,5,11,380,973
SSC20049,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,5,10
SSC20050,7,12,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,3,0,3,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,10,27
SSC20051,52,104,0,0,3,10,0,0,9,36,9,48,0,3,0,4,10,20,10,23,21,76,0,0,0,0,0,0,6,10,6,10,0,0,0,0,3,4,5,6,5,17,0,0,80,201
SSC20052,906,1790,10,71,67,299,21,101,356,1400,458,1874,41,155,49,145,136,414,219,716,678,2590,3,7,22,72,15,52,141,397,177,529,8,25,41,91,125,264,174,382,350,913,36,70,1966,5364
SSC20053,10,24,0,0,0,3,0,0,3,11,4,17,0,0,0,0,4,10,4,10,4,27,0,0,0,0,0,0,3,7,3,7,0,0,0,0,0,3,0,3,3,7,0,0,23,61
SSC20054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20055,25,54,3,11,3,21,0,0,16,52,21,83,5,12,0,3,3,9,9,31,27,113,0,0,0,3,0,0,0,0,3,6,0,0,0,4,3,3,3,4,8,15,0,0,65,179
SSC20056,11,21,0,0,0,0,0,9,3,7,5,10,0,0,3,3,0,7,4,17,8,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,46
SSC20057,4,10,0,0,0,0,0,0,3,7,3,7,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,23
SSC20058,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
SSC20059,3,7,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13
SSC20060,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
SSC20061,239,481,5,27,28,137,6,24,182,703,214,894,11,56,18,65,54,190,84,310,304,1203,0,12,15,45,6,20,55,150,73,229,13,38,13,26,73,170,96,236,165,463,21,48,733,2191
SSC20062,38,70,3,12,6,40,0,6,27,95,32,147,3,16,3,15,15,46,21,75,59,223,0,0,0,7,0,0,0,6,3,8,0,4,0,3,3,9,5,13,6,22,0,3,103,319
SSC20063,3,3,0,0,0,0,0,0,0,7,0,7,0,0,0,4,0,3,3,4,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,5,19
SSC20064,24,57,0,0,0,0,0,4,10,29,11,37,0,9,0,0,10,25,10,37,18,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,6,8,6,8,4,5,52,149
SSC20065,1025,2019,8,36,86,373,3,9,515,1885,608,2315,42,168,118,407,77,221,228,797,838,3104,0,3,12,45,0,0,93,219,102,265,14,44,40,102,85,181,143,326,253,592,70,143,2184,5869
SSC20066,12,31,0,6,0,0,0,0,3,11,3,15,0,0,4,7,0,5,3,15,9,32,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,6,0,0,25,65
SSC20067,388,771,7,27,44,216,7,29,470,1767,533,2048,18,68,30,98,44,135,88,307,620,2349,3,6,12,34,3,13,68,192,84,254,8,18,21,44,33,71,60,139,144,388,13,25,1160,3538
SSC20068,9,23,0,0,0,0,0,0,0,9,0,9,0,0,0,3,0,4,3,9,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,18,37
SSC20069,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9
SSC20070,62,131,0,12,14,80,0,7,17,75,37,172,3,12,3,9,17,51,26,73,59,251,0,0,0,0,0,0,3,6,3,6,0,0,0,7,5,10,4,13,9,18,0,0,134,400
SSC20071,48,100,0,0,11,45,0,3,25,107,36,150,0,3,4,13,9,26,15,41,51,195,0,0,0,0,0,5,5,11,7,13,0,0,0,0,3,3,4,4,9,21,0,0,112,314
SSC20072,13,23,0,0,0,11,0,0,3,19,7,31,0,0,3,19,0,0,3,19,13,46,0,0,0,0,0,0,3,7,3,7,0,0,0,0,0,3,0,3,3,11,0,0,22,79
SSC20073,220,431,3,20,21,102,9,36,135,522,168,679,11,42,24,83,45,151,83,277,252,960,3,6,3,21,3,17,46,136,57,172,5,13,9,20,27,53,36,91,97,265,0,0,569,1655
SSC20074,1364,2701,14,65,120,540,15,81,1026,3908,1184,4588,67,268,167,602,234,748,467,1616,1647,6209,0,11,32,113,6,28,215,565,255,716,20,57,86,192,206,451,317,700,565,1412,119,243,3694,10565
SSC20075,24,54,0,0,3,8,0,0,22,78,21,89,0,0,5,14,0,3,7,14,26,106,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,3,0,0,52,162
SSC20076,553,1094,16,88,117,533,9,47,675,2646,825,3316,59,235,158,540,163,506,376,1288,1203,4603,3,11,11,43,7,9,78,176,94,247,14,44,51,120,103,223,169,381,265,631,26,59,2043,6386
SSC20077,579,1152,4,22,65,295,12,36,475,1799,556,2156,42,174,73,261,119,373,233,810,790,2967,3,22,27,80,5,14,108,261,142,376,15,54,45,100,120,244,176,397,320,779,44,91,1727,4986
SSC20078,616,1214,10,65,85,368,15,75,573,2238,686,2755,57,239,101,357,157,521,317,1116,999,3869,0,0,16,41,7,11,65,160,80,217,8,26,27,56,107,234,142,320,229,537,29,62,1872,5684
SSC20079,508,1016,20,101,126,553,19,82,461,1814,628,2544,101,447,143,499,227,738,478,1681,1100,4223,0,7,14,50,0,0,62,167,81,226,27,75,23,48,69,157,114,281,192,504,12,30,1824,5779
SSC20080,13,28,0,0,0,6,0,0,6,31,6,39,3,11,4,9,7,10,9,28,17,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,3,0,0,31,99
SSC20081,235,475,8,34,59,258,10,58,232,929,306,1280,66,289,61,226,138,448,264,969,570,2245,3,11,7,34,4,19,27,68,42,128,17,52,15,33,47,116,79,195,114,329,12,26,935,3075
SSC20082,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SSC20083,0,0,0,0,3,10,0,0,0,0,3,10,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
SSC20084,21,40,0,6,6,30,0,3,18,56,21,96,3,5,5,23,9,18,13,50,35,142,0,0,0,3,0,0,6,9,3,11,0,0,0,0,3,4,3,6,6,18,0,0,66,203
SSC20085,131,258,0,0,9,48,4,26,58,239,76,318,0,0,9,28,25,81,38,109,113,425,0,14,0,3,0,0,11,34,19,45,3,7,3,5,13,29,20,42,33,90,0,0,281,768
SSC20086,156,316,3,13,6,38,7,14,55,248,71,310,3,8,6,18,25,68,31,91,100,405,0,3,5,7,0,3,15,42,23,56,3,4,3,8,15,29,20,46,40,103,7,13,311,829
SSC20087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC20088,1192,2410,26,137,126,551,31,127,677,2645,854,3458,89,384,138,492,414,1350,644,2228,1501,5690,0,4,22,78,11,43,123,328,157,456,30,97,54,122,268,599,351,818,512,1270,59,118,3258,9489
SSC20089,10,9,0,0,0,7,0,0,3,18,5,19,0,0,0,0,0,5,0,5,7,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,37
SSC20090,69,142,3,18,6,32,0,3,58,229,72,286,12,41,16,53,33,90,58,187,124,474,0,0,0,8,0,4,13,28,15,42,0,0,0,3,13,34,17,36,35,83,0,0,231,695
SSC20091,42,86,4,11,13,46,0,6,24,103,33,163,0,3,5,27,7,21,14,47,47,208,0,0,0,0,0,0,3,12,3,12,0,0,0,0,0,3,0,3,7,14,0,0,97,313
SSC20092,81,162,3,22,14,53,4,15,59,238,77,334,7,21,9,30,18,57,36,111,109,445,0,3,3,10,0,0,9,29,16,46,0,4,3,7,4,7,10,15,25,58,0,3,216,668
SSC20093,3,5,0,0,0,3,0,0,3,24,3,28,0,0,0,0,0,3,0,3,5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,36
SSC20094,683,1358,13,78,61,267,23,114,336,1325,432,1789,38,146,61,193,131,419,228,761,658,2547,4,12,22,77,10,40,115,345,146,474,9,36,36,75,140,301,188,410,334,881,17,41,1693,4829
SSC20095,44,82,0,4,3,10,0,3,14,44,20,70,0,0,0,7,16,48,21,57,38,124,0,0,3,14,0,0,5,16,7,26,0,0,0,3,7,12,9,14,17,39,0,0,93,246
SSC20096,170,332,3,15,16,63,3,22,92,364,111,461,11,38,21,73,46,143,74,250,194,717,5,18,5,26,3,12,35,84,48,131,0,0,0,3,32,74,37,73,79,204,0,6,439,1259
SSC20097,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
SSC20098,37,73,0,0,0,4,0,8,26,98,23,105,0,10,7,21,11,30,18,61,42,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,85,242
SSC20099,3,9,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,3,0,8,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19
SSC20100,5,14,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,13,21
SSC20101,14,29,0,0,0,0,0,0,4,25,4,25,0,0,0,3,0,6,6,13,12,38,0,0,0,3,0,0,0,3,0,8,0,0,0,0,3,3,3,3,4,9,0,0,31,74
SSC20102,756,1487,6,46,55,254,13,53,352,1344,426,1696,20,96,48,156,110,354,179,602,605,2301,3,24,45,148,11,50,156,437,215,654,20,75,33,65,142,295,190,436,411,1090,35,75,1808,4948
SSC20103,11,25,0,0,0,3,0,0,6,18,10,20,0,0,0,5,0,0,0,5,10,30,0,0,0,0,0,4,8,13,4,18,0,3,0,0,0,3,3,3,5,21,0,3,34,85
SSC20104,577,1146,7,58,26,118,3,11,302,1144,334,1337,11,52,29,100,35,107,76,255,414,1591,0,0,3,15,0,0,52,121,56,141,8,13,31,66,45,95,82,177,137,316,35,76,1167,3133
SSC20105,10,16,0,3,0,3,0,0,6,22,8,33,0,14,0,0,0,3,6,20,14,53,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,6,5,11,0,0,26,78
SSC20106,6,16,0,0,0,0,0,0,10,34,10,34,0,0,0,0,0,3,0,3,10,34,0,0,0,0,0,0,0,3,0,3,0,0,3,3,0,0,3,3,3,7,0,0,20,60
SSC20107,330,662,11,48,31,141,11,30,181,702,221,929,24,90,31,97,59,191,112,375,337,1302,0,3,15,58,0,13,47,130,63,199,3,8,13,19,31,70,52,105,112,297,7,15,789,2278
SSC20108,4,13,0,0,0,3,0,0,6,26,5,31,0,0,0,0,0,4,0,4,11,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,4,3,0,0,17,49
SSC20109,0,3,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9
SSC20110,471,929,0,17,45,199,5,23,279,1070,334,1307,19,91,43,135,63,198,131,426,465,1738,0,8,11,35,9,26,91,223,105,286,5,20,35,78,75,175,120,270,224,556,20,41,1183,3255
SSC20111,561,1120,0,13,34,174,9,55,247,969,297,1213,19,73,28,83,87,266,128,427,433,1638,5,17,16,59,13,37,121,332,156,446,20,56,30,76,94,206,148,332,302,787,32,62,1323,3603
SSC20112,412,807,5,22,42,183,9,29,230,908,284,1138,14,70,33,128,57,181,112,380,393,1518,0,4,9,39,10,33,68,179,87,262,14,36,12,29,67,130,89,199,180,459,12,31,997,2814
SSC20113,15,26,3,8,3,7,0,6,4,14,10,40,0,6,0,3,4,10,6,21,17,64,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,3,0,3,6,10,0,0,30,93
SSC20114,23,52,0,8,3,12,4,11,13,61,18,84,3,12,8,19,7,29,16,63,41,149,0,0,0,0,0,3,7,13,8,20,0,0,0,0,9,15,9,15,13,33,0,0,77,229
SSC20115,15,35,0,0,3,8,0,0,8,41,12,53,0,0,0,3,8,20,6,20,20,70,0,0,0,0,0,0,3,5,3,5,0,3,0,0,3,3,6,9,8,12,0,0,43,124
SSC20116,7,14,0,3,0,0,0,0,10,33,6,42,0,0,0,0,0,0,0,0,6,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,54
SSC20117,17,43,0,0,0,0,0,0,7,28,7,28,0,0,0,3,0,4,3,3,12,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,8,0,0,35,78
SSC20118,46,83,0,0,0,5,0,0,11,51,15,61,0,7,3,17,9,25,19,49,34,109,0,0,0,0,0,0,0,3,0,3,0,0,0,3,3,6,7,10,4,11,0,0,78,207
SSC20119,260,521,3,21,38,169,5,27,146,554,187,764,15,55,28,100,65,193,110,351,302,1118,0,0,5,22,3,3,22,63,35,92,4,16,10,28,23,45,33,83,71,173,7,19,635,1830
SSC20120,75,147,0,0,3,15,0,3,13,55,15,70,0,3,5,28,8,19,13,46,32,118,0,0,0,0,0,0,5,16,5,16,0,3,0,0,6,13,6,18,17,34,0,0,120,295
SSC20121,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
