SSC_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SSC20011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20012,4,7,8,9,7,18,9,18,0,70,3,4,15,21,12,15,6,17,0,100,3,8,10,7,7,12,3,5,0,53,0,5,14,4,3,0,0,3,3,34,0,6,8,4,3,0,0,0,0,27,0,12,10,3,3,3,0,0,0,34,0,0,0,0,0,0,0,0,0,5,6,8,0,4,3,0,0,3,0,24,0,3,0,0,0,3,0,0,0,7,13,54,66,55,38,53,29,47,4,351
SSC20013,0,3,0,4,3,3,0,14,0,27,0,0,0,0,0,0,3,3,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,3,0,0,8,0,4,0,0,0,3,0,0,0,6,0,0,0,0,0,3,0,0,0,9,0,0,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,10,9,9,8,10,4,23,4,75
SSC20014,8,17,14,17,76,122,75,129,5,466,37,49,63,87,137,190,69,106,9,758,3,17,28,18,125,173,45,75,9,503,10,57,67,65,57,63,28,21,11,365,22,45,78,65,161,138,41,39,7,605,16,79,40,44,61,54,21,42,6,371,9,5,12,22,63,43,28,32,12,225,8,46,26,32,61,37,14,25,8,246,5,3,9,5,7,10,4,8,13,71,114,318,330,355,743,841,324,489,83,3608
SSC20015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20016,3,11,14,6,37,32,10,15,0,121,5,11,11,22,62,45,13,14,4,199,11,18,26,25,89,75,30,30,9,321,0,32,40,50,34,21,9,11,11,208,9,20,28,32,71,41,21,14,3,233,7,54,38,29,37,19,11,8,9,201,6,19,14,25,91,70,29,26,6,289,11,68,50,56,111,66,23,19,14,418,5,3,3,3,9,3,3,0,28,55,64,237,228,243,536,380,139,144,80,2050
SSC20017,20,26,31,58,58,162,91,308,5,760,42,100,103,126,115,243,131,346,3,1209,3,12,17,16,22,41,13,31,0,159,5,44,35,24,15,21,11,26,5,184,7,41,40,35,58,77,23,51,4,327,9,49,19,34,30,40,22,58,3,263,0,3,3,3,0,4,0,9,0,22,3,18,12,13,8,18,3,9,0,76,0,4,3,6,8,13,6,13,14,69,94,302,264,310,314,612,293,846,37,3067
SSC20018,0,4,0,0,0,0,0,14,0,21,0,4,0,3,5,3,0,0,0,12,0,0,0,0,0,8,0,3,0,16,0,0,0,0,3,0,0,0,3,8,4,0,0,0,0,0,3,0,0,10,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,9,0,3,0,4,4,0,0,3,0,20,0,0,0,0,0,0,0,0,4,7,5,18,13,14,20,16,4,24,7,109
SSC20019,0,0,0,0,0,0,0,9,0,11,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,6,0,0,0,3,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,7,0,5,3,4,0,9,3,40
SSC20020,8,3,7,13,34,32,24,16,0,138,9,19,24,35,88,78,25,27,3,307,3,12,31,26,76,72,30,19,7,277,3,44,45,42,49,26,11,12,0,237,6,17,21,18,71,51,19,14,3,229,5,38,36,29,31,13,7,9,8,178,6,5,14,21,62,45,29,14,9,203,3,38,78,48,72,53,17,14,7,350,0,0,0,0,7,8,0,3,17,49,41,186,263,242,503,378,166,135,55,1965
SSC20021,10,3,6,9,21,33,21,41,0,142,6,15,29,32,24,25,16,16,0,153,3,15,10,14,32,54,34,30,4,192,14,16,11,25,19,21,13,4,6,125,7,16,23,28,23,26,9,10,0,141,0,23,10,18,17,9,3,3,0,88,8,4,3,8,22,18,6,16,3,86,3,32,16,18,20,26,5,4,3,128,0,3,3,3,4,4,0,3,6,25,50,127,108,151,186,213,102,125,21,1090
SSC20022,18,12,13,31,83,109,97,176,7,543,33,86,122,163,191,210,112,148,16,1081,10,39,26,37,130,166,75,75,3,552,31,141,75,95,63,61,28,31,8,542,25,80,90,105,156,105,29,31,3,630,20,195,61,59,84,43,23,36,3,526,5,11,6,21,30,35,27,44,0,183,17,111,49,44,54,37,37,30,3,386,0,3,3,10,15,4,3,7,22,56,161,680,446,560,811,772,433,572,59,4502
SSC20023,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,8
SSC20024,0,0,3,3,0,0,0,8,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,3,8,3,3,0,7,3,29
SSC20025,0,0,0,0,0,0,0,4,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,3,16,0,32
SSC20026,0,0,3,3,7,6,7,12,3,29,4,0,0,8,4,7,0,5,0,29,0,0,0,4,9,6,3,3,0,25,0,3,7,3,0,0,0,0,0,18,0,4,3,0,8,3,3,0,0,19,0,4,0,3,0,0,0,3,0,12,0,0,0,0,0,3,0,0,0,7,0,3,3,6,7,0,3,0,3,14,0,0,0,0,0,0,0,0,0,0,7,13,19,26,26,25,15,18,7,157
SSC20027,6,6,3,17,8,25,5,56,3,133,11,9,16,20,18,13,14,14,0,108,3,0,6,12,27,32,12,24,0,125,3,11,14,16,7,8,3,3,0,69,6,10,14,19,11,4,8,3,4,78,0,22,11,14,11,10,0,4,0,69,6,0,6,3,14,12,4,21,4,61,3,21,12,8,16,25,8,15,0,112,0,0,0,0,0,7,0,0,6,14,47,87,77,102,109,127,51,148,21,769
SSC20028,0,0,0,0,0,4,0,3,0,8,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,3,3,4,0,14,0,0,0,3,0,0,0,0,0,6,0,3,0,3,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,9,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,12,6,7,16,16,11,10,4,78
SSC20029,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,3,0,0,0,0,0,4,0,0,0,0,3,0,3,3,0,12,0,3,0,0,0,3,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,16,3,3,12,5,9,13,0,56
SSC20030,0,0,0,0,0,5,0,5,0,5,0,0,0,4,0,0,0,0,0,9,0,0,0,0,3,3,0,3,0,9,0,0,3,0,3,3,0,0,0,12,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,7,0,0,3,0,0,7,0,0,0,9,0,3,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,6,9,6,11,11,12,4,7,3,66
SSC20031,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,10
SSC20032,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,3,6,3,0,5,0,27
SSC20033,12,13,29,37,64,119,73,147,8,500,37,95,125,157,153,261,122,212,4,1160,0,16,19,8,40,61,21,24,3,194,7,78,40,32,25,20,20,13,3,234,8,42,52,52,63,59,27,23,0,327,3,72,31,24,34,28,11,21,3,226,3,3,9,0,13,7,3,8,0,46,7,32,20,17,9,11,8,3,0,105,0,4,4,4,5,0,0,5,7,30,75,348,316,329,411,565,287,462,25,2824
SSC20034,14,23,32,38,92,183,112,218,7,729,58,83,123,143,250,331,156,176,11,1331,13,33,53,50,149,184,71,103,3,648,19,113,68,90,56,71,30,27,11,488,16,72,95,88,205,170,63,59,6,787,9,100,61,47,60,73,34,32,6,421,13,12,22,34,64,73,31,39,8,295,10,67,42,45,54,51,19,29,4,313,3,9,4,3,10,18,4,10,29,85,157,515,502,523,950,1145,515,699,81,5094
SSC20035,26,24,27,49,140,211,117,205,9,800,53,102,119,163,333,416,155,185,11,1538,32,46,70,88,330,363,153,167,15,1267,37,147,160,179,163,131,61,54,10,949,57,99,147,172,424,315,99,92,12,1426,25,244,126,97,141,97,44,45,18,836,25,39,60,84,275,190,91,154,21,938,32,190,156,113,194,169,58,54,27,989,5,14,11,10,32,33,7,13,33,162,293,915,883,951,2029,1916,789,964,161,8906
SSC20036,22,18,29,35,96,153,72,149,3,577,49,47,81,86,192,237,114,119,11,935,22,37,45,43,159,187,99,90,16,694,16,73,53,89,73,58,33,32,8,442,37,45,57,75,187,146,69,41,7,663,9,120,59,47,76,67,32,39,8,455,12,23,33,25,104,88,44,46,8,368,10,82,51,51,97,59,23,35,14,407,3,10,7,3,11,17,3,5,29,91,173,457,399,460,997,1000,479,566,103,4640
SSC20037,0,4,3,0,0,0,0,18,0,24,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,3,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,10,9,3,13,8,0,21,3,57
SSC20038,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,4,3,3,3,0,0,26
SSC20039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20040,4,3,4,0,3,0,3,8,0,21,0,0,0,3,0,0,0,0,0,10,4,0,0,0,4,3,3,0,0,16,0,3,0,0,3,0,0,0,0,10,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,0,0,12,0,0,0,3,7,5,5,0,0,22,0,0,0,0,0,0,0,0,0,0,9,5,9,13,17,17,11,9,0,93
SSC20041,0,0,0,3,3,5,11,23,0,40,3,7,8,9,4,12,6,5,3,58,0,4,0,5,11,9,4,18,0,61,0,0,4,7,3,3,3,4,0,33,0,3,6,7,6,4,4,3,0,38,0,12,7,6,4,0,0,3,0,23,0,0,3,3,6,10,0,9,0,37,3,5,4,0,3,8,3,7,0,34,0,0,0,0,0,0,0,0,3,12,10,34,36,37,48,55,31,68,14,333
SSC20042,0,0,0,0,0,3,0,4,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,8,5,3,5,7,0,3,0,41
SSC20043,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,12
SSC20044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9
SSC20045,3,7,8,18,24,33,23,47,3,158,15,27,58,32,42,50,22,40,6,295,5,12,9,21,35,48,23,34,5,197,10,29,20,21,17,23,11,6,3,130,7,16,22,32,24,16,3,6,0,131,4,33,13,8,13,13,4,3,0,94,0,6,5,7,6,7,7,3,0,35,4,35,8,13,3,17,0,6,3,91,0,0,3,7,3,6,0,0,4,21,51,167,138,161,165,206,91,151,23,1153
SSC20046,0,0,0,3,0,0,0,4,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,11
SSC20047,0,0,0,0,0,4,0,8,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,7,0,8,0,22
SSC20048,5,13,9,8,12,21,7,44,4,127,16,7,9,12,14,19,12,18,0,100,10,5,14,21,16,31,10,9,3,117,8,19,8,15,7,13,3,9,0,79,4,11,17,7,0,7,0,3,0,53,10,16,8,10,10,9,3,3,0,71,3,0,0,3,4,16,0,0,0,28,10,52,27,31,9,4,0,12,0,145,0,0,0,0,0,0,0,0,0,9,57,128,104,108,83,108,33,101,10,730
SSC20049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3
SSC20050,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,11,0,18
SSC20051,0,0,6,7,3,8,3,21,0,50,0,0,0,3,3,3,0,7,0,13,0,0,3,3,0,0,0,0,0,8,0,7,0,3,0,3,0,3,0,13,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,3,0,0,7,0,3,0,3,13,5,3,4,0,32,0,0,0,0,0,0,0,0,0,0,5,16,9,15,20,26,7,36,4,140
SSC20052,4,14,15,22,46,66,43,105,4,328,16,32,45,63,74,96,46,54,3,429,14,29,20,49,91,106,33,57,12,421,47,72,62,89,100,128,38,55,3,604,15,42,36,47,77,31,10,21,0,278,15,111,41,38,42,27,14,20,0,307,7,15,18,5,44,37,24,40,0,201,20,97,59,123,118,105,35,48,7,612,3,0,3,5,12,14,3,7,22,66,146,419,309,439,609,606,261,400,58,3248
SSC20053,0,0,0,0,0,0,0,10,0,15,0,0,4,0,0,0,0,3,0,8,0,0,0,0,0,3,0,3,0,8,0,0,3,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,4,12,4,0,0,3,19,0,48
SSC20054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20055,0,4,0,3,3,11,3,11,0,42,0,0,0,4,7,3,0,3,0,23,0,0,0,0,3,3,3,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,3,0,5,0,0,0,0,8,0,4,0,0,0,0,0,0,0,11,0,0,0,0,0,3,0,3,3,9,0,3,5,4,3,4,0,3,0,20,0,0,0,0,0,0,0,0,0,0,3,16,15,16,25,18,13,27,3,130
SSC20056,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,3,0,0,0,9,0,0,3,0,5,3,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,8,0,8,12,3,5,10,5,4,3,47
SSC20057,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
SSC20058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7
