SSC_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SSC20128,26,1717,898,355,1833,0.8,1863,3.1
SSC20129,47,0,816,0,1625,0.8,1791,3.1
SSC20130,68,2084,472,185,1024,0.8,637,1.7
SSC20131,40,0,1093,0,2250,0.6,2200,3.1
SSC20132,34,1749,704,320,1775,0.8,1661,3
SSC20133,51,0,545,0,1624,0.8,1437,1.6
SSC20134,50,975,899,0,966,0.8,949,1.9
SSC20135,37,1733,774,300,1987,0.8,1840,2.9
SSC20136,53,1473,487,0,1437,0.6,1125,1.9
SSC20137,57,1325,553,95,1286,0.7,1062,2.1
SSC20138,57,0,450,116,575,0.6,725,1.7
SSC20139,51,1800,677,200,1375,0.7,1145,2.2
SSC20140,49,1387,572,275,1571,0.8,1288,2.4
SSC20141,57,520,350,0,899,0.7,575,1.4
SSC20142,48,980,674,0,1437,0.6,1125,1.9
SSC20143,53,987,430,140,891,0.8,742,2
SSC20144,42,0,1187,0,0,0.6,0,2
SSC20145,40,1300,719,260,1721,0.8,1531,2.5
SSC20146,48,1712,715,210,1728,0.7,1604,2.6
SSC20147,42,1200,567,260,1281,0.7,1125,2.4
SSC20148,47,1517,594,200,1428,0.7,1208,2.5
SSC20149,47,1538,570,190,1231,0.7,1037,2.4
SSC20150,41,2000,949,325,2250,0.7,2166,2.8
SSC20151,40,0,700,0,1187,0.6,1187,2
SSC20152,45,0,749,0,0,0.6,949,2
SSC20153,35,0,675,0,1375,0.6,1312,2
SSC20154,37,0,374,0,0,0,949,2
SSC20155,40,885,575,0,2250,0.8,1624,2
SSC20156,65,0,474,0,900,0.5,624,1.5
SSC20157,36,0,900,0,0,0,0,0
SSC20158,49,2100,491,178,1687,0.6,900,2.2
SSC20159,51,1300,644,155,1446,0.7,1303,2.3
SSC20160,52,1165,511,166,1156,0.7,866,2
SSC20161,43,1950,784,360,2111,0.8,1774,2.6
SSC20162,53,0,550,0,0,0.3,537,1.5
SSC20163,50,1355,428,200,1009,0.7,811,2.4
SSC20164,39,1955,718,250,2151,0.9,2112,3.5
SSC20165,48,1354,682,0,1875,0.8,1437,2.5
SSC20166,0,0,0,0,0,0,0,0
SSC20167,28,0,833,0,0,0,0,0
SSC20168,39,1387,635,297,1574,0.8,1359,2.4
SSC20169,38,0,687,0,0,0,1375,2
SSC20170,42,1667,602,220,1775,0.8,1455,2.9
SSC20171,51,1408,703,150,1562,0.6,1312,2.5
SSC20172,38,1647,641,331,1574,0.8,1294,2.5
SSC20173,36,1700,716,310,1747,0.8,1428,2.5
SSC20174,39,1950,728,302,2109,0.8,1912,3.1
SSC20175,41,2100,808,350,2258,0.8,2158,3.1
SSC20176,57,596,389,80,817,0.7,565,2
SSC20177,64,834,389,0,780,0.7,762,1.6
SSC20178,37,0,612,0,1291,0.9,1125,2.6
SSC20179,24,0,1031,0,2125,0,2125,4.2
SSC20180,53,1083,468,200,1105,0.7,792,2.1
SSC20181,46,2600,866,540,2699,0.8,2214,2.7
SSC20182,47,0,1062,0,0,0.5,1375,1
SSC20183,47,1083,549,180,1300,0.8,1010,2.3
SSC20184,45,867,507,170,1187,0.7,900,1.9
SSC20185,49,1430,621,248,1443,0.7,1152,2.3
SSC20186,45,0,575,0,2750,0.6,2250,1.5
SSC20187,38,1690,745,336,1900,0.8,1652,2.7
SSC20188,39,1700,681,330,1918,0.9,1695,2.9
SSC20189,43,1700,699,378,2055,0.8,1908,3
SSC20190,41,1335,513,280,1325,0.8,1022,2.3
SSC20191,43,1408,506,290,1341,0.7,1075,2.4
SSC20192,55,2500,575,240,1625,0.6,1416,2.4
SSC20193,0,0,0,0,0,0,0,0
SSC20194,52,2029,651,300,1678,0.7,1288,2.5
SSC20195,49,1509,653,265,1602,0.7,1473,2.4
SSC20196,46,995,437,0,982,0.8,966,2.5
SSC20197,35,2000,536,323,1571,0.9,1327,2.6
SSC20198,0,0,0,0,0,0,0,0
SSC20199,50,1733,725,0,2562,0.8,2062,2.7
SSC20200,39,1517,601,295,1547,0.8,1145,2.3
SSC20201,63,1481,378,0,900,0.6,675,1.6
SSC20202,51,1517,560,185,1329,0.7,1135,2.1
SSC20203,49,1170,537,200,1205,0.7,905,2.1
SSC20204,59,650,473,150,1062,0.7,756,1.9
SSC20205,44,1207,621,40,1625,0.7,1218,2.3
SSC20206,43,1975,734,290,1812,1,1800,2.9
SSC20207,41,1408,657,250,1555,0.8,1117,2.1
SSC20208,55,600,469,70,1125,0.6,687,1.8
SSC20209,54,1092,575,60,1125,0.7,1042,2.1
SSC20210,41,684,662,0,1624,0.8,949,2
SSC20211,44,1821,519,148,1791,0.7,1354,2.2
SSC20212,47,1842,585,0,1875,0.9,1437,2.7
SSC20213,39,2167,752,421,2279,0.9,1848,2.7
SSC20214,40,2117,712,425,2057,0.9,1735,2.7
SSC20215,58,0,624,0,0,0.5,0,1
SSC20216,45,1532,845,220,1791,0.7,1604,2.4
SSC20217,45,0,372,0,1124,0.8,1124,2.4
SSC20218,44,1020,397,0,933,0.8,730,2.5
SSC20219,62,0,392,0,774,0.6,725,2.3
SSC20220,48,477,437,80,1062,0.7,883,2.5
SSC20221,55,0,556,0,1208,0.6,1125,1.9
SSC20222,48,1409,575,150,1149,0.7,1018,2.4
SSC20223,36,1842,707,361,1939,0.8,1746,3
SSC20224,51,1142,581,28,1874,0.5,1333,2.1
SSC20225,45,1029,406,200,900,0.8,725,2.2
SSC20226,44,1532,556,157,1624,0.8,1274,2.7
SSC20227,30,0,850,0,0,0.5,0,1
SSC20228,48,1300,682,195,1773,0.7,1375,2.4
SSC20229,57,1002,415,0,949,0.6,778,2.1
SSC20230,54,303,492,62,1218,0.7,906,2.1
SSC20231,39,1083,522,150,1319,0.8,1125,2.9
SSC20232,32,1997,783,350,1992,0.8,1940,3.2
SSC20233,0,0,0,0,0,0,0,0
SSC20234,33,1625,789,250,2055,0.8,1937,2.7
SSC20235,63,0,630,0,1999,0.8,1125,1.5
SSC20236,50,1300,518,0,1125,0.6,833,2.2
SSC20237,36,0,680,0,1624,0.8,1624,3.4
SSC20238,0,0,0,0,0,0,0,0
SSC20239,45,0,774,0,2124,0,2374,0
SSC20240,45,0,466,0,1062,0.8,1062,2.5
SSC20241,43,1700,514,0,1199,0.7,924,2.4
SSC20242,0,0,0,0,0,0,0,0
SSC20243,47,650,507,134,1231,0.7,922,2.3
SSC20244,71,0,250,0,0,0,0,0
SSC20245,39,1510,631,250,1738,0.8,1483,2.9
SSC20246,44,1490,639,220,1537,0.8,1181,2.4
SSC20247,41,1700,659,295,1657,0.8,1449,2.7
SSC20248,37,1439,600,250,1488,0.8,1237,2.3
SSC20249,50,1185,600,175,1624,0.8,1166,2.3
SSC20250,46,2450,933,461,2761,0.8,2109,2.5
SSC20251,40,2000,748,378,2279,0.9,1799,2.6
SSC20252,38,2000,645,391,1824,0.8,1528,2.8
SSC20253,42,2000,612,351,1964,0.8,1516,2.7
SSC20254,52,1517,537,0,1562,0.8,1562,1.4
SSC20255,44,1300,685,245,1483,0.8,1180,2
SSC20256,57,1800,621,320,1379,0.6,1060,2
SSC20257,35,1647,575,0,1125,0.7,1083,1.6
SSC20258,51,1394,568,150,1392,0.8,1302,2.2
SSC20259,40,1600,671,311,1777,0.8,1628,2.7
SSC20260,50,1625,665,80,1600,0.6,1406,2.2
SSC20261,34,0,725,0,1999,0,1749,3
SSC20262,51,1517,785,160,1781,0.6,1446,2.3
SSC20263,41,1650,706,140,1875,0.7,1125,2.4
SSC20264,23,0,850,0,0,0,0,0
SSC20265,58,1441,714,0,1812,0.6,1416,1.9
SSC20266,57,1144,450,103,1312,0.7,1062,2
SSC20267,52,0,425,0,0,0,0,0
SSC20268,59,0,449,0,1749,0.6,1749,2.5
SSC20269,47,1083,627,150,1452,0.8,1264,2.3
SSC20270,0,0,0,0,0,0,0,0
SSC20271,47,2167,878,0,2055,0.8,2062,2.7
SSC20272,29,0,1042,0,0,0,1749,1
SSC20273,49,1400,592,170,1553,0.8,1319,2.4
SSC20274,50,737,550,0,1437,0.6,1124,2.3
SSC20275,46,1517,767,80,1968,0.8,1792,2.5
SSC20276,56,789,461,0,1149,0.7,612,1.6
SSC20277,40,1820,793,321,1979,0.8,1461,2.2
SSC20278,23,2000,840,180,1971,0.7,1861,2.6
SSC20279,46,2000,639,216,1531,0.8,1395,3
SSC20280,38,1200,749,0,1687,1.2,1249,3
SSC20281,52,1300,550,200,1134,0.7,937,2.2
SSC20282,42,1300,633,0,2094,0.8,1875,2.8
SSC20283,46,1603,575,144,1410,0.7,1328,2.7
SSC20284,0,0,0,0,0,0,0,0
SSC20285,48,0,1062,0,0,0.5,0,2
SSC20286,50,1083,497,135,1356,0.7,1057,2.3
SSC20287,54,1083,566,0,1354,0.7,1187,2.6
SSC20288,0,0,0,0,0,0,0,0
SSC20289,22,0,675,0,2083,0,1875,0
SSC20290,33,1408,939,0,2249,0,1875,0
SSC20291,37,0,574,0,0,0.5,1074,1.5
SSC20292,39,1000,599,150,1104,0.8,1047,2.5
SSC20293,45,1077,528,146,1187,0.8,1208,2.4
SSC20294,57,0,762,0,1437,0,1375,0
SSC20295,35,1408,664,0,1687,0.8,1562,3
SSC20296,50,1335,684,200,1531,0.6,1171,2.3
SSC20297,54,1382,565,0,1166,0.6,949,1.8
SSC20298,55,758,470,150,1135,0.7,884,2.1
SSC20299,38,1500,507,0,1062,0.8,1125,2.7
SSC20300,45,1409,612,0,1312,1,1291,2.5
SSC20301,58,0,550,0,1625,0.6,1187,2.4
SSC20302,38,1690,658,336,1581,0.8,1318,2.4
SSC20303,53,252,369,0,1062,0.7,900,1.8
SSC20304,47,1300,599,180,1350,0.6,1286,2.8
SSC20305,32,2200,938,460,2270,0.8,2252,3.2
SSC20306,49,658,525,0,1354,0.7,1062,2.3
SSC20307,47,867,460,240,1174,0.8,1024,2.4
SSC20308,51,1781,919,0,2750,0.7,1875,2.1
SSC20309,45,1300,784,0,1625,0.5,1458,2.4
SSC20310,50,1759,716,0,1875,0.8,1399,2.1
SSC20311,39,1603,820,0,1958,0.8,1958,2
SSC20312,31,1800,473,350,1399,1,1054,2.4
SSC20313,37,2000,581,385,1699,0.9,1423,2.7
SSC20314,36,2000,613,381,2053,0.9,1490,2.7
SSC20315,26,0,374,0,1999,0,1249,1
SSC20316,62,0,599,0,0,0,1274,0
SSC20317,29,0,900,0,1875,0.9,1812,3.2
SSC20318,49,0,649,0,575,1,574,1
SSC20319,46,1762,731,0,1812,0.8,1562,2.1
SSC20320,46,693,628,135,1458,0.8,1275,2.5
SSC20321,55,0,1275,0,2583,0.6,2625,2
SSC20322,32,1600,424,275,1153,1,1051,2.9
SSC20323,35,0,624,0,1125,0.8,849,3
SSC20324,41,1288,506,260,1133,0.8,807,2
SSC20325,57,1867,768,260,1593,0.7,1478,2.1
SSC20326,55,0,514,0,1125,0.8,900,1.8
SSC20327,49,1463,489,0,1812,0.8,1437,2.1
SSC20328,43,1162,586,250,1325,0.8,1107,2.4
SSC20329,41,1842,754,341,1908,0.8,1598,2.5
SSC20330,47,2000,667,140,1416,0.8,1208,2.7
SSC20331,46,1300,606,0,1604,0.8,1375,2.5
SSC20332,40,527,339,150,1375,0.8,1166,3
SSC20333,53,975,503,180,1270,0.7,860,2
SSC20334,51,1395,575,220,1252,0.7,949,2.2
SSC20335,45,2913,1048,522,3337,0.8,2410,2.5
SSC20336,44,2500,837,500,2698,0.8,2065,2.6
SSC20337,48,477,485,0,1149,0.7,966,2.5
SSC20338,52,0,850,0,0,0.5,0,0
SSC20339,57,434,433,0,1024,0.6,762,2
SSC20340,44,542,575,38,1458,0.5,1406,2.8
SSC20341,62,0,630,0,1374,0.6,1375,2
SSC20342,34,0,524,0,1125,0.8,1125,2.6
SSC20343,39,1300,599,260,1445,0.8,1239,2.6
SSC20344,30,1322,392,290,983,1.1,900,3
SSC20345,30,0,630,0,1375,1,1187,2.9
SSC20346,39,0,518,0,1343,0.6,1024,1.5
SSC20347,47,0,624,0,1458,0.9,1416,2.8
SSC20348,54,0,405,0,1124,0.7,1062,2.5
SSC20349,31,1616,646,315,1585,0.9,1452,3
SSC20350,33,1842,730,340,1684,0.9,1460,2.3
SSC20351,0,0,0,0,0,0.3,0,1
SSC20352,48,1092,505,170,1333,0.8,1312,2.5
SSC20353,46,622,531,45,1062,0.7,814,2
SSC20354,36,1482,685,250,1682,0.8,1357,2.4
SSC20355,42,1409,772,250,1875,0.7,1625,2.4
SSC20356,50,1668,593,0,1375,0.7,1187,2.5
SSC20357,42,1057,836,0,1825,0.8,1792,2
SSC20358,0,0,0,0,0,0,0,0
SSC20359,33,2058,817,401,2206,1,1724,2.2
SSC20360,32,2000,916,400,2215,1,1726,2.2
SSC20361,34,2000,742,323,1970,1,1423,2.2
SSC20362,45,1098,490,209,1235,0.8,1011,2.2
SSC20363,46,858,440,65,850,0.6,791,2.2
SSC20364,50,1083,444,46,1014,0.8,731,2.2
SSC20365,56,1733,473,0,875,0.5,814,1.9
SSC20366,53,1500,583,231,1237,0.7,1125,2.1
SSC20367,46,1950,575,295,1774,0.8,1625,2.9
SSC20368,47,2084,743,0,1958,0.8,1625,3
SSC20369,55,217,471,0,900,0.7,833,1.6
SSC20370,0,0,0,0,0,0,0,0
SSC20371,45,1300,505,143,1666,0.9,1350,3
SSC20372,24,0,725,0,0,0,0,0
SSC20373,48,1509,636,226,1521,0.7,1375,2.6
SSC20374,52,1480,529,83,1224,0.8,900,2.5
SSC20375,36,2167,680,120,1774,0.8,1374,2.9
SSC20376,69,0,749,0,0,0,0,0
SSC20377,0,0,0,0,0,0,0,0
SSC20378,46,0,324,0,1062,0.8,900,2
SSC20379,46,1794,630,185,1760,0.8,1812,3
SSC20380,26,0,599,255,1187,0.7,1125,2
SSC20381,45,2059,480,140,1125,0.7,974,2.6
SSC20382,58,1000,443,260,1156,0.8,1024,2
SSC20383,56,480,560,0,1062,0.8,899,1.7
SSC20384,45,2000,603,400,1812,0.8,1501,2.7
SSC20385,44,2167,805,110,2210,0.8,1861,2.8
SSC20386,56,1246,661,0,1542,0.7,916,2.2
SSC20387,42,813,574,0,1624,1.1,1374,2.2
SSC20388,39,1658,622,231,1644,0.9,1553,2.9
SSC20389,49,1517,632,80,2050,0.8,1593,2.5
SSC20390,44,1651,556,0,1281,0.5,1281,2.6
SSC20391,40,1600,704,150,2042,0.8,1803,2.9
SSC20392,39,1500,570,120,1825,0.7,1312,2.7
SSC20393,53,1500,629,265,1613,0.6,1292,2.3
SSC20394,54,1842,628,0,1624,0.5,1625,3.5
SSC20395,0,0,0,0,0,0,0,0
SSC20396,55,975,662,0,1625,0.6,1562,2.7
SSC20397,34,1733,495,346,1590,0.9,1337,2.8
SSC20398,54,1989,545,0,1749,0.7,1124,2
SSC20399,36,1100,624,0,1437,0.8,1437,2.8
SSC20400,48,1867,743,0,2374,0.5,2125,2.1
SSC20401,49,1384,582,0,1468,0.7,1350,2.3
SSC20402,43,1285,637,248,1354,0.8,1279,2.8
SSC20403,44,0,762,0,1624,0.8,1375,3.3
SSC20404,43,750,575,0,1375,0.7,1312,2.6
SSC20405,24,0,3000,0,0,0,0,0
SSC20406,55,0,524,0,949,0.5,900,0
SSC20407,41,1517,708,275,1902,0.8,1573,2.7
SSC20408,43,1350,680,250,1828,0.8,1718,3.1
SSC20409,40,1733,607,263,1764,0.8,1468,2.8
SSC20410,45,1354,687,310,2250,0.6,1792,2.5
SSC20411,0,0,0,0,0,0,0,0
SSC20412,49,0,725,0,2249,0.7,2124,2.5
SSC20413,63,0,462,0,2124,0.5,487,1.4
SSC20414,42,1300,291,75,1292,0.7,1062,2
SSC20415,61,0,743,0,1375,0.7,1416,1.9
SSC20416,32,2113,1127,401,2555,1,2013,2.2
SSC20417,37,1733,542,350,1520,0.9,1412,3.1
SSC20418,31,2000,698,369,1789,1,1841,3.6
SSC20419,54,0,754,0,2250,0.6,1999,2
SSC20420,43,1550,655,250,1687,0.7,1446,2.5
SSC20421,41,0,746,0,1437,1,1437,2.4
SSC20422,54,1867,825,0,2749,0.6,1125,1.6
SSC20423,55,1230,485,160,1446,0.9,900,2.1
SSC20424,30,2000,446,391,1767,0.9,1209,2.6
SSC20425,40,2000,514,400,1605,0.8,1373,2.7
SSC20426,41,1733,787,305,1949,0.8,1854,3.1
SSC20427,48,1733,758,0,2250,0.6,1208,2.4
SSC20428,42,0,374,0,0,0,0,0
SSC20429,53,1517,585,245,1318,0.7,1083,2.3
SSC20430,50,900,765,100,1687,0.7,1333,2.2
SSC20431,43,700,619,0,1531,0.8,1375,2.5
SSC20432,50,1289,691,0,1791,0.7,1375,2.3
SSC20433,50,1425,637,200,2174,0.7,1468,2.6
SSC20434,47,1300,476,180,1100,0.8,966,2.5
SSC20435,41,1300,688,175,1728,0.9,1644,3.2
SSC20436,57,0,530,0,1374,0.6,1312,1.9
SSC20437,59,800,408,0,762,0.7,624,1.9
SSC20438,58,0,899,0,2749,0.5,1649,2
SSC20439,33,1850,549,369,1635,1,1748,3.7
SSC20440,0,0,0,0,0,0,0,0
SSC20441,41,2167,644,200,1625,0.8,1444,2.7
SSC20442,38,1192,496,220,1077,0.8,877,2.3
SSC20443,43,825,604,100,1292,0.7,1025,2.2
SSC20444,50,871,392,0,899,0.7,725,2.5
SSC20445,39,1904,530,230,1687,0.8,1458,2.6
SSC20446,37,1220,949,0,1625,0.6,1125,1.9
SSC20447,45,1733,1149,0,1625,0.3,1874,1.5
SSC20448,37,0,825,0,1916,0.5,1792,1.4
SSC20449,40,1441,550,240,1625,0.9,1350,3
SSC20450,0,0,0,0,0,0,0,0
SSC20451,41,2500,852,440,2772,0.9,2196,2.7
SSC20452,37,1701,703,288,1792,0.8,1715,2.8
SSC20453,36,1500,376,281,1006,1,921,3.1
SSC20454,40,0,949,0,0,0.2,1125,1
SSC20455,42,1300,620,290,1428,0.8,1190,2.5
SSC20456,52,1525,389,145,1024,0.6,743,1.8
SSC20457,42,729,575,0,1375,0.9,900,2
SSC20458,50,1083,514,200,1210,0.7,917,2.2
SSC20459,34,1400,645,260,1570,0.8,1290,2.5
SSC20460,66,0,1031,0,0,0,1749,2
SSC20461,42,1300,593,0,1375,0.7,1187,2.5
SSC20462,50,503,365,100,812,0.7,657,1.9
SSC20463,43,0,824,0,0,0.6,749,0
SSC20464,40,1539,664,285,1894,0.8,1578,2.6
SSC20465,31,0,725,0,1312,0.6,1208,2.6
SSC20466,44,2723,913,430,3075,0.8,2440,2.8
SSC20467,54,1157,665,270,1708,0.8,1541,2.4
SSC20468,51,1300,456,0,1275,0.7,1042,2.3
SSC20469,39,0,0,0,0,0,0,0
SSC20470,58,0,674,0,1999,1,1249,2
SSC20471,52,1278,545,243,1199,0.6,897,2.1
SSC20472,55,2000,722,335,1800,0.7,1656,2.4
SSC20473,42,1400,589,270,1330,0.8,1131,2.4
SSC20474,55,0,407,0,749,0.4,675,1.6
SSC20475,54,1000,510,0,1156,0.7,1125,2
SSC20476,58,0,524,0,0,0.3,0,1
SSC20477,43,964,588,115,1521,0.7,1416,2.3
SSC20478,53,1083,429,0,949,0.8,850,2.1
SSC20479,63,0,462,0,0,0.6,466,1.4
SSC20480,44,710,487,83,1687,0.8,1125,1.8
SSC20481,51,1625,565,100,1083,0.6,982,2.3
SSC20482,38,1820,760,218,2217,0.9,2192,3.4
SSC20483,34,1733,718,260,1775,0.8,1604,3.1
SSC20484,44,1557,597,360,1536,0.8,1421,3
SSC20485,37,1235,606,180,1485,0.9,1366,2.9
SSC20486,44,1517,450,0,1292,0.7,1291,2
SSC20487,59,0,599,85,1312,0.4,1156,1.6
SSC20488,45,0,450,0,1125,0.5,687,1.4
SSC20489,44,1083,480,165,1203,0.8,1008,2.5
SSC20490,49,921,477,100,1140,0.8,909,2.1
SSC20491,44,1800,686,238,1724,0.8,1521,2.7
SSC20492,24,1894,336,385,1372,1.1,572,1.9
SSC20493,33,2000,991,500,2641,0.9,2039,2.3
SSC20494,51,1200,844,0,1937,0.7,1875,2.6
SSC20495,34,2000,727,358,2049,1,1478,2.3
SSC20496,41,867,575,240,1178,0.8,1178,2.8
SSC20497,33,1950,744,365,1915,0.9,1816,3.2
SSC20498,39,938,419,0,1104,0.7,1109,2.6
SSC20499,53,1042,494,0,1312,0.6,1062,2.1
SSC20500,52,1400,507,210,974,0.7,780,2.1
SSC20501,52,1733,358,0,1187,0.9,1062,2.4
SSC20502,49,0,574,0,1812,0.6,1374,2.3
