SA1_7DIGITCODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
2100113,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,6,6,0,0,0,0,6,18,0,0,0,0,18,17,0,0,0,0,17,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,56
2100114,5,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,4,6,0,0,0,0,13,7,5,0,0,0,15,8,0,0,0,0,14,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,6,0,0,0,52
2100115,0,0,0,0,0,0,8,0,0,0,0,8,4,0,0,0,0,4,5,0,0,0,0,5,5,0,0,0,0,5,18,0,0,0,0,19,19,0,0,0,0,19,31,0,0,0,0,31,6,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,115,0,0,0,0,112
2100117,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,9,10,0,0,0,0,10,7,0,0,0,0,10,19,0,0,0,0,19,29,0,0,0,0,33,35,0,0,0,0,35,14,0,0,0,0,14,8,0,0,0,0,8,4,0,0,0,0,4,135,0,0,0,5,141
2100118,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,7,0,0,0,0,7,6,0,0,0,0,6,14,0,0,0,0,14,4,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50
2100119,7,0,0,0,0,7,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,7,0,0,0,0,9,14,0,0,0,0,14,18,0,0,0,0,18,8,0,0,0,0,8,12,0,0,0,0,12,4,0,0,0,0,4,0,0,0,0,0,0,89,0,0,0,0,88
2100120,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,17,0,0,0,0,17,14,0,0,0,0,14,19,0,0,0,0,19,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,66,0,0,0,0,66
2100121,7,0,0,0,0,7,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,18,0,0,0,0,18,30,0,0,0,0,30,28,0,0,0,0,28,13,0,0,0,0,13,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,110,0,0,0,0,110
2100122,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,3,0,0,0,0,3,4,0,0,0,0,4,33,0,0,0,0,33,63,0,0,0,0,62,66,0,0,0,0,66,17,0,0,0,0,17,15,0,0,0,0,15,10,0,0,0,0,10,10,0,0,0,0,10,226,0,0,0,0,229
2100123,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,3,5,0,0,0,0,5,21,0,0,0,0,21,33,5,0,0,0,34,31,0,0,0,0,34,11,0,0,0,0,11,6,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,3,117,10,0,0,0,128
2100124,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,3,16,0,0,0,0,16,23,0,0,0,0,19,6,0,0,0,0,6,7,0,0,0,0,7,3,0,0,0,0,3,5,0,0,0,0,5,3,0,0,0,0,3,78,0,0,0,0,79
2100201,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,12,10,0,0,0,0,9,9,0,0,0,0,9,4,0,0,0,0,4,4,0,0,0,0,4,3,0,0,0,0,3,3,0,0,0,0,3,50,5,0,0,0,54
2100202,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,4,3,0,0,0,0,10,5,0,0,0,0,5,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3,0,0,0,32
2100203,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,5,6,3,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,5,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,27,9,0,0,0,30
2100204,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,0,0,0,0,3,9,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,6,0,0,0,30
2100205,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,6,5,0,0,0,0,5,23,0,0,0,0,23,12,0,0,0,0,12,9,0,0,0,0,5,6,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,71,0,0,3,0,75
2100206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,5,0,0,0,0,0,3,4,3,0,0,0,5,0,0,0,0,0,3,3,0,0,0,0,3,3,3,0,0,0,8,0,0,0,0,0,0,23,12,0,0,0,32
2100207,0,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,9,4,3,0,0,0,5,3,0,0,0,0,6,0,3,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,30,13,0,0,0,40
2100208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,8,0,0,0,0,8,7,0,0,0,0,6,4,0,0,0,0,4,9,0,0,0,0,9,6,0,0,0,0,6,3,0,0,0,0,3,44,7,0,0,0,43
2100209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,14,3,0,0,0,15,19,0,0,0,0,19,10,4,0,0,0,13,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,65,8,0,0,0,66
2100212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,6,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,0,0,16
2100213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,10,5,0,0,0,0,5,7,0,0,0,0,7,7,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,32,6,0,0,0,39
2100214,5,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,5,3,0,0,0,0,3,8,0,0,0,0,7,8,0,0,0,0,8,11,0,0,0,0,11,6,0,0,0,0,8,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,3,0,0,0,50
2100215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,8,0,0,0,0,5,15,0,0,0,0,15,16,0,0,0,0,21,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,4,4,0,0,55
2100216,3,0,0,0,0,3,4,0,0,0,0,4,3,0,0,0,0,3,4,0,0,0,0,4,7,0,0,0,0,7,16,0,0,0,0,16,3,0,0,0,0,8,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,44
2100217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,3,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,18,0,0,0,0,24
2100218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,9,4,0,0,0,0,3,6,3,0,0,0,7,8,0,0,0,0,8,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,38,10,0,0,0,45
2100219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
2100220,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,7,0,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,26,3,0,0,0,31
2100221,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,10,0,0,0,0,10,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,31,0,0,0,0,36
2100222,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,8,0,0,0,0,6,0,0,0,0,0,0,7,0,0,0,0,7,7,0,0,0,0,7,8,0,0,0,0,8,3,0,0,0,0,3,40,3,0,0,0,43
2100223,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,10,0,0,0,0,9,3,0,0,0,0,3,7,0,0,0,0,5,4,0,0,0,0,4,0,0,0,0,0,0,37,3,0,0,0,39
2100224,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,10,4,0,0,0,13,7,0,0,0,0,7,4,0,0,0,0,9,7,0,0,0,0,7,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,40,6,0,0,0,52
2100225,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,20,0,0,0,0,20
2100226,3,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,4,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,18,3,3,0,0,20
2100227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,8,3,0,0,0,10,11,0,0,0,0,12,3,0,0,0,0,3,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,3,0,0,0,41
2100228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,20,0,0,0,0,20
2100229,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,24,0,0,0,0,25
2100230,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,6,5,0,0,0,0,5,6,0,0,0,0,11,3,0,0,0,0,5,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,45
2100231,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,6,0,0,0,0,6,15,0,0,0,0,15,12,0,0,0,0,14,9,0,0,0,0,9,3,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,51,4,0,0,0,57
2100232,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,5,0,0,26
2100233,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,8,7,0,0,0,0,7,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,3,0,0,43
2100234,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,11
2100301,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,6,9,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,34
2100302,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,9,10,0,0,0,0,10,9,0,0,0,0,9,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,38,0,0,0,0,38
2100303,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,7,16,0,0,0,0,16,4,0,0,0,0,9,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,0,0,0,36
2100304,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,8,0,0,0,0,8,20,0,0,0,0,20,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,45
2100305,3,0,0,0,0,3,3,0,0,0,0,3,4,0,0,0,0,4,8,0,0,0,0,8,9,0,0,0,0,9,28,0,0,0,0,28,19,0,0,0,0,19,3,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,87
2100306,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,5,0,0,0,0,7,4,0,0,0,0,4,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,5,0,0,0,27
2100307,4,0,0,0,0,7,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,6,3,0,0,0,0,8,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,0,0,0,30
2100308,3,0,0,0,0,3,3,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,3,3,0,0,0,0,4,9,3,0,0,0,8,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,37,3,0,0,0,41
2100309,8,0,0,0,0,8,8,0,0,0,0,8,3,0,0,0,0,3,3,0,0,0,0,3,9,0,0,0,0,9,20,0,0,0,0,20,19,0,0,0,0,19,17,0,0,0,0,19,6,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,88
2100310,0,0,0,0,0,3,3,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,3,23,0,0,0,3,21,13,0,0,0,0,13,7,0,0,0,0,7,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,60,4,0,0,3,66
2100311,7,0,0,3,0,6,0,0,0,0,0,0,3,0,0,0,0,3,6,0,0,0,0,9,6,0,0,0,0,6,12,0,0,0,0,18,23,0,0,0,0,21,40,0,0,5,0,44,19,0,0,0,0,19,6,0,0,0,0,15,0,0,0,0,0,4,8,0,0,0,0,6,129,0,0,12,0,142
2100312,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,10,0,0,0,0,10,14,0,0,0,0,14,15,0,0,0,0,15,15,0,0,0,0,15,4,0,0,0,0,4,3,0,0,0,0,3,9,0,0,0,0,9,3,0,0,0,0,3,86,0,0,0,0,86
2100313,4,0,0,0,0,7,4,0,0,0,0,4,3,0,0,0,0,3,3,0,0,0,0,3,4,0,0,0,0,4,6,3,0,0,0,9,20,0,0,0,0,26,9,0,0,0,0,13,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,3,3,0,0,0,0,3,72,8,0,0,0,79
2100314,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,14,0,0,0,0,16,11,0,0,0,0,11,10,0,0,0,0,10,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,48,3,0,0,0,52
2100315,3,0,0,0,0,3,6,0,0,0,0,6,3,0,0,0,0,3,6,0,0,0,0,6,8,0,0,0,0,8,13,0,0,0,0,13,12,0,0,0,0,12,16,0,0,0,0,16,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,81
