SA1_7DIGITCODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
2100113,0,0,3,0,0,3,0,4,0,15,0,3,5,3,4,3,0,0,0,12,6,3,7,0,0,0,3,0,0,15,4,15,3,6,8,3,4,0,0,50,14,15,9,4,8,6,0,3,0,52,3,9,3,0,5,3,4,7,0,31,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,40,24,16,25,23,12,15,0,183
2100114,0,0,7,3,0,9,0,5,0,24,0,3,3,4,3,7,0,3,0,20,8,10,6,11,5,0,0,6,0,48,5,15,5,4,6,3,0,5,0,44,15,20,4,7,5,5,0,4,0,56,9,3,8,7,4,3,0,7,0,43,0,3,0,0,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,54,29,38,31,31,9,27,0,250
2100115,0,0,0,6,0,3,0,0,0,11,0,0,4,0,0,0,0,0,0,9,3,12,15,7,5,3,3,7,0,56,10,16,11,9,14,0,7,4,0,70,11,8,7,9,18,0,3,7,5,50,5,3,3,8,6,3,4,5,0,36,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,36,36,37,49,19,17,22,3,242
2100117,0,0,3,3,0,17,0,4,0,30,0,3,4,9,7,0,0,5,0,27,7,46,13,0,7,5,0,3,0,73,22,38,9,11,11,3,0,4,0,102,33,38,6,11,26,9,4,6,0,127,13,20,4,3,24,10,0,3,0,78,0,3,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,152,33,43,74,46,9,20,3,454
2100118,0,0,0,0,0,11,0,3,0,13,0,0,3,3,0,4,0,3,0,15,4,5,0,0,0,3,0,0,0,17,5,23,8,7,9,4,0,3,0,55,10,14,9,8,10,5,0,3,0,50,3,0,0,0,9,0,0,4,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,42,21,26,23,27,3,11,0,180
2100119,0,0,6,5,0,9,0,3,0,28,0,7,8,3,3,6,0,3,0,25,3,0,4,0,3,3,0,0,0,16,9,16,15,6,18,4,3,3,0,77,21,22,9,4,15,3,4,3,0,84,7,10,9,3,7,0,4,3,0,40,4,0,0,0,0,0,3,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,50,47,28,51,26,12,23,4,287
2100120,0,0,0,3,0,10,0,4,0,19,3,11,3,10,4,7,0,3,0,39,12,33,16,19,14,16,3,4,0,107,15,28,8,4,9,4,5,3,0,75,3,8,3,3,9,9,0,9,0,41,0,3,0,0,0,0,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,83,33,37,31,42,13,17,4,294
2100121,0,0,0,3,0,19,0,6,0,35,0,0,5,0,0,0,0,3,0,18,4,22,9,4,10,4,0,0,0,54,21,30,9,12,18,3,8,3,0,112,11,27,11,4,11,6,0,3,0,76,5,10,7,0,13,5,4,0,0,42,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,88,43,26,56,38,18,21,5,345
2100122,0,0,5,7,0,15,0,3,0,31,6,13,11,12,6,20,0,9,0,72,28,69,41,32,40,22,10,11,4,262,29,48,31,17,19,11,14,14,0,176,16,30,11,8,16,8,9,3,0,99,14,13,4,4,3,3,8,7,0,48,6,4,0,0,0,0,3,5,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,97,167,102,78,86,80,39,56,3,712
2100123,0,0,3,9,0,10,0,8,0,30,8,3,4,7,8,11,3,0,0,52,17,55,25,25,24,10,4,12,3,161,13,27,12,10,13,4,3,5,0,88,12,13,5,10,11,15,4,6,0,79,3,4,3,3,11,3,3,5,0,41,0,3,0,5,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,112,55,64,60,52,18,36,6,457
2100124,0,0,0,8,0,8,0,7,0,22,0,0,5,0,3,3,0,0,0,14,0,3,3,4,0,0,0,3,0,19,17,30,11,6,4,3,0,3,0,79,13,14,15,5,16,8,10,8,0,76,6,6,0,3,3,3,3,3,0,26,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,60,33,28,36,26,12,22,3,246
2100201,0,0,0,3,0,8,0,5,0,13,0,0,3,9,3,4,0,4,0,22,4,8,3,8,0,3,0,0,0,33,11,23,8,3,3,3,0,4,0,60,15,22,6,8,17,7,3,5,3,85,3,21,3,4,10,8,3,3,0,52,0,3,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,75,24,29,37,32,5,13,8,264
2100202,0,0,0,3,0,7,0,0,0,16,0,5,4,3,0,0,0,0,0,11,0,4,3,0,0,0,0,0,0,11,10,11,0,0,5,0,0,0,0,20,7,16,3,3,4,3,0,0,0,40,8,7,3,0,6,3,4,0,0,28,3,7,0,0,3,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,51,10,11,21,19,4,3,0,147
2100203,0,0,0,3,0,4,0,4,0,16,0,4,4,4,0,5,0,0,0,14,3,14,3,4,6,3,0,0,0,31,4,17,0,3,3,4,0,0,0,36,8,20,6,8,14,3,0,3,0,71,8,13,3,0,7,4,3,3,0,37,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,63,23,22,31,25,9,11,0,208
2100204,0,0,0,4,0,8,0,3,0,15,0,7,0,3,0,0,0,0,0,13,0,4,0,0,0,0,0,0,0,10,10,8,0,0,3,0,0,0,0,24,9,23,9,0,3,3,3,3,0,51,4,8,4,4,5,4,3,3,0,33,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,25,47,16,11,15,16,4,8,9,150
2100205,0,0,0,0,0,10,0,3,0,11,0,4,4,3,3,0,0,3,0,20,9,24,11,7,4,3,3,3,0,55,3,23,6,3,8,3,3,3,0,48,4,8,11,3,9,3,3,9,0,47,3,13,6,8,18,0,6,3,0,54,0,4,3,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,21,79,37,22,40,23,15,20,3,258
2100206,0,0,0,5,0,13,0,4,0,28,0,0,0,0,0,0,0,3,0,11,0,3,0,0,3,0,0,0,0,8,3,18,0,0,0,0,0,0,0,28,12,17,4,0,11,7,0,0,0,51,4,10,0,3,0,6,0,0,0,22,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,57,8,10,17,18,3,10,3,153
2100207,0,0,0,3,0,3,0,3,0,12,0,4,0,4,0,0,0,0,0,9,0,11,4,0,0,0,0,0,0,23,3,17,3,3,4,0,0,3,0,42,11,23,5,4,5,3,0,0,0,54,5,12,0,3,0,0,3,0,0,29,0,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,72,24,23,13,9,4,10,0,180
2100208,0,0,0,7,0,7,0,0,0,14,0,0,3,3,0,0,0,0,0,10,3,9,0,0,0,0,0,3,0,14,3,20,5,0,0,4,0,3,0,35,17,30,9,6,3,10,0,0,0,70,16,28,0,0,4,3,0,0,0,62,8,11,0,0,3,3,0,0,0,26,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,54,95,15,13,15,28,0,9,6,232
2100209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100211,0,0,4,0,0,4,0,7,0,16,0,3,6,0,4,3,0,4,0,18,3,22,10,3,6,6,0,4,0,63,8,27,5,7,7,5,0,0,0,54,6,22,0,9,11,0,0,0,0,54,8,16,6,4,9,0,0,12,0,53,0,3,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,86,26,32,33,26,12,24,0,268
2100212,0,0,4,3,0,0,0,0,0,16,0,0,0,0,0,5,0,0,0,7,4,7,3,0,0,3,0,0,0,23,11,6,0,3,0,0,0,0,0,17,3,3,3,0,5,0,0,0,0,19,7,14,0,3,4,3,0,0,0,34,3,4,0,3,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,24,35,7,13,20,12,3,3,0,131
2100213,0,0,0,3,0,0,0,3,0,11,0,6,0,3,0,6,0,0,0,14,3,22,3,5,4,4,0,0,0,44,3,12,3,3,4,0,0,0,0,29,3,12,7,3,9,3,0,3,0,41,0,11,0,5,3,5,0,3,0,30,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,72,19,16,17,18,3,8,6,180
2100214,0,0,0,0,0,8,0,0,0,10,0,3,4,0,3,6,0,4,0,21,0,18,6,4,3,6,0,0,3,41,3,20,4,3,10,3,0,4,0,48,5,14,0,3,7,0,3,3,0,37,6,6,0,6,4,3,4,3,0,28,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,69,19,21,28,21,10,13,3,198
2100215,0,0,0,0,0,8,0,3,0,11,5,3,9,5,0,11,0,0,0,35,3,27,13,9,6,3,4,3,0,69,11,18,8,6,11,0,0,5,0,62,8,13,4,4,3,3,0,0,4,43,3,13,3,0,3,0,0,0,0,22,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,78,35,32,20,21,10,10,8,250
2100216,0,0,0,3,0,6,0,3,0,12,0,5,6,9,3,3,0,3,0,23,4,5,3,7,3,3,0,8,0,35,5,16,0,3,3,6,0,3,0,37,3,7,3,3,9,0,3,5,0,29,5,9,5,4,3,0,3,5,0,36,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,47,18,30,22,22,10,23,0,183
2100217,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,17,0,12,4,6,0,3,3,3,3,31,4,19,3,5,0,0,0,0,3,28,9,6,0,5,3,0,0,0,0,22,4,4,3,5,3,3,0,3,0,33,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,50,13,15,7,12,3,11,3,139
2100218,0,3,0,0,3,12,0,0,0,13,0,0,0,7,3,7,0,3,0,20,3,16,0,3,5,3,0,3,0,41,11,21,0,0,5,4,0,0,4,49,9,8,3,5,3,0,0,3,0,33,5,7,3,3,3,0,0,0,0,26,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,58,9,22,26,25,0,9,4,184
2100219,0,3,0,3,0,3,0,0,0,8,0,3,0,5,0,4,0,3,0,18,3,5,3,0,0,3,0,0,0,16,0,3,3,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,7,7,5,0,0,0,3,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,6,19,3,8,3,10,0,77
2100220,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,6,12,3,3,0,4,0,0,0,35,3,11,3,0,3,0,0,0,0,26,10,7,3,3,3,0,0,0,0,28,4,11,0,3,3,3,3,0,0,28,0,7,0,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,48,11,13,14,11,6,7,3,133
2100221,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,8,0,20,5,12,5,0,3,0,3,0,0,25,3,12,5,0,0,3,0,0,0,27,3,3,4,3,0,0,0,0,0,19,0,0,0,0,4,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,22,22,12,11,5,4,8,0,99
2100222,0,0,0,3,0,0,0,0,0,8,0,0,3,3,4,6,0,0,0,15,3,17,3,3,5,0,0,0,0,29,17,24,0,3,3,3,0,0,0,51,18,20,5,0,12,0,0,0,3,58,14,23,0,3,6,3,0,0,0,52,3,4,0,0,7,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,54,96,16,13,34,15,0,7,4,239
2100223,0,0,0,3,0,3,0,3,0,13,0,3,3,3,4,0,0,3,0,15,3,17,4,3,3,6,0,0,0,40,10,25,3,0,12,3,0,0,3,55,17,15,8,8,6,0,3,3,0,64,6,17,4,0,3,4,0,0,0,32,0,3,3,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,74,22,20,27,17,3,16,6,221
2100224,0,0,0,0,0,0,0,0,0,5,0,0,4,0,3,0,0,6,0,20,5,20,6,7,7,0,3,5,0,46,4,20,3,7,4,0,0,0,0,43,15,20,4,7,3,0,0,0,3,50,3,22,3,3,4,0,0,0,0,37,0,3,0,0,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,25,82,25,20,15,16,10,15,7,208
2100225,0,0,0,0,0,3,0,0,0,6,0,3,0,0,0,3,0,0,0,6,3,6,0,0,0,0,0,0,0,11,0,3,0,0,0,0,3,0,0,13,15,10,4,4,6,0,0,0,0,33,3,9,0,3,3,0,0,0,0,26,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,50,9,7,14,8,3,4,0,109
2100226,0,0,0,3,0,0,0,0,0,3,3,0,0,5,0,0,0,0,0,13,0,10,0,3,0,3,0,3,3,22,4,11,0,0,0,0,0,0,0,20,6,10,0,0,0,0,0,3,0,26,5,8,3,0,3,0,0,0,0,17,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,33,8,14,8,3,0,7,0,105
2100227,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,3,0,0,0,11,5,22,4,4,0,4,0,0,0,40,3,8,3,0,3,0,0,0,0,25,3,25,5,4,0,3,0,3,0,47,5,21,3,3,4,3,0,0,0,39,3,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,82,19,23,16,14,0,8,0,184
2100228,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,10,0,7,3,0,0,3,0,0,0,12,0,8,3,4,3,0,0,0,0,21,3,12,3,0,9,3,3,0,0,36,3,3,0,0,7,0,0,0,0,18,0,5,0,0,0,3,0,0,0,13,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,45,17,3,20,9,3,3,0,104
2100229,0,0,3,0,0,9,0,0,0,12,0,0,4,4,0,3,0,8,0,18,0,8,4,7,3,6,0,0,0,30,4,4,0,0,3,0,0,3,0,13,10,11,3,0,6,3,0,4,0,41,6,12,0,0,6,0,3,0,0,28,0,3,0,0,3,0,0,0,0,8,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,28,36,12,22,21,20,3,16,0,152
2100230,0,0,0,3,0,0,0,0,0,9,0,0,8,3,0,5,0,3,0,16,3,18,0,3,0,7,4,3,0,42,3,15,6,4,7,3,0,3,0,35,0,5,6,4,3,6,0,0,0,26,0,13,3,3,0,0,4,5,0,32,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,54,23,15,19,18,6,16,0,160
2100231,0,0,0,5,0,9,0,0,0,12,0,3,0,4,0,4,3,0,0,19,0,31,3,10,7,4,0,3,5,64,5,18,6,8,8,0,0,5,0,52,8,4,3,7,6,0,0,0,0,30,5,11,0,4,3,3,3,0,0,28,3,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,71,14,41,17,16,12,10,5,216
2100232,0,0,0,3,0,0,0,0,0,6,0,0,3,3,0,3,0,0,0,13,5,19,3,0,0,7,0,0,0,28,0,13,0,3,4,3,0,0,0,22,5,11,4,3,9,3,0,0,0,36,3,4,0,0,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,41,15,11,17,13,4,5,0,127
2100233,0,0,0,0,0,3,0,3,0,4,3,6,0,3,0,0,0,0,0,11,5,14,0,4,3,3,3,3,0,33,7,13,6,4,0,0,0,0,0,32,5,23,0,8,3,0,3,0,0,44,3,11,3,0,0,0,3,0,0,22,0,3,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,69,12,15,17,13,9,7,0,153
2100234,0,0,0,0,0,0,0,0,0,4,0,4,4,3,0,3,0,0,0,14,0,3,0,3,0,0,0,0,0,17,3,3,3,0,0,0,0,4,3,13,3,3,3,0,3,0,0,0,0,19,0,9,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,12,7,5,5,0,12,3,79
