SA1_7DIGITCODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
2100122,0,14,55,23,19,11,0,0,0,122,0,4,36,26,15,9,0,0,0,88,0,0,27,21,9,3,0,0,0,67,0,0,7,13,8,5,4,0,0,41,0,0,14,18,12,4,0,0,0,46,0,0,0,3,3,0,0,0,0,10,5,4,9,9,9,5,12,3,0,51,68,91,295,211,131,81,78,20,3,986
2100123,0,4,20,11,12,5,0,0,0,50,0,3,27,11,7,3,0,0,0,52,0,0,21,9,13,3,0,0,0,44,0,0,11,8,10,3,0,0,0,31,0,0,3,9,3,4,3,0,0,31,0,0,3,9,4,3,0,0,0,16,4,0,11,9,11,9,3,0,0,46,64,70,196,108,91,72,36,5,0,650
2100124,0,3,7,12,5,5,3,0,0,36,0,0,0,6,13,0,0,0,0,18,0,0,0,11,7,3,0,0,0,22,0,0,3,3,5,0,0,0,0,12,0,0,3,10,4,3,0,0,0,23,0,0,0,3,9,3,0,0,0,14,3,0,0,3,0,3,3,0,0,19,49,21,18,89,87,40,31,12,4,344
2100201,0,0,3,4,12,5,9,3,0,39,0,0,3,6,8,5,0,0,0,28,0,0,0,11,3,6,3,0,0,22,0,0,3,7,0,4,0,0,0,21,0,0,3,3,12,3,0,0,0,22,0,0,0,9,10,5,0,0,0,30,3,0,3,3,4,5,3,3,0,24,43,29,43,69,100,74,52,42,3,441
2100202,0,0,0,0,5,7,3,0,0,18,0,4,3,3,4,7,7,0,0,21,0,0,0,0,3,7,0,0,0,13,0,0,0,0,0,0,3,0,0,3,0,0,0,4,3,6,3,0,0,12,0,0,0,4,8,3,0,0,0,18,5,0,0,0,4,0,9,6,3,24,33,17,14,28,45,41,59,34,10,277
2100203,0,3,11,0,15,4,4,0,0,41,0,0,5,3,7,6,0,0,0,26,0,0,0,4,6,3,0,0,0,13,0,0,0,4,5,0,0,0,0,14,0,0,0,3,6,8,0,0,0,18,0,0,0,4,7,3,0,0,0,15,7,5,3,4,3,0,3,0,0,26,34,20,32,46,76,64,52,27,10,361
2100204,0,3,3,3,11,7,3,0,0,30,0,0,4,5,6,0,0,0,0,19,0,0,0,4,4,5,0,0,0,17,0,0,0,0,3,6,0,3,0,12,0,0,0,3,10,9,0,0,0,20,0,0,0,3,6,4,0,0,0,13,7,0,0,3,0,4,3,5,0,19,27,17,13,30,54,55,39,56,11,304
2100205,0,0,9,9,8,6,5,0,0,41,0,0,9,7,10,10,3,0,0,35,0,0,3,3,6,4,0,0,0,20,0,0,0,4,0,6,0,0,0,13,0,0,3,5,4,4,0,0,0,16,0,0,0,0,0,0,3,0,0,9,0,3,6,3,0,3,3,4,3,33,20,43,79,55,62,79,55,38,11,439
2100206,0,0,0,0,7,0,0,0,0,12,0,0,4,3,7,6,0,0,0,16,0,0,3,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,14,0,0,0,3,13,7,3,0,0,22,0,0,0,10,15,3,5,0,0,31,3,0,0,4,3,0,3,0,0,17,191,12,10,37,62,31,37,15,3,396
2100207,0,0,5,3,0,3,3,0,3,19,0,0,0,4,8,4,0,0,0,17,0,0,0,4,4,3,0,0,0,16,0,0,4,9,0,4,3,0,0,20,0,0,3,5,15,4,0,0,0,26,0,0,0,9,6,3,0,0,0,16,0,0,0,0,0,0,7,0,0,10,31,16,27,46,61,42,55,19,7,298
2100208,0,0,6,3,8,7,3,8,3,40,0,0,3,4,9,6,3,3,0,26,0,0,0,6,5,6,3,3,0,24,0,0,0,9,3,3,3,0,0,19,0,0,0,3,8,14,4,4,0,39,0,0,0,12,21,20,17,3,3,72,3,0,0,0,11,4,6,9,3,42,32,12,26,45,81,89,84,63,19,456
2100209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100211,0,0,14,6,11,9,3,0,0,50,0,0,11,5,8,6,0,0,0,38,0,0,0,10,4,13,0,0,0,30,0,0,0,9,3,0,0,0,0,8,0,0,4,0,5,3,0,0,0,15,0,0,0,0,0,5,0,0,0,10,0,0,0,5,5,3,4,0,7,25,38,21,75,70,76,68,39,22,17,418
2100212,0,0,3,3,9,3,0,0,0,22,0,0,0,3,0,5,3,0,0,15,0,0,5,0,3,6,0,0,0,11,0,0,0,4,0,0,3,0,0,11,0,0,0,3,3,3,0,0,0,10,0,0,0,4,0,0,0,0,0,9,3,0,8,3,3,4,9,8,0,35,20,15,29,29,34,44,44,25,6,242
2100213,0,0,9,0,5,4,0,0,0,20,0,0,7,4,5,4,3,0,3,26,0,0,4,4,3,0,0,0,0,17,0,0,0,0,5,10,0,0,0,14,0,0,5,4,4,0,0,0,0,16,0,0,0,9,0,0,0,0,0,10,0,3,0,0,3,3,6,0,3,16,19,23,55,36,50,52,50,45,37,370
2100214,0,3,10,7,3,3,0,0,0,27,0,0,11,11,3,3,0,0,0,31,0,0,4,5,3,0,0,0,0,13,0,0,0,4,5,0,0,0,0,8,0,0,4,5,3,0,0,0,0,17,0,0,0,4,0,0,0,0,0,6,0,0,0,3,3,0,3,0,0,21,17,22,57,67,49,49,44,20,13,338
2100215,0,3,11,8,3,3,0,0,0,28,0,0,4,7,3,0,0,0,0,17,0,0,4,11,5,0,0,0,0,14,0,0,8,0,7,4,0,0,0,15,0,0,3,4,5,0,0,0,0,16,0,0,0,3,3,0,0,0,0,5,5,0,0,7,5,3,5,4,0,32,34,44,86,80,60,41,27,16,10,395
2100216,0,0,3,4,7,4,0,0,0,26,0,0,4,3,3,3,3,0,0,17,0,0,0,0,3,3,0,0,0,8,0,0,0,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,10,0,3,3,5,8,4,0,0,40,26,33,46,44,52,68,39,9,3,324
2100217,0,6,4,4,8,3,3,0,0,24,0,3,4,0,3,3,0,0,0,20,0,0,3,5,3,4,0,0,0,17,0,0,0,0,0,7,0,0,0,9,0,0,0,0,4,0,0,0,0,9,0,0,0,4,3,3,0,0,0,13,0,3,4,4,5,4,3,3,3,33,9,23,42,37,34,54,26,22,7,263
2100218,0,0,6,4,3,6,0,0,0,26,0,0,8,6,8,3,0,0,0,24,0,0,3,3,5,7,0,0,0,20,0,0,3,8,0,3,0,0,0,10,0,0,0,12,3,3,0,0,0,16,0,0,0,3,3,0,0,3,0,4,4,3,3,3,0,7,0,0,0,17,25,31,49,58,39,45,12,14,0,275
2100219,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,8,12,4,3,0,3,3,0,0,33,24,52,38,17,22,24,11,3,0,189
2100220,0,0,5,3,10,0,7,0,0,27,0,0,4,3,3,0,0,0,0,13,0,0,9,3,0,7,0,0,0,14,0,0,0,0,3,4,0,0,0,3,0,0,6,0,4,7,0,0,0,17,0,0,0,4,3,0,0,0,0,10,0,0,0,3,0,0,0,3,0,8,13,10,42,31,34,34,22,14,3,202
2100221,0,7,6,5,0,3,0,0,0,21,0,0,3,3,4,0,0,0,0,12,0,0,0,0,3,0,0,0,0,4,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,6,0,8,11,6,8,0,4,4,0,34,10,30,46,46,33,18,14,11,3,209
2100222,0,3,0,5,13,3,8,0,0,34,0,0,5,7,8,10,5,3,0,29,0,0,0,9,12,9,0,4,0,26,0,0,7,3,10,10,0,0,0,23,0,0,5,7,12,21,3,0,0,42,0,0,3,18,14,11,4,9,0,55,0,7,4,17,8,11,4,4,4,57,22,27,39,73,80,93,51,31,18,432
2100223,0,3,3,7,7,0,3,3,0,29,0,0,6,4,3,3,3,0,0,21,0,0,0,6,3,0,0,0,0,17,0,0,0,3,8,0,0,0,0,19,0,0,3,7,6,14,0,0,0,33,0,0,0,7,7,4,0,0,0,22,6,0,0,11,8,3,8,3,4,45,31,23,48,65,69,55,56,72,103,521
2100224,0,0,6,4,7,3,0,0,0,26,0,0,3,3,6,6,3,0,0,23,0,0,4,9,4,3,0,0,0,14,0,0,0,4,6,5,0,3,0,15,0,0,3,3,7,3,0,0,0,20,0,0,0,8,4,8,0,0,0,26,0,0,10,8,6,9,8,8,0,42,16,38,64,53,66,57,54,34,10,394
2100225,0,3,3,0,3,0,6,3,0,16,0,0,3,0,4,3,4,3,0,24,0,0,0,0,7,0,3,0,0,16,0,0,0,0,4,0,0,0,0,7,0,0,3,3,6,5,4,0,0,19,0,0,0,3,5,3,4,0,0,10,0,0,0,0,6,0,0,3,6,20,13,8,16,13,47,38,38,31,26,237
2100226,0,0,7,0,0,3,0,0,0,15,0,0,0,0,0,0,0,3,0,6,0,0,3,3,0,3,0,0,0,6,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,3,0,0,0,5,0,0,0,4,3,0,0,0,0,9,4,3,0,0,4,0,0,0,0,14,11,27,32,27,29,28,20,9,4,192
2100227,0,5,8,3,4,9,4,0,0,35,0,0,8,0,3,0,0,0,0,21,0,0,4,3,6,3,0,0,0,16,0,0,3,3,6,4,0,0,0,13,0,0,0,5,7,7,3,0,0,20,0,0,3,3,8,3,0,0,0,11,5,0,3,3,5,5,3,0,0,19,17,16,49,32,59,51,38,11,7,282
2100228,0,0,0,3,3,7,3,0,0,19,0,0,4,3,10,3,3,0,0,21,0,0,0,0,3,5,3,0,0,10,0,0,0,0,3,0,0,0,0,5,0,0,0,3,6,0,0,0,0,12,0,0,0,3,4,3,0,4,0,16,0,0,3,0,7,0,5,4,3,21,12,7,18,30,40,28,37,31,22,228
2100229,0,0,3,0,3,0,8,0,0,16,0,0,3,0,10,3,6,0,0,19,0,0,0,0,4,4,0,0,0,12,0,0,0,3,3,0,0,0,0,12,0,0,7,0,11,3,0,3,0,21,0,0,0,0,4,6,8,0,0,19,0,4,4,0,0,4,4,0,0,21,27,29,40,24,48,38,46,19,13,289
2100230,0,0,5,3,0,4,0,0,0,15,0,0,4,3,3,3,0,0,0,17,0,0,6,10,5,0,0,0,0,15,0,0,3,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,3,4,0,0,0,0,6,6,3,0,0,7,3,0,3,0,28,17,27,62,49,35,51,29,14,7,291
2100231,0,0,4,6,3,3,8,0,0,26,0,0,9,3,8,9,0,0,0,29,0,0,10,8,0,0,0,0,0,21,0,0,10,6,4,0,0,0,0,14,0,0,6,10,4,4,0,0,0,23,0,0,0,0,3,0,0,0,0,3,6,0,3,8,0,0,7,0,0,22,20,30,73,66,40,45,37,15,7,342
2100232,0,0,6,4,0,7,0,0,0,23,0,0,3,0,3,0,0,0,0,12,0,0,4,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,3,3,4,3,0,0,0,15,0,0,0,0,3,0,0,0,0,3,0,0,3,0,4,5,3,3,0,16,14,19,42,29,41,31,29,20,0,234
2100233,0,0,0,4,0,3,4,3,0,17,0,0,3,0,6,0,0,0,0,16,0,0,0,9,9,0,0,0,0,19,0,0,3,3,6,0,0,0,0,14,0,0,4,9,3,4,0,0,0,18,0,0,0,0,3,0,0,0,0,5,8,0,4,3,11,3,0,0,0,30,22,14,48,38,63,36,38,23,11,301
2100234,0,0,4,0,0,3,0,0,0,15,0,3,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,3,4,0,0,16,13,29,27,19,17,16,19,3,0,144
2100301,0,3,0,0,4,8,0,0,0,15,0,0,0,0,3,5,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,5,0,0,0,9,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,0,0,7,19,10,15,14,28,30,20,10,0,140
2100302,0,3,8,3,4,3,3,0,0,26,0,0,6,5,3,0,0,0,0,14,0,0,4,6,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,5,5,7,6,5,6,8,6,4,51,18,32,51,42,44,39,42,14,11,285
2100303,0,0,8,9,3,4,5,0,0,29,0,0,4,0,3,0,3,0,0,11,0,0,0,3,0,0,0,0,0,5,0,0,3,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,3,5,7,7,6,4,3,0,37,3,21,54,38,32,43,27,17,3,242
2100304,0,0,9,3,8,3,0,0,0,32,0,0,3,0,3,0,0,0,0,7,0,0,6,11,0,0,0,0,0,16,0,0,0,4,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,4,10,0,0,6,7,0,40,23,39,74,63,42,44,29,15,3,329
2100305,0,3,11,10,6,4,4,0,0,30,0,0,11,3,3,5,0,0,0,23,0,0,4,7,8,8,0,0,0,27,0,0,0,4,3,3,0,0,0,12,0,0,0,0,3,3,0,0,0,7,0,0,0,3,3,0,0,0,0,7,3,3,9,6,11,4,4,5,4,47,31,64,86,81,82,87,54,28,20,530
2100306,0,0,5,3,6,3,0,0,0,21,0,0,3,3,0,3,0,0,0,12,0,0,0,3,0,0,0,0,0,12,0,0,0,0,0,3,0,0,0,5,0,0,0,3,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,0,0,0,0,14,10,12,38,30,37,34,30,7,5,207
2100307,0,3,3,0,5,5,3,0,0,16,0,0,0,6,3,5,0,0,0,12,0,0,3,8,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,4,6,0,0,0,0,0,12,0,0,0,0,0,3,0,0,0,8,0,4,3,6,3,6,3,0,0,29,24,23,26,41,35,57,32,27,17,278
2100308,0,0,3,3,3,7,0,0,0,19,0,0,4,6,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,5,3,0,0,4,0,0,13,21,29,55,48,41,50,47,16,3,316
2100309,0,3,12,7,12,5,7,0,0,45,0,4,9,11,6,0,0,0,0,29,0,0,5,5,6,7,0,0,0,30,0,0,3,3,0,5,0,0,0,13,0,0,8,3,0,0,0,0,0,11,0,0,7,4,3,6,0,0,0,15,3,3,9,3,3,8,3,0,0,27,48,63,91,85,78,85,40,19,5,517
2100310,0,9,11,10,4,10,3,0,0,42,0,0,3,7,0,3,0,0,0,18,0,0,3,4,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,8,0,0,0,0,3,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,3,7,3,6,3,5,4,28,21,39,84,72,53,66,42,37,24,439
2100311,0,0,17,17,14,9,3,3,0,68,0,0,15,11,8,4,0,0,0,36,0,0,14,10,9,3,3,0,0,38,0,0,11,9,7,0,0,0,0,30,0,0,7,10,4,5,3,0,0,35,0,0,5,4,5,4,0,0,0,19,0,0,4,9,4,8,0,4,0,30,32,28,105,104,101,91,46,19,5,530
2100312,0,6,11,3,9,5,3,0,0,37,0,0,5,10,14,6,0,0,0,36,0,0,0,3,4,7,0,0,0,13,0,0,0,3,3,3,0,0,0,13,0,0,0,5,4,0,0,0,0,15,0,0,0,4,3,0,0,0,0,9,6,0,0,3,5,13,10,0,0,41,58,32,47,74,104,91,61,30,10,501
2100313,0,0,5,3,16,3,0,0,0,35,0,0,0,4,6,14,0,0,0,21,0,0,0,3,9,3,0,0,0,13,0,0,3,8,3,4,0,0,0,16,0,0,4,3,10,4,0,0,0,18,0,0,0,0,3,0,0,0,0,3,3,0,0,4,3,3,3,0,0,20,44,24,36,65,83,67,48,19,6,386
2100314,0,3,9,3,11,15,3,4,0,41,0,0,3,0,7,3,0,0,0,21,0,0,5,3,6,9,0,0,0,21,0,0,3,3,0,7,0,0,0,10,0,0,0,0,4,6,5,0,0,15,0,0,0,0,0,0,0,0,0,3,4,0,0,4,3,6,17,7,4,43,28,26,40,30,68,87,72,50,10,409
2100315,0,5,3,8,19,14,4,0,0,45,0,0,3,5,7,8,3,0,0,27,0,0,7,6,12,10,3,0,0,32,0,0,0,5,5,6,0,0,0,23,0,0,3,0,3,8,3,0,0,16,0,0,0,4,0,9,0,0,0,14,0,0,4,3,0,3,0,3,0,18,41,36,43,46,96,69,55,34,0,428
