SA1_7DIGITCODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
2100117,18,10,9,8,4,0,0,44,0,0,0,0,0,0,0,5,3,0,5,3,3,0,0,9,30,26,20,11,26,8,4,132,0,0,0,0,0,0,0,0,54,42,36,24,34,8,3,199,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,12,0,0,0,0,0,0,0,0,3,5,5,3,3,0,0,23,59,46,40,32,39,7,8,223
2100118,0,3,0,0,3,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,9,20,22,7,13,0,0,74,0,0,0,0,0,0,0,0,12,21,22,9,18,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,4,0,0,10,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,10,12,32,22,9,27,0,0,97
2100119,0,3,0,0,0,0,0,5,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,4,25,39,31,28,25,9,0,154,0,0,0,0,0,0,0,0,28,43,34,28,31,12,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,28,43,39,33,31,12,0,177
2100120,15,18,3,3,0,0,0,44,3,0,0,0,0,0,0,3,6,0,0,0,0,0,0,6,37,28,14,8,13,0,0,104,0,0,0,0,0,0,0,0,61,41,20,14,12,7,0,157,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,6,0,0,0,0,3,0,0,3,4,28,13,5,10,3,0,57,0,0,0,0,0,0,0,0,6,24,13,5,18,3,0,72,72,71,28,24,30,7,0,228
2100121,9,16,3,3,6,0,0,44,0,4,0,0,0,0,0,6,0,3,3,4,5,0,0,13,52,51,25,12,18,12,3,181,0,0,0,0,0,0,0,0,64,79,38,19,28,9,3,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,3,5,4,4,3,0,0,21,0,0,0,0,0,0,0,0,4,8,9,7,8,0,0,27,68,82,45,23,32,9,3,270
2100122,38,10,10,3,3,0,0,65,0,3,0,0,0,0,0,8,4,7,3,0,0,0,0,18,95,51,41,23,24,3,0,233,0,0,0,0,0,0,0,0,138,74,50,25,26,8,0,332,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,3,0,0,0,0,3,3,0,7,6,16,14,5,9,0,0,51,0,0,0,0,0,0,0,0,12,14,10,11,11,5,0,67,147,93,68,34,39,10,0,392
2100123,18,12,4,6,3,4,0,46,8,3,0,0,0,0,0,11,0,3,5,0,0,0,0,11,42,22,9,10,13,0,3,94,0,0,0,0,0,0,0,0,70,36,16,15,17,9,3,163,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,18,8,13,3,0,60,0,0,0,0,0,0,0,0,12,20,13,6,13,3,0,69,83,51,29,25,34,8,8,235
2100124,0,0,6,3,4,3,0,12,3,4,0,0,3,0,0,14,5,0,0,0,0,0,0,4,21,44,30,10,18,3,3,129,0,0,0,0,0,0,0,0,27,47,32,14,20,9,3,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,8,0,0,15,0,0,0,0,0,0,0,0,0,3,0,3,8,0,0,22,31,53,34,20,25,8,3,175
2100201,4,7,5,0,3,0,4,27,3,0,7,0,0,0,0,9,0,0,0,0,0,0,0,6,16,19,15,12,14,4,3,85,0,0,0,0,0,0,0,0,25,29,32,14,18,5,3,130,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,6,0,9,3,4,26,0,0,0,0,0,0,0,0,6,5,9,0,9,3,4,37,33,40,37,14,25,7,5,163
2100202,3,3,0,0,0,0,0,13,0,0,3,3,0,0,0,9,0,0,0,0,0,0,0,3,10,6,9,3,3,3,0,39,0,0,0,0,0,0,0,0,11,12,10,7,10,7,0,58,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,3,0,0,14,0,0,0,0,0,0,0,0,0,5,5,0,3,0,0,17,10,17,20,9,13,7,0,72
2100203,7,3,3,0,3,0,0,14,0,0,0,0,0,0,0,0,3,3,0,3,0,3,0,11,5,6,5,11,13,3,5,40,0,0,0,0,0,0,0,0,17,12,9,11,13,6,5,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,4,4,0,12,5,6,0,0,21,0,0,0,0,0,0,0,0,4,0,14,5,8,0,0,28,16,17,22,15,16,6,5,95
2100204,4,5,3,0,0,0,0,11,0,0,0,0,0,0,0,3,3,0,0,3,3,0,0,10,10,6,0,7,8,3,0,37,0,0,0,0,0,0,0,0,12,9,8,8,11,3,0,57,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,15,0,0,0,0,0,0,0,0,0,0,4,4,0,3,0,16,18,14,9,13,18,8,4,75
2100205,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,6,0,0,0,0,0,11,22,9,8,7,7,0,3,50,3,0,0,0,0,0,0,3,27,13,8,7,7,0,3,66,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,5,0,3,0,3,27,0,0,0,0,0,0,0,0,7,7,5,0,3,3,0,32,34,21,18,7,13,9,3,102
2100206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,23,23,11,14,4,0,83,0,0,0,0,0,0,0,0,12,24,22,12,15,4,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,4,4,5,3,0,15,12,24,26,16,17,10,0,108
2100207,0,3,0,0,0,0,0,9,0,3,0,5,3,0,0,10,3,0,0,0,0,0,0,3,20,20,5,6,15,3,0,63,0,0,0,0,0,0,0,0,23,26,6,15,16,3,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,9,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,9,23,33,8,15,19,3,0,99
2100208,3,0,4,3,0,0,0,11,0,0,0,0,0,0,0,5,0,3,0,3,3,0,0,10,17,18,17,6,15,5,4,74,0,0,0,0,0,0,0,0,21,25,24,11,13,5,3,104,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,5,0,3,0,3,0,11,25,26,21,14,18,6,3,114
2100209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100211,3,8,0,3,0,0,0,17,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,20,11,12,5,8,6,0,68,0,0,0,0,0,0,0,0,25,25,12,10,12,8,4,88,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,8,0,3,0,0,0,20,0,0,0,0,0,0,0,0,6,9,0,3,4,0,0,25,26,30,12,14,16,11,4,117
2100212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,12,5,0,0,3,0,27,0,0,0,0,0,0,0,0,12,12,5,0,3,3,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,13,8,8,0,4,3,4,45
2100213,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,11,17,12,5,7,3,0,53,0,0,0,0,0,0,0,0,21,17,12,5,7,3,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,7,3,4,7,0,0,18,0,0,0,0,0,0,0,0,8,4,3,4,7,0,0,25,21,18,13,7,11,3,0,84
2100214,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,10,3,5,3,3,0,0,0,9,18,18,3,0,3,0,0,43,0,0,0,0,0,0,0,0,23,22,3,5,3,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,13,23,26,5,3,3,0,0,71
2100215,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,9,11,18,3,3,9,4,0,44,0,0,0,0,0,0,0,0,22,18,4,3,8,7,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,4,3,0,20,0,0,0,0,0,0,0,0,3,3,0,3,6,3,0,18,25,23,9,9,10,5,0,84
2100216,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,13,11,0,4,7,0,0,31,0,0,0,0,0,0,0,0,13,13,0,4,7,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,3,0,4,3,4,0,19,0,0,0,0,0,0,0,0,7,5,0,4,5,4,0,18,18,14,0,3,8,3,0,56
2100217,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,3,4,7,9,3,3,0,0,27,0,0,0,0,0,0,0,0,10,16,9,3,6,0,0,41,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,5,10,11,12,5,6,0,0,48
2100218,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,19,15,11,3,14,0,0,70,0,0,0,0,0,0,0,0,26,23,10,3,13,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,23,10,3,13,0,0,80
2100219,0,6,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,7,6,3,0,0,0,0,15
2100220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,6,6,6,3,7,0,0,27,0,0,0,0,0,0,0,0,7,5,7,4,9,4,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,11,12,4,10,4,0,43
2100221,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,3,0,0,0,0,0,3,3,4,4,3,3,0,0,20,0,0,0,0,0,0,0,0,9,8,4,3,3,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,8,11,15,8,4,3,3,0,37
2100222,3,5,3,0,0,0,0,4,0,0,0,0,0,0,0,6,5,5,0,0,0,0,0,10,18,29,16,8,7,4,3,84,0,0,0,0,0,0,0,0,24,41,19,9,12,3,3,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,11,25,41,15,9,13,3,4,115
2100223,0,0,0,3,0,0,0,5,0,3,0,0,0,0,0,5,0,5,0,0,3,0,0,10,17,19,13,5,11,6,0,68,0,0,0,0,0,0,0,0,20,28,15,12,11,6,0,85,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,3,3,0,0,13,0,0,0,0,0,0,0,0,0,10,3,3,3,0,0,23,22,30,19,11,17,6,0,106
2100224,3,3,0,0,0,0,0,8,0,3,0,0,0,0,0,7,3,0,0,0,0,0,0,8,11,21,11,10,3,0,0,60,0,0,0,0,0,0,0,0,19,27,13,8,7,0,0,81,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,4,0,0,0,16,0,0,0,0,0,0,0,0,5,3,3,4,4,0,0,20,24,31,16,13,13,0,0,100
2100225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,3,5,3,9,3,0,34,0,0,0,0,0,0,0,0,7,3,6,6,9,3,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,6,6,9,3,0,30
2100226,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,3,3,4,0,0,3,19,0,0,0,0,0,0,0,0,9,4,5,4,0,0,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,12,15,9,8,4,3,0,3,35
2100227,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,7,6,11,3,5,0,3,48,0,0,0,0,0,0,0,0,12,12,14,5,7,3,3,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,13,0,0,0,0,0,0,0,0,0,3,3,4,3,0,0,17,15,13,20,10,12,3,3,72
2100228,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,15,11,3,3,0,0,39,0,0,0,0,0,0,0,0,10,16,11,3,3,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,12,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,8,14,19,7,8,3,0,0,54
2100229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,3,3,4,13,0,0,35,0,0,0,0,0,0,0,0,6,3,3,7,15,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,0,8,0,0,0,0,0,0,0,0,0,3,0,3,6,3,0,10,9,10,4,5,15,3,0,49
