CED_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
CED221,617,700,248,510,396,148,52,126,32,2832,778,726,426,1245,718,305,104,235,57,4599,2212,672,6023,2108,1510,1041,1367,1733,231,16893,107,32,96,155,200,139,74,158,12,969,175,67,134,281,245,148,119,175,17,1359,56,75,52,41,59,28,32,39,7,392,249,162,202,194,169,168,174,264,148,1728,6255,9471,7528,5526,4195,2294,2030,3026,613,40944
CED222,657,866,452,498,722,297,158,184,55,3879,873,950,654,1186,1037,495,209,256,78,5739,1575,669,5554,1683,1457,888,1011,1170,236,14240,58,53,60,112,160,118,61,118,8,739,185,119,143,253,341,168,114,126,15,1457,88,143,68,75,100,72,54,59,20,682,131,165,153,176,204,142,107,165,149,1383,7043,14066,7981,5462,6521,3258,2079,2580,776,49767
CED223,637,998,348,521,643,251,72,109,29,3612,726,879,544,789,803,329,85,154,50,4353,1219,614,4423,1277,1114,602,463,673,144,10529,49,37,48,95,142,70,12,41,3,498,147,108,103,227,288,121,56,91,15,1163,56,147,39,45,84,46,8,25,16,475,109,191,125,131,152,81,37,75,104,1009,7970,19791,6632,4747,6209,2603,956,1637,659,51198
CED224,684,920,238,323,535,314,37,94,34,3186,636,616,313,486,646,366,45,124,42,3273,767,372,1491,598,547,452,103,231,73,4652,52,29,22,62,75,48,5,19,4,321,137,114,54,137,195,107,26,30,17,807,134,257,38,50,84,49,7,19,17,657,137,220,52,70,121,71,9,42,107,836,10981,26276,3270,3495,6454,3378,449,1176,836,56313
CED225,713,953,494,558,724,272,150,183,42,4087,983,1035,768,1277,1146,505,212,273,69,6262,2066,870,7358,1868,1802,1081,1165,1386,223,17823,68,52,72,128,208,118,42,85,13,788,208,134,155,298,327,187,101,111,18,1532,81,145,64,53,102,49,46,37,12,583,142,169,201,170,223,162,108,142,145,1454,7307,14191,9964,5759,6683,3205,2116,2655,720,52600
CED226,675,816,708,711,744,319,371,248,71,4669,1047,1002,1037,1982,1478,646,659,471,111,8440,1534,819,6385,2468,2071,1136,2102,1874,274,18662,75,46,80,161,205,136,118,159,8,982,185,123,159,376,343,175,280,196,29,1876,137,183,107,114,148,86,109,92,30,1003,167,175,262,248,242,164,311,226,239,2020,8121,17708,10512,8835,9839,4759,5271,4512,1202,70751
CED227,580,630,138,427,244,115,55,112,29,2333,628,589,266,923,544,194,67,193,39,3443,2715,605,4590,1886,1259,936,1081,1547,203,14832,120,37,59,153,204,180,70,142,12,982,217,76,89,288,192,148,81,166,9,1268,55,59,23,34,34,26,21,58,9,303,336,186,189,215,144,186,163,332,152,1902,6084,7983,5582,4604,3203,1949,1593,2780,521,34303
CED228,540,738,438,459,574,241,168,179,60,3389,736,758,705,935,886,428,258,338,72,5122,1035,510,3847,1305,1063,719,815,972,149,10418,60,30,41,121,139,93,54,86,15,634,114,100,89,266,265,164,93,113,34,1235,71,152,73,79,100,42,62,56,11,639,113,185,198,151,162,131,140,216,174,1470,6894,15754,6517,5032,6385,3260,2137,2922,902,49805
CED229,795,1040,541,720,783,332,217,211,51,4690,1120,1094,835,1893,1471,597,343,343,80,7772,2360,958,9933,2987,2457,1368,2103,2023,336,24525,99,71,112,187,299,178,91,170,10,1212,208,138,195,470,422,234,169,178,27,2042,83,142,97,98,126,51,68,61,17,741,212,215,302,297,321,226,230,252,170,2224,8003,14768,12860,8531,8336,3974,3756,3805,927,64960
CED230,538,691,298,474,445,168,94,172,32,2917,711,776,505,1312,843,354,142,278,62,4986,2485,676,7635,2373,1862,1227,1778,2184,263,20483,98,47,97,177,216,155,69,174,10,1045,175,69,130,352,243,178,141,151,27,1461,59,89,42,44,63,38,35,63,9,442,269,143,240,238,173,197,160,277,166,1862,6095,9506,9380,5963,4897,2749,2544,3656,680,45477
CED231,729,1062,403,488,520,348,51,165,56,3814,878,1084,788,1074,784,515,111,325,67,5619,871,604,2328,1125,882,584,231,489,116,7226,55,51,46,126,112,77,23,65,0,552,161,175,116,220,198,142,41,94,19,1168,116,286,64,94,82,62,17,50,21,806,156,269,121,168,121,84,51,126,157,1252,13034,39844,5958,7307,8835,4957,944,2807,1219,84894
CED232,876,1176,401,476,575,338,58,106,49,4056,1060,1156,575,860,839,499,64,155,62,5272,1098,683,2617,937,935,603,221,426,102,7612,78,73,44,78,97,65,14,40,3,484,224,215,101,199,252,162,30,52,19,1249,149,322,53,65,80,62,13,38,22,803,182,344,109,99,143,99,23,59,179,1236,13841,31541,5345,5282,7825,4310,655,1718,1144,71660
CED233,639,911,342,410,577,300,55,121,40,3392,706,680,446,660,725,385,74,154,43,3886,1196,487,3282,967,862,618,353,579,100,8443,53,24,44,68,123,63,13,41,6,438,180,110,89,184,272,150,29,72,19,1100,91,167,49,65,99,58,12,25,5,566,150,198,106,133,157,116,43,67,113,1086,8068,16287,5359,3869,5876,3225,821,1491,676,45679
CED234,618,638,178,367,280,106,68,147,15,2412,703,651,324,1038,608,198,80,256,33,3889,2425,543,5117,1860,1238,952,1221,2025,202,15583,97,39,68,140,154,122,44,178,4,852,195,66,105,264,166,125,74,161,17,1179,59,60,42,32,48,19,16,68,7,353,317,166,198,207,123,170,167,376,175,1902,6065,8266,6340,4591,3276,1924,1745,3509,530,36255
CED235,539,698,490,534,598,301,222,205,41,3614,629,694,707,1288,960,486,303,309,72,5444,1203,514,5700,1873,1414,907,1103,1226,197,14146,53,50,73,124,210,104,79,95,10,797,138,100,144,310,304,156,136,163,25,1487,77,110,94,66,93,61,66,66,16,647,121,175,211,240,198,173,170,233,165,1683,5244,11901,8391,6156,6196,3341,2732,3056,766,47785
CED236,670,600,167,402,255,112,59,117,33,2419,643,486,270,900,509,213,77,198,38,3337,2514,505,4876,1936,1114,833,1176,1746,185,14888,124,38,65,160,146,111,58,181,6,884,209,65,87,291,159,129,89,175,6,1201,69,53,39,31,30,21,20,43,8,313,366,151,197,212,128,131,161,317,132,1786,6263,7960,6002,4621,3003,1793,1701,3071,501,34907
CED237,525,889,507,496,552,313,132,164,36,3609,724,998,844,953,897,444,167,302,62,5382,997,610,4026,1325,1088,624,557,800,160,10179,50,56,51,115,134,65,34,66,3,574,128,123,119,221,271,140,52,86,17,1166,68,201,76,71,71,46,42,37,14,635,115,211,156,160,179,114,88,143,188,1361,8116,24505,7468,6000,7342,3566,1697,2765,952,62395
CED294,10,16,3,12,8,5,4,6,0,65,10,25,18,32,14,7,3,15,3,119,34,19,158,42,23,23,32,59,6,383,0,4,5,3,0,0,3,0,0,15,0,3,6,7,3,3,5,3,0,33,0,8,4,0,0,0,0,0,0,20,3,11,14,5,0,3,9,13,15,72,132,367,223,181,112,65,72,142,34,1337
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,4,0,22
