CED_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
CED219,1908,686,394,141,32,6,5161,92,512,548,343,229,101,22,6,1847,1433,6013,4876,2452,1533,623,164,48,17138,1338,4604,4126,2638,1678,716,219,48,15357,3093,6312,5588,5080,3549,1678,604,140,26043,389,446,364,291,185,71,7,3,1759,264,557,576,569,468,230,89,13,2756,3740,7316,6531,5941,4202,1972,698,152,30559,101,267,279,216,193,101,50,11,1205,2049,2294,2014,1928,1723,1397,1014,461,12881,8849,22906,20276,14200,9948,5051,2192,728,84151
CED220,2197,1161,580,275,70,31,7055,67,542,756,665,457,196,45,12,2754,1942,6528,5986,3657,2165,958,404,124,21775,983,2743,2562,2337,1636,920,364,153,11709,1269,2516,2547,2909,2183,1429,844,321,14027,184,132,189,175,119,82,21,4,902,118,230,342,430,341,248,116,57,1885,1576,2883,3081,3517,2650,1756,982,377,16813,82,226,188,187,150,124,77,47,1084,1164,1308,1201,1160,1139,1179,1157,816,9132,5977,16811,15978,12681,8783,5414,3098,1564,70311
CED221,461,499,526,312,55,14,2283,32,343,500,585,629,360,82,7,2535,437,2212,2583,1908,2160,1320,422,136,11184,466,1482,1939,2272,2297,1616,567,172,10814,2312,4268,4183,4709,4184,2562,948,299,23467,363,275,262,256,228,132,26,14,1556,149,268,383,423,463,389,128,50,2258,2821,4818,4825,5386,4875,3074,1105,369,27279,34,78,87,115,141,149,105,31,740,1646,1240,1511,1822,2250,2335,1589,897,13288,5476,10556,11901,12586,12875,9160,3921,1627,68120
CED222,1705,1001,620,300,85,14,5322,71,535,745,655,473,201,50,11,2742,1313,5476,5317,3274,2017,903,362,106,18775,899,2922,3186,2706,1773,1014,382,107,12986,1808,3876,3945,4079,2908,1698,793,251,19356,225,202,242,224,156,77,19,3,1154,153,298,477,457,451,311,136,48,2337,2195,4379,4666,4762,3521,2089,943,299,22846,56,186,217,182,182,157,86,35,1097,1177,1400,1484,1444,1383,1451,1312,954,10599,5795,16394,17316,14013,9966,6122,3230,1525,74367
CED223,2425,1806,1391,815,216,35,8782,58,685,1140,1133,1044,476,95,13,4639,1591,5796,6327,4440,3493,1854,611,179,24298,715,1881,2325,2357,2111,1415,515,168,11493,1397,2625,2574,3056,2497,1643,880,290,14951,169,107,142,138,148,86,17,10,814,124,198,322,412,383,328,142,60,1969,1693,2931,3034,3604,3020,2059,1035,354,17733,35,115,129,159,140,146,93,31,852,863,990,1008,1133,1101,1179,959,745,7971,5103,14329,16397,14636,12303,7938,3525,1532,75764
CED224,3412,3404,2382,1422,478,159,14979,66,783,1032,1328,1152,574,167,52,5158,3255,8798,7131,7241,5099,3039,1348,609,36525,799,1551,1524,2091,1819,1579,807,431,10602,854,1427,901,1240,970,681,415,230,6723,127,77,63,103,94,58,20,13,552,101,139,168,313,300,257,152,113,1547,1084,1644,1129,1656,1361,998,595,361,8825,68,157,179,199,187,172,120,82,1166,1130,1291,1021,1163,1011,1032,882,719,8244,6687,17669,15439,17079,12994,8818,4399,2413,85496
CED225,1623,945,657,315,70,13,4800,66,457,753,748,610,249,53,13,2942,1151,4095,5021,3330,2160,1107,335,93,17283,992,2600,3460,3135,2137,1157,370,83,13933,2329,4295,4736,5420,3665,1762,792,189,23176,260,213,237,209,162,74,23,4,1174,169,274,427,568,472,316,103,34,2370,2757,4779,5399,6204,4299,2145,915,227,26719,47,117,168,202,185,146,81,23,961,1230,1058,1161,1394,1257,1120,808,498,8532,6306,14201,17584,15957,11300,6233,2636,944,75166
CED226,4749,1209,576,224,51,4,12249,74,860,1045,550,365,125,28,7,3048,1802,10392,8356,3502,1915,780,193,41,26977,1375,5511,4639,3161,1843,725,194,54,17503,2916,6425,5706,5023,3225,1575,542,125,25523,361,374,364,279,158,68,12,0,1610,257,597,719,597,433,225,48,18,2889,3526,7398,6786,5897,3815,1869,602,144,30021,102,433,390,232,187,118,54,8,1526,2252,3387,2703,2061,1652,1372,790,369,14587,9313,33227,28671,16616,10347,5207,1907,625,105910
CED227,337,220,215,113,30,3,1219,37,273,340,394,368,152,26,9,1597,507,2249,1953,1448,1413,726,290,86,8677,408,1290,1545,1704,1717,1017,365,121,8159,2170,4099,3498,4017,3514,1954,724,203,20168,376,319,272,258,216,110,13,7,1577,182,274,333,404,401,237,75,21,1918,2727,4693,4099,4678,4124,2298,812,231,23658,47,78,72,94,106,114,66,27,593,1846,1614,1423,1986,2369,2468,1952,1166,14822,5616,10461,9768,10522,10308,6879,3538,1641,58734
CED228,1858,1055,702,288,61,8,6839,68,718,728,652,556,202,48,5,2975,2382,7904,5745,3677,2445,961,257,82,23460,1161,3216,2484,2176,1603,803,298,108,11846,1604,3420,2761,2952,2118,1422,841,267,15385,224,205,200,191,128,67,8,9,1027,161,355,353,457,360,199,106,48,2033,1985,3983,3312,3598,2604,1689,955,320,18444,100,262,184,157,158,111,53,33,1045,1721,2328,1694,1596,1575,1635,1346,791,12683,7665,21037,15997,12908,9647,5691,3005,1342,77303
CED229,1675,833,574,255,66,8,5110,82,704,863,695,547,222,48,10,3169,1236,5742,5398,2867,2031,1031,292,87,18696,1217,4162,4195,3274,2084,1159,372,98,16570,3240,7922,6980,6353,4205,2209,748,200,31852,388,429,391,290,229,79,14,6,1820,288,563,652,659,532,306,97,42,3143,3915,8907,8023,7304,4957,2597,863,247,36813,72,244,241,196,173,163,47,23,1154,2180,2170,2159,2143,1930,1778,970,449,13778,8794,23547,22561,17309,12307,7201,2659,917,95285
CED230,589,444,461,326,87,13,2516,49,395,503,474,564,317,53,3,2364,572,2831,2684,1849,1981,1295,408,116,11746,692,2304,2327,2282,1960,1436,546,140,11694,2948,6489,5317,5520,4257,2747,1200,311,28796,326,393,336,278,225,114,27,4,1705,214,379,441,439,479,421,136,40,2549,3492,7258,6091,6234,4961,3285,1359,358,33047,40,132,106,123,138,183,77,47,851,1824,1495,1553,2033,2192,2461,1749,863,14170,6704,14995,13854,13441,12266,9303,4285,1536,76384
CED231,4848,2666,1845,1127,314,83,22265,223,2235,1369,954,874,416,81,15,6167,10502,26716,9173,4503,3020,1750,551,171,56383,2512,4722,2404,1753,1309,854,294,94,13951,1613,3394,1824,1417,943,526,207,91,10022,259,244,158,139,76,31,6,3,917,268,471,351,324,233,171,60,16,1903,2141,4114,2337,1881,1255,726,276,116,12838,431,453,212,137,115,87,55,23,1511,5079,6944,3201,2285,1864,1359,846,526,22105,21842,55610,23549,14180,10288,6324,2414,1020,135227
CED232,4090,2545,1821,1130,270,72,16065,84,1373,1301,1089,929,439,89,12,5317,3417,16296,9188,5399,3991,2339,803,307,41747,1083,3625,2609,2062,1713,1197,456,195,12942,1093,3262,1845,1557,1123,750,341,185,10156,156,185,138,89,76,54,18,5,719,135,379,347,348,333,225,103,46,1920,1387,3827,2330,1998,1535,1030,457,236,12791,99,347,214,170,151,200,93,47,1314,2010,4759,2752,2125,1850,1478,897,645,16521,8417,36036,22481,15390,11984,7812,3060,1516,106699
CED233,2135,1588,1257,633,219,40,8006,41,417,675,856,722,376,119,23,3225,1905,5607,5650,4862,3545,1964,816,215,24565,718,1562,1911,2611,2069,1555,792,243,11461,1028,1648,1856,2928,2013,1542,1078,297,12384,130,87,104,145,137,70,40,11,715,103,163,237,473,416,368,203,84,2043,1258,1894,2200,3545,2558,1981,1317,388,15142,51,135,142,196,192,205,125,36,1071,766,748,747,985,1013,1207,1230,853,7550,4914,12317,13465,14637,11358,7919,4614,1801,71023
CED234,355,327,269,158,40,13,1595,34,343,415,445,448,195,47,6,1929,479,2258,2149,1564,1499,860,282,75,9172,464,1527,1654,1855,1767,1117,439,134,8958,2252,4110,3906,4350,3803,2227,942,255,21842,271,251,229,258,211,111,26,14,1378,168,266,340,382,354,321,108,42,1972,2691,4626,4476,4990,4367,2659,1078,307,25197,27,107,101,90,105,135,88,35,694,1809,1549,1625,2028,2390,2586,2072,1100,15157,5552,10801,10773,11300,10841,7714,4047,1667,62694
CED235,1664,734,428,186,49,5,5434,67,597,615,453,379,122,24,3,2263,1815,6213,4545,2570,1713,749,196,62,17856,1155,3571,2954,2356,1515,703,232,51,12538,2136,4385,3732,4004,2909,1522,637,177,19511,255,277,260,227,155,56,14,3,1241,201,425,443,497,420,223,61,17,2290,2587,5083,4439,4735,3484,1798,713,202,23038,84,239,231,162,149,113,51,17,1047,1475,1809,1431,1353,1393,1315,902,341,10019,7332,19729,15873,12366,9069,4985,2170,675,72196
CED236,353,341,350,227,60,4,1621,28,289,389,448,453,224,44,11,1885,473,2084,2182,1739,1764,1030,316,112,9705,390,1173,1506,1815,1806,1268,429,134,8515,2054,3647,3738,4322,3605,2133,809,246,20567,305,289,262,234,218,109,16,3,1437,147,243,329,377,417,301,95,34,1936,2509,4183,4325,4932,4244,2540,919,286,23945,32,54,65,101,121,128,64,28,608,1599,1301,1559,1972,2335,2457,1849,972,14045,5064,9336,10377,11346,11066,7879,3688,1557,60321
CED237,3700,1806,1039,404,80,16,12169,114,1373,1436,1028,732,221,53,8,4963,3086,12745,7990,3869,2079,814,220,81,30884,1050,3798,2894,2082,1248,526,208,100,11909,1573,3682,2753,2597,1818,938,690,316,14371,200,211,193,146,85,45,18,7,913,153,346,388,399,278,145,82,53,1831,1925,4236,3331,3144,2181,1125,792,380,17116,106,270,192,136,125,82,45,33,985,1556,2712,1925,1460,1232,1116,1228,801,12031,8092,30006,21472,13530,8625,4292,2623,1417,90060
CED294,63,20,20,14,0,0,238,0,36,18,19,14,3,0,0,91,121,360,126,75,68,33,4,3,792,61,119,74,59,51,22,9,0,404,107,219,155,124,108,52,11,0,777,18,14,12,5,3,3,0,0,60,7,24,18,14,16,9,5,0,101,138,255,188,152,125,61,12,0,932,3,8,10,0,3,8,0,0,42,309,513,497,343,235,114,29,13,2076,650,1413,971,670,526,263,61,19,4580
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,6,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,3,5,10,0,0,0,25
