CED_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
CED213,1000,62,3,4,4,1075,500,33,3,0,0,533,443,26,0,4,0,470,798,46,0,3,0,848,1046,62,4,3,0,1116,3061,196,8,4,3,3273,3485,176,17,0,13,3686,4328,183,11,5,5,4536,1831,46,0,3,5,1885,1357,38,0,3,3,1403,710,23,0,0,7,738,1059,40,0,0,7,1110,19606,929,55,25,51,20669
CED214,708,197,57,6,3,963,334,64,26,0,0,426,238,59,31,3,0,325,451,99,49,0,0,603,591,152,73,0,3,817,1670,531,247,4,4,2456,1806,635,309,6,11,2764,2668,1052,251,9,9,3998,1655,576,79,3,10,2321,1609,554,46,5,3,2218,1036,278,23,4,0,1340,607,171,36,0,0,820,13373,4370,1220,42,49,19050
CED215,923,13,17,5,6,965,651,18,12,3,5,682,648,12,15,6,3,682,1334,14,19,10,7,1376,1877,34,18,3,3,1931,4088,41,29,8,9,4178,3100,15,15,3,11,3147,2332,6,5,11,6,2365,724,4,0,0,3,732,492,4,0,0,3,497,302,3,0,7,0,309,780,5,5,8,9,803,17247,174,132,52,70,17668
CED216,827,210,73,3,4,1118,217,70,18,0,0,303,183,69,25,0,0,275,236,90,39,0,0,375,307,125,52,0,0,490,959,327,181,7,3,1480,860,365,220,12,11,1460,1668,641,349,19,14,2697,1105,532,165,10,4,1819,1932,653,130,11,8,2736,3011,579,91,3,21,3711,732,163,57,0,3,954,12049,3825,1396,63,71,17403
CED217,1117,91,4,0,0,1206,533,39,7,0,0,581,452,46,3,0,0,501,849,81,4,0,3,932,1296,133,4,0,0,1437,4570,430,25,3,9,5035,5663,541,37,0,10,6254,6791,487,15,3,14,7310,2390,124,3,0,9,2523,1521,104,0,3,0,1631,788,37,0,0,0,825,1295,92,4,0,0,1391,27262,2205,98,6,45,29620
CED218,645,264,202,3,6,1121,126,63,54,0,0,249,107,61,52,3,0,223,133,70,119,0,3,323,180,99,137,0,0,420,554,276,571,0,3,1406,505,314,697,11,4,1527,900,599,1032,5,4,2548,604,400,476,5,8,1496,1043,652,389,6,3,2089,2308,726,262,3,4,3306,477,165,114,0,3,766,7595,3691,4108,35,43,15471
CED219,1103,100,3,0,0,1207,547,41,0,3,0,595,440,34,0,0,0,472,879,74,8,0,0,960,1230,106,12,0,0,1347,4290,494,37,5,6,4831,6510,681,17,4,7,7224,8141,557,11,0,9,8719,2364,151,3,0,3,2525,1281,68,3,0,0,1351,703,37,3,4,0,744,1178,89,0,6,3,1269,28659,2438,103,25,27,31248
CED220,847,153,64,3,3,1073,297,63,21,0,0,389,284,48,18,0,0,352,436,89,36,0,0,560,560,130,41,0,0,738,1616,374,179,4,3,2175,1732,461,252,7,3,2454,2657,656,288,7,7,3617,1611,393,108,0,8,2118,1698,331,113,3,8,2151,881,171,50,0,3,1112,653,106,43,3,0,802,13281,2978,1217,29,30,17534
CED221,819,13,3,4,6,847,571,4,3,5,0,584,513,8,12,0,3,541,1036,28,8,3,8,1084,1532,42,19,6,10,1609,4035,85,27,13,21,4184,3420,37,6,3,14,3480,2542,12,6,11,22,2594,819,4,0,3,9,837,569,4,0,3,13,595,299,0,3,0,4,311,825,10,6,7,10,853,16984,257,100,62,113,17509
CED222,779,208,60,0,4,1053,312,94,19,0,0,424,271,63,31,0,0,364,512,145,55,0,0,709,747,210,74,0,0,1031,2158,656,238,3,6,3064,2792,847,330,0,5,3981,3665,1012,401,4,13,5095,1865,551,140,0,4,2564,1783,433,93,4,5,2313,888,196,47,0,6,1129,756,174,59,3,3,996,16537,4581,1543,23,49,22727
CED223,963,85,13,3,3,1069,350,49,13,0,0,412,318,32,11,0,0,357,467,54,22,0,0,544,664,84,17,0,0,767,1832,276,75,0,4,2190,2032,373,91,3,3,2497,3265,518,128,3,4,3921,2186,259,66,0,3,2518,2097,149,43,0,3,2288,1356,71,26,0,4,1457,745,64,12,0,3,829,16266,2011,514,16,30,18839
CED224,952,223,106,3,0,1284,165,53,31,0,0,248,149,50,40,0,0,237,171,61,56,0,0,290,210,81,71,0,0,368,684,240,229,3,0,1159,555,223,360,0,0,1142,1131,409,543,3,0,2090,663,308,253,4,3,1235,1332,484,200,0,8,2026,3221,540,120,0,12,3898,615,121,52,0,0,795,9859,2788,2053,22,32,14755
CED225,1132,37,8,0,0,1177,498,23,3,0,0,527,434,23,0,0,0,461,763,21,3,0,0,787,1216,46,3,0,0,1271,3482,136,18,0,6,3641,4578,208,12,0,7,4809,6698,193,14,0,4,6903,2918,70,3,0,3,2990,1822,30,6,0,3,1859,891,16,0,3,3,911,1138,23,0,0,0,1161,25563,833,61,8,31,26502
CED226,1155,142,12,0,0,1310,446,67,3,0,0,513,449,56,3,0,0,510,782,95,21,0,0,899,1259,173,22,0,3,1458,4615,717,94,4,0,5433,6637,1022,77,0,8,7744,7899,1074,27,0,10,9013,2740,320,4,4,0,3067,1642,177,12,0,0,1836,848,85,12,0,0,949,1254,137,14,0,0,1406,29741,4066,294,10,24,34136
CED227,993,24,10,4,11,1038,816,12,4,7,5,840,744,15,8,3,4,770,1638,28,13,6,7,1692,1901,36,38,6,13,1992,3786,81,27,6,17,3918,2295,27,6,3,13,2341,1412,10,0,4,11,1438,412,0,0,3,3,420,292,0,0,3,0,298,222,0,0,3,7,229,762,9,3,0,8,783,15270,238,111,54,99,15766
CED228,832,199,64,4,0,1092,302,68,20,0,0,395,243,59,28,0,0,326,377,108,22,0,4,513,507,159,78,0,0,747,1465,544,231,3,6,2242,1615,599,297,6,3,2523,2052,787,363,10,14,3221,1074,440,106,8,0,1628,1253,431,78,0,6,1767,1082,249,38,4,3,1374,713,164,36,8,5,926,11511,3803,1357,34,40,16751
CED229,1118,44,9,0,0,1171,558,22,5,0,0,582,482,20,13,0,0,514,927,37,19,0,0,984,1384,72,24,0,3,1478,4622,256,78,0,13,4971,6897,441,83,4,13,7442,9084,341,33,3,9,9471,3335,105,4,0,6,3446,2115,47,3,0,3,2179,1064,28,0,0,3,1091,1501,56,4,0,0,1566,33085,1472,271,14,51,34893
CED230,991,30,9,5,0,1037,640,17,5,3,0,669,568,13,3,0,3,593,1148,31,3,3,0,1193,1538,39,12,0,3,1596,4404,131,20,7,6,4564,4692,106,13,3,13,4826,4386,68,0,6,17,4473,1360,13,0,3,3,1375,858,7,0,0,0,873,491,4,0,0,0,498,1043,23,11,0,0,1073,22126,484,74,40,50,22777
CED231,175,389,474,0,6,1043,45,107,101,0,0,251,40,96,82,0,0,217,54,112,159,0,0,323,76,164,266,3,0,509,201,436,1067,7,4,1712,227,519,1315,8,6,2081,417,885,1935,15,16,3265,296,734,972,6,11,2014,470,990,775,4,8,2241,469,974,483,3,13,1950,130,208,254,3,0,596,2590,5610,7883,47,73,16212
CED232,290,266,453,6,3,1022,45,61,128,4,0,240,32,65,129,3,0,231,55,73,195,0,3,323,60,121,283,4,0,470,244,301,965,17,3,1524,196,304,1250,20,5,1773,368,590,2027,22,3,3018,234,435,1139,8,10,1827,435,717,895,9,5,2063,883,1127,697,9,0,2723,220,205,278,5,8,713,3076,4267,8438,108,44,15934
CED233,922,136,34,0,3,1093,279,40,12,0,0,330,253,31,7,0,0,289,372,47,20,0,0,439,492,68,25,0,0,592,1391,204,76,0,3,1669,1490,228,133,0,0,1857,2546,400,161,0,6,3111,1629,255,48,0,4,1941,1924,279,55,0,0,2264,1569,178,24,0,0,1776,693,85,24,0,0,808,13558,1946,625,3,24,16157
CED234,927,15,0,0,4,955,576,15,0,3,6,601,549,15,3,4,0,571,1211,35,8,5,4,1263,1717,41,14,10,3,1777,4201,66,7,5,7,4286,3117,38,4,10,10,3180,2111,21,4,0,4,2139,612,3,0,3,0,621,450,4,0,3,6,455,333,3,0,5,3,337,866,7,3,6,6,881,16664,266,50,54,51,17080
CED235,961,92,11,0,0,1066,399,46,3,0,0,455,342,46,7,0,0,399,610,61,12,0,0,682,834,85,12,0,0,931,2658,379,64,0,3,3105,3636,515,71,0,9,4230,5211,431,43,3,10,5699,1998,120,10,0,7,2135,1423,84,7,0,0,1512,752,48,0,0,0,805,925,86,11,0,0,1021,19763,2000,261,7,27,22050
CED236,1073,14,10,3,6,1112,692,11,0,7,0,719,699,14,5,3,3,718,1304,27,7,3,6,1347,1607,14,9,8,9,1647,3485,69,21,19,8,3606,2417,31,7,3,13,2479,1785,23,3,6,11,1822,518,14,4,6,3,538,373,10,4,0,3,394,319,3,0,4,7,338,837,9,6,9,8,875,15117,240,84,71,77,15592
CED237,634,189,58,6,3,894,256,74,37,0,0,367,219,63,22,0,3,310,343,132,42,0,0,515,512,158,82,0,3,756,1369,587,303,3,12,2280,1530,749,412,7,10,2715,2410,1233,536,9,9,4186,1494,618,202,3,13,2332,1505,496,117,3,8,2132,897,233,53,0,0,1189,568,157,59,3,0,782,11741,4696,1924,41,54,18467
CED294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
