CED_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
CED211,48,415,6663,20857,11967,2203,381,741,43272,18,563,3401,1999,220,27,12,187,6428,12,71,543,1225,235,18,5,37,2148,32,633,3940,3224,455,48,17,221,8576,0,88,395,162,25,3,0,31,705,0,122,406,33,0,0,0,7,567,3,217,287,28,0,0,0,9,545,0,0,6,3,0,0,0,0,8,6,428,1086,226,32,3,0,48,1829,0,4,17,17,3,0,0,0,41,0,13,37,40,16,0,0,26,129,82,1490,11742,24363,12474,2260,399,1035,53847
CED212,46,262,3364,22955,13023,2410,424,877,43361,26,623,3429,1491,87,16,5,232,5912,8,42,528,994,121,7,0,28,1726,32,666,3960,2479,206,22,5,260,7634,61,446,1823,806,36,3,3,146,3320,0,25,123,22,0,0,0,4,182,5,18,35,5,0,0,0,7,73,0,3,3,0,0,0,0,0,9,69,497,1985,825,39,4,3,157,3580,28,136,123,35,15,0,0,31,361,4,11,27,28,15,0,0,8,85,170,1575,9453,26328,13289,2428,438,1334,55020
CED213,73,509,5890,24851,14571,2547,537,1189,50175,3,288,2199,1507,150,10,0,183,4334,0,25,281,609,125,20,0,22,1080,3,307,2478,2114,274,27,5,203,5412,3,72,256,125,15,3,0,45,519,0,9,14,4,0,0,0,0,33,0,0,3,16,0,0,0,0,24,0,0,0,0,0,0,0,0,3,3,87,270,147,13,8,3,48,581,34,190,151,31,15,0,0,35,466,7,18,47,65,35,6,0,17,194,119,1109,8833,27217,14915,2587,546,1498,56821
CED214,61,377,6364,22523,6745,1155,222,926,38380,24,568,3099,2142,368,39,4,204,6446,16,135,1747,3762,994,118,20,118,6911,40,705,4842,5902,1362,154,21,323,13358,46,1607,2877,493,36,3,14,203,5281,28,476,848,93,3,0,0,45,1492,91,750,793,96,7,0,24,64,1823,0,11,24,5,0,0,0,3,44,159,2846,4548,685,43,3,41,310,8639,13,54,98,76,22,3,4,29,296,7,31,60,68,20,6,9,29,231,285,4009,15912,29262,8196,1322,293,1629,60896
CED215,77,760,6242,26578,12621,1758,300,1216,49548,14,372,1046,285,27,4,3,101,1847,0,54,85,77,3,3,0,18,244,16,428,1131,363,33,4,3,112,2094,10,387,1126,222,14,0,4,105,1864,0,0,24,3,0,0,0,3,31,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,10,395,1151,224,15,0,4,105,1898,42,193,167,76,14,3,8,38,535,3,29,73,89,52,12,12,108,381,141,1807,8755,27331,12731,1776,323,1583,54441
CED216,19,164,3767,13578,10845,2800,387,509,32063,18,413,4151,2462,234,19,3,180,7479,0,114,991,3137,1195,109,13,95,5666,17,528,5139,5605,1430,126,16,273,13145,53,1249,2705,612,61,4,9,119,4817,4,325,1105,192,18,0,3,43,1692,11,473,812,154,9,0,3,46,1514,0,9,3,7,0,0,0,0,18,71,2045,4632,963,85,12,8,216,8035,0,31,161,62,11,0,0,3,268,0,28,49,69,41,5,3,14,202,113,2796,13746,20279,12415,2945,420,1012,53716
CED217,96,200,1684,25495,20676,2577,418,1277,52421,14,145,1244,2045,678,38,7,125,4291,8,17,208,1322,313,53,8,48,1969,13,159,1448,3373,991,91,13,168,6255,0,154,102,143,14,0,0,24,436,0,3,34,8,0,0,0,0,47,0,0,80,5,0,0,0,3,96,0,3,3,3,0,0,0,3,14,0,162,219,162,14,0,0,26,587,20,82,11,25,8,0,0,5,141,0,6,15,51,29,6,0,5,107,135,604,3380,29094,21704,2671,431,1492,59516
CED218,17,159,2555,8756,7170,2155,390,332,21533,24,427,4597,2761,334,46,12,184,8386,10,108,1358,3039,771,85,10,86,5471,31,536,5954,5796,1104,136,24,267,13856,87,2662,4593,1046,81,13,8,196,8691,98,3067,4605,631,17,20,5,201,8649,182,3582,4239,835,29,7,5,224,9107,0,3,4,0,0,0,0,0,16,362,9319,13441,2518,126,37,19,624,26454,19,101,105,53,6,3,0,11,295,7,36,57,49,20,6,6,20,197,435,10149,22115,17163,8432,2337,449,1255,62343
CED219,95,206,2236,26603,20137,2657,440,1326,53700,9,144,1695,2019,862,73,10,136,4946,0,20,207,579,287,86,7,21,1208,10,164,1902,2599,1151,154,17,157,6157,0,71,377,105,10,3,0,33,596,0,27,12,0,0,0,0,5,39,0,0,3,4,0,0,0,0,14,0,0,0,3,0,0,0,0,3,0,97,391,114,12,3,0,40,651,4,61,78,46,10,5,0,21,227,3,4,18,28,15,3,0,21,94,115,534,4627,29384,21328,2823,461,1565,60831
CED220,54,204,3474,20779,9762,1892,363,808,37335,16,451,3575,2198,144,8,4,178,6568,5,43,524,1726,567,46,3,57,2972,22,497,4096,3928,711,59,4,233,9544,9,665,2113,860,149,10,4,186,3987,0,124,366,23,0,0,0,11,526,0,184,349,11,3,0,0,6,550,0,0,3,0,0,0,0,0,3,13,968,2833,900,150,6,3,201,5068,13,63,55,21,4,3,0,10,168,0,17,44,48,23,0,3,28,171,103,1750,10499,25681,10647,1960,373,1275,52285
CED221,91,676,5867,24735,13197,1701,349,1134,47757,7,437,1825,424,36,6,4,154,2897,0,28,75,64,8,0,0,6,178,7,461,1905,489,41,7,4,163,3076,3,209,720,136,13,3,3,69,1151,7,4,30,10,0,0,0,0,51,0,18,38,14,3,0,0,5,78,0,3,0,0,0,0,0,0,3,8,233,793,156,16,3,9,73,1291,50,128,105,57,35,11,9,76,458,3,20,74,133,77,24,3,23,354,158,1531,8744,25567,13363,1742,370,1459,52937
CED222,45,227,2548,17447,12048,2194,326,688,35528,17,639,4190,2708,431,31,10,272,8308,13,71,1154,2801,772,110,15,79,5011,32,710,5346,5507,1204,139,28,352,13319,36,879,2745,1278,92,13,9,171,5220,8,101,416,49,13,0,0,8,599,0,158,301,29,3,4,0,12,507,0,5,4,4,0,0,0,4,16,49,1138,3468,1356,107,14,9,197,6344,45,192,188,40,15,3,0,23,497,3,21,43,56,17,3,4,20,165,179,2287,11589,24410,13389,2355,366,1283,55853
CED223,30,250,3972,20287,12094,2469,408,678,40196,12,504,2511,1230,103,19,0,154,4526,4,60,822,1507,208,25,8,46,2677,12,565,3335,2734,305,42,7,198,7206,8,373,1471,549,58,3,3,57,2523,0,29,198,15,0,0,0,4,244,0,121,197,14,3,0,0,7,339,0,3,0,0,0,0,0,0,7,12,523,1860,582,65,0,7,75,3116,0,10,22,20,5,0,0,0,61,0,12,39,45,20,3,0,22,143,52,1362,9223,23674,12489,2517,420,978,50718
CED224,13,156,2421,10037,10796,3565,679,433,28117,14,250,3392,2573,369,56,4,116,6782,8,61,751,2410,742,94,11,53,4135,20,317,4150,4982,1112,151,19,172,10912,84,997,3460,660,79,10,10,214,5506,59,1194,2614,356,28,3,3,83,4346,109,1258,1574,206,10,3,7,86,3253,0,0,0,0,0,0,0,0,0,257,3452,7644,1225,114,18,22,380,13102,3,18,61,50,11,0,3,5,155,0,30,46,51,30,6,0,15,179,291,3965,14326,16343,12062,3738,726,1008,52464
CED225,45,371,3191,20046,19127,3343,564,761,47443,7,127,1106,696,191,22,0,76,2226,0,40,127,648,117,12,0,15,948,7,165,1225,1345,306,35,0,87,3181,18,86,243,65,12,3,0,26,459,0,0,14,5,0,0,0,0,18,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,18,86,253,73,13,3,0,30,486,0,34,18,11,9,3,0,0,84,0,17,26,34,19,3,6,17,112,76,676,4721,21502,19468,3383,565,901,51300
CED226,86,190,2039,27554,25890,2585,314,1232,59880,18,174,2173,3382,1838,100,13,171,7883,4,10,357,1375,603,89,16,62,2511,19,176,2531,4764,2444,192,32,230,10391,0,62,692,545,44,14,0,42,1402,0,6,32,0,0,0,0,3,42,0,11,56,13,3,0,0,5,85,0,0,0,0,0,0,0,0,4,0,79,779,556,44,14,4,52,1530,16,56,34,11,7,0,0,4,129,0,4,16,31,17,3,0,19,91,126,506,5393,32912,28406,2790,349,1537,72018
CED227,88,648,5698,25881,11349,1394,323,1234,46620,13,337,1362,720,43,4,0,132,2621,0,4,32,50,3,0,0,0,93,13,343,1386,771,49,5,0,135,2711,24,596,1416,207,14,0,3,164,2422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,24,602,1416,207,14,0,3,165,2426,66,202,103,97,23,3,6,41,547,3,22,60,154,70,7,12,44,368,195,1821,8666,27106,11506,1408,347,1624,52681
CED228,61,222,3546,21257,9327,1836,302,999,37548,18,422,2173,2098,212,23,9,176,5126,10,213,1539,3697,1190,176,28,165,7027,28,635,3709,5800,1403,198,32,342,12152,19,632,2631,1004,47,3,0,117,4458,42,533,699,107,7,0,0,64,1453,8,645,1295,124,3,0,0,44,2117,0,9,9,3,0,0,0,0,30,66,1823,4636,1232,60,3,3,224,8055,4,18,78,73,29,4,3,9,214,0,15,50,65,18,4,0,32,192,162,2718,12018,28424,10844,2047,345,1606,58164
CED229,83,340,2740,26267,26582,3272,563,1106,60950,15,164,1031,1270,512,26,9,86,3107,0,17,448,904,202,12,0,32,1618,18,187,1471,2167,719,40,7,117,4719,8,160,874,521,21,0,0,45,1631,0,0,37,3,0,0,0,0,47,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,161,910,531,21,0,0,53,1685,10,52,28,8,7,4,3,9,125,0,9,27,71,36,3,9,8,168,117,747,5176,29040,27367,3320,581,1298,67648
CED230,70,475,5706,27976,16834,2080,417,1197,54756,22,454,1796,795,111,13,9,163,3354,3,35,107,277,58,0,0,8,492,24,483,1898,1074,177,13,6,171,3849,20,267,938,170,18,0,3,75,1486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,3,20,276,938,168,13,0,3,77,1489,39,137,149,45,15,3,3,35,429,0,13,46,76,35,10,0,31,207,150,1389,8734,29336,17075,2102,431,1509,60734
CED231,9,313,2319,3812,1558,322,89,200,8625,21,654,5519,3333,690,97,14,228,10554,25,379,3172,4881,1383,311,66,250,10471,49,1033,8687,8218,2073,410,85,486,21028,138,1638,2303,671,83,11,33,164,5043,211,3217,4555,833,47,5,7,269,9143,1641,13444,21205,3858,208,17,40,1228,41643,0,8,13,5,0,0,0,0,26,1988,18303,28069,5369,340,34,85,1663,55854,17,67,125,101,31,9,3,56,411,13,151,221,80,28,10,11,62,570,2083,19870,39426,17586,4020,779,266,2468,86495
CED232,5,130,1342,3636,2696,813,239,162,9027,15,392,3359,3088,539,90,18,149,7645,11,228,1746,3532,1004,155,36,131,6839,21,623,5108,6618,1542,243,51,273,14481,204,2628,5282,989,85,11,11,266,9483,188,4651,7004,921,44,7,13,332,13156,192,6588,11606,2988,166,21,13,475,22047,4,22,27,7,0,0,0,4,66,586,13880,23924,4905,297,37,39,1073,44750,10,222,238,64,8,4,0,21,570,3,51,91,56,18,3,5,48,279,631,14912,30703,15275,4563,1105,344,1583,69108
CED233,27,191,1750,14725,16010,3566,693,634,37594,3,114,1122,1181,156,19,7,85,2688,5,16,399,1979,1121,140,6,63,3719,9,135,1521,3162,1276,156,6,145,6407,7,122,439,458,29,0,0,33,1090,0,91,321,51,8,0,0,11,479,9,249,674,128,6,0,0,32,1102,0,0,0,0,3,0,0,0,6,18,464,1432,634,48,0,0,75,2676,3,8,13,8,3,0,0,3,41,0,4,14,24,22,9,3,81,157,55,803,4728,18552,17353,3734,705,935,46867
CED234,95,578,5724,25968,12417,1623,257,1289,47950,12,582,1956,446,70,7,3,193,3266,0,8,50,50,14,3,3,3,135,12,588,2011,495,85,10,5,198,3406,16,293,715,94,5,0,3,90,1214,0,10,13,0,0,0,0,0,21,0,3,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,5,16,309,734,95,10,0,3,88,1253,83,262,139,68,27,4,4,63,650,11,28,61,90,46,3,3,35,278,219,1770,8662,26714,12586,1636,268,1667,53532
CED235,71,217,2039,24657,15615,2243,378,953,46174,13,163,1301,1593,474,34,6,94,3677,6,22,609,1308,337,47,3,42,2377,26,183,1909,2900,805,81,8,137,6055,5,111,843,352,15,3,0,38,1371,6,141,184,18,0,0,0,14,362,22,116,79,3,46,0,0,3,277,0,0,0,3,0,0,0,0,0,30,368,1116,373,64,4,0,55,2014,0,4,3,12,0,0,0,0,21,0,8,25,27,21,4,3,18,99,131,772,5084,27974,16506,2341,388,1172,54358
CED236,98,679,6237,25105,11026,1698,406,1145,46392,18,392,1346,265,47,8,4,102,2183,0,16,161,164,19,3,0,9,364,18,414,1505,422,63,14,6,110,2548,9,273,724,129,17,3,9,119,1286,0,51,15,12,3,0,0,7,91,0,0,8,3,0,0,0,0,11,0,5,0,0,0,0,0,0,7,13,327,744,147,17,7,9,125,1385,49,116,99,92,35,11,5,26,432,3,18,83,124,53,8,18,38,343,173,1544,8672,25897,11186,1731,441,1444,51098
CED237,29,337,6230,19917,7034,1126,249,856,35774,21,577,4823,1891,213,32,23,230,7811,25,276,3959,3936,552,53,22,203,9032,45,856,8782,5831,770,84,43,426,16840,68,1637,2780,432,40,0,15,146,5117,49,507,971,77,10,0,0,51,1678,79,1542,2050,148,12,5,0,76,3924,0,7,17,10,0,0,0,3,27,202,3694,5823,672,62,8,17,271,10742,8,42,119,68,24,6,3,12,280,7,33,69,75,31,5,3,22,236,288,4966,21017,26563,7912,1230,311,1586,63876
CED294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
