CED_CODE_2016,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
CED211,1724,842,930,1771,781,845,1628,783,883,1661,736,796,1534,4002,4324,8322,752,805,1553,696,808,1510,673,823,1497,718,804,1521,644,810,1458,3489,4047,7534,683,823,1501,594,753,1352,642,742,1380,645,797,1438,702,856,1559,3262,3973,7234,580,746,1329,565,674,1232,573,674,1243,532,650,1180,498,626,1126,2746,3364,6109,469,543,1008,435,570,1006,428,558,985,381,523,906,386,512,894,2091,2710,4808,1586,2189,3771,1026,1700,2721,421,864,1285,77,247,322,11,28,40,70760,76001,146767
CED212,2099,911,998,1909,965,1034,1996,880,956,1843,837,904,1740,4591,4996,9583,879,931,1809,812,882,1696,780,912,1691,835,956,1791,763,885,1648,4059,4573,8632,749,945,1697,752,915,1663,780,831,1609,768,895,1665,877,963,1836,3920,4555,8473,733,857,1591,641,765,1407,621,768,1392,593,703,1295,548,672,1217,3138,3773,6904,516,627,1140,517,564,1080,467,561,1027,445,509,958,412,502,915,2361,2754,5115,1551,2068,3620,937,1396,2332,344,674,1023,92,218,314,4,32,38,70672,75708,146381
CED213,2211,1016,1153,2170,1015,1131,2142,980,1141,2118,1027,1103,2132,5125,5656,10784,1062,1144,2200,1064,1115,2176,956,1140,2095,1040,1143,2176,1070,1103,2171,5188,5641,10832,1041,1121,2159,1106,1158,2266,1010,1149,2163,1060,1191,2249,1153,1260,2414,5367,5885,11251,975,1051,2034,983,997,1978,851,936,1786,799,813,1616,781,861,1647,4397,4669,9063,747,688,1435,705,703,1410,641,686,1331,566,621,1187,531,589,1114,3191,3292,6479,2114,2329,4448,1309,1654,2962,468,763,1229,86,230,322,9,24,30,75055,78445,153498
CED214,1999,1012,971,1978,951,891,1840,886,887,1776,803,864,1665,4611,4644,9256,852,847,1698,794,796,1592,724,768,1493,681,743,1423,645,720,1362,3696,3873,7564,688,680,1369,622,641,1267,609,655,1256,566,693,1259,628,661,1286,3110,3329,6442,525,608,1130,482,480,963,501,557,1061,371,469,838,398,506,901,2273,2613,4888,419,471,899,388,456,843,351,457,815,329,437,768,355,438,791,1851,2266,4115,1416,1957,3373,921,1392,2311,327,662,985,79,164,247,3,14,16,82718,83151,165873
CED215,2106,1009,1120,2132,1085,1099,2179,1052,1106,2156,995,1085,2077,5128,5527,10653,1060,1095,2150,991,1083,2076,1034,1061,2097,1049,1105,2158,1054,999,2057,5196,5343,10538,1085,1038,2121,1051,1090,2138,1050,1005,2052,1067,921,1988,1097,1032,2129,5345,5091,10438,894,879,1769,819,804,1623,754,766,1516,707,686,1387,719,687,1406,3884,3818,7706,675,684,1359,579,571,1145,552,591,1145,466,559,1029,441,503,947,2717,2906,5626,1728,1990,3716,988,1351,2348,333,671,1007,78,163,238,7,25,34,70685,72339,143033
CED216,2123,987,1054,2041,935,1051,1989,901,1022,1923,893,979,1869,4743,5199,9944,886,852,1733,856,916,1772,795,870,1665,797,813,1609,740,869,1611,4077,4322,8394,760,851,1605,702,790,1492,707,769,1477,697,809,1502,848,831,1676,3703,4057,7759,653,740,1393,587,661,1249,547,654,1198,468,540,1008,452,555,1004,2711,3143,5859,424,487,912,407,473,884,333,470,809,381,474,855,362,447,813,1916,2347,4263,1367,1949,3316,1128,1839,2965,503,1173,1684,98,313,412,4,55,56,70625,76996,147627
CED217,2047,939,1076,2016,1018,1019,2036,913,1026,1936,912,958,1873,4793,5112,9908,920,1002,1926,861,945,1807,839,972,1806,871,905,1776,812,883,1699,4307,4716,9024,789,865,1657,757,782,1535,736,753,1496,717,645,1360,656,691,1344,3658,3740,7390,580,548,1127,493,466,956,452,455,908,403,366,765,342,346,690,2270,2182,4448,323,317,638,311,310,619,255,243,497,249,249,501,194,243,440,1325,1368,2690,706,930,1637,329,558,887,109,241,345,21,63,89,4,9,12,96210,98479,194692
CED218,1749,797,876,1674,767,862,1633,796,877,1674,709,728,1439,3906,4261,8168,722,842,1562,634,752,1384,642,723,1367,632,787,1414,686,726,1419,3317,3832,7151,623,716,1338,604,742,1349,622,641,1264,590,717,1307,641,737,1382,3081,3554,6633,560,638,1198,486,566,1055,457,559,1009,411,484,890,432,513,940,2339,2756,5098,410,497,913,372,455,827,374,438,817,399,489,883,323,452,774,1881,2328,4211,1267,1739,3004,857,1303,2158,364,735,1096,88,198,285,5,29,40,73754,80188,153942
CED219,2389,1077,1125,2201,1082,1119,2199,1024,1102,2121,971,1028,1995,5329,5578,10903,988,956,1941,821,924,1742,878,920,1794,830,834,1669,812,798,1611,4328,4431,8762,748,766,1518,692,763,1461,626,715,1339,671,708,1379,630,680,1314,3374,3637,7015,550,534,1085,473,506,986,471,516,984,422,402,822,414,413,823,2324,2364,4695,319,399,715,352,382,737,302,366,668,293,318,616,274,295,572,1541,1763,3306,990,1304,2293,513,853,1371,184,381,569,51,104,156,3,17,20,99928,99939,199864
CED220,1845,938,972,1907,828,876,1705,891,888,1775,810,854,1662,4366,4527,8890,845,896,1741,805,856,1666,702,775,1479,689,734,1427,669,767,1437,3715,4024,7740,652,805,1460,636,673,1308,623,743,1371,642,768,1411,681,785,1470,3233,3780,7009,541,600,1145,543,654,1200,528,585,1108,447,548,997,501,530,1029,2556,2918,5475,431,517,947,497,515,1013,396,493,888,363,510,876,389,432,821,2081,2464,4543,1596,2155,3748,1081,1617,2698,442,735,1172,71,181,251,9,21,31,74463,76814,151282
CED221,2173,1099,1099,2197,1002,1110,2112,1025,1093,2116,992,1071,2066,5157,5510,10667,1045,1061,2100,1058,1108,2164,1034,1036,2071,1036,1051,2083,950,921,1870,5114,5178,10293,985,1007,1990,1022,970,1989,957,968,1926,958,931,1897,983,1019,1999,4907,4900,9805,926,782,1702,755,780,1530,705,710,1413,669,656,1322,637,688,1325,3692,3608,7296,570,588,1160,516,550,1060,502,563,1068,453,425,875,415,477,891,2453,2612,5064,1570,1869,3443,966,1402,2371,372,699,1069,63,216,277,10,24,33,69002,71186,140183
CED222,1919,957,1023,1981,955,942,1893,939,894,1835,817,925,1739,4632,4732,9367,912,896,1803,829,840,1673,777,889,1663,734,822,1562,721,862,1581,3969,4314,8283,700,779,1479,708,714,1429,651,764,1408,658,772,1431,672,821,1485,3386,3844,7230,628,624,1256,533,619,1157,519,614,1127,442,537,982,433,498,935,2563,2896,5460,388,496,882,403,470,873,358,455,814,348,403,748,322,397,726,1824,2224,4039,1244,1742,2983,842,1354,2200,330,652,984,72,180,248,0,25,25,77790,80861,158654
CED223,1986,859,982,1836,930,968,1901,905,998,1899,862,972,1833,4545,4915,9461,847,956,1804,837,879,1712,748,905,1653,783,880,1663,732,819,1549,3951,4436,8389,753,836,1596,673,832,1500,739,738,1474,677,730,1401,718,799,1513,3554,3932,7484,615,628,1243,570,617,1187,530,603,1126,467,538,1008,514,497,1008,2688,2882,5571,403,504,903,392,468,859,349,421,767,352,417,765,319,366,688,1809,2184,3992,1228,1678,2907,822,1271,2090,352,689,1034,51,163,221,7,11,21,68661,72644,141301
CED224,1938,851,948,1801,805,917,1720,810,856,1666,808,865,1671,4174,4628,8798,805,884,1692,699,801,1498,730,800,1531,675,766,1436,676,730,1402,3579,3979,7564,663,729,1397,661,796,1457,613,727,1338,613,711,1325,673,748,1420,3224,3711,6937,604,706,1313,493,581,1079,525,584,1104,411,512,918,411,498,913,2438,2888,5325,385,476,857,405,419,826,348,475,816,320,451,771,299,384,686,1759,2204,3958,1358,1863,3218,960,1561,2525,443,985,1430,86,293,376,7,42,45,69428,75971,145399
CED225,2097,991,1046,2040,1015,942,1955,962,1025,1986,897,878,1775,4900,4954,9853,925,850,1776,779,911,1693,778,829,1603,795,774,1565,723,806,1528,3999,4171,8169,716,730,1449,654,722,1370,666,622,1290,678,677,1355,629,692,1319,3341,3448,6789,505,538,1040,473,534,1009,458,493,951,389,438,827,390,403,794,2209,2409,4620,357,400,754,354,311,664,334,347,676,288,297,585,269,288,562,1604,1642,3238,917,1131,2050,557,787,1349,204,353,564,46,114,158,4,17,17,77806,79156,156965
CED226,2321,1119,1184,2301,1022,1103,2128,991,1114,2103,933,1006,1934,5177,5602,10779,992,985,1982,892,961,1859,897,852,1745,852,871,1726,729,796,1529,4366,4468,8836,768,807,1569,662,747,1410,703,712,1416,651,680,1335,645,697,1351,3433,3650,7080,535,534,1071,467,478,948,457,463,925,387,432,817,347,375,725,2200,2286,4484,349,354,696,276,331,610,279,331,615,279,264,543,263,284,548,1440,1564,3008,798,1090,1890,397,668,1066,144,292,432,21,74,94,3,8,11,116323,115662,231979
CED227,2090,1010,1008,2018,1038,983,2023,979,1037,2015,1041,983,2017,5078,5082,10159,917,986,1903,977,975,1954,930,909,1841,1024,956,1976,983,849,1832,4834,4679,9512,954,886,1837,954,920,1875,854,854,1712,848,874,1722,934,872,1809,4540,4408,8954,720,710,1430,722,706,1430,658,669,1333,590,626,1216,676,719,1391,3373,3426,6796,599,649,1249,553,602,1151,500,587,1093,513,549,1063,441,535,978,2606,2924,5532,1761,2249,4007,1130,1675,2810,414,871,1291,97,213,310,13,41,57,68643,69947,138592
CED228,2043,961,1016,1974,915,1053,1970,901,1040,1940,829,940,1767,4618,5073,9692,919,970,1887,825,908,1734,806,955,1768,818,838,1653,746,854,1603,4123,4519,8647,755,836,1584,720,800,1517,707,774,1481,670,783,1452,769,777,1546,3624,3971,7594,647,695,1344,579,612,1183,548,611,1159,471,605,1074,494,591,1082,2738,3112,5850,443,563,1010,483,582,1065,433,541,973,410,547,956,421,488,909,2192,2722,4914,1669,2191,3855,1021,1489,2502,369,738,1106,61,158,221,0,13,15,81884,84532,166417
CED229,2568,1142,1200,2343,1153,1156,2302,1049,1169,2218,1071,1083,2153,5695,5892,11589,1062,1159,2220,943,1066,2012,942,969,1918,957,1008,1969,894,895,1793,4803,5108,9908,887,929,1812,824,910,1736,839,838,1679,824,809,1634,872,900,1776,4252,4382,8634,691,654,1340,575,625,1197,577,640,1217,491,508,998,478,526,1009,2806,2951,5760,440,396,832,401,394,798,366,378,745,287,325,615,280,303,579,1780,1792,3564,1041,1298,2340,585,851,1442,202,355,560,36,99,134,9,16,25,104184,106345,210531
CED230,2216,1031,1104,2135,1084,1172,2257,1012,1117,2130,1004,1096,2102,5196,5641,10841,1030,1124,2156,965,1012,1980,999,1071,2075,991,1092,2086,996,1078,2079,4993,5384,10371,994,1061,2056,1003,1119,2119,932,1018,1946,943,1075,2022,1012,1098,2108,4884,5369,10253,900,869,1770,779,906,1687,774,813,1584,698,724,1424,721,736,1455,3869,4055,7924,633,646,1279,544,635,1177,617,596,1211,492,531,1017,438,468,908,2719,2872,5597,1730,2095,3827,987,1500,2485,351,715,1068,60,205,271,6,31,36,81396,85928,167328
CED231,1693,763,798,1558,803,783,1579,702,757,1462,743,828,1569,3847,4012,7862,729,765,1495,679,729,1409,609,707,1316,608,662,1273,567,623,1187,3193,3490,6686,629,648,1279,536,626,1161,491,525,1016,512,570,1089,564,567,1128,2737,2937,5677,425,438,865,406,461,871,382,370,756,350,354,700,293,357,653,1862,1985,3842,264,345,603,270,316,584,266,300,560,252,264,513,192,280,474,1232,1507,2742,857,1206,2065,562,819,1380,230,423,652,45,125,176,8,21,29,101128,107465,208593
CED232,1892,892,877,1770,819,814,1632,825,823,1645,728,861,1593,4198,4341,8540,763,799,1558,754,772,1525,689,702,1391,687,723,1409,687,692,1381,3582,3688,7267,680,680,1362,655,713,1370,659,629,1289,635,686,1323,717,708,1419,3343,3422,6764,567,513,1078,476,523,1007,461,440,904,344,327,676,384,383,769,2233,2196,4427,341,318,661,302,354,661,294,338,628,269,339,609,266,309,581,1472,1663,3137,954,1213,2165,694,1003,1695,348,609,957,100,190,292,5,28,35,78431,82272,160699
CED233,1984,930,1004,1931,884,958,1837,866,957,1819,846,943,1792,4472,4895,9363,853,937,1785,749,869,1623,754,824,1576,686,837,1520,737,794,1537,3777,4266,8039,712,765,1483,655,796,1453,638,795,1427,697,818,1521,716,864,1587,3425,4037,7458,647,746,1392,583,738,1317,601,746,1350,594,654,1251,592,616,1213,3019,3504,6521,589,647,1234,565,607,1175,548,556,1106,484,558,1038,456,550,1000,2643,2909,5552,1836,2097,3939,1071,1446,2523,375,751,1122,92,220,318,8,53,58,66759,70776,137535
CED234,2153,1079,1050,2125,1022,1004,2023,1018,964,1973,1014,969,1979,5168,5096,10262,1038,1023,2061,932,1030,1964,941,1026,1965,979,1003,1986,1017,1010,2031,4912,5094,10006,994,983,1971,972,993,1965,931,888,1821,966,911,1879,946,963,1910,4802,4746,9548,855,832,1683,818,736,1558,766,757,1523,682,666,1352,669,740,1405,3793,3730,7520,675,604,1282,610,648,1254,594,536,1130,514,609,1126,512,519,1032,2910,2911,5822,1879,2271,4150,1097,1557,2652,444,779,1219,66,196,262,12,34,40,72140,73227,145366
CED235,2242,1033,1008,2042,902,1083,1983,888,1010,1896,911,981,1888,4819,5245,10059,882,1015,1898,860,894,1745,771,897,1664,798,849,1654,778,843,1624,4092,4496,8587,738,816,1554,739,793,1528,701,777,1477,767,782,1551,750,720,1473,3704,3890,7588,563,660,1222,559,566,1122,547,533,1078,508,506,1011,443,504,947,2615,2768,5380,432,438,869,417,447,863,365,460,826,343,447,789,348,384,730,1902,2174,4078,1366,1651,3016,697,947,1640,229,406,633,40,94,135,7,17,23,83288,84680,167966
CED236,2019,969,1017,1982,1015,1044,2055,991,1003,1994,975,987,1966,4929,5091,10019,1008,1004,2013,1014,1021,2038,1011,925,1938,977,970,1949,993,962,1953,5006,4892,9895,957,987,1943,985,960,1942,908,872,1774,901,829,1727,1003,930,1931,4754,4571,9319,826,773,1599,782,694,1474,658,783,1443,637,655,1300,636,654,1287,3535,3570,7100,583,573,1159,524,597,1119,532,522,1055,449,553,1002,443,487,923,2525,2734,5260,1682,2046,3735,984,1545,2528,350,752,1104,77,190,262,10,21,34,66534,67237,133772
CED237,1749,774,866,1642,770,823,1589,757,815,1575,721,799,1518,3809,4267,8078,725,765,1493,639,704,1342,568,700,1264,590,639,1228,575,626,1202,3101,3431,6534,585,636,1220,534,572,1110,521,588,1112,502,635,1140,445,601,1048,2590,3032,5617,468,499,976,401,522,920,409,534,939,369,436,804,381,466,844,2022,2457,4483,415,490,905,412,587,999,368,552,924,403,541,950,364,553,921,1973,2728,4699,1709,2417,4127,1170,1755,2924,466,766,1223,69,169,241,9,25,40,82916,86728,169649
CED294,86,46,36,81,64,39,101,38,32,73,43,37,84,237,188,425,47,56,105,43,24,61,45,31,76,45,20,63,52,34,87,219,169,390,37,25,65,40,31,68,32,31,68,36,34,66,34,24,50,170,141,311,24,25,51,22,10,35,26,14,40,17,8,23,19,8,31,112,62,174,15,8,15,7,4,16,7,11,15,15,8,24,8,7,9,48,32,78,32,16,45,5,24,26,3,3,8,0,3,3,0,0,0,4331,3238,7565
CED297,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4,29
