CED_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
CED211,26232,16306,19346,20805,18754,15217,12436,7993,4126,141216,15,13,16,8,13,15,5,8,13,107,3,9,18,9,20,26,22,4,3,120,343,446,557,372,301,281,250,185,135,2873,7,9,9,8,21,22,7,3,0,85,6,3,7,4,10,6,13,8,0,48,4,6,0,3,0,7,6,0,0,30,0,0,5,3,0,7,7,0,0,29,0,0,0,0,3,3,3,0,0,12,0,3,6,0,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,363,471,604,401,357,354,315,206,141,3209,375,483,622,413,374,369,319,212,155,3314,26604,16789,19969,21215,19123,15580,12758,8210,4277,144534
CED212,25763,16273,16439,18396,19680,17248,14011,8060,3468,139334,21,17,13,21,19,19,13,13,6,147,7,12,18,17,20,40,29,4,3,143,472,638,692,465,414,428,406,318,235,4069,3,5,13,23,16,24,23,3,0,109,0,4,7,7,7,7,9,0,0,46,5,6,10,4,13,8,8,0,4,59,3,9,4,5,10,6,8,4,0,40,6,3,0,3,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,502,680,747,521,478,516,475,332,245,4489,521,696,762,537,496,536,495,347,250,4633,26287,16971,17198,18934,20177,17779,14505,8402,3715,143967
CED213,25919,15154,13716,16821,19931,19777,17834,9764,4217,143134,17,30,17,21,26,31,31,18,10,206,11,44,67,35,29,30,63,14,0,292,620,739,724,551,582,768,775,341,149,5249,16,53,49,30,46,46,46,11,3,295,10,9,3,10,8,12,18,3,0,84,4,25,18,10,13,14,9,7,0,102,4,8,6,5,11,8,14,5,3,68,0,4,11,0,3,3,0,0,0,20,0,10,15,0,0,3,3,0,3,38,0,0,0,0,0,0,0,0,0,3,675,893,887,637,700,882,929,383,157,6141,691,921,910,662,725,917,963,396,171,6347,26614,16069,14626,17483,20653,20694,18798,10163,4390,149482
CED214,28128,18625,29176,25551,20827,16194,10786,7089,3372,159744,21,36,29,18,35,18,19,11,12,197,12,24,36,35,38,37,37,7,3,239,433,568,715,560,401,429,352,230,156,3850,7,13,25,18,37,28,40,9,0,175,7,6,20,20,17,22,14,3,0,110,4,3,18,15,6,14,9,0,0,74,0,7,7,0,5,15,10,0,0,41,0,3,0,4,3,3,0,0,0,16,0,5,4,0,3,8,10,0,0,29,0,0,0,0,0,0,0,0,0,0,467,624,825,653,520,561,469,256,162,4535,491,658,847,672,549,577,492,271,176,4732,28620,19278,30026,26226,21376,16770,11277,7360,3545,164479
CED215,24343,14464,14633,14734,17634,19443,15898,8494,3407,133043,31,33,16,16,32,32,27,24,7,211,7,23,65,27,47,70,50,20,4,313,534,924,855,609,632,819,615,352,173,5518,14,26,75,22,36,46,19,3,0,237,3,6,10,8,9,25,14,4,0,83,7,15,25,12,17,22,19,3,0,118,7,5,0,6,15,18,26,6,0,74,0,0,5,3,0,3,3,0,0,16,0,3,11,8,7,0,6,3,0,36,0,0,0,0,0,0,0,0,0,0,576,1010,1043,693,758,996,754,389,185,6400,602,1041,1056,707,791,1027,783,408,192,6609,24948,15502,15689,15444,18429,20469,16680,8905,3596,139658
CED216,27087,16716,14301,18716,22393,17417,12648,6960,4778,141014,5,12,7,4,15,7,10,19,12,92,16,14,29,29,24,40,37,11,8,194,304,407,489,304,297,362,272,206,176,2829,12,13,22,11,18,18,17,8,3,124,0,10,5,3,8,13,11,3,0,65,4,5,9,8,10,11,17,3,3,65,0,3,3,0,12,4,3,7,0,29,0,0,4,0,3,3,0,0,0,16,0,0,3,0,0,9,3,0,0,24,0,0,0,0,0,0,0,0,0,0,338,457,559,361,372,453,355,250,192,3338,344,472,563,367,384,458,365,266,211,3429,27433,17179,14864,19081,22782,17878,13017,7229,4982,144443
CED217,45291,24746,29411,30983,23750,18354,11291,4103,1262,189184,24,48,23,28,19,16,6,8,7,181,7,15,23,29,22,16,4,3,0,124,620,588,775,539,352,343,248,148,58,3677,7,11,20,16,19,21,7,3,0,106,4,7,5,5,3,10,7,5,0,48,3,7,14,12,10,11,4,0,0,54,7,5,10,3,0,7,0,0,0,32,0,0,4,0,3,0,0,0,0,11,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,646,632,849,599,422,403,268,165,66,4055,671,684,871,626,439,422,276,168,68,4237,45961,25424,30285,31611,24197,18778,11569,4271,1325,193426
CED218,21308,20183,31235,20424,18203,14515,10962,6625,3319,146774,3,15,14,10,3,16,8,4,5,86,18,40,129,96,104,83,53,10,3,543,328,596,917,519,425,443,391,288,187,4092,7,25,50,31,38,42,20,3,0,213,8,12,39,16,22,29,15,9,0,145,3,9,35,19,28,30,27,3,0,150,0,6,8,4,8,12,13,3,0,56,4,7,4,0,4,8,0,0,0,25,0,5,13,4,3,11,3,3,0,39,0,0,0,0,0,0,0,0,0,0,360,700,1186,692,633,653,531,317,190,5265,367,710,1204,702,638,668,540,322,198,5350,21672,20899,32436,21125,18842,15184,11503,6947,3517,152127
CED219,45033,26654,31571,29298,24297,19009,11064,5261,2006,194195,28,29,38,26,15,23,12,14,6,196,10,17,21,24,31,36,16,5,0,151,536,662,738,443,342,286,221,136,80,3442,20,16,17,22,33,27,10,10,0,145,12,14,4,12,15,13,7,0,0,68,3,5,10,8,5,6,3,3,0,44,0,0,3,3,3,4,8,0,0,26,0,0,4,4,0,0,0,0,0,12,0,0,14,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,581,714,809,507,417,373,265,160,80,3909,608,747,848,534,435,394,278,174,84,4100,45646,27402,32419,29833,24733,19402,11342,5436,2089,198298
CED220,26442,18640,21110,20747,19634,16040,11905,7867,3907,146299,30,13,19,27,25,14,22,17,3,164,7,11,27,14,23,26,12,4,3,131,336,416,553,408,371,279,269,214,161,3011,5,11,12,17,18,21,8,5,4,106,3,3,9,3,0,5,3,0,0,33,0,8,13,9,3,3,9,3,0,56,0,3,8,7,3,16,0,3,0,39,0,0,0,0,0,0,0,0,0,3,3,0,3,0,3,8,5,0,0,15,0,0,0,0,0,0,0,0,0,0,354,450,624,459,428,357,316,233,174,3392,390,466,640,482,452,371,332,246,181,3564,26827,19108,21754,21226,20084,16416,12243,8116,4088,149854
CED221,24429,13912,12987,15198,18192,19169,15062,7742,3492,130173,21,35,22,21,17,31,30,25,12,218,295,335,290,258,271,259,138,47,28,1916,1893,1689,1453,1472,1367,1206,931,282,164,10460,283,234,246,232,197,139,70,8,0,1419,132,203,188,143,111,107,62,17,0,963,37,85,80,53,69,62,18,3,0,409,33,14,44,21,33,34,30,10,0,218,28,35,33,9,5,4,4,0,0,115,8,22,30,16,19,11,3,0,0,108,0,0,0,0,0,0,0,0,0,0,2705,2623,2366,2199,2068,1824,1252,376,197,15605,2727,2660,2387,2218,2085,1855,1282,397,210,15826,27157,16570,15372,17419,20282,21021,16341,8143,3700,146003
CED222,29718,18494,21273,23110,21585,16885,11885,6528,3227,152706,22,12,16,31,16,16,17,11,8,149,10,16,18,16,26,23,20,3,4,138,409,492,620,378,345,267,235,147,101,2995,6,13,13,7,12,26,25,3,3,111,3,6,3,3,4,9,8,0,0,33,7,6,5,6,9,5,5,3,0,51,0,4,5,8,0,4,6,3,0,30,0,3,3,0,0,0,0,0,0,7,8,3,3,5,3,3,0,0,0,30,0,0,0,0,0,0,0,0,0,0,441,545,671,430,400,336,299,159,108,3383,463,559,687,456,410,353,310,175,113,3534,30181,19052,21961,23567,21995,17243,12196,6703,3348,156234
CED223,25591,16334,16587,19178,19025,17008,12115,6417,3168,135430,11,16,8,10,13,12,11,14,8,103,0,10,39,8,18,31,24,7,3,138,360,496,568,376,391,406,341,337,211,3491,10,28,38,16,22,19,26,9,4,175,3,4,8,5,9,4,13,0,0,44,7,4,8,7,5,13,8,0,0,52,0,0,3,4,14,6,13,9,0,46,3,6,12,0,7,3,0,0,0,29,0,4,4,0,3,4,0,5,0,18,0,0,0,0,0,0,0,0,0,0,389,554,671,418,469,491,417,366,217,3988,400,572,681,426,487,505,425,378,226,4095,25989,16907,17263,19605,19510,17516,12539,6798,3394,139519
CED224,23612,21529,19340,16993,19792,15589,11393,6712,4097,139050,7,17,4,12,15,10,8,6,10,88,11,33,51,40,38,33,29,17,0,250,333,554,611,335,294,331,271,224,125,3079,6,26,35,29,38,26,26,0,5,188,3,11,10,9,14,16,13,3,0,78,0,12,14,15,15,6,15,7,0,90,3,5,7,3,4,14,9,0,0,49,5,7,0,0,0,0,3,0,0,14,0,10,6,4,3,5,5,3,0,34,0,3,0,0,0,0,0,0,0,3,365,665,726,430,410,443,362,256,132,3789,375,674,733,443,419,448,367,266,149,3875,23985,22210,20067,17437,20211,16038,11761,6977,4245,142928
CED225,32656,20622,17612,22682,23043,17158,10500,4955,1971,151202,20,18,16,5,18,13,7,5,10,105,14,10,12,17,11,23,21,3,3,105,394,598,578,353,276,279,227,174,127,3003,3,3,11,3,19,18,10,4,0,79,3,0,3,4,5,6,7,0,0,34,3,5,5,4,6,15,3,3,0,45,3,3,3,0,0,8,4,0,0,20,0,3,0,0,0,0,0,0,0,9,3,0,3,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,417,621,617,386,319,345,265,186,133,3300,435,641,631,396,334,358,275,197,137,3408,33094,21267,18243,23073,23383,17513,10778,5145,2107,154607
CED226,55643,27097,42465,37784,26528,18846,10890,4596,1511,225359,44,42,19,28,19,17,14,9,0,194,33,15,48,35,29,38,25,5,0,223,674,663,915,542,432,349,254,180,80,4081,7,19,33,16,26,32,25,0,0,158,6,14,11,17,7,7,11,0,0,79,13,3,10,16,9,4,0,3,0,63,3,6,13,4,10,13,13,0,0,59,5,3,3,4,0,4,0,0,0,19,0,3,3,9,8,5,0,0,0,30,0,0,0,0,0,0,0,0,0,0,736,736,1049,639,520,441,328,188,84,4715,776,774,1063,671,541,466,338,197,85,4912,56421,27871,43530,38453,27063,19304,11229,4788,1597,230271
CED227,24133,14553,14105,14114,17476,18257,14206,8830,4251,129933,41,34,28,27,21,27,28,23,6,232,30,88,73,54,97,112,76,27,15,561,476,850,805,509,574,694,556,286,151,4896,14,17,39,11,29,51,53,8,0,225,35,69,88,81,118,165,151,60,9,776,6,3,10,11,8,35,14,6,0,97,3,9,4,11,12,18,27,9,0,89,0,5,3,0,4,5,4,0,0,27,0,0,4,0,5,9,5,0,0,22,0,0,0,0,0,0,0,0,0,0,571,1036,1021,674,848,1081,889,395,172,6695,616,1071,1048,701,869,1112,916,418,181,6926,24751,15627,15156,14813,18343,19370,15127,9248,4432,136855
CED228,27221,21766,26567,21745,20958,17590,12799,8271,3623,160532,20,34,32,26,26,10,17,13,11,193,13,13,33,28,27,23,19,3,0,164,494,614,903,543,478,378,300,271,151,4134,16,24,30,23,49,23,25,6,0,198,22,11,21,17,13,15,6,6,3,106,6,19,22,25,7,13,16,3,0,104,0,3,3,6,8,16,15,4,3,57,0,0,5,0,3,0,0,0,0,9,0,3,4,0,7,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,546,687,1012,644,584,469,381,291,161,4781,567,727,1049,669,614,477,399,307,169,4978,27786,22486,27608,22414,21574,18074,13199,8574,3793,165507
