CED_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
CED211,..,86,3676,6798,5854,4760,4092,2390,653,28298,..,273,1498,900,664,393,166,42,3,3941,..,4,32,159,341,269,118,75,55,1053,13121,..,..,..,..,..,..,..,..,13121,..,4238,..,..,..,..,..,..,..,4238,..,2101,1607,595,413,162,28,4,0,4908,..,458,383,115,107,152,92,71,25,1397,..,299,308,92,71,50,19,3,0,843,..,584,833,312,223,190,119,55,11,2325,..,152,679,833,1004,955,746,517,349,5235,138,182,246,140,126,84,67,54,22,1051,13259,8383,9252,9938,8804,7012,5444,3211,1112,66419,..,183,4887,7037,5883,4617,3784,1835,309,28535,..,431,1522,865,677,311,121,17,0,3941,..,71,389,1028,1494,828,402,305,218,4737,12456,..,..,..,..,..,..,..,..,12456,..,4261,..,..,..,..,..,..,..,4261,..,1617,1187,305,243,118,27,0,0,3501,..,354,261,97,133,297,285,204,130,1762,..,255,211,64,43,35,20,0,3,637
CED212,..,59,2252,4859,5293,4913,4305,2325,591,24601,..,382,1877,1285,1023,612,305,80,14,5577,..,15,67,231,497,309,125,72,49,1356,12697,..,..,..,..,..,..,..,..,12697,..,3421,..,..,..,..,..,..,..,3421,..,2869,1645,604,408,173,22,0,0,5732,..,309,264,115,109,142,104,81,42,1160,..,248,218,104,94,69,28,7,0,765,..,251,498,258,277,252,176,77,17,1806,..,141,727,908,1260,1275,1046,643,360,6365,195,274,268,184,149,122,106,61,10,1380,12893,7964,7812,8556,9118,7866,6214,3352,1090,64859,..,133,3076,5293,5474,4890,4009,1720,280,24867,..,617,1979,1280,988,554,221,55,8,5700,..,189,767,1459,1828,893,379,300,200,6019,11880,..,..,..,..,..,..,..,..,11880,..,3559,..,..,..,..,..,..,..,3559,..,2087,1016,267,178,132,39,0,0,3715,..,315,168,58,113,236,263,192,118,1465,..,222,139,50,50,31,9,3,3,499
CED213,..,69,2088,4498,5435,5844,5812,3078,814,27641,..,384,1553,1286,1221,839,451,119,25,5877,..,7,40,212,413,267,113,82,52,1188,12722,..,..,..,..,..,..,..,..,12722,..,3087,..,..,..,..,..,..,..,3087,..,2963,1344,547,355,153,13,0,0,5385,..,221,156,89,113,112,100,82,46,919,..,176,158,88,109,77,31,8,8,647,..,147,214,155,220,285,179,81,19,1300,..,173,494,735,1202,1406,1380,912,443,6745,242,300,292,210,215,248,237,105,30,1874,12962,7539,6344,7806,9285,9230,8322,4461,1430,67384,..,142,2884,4905,5802,6032,5471,2256,395,27888,..,623,1688,1335,1243,796,338,80,5,6115,..,176,696,1323,1511,680,323,243,160,5105,12123,..,..,..,..,..,..,..,..,12123,..,3237,..,..,..,..,..,..,..,3237,..,1824,886,238,173,109,22,3,0,3256,..,181,113,44,100,201,232,205,152,1219,..,203,103,48,50,38,12,9,6,472
CED214,..,144,4351,6916,5342,4313,3155,1917,567,26709,..,308,2529,1883,1256,616,190,34,3,6816,..,16,55,182,335,318,138,96,66,1192,13672,..,..,..,..,..,..,..,..,13672,..,3726,..,..,..,..,..,..,..,3726,..,2169,1981,804,584,250,46,0,0,5835,..,699,754,266,205,220,151,74,44,2419,..,449,695,178,151,104,28,3,0,1611,..,1500,2602,736,481,308,146,54,17,5840,..,329,1128,1220,1365,1365,945,597,298,7245,176,249,410,232,227,143,105,55,26,1621,13850,9589,14503,12400,9947,7643,4902,2839,1021,76688,..,468,5687,6936,5261,4113,2833,1420,246,26968,..,521,2636,1852,1152,485,130,19,6,6794,..,97,566,1307,1593,959,462,481,240,5715,13184,..,..,..,..,..,..,..,..,13184,..,3709,..,..,..,..,..,..,..,3709,..,1493,1386,428,321,183,29,0,0,3836,..,548,521,148,184,368,290,240,150,2461,..,355,391,94,64,42,14,8,0,956
CED215,..,91,2241,3546,4424,5576,5153,2528,553,24112,..,593,1529,1032,956,727,389,84,16,5324,..,16,86,228,334,225,86,42,42,1059,11768,..,..,..,..,..,..,..,..,11768,..,2594,..,..,..,..,..,..,..,2594,..,2410,938,449,299,128,20,0,0,4248,..,279,148,65,112,108,73,42,47,870,..,162,157,75,66,44,20,8,0,527,..,396,391,156,204,226,187,64,10,1641,..,312,823,892,1325,1757,1586,860,334,7894,222,320,298,212,211,234,249,99,30,1876,11993,7171,6605,6654,7932,9034,7762,3722,1030,61905,..,167,2950,4020,4998,5823,4600,1759,243,24560,..,906,1583,1047,967,692,272,62,3,5536,..,248,921,1302,1281,553,255,204,136,4898,11156,..,..,..,..,..,..,..,..,11156,..,2691,..,..,..,..,..,..,..,2691,..,1441,537,181,140,79,18,0,0,2402,..,210,99,34,99,149,162,137,72,968,..,171,81,26,35,13,11,3,4,342
CED216,..,28,2109,5937,7498,5804,4222,1999,748,28343,..,168,1228,964,922,584,288,63,16,4237,..,11,17,88,309,263,93,53,58,891,13242,..,..,..,..,..,..,..,..,13242,..,5306,..,..,..,..,..,..,..,5306,..,1755,1393,372,271,161,29,0,0,3990,..,321,210,54,55,74,70,52,36,868,..,171,194,56,38,34,21,6,0,517,..,446,787,219,183,173,104,49,21,1979,..,158,577,610,843,916,855,542,391,4893,136,157,183,120,114,90,64,43,21,940,13377,8521,6700,8429,10236,8096,5758,2805,1293,65213,..,92,2953,6757,7942,5539,3745,1469,376,28878,..,259,1327,1020,896,513,189,33,12,4255,..,28,172,798,1399,784,296,209,234,3916,12971,..,..,..,..,..,..,..,..,12971,..,4999,..,..,..,..,..,..,..,4999,..,1296,1162,234,167,128,29,0,0,3017,..,271,172,56,70,173,182,210,164,1291,..,219,161,26,22,21,6,7,5,462
CED217,..,194,5455,9913,7641,6052,4109,1305,194,34859,..,407,1895,1331,853,455,154,19,11,5115,..,29,110,324,447,322,158,82,17,1486,22009,..,..,..,..,..,..,..,..,22009,..,5675,..,..,..,..,..,..,..,5675,..,4159,3155,961,370,98,14,0,0,8763,..,774,722,265,261,257,152,85,44,2552,..,308,433,213,187,115,44,9,7,1324,..,267,542,271,267,220,123,32,5,1734,..,166,806,1049,987,872,622,265,87,4852,265,286,372,258,187,105,104,41,9,1629,22268,12268,13483,14577,11193,8498,5476,1841,381,89990,..,488,7648,9999,7289,5734,3154,736,100,35154,..,583,2007,1316,777,349,102,23,0,5168,..,272,1293,2269,2087,1090,454,214,96,7781,21323,..,..,..,..,..,..,..,..,21323,..,5926,..,..,..,..,..,..,..,5926,..,2964,2033,476,217,75,12,5,0,5778,..,663,435,171,286,582,476,352,162,3122,..,302,266,87,74,47,21,9,4,798
CED218,..,71,3589,5493,5375,4299,3299,1880,555,24559,..,578,3595,1397,850,498,231,64,6,7222,..,3,18,82,223,189,84,52,34,690,10381,..,..,..,..,..,..,..,..,10381,..,3886,..,..,..,..,..,..,..,3886,..,1126,1089,382,267,113,17,0,0,2991,..,515,471,87,54,81,62,42,30,1341,..,328,476,83,50,22,10,6,0,972,..,1900,2809,525,250,154,129,56,19,5841,..,548,1908,1409,1241,1129,931,529,317,8009,113,215,428,172,111,85,78,58,20,1285,10495,9164,14383,9632,8429,6577,4842,2686,982,67179,..,189,4551,5762,5605,4132,3064,1361,239,24905,..,839,3435,1014,663,366,155,29,6,6502,..,30,161,630,1144,725,275,252,165,3387,10097,..,..,..,..,..,..,..,..,10097,..,3905,..,..,..,..,..,..,..,3905,..,923,960,188,174,103,19,0,0,2371,..,558,509,105,103,192,150,173,113,1902,..,354,367,54,22,17,8,5,3,832
CED219,..,263,6522,10052,8071,6489,3875,1575,307,37150,..,482,1926,1201,881,468,139,41,8,5146,..,23,102,273,501,369,146,66,30,1514,22163,..,..,..,..,..,..,..,..,22163,..,6019,..,..,..,..,..,..,..,6019,..,4562,3101,853,373,134,16,0,0,9044,..,994,802,299,231,268,182,118,56,2942,..,434,536,304,176,103,32,7,6,1610,..,432,788,414,293,261,137,40,7,2371,..,151,736,855,984,849,607,320,139,4647,287,295,406,242,173,111,90,55,12,1670,22451,13669,14927,14486,11683,9044,5231,2219,566,94269,..,771,9094,9752,7656,5851,3019,1051,136,37315,..,731,2025,1132,813,385,117,15,8,5228,..,283,1181,1797,2023,1060,441,250,140,7173,21116,..,..,..,..,..,..,..,..,21116,..,6160,..,..,..,..,..,..,..,6160,..,3083,2019,367,208,102,23,0,0,5797,..,594,418,162,286,601,576,405,199,3242,..,310,259,75,75,57,24,20,7,821
CED220,..,118,3810,6430,6131,5031,3919,2436,744,28620,..,228,1220,878,678,399,150,45,8,3608,..,4,39,175,328,320,118,89,81,1159,13275,..,..,..,..,..,..,..,..,13275,..,4297,..,..,..,..,..,..,..,4297,..,2427,2190,867,575,220,30,0,0,6315,..,697,619,191,204,216,140,78,53,2199,..,508,571,185,164,115,31,16,0,1586,..,1006,1124,355,242,252,136,49,17,3199,..,169,586,684,828,922,713,536,356,4808,140,177,235,174,136,108,93,62,37,1162,13418,9635,10405,9948,9286,7593,5340,3310,1297,70227,..,371,4995,6913,6103,4735,3612,1767,341,28837,..,347,1297,833,671,325,115,22,8,3616,..,54,421,1158,1626,1004,464,384,281,5383,12423,..,..,..,..,..,..,..,..,12423,..,4359,..,..,..,..,..,..,..,4359,..,1598,1643,472,364,179,44,3,0,4308,..,568,382,131,237,410,399,321,213,2668,..,401,361,91,80,42,22,5,3,1008
CED221,..,84,1989,3951,4940,5621,4839,2330,577,24340,..,548,1424,1083,1036,754,375,98,13,5322,..,25,77,228,375,213,92,48,28,1075,11798,..,..,..,..,..,..,..,..,11798,..,2615,..,..,..,..,..,..,..,2615,..,2180,846,386,249,138,27,3,0,3830,..,236,118,57,73,134,107,68,27,818,..,189,122,71,67,36,21,8,3,515,..,369,369,144,210,256,154,57,12,1572,..,250,694,763,1302,1648,1455,700,343,7158,220,348,299,190,211,238,211,97,28,1848,12013,6839,5937,6869,8475,9033,7278,3413,1031,60879,..,175,2705,4446,5286,5777,4372,1658,263,24681,..,771,1516,1115,1015,684,282,47,14,5440,..,189,758,1202,1241,495,237,211,144,4481,11295,..,..,..,..,..,..,..,..,11295,..,2679,..,..,..,..,..,..,..,2679,..,1373,468,179,145,94,12,0,0,2271,..,174,78,34,85,176,183,124,88,946,..,151,80,17,23,29,15,7,0,313
CED222,..,110,3735,6891,6614,5314,3671,1789,473,28582,..,324,1762,1296,964,508,199,53,12,5120,..,10,63,223,386,309,124,68,39,1233,14747,..,..,..,..,..,..,..,..,14747,..,4340,..,..,..,..,..,..,..,4340,..,2922,2037,672,365,159,24,0,0,6183,..,536,417,140,183,162,125,68,48,1667,..,331,314,146,126,80,24,7,3,1031,..,482,790,425,296,225,141,56,11,2425,..,172,761,1004,1208,1086,944,515,266,5958,178,240,286,209,156,109,105,30,25,1343,14917,9466,10172,11002,10297,7949,5350,2581,876,72615,..,334,5030,7430,6512,4837,3181,1289,198,28803,..,466,1909,1329,942,443,143,35,10,5276,..,130,621,1292,1702,920,411,269,178,5525,14014,..,..,..,..,..,..,..,..,14014,..,4485,..,..,..,..,..,..,..,4485,..,2073,1392,325,205,98,21,3,0,4119,..,447,317,99,166,390,309,287,160,2177,..,260,187,66,37,30,20,10,6,613
CED223,..,49,2569,5992,5987,5569,4263,1999,550,26984,..,201,1512,1072,804,527,216,33,10,4377,..,6,31,159,327,277,104,71,45,1021,12659,..,..,..,..,..,..,..,..,12659,..,4300,..,..,..,..,..,..,..,4300,..,2322,1921,576,420,194,28,0,0,5470,..,345,300,90,96,108,77,52,45,1112,..,208,227,70,53,42,16,8,0,633,..,457,686,208,173,145,106,33,8,1811,..,145,531,692,805,932,788,442,257,4588,128,164,210,124,140,86,76,33,15,982,12788,8198,7996,8974,8810,7886,5674,2682,935,63930,..,122,3418,6498,6256,5502,3748,1484,263,27292,..,329,1592,1164,808,452,151,24,3,4515,..,57,301,905,1458,872,361,311,196,4453,12135,..,..,..,..,..,..,..,..,12135,..,4346,..,..,..,..,..,..,..,4346,..,1678,1346,287,198,116,21,0,0,3649,..,324,226,91,89,196,197,189,130,1441,..,195,168,41,39,27,14,0,3,481
CED224,..,58,2380,5082,6649,5509,3915,1996,669,26262,..,326,1843,791,609,366,188,63,18,4200,..,18,10,76,255,218,101,38,33,754,11656,..,..,..,..,..,..,..,..,11656,..,5672,..,..,..,..,..,..,..,5672,..,1402,1494,330,265,97,9,0,0,3607,..,583,375,67,58,83,63,39,39,1297,..,319,334,48,40,25,8,3,4,787,..,1234,1598,299,154,115,94,43,18,3553,..,551,939,714,683,664,604,448,307,4914,97,221,241,96,96,65,50,39,25,937,11751,10393,9214,7510,8809,7144,5036,2669,1107,63641,..,111,3097,5909,7154,5266,3503,1476,324,26832,..,467,1822,761,566,305,133,33,10,4091,..,23,154,779,1414,731,240,229,149,3721,11218,..,..,..,..,..,..,..,..,11218,..,5458,..,..,..,..,..,..,..,5458,..,1286,1212,220,176,93,15,0,0,3010,..,560,365,68,92,196,222,189,125,1824,..,396,235,46,25,24,8,3,0,737
CED225,..,74,3251,7422,7839,5978,3726,1606,322,30227,..,308,1571,1277,1149,592,215,44,9,5164,..,12,52,197,424,282,101,61,31,1162,16373,..,..,..,..,..,..,..,..,16373,..,5294,..,..,..,..,..,..,..,5294,..,3765,1974,480,260,92,11,0,0,6579,..,394,293,106,118,120,95,72,42,1242,..,207,242,109,101,50,28,3,3,739,..,202,362,215,218,194,119,22,8,1337,..,112,428,610,820,851,583,367,176,3951,173,244,242,158,124,99,93,39,12,1186,16544,10624,8412,10568,11046,8256,4982,2218,604,73255,..,197,4464,8181,7719,5525,3210,1068,144,30505,..,478,1660,1329,1083,523,169,27,4,5276,..,121,510,1191,1568,762,255,146,90,4651,15278,..,..,..,..,..,..,..,..,15278,..,5319,..,..,..,..,..,..,..,5319,..,2615,1280,232,128,75,23,0,0,4350,..,325,189,71,125,263,286,220,122,1597,..,256,149,62,33,40,17,5,3,560
CED226,..,218,9564,13516,8736,6183,3719,1404,243,43579,..,511,2407,1637,1107,578,185,33,4,6459,..,35,160,308,558,338,133,60,25,1616,27696,..,..,..,..,..,..,..,..,27696,..,5782,..,..,..,..,..,..,..,5782,..,4173,2784,770,333,116,9,0,0,8187,..,1079,1101,301,243,221,200,88,40,3273,..,542,760,276,166,96,34,4,0,1878,..,654,1103,393,285,251,122,32,7,2850,..,221,1087,1198,1146,946,610,284,105,5604,327,323,424,269,199,132,86,57,6,1830,28027,13552,19386,18664,12780,8865,5089,1963,438,108763,..,724,13163,12286,8038,5675,2987,925,108,43912,..,774,2579,1587,974,439,114,19,3,6495,..,247,1385,2189,2198,1013,394,247,118,7780,25830,..,..,..,..,..,..,..,..,25830,..,6222,..,..,..,..,..,..,..,6222,..,2925,1887,380,189,95,19,0,0,5488,..,743,580,185,307,707,487,272,135,3413,..,426,438,122,66,40,20,7,3,1118
CED227,..,100,2211,3681,4765,5518,4476,2528,701,23974,..,573,1477,838,741,544,280,77,15,4549,..,24,79,217,334,204,94,63,35,1055,11804,..,..,..,..,..,..,..,..,11804,..,2679,..,..,..,..,..,..,..,2679,..,2327,934,398,351,165,20,0,0,4202,..,345,173,71,95,133,120,63,28,1031,..,187,161,89,77,40,21,9,0,593,..,465,561,213,250,267,159,39,10,1954,..,320,749,809,1317,1744,1428,854,428,7650,234,303,296,174,190,197,180,100,28,1709,12038,7344,6647,6495,8126,8815,6776,3736,1241,61206,..,224,2876,4171,5252,5484,4044,1867,359,24273,..,868,1449,876,768,473,194,47,6,4682,..,242,855,1122,1120,411,227,231,176,4384,11019,..,..,..,..,..,..,..,..,11019,..,2767,..,..,..,..,..,..,..,2767,..,1347,442,172,146,95,19,0,0,2225,..,238,103,40,106,161,157,107,71,992,..,183,94,41,31,18,3,0,7,375
CED228,..,186,4064,6042,6221,5336,4247,2533,660,29285,..,299,1746,955,729,421,131,40,4,4322,..,14,66,185,382,327,154,113,82,1326,13380,..,..,..,..,..,..,..,..,13380,..,4727,..,..,..,..,..,..,..,4727,..,2629,2606,954,695,262,35,0,0,7177,..,838,737,229,263,262,156,77,62,2627,..,545,666,212,154,107,32,16,3,1731,..,1348,1721,466,281,204,123,47,23,4205,..,220,948,946,1103,1079,828,529,305,5959,172,255,359,277,178,140,103,78,36,1596,13552,11059,12911,10275,10000,8137,5803,3420,1176,76330,..,447,5333,6438,6113,5286,3863,1782,272,29539,..,451,1789,959,614,335,96,17,4,4253,..,107,584,1407,1781,1065,494,486,313,6241,12723,..,..,..,..,..,..,..,..,12723,..,4956,..,..,..,..,..,..,..,4956,..,1838,1970,548,382,200,43,0,0,4981,..,667,522,213,253,442,339,340,195,2982,..,449,416,122,84,50,21,6,4,1159
CED229,..,142,6423,10088,8671,6738,4680,1763,356,38862,..,527,2589,1786,1316,746,229,48,11,7247,..,18,89,252,576,342,120,68,49,1515,23863,..,..,..,..,..,..,..,..,23863,..,5527,..,..,..,..,..,..,..,5527,..,4569,2454,714,345,114,21,0,0,8224,..,554,517,185,152,177,143,86,38,1857,..,288,371,149,136,86,33,9,0,1074,..,385,448,182,219,226,129,34,9,1619,..,186,849,948,1132,1070,793,387,149,5510,273,323,373,231,185,136,138,47,25,1731,24140,12527,14117,14533,12732,9631,6272,2449,641,97040,..,418,8417,10216,8539,6447,3903,1135,166,39241,..,889,2639,1772,1317,608,168,27,9,7437,..,233,1168,1951,2152,944,376,198,133,7163,22327,..,..,..,..,..,..,..,..,22327,..,5801,..,..,..,..,..,..,..,5801,..,3266,1600,378,159,103,20,0,0,5528,..,402,297,100,198,416,400,306,155,2277,..,293,195,60,55,49,12,12,0,679
CED230,..,147,3498,5344,5628,5763,5318,2594,621,28909,..,663,2072,1272,1105,747,318,73,6,6259,..,25,93,254,426,262,102,70,43,1271,16010,..,..,..,..,..,..,..,..,16010,..,3545,..,..,..,..,..,..,..,3545,..,3137,1309,532,340,150,19,0,0,5484,..,360,266,108,121,153,123,68,29,1233,..,233,249,110,85,53,29,11,0,774,..,307,400,166,234,222,143,67,18,1558,..,233,800,868,1325,1614,1295,765,334,7235,243,418,344,209,210,197,170,95,21,1900,16254,9082,9023,8856,9479,9154,7513,3747,1069,74178,..,281,4576,5658,5880,5836,4849,1819,284,29187,..,1005,2159,1311,1103,642,252,41,6,6524,..,336,1100,1560,1654,687,313,249,160,6070,15368,..,..,..,..,..,..,..,..,15368,..,3755,..,..,..,..,..,..,..,3755,..,2048,796,214,172,122,19,0,0,3372,..,279,140,58,114,261,246,189,98,1383,..,217,116,45,54,30,15,11,5,485
CED231,..,159,5097,5052,3503,2835,2111,962,276,19990,..,1367,6511,2625,1306,756,305,61,21,12953,..,8,39,140,250,217,82,56,46,831,8753,..,..,..,..,..,..,..,..,8753,..,2282,..,..,..,..,..,..,..,2282,..,864,925,365,285,113,10,0,0,2571,..,1488,909,185,93,96,69,53,19,2914,..,690,1008,137,40,38,16,0,0,1925,..,7670,8596,1244,478,242,147,39,16,18436,..,2558,3711,2492,1932,1533,1028,488,193,13932,145,465,786,266,181,119,72,34,20,2088,8900,17554,27580,12499,8078,5941,3841,1692,583,86666,..,368,6229,4862,3409,2703,1771,682,106,20125,..,1866,6540,1946,971,529,165,33,3,12048,..,78,525,1021,1344,784,316,249,154,4467,8546,..,..,..,..,..,..,..,..,8546,..,2354,..,..,..,..,..,..,..,2354,..,704,734,191,166,95,16,0,0,1907,..,1703,1028,205,146,238,175,122,79,3695,..,779,922,101,29,18,10,3,0,1867
CED232,..,132,3901,5101,3814,3432,2836,1231,389,20846,..,667,4880,2350,1338,777,371,68,24,10479,..,3,26,78,235,214,66,30,24,668,8885,..,..,..,..,..,..,..,..,8885,..,2348,..,..,..,..,..,..,..,2348,..,755,760,259,196,72,16,0,0,2065,..,563,555,105,62,67,55,33,14,1449,..,256,487,71,43,30,10,3,0,910,..,2005,3742,843,384,261,157,52,17,7460,..,677,2811,2445,2047,1651,1133,507,273,11551,111,227,421,256,153,109,79,32,18,1417,8999,7636,17583,11512,8275,6624,4717,1960,767,68075,..,263,5068,4936,3994,3401,2388,856,191,21095,..,1004,4955,1832,1080,535,222,33,8,9665,..,27,222,741,1149,638,226,155,114,3264,8574,..,..,..,..,..,..,..,..,8574,..,2377,..,..,..,..,..,..,..,2377,..,655,679,154,111,67,14,0,0,1683,..,633,534,149,95,147,106,93,57,1814,..,289,382,46,23,17,8,0,0,765
CED233,..,34,2352,5358,6892,6247,4991,3191,763,29829,..,138,796,536,523,325,132,41,14,2506,..,9,16,88,283,227,91,81,44,840,11339,..,..,..,..,..,..,..,..,11339,..,5260,..,..,..,..,..,..,..,5260,..,2324,2370,638,483,140,18,0,0,5970,..,404,291,89,78,114,83,69,50,1179,..,304,256,81,64,38,17,9,0,775,..,331,460,144,98,113,72,35,11,1267,..,184,375,410,553,474,458,436,235,3134,84,139,162,94,91,72,61,63,22,795,11425,9131,7081,7440,9069,7747,5921,3936,1141,62891,..,87,3153,6101,7352,6196,4796,2217,318,30224,..,223,839,567,517,261,109,23,3,2543,..,34,226,783,1328,773,329,308,171,3949,10540,..,..,..,..,..,..,..,..,10540,..,4982,..,..,..,..,..,..,..,4982,..,1783,1709,383,282,144,25,0,0,4326,..,346,237,79,141,291,275,300,177,1850,..,261,209,57,52,24,19,6,4,629
CED234,..,123,2371,3997,5007,5634,4798,2679,673,25284,..,487,1423,931,877,625,330,87,23,4784,..,28,70,221,391,214,116,67,50,1151,12643,..,..,..,..,..,..,..,..,12643,..,2998,..,..,..,..,..,..,..,2998,..,2681,1011,522,348,171,21,3,0,4751,..,314,159,70,124,136,106,67,37,1013,..,208,163,89,88,60,29,10,3,642,..,388,441,205,233,232,192,78,16,1777,..,251,711,794,1332,1612,1462,863,348,7364,270,290,305,231,190,207,202,108,22,1826,12913,7762,6648,7066,8582,8891,7246,3952,1173,64229,..,269,3058,4459,5459,5632,4396,1918,329,25522,..,743,1414,959,871,571,225,54,14,4861,..,286,830,1308,1236,532,254,235,148,4830,11921,..,..,..,..,..,..,..,..,11921,..,3011,..,..,..,..,..,..,..,3011,..,1612,528,169,149,100,17,0,0,2576,..,210,93,41,113,173,186,142,80,1034,..,172,85,26,29,21,11,3,4,352
