CED_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
CED211,157,351,268,218,310,165,79,1549,13,6,7,4,11,7,3,48,10,12,7,9,10,10,5,58,296,631,533,464,729,418,258,3335,3,16,24,8,22,7,8,91,26,56,30,14,20,12,7,165,29,73,52,25,40,20,14,260,325,707,588,487,774,442,272,3589,328,299,192,135,201,98,65,1305,7,8,3,3,7,0,0,24,652,1009,776,628,982,536,339,4922
CED212,263,562,377,256,394,140,54,2046,37,20,15,17,16,11,3,115,15,16,11,10,13,3,3,73,462,920,713,529,887,371,168,4049,28,40,46,23,35,15,7,183,58,100,63,38,34,9,0,296,84,134,106,60,63,25,5,484,546,1054,821,593,947,397,171,4535,686,605,365,201,273,82,41,2260,8,19,11,4,7,0,0,56,1241,1681,1198,796,1232,483,210,6844
CED213,270,636,472,332,387,109,46,2250,27,30,20,8,16,8,4,109,10,16,19,12,18,0,0,74,415,947,750,567,777,242,91,3788,13,41,31,24,33,3,5,151,39,89,55,30,20,4,3,240,53,135,88,59,52,6,4,394,468,1082,834,624,828,252,94,4178,597,615,294,193,216,52,20,1979,7,20,11,8,9,3,0,61,1070,1714,1135,823,1052,306,115,6221
CED214,189,383,240,177,257,146,69,1462,35,15,3,9,12,8,4,85,8,9,9,10,9,11,5,55,409,792,521,392,637,369,209,3322,26,56,39,36,44,33,14,252,34,91,63,30,53,24,18,310,65,147,107,66,92,59,31,561,467,937,623,461,725,425,243,3888,593,547,288,199,265,138,90,2124,17,18,13,11,10,4,3,72,1075,1508,923,668,1007,567,334,6084
CED215,271,541,353,272,365,81,15,1901,37,23,22,17,22,4,4,126,12,21,5,9,9,0,0,61,437,838,606,528,754,176,44,3384,32,70,53,37,51,15,0,255,55,137,77,38,54,11,0,370,85,205,130,78,109,24,0,628,520,1042,735,608,864,196,48,4011,945,805,363,262,289,61,15,2730,19,19,9,10,4,3,0,55,1481,1865,1113,876,1157,253,57,6796
CED216,113,305,242,183,261,156,83,1338,14,10,8,6,11,5,6,58,3,4,8,8,6,4,8,43,233,608,539,399,649,417,256,3097,7,22,15,15,22,13,7,99,5,33,17,14,17,8,3,103,14,59,38,27,43,22,12,202,244,665,574,428,691,433,266,3299,168,184,145,123,151,92,72,931,7,3,3,0,0,0,3,23,417,847,721,548,839,532,340,4248
CED217,370,637,423,286,409,193,92,2412,45,30,22,22,27,16,4,163,23,29,18,13,24,11,5,124,709,1262,899,621,977,471,236,5169,63,114,72,51,60,32,11,400,76,189,108,69,76,28,17,567,138,305,176,125,140,59,24,964,847,1565,1071,740,1118,531,262,6135,1435,1405,728,390,504,224,108,4794,38,38,22,8,12,7,0,120,2319,3017,1817,1147,1624,761,377,11056
CED218,107,234,139,117,166,134,83,978,14,8,5,11,10,5,3,53,3,5,3,6,6,7,0,33,212,476,324,280,427,359,236,2303,6,14,8,10,12,8,3,71,6,22,11,7,15,5,8,81,11,41,21,22,31,15,14,151,226,514,344,294,455,376,249,2458,163,209,148,111,144,94,75,953,0,3,3,0,0,3,4,14,390,732,498,406,599,470,322,3424
CED219,335,555,413,295,382,144,59,2184,39,31,19,10,14,7,6,132,25,26,27,16,22,10,6,123,623,1087,797,642,925,406,206,4685,66,102,80,42,76,26,10,401,97,125,78,35,45,13,9,410,163,226,159,79,115,43,21,806,789,1313,963,725,1036,445,225,5490,1103,1034,507,352,482,204,116,3798,25,37,25,20,13,7,0,124,1915,2378,1486,1092,1533,656,345,9411
CED220,136,354,271,224,291,189,79,1545,20,13,9,10,15,6,14,89,11,21,12,8,16,9,9,89,323,697,588,455,703,483,247,3490,15,31,25,15,31,26,9,152,19,64,37,11,19,17,7,178,42,91,58,30,47,45,21,328,360,794,651,478,744,522,266,3819,403,416,255,178,234,136,76,1697,13,20,16,11,3,3,3,65,783,1230,921,672,988,660,338,5590
CED221,261,586,384,241,350,76,15,1908,33,41,22,12,17,4,0,120,12,12,15,8,18,0,0,71,408,973,675,502,737,174,48,3505,24,65,47,28,42,3,0,203,56,93,44,24,16,8,3,243,79,153,95,50,55,9,4,448,485,1128,763,551,789,182,47,3947,662,646,347,220,230,58,9,2172,27,16,10,14,6,0,0,67,1172,1789,1117,783,1026,241,59,6195
CED222,233,481,308,212,299,154,74,1758,20,22,14,11,19,3,3,92,13,23,17,15,18,15,4,92,433,910,630,496,771,437,216,3886,12,34,25,16,34,17,9,154,30,62,52,22,36,15,9,222,48,98,71,40,67,31,12,381,478,1012,705,536,843,471,224,4262,572,479,254,179,228,125,86,1922,14,17,7,3,3,0,0,52,1062,1506,963,717,1069,600,316,6236
CED223,147,381,269,185,269,152,73,1483,16,3,4,5,7,8,3,54,6,7,9,8,9,16,6,60,259,651,541,425,652,410,229,3166,4,24,10,12,21,20,6,85,18,46,24,21,15,13,5,153,20,68,40,32,35,28,12,239,282,722,580,453,685,439,238,3410,281,332,191,128,141,86,52,1217,5,3,5,4,4,3,0,21,575,1063,774,587,830,531,296,4644
