CED_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
CED220,39,381,363,311,583,506,242,353,37,2826,80,342,352,284,862,703,205,316,733,3881,1843,8393,7617,7491,14530,14154,5957,7783,1375,69157
CED221,64,294,201,256,412,457,214,327,34,2271,160,269,171,189,363,428,154,309,533,2579,2814,7539,6585,8061,10525,10567,5807,9651,1280,62829
CED222,65,395,290,303,623,563,274,357,39,2906,112,333,317,323,878,820,287,411,733,4209,2377,8390,7362,8115,15640,15613,7332,9447,1461,75735
CED223,57,341,273,292,381,412,202,340,18,2319,78,302,180,237,361,462,162,338,470,2586,2282,9010,7694,8027,11151,13647,6770,10083,1017,69680
CED224,51,320,217,177,299,275,167,237,12,1758,96,367,284,240,272,466,159,445,498,2833,2023,10088,7700,7244,9620,13564,6841,13247,1034,71365
CED225,77,371,308,354,633,683,339,505,38,3317,102,378,278,324,718,766,273,490,582,3906,2541,9738,8009,8889,14809,15451,7414,10692,1270,78807
CED226,82,430,320,318,864,684,292,344,48,3389,129,423,405,387,1024,1051,289,432,1210,5354,3082,10276,9896,10738,24685,23504,8907,11617,2336,105043
CED227,62,247,186,220,445,455,176,284,32,2103,127,244,174,209,337,408,119,282,594,2491,2434,7115,5689,7117,10212,10235,4871,9651,1393,58717
CED228,65,359,362,313,588,507,231,300,44,2773,121,425,419,310,807,711,202,355,911,4262,2231,8630,8382,7863,15140,15299,6328,9379,1775,75035
CED229,109,465,384,375,838,804,413,572,40,4010,154,441,322,335,833,899,276,478,846,4572,3600,10770,9898,10932,20181,19871,9377,13118,1955,99701
CED230,87,383,297,314,618,584,280,440,35,3031,156,352,232,246,499,538,225,402,714,3368,2916,9145,7665,8555,12392,12194,6498,10623,1576,71572
CED231,87,340,327,341,580,489,284,335,32,2809,130,431,435,280,549,741,296,549,778,4187,3179,11160,11153,9327,17461,23395,11484,17295,1746,106199
CED232,52,304,276,317,479,470,274,390,18,2578,109,354,315,287,434,760,284,628,615,3775,2473,7754,7780,8163,14282,20045,10238,17066,1235,89039
CED233,49,348,254,278,459,436,204,341,27,2393,79,315,255,224,410,536,172,382,571,2943,1790,9087,7137,7048,10531,12876,5615,9153,1105,64351
CED234,77,304,213,251,500,488,223,304,29,2377,157,239,168,185,385,403,164,325,678,2713,2709,7284,5888,7410,10317,10331,5592,9897,1472,60900
CED235,57,401,325,364,662,562,250,324,45,2991,132,412,293,304,959,714,223,319,869,4227,2362,8905,7957,8553,17057,15183,6109,7815,1778,75723
CED236,60,316,199,199,361,362,158,252,31,1937,136,246,156,174,308,327,130,278,536,2297,2682,7743,6160,7153,8711,9161,5024,9952,1291,57866
CED237,67,357,294,337,651,512,291,350,47,2902,111,321,303,266,515,644,220,344,808,3533,2549,8911,9123,9448,16384,17092,8224,10676,1608,84018
CED294,4,13,10,4,18,20,4,16,0,89,16,11,18,11,19,11,6,10,39,148,111,212,205,226,348,385,170,296,84,2033
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,17,0,23
