CED_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
CED211,0,10,7,29,70,90,200,207,44,653,15,52,102,615,185,244,87,34,7,1335,80,293,353,2348,353,244,171,73,21,3930,3,22,52,304,71,34,30,21,11,534,7,80,87,533,109,73,36,21,7,959,0,4,4,28,9,7,7,0,0,64,7,18,12,95,44,47,57,51,16,356,0,4,14,45,65,150,319,302,118,1016,8,33,17,117,39,21,26,6,0,254,9,59,86,310,93,39,18,4,0,622,0,0,0,27,21,17,10,3,0,80,80,258,255,920,388,359,195,72,20,2560,0,0,3,3,7,20,59,33,9,133,0,7,26,54,36,31,21,11,3,195,9,183,340,772,164,73,31,8,5,1592,3,10,41,135,3,4,0,0,0,192,0,5,10,42,32,79,171,150,78,570,19,157,156,649,328,265,137,67,28,1814,0,10,4,29,22,23,37,28,10,167,9,22,56,226,28,9,8,3,0,365
CED212,0,16,16,29,54,87,130,125,39,494,0,6,60,45,14,21,12,5,6,163,14,75,73,532,137,98,93,50,12,1075,3,13,6,67,25,17,8,6,5,145,0,3,8,33,19,13,6,3,0,79,0,0,0,10,3,3,3,3,0,24,6,43,17,160,98,92,116,77,34,641,0,7,6,64,63,122,208,168,48,689,4,8,8,44,22,12,5,0,3,106,0,3,9,43,5,3,0,0,0,72,0,3,0,21,39,26,13,5,0,112,4,14,27,87,68,75,37,13,0,325,0,0,0,0,12,36,49,27,10,135,0,6,12,71,43,49,29,17,0,229,0,0,0,10,6,6,3,6,0,36,0,0,0,16,0,3,0,0,0,19,0,7,8,40,57,152,252,185,67,785,28,167,305,966,546,511,276,104,37,2934,0,6,12,48,55,49,80,44,14,311,0,3,11,27,14,4,7,6,0,70
CED213,0,0,6,18,38,105,207,180,36,585,0,4,6,20,7,22,3,0,3,58,0,10,17,154,50,54,43,30,15,368,3,0,3,49,5,10,13,9,3,95,0,0,0,4,0,3,3,0,0,11,0,0,0,3,3,0,0,0,0,8,3,33,24,104,82,82,86,61,20,488,0,15,3,37,54,204,457,289,122,1183,0,6,6,26,19,12,8,0,3,78,0,0,4,14,7,0,4,0,0,29,0,0,0,5,14,15,11,0,0,46,0,4,3,38,21,34,26,11,0,141,0,0,0,5,3,42,106,50,9,213,0,0,0,25,37,47,34,13,4,155,0,0,0,5,8,3,0,0,3,20,0,0,0,9,0,0,0,0,0,17,0,3,3,36,60,169,359,200,66,902,11,83,105,538,437,449,307,110,22,2068,0,3,4,32,36,53,70,42,9,254,0,0,0,7,0,3,0,0,0,8
CED214,0,17,15,86,190,334,666,793,219,2325,3,7,38,255,38,41,13,3,4,402,134,235,710,3371,222,162,111,43,16,5014,7,40,44,299,45,28,15,6,0,493,7,47,44,343,36,12,4,0,3,493,0,0,12,76,26,10,4,5,0,139,3,28,11,320,83,65,47,34,27,623,3,24,23,150,144,355,594,852,384,2516,6,12,22,185,32,9,8,3,0,283,5,6,32,151,10,7,0,0,0,222,4,13,60,424,204,152,108,36,7,1012,39,52,103,494,93,76,55,12,3,924,0,0,4,37,83,337,785,535,117,1904,3,5,18,96,29,30,11,5,4,196,7,79,92,406,62,15,14,9,0,690,6,13,239,581,5,8,3,0,0,862,0,3,7,63,39,43,55,26,28,269,51,262,349,1845,515,320,124,25,14,3505,0,0,3,53,17,27,26,17,8,151,19,33,207,564,18,10,3,0,0,847
CED215,0,0,0,4,9,34,44,44,13,143,0,3,10,29,3,9,3,3,0,60,12,52,28,397,35,28,35,20,0,602,0,0,0,29,7,8,10,10,3,69,0,5,0,24,3,0,0,0,0,30,4,3,0,11,3,0,0,0,0,22,0,12,3,32,27,49,41,36,16,221,0,3,0,15,52,155,243,254,112,825,0,0,0,17,12,0,6,0,0,40,3,3,8,28,5,4,0,0,0,44,0,0,0,6,4,3,3,0,0,16,3,12,24,103,35,36,17,3,0,218,0,0,0,9,11,57,114,44,20,260,0,0,4,12,7,11,17,0,0,49,0,0,0,18,3,3,3,3,0,23,0,0,3,21,3,0,0,0,0,29,0,6,8,31,47,203,441,243,77,1061,11,73,100,398,259,342,194,75,10,1459,0,0,0,11,16,42,64,25,6,172,3,5,11,32,13,3,0,0,0,66
CED216,0,11,10,41,129,220,377,403,93,1285,13,63,64,114,61,61,31,27,5,430,84,207,271,1767,274,187,119,83,43,3039,0,7,21,120,26,16,16,6,4,222,0,0,6,72,27,20,13,9,0,148,0,0,7,8,9,10,9,0,4,39,6,49,32,367,137,73,62,53,29,813,3,20,19,127,108,154,254,258,170,1107,24,112,47,228,101,39,29,12,4,591,4,44,69,168,57,22,3,3,0,361,0,0,7,32,42,44,24,13,5,167,9,22,57,256,155,140,63,36,9,751,0,0,0,3,11,26,39,13,7,107,0,0,7,59,41,29,11,19,0,162,0,0,3,9,11,7,5,0,0,39,0,3,13,73,0,6,0,0,0,101,4,57,18,66,70,61,79,39,26,409,15,191,235,856,608,407,204,67,44,2636,0,3,0,52,45,30,37,23,5,190,0,3,11,53,8,13,9,4,0,92
CED217,0,14,8,56,131,180,212,120,25,742,5,9,32,202,34,35,12,0,0,332,101,434,709,4723,766,472,259,83,28,7574,6,18,50,284,57,42,5,3,0,466,0,22,35,145,45,16,12,9,0,274,18,69,85,236,81,40,28,3,0,558,5,25,7,62,37,31,58,26,14,258,3,14,25,104,204,423,468,228,51,1533,0,8,18,50,12,3,7,0,3,100,3,22,23,106,23,12,7,3,0,190,6,14,39,187,131,89,38,13,3,522,26,92,62,406,112,85,34,6,0,840,6,31,74,242,308,997,1102,363,50,3175,0,8,18,105,48,37,16,5,0,247,3,54,149,273,53,27,8,4,0,561,0,15,39,124,12,10,0,0,0,194,0,8,4,32,18,54,96,34,12,265,141,879,823,1335,466,264,112,24,3,4049,0,0,0,16,17,29,24,20,4,114,50,106,151,729,107,68,25,11,0,1234
CED218,0,15,22,130,151,300,610,934,222,2386,21,71,168,351,94,117,66,31,5,929,192,325,490,3621,263,194,146,66,20,5313,4,12,228,388,47,45,23,14,0,770,0,15,23,283,33,22,19,5,5,405,0,3,4,26,8,6,3,3,0,55,0,11,26,550,53,53,47,29,20,795,0,6,37,198,63,113,205,205,97,930,16,37,59,313,97,35,30,8,7,598,4,16,106,402,61,27,11,4,0,635,0,3,5,36,25,18,22,8,4,114,13,43,259,867,241,252,168,63,19,1929,0,0,0,7,15,16,18,20,3,82,0,0,26,130,32,31,25,14,3,256,3,0,13,24,21,6,5,4,0,79,4,0,65,187,4,3,0,0,0,269,0,11,12,96,37,37,64,30,22,315,25,92,346,1757,454,352,175,81,30,3314,0,0,6,65,17,17,27,11,0,148,0,3,29,109,10,11,3,0,0,169
CED219,0,10,15,65,85,134,157,117,28,607,3,14,33,137,64,56,10,5,0,325,168,1068,1310,8569,1713,1131,500,208,58,14717,13,42,39,304,104,55,45,12,7,620,10,144,184,240,63,23,15,3,0,684,8,76,57,214,102,66,27,17,3,561,8,29,5,70,46,58,54,30,14,310,0,11,16,56,118,253,347,244,82,1123,0,8,7,41,10,0,3,0,0,68,4,17,25,88,32,17,0,0,3,182,3,22,20,146,144,113,48,16,4,513,13,75,114,349,179,209,81,20,3,1041,0,0,3,8,19,75,108,44,9,266,0,101,164,788,427,559,285,132,64,2513,0,9,11,59,34,22,14,3,0,150,4,24,40,150,25,13,3,0,0,254,0,8,9,29,41,133,251,161,61,699,145,938,1050,1889,680,431,150,53,14,5353,0,7,3,28,36,34,39,26,8,179,58,368,364,889,166,70,36,4,0,1959
CED220,5,104,113,240,378,624,1288,1203,289,4247,0,26,84,265,57,83,40,12,4,561,150,390,1039,4554,787,558,376,237,70,8166,3,20,74,330,59,41,25,13,3,575,3,12,15,127,26,6,7,0,3,193,0,11,12,51,28,13,7,5,0,131,4,29,13,155,69,63,49,42,17,438,0,12,26,99,108,253,542,624,275,1926,9,54,41,207,78,22,14,6,3,435,6,56,105,409,90,38,12,10,0,723,0,3,8,73,71,72,52,32,8,329,23,67,158,596,141,170,88,31,11,1281,0,0,0,5,9,30,79,74,19,212,3,11,35,200,123,135,152,92,29,778,7,22,102,316,79,34,13,19,3,597,0,6,46,127,6,0,0,0,0,198,3,4,13,36,25,42,72,41,19,255,32,186,270,685,338,242,98,39,14,1910,0,0,3,21,20,20,36,22,6,126,5,19,69,250,22,21,17,4,0,407
CED221,0,0,0,8,13,29,34,13,3,100,0,4,3,24,11,10,0,0,0,54,9,50,14,362,34,23,32,13,7,542,0,0,8,11,6,13,4,4,0,48,0,0,3,22,3,6,3,0,0,41,0,0,3,5,3,0,0,0,0,6,0,6,8,35,31,28,31,17,6,158,0,3,6,29,30,102,288,256,124,832,0,7,8,27,8,11,7,0,0,55,0,3,3,25,3,0,0,0,0,43,0,0,0,5,8,5,0,5,3,28,7,13,8,60,27,29,10,4,0,146,0,0,0,0,6,25,27,11,3,66,0,3,0,20,13,4,0,0,0,44,0,0,3,15,0,0,0,3,0,22,4,26,34,48,3,0,0,0,0,117,0,3,8,42,42,132,265,104,34,632,5,48,78,320,258,249,153,68,18,1201,0,0,0,12,10,24,24,10,5,88,0,8,0,37,0,0,0,0,0,48
CED222,0,22,18,72,150,197,317,215,63,1052,4,17,21,139,37,65,29,3,0,313,50,242,573,2741,651,518,328,157,60,5326,0,11,30,150,36,24,19,3,3,288,3,48,65,131,19,18,8,0,0,285,0,0,13,48,19,18,3,3,0,107,3,45,13,197,97,51,85,34,20,550,0,13,14,86,96,180,303,307,124,1123,3,16,9,76,43,13,10,3,0,179,0,3,23,87,14,11,0,0,0,145,0,9,6,83,57,52,26,9,3,260,16,55,75,262,118,102,57,16,7,704,0,0,0,4,16,44,69,52,12,198,0,18,23,252,130,180,155,77,36,868,0,11,35,135,29,31,8,10,0,270,0,3,4,69,7,6,3,0,0,98,4,11,3,49,31,76,131,120,94,521,53,330,423,1127,579,371,175,63,23,3147,0,0,3,46,41,40,40,45,14,229,13,94,90,302,46,28,18,0,0,599
