UCL_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL212005,0,0,0,3,4,0,0,0,0,10,0,13,17,39,21,16,5,0,0,111,0,0,0,3,0,0,0,0,3,7,0,0,3,11,16,28,28,17,8,111,0,0,4,3,3,0,0,0,0,12,0,8,13,18,14,3,3,0,0,57,0,0,0,0,3,0,0,0,0,4,5,9,0,39,10,6,4,3,0,83,0,0,35,132,0,0,0,0,0,165,0,9,4,21,9,3,0,0,0,42,0,0,0,0,3,0,0,0,0,3,0,0,0,4,0,0,0,0,0,5,0,3,9,18,3,9,4,0,0,49,0,0,0,3,3,0,0,0,0,3,0,0,3,0,0,0,3,0,0,17,0,0,0,4,3,0,0,0,0,12,3,21,15,73,32,13,7,19,3,186,83,187,274,493,334,332,301,266,158,2417,1756,3690,4026,7277,4037,3911,3141,1916,952,30709
UCL213001,0,0,0,0,0,0,0,0,0,8,0,3,4,13,10,9,3,0,0,43,0,0,0,8,0,4,3,0,0,21,0,0,8,18,16,29,39,10,4,118,0,3,3,7,3,0,0,0,0,17,0,11,8,15,7,10,11,0,0,57,0,0,0,0,5,14,5,0,0,23,3,3,0,4,0,3,5,0,0,21,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,3,0,0,0,8,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,4,5,6,7,10,3,0,0,36,0,0,0,18,8,4,3,0,0,33,0,0,0,7,6,0,9,4,3,25,0,0,4,3,4,0,0,0,0,14,0,6,10,54,36,34,20,22,8,183,50,111,92,291,152,137,146,87,35,1107,1197,2404,2138,4530,2349,2034,1613,726,305,17302
UCL213002,0,0,0,0,0,0,0,0,0,4,3,5,8,32,8,11,6,0,3,84,0,0,0,5,0,4,5,0,4,15,0,0,0,6,3,6,13,18,3,50,0,0,0,3,0,0,0,0,0,3,0,5,3,11,4,7,3,0,0,25,0,0,0,0,0,0,3,0,0,3,0,0,0,13,0,3,0,0,0,14,0,0,3,14,0,0,0,0,0,17,0,0,3,3,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,5,3,0,17,0,0,3,19,11,6,0,0,0,33,0,3,0,3,6,0,0,0,0,13,0,0,5,3,3,0,0,0,0,11,0,5,3,21,16,12,14,16,8,95,71,110,165,305,181,179,206,176,111,1500,802,1497,1455,2788,1473,1653,1637,1115,542,12952
UCL213003,0,0,0,0,0,0,0,0,0,0,0,10,7,21,4,3,4,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,3,9,6,33,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,3,12,0,0,0,0,0,17,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,3,0,10,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,3,0,6,0,0,0,0,0,10,0,4,7,54,21,8,8,4,4,113,32,55,99,174,108,135,136,113,47,895,725,1429,1426,2685,1449,1541,1284,905,453,11891
UCL213004,0,0,0,0,0,3,0,0,0,5,0,4,4,15,8,6,0,0,0,46,0,0,0,0,0,3,0,3,0,11,0,0,3,0,8,15,23,11,0,56,0,0,0,0,3,0,0,0,0,3,0,5,3,14,3,3,3,0,0,38,0,0,0,0,0,0,0,7,0,9,0,3,0,7,8,0,7,0,0,28,0,0,3,3,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,7,12,0,0,30,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,3,6,0,0,18,0,0,3,7,3,0,0,0,0,9,3,9,10,30,14,27,16,20,6,124,41,100,77,202,132,120,130,89,29,928,841,1586,1307,2809,1404,1425,1349,820,332,11887
UCL213005,0,0,0,0,0,0,0,0,0,3,0,0,0,7,3,4,0,0,0,25,0,0,0,3,0,0,3,0,0,11,0,0,0,9,12,32,26,18,6,99,0,0,3,3,0,0,0,0,0,8,0,0,3,15,11,5,4,6,0,47,0,0,0,0,0,0,0,0,0,4,0,3,0,0,3,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,10,7,8,5,0,0,36,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,5,0,0,25,0,4,0,10,0,0,0,0,0,10,3,4,0,17,12,29,19,21,4,110,35,72,67,150,111,123,115,87,25,788,687,1564,1319,2636,1594,1780,1562,989,353,12482
UCL213006,0,0,0,0,3,0,0,0,0,8,0,12,4,30,10,8,0,3,0,62,0,0,0,0,0,0,0,0,3,6,0,0,0,3,4,12,8,9,5,41,0,0,0,0,0,0,0,0,0,3,0,4,0,3,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,5,3,15,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,4,7,3,0,0,0,0,19,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,5,0,3,0,14,10,9,10,11,7,58,56,87,98,236,134,159,163,103,49,1089,750,1550,1455,2851,1625,1692,1526,1004,446,12906
UCL213007,0,0,0,3,3,4,0,3,0,13,3,14,12,40,8,9,0,0,0,90,0,0,0,0,0,0,3,0,0,12,0,0,0,0,7,9,13,7,4,37,0,0,0,0,0,0,0,0,0,3,0,3,4,10,0,4,0,0,0,24,0,0,0,0,0,0,0,5,0,5,0,3,3,7,3,0,0,0,0,21,0,0,0,5,0,0,0,0,0,8,0,9,8,8,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,9,3,7,3,0,0,0,0,20,0,0,3,15,4,0,0,3,0,21,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,3,0,0,0,5,4,0,0,0,0,11,3,7,9,21,13,10,7,9,4,76,38,76,100,238,131,158,142,83,41,1012,1010,1943,1862,3670,1865,2004,1620,1123,525,15627
UCL213008,0,0,0,4,0,0,0,0,0,6,0,20,55,61,57,17,8,0,0,219,0,0,0,6,0,0,0,0,0,6,0,3,3,9,22,33,27,19,10,125,0,0,4,4,8,3,0,0,0,27,0,3,0,7,3,4,0,0,0,16,0,0,0,3,7,0,7,0,0,15,0,0,0,6,3,0,3,0,0,25,0,0,0,3,4,0,0,0,0,7,0,7,0,12,0,3,3,0,0,22,0,0,0,3,3,3,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,6,6,14,4,5,4,0,0,41,0,0,3,16,10,3,0,0,0,30,0,0,0,0,0,4,3,0,0,8,0,0,0,3,0,0,0,0,0,3,0,4,6,48,17,33,21,10,6,142,33,84,70,177,91,82,61,39,21,646,1005,1884,1677,3814,1770,1412,1049,494,228,13334
UCL213009,0,0,0,0,3,0,0,0,0,4,0,4,12,26,14,8,4,0,0,63,0,0,0,4,0,7,4,0,3,18,0,0,0,7,5,18,15,19,4,68,0,0,0,0,3,0,0,0,0,4,0,4,3,15,8,12,6,0,0,46,0,0,0,0,0,3,3,0,0,5,0,0,0,3,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,16,5,4,3,0,0,32,0,0,0,0,3,0,3,0,0,11,0,0,0,3,5,0,11,4,0,19,0,0,0,9,0,0,0,0,0,15,0,5,0,27,14,23,14,18,6,97,25,40,51,133,63,81,95,51,28,566,920,1495,1411,3209,1471,1311,1155,653,255,11875
UCL213010,0,0,0,0,0,0,0,0,0,3,0,4,7,29,26,15,20,5,0,97,0,0,0,0,3,0,6,9,11,25,0,0,0,4,11,26,52,30,21,141,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,5,0,0,20,0,0,0,4,0,6,7,5,3,23,0,0,0,10,0,0,0,0,0,16,0,0,0,5,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,8,3,3,3,0,0,18,0,3,0,10,3,3,0,0,0,18,0,0,0,0,0,5,5,0,0,13,0,0,0,3,0,0,0,0,0,5,0,13,10,41,19,30,58,32,23,234,45,94,157,282,196,201,222,139,82,1422,801,1611,1919,3278,1910,2149,1782,1092,521,15059
UCL213011,0,0,0,3,0,0,0,0,0,6,0,10,10,43,22,24,14,3,0,125,0,0,0,4,3,11,4,3,8,33,0,0,0,6,9,15,42,35,13,119,0,0,0,4,0,0,0,0,0,5,0,0,0,7,3,6,0,0,0,24,0,0,0,0,0,0,7,3,0,10,0,4,0,11,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,4,6,3,11,4,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,6,4,3,0,0,0,15,0,0,0,3,3,0,0,0,0,9,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,25,34,64,31,35,43,17,16,267,91,129,174,367,197,204,172,121,44,1502,819,1501,1649,3061,1738,1827,1502,986,443,13540
UCL213012,0,0,0,11,4,7,0,0,0,16,0,3,0,4,5,3,0,0,0,17,0,0,0,4,0,0,0,0,4,13,0,10,0,10,14,11,27,17,8,100,0,0,0,6,0,0,3,0,0,10,0,4,0,24,11,4,0,0,3,47,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,3,0,6,0,0,0,0,0,0,0,0,0,3,0,3,7,5,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,18,12,6,10,0,0,61,0,0,0,4,0,5,0,0,0,6,0,3,0,9,8,3,3,3,0,30,0,0,0,0,0,0,0,0,0,3,0,8,9,40,24,21,17,9,6,129,48,101,56,198,110,157,159,65,27,933,1167,2703,1687,4189,2382,2605,2150,905,418,18205
